T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_001:0706c26	身力故也。』上皆《輔行》文也，豈非諦觀俱為能	身 力 故 也 上 皆 輔 行 文 也 豈 非 諦 觀 俱 為 能 
T46n1928_001:0706c27	觀邪！今更自立一譬，雙明兩重能所如器，諸	觀 邪 今 更 自 立 一 譬 雙 明 兩 重 能 所 如 器 諸 
T46n1928_001:0706c28	淳朴豈單用槌而無砧邪？故知槌砧自分能	淳 朴 豈 單 用 槌 而 無 砧 邪 故 知 槌 砧 自 分 能 
T46n1928_001:0706c29	所，若望淳朴皆屬能也。智者以喻得解，幸可	所 若 望 淳 朴 皆 屬 能 也 智 者 以 喻 得 解 幸 可 
T46n1928_001:0706c30	詳之。皆為不辯兩重所觀，故迷斯旨。又若不	詳 之 皆 為 不 辯 兩 重 所 觀 故 迷 斯 旨 又 若 不 
T46n1928_001:0707a01	立陰等為境，妙觀就何處用？妙境於何處顯？	立 陰 等 為 境 妙 觀 就 何 處 用 妙 境 於 何 處 顯 
T46n1928_001:0707a02	故知若離三道即無三德，如煩惱即菩提、生	故 知 若 離 三 道 即 無 三 德 如 煩 惱 即 菩 提 生 
T46n1928_001:0707a03	死即涅槃，玄文略列十乘，皆約此立。又《止觀	死 即 涅 槃 玄 文 略 列 十 乘 皆 約 此 立 又 止 觀 
T46n1928_001:0707a04	大意》以此二句為發心立行之體格，豈有圓	大 意 以 此 二 句 為 發 心 立 行 之 體 格 豈 有 圓 
T46n1928_001:0707a05	頓更過於此？若如二師所立，合云菩提即菩	頓 更 過 於 此 若 如 二 師 所 立 合 云 菩 提 即 菩 
T46n1928_001:0707a06	提、涅槃即涅槃也。又引常坐中起對俱法界	提 涅 槃 即 涅 槃 也 又 引 常 坐 中 起 對 俱 法 界 
T46n1928_001:0707a07	者，今問法界因何有起對邪？須知約根、塵、識	者 今 問 法 界 因 何 有 起 對 邪 須 知 約 根 塵 識 
T46n1928_001:0707a08	故方云起對法界，故《義例》釋此文云，體達(修觀)	故 方 云 起 對 法 界 故 義 例 釋 此 文 云 體 達 修 觀 
T46n1928_001:0707a09	若起若對(陰入)不出法界(成不思議)。彼有約理、約觀、約	若 起 若 對 陰 入 不 出 法 界 成 不 思 議 彼 有 約 理 約 觀 約 
T46n1928_001:0707a10	果三義，此文正約觀行辨也。又安心文云，	果 三 義 此 文 正 約 觀 行 辨 也 又 安 心 文 云 
T46n1928_001:0707a11	唯信法性者，未審信何法為法性邪？而不知	唯 信 法 性 者 未 審 信 何 法 為 法 性 邪 而 不 知 
T46n1928_001:0707a12	此文正是於陰修乎止觀，故《起信論》云：『一切	此 文 正 是 於 陰 修 乎 止 觀 故 起 信 論 云 一 切 
T46n1928_001:0707a13	眾生從本已來未曾離念。』又下文云『濁成本	眾 生 從 本 已 來 未 曾 離 念 又 下 文 云 濁 成 本 
T46n1928_001:0707a14	有』，若不觀三道即妙，便同偏觀清淨真如。荊	有 若 不 觀 三 道 即 妙 便 同 偏 觀 清 淨 真 如 荊 
T46n1928_001:0707a15	谿還許不？故《輔行》解安住世諦云『以止觀安	谿 還 許 不 故 輔 行 解 安 住 世 諦 云 以 止 觀 安 
T46n1928_001:0707a16	故世諦方成不思議』，又云『安即觀也』。故談圓	故 世 諦 方 成 不 思 議 又 云 安 即 觀 也 故 談 圓 
T46n1928_001:0707a17	妙，不違現文方為正說。今釋一念，乃是趣舉	妙 不 違 現 文 方 為 正 說 今 釋 一 念 乃 是 趣 舉 
T46n1928_001:0707a18	根塵和合一剎那心，若陰若惑、若善若惡皆	根 塵 和 合 一 剎 那 心 若 陰 若 惑 若 善 若 惡 皆 
T46n1928_001:0707a19	具三千，皆即三諦，乃十妙之大體，故云咸爾。	具 三 千 皆 即 三 諦 乃 十 妙 之 大 體 故 云 咸 爾 
T46n1928_001:0707a20	斯之一念為成觀故，今文專約明乎不二，不	斯 之 一 念 為 成 觀 故 今 文 專 約 明 乎 不 二 不 
T46n1928_001:0707a21	可不曉，故茲委辨。」問：「相傳云，達磨門下三人	可 不 曉 故 茲 委 辨 問 相 傳 云 達 磨 門 下 三 人 
T46n1928_001:0707a22	得法而有淺深，尼總持云，斷煩惱、證菩提。師	得 法 而 有 淺 深 尼 總 持 云 斷 煩 惱 證 菩 提 師 
T46n1928_001:0707a23	云，得吾皮。道育云，迷即煩惱、悟即菩提。師云，	云 得 吾 皮 道 育 云 迷 即 煩 惱 悟 即 菩 提 師 云 
T46n1928_001:0707a24	得吾肉。慧可云，本無煩惱元是菩提。師云，得	得 吾 肉 慧 可 云 本 無 煩 惱 元 是 菩 提 師 云 得 
T46n1928_001:0707a25	吾髓。今煩惱即菩提等，稍同皮肉之見，那云	吾 髓 今 煩 惱 即 菩 提 等 稍 同 皮 肉 之 見 那 云 
T46n1928_001:0707a26	圓頓無過？」答：「當宗學者因此語故迷名失旨，	圓 頓 無 過 答 當 宗 學 者 因 此 語 故 迷 名 失 旨 
T46n1928_001:0707a27	用彼格此陷墜本宗，良由不窮即字之義故	用 彼 格 此 陷 墜 本 宗 良 由 不 窮 即 字 之 義 故 
T46n1928_001:0707a28	也。應知今家明即永異諸師，以非二物相合，	也 應 知 今 家 明 即 永 異 諸 師 以 非 二 物 相 合 
T46n1928_001:0707a29	及非背面相翻，直須當體全是方名為即。何	及 非 背 面 相 翻 直 須 當 體 全 是 方 名 為 即 何 
T46n1928_001:0707b01	者？煩惱生死既是修惡，全體即是性惡法門，	者 煩 惱 生 死 既 是 修 惡 全 體 即 是 性 惡 法 門 
T46n1928_001:0707b02	故不須斷除及翻轉也。諸家不明性惡，遂須	故 不 須 斷 除 及 翻 轉 也 諸 家 不 明 性 惡 遂 須 
T46n1928_001:0707b03	翻惡為善、斷惡證善，故極頓者仍云本無惡	翻 惡 為 善 斷 惡 證 善 故 極 頓 者 仍 云 本 無 惡 
T46n1928_001:0707b04	元是善，既不能全惡是惡，故皆即義不成。故	元 是 善 既 不 能 全 惡 是 惡 故 皆 即 義 不 成 故 
T46n1928_001:0707b05	第七記云，忽都未聞性惡之名，安能信有性	第 七 記 云 忽 都 未 聞 性 惡 之 名 安 能 信 有 性 
T46n1928_001:0707b06	德之行？」「若爾，何不云煩惱即煩惱等，而云菩	德 之 行 若 爾 何 不 云 煩 惱 即 煩 惱 等 而 云 菩 
T46n1928_001:0707b07	提涅槃邪？」答：「實非別指，秖由性惡融通寂滅，	提 涅 槃 邪 答 實 非 別 指 秖 由 性 惡 融 通 寂 滅 
T46n1928_001:0707b08	自受菩提涅槃之名，蓋從勝立也。此則豈同	自 受 菩 提 涅 槃 之 名 蓋 從 勝 立 也 此 則 豈 同 
T46n1928_001:0707b09	皮肉之見乎？又既煩惱等全是性惡，豈可一	皮 肉 之 見 乎 又 既 煩 惱 等 全 是 性 惡 豈 可 一 
T46n1928_001:0707b10	向云本無耶？然汝所引達磨印於可師，本無	向 云 本 無 耶 然 汝 所 引 達 磨 印 於 可 師 本 無 
T46n1928_001:0707b11	煩惱元是菩提等，斯乃圭峯異說，致令後人	煩 惱 元 是 菩 提 等 斯 乃 圭 峯 異 說 致 令 後 人 
T46n1928_001:0707b12	以此為極，便棄三道唯觀真心。若據祖堂自	以 此 為 極 便 棄 三 道 唯 觀 真 心 若 據 祖 堂 自 
T46n1928_001:0707b13	云，二祖禮三拜，依位立。豈言煩惱菩提一無	云 二 祖 禮 三 拜 依 位 立 豈 言 煩 惱 菩 提 一 無 
T46n1928_001:0707b14	一有耶？故不可以圭峯異說，而格今家妙談	一 有 耶 故 不 可 以 圭 峯 異 說 而 格 今 家 妙 談 
T46n1928_001:0707b15	爾。」(元本云：「此乃又超得髓之說也，可師之見，意縱階此，語且未圓。」問：「今明圓教，豈不論斷惑證理及翻迷就悟邪？	爾 元 本 云 此 乃 又 超 得 髓 之 說 也 可 師 之 見 意 縱 階 此 語 且 未 圓 問 今 明 圓 教 豈 不 論 斷 惑 證 理 及 翻 迷 就 悟 邪 
T46n1928_001:0707b16	若論者，何異持、育之解？」答：「秖如可師豈不斷惑翻迷？豈亦同前二邪？故知凡分漸頓，蓋論能斷能翻之所以爾。」)「今	若 論 者 何 異 持 育 之 解 答 秖 如 可 師 豈 不 斷 惑 翻 迷 豈 亦 同 前 二 邪 故 知 凡 分 漸 頓 蓋 論 能 斷 能 翻 之 所 以 爾 今 
T46n1928_001:0707b17	既約即論斷故無可滅，約即論悟故無可翻，	既 約 即 論 斷 故 無 可 滅 約 即 論 悟 故 無 可 翻 
T46n1928_001:0707b18	煩惱生死乃九界，法既十界互具方名圓，佛	煩 惱 生 死 乃 九 界 法 既 十 界 互 具 方 名 圓 佛 
T46n1928_001:0707b19	豈壞九轉九邪？如是方名達於非道，魔界即	豈 壞 九 轉 九 邪 如 是 方 名 達 於 非 道 魔 界 即 
T46n1928_001:0707b20	佛。故圓家斷證迷悟但約染淨論之，不約善	佛 故 圓 家 斷 證 迷 悟 但 約 染 淨 論 之 不 約 善 
T46n1928_001:0707b21	惡淨穢說也。諸宗既不明性具十界，則無圓	惡 淨 穢 說 也 諸 宗 既 不 明 性 具 十 界 則 無 圓 
T46n1928_001:0707b22	斷圓悟之義，故但得即名而無即義也。此乃	斷 圓 悟 之 義 故 但 得 即 名 而 無 即 義 也 此 乃 
T46n1928_001:0707b23	一家教觀大途，能知此已，或取或捨，自在用	一 家 教 觀 大 途 能 知 此 已 或 取 或 捨 自 在 用 
T46n1928_001:0707b24	之，故《止觀》亦云『唯信法性，不信其諸』，語似棄	之 故 止 觀 亦 云 唯 信 法 性 不 信 其 諸 語 似 棄 
T46n1928_001:0707b25	妄觀真(元云豈異可師之說)。而《義例》判云，破昔計故約對	妄 觀 真 元 云 豈 異 可 師 之 說 而 義 例 判 云 破 昔 計 故 約 對 
T46n1928_001:0707b26	治說，故知的示圓觀，須指三道即是三德，故	治 說 故 知 的 示 圓 觀 須 指 三 道 即 是 三 德 故 
T46n1928_001:0707b27	於陰等觀不思議也。若不精揀何稱圓修？此	於 陰 等 觀 不 思 議 也 若 不 精 揀 何 稱 圓 修 此 
T46n1928_001:0707b28	義難得的當，至因果不二門更為甄之。」二、則	義 難 得 的 當 至 因 果 不 二 門 更 為 甄 之 二 則 
T46n1928_001:0707b29	止下，示成由行。已約心法顯乎妙旨，雖知十	止 下 示 成 由 行 已 約 心 法 顯 乎 妙 旨 雖 知 十 
T46n1928_001:0707c01	妙不離一念，若非妙行何能成之？故玄文雖	妙 不 離 一 念 若 非 妙 行 何 能 成 之 故 玄 文 雖 
T46n1928_001:0707c02	立觀心，而且託事附法蓋非部意，故多闕略。	立 觀 心 而 且 託 事 附 法 蓋 非 部 意 故 多 闕 略 
T46n1928_001:0707c03	若具論能成之功，須指摩訶止觀也。故境等	若 具 論 能 成 之 功 須 指 摩 訶 止 觀 也 故 境 等 
T46n1928_001:0707c04	五妙且論諸聖及佛世當機所觀、所發、所行、	五 妙 且 論 諸 聖 及 佛 世 當 機 所 觀 所 發 所 行 
T46n1928_001:0707c05	所歷、所究盡法，而於我曹稟教行人如何成	所 歷 所 究 盡 法 而 於 我 曹 稟 教 行 人 如 何 成 
T46n1928_001:0707c06	就，故令修止觀用十法成乘，方能親觀妙境，	就 故 令 修 止 觀 用 十 法 成 乘 方 能 親 觀 妙 境 
T46n1928_001:0707c07	發智、立行、歷位、登果，故彼十乘能令行人成	發 智 立 行 歷 位 登 果 故 彼 十 乘 能 令 行 人 成 
T46n1928_001:0707c08	就自行因果也。言起教一章成今化他能所	就 自 行 因 果 也 言 起 教 一 章 成 今 化 他 能 所 
T46n1928_001:0707c09	者，彼文起教雖即弗宣，而且不出裂網之意，	者 彼 文 起 教 雖 即 弗 宣 而 且 不 出 裂 網 之 意 
T46n1928_001:0707c10	此裂網文泛論生起，雖在果後化他，細尋其	此 裂 網 文 泛 論 生 起 雖 在 果 後 化 他 細 尋 其 
T46n1928_001:0707c11	意，多明初心自行，故文云，種種經論開人眼	意 多 明 初 心 自 行 故 文 云 種 種 經 論 開 人 眼 
T46n1928_001:0707c12	目，執此疑彼、是一非諸，今融通經論解結出	目 執 此 疑 彼 是 一 非 諸 今 融 通 經 論 解 結 出 
T46n1928_001:0707c13	籠，豈非始行能裂他網！又文云，若人善用止	籠 豈 非 始 行 能 裂 他 網 又 文 云 若 人 善 用 止 
T46n1928_001:0707c14	觀觀心，則內慧明了，通達漸頓諸教，如破微	觀 觀 心 則 內 慧 明 了 通 達 漸 頓 諸 教 如 破 微 
T46n1928_001:0707c15	塵出大千經卷，河沙佛法一心中曉，豈非自	塵 出 大 千 經 卷 河 沙 佛 法 一 心 中 曉 豈 非 自 
T46n1928_001:0707c16	行起教。又云，若欲外益眾生逗機設教等，此	行 起 教 又 云 若 欲 外 益 眾 生 逗 機 設 教 等 此 
T46n1928_001:0707c17	文方是果後化他也。《輔行》二釋，謂化他裂網、	文 方 是 果 後 化 他 也 輔 行 二 釋 謂 化 他 裂 網 
T46n1928_001:0707c18	自行裂網，但自行文略，故讀者多暗。至于歸	自 行 裂 網 但 自 行 文 略 故 讀 者 多 暗 至 于 歸 
T46n1928_001:0707c19	大處文，亦為初心修觀而說，故云膠手易著、	大 處 文 亦 為 初 心 修 觀 而 說 故 云 膠 手 易 著 
T46n1928_001:0707c20	寱夢難醒，封文齊意自謂為是，乃至云為此	寱 夢 難 醒 封 文 齊 意 自 謂 為 是 乃 至 云 為 此 
T46n1928_001:0707c21	意故須論旨歸。故知五略十廣雖該自他、始	意 故 須 論 旨 歸 故 知 五 略 十 廣 雖 該 自 他 始 
T46n1928_001:0707c22	終而盡，是行者修法若了彼文，方可銷今相	終 而 盡 是 行 者 修 法 若 了 彼 文 方 可 銷 今 相 
T46n1928_001:0707c23	成之意。故今十門從染淨不二已去，皆指果	成 之 意 故 今 十 門 從 染 淨 不 二 已 去 皆 指 果 
T46n1928_001:0707c24	後設化之相，悉在初心剎那一念，而必須三	後 設 化 之 相 悉 在 初 心 剎 那 一 念 而 必 須 三 
T46n1928_001:0707c25	觀功成此用方顯，故文云，故須初心而遮而	觀 功 成 此 用 方 顯 故 文 云 故 須 初 心 而 遮 而 
T46n1928_001:0707c26	照等。故知能修起教之觀，則能成就應機現	照 等 故 知 能 修 起 教 之 觀 則 能 成 就 應 機 現 
T46n1928_001:0707c27	通說法之用也。此意稍隱，解者方知。不作此	通 說 法 之 用 也 此 意 稍 隱 解 者 方 知 不 作 此 
T46n1928_001:0707c28	解，則《止觀》裂網旨歸之文，《記》中自行之釋，及	解 則 止 觀 裂 網 旨 歸 之 文 記 中 自 行 之 釋 及 
T46n1928_001:0707c29	今相成之語，如何銷之？若云但修十乘果用	今 相 成 之 語 如 何 銷 之 若 云 但 修 十 乘 果 用 
T46n1928_001:0708a01	自顯者，則合云十乘成今化他能所爾。三、則	自 顯 者 則 合 云 十 乘 成 今 化 他 能 所 爾 三 則 
T46n1928_001:0708a02	彼下，功成識體。故知得此相成之意，則不唐	彼 下 功 成 識 體 故 知 得 此 相 成 之 意 則 不 唐 
T46n1928_001:0708a03	學問、不謾修行，教下所詮妙體可識。四、故更	學 問 不 謾 修 行 教 下 所 詮 妙 體 可 識 四 故 更 
T46n1928_001:0708a04	下，結示立名使詮旨斯顯四：初、立門所由。如	下 結 示 立 名 使 詮 旨 斯 顯 四 初 立 門 所 由 如 
T46n1928_001:0708a05	文。二、何者下，出門名義。理事三千本皆融即，	文 二 何 者 下 出 門 名 義 理 事 三 千 本 皆 融 即 
T46n1928_001:0708a06	實機未熟權化宜施，佛須物情分隔而說，故	實 機 未 熟 權 化 宜 施 佛 須 物 情 分 隔 而 說 故 
T46n1928_001:0708a07	云不二而二，半滿諸法暫有差殊，權化若成	云 不 二 而 二 半 滿 諸 法 暫 有 差 殊 權 化 若 成 
T46n1928_001:0708a08	實理須顯，佛隨自意開會而談，故云二而不	實 理 須 顯 佛 隨 自 意 開 會 而 談 故 云 二 而 不 
T46n1928_001:0708a09	二。境等十法即是所通，既約教部判後開之	二 境 等 十 法 即 是 所 通 既 約 教 部 判 後 開 之 
T46n1928_001:0708a10	俱圓俱妙，故能通門宜名不二。三、各自高深。	俱 圓 俱 妙 故 能 通 門 宜 名 不 二 三 各 自 高 深 
T46n1928_001:0708a11	一家所判，法門名義無間高下，己他無不理	一 家 所 判 法 門 名 義 無 間 高 下 己 他 無 不 理 
T46n1928_001:0708a12	性本具，全性起修分顯究盡，故今十門一一	性 本 具 全 性 起 修 分 顯 究 盡 故 今 十 門 一 一 
T46n1928_001:0708a13	如是，皆為觀體，其義更明。然事異故六、理一	如 是 皆 為 觀 體 其 義 更 明 然 事 異 故 六 理 一 
T46n1928_001:0708a14	故即，此宗學者誰不言之，而的當者無幾。應	故 即 此 宗 學 者 誰 不 言 之 而 的 當 者 無 幾 應 
T46n1928_001:0708a15	知圓家明理已具三千，而皆性不可變，約事	知 圓 家 明 理 已 具 三 千 而 皆 性 不 可 變 約 事 
T46n1928_001:0708a16	乃論迷解、真似、因果有殊。故下文云，三千在	乃 論 迷 解 真 似 因 果 有 殊 故 下 文 云 三 千 在 
T46n1928_001:0708a17	理同名無明，三千果成咸稱常樂(約事明六)，三千無	理 同 名 無 明 三 千 果 成 咸 稱 常 樂 約 事 明 六 三 千 無 
T46n1928_001:0708a18	改無明即明，三千並常俱體俱用(約理明即)。若見斯	改 無 明 即 明 三 千 並 常 俱 體 俱 用 約 理 明 即 若 見 斯 
T46n1928_001:0708a19	旨，稍可持論。四、直彰宗趣。如文。	旨 稍 可 持 論 四 直 彰 宗 趣 如 文 
T46n1928_001:0708a20	二、一者下，第二列門解釋二：初、列門對妙二：	二 一 者 下 第 二 列 門 解 釋 二 初 列 門 對 妙 二 
T46n1928_001:0708a21	初、列門。可見。二、是中下，對妙。七科之境不出	初 列 門 可 見 二 是 中 下 對 妙 七 科 之 境 不 出 
T46n1928_001:0708a22	色心，此二不二則諸境皆妙，故云第一從境	色 心 此 二 不 二 則 諸 境 皆 妙 故 云 第 一 從 境 
