T48n2009_001:0365a08	小室六門	小 室 六 門 
T48n2009_001:0374a14	法。是因果。是受報。是輪迴法。不免生死。何	法 是 因 果 是 受 報 是 輪 迴 法 不 免 生 死 何 
T48n2009_001:0374a15	時得成佛道。成佛須是見性。若不見性。因果	時 得 成 佛 道 成 佛 須 是 見 性 若 不 見 性 因 果 
T48n2009_001:0374a16	等語是外道法。若是佛。不習外道法。佛是無	等 語 是 外 道 法 若 是 佛 不 習 外 道 法 佛 是 無 
T48n2009_001:0374a17	業人無因果。但有少法可得。盡是謗佛。憑何	業 人 無 因 果 但 有 少 法 可 得 盡 是 謗 佛 憑 何 
T48n2009_001:0374a18	得成。但有住著一心一能一解一見。佛都不	得 成 但 有 住 著 一 心 一 能 一 解 一 見 佛 都 不 
T48n2009_001:0374a19	許。佛無持犯。心性本空。亦非垢淨。諸法無修	許 佛 無 持 犯 心 性 本 空 亦 非 垢 淨 諸 法 無 修 
T48n2009_001:0374a20	無證。無因無果。佛不持戒。佛不修善。佛不造	無 證 無 因 無 果 佛 不 持 戒 佛 不 修 善 佛 不 造 
T48n2009_001:0374a21	惡。佛不精進。佛不懈怠。佛是無作人。但有住	惡 佛 不 精 進 佛 不 懈 怠 佛 是 無 作 人 但 有 住 
T48n2009_001:0374a22	著心見佛。即不許也。佛不是佛。莫作佛解。若	著 心 見 佛 即 不 許 也 佛 不 是 佛 莫 作 佛 解 若 
T48n2009_001:0374a23	不見此義。一切時中。一切處處。皆是不了本	不 見 此 義 一 切 時 中 一 切 處 處 皆 是 不 了 本 
T48n2009_001:0374a24	心。若不見性。一切時中。擬作無作想。是大罪	心 若 不 見 性 一 切 時 中 擬 作 無 作 想 是 大 罪 
T48n2009_001:0374a25	人。是癡人。落無記空中。昏昏如醉人。不辨好	人 是 癡 人 落 無 記 空 中 昏 昏 如 醉 人 不 辨 好 
T48n2009_001:0374a26	惡。若擬修無作法。先須見性。然後息緣慮。若	惡 若 擬 修 無 作 法 先 須 見 性 然 後 息 緣 慮 若 
T48n2009_001:0374a27	不見性。得成佛道。無有是處。有人撥無因果。	不 見 性 得 成 佛 道 無 有 是 處 有 人 撥無因果 
T48n2009_001:0374a28	熾然作惡業。妄言本空。作惡無過。如此之人。	熾 然 作 惡 業 妄 言 本 空 作 惡 無 過 如 此 之 人 
T48n2009_001:0374a29	墮無間黑暗地獄。永無出期。若是智人。不應	墮 無 間 黑 暗 地 獄 永 無 出 期 若 是 智 人 不 應 
T48n2009_001:0374b01	作如是見解。	作 如 是 見 解 
T48n2009_001:0374b02	問曰。既若施為運動。一切時中。皆是本心。色	問 曰 既 若 施 為 運 動 一 切 時 中 皆 是 本 心 色 
T48n2009_001:0374b03	身無常之時。云何不見本心。答曰。本心常現	身 無 常 之 時 云 何 不 見 本 心 答 曰 本 心 常 現 
T48n2009_001:0374b04	前。汝自不見。	前 汝 自 不 見 
T48n2009_001:0374b05	問曰。心既見在。何故不見。師云。汝曾作夢	問 曰 心 既 見 在 何 故 不 見 師 云 汝 曾 作 夢 
T48n2009_001:0374b06	否。答。曾作夢。問曰。汝作夢之時。是汝本身	否 答 曾 作 夢 問 曰 汝 作 夢 之 時 是 汝 本 身 
T48n2009_001:0374b07	否。答。是本身。又問。汝言語施為運動。與汝	否 答 是 本 身 又 問 汝 言 語 施 為 運 動 與 汝 
T48n2009_001:0374b08	別不別。答。不別。師云。既若不別。即是此身是	別 不 別 答 不 別 師 云 既 若 不 別 即 是 此 身 是 
T48n2009_001:0374b09	汝本法身。即此法身是汝本心。此心從無始	汝 本 法 身 即 此 法 身 是 汝 本 心 此 心 從 無 始 
T48n2009_001:0374b10	曠大劫來。與如今不別。未曾有生死。不生不	曠 大 劫 來 與 如 今 不 別 未 曾 有 生 死 不 生 不 
T48n2009_001:0374b11	滅。不增不減。不垢不淨。不好不惡。不來不	滅 不增不減 不垢不淨 不 好 不 惡 不 來 不 
T48n2009_001:0374b12	去。亦無是非。亦無男女相。亦無僧俗老少。無	去 亦 無 是 非 亦 無 男 女 相 亦 無 僧 俗 老 少 無 
T48n2009_001:0374b13	聖無凡。亦無佛亦無眾生。亦無修證。亦無因	聖 無 凡 亦 無 佛 亦 無 眾 生 亦 無 修 證 亦 無 因 
T48n2009_001:0374b14	果。亦無筋力。亦無相貌。猶如虛空。取不得捨	果 亦 無 筋 力 亦 無 相 貌 猶如虛空 取 不 得 捨 
T48n2009_001:0374b15	不得。山河石壁不能為礙。出沒往來自在神	不 得 山 河 石 壁 不 能 為 礙 出 沒 往 來 自 在 神 
T48n2009_001:0374b16	通。透五蘊山。渡生死河。一切業拘此法身不	通 透 五 蘊 山 渡 生 死 河 一 切 業 拘 此 法 身 不 
T48n2009_001:0374b17	得。此心微妙難見。此心不同色心。此心是人	得 此 心 微 妙 難 見 此 心 不 同 色 心 此 心 是 人 
T48n2009_001:0374b18	皆欲得見。於此光明中。運手動足者。如恒河	皆 欲 得 見 於 此 光 明 中 運 手 動 足 者 如 恒 河 
T48n2009_001:0374b19	沙。及于問著。總道不得。猶如木人相似。總是	沙 及 于 問 著 總 道 不 得 猶 如 木 人 相 似 總 是 
T48n2009_001:0374b20	自己受用。因何不識。佛言。一切眾生盡是迷	自 己 受 用 因 何 不 識 佛 言 一 切 眾 生 盡 是 迷 
T48n2009_001:0374b21	人。因此作業。墮生死河。欲出還沒。只為不見	人 因 此 作 業 墮 生 死 河 欲 出 還 沒 只 為 不 見 
T48n2009_001:0374b22	性。眾生若不迷。因何問著其中事。無有一人	性 眾 生 若 不 迷 因 何 問 著 其 中 事 無 有 一 人 
T48n2009_001:0374b23	得會者。自家運手動足。因何不識。故知聖人	得 會 者 自 家 運 手 動 足 因 何 不 識 故 知 聖 人 
T48n2009_001:0374b24	語不錯。迷人自不會曉。故知此難明。唯佛一	語 不 錯 迷 人 自 不 會 曉 故 知 此 難 明 唯 佛 一 
T48n2009_001:0374b25	人能會此法。餘人天及眾生等盡不明了。若	人 能 會 此 法 餘 人 天 及 眾 生 等 盡 不 明 了 若 
T48n2009_001:0374b26	智慧明了此心。方名法性。亦名解脫。生死不	智慧明了 此 心 方 名 法 性 亦 名 解 脫 生 死 不 
T48n2009_001:0374b27	拘。一切法拘他不得。是名大自在王如來。亦	拘 一 切 法 拘 他 不 得 是 名 大 自 在 王 如 來 亦 
T48n2009_001:0374b28	名不思議。亦名聖體。亦名長生不死。亦名大	名 不 思 議 亦 名 聖 體 亦 名 長 生 不 死 亦 名 大 
T48n2009_001:0374b29	仙。名雖不同。體即是一。聖人種種分別。皆不	仙 名 雖 不 同 體 即 是 一 聖 人 種 種 分 別 皆 不 
T48n2009_001:0374c01	離自心。心量廣大。應用無窮。應眼見色。應耳	離 自 心 心 量 廣 大 應 用 無 窮 應 眼 見 色 應 耳 
T48n2009_001:0374c02	聞聲。應鼻嗅香。應舌知味。乃至施為運動。皆	聞 聲 應 鼻 嗅 香 應 舌 知 味 乃 至 施 為 運 動 皆 
T48n2009_001:0374c03	是自心。一切時中。但有語言。即是自心。故	是 自 心 一 切 時 中 但 有 語 言 即 是 自 心 故 
T48n2009_001:0374c04	云。如來色無盡。智慧亦復然。色無盡是自心。	云 如 來 色 無 盡 智 慧 亦 復 然 色 無 盡 是 自 心 
T48n2009_001:0374c05	心識善能分別一切。乃至施為運用。皆是智	心 識 善 能 分 別 一 切 乃 至 施 為 運 用 皆 是 智 
T48n2009_001:0374c06	慧。心無形相。智慧亦無盡。故云。如來色無	慧 心 無 形 相 智 慧 亦 無 盡 故 云 如 來 色 無 
T48n2009_001:0374c07	盡。智慧亦復然。四大色身即是煩惱。色身即	盡 智 慧 亦 復 然 四 大 色 身 即 是 煩 惱 色 身 即 
T48n2009_001:0374c08	有生滅。法身常住。而無所住。如來法身常不	有 生 滅 法 身 常 住 而 無 所 住 如來法身 常 不 
T48n2009_001:0374c09	變異。故經云。眾生應知。佛性本自有之。迦葉	變 異 故 經 云 眾 生 應 知 佛 性 本 自 有 之 迦 葉 
T48n2009_001:0374c10	只是悟得本性。本性即是心。心即是性。即此	只 是 悟 得 本 性 本 性 即 是 心 心 即 是 性 即 此 
T48n2009_001:0374c11	同諸佛心。前佛後佛只傳此心。除此心外。無	同 諸 佛 心 前 佛 後 佛 只 傳 此 心 除 此 心 外 無 
T48n2009_001:0374c12	佛可得。顛倒眾生。不知自心是佛。向外馳求。	佛 可 得 顛 倒 眾 生 不 知 自 心 是 佛 向 外 馳 求 
T48n2009_001:0374c13	終日忙忙。念佛禮佛。佛在何處。不應作如是	終 日 忙 忙 念 佛 禮 佛 佛 在 何 處 不 應 作 如 是 
T48n2009_001:0374c14	等見。但識自心。心外更無別佛。經云。凡所有	等 見 但 識 自 心 心 外 更 無 別 佛 經 云 凡 所 有 
T48n2009_001:0374c15	相皆是虛妄。又云。所在之處即為有佛。自心	相 皆 是 虛 妄 又 云 所 在 之 處 即 為 有 佛 自 心 
T48n2009_001:0374c16	是佛。不應將佛禮佛。但是有佛及菩薩相貌。	是 佛 不 應 將 佛 禮 佛 但 是 有 佛 及 菩 薩 相 貌 
T48n2009_001:0374c17	忽爾現前。亦切不用禮敬。我心空寂。本無如	忽 爾 現 前 亦 切 不 用 禮 敬 我 心 空 寂 本 無 如 
T48n2009_001:0374c18	是相貌。若取相即是魔。盡落邪道。若是幻從	是 相 貌 若 取 相 即 是 魔 盡 落 邪 道 若 是 幻 從 
T48n2009_001:0374c19	心起。即不用禮。禮者不知。知者不禮。禮被魔	心 起 即 不 用 禮 禮 者 不 知 知 者 不 禮 禮 被 魔 
T48n2009_001:0374c20	攝。恐學人不知。故作是辨。諸佛如來本性體	攝 恐 學 人 不 知 故 作 是 辨 諸佛如來 本 性 體 
T48n2009_001:0374c21	上。都無如是相貌。切須在意。但有異境界。切	上 都 無 如 是 相 貌 切 須 在 意 但 有 異 境 界 切 
T48n2009_001:0374c22	不用採括。亦莫生怕怖。不要疑惑。我心本來	不 用 採 括 亦 莫 生 怕 怖 不 要 疑 惑 我 心 本 來 
T48n2009_001:0374c23	清淨。何處有如許相貌。乃至天龍夜叉鬼神	清 淨 何 處 有 如 許 相 貌 乃 至 天 龍 夜 叉 鬼 神 
T48n2009_001:0374c24	帝釋梵王等相。亦不用心生敬重。亦莫怕懼。	帝 釋 梵 王 等 相 亦 不 用 心 生 敬 重 亦 莫 怕 懼 
T48n2009_001:0374c25	我心本來空寂。一切相貌皆是妄相。但莫取	我 心 本 來 空 寂 一 切 相 貌 皆 是 妄 相 但 莫 取 
T48n2009_001:0374c26	相。若起佛見法見。及佛菩薩等相貌而生敬	相 若 起 佛 見 法 見 及 佛 菩 薩 等 相 貌 而 生 敬 
T48n2009_001:0374c27	重。自墮眾生位中。若欲直會。但莫取一切相	重 自 墮 眾 生 位 中 若 欲 直 會 但 莫 取 一 切 相 
T48n2009_001:0374c28	即得。更無別語。都無定實。幻無定相。是無常	即 得 更 無 別 語 都 無 定 實 幻 無 定 相 是 無 常 
T48n2009_001:0374c29	法。但不取相。合他聖意。故經云。離一切相。	法 但 不 取 相 合 他 聖 意 故 經 云 離一切相 
T48n2009_001:0375a01	即名諸佛。	即 名 諸 佛 
T48n2009_001:0375a02	問曰。因何不得禮佛菩薩等。答曰。天魔波旬	問 曰 因 何 不 得 禮 佛 菩 薩 等 答 曰 天 魔 波 旬 
T48n2009_001:0375a03	阿修羅示見神通。皆作得菩薩相貌。種種變	阿 修 羅 示 見 神 通 皆 作 得 菩 薩 相 貌 種 種 變 
T48n2009_001:0375a04	化。皆是外道。總不是佛。佛是自心。莫錯禮	化 皆 是 外 道 總 不 是 佛 佛 是 自 心 莫 錯 禮 
T48n2009_001:0375a05	拜。佛是西國語。此土云覺性。覺者靈覺。應機	拜 佛 是 西 國 語 此 土 云 覺 性 覺 者 靈 覺 應 機 
T48n2009_001:0375a06	接物。揚眉瞬目。運手動足。皆是自己靈覺之	接 物 揚 眉 瞬 目 運 手 動 足 皆 是 自 己 靈 覺 之 
T48n2009_001:0375a07	性。性即是心。心即是佛。佛即是道。道即是	性 性 即 是 心 心 即 是 佛 佛 即 是 道 道 即 是 
T48n2009_001:0375a08	禪。禪之一字。非凡聖所測。直見本性。名之為	禪 禪 之 一 字 非 凡 聖 所 測 直 見 本 性 名 之 為 
T48n2009_001:0375a09	禪。若不見本性。即非禪也。假使說得千經萬	禪 若 不 見 本 性 即 非 禪 也 假 使 說 得 千 經 萬 
T48n2009_001:0375a10	論。若不見本性。只是凡夫。非是佛法。至道幽	論 若 不 見 本 性 只 是 凡 夫 非 是 佛 法 至 道 幽 
T48n2009_001:0375a11	深。不可話會。典教憑何所及。但見本性。一字	深 不 可 話 會 典 教 憑 何 所 及 但 見 本 性 一 字 
T48n2009_001:0375a12	不識亦得。見性即是佛。聖體本來清淨。無有	不 識 亦 得 見 性 即 是 佛 聖 體 本 來 清 淨 無 有 
T48n2009_001:0375a13	雜穢。所有言說皆是聖人。從心起用。用體本	雜 穢 所 有 言 說 皆 是 聖 人 從 心 起 用 用 體 本 
T48n2009_001:0375a14	來空名。言尚不及。十二部經憑何得及。道本	來 空 名 言 尚 不 及 十二部經 憑 何 得 及 道 本 
T48n2009_001:0375a15	圓成。不用修證。道非聲色。微妙難見。如人飲	圓 成 不 用 修 證 道 非 聲 色 微 妙 難 見 如 人 飲 
T48n2009_001:0375a16	水冷暖自知。不可向人說也。唯有如來能知。	水 冷 暖 自 知 不 可 向 人 說 也 唯 有 如 來 能 知 
T48n2009_001:0375a17	餘人天等類。都不覺知。凡夫智不及。所以有	餘 人 天 等 類 都 不 覺 知 凡 夫 智 不 及 所 以 有 
T48n2009_001:0375a18	執相。不了自心本來空寂。妄執相及一切法。	執 相 不 了 自 心 本 來 空 寂 妄 執 相 及 一 切 法 
T48n2009_001:0375a19	即墮外道。若知諸法從心生。不應有執。執即	即 墮 外 道 若 知 諸 法 從 心 生 不 應 有 執 執 即 
T48n2009_001:0375a20	不知。若見本性。十二部經總是閑文字。千經	不 知 若 見 本 性 十二部經 總 是 閑 文 字 千 經 
T48n2009_001:0375a21	萬論只是明心。言下契會。教將何用。至理絕	萬 論 只 是 明 心 言 下 契 會 教 將 何 用 至 理 絕 
T48n2009_001:0375a22	言。教是言詞。實不是道。道本無言。言說是	言 教 是 言 詞 實 不 是 道 道 本 無 言 言 說 是 
T48n2009_001:0375a23	妄。若夜夢見樓閣宮殿象馬之屬。及樹木叢	妄 若 夜 夢 見 樓 閣 宮 殿 象 馬 之 屬 及 樹 木 叢 
T48n2009_001:0375a24	林池亭。如是等相。不得起一念樂著。盡是託	林 池 亭 如 是 等 相 不 得 起 一 念 樂 著 盡 是 託 
T48n2009_001:0375a25	生之處。切須在意。臨終之時。不得取相。即得	生 之 處 切 須 在 意 臨 終 之 時 不 得 取 相 即 得 
T48n2009_001:0375a26	除障。疑心瞥起。即被魔攝。法身本來清淨無	除 障 疑 心 瞥 起 即 被 魔 攝 法 身 本 來 清 淨 無 
T48n2009_001:0375a27	受。只緣迷故。不覺不知。因茲故妄受報。所以	受 只 緣 迷 故 不 覺 不 知 因 茲 故 妄 受 報 所 以 
T48n2009_001:0375a28	有樂著不得自在。只今若悟得。本來身心。即	有 樂 著 不得自在 只 今 若 悟 得 本 來 身 心 即 
T48n2009_001:0375a29	不染習。若從聖入凡。示現種種雜類等。自為	不 染 習 若 從 聖 入 凡 示 現 種 種 雜 類 等 自 為 
T48n2009_001:0375b01	眾生。故聖人逆順皆得自在。一切業拘他不	眾 生 故 聖 人 逆 順 皆 得 自 在 一 切 業 拘 他 不 
T48n2009_001:0375b02	得。聖成久矣。有大威德。一切品類業。被他聖	得 聖 成 久 矣 有 大 威 德 一切品類 業 被 他 聖 
T48n2009_001:0375b03	人轉。天堂地獄。無奈他何。凡夫神識昏昧。不	人 轉 天 堂 地 獄 無 奈 他 何 凡 夫 神 識 昏 昧 不 
T48n2009_001:0375b04	同聖人內外明徹。若有疑即不作。作即流浪	同 聖 人 內 外 明 徹 若 有 疑 即 不 作 作 即 流 浪 
T48n2009_001:0375b05	生死。後悔無相救處。貧窮困苦皆從妄想生。	生 死 後 悔 無 相 救 處 貧窮困苦 皆 從 妄 想 生 
T48n2009_001:0375b06	若了是心。遞相勸勉。但無作而作。即入如來	若 了 是 心 遞 相 勸 勉 但 無 作 而 作 即 入 如 來 
T48n2009_001:0375b07	知見。初發心人神識總不定。若夢中頻見異	知 見 初 發 心 人 神 識 總 不 定 若 夢 中 頻 見 異 
T48n2009_001:0375b08	境。輒不用疑。皆是自心起故。不從外來。夢若	境 輒 不 用 疑 皆 是 自 心 起 故 不 從 外 來 夢 若 
T48n2009_001:0375b09	見光明出現過於日輪。即餘習頓盡。法界性	見 光 明 出 現 過 於 日 輪 即 餘 習 頓 盡 法 界 性 
T48n2009_001:0375b10	見。若有此事。即是成道之因。唯可自知。不可	見 若 有 此 事 即 是 成 道 之 因 唯 可 自 知 不 可 
T48n2009_001:0375b11	向人說。或靜園林中。行住坐臥。眼見光明。或	向 人 說 或 靜 園 林 中 行住坐臥 眼 見 光 明 或 
T48n2009_001:0375b12	大或小。莫與人說。亦不得取。亦是自性光明。	大 或 小 莫 與 人 說 亦 不 得 取 亦 是 自 性 光 明 
T48n2009_001:0375b13	或靜暗中。行住坐臥。眼見光明。與晝無異。不	或 靜 暗 中 行住坐臥 眼 見 光 明 與 晝 無 異 不 
T48n2009_001:0375b14	得怪。並是自心欲明顯。或夜夢中。見星月分	得 怪 並 是 自 心 欲 明 顯 或 夜 夢 中 見 星 月 分 
T48n2009_001:0375b15	明。亦自心諸緣欲息。亦不得向人說。夢若昏	明 亦 自 心 諸 緣 欲 息 亦 不 得 向 人 說 夢 若 昏 
T48n2009_001:0375b16	昏。猶如陰暗中行。亦是自心煩惱障重。亦可	昏 猶 如 陰 暗 中 行 亦 是 自 心 煩 惱 障 重 亦 可 
T48n2009_001:0375b17	自知。若見本性。不用讀經念佛。廣學多知無	自 知 若 見 本 性 不 用 讀 經 念 佛 廣 學 多 知 無 
T48n2009_001:0375b18	益。神識轉昏。設教只為標心。若識心。何用看	益 神 識 轉 昏 設 教 只 為 標 心 若 識 心 何 用 看 
T48n2009_001:0375b19	教。若從凡入聖。即須息業養神隨分過日。若	教 若 從 凡 入 聖 即 須 息 業 養 神 隨 分 過 日 若 
T48n2009_001:0375b20	多嗔恚。令性轉與道相違。自賺無益。聖人於	多 嗔 恚 令 性 轉 與 道 相 違 自 賺 無 益 聖 人 於 
T48n2009_001:0375b21	生死中自在。出沒隱顯不定。一切業拘他不	生 死 中 自 在 出 沒 隱 顯 不 定 一 切 業 拘 他 不 
T48n2009_001:0375b22	得。聖人破邪魔。一切眾生但見本性。餘習頓	得 聖 人 破 邪 魔 一 切 眾 生 但 見 本 性 餘 習 頓 
T48n2009_001:0375b23	滅。神識不昧。須是直下便會。只在如今。欲真	滅 神 識 不 昧 須 是 直 下 便 會 只 在 如 今 欲 真 
T48n2009_001:0375b24	會道。莫執一切法。息業養神。餘習亦盡。自然	會 道 莫 執 一 切 法 息 業 養 神 餘 習 亦 盡 自 然 
T48n2009_001:0375b25	明白。不假用功。外道不會佛意。用功最多。違	明 白 不 假 用 功 外 道 不 會 佛 意 用 功 最 多 違 
T48n2009_001:0375b26	背聖意。終日區區念佛轉經。昏於神性。不免	背 聖 意 終 日 區 區 念 佛 轉 經 昏 於 神 性 不 免 
T48n2009_001:0375b27	輪迴。佛是閑人。何用區區廣求名利。後時何	輪 迴 佛 是 閑 人 何 用 區 區 廣 求 名 利 後 時 何 
T48n2009_001:0375b28	用。但不見性人。讀經念佛。長學精進。六時行	用 但 不 見 性 人 讀 經 念 佛 長 學 精 進 六 時 行 
T48n2009_001:0375b29	道。長坐不臥。廣學多聞。以為佛法。此等眾	道 長 坐 不 臥 廣 學 多 聞 以 為 佛 法 此 等 眾 
T48n2009_001:0375c01	生。盡是謗佛法人。前佛後佛只言見性。諸行	生 盡 是 謗 佛 法 人 前 佛 後 佛 只 言 見 性 諸 行 
T48n2009_001:0375c02	無常。若不見性。妄言我得阿耨菩提。此是大	無 常 若 不 見 性 妄 言 我 得 阿耨菩提 此 是 大 
T48n2009_001:0375c03	罪人。十大弟子中。阿難多聞第一。於佛無識。	罪 人 十 大 弟 子 中 阿 難 多 聞 第 一 於 佛 無 識 
T48n2009_001:0375c04	只學多聞。二乘外道皆無識佛。識數修證。墮	只 學 多 聞 二乘外道 皆 無 識 佛 識 數 修 證 墮 
T48n2009_001:0375c05	在因果。是眾生報。不免生死。違背佛意。即是	在 因 果 是 眾 生 報 不 免 生 死 違 背 佛 意 即 是 
T48n2009_001:0375c06	謗佛眾生。殺却無罪過。經云。闡提人不生信	謗 佛 眾 生 殺 却 無 罪 過 經 云 闡 提 人 不 生 信 
T48n2009_001:0375c07	心。殺却無罪過。若有信心。此人是佛位人。若	心 殺 却 無 罪 過 若 有 信 心 此 人 是 佛 位 人 若 
T48n2009_001:0375c08	不見性。即不用取次謗他良善。自賺無益。善	不 見 性 即 不 用 取 次 謗 他 良 善 自 賺 無 益 善 
T48n2009_001:0375c09	惡歷然。因果分明。天堂地獄只在眼前。愚人	惡 歷 然 因 果 分 明 天 堂 地 獄 只 在 眼 前 愚 人 
T48n2009_001:0375c10	不信。現墮黑暗地獄中。亦不覺不知。只緣業	不 信 現 墮 黑 暗 地 獄 中 亦 不 覺 不 知 只 緣 業 
T48n2009_001:0375c11	重故。所以不信。譬如無目人不信道有光明。	重 故 所 以 不 信 譬 如 無 目 人 不 信 道 有 光 明 
T48n2009_001:0375c12	縱向伊說亦不信。只緣盲故。憑何辨得日光。	縱 向 伊 說 亦 不 信 只 緣 盲 故 憑 何 辨 得 日 光 
T48n2009_001:0375c13	愚人亦復如是。現今墮畜生雜類。誕在貧窮	愚 人 亦復如是 現 今 墮 畜 生 雜 類 誕 在 貧 窮 
T48n2009_001:0375c14	下賤。求生不得。求死不得。雖受是苦。直問著	下 賤 求 生 不 得 求 死 不 得 雖 受 是 苦 直 問 著 
T48n2009_001:0375c15	亦言。我今快樂。不異天堂。故知一切眾生。生	亦 言 我 今 快 樂 不 異 天 堂 故 知 一 切 眾 生 生 
T48n2009_001:0375c16	處為樂。亦不覺不知。如斯惡人。只緣業障重	處 為 樂 亦 不 覺 不 知 如 斯 惡 人 只 緣 業 障 重 
T48n2009_001:0375c17	故。所以不能發信心者。不自由他也。若見自	故 所 以 不 能 發 信 心 者 不 自 由 他 也 若 見 自 
T48n2009_001:0375c18	心是佛。不在剃除鬢髮。白衣亦是佛。若不見	心 是 佛 不 在 剃 除 鬢 髮 白 衣 亦 是 佛 若 不 見 
T48n2009_001:0375c19	性。剃除鬚髮亦是外道。	性 剃除鬚髮 亦 是 外 道 
T48n2009_001:0375c20	問曰。白衣有妻子。婬慾不除。憑何得成佛。答	問 曰 白 衣 有 妻 子 婬 慾 不 除 憑 何 得 成 佛 答 
T48n2009_001:0375c21	曰。只言見性。不言婬慾。只為不見性。但得見	曰 只 言 見 性 不 言 婬 慾 只 為 不 見 性 但 得 見 
T48n2009_001:0375c22	性。婬慾本來空。寂不假斷除。亦不樂著。何以	性 婬 慾 本 來 空 寂 不 假 斷 除 亦 不 樂 著 何 以 
T48n2009_001:0375c23	故。性本清淨故。雖處在五蘊色身中。其性本	故 性 本 清 淨 故 雖 處 在 五 蘊 色 身 中 其 性 本 
T48n2009_001:0375c24	來清淨。染污不得。法身本來無受。無飢無渴。	來 清 淨 染 污 不 得 法 身 本 來 無 受 無 飢 無 渴 
T48n2009_001:0375c25	無寒無熱無病。無因愛。無眷屬。無苦樂。無	無 寒 無 熱 無 病 無 因 愛 無 眷 屬 無 苦 樂 無 
T48n2009_001:0375c26	好惡。無短長。無強弱。本來無有一物可得。只	好 惡 無 短 長 無 強 弱 本 來 無 有 一 物 可 得 只 
T48n2009_001:0375c27	緣執有此色身因。即有飢渴寒熱瘴病等相。	緣 執 有 此 色 身 因 即 有 飢 渴 寒 熱 瘴 病 等 相 
T48n2009_001:0375c28	若不執即一任作為。於生死中得大自在。轉	若 不 執 即 一 任 作 為 於 生 死 中 得 大 自 在 轉 
T48n2009_001:0375c29	一切法。與聖人神通自在無礙。無處不安。若	一 切 法 與 聖 人 神通自在 無 礙 無 處 不 安 若 
T48n2009_001:0376a01	心有疑。決定透一切境界不過。不作最好作	心 有 疑 決 定 透 一切境界 不 過 不 作 最 好 作 
T48n2009_001:0376a02	了。不免輪迴生死。若見性。旃陀羅亦得成	了 不 免 輪迴生死 若 見 性 旃 陀 羅 亦 得 成 
T48n2009_001:0376a03	佛。	佛 
T48n2009_001:0376a04	問曰。旃陀羅殺生作業。如何得成佛。答曰。只	問 曰 旃 陀 羅 殺 生 作 業 如 何 得 成 佛 答 曰 只 
T48n2009_001:0376a05	言見性。不言作業。縱作業不同。一切業拘他	言 見 性 不 言 作 業 縱 作 業 不 同 一 切 業 拘 他 
T48n2009_001:0376a06	不得。從無始曠大劫來。只為不見性。墮地獄	不 得 從 無 始 曠 大 劫 來 只 為 不 見 性 墮 地 獄 
T48n2009_001:0376a07	中。所以作業輪迴生死。從悟得本性。終不作	中 所 以 作 業 輪迴生死 從 悟 得 本 性 終 不 作 
T48n2009_001:0376a08	業。若不見性。念佛免報不得。非論殺生命。若	業 若 不 見 性 念 佛 免 報 不 得 非 論 殺 生 命 若 
T48n2009_001:0376a09	見性疑心頓除。殺生命亦不奈他何。西天二	見 性 疑 心 頓 除 殺 生 命 亦 不 奈 他 何 西 天 二 
T48n2009_001:0376a10	十七祖。只是遞傳心印。吾今來此土。唯傳一	十 七 祖 只 是 遞 傳 心 印 吾 今 來 此 土 唯 傳 一 
T48n2009_001:0376a11	心。不言戒施。精進苦行。乃至入水火登劍輪。	心 不 言 戒 施 精 進 苦 行 乃 至 入 水 火 登 劍 輪 
T48n2009_001:0376a12	一食卯齋長坐不臥。盡是外道有為法。若識	一 食 卯 齋 長 坐 不 臥 盡 是 外 道 有 為 法 若 識 
T48n2009_001:0376a13	得施為運動靈覺之性。即諸佛心。前佛後佛	得 施 為 運 動 靈 覺 之 性 即 諸 佛 心 前 佛 後 佛 
T48n2009_001:0376a14	只言傳心。更無別法。若識此法。凡夫一字不	只 言 傳 心 更 無 別 法 若 識 此 法 凡 夫 一 字 不 
T48n2009_001:0376a15	識亦是佛。若不識自己靈覺之性。假使身破	識 亦 是 佛 若 不 識 自 己 靈 覺 之 性 假 使 身 破 
T48n2009_001:0376a16	如微塵覓佛。終不得也。佛者亦名法身。亦名	如 微 塵 覓 佛 終 不 得 也 佛 者 亦 名 法 身 亦 名 
T48n2009_001:0376a17	本心。此心無形相。無因果。無筋骨。猶如虛	本 心 此 心 無 形 相 無 因 果 無 筋 骨 猶 如 虛 
T48n2009_001:0376a18	空。取不得。不同質礙。不同外道。此心除如來	空 取 不 得 不 同 質 礙 不 同 外 道 此 心 除 如 來 
T48n2009_001:0376a19	一人能會。其餘眾生迷人不明了。此心不離	一 人 能 會 其 餘 眾 生 迷 人 不 明 了 此 心 不 離 
T48n2009_001:0376a20	四大色身中。若離此心。即無能運動。是身無	四 大 色 身 中 若 離 此 心 即 無 能 運 動 是 身 無 
T48n2009_001:0376a21	知。如草木瓦礫。身是無情。因何運動。若自心	知 如 草 木 瓦 礫 身 是 無 情 因 何 運 動 若 自 心 
T48n2009_001:0376a22	動。乃至語言施為運動。見聞覺知。皆是心動。	動 乃 至 語 言 施 為 運 動 見聞覺知 皆 是 心 動 
T48n2009_001:0376a23	心動用動。動即其用。動外無心。心外無動。動	心 動 用 動 動 即 其 用 動 外 無 心 心 外 無 動 動 
T48n2009_001:0376a24	不是心。心不是動。動本無心。心本無動。動不	不 是 心 心 不 是 動 動 本 無 心 心 本 無 動 動 不 
