T54n2126_001:0234a10	僧史略序	僧 史 略 序 
T54n2126_001:0236b05	為夏安居。是知隨方宗計各別。況佛在西域	為 夏 安 居 是 知 隨 方 宗 計 各 別 況 佛 在 西 域 
T54n2126_001:0236b06	說經。羅漢居竺乾造論。必不指東震之月。所	說 經 羅 漢 居 竺 乾 造 論 必 不 指 東 震 之 月 所 
T54n2126_001:0236b07	言四月八日者。西域四月八日也。以事符合	言 四 月 八 日 者 西 域 四 月 八 日 也 以 事 符 合 
T54n2126_001:0236b08	周書異記昭王四月八日祥瑞。疑翻譯時隨	周 書 異 記 昭 王 四 月 八 日 祥 瑞 疑 翻 譯 時 隨 
T54n2126_001:0236b09	聲筆受。妄認夏正也。唯為有七月十五日。臘	聲 筆 受 妄 認 夏 正 也 唯 為 有 七 月十五日 臘 
T54n2126_001:0236b10	法經是用此方為文。令人惑之。故兩存也。	法 經 是 用 此 方 為 文 令 人 惑 之 故 兩 存 也 
T54n2126_001:0236b11	僧入震旦	僧 入 震 旦 
T54n2126_001:0236b12	五運圖云。周世聖教靈迹。及阿育王造塔置	五 運 圖 云 周 世 聖 教 靈 迹 及 阿 育 王 造 塔 置 
T54n2126_001:0236b13	于此土。合有傳記。良以秦始皇焚書。此亦隨	于 此 土 合 有 傳 記 良 以 秦 始 皇 焚 書 此 亦 隨 
T54n2126_001:0236b14	爇。故今無處追尋。案始皇時。有沙門釋利	爇 故 今 無 處 追 尋 案 始 皇 時 有 沙 門 釋 利 
T54n2126_001:0236b15	房等十八賢者。齎經來化。始皇弗信。遂禁錮	房 等 十 八 賢 者 齎 經 來 化 始 皇 弗 信 遂 禁 錮 
T54n2126_001:0236b16	之。夜有神人。破獄出之。又漢成帝時。劉向挍	之 夜 有 神 人 破 獄 出 之 又 漢 成 帝 時 劉 向 挍 
T54n2126_001:0236b17	書於天祿閣。往往見有佛經。及著列仙傳。得	書 於 天 祿 閣 往 往 見 有 佛 經 及 著 列 仙 傳 得 
T54n2126_001:0236b18	一百三十六人。七十四人已見佛經。以此詳	一 百 三 十 六 人 七 十 四 人 已 見 佛 經 以 此 詳 
T54n2126_001:0236b19	究。知周秦之代已有佛教沙門。止未大興耳。	究 知 周 秦 之 代 已 有 佛 教 沙 門 止 未 大 興 耳 
T54n2126_001:0236b20	至後漢第二主明帝永平七年。因夢金人。乃	至 後 漢 第 二 主 明 帝 永 平 七 年 因 夢 金 人 乃 
T54n2126_001:0236b21	令秦景蔡愔王遵往天竺迎佛教。於月氏遇	令 秦 景 蔡 愔 王 遵 往 天 竺 迎 佛 教 於 月 氏 遇 
T54n2126_001:0236b22	迦葉摩騰竺法蘭二沙門。入東夏。今以為始	迦 葉 摩 騰 竺 法 蘭 二 沙 門 入 東 夏 今 以 為 始 
T54n2126_001:0236b23	也。于時佛法雖到中原。未流江表。信受未廣。	也 于 時 佛 法 雖 到 中 原 未 流 江 表 信 受 未 廣 
T54n2126_001:0236b24	傳行未周。洎孫氏鼎分封疆阻隔。有康僧會	傳 行 未 周 洎 孫 氏 鼎 分 封 疆 阻 隔 有 康 僧 會 
T54n2126_001:0236b25	者。本康居國人。赤鳥年中始化於南土也。	者 本 康 居 國 人 赤 鳥 年 中 始 化 於 南 土 也 
T54n2126_001:0236b26	經像東傳	經 像 東 傳 
T54n2126_001:0236b27	原其佛道難思。神蹤本異。不可以常情測。不	原 其 佛 道 難 思 神 蹤 本 異 不 可 以 常 情 測 不 
T54n2126_001:0236b28	可以眾例求。唯如東漢僧來劉向已逢於梵	可 以 眾 例 求 唯 如 東 漢 僧 來 劉 向 已 逢 於 梵 
T54n2126_001:0236b29	筴。育王塔現秦朝。早有於靈儀。案釋老志	筴 育 王 塔 現 秦 朝 早 有 於 靈 儀 案 釋 老 志 
T54n2126_001:0236c01	曰。釋氏之學聞於前漢。武帝元狩年中。霍	曰 釋 氏 之 學 聞 於 前 漢 武 帝 元 狩 年 中 霍 
T54n2126_001:0236c02	去病獲昆耶王金人。帝以為大神。列於甘泉	去 病 獲 昆 耶 王 金 人 帝 以 為 大 神 列 於 甘 泉 
T54n2126_001:0236c03	宮。燒香禮拜。此佛法流傳之始也。及開西域。	宮 燒 香 禮 拜 此 佛 法 流 傳 之 始 也 及 開 西 域 
T54n2126_001:0236c04	遣張騫使大夏。還云。身毒有浮圖之教。哀帝	遣 張 騫 使 大 夏 還 云 身 毒 有 浮 圖 之 教 哀 帝 
T54n2126_001:0236c05	元壽年中。景憲往月支。口授得浮圖經。然	元 壽 年 中 景 憲 往 月 支 口 授 得 浮 圖 經 然 
T54n2126_001:0236c06	時未敦信。道未通行。猶大江之初潦。若巨木	時 未 敦 信 道 未 通 行 猶 大 江 之 初 潦 若 巨 木 
T54n2126_001:0236c07	之毫末耳。今以漢明帝世。二沙門齎四十二	之 毫 末 耳 今 以 漢 明 帝 世 二 沙 門 齎 四 十 二 
T54n2126_001:0236c08	章經。及白[疊*毛]畫像。為其始焉。又如感通傳中。	章 經 及 白 [疊毛] 畫 像 為 其 始 焉 又 如 感 通 傳 中 
T54n2126_001:0236c09	周穆王造靈安寺。永州石花捧育王塔等。豈	周 穆 王 造 靈 安 寺 永 州 石 花 捧 育 王 塔 等 豈 
T54n2126_001:0236c10	非東漢前耶。斯乃思慮不遑。語議弗及者。可	非 東 漢 前 耶 斯 乃 思 慮 不 遑 語 議 弗 及 者 可 
T54n2126_001:0236c11	置度外。今且據事跡可思可議故。以永平為	置 度 外 今 且 據 事 跡 可 思 可 議 故 以 永 平 為 
T54n2126_001:0236c12	始也。	始 也 
T54n2126_001:0236c13	創造伽藍	創 造 伽 藍 
T54n2126_001:0236c14	經像來思僧徒戾止。次原爰處必宅淨方。是	經 像 來 思 僧 徒 戾 止 次 原 爰 處 必 宅 淨 方 是 
T54n2126_001:0236c15	以法輪轉須依地也。故立寺宇焉。騰蘭二人	以 法 輪 轉 須 依 地 也 故 立 寺 宇 焉 騰 蘭 二 人 
T54n2126_001:0236c16	角力既勝。明帝忻悅。初於鴻臚寺延禮之。	角 力 既 勝 明 帝 忻 悅 初 於 鴻 臚 寺 延 禮 之 
T54n2126_001:0236c17	鴻臚寺者。本禮四夷遠國之邸舍也。尋令別	鴻 臚 寺 者 本 禮 四 夷 遠 國 之 邸 舍 也 尋 令 別 
T54n2126_001:0236c18	擇洛陽西雍門外蓋一精舍。以白馬馱經夾	擇 洛 陽 西 雍 門 外 蓋 一 精 舍 以 白 馬 馱 經 夾 
T54n2126_001:0236c19	故。用白馬為題也。寺者釋名曰寺嗣也。治事	故 用 白 馬 為 題 也 寺 者 釋 名 曰 寺 嗣 也 治 事 
T54n2126_001:0236c20	者相嗣續於其內也。本是司名。西僧乍來。權	者 相 嗣 續 於 其 內 也 本 是 司 名 西 僧 乍 來 權 
T54n2126_001:0236c21	止公司。移入別居。不忘其本。還標寺號。僧寺	止 公 司 移 入 別 居 不 忘 其 本 還 標 寺 號 僧 寺 
T54n2126_001:0236c22	之名始於此也。僧伽藍者。譯為眾園。謂眾人	之 名 始 於 此 也 僧 伽 藍 者 譯 為 眾 園 謂 眾 人 
T54n2126_001:0236c23	所居。在乎園圃。生殖之所。佛弟子則生殖	所 居 在 乎 園 圃 生 殖 之 所 佛 弟 子 則 生 殖 
T54n2126_001:0236c24	道芽聖果也。故經中有迦蘭陀竹園。祇樹給	道 芽 聖 果 也 故 經 中 有 迦 蘭 陀 竹 園 祇 樹 給 
T54n2126_001:0236c25	孤獨園。皆是西域之寺舍也。若其不思議之	孤 獨 園 皆 是 西 域 之 寺 舍 也 若 其 不 思 議 之 
T54n2126_001:0236c26	迹。即周穆王造顯濟寺。此難憑準。命曰難思	迹 即 周 穆 王 造 顯 濟 寺 此 難 憑 準 命 曰 難 思 
T54n2126_001:0236c27	之事也。後魏太武帝始光元年。創立伽藍。為	之 事 也 後 魏 太 武 帝 始 光 元 年 創 立 伽 藍 為 
T54n2126_001:0236c28	招提之號。隋煬帝大業中。改天下寺為道場。	招 提 之 號 隋 煬 帝 大 業 中 改 天 下 寺 為 道 場 
T54n2126_001:0236c29	至唐復為寺也。	至 唐 復 為 寺 也 
T54n2126_001:0237a01	案靈裕法師寺誥。凡有十名寺。一曰寺(義準釋名)。二	案 靈 裕 法 師 寺 誥 凡 有 十 名 寺 一 曰 寺 義 準 釋 名 二 
T54n2126_001:0237a02	曰淨住(穢濁不可同居)。三曰法同舍(法食二同界也)。四曰出世舍	曰 淨 住 穢 濁 不 可 同 居 三 曰 法 同 舍 法 食 二 同 界 也 四 曰 出 世 舍 
T54n2126_001:0237a03	(修出離世俗之所也)。五曰精舍(非麤暴者所居)。六曰清淨園(三業無染處也)。七	 修 出 離 世 俗 之 所 也 五 曰 精 舍 非 麤 暴 者 所 居 六 曰 清 淨 園 三 業 無 染 處 也 七 
T54n2126_001:0237a04	曰金剛剎(剎土堅固道人所居)。八曰寂滅道場(祇園有蓮華藏世界。以七寶	曰 金 剛 剎 剎 土 堅 固 道 人 所 居 八 曰 寂 滅 道 場 祇 園 有 蓮華藏世界 以 七 寶 
T54n2126_001:0237a05	莊嚴。謂之寂滅道場。盧舍那佛說華嚴於此)。九曰遠離處(入其中者。去煩惑遠。與寂滅樂	莊 嚴 謂 之 寂 滅 道 場 盧 舍 那 佛 說 華 嚴 於 此 九 曰 遠 離 處 入 其 中 者 去 煩 惑 遠 與 寂 滅 樂 
T54n2126_001:0237a06	近故)十曰親近處(如行安樂行。以此中近法故也)。此土十名依祇	近 故 十 曰 親 近 處 如 行 安 樂 行 以 此 中 近 法 故 也 此 土 十 名 依 祇 
T54n2126_001:0237a07	洹圖經。釋相各有意致。如彼寺誥也。今義	洹 圖 經 釋 相 各 有 意 致 如 彼 寺 誥 也 今 義 
T54n2126_001:0237a08	如六種。一名窟。如後魏鑿山為窟。安置聖像	如 六 種 一 名 窟 如 後 魏 鑿 山 為 窟 安 置 聖 像 
T54n2126_001:0237a09	及僧居。是也(今洛陽龍門天竺寺有石窟。有如那羅延金剛佛窟等。是)。二名院	及 僧 居 是 也 今 洛 陽 龍 門 天 竺 寺 有 石 窟 有 如 那 羅 延 金 剛 佛 窟 等 是 二 名 院 
T54n2126_001:0237a10	(今禪宗住持多用此名也)。三名林(律曰。住一林。經中有逝多林也)。四曰廟(如善見論中瞿	 今 禪 宗 住 持 多 用 此 名 也 三 名 林 律 曰 住 一 林 經 中 有 逝 多 林 也 四 曰 廟 如 善 見 論 中 瞿 
T54n2126_001:0237a11	曇廟)五蘭若(無院相者)。六普通(今五臺山有多所也)。又案漢明帝崩。	曇 廟 五 蘭 若 無 院 相 者 六 普 通 今 五 臺 山 有 多 所 也 又 案 漢 明 帝 崩 
T54n2126_001:0237a12	起祇洹於陵上。自此百姓墳塚或作浮圖者	起 祇 洹 於 陵 上 自 此 百 姓 墳 塚 或 作 浮 圖 者 
T54n2126_001:0237a13	焉(出楊衒之伽藍記中)。洛陽自漢永平至晉永嘉。止有四	焉 出 楊 衒 之 伽 藍 記 中 洛 陽 自 漢 永 平 至 晉 永 嘉 止 有 四 
T54n2126_001:0237a14	十二寺。及後魏都洛。盛信佛教。崇構相繼。臣	十 二 寺 及 後 魏 都 洛 盛 信 佛 教 崇 構 相 繼 臣 
T54n2126_001:0237a15	下豪民競置寺宇。凡一千餘所。後趙都鄴。造	下 豪 民 競 置 寺 宇 凡 一 千 餘 所 後 趙 都 鄴 造 
T54n2126_001:0237a16	寺八百餘區。今遺址或存焉。	寺 八 百 餘 區 今 遺 址 或 存 焉 
T54n2126_001:0237a17	浴佛者。唐義淨三藏躬游西域見印度。每日	浴 佛 者 唐 義 淨 三 藏 躬 游 西 域 見 印 度 每 日 
T54n2126_001:0237a18	禺中維那鳴鐘。寺庭取銅石等像。於盤內作	禺 中 維 那 鳴 鐘 寺 庭 取 銅 石 等 像 於 盤 內 作 
T54n2126_001:0237a19	音樂。磨香或泥灌水。以[疊*毛]揩之。舉兩指瀝水	音 樂 磨 香 或 泥 灌 水 以 [疊毛] 揩 之 舉 兩 指 瀝 水 
T54n2126_001:0237a20	於自頂上。謂之吉祥之水。冀求勝利焉。問。浴	於 自 頂 上 謂 之 吉 祥 之 水 冀 求 勝 利 焉 問 浴 
T54n2126_001:0237a21	佛表何。通曰。像佛生時龍噴香雨浴佛身也。	佛 表 何 通 曰 像 佛 生 時 龍 噴 香 雨 浴 佛 身 也 
T54n2126_001:0237a22	然彼日日灌洗。則非生日之意。疑五竺多熱。	然 彼 日 日 灌 洗 則 非 生 日 之 意 疑 五 竺 多 熱 
T54n2126_001:0237a23	僧既頻浴。佛亦勤灌耳。東夏尚臘八。或二月	僧 既 頻 浴 佛 亦 勤 灌 耳 東 夏 尚 臘 八 或 二 月 
T54n2126_001:0237a24	四月八日。乃是為佛生日也。	四 月 八 日 乃 是 為 佛 生 日 也 
T54n2126_001:0237a25	行像者。自佛泥洹。王臣多恨不親覩佛。由是	行 像 者 自 佛 泥 洹 王 臣 多 恨 不 親 覩 佛 由 是 
T54n2126_001:0237a26	立佛降生相。或作太子巡城像。晉法顯到巴	立 佛 降 生 相 或 作 太 子 巡 城 像 晉 法 顯 到 巴 
T54n2126_001:0237a27	連弗城。見彼用建卯月八日行像。以車結縛	連 弗 城 見 彼 用 建 卯 月 八 日 行 像 以 車 結 縛 
T54n2126_001:0237a28	五層。高二丈許。狀如塔。彩畫諸天形。眾寶作	五 層 高 二 丈 許 狀 如 塔 彩 畫 諸 天 形 眾 寶 作 
T54n2126_001:0237b01	龕。佛坐菩薩立侍。可二十車。車各樣嚴飾。婆	龕 佛 坐 菩 薩 立 侍 可 二 十 車 車 各 樣 嚴 飾 婆 
T54n2126_001:0237b02	羅門子請佛。次第入城內宿。通夜供養。國國	羅 門 子 請 佛 次 第 入 城 內 宿 通 夜 供 養 國 國 
T54n2126_001:0237b03	皆然。王及長者立福德醫藥舍。凡貧病者詣	皆 然 王 及 長 者 立 福 德 醫 藥 舍 凡 貧 病 者 詣 
T54n2126_001:0237b04	其中。醫師瞻候病差方去。又嶺北龜茲東荒	其 中 醫 師 瞻 候 病 差 方 去 又 嶺 北 龜 茲 東 荒 
T54n2126_001:0237b05	城寺。每秋分後。十日間。一國僧徒皆赴五年	城 寺 每 秋 分 後 十 日 間 一 國 僧 徒 皆 赴 五 年 
T54n2126_001:0237b06	大會(西域謂之般遮于瑟)國王庶民皆捐俗務。受經聽法。	大 會 西 域 謂 之 般遮于瑟 國 王 庶 民 皆 捐 俗 務 受 經 聽 法 
T54n2126_001:0237b07	莊嚴佛像。戴以車輦。謂之行像。于闐則以四	莊 嚴 佛 像 戴 以 車 輦 謂 之 行 像 于 闐 則 以 四 
T54n2126_001:0237b08	月一日行像。至十四日訖。王及夫人始還宮	月 一 日 行 像 至 十 四 日 訖 王 及 夫 人 始 還 宮 
T54n2126_001:0237b09	耳。今夏臺靈武每年二月八日。僧戴夾苧佛	耳 今 夏 臺 靈 武 每 年 二 月 八 日 僧 戴 夾 苧 佛 
T54n2126_001:0237b10	像。侍從圍繞。幡蓋歌樂引導。謂之巡城。以城	像 侍 從 圍 繞 幡 蓋 歌 樂 引 導 謂 之 巡 城 以 城 
T54n2126_001:0237b11	市行市為限。百姓賴其消災也。又此土夏安	市 行 市 為 限 百 姓 賴 其 消 災 也 又 此 土 夏 安 
T54n2126_001:0237b12	居畢。僧眾持花執扇。吹貝鳴鐃引而雙行。謂	居 畢 僧 眾 持 花 執 扇 吹 貝 鳴 鐃 引 而 雙 行 謂 
T54n2126_001:0237b13	之出隊迦提也(取迦提月名也)釋老志曰。魏世祖於四	之 出 隊 迦 提 也 取 迦 提 月 名 也 釋 老 志 曰 魏 世 祖 於 四 
T54n2126_001:0237b14	月八日。輿諸寺像行於廣衢。帝御門樓臨觀。	月 八 日 輿 諸 寺 像 行 於 廣 衢 帝 御 門 樓 臨 觀 
T54n2126_001:0237b15	散花致禮焉。又景興尼寺金像出時。詔羽林	散 花 致 禮 焉 又 景 興 尼 寺 金 像 出 時 詔 羽 林 
T54n2126_001:0237b16	一百人。舉輦伎樂。皆由內給。又安居畢。明日	一 百 人 舉 輦 伎 樂 皆 由 內 給 又 安 居 畢 明 日 
T54n2126_001:0237b17	總集。旋繞村城。禮諸制底。棚車興像。幡花蔽	總 集 旋 繞 村 城 禮 諸 制 底 棚 車 興 像 幡 花 蔽 
T54n2126_001:0237b18	日。名曰三摩近離(此曰和集)斯乃神州行城法也。	日 名 曰 三 摩 近 離 此 曰 和 集 斯 乃 神 州 行 城 法 也 
T54n2126_001:0237b19	譯經	譯 經 
T54n2126_001:0237b20	昔劉向校書天祿。見有佛經。知于時未事翻	昔 劉 向 校 書 天 祿 見 有 佛 經 知 于 時 未 事 翻 
T54n2126_001:0237b21	傳。必存梵夾。若然劉向安識梵字。而云列	傳 必 存 梵 夾 若 然 劉 向 安 識 梵 字 而 云 列 
T54n2126_001:0237b22	仙有七十餘人已見佛經。又以文殊菩薩亦	仙 有 七 十 餘 人 已 見 佛 經 又 以 文 殊 菩 薩 亦 
T54n2126_001:0237b23	號列仙耶。蓋劉向博識全才。象胥之學自能	號 列 仙 耶 蓋 劉 向 博 識 全 才 象 胥 之 學 自 能 
T54n2126_001:0237b24	之矣。覽其梵夾。迴作華言。尋認七十許人見	之 矣 覽 其 梵 夾 迴 作 華 言 尋 認 七 十 許 人 見 
T54n2126_001:0237b25	佛經也。若論翻譯。則摩騰初出四十二章經。	佛 經 也 若 論 翻 譯 則 摩 騰 初 出 四 十 二 章 經 
T54n2126_001:0237b26	及法蘭同譯十地佛本生法海藏佛本行等	及 法 蘭 同 譯 十 地 佛 本 生 法 海 藏 佛 本 行 等 
T54n2126_001:0237b27	經。為其始也。次則安清支讖支謙等相繼翻	經 為 其 始 也 次 則 安 清 支 讖 支 謙 等 相 繼 翻 
T54n2126_001:0237b28	述。漢末魏初。傳譯漸盛。或翻佛為眾祐。或翻	述 漢 末 魏 初 傳 譯 漸 盛 或 翻 佛 為 眾 祐 或 翻 
T54n2126_001:0237b29	辟支為古佛。支讖出首楞嚴經云。佛在王舍	辟 支 為 古 佛 支 讖 出 首 楞 嚴 經 云 佛 在 王 舍 
T54n2126_001:0237c01	城靈鷲頂山中。存沒不同。用舍各異。斯乃譯	城 靈 鷲 頂 山 中 存 沒 不 同 用 舍 各 異 斯 乃 譯 
T54n2126_001:0237c02	經之推輪者焉。	經 之 推 輪 者 焉 
T54n2126_001:0237c03	譯律	譯 律 
T54n2126_001:0237c04	佛制毘尼。紏繩內眾。如國刑法。畫一成規。未	佛 制 毘 尼 紏 繩 內 眾 如 國 刑 法 畫 一 成 規 未 
T54n2126_001:0237c05	知誰將毘尼翻為律號。案漢靈帝建寧三年	知 誰 將 毘 尼 翻 為 律 號 案 漢 靈 帝 建 寧 三 年 
T54n2126_001:0237c06	庚戌歲。安世高首出義決律一卷。次有比丘	庚 戌 歲 安 世 高 首 出 義 決 律 一 卷 次 有 比 丘 
T54n2126_001:0237c07	諸禁律一卷。至曹魏世。天竺三藏曇摩迦羅	諸 禁 律 一 卷 至 曹 魏 世 天 竺 三 藏 曇 摩 迦 羅 
T54n2126_001:0237c08	(此曰法時)到許洛。慨魏境僧無律範。遂於嘉平年	 此 曰 法 時 到 許 洛 慨 魏 境 僧 無 律 範 遂 於 嘉 平 年 
T54n2126_001:0237c09	中。與曇諦譯四分羯磨及僧祇戒心圖記云。	中 與 曇 諦 譯 四 分 羯 磨 及 僧 祇 戒 心 圖 記 云 
T54n2126_001:0237c10	此方戒律之始也。	此 方 戒 律 之 始 也 
T54n2126_001:0237c11	譯論	譯 論 
T54n2126_001:0237c12	晉孝武之世。有罽賓國沙門僧伽跋澄。譯雜	晉 孝 武 之 世 有 罽 賓 國 沙 門 僧 伽 跋 澄 譯 雜 
T54n2126_001:0237c13	毘曇婆沙十四卷。次則姚秦羅什譯大智度	毘 曇 婆 沙 十 四 卷 次 則 姚 秦 羅 什 譯 大 智 度 
T54n2126_001:0237c14	成實。此為譯論之始。道安錄及僧祐出三藏	成 實 此 為 譯 論 之 始 道 安 錄 及 僧 祐 出 三 藏 
T54n2126_001:0237c15	記同斯楷述也。又單名鞞婆沙。是者迦旃延	記 同 斯 楷 述 也 又 單 名 鞞 婆 沙 是 者 迦 旃 延 
T54n2126_001:0237c16	子撮其要義引經訓釋。為毘曇四十四品。斯	子 撮 其 要 義 引 經 訓 釋 為 毘 曇 四 十 四 品 斯 
T54n2126_001:0237c17	亦論也。	亦 論 也 
T54n2126_001:0237c18	東夏出家	東 夏 出 家 
T54n2126_001:0237c19	夫狂蒙寄於伽藍頓生善念。孟軻隣其學校	夫 狂 蒙 寄 於 伽 藍 頓 生 善 念 孟 軻 隣 其 學 校 
T54n2126_001:0237c20	尋染儒風。佛法既行。民人皆化。于時豈無抽	尋 染 儒 風 佛 法 既 行 民 人 皆 化 于 時 豈 無 抽 
