T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_001:0983b13	毘摩羅詰經(應云毘摩羅詰帝　譯曰毘者无也摩羅者垢詰諦者稱)　第九卷	毘 摩 羅 詰 經 應 云 毘 摩 羅 詰 帝 譯 曰 毘 者 无 也 摩 羅 者 垢 詰 諦 者 稱 第 九 卷 
T54n2130_001:0983b14	蘇陀蘇摩王經（欠譯）	蘇 陀 蘇 摩 王 經 欠 譯 
T54n2130_001:0983b15	頻婆娑羅王迎經(譯曰頻婆者謨式娑羅者實也)　第十八卷	頻婆娑羅 王 迎 經 譯 曰 頻 婆 者 謨 式 娑 羅 者 實 也 第 十 八 卷 
T54n2130_001:0983b16	伽陀(應云伽他　譯曰直說)　第二十五卷	伽 陀 應 云 伽 他 譯 曰 直 說 第 二 十 五 卷 
T54n2130_001:0983b17	優陀那(亦云嫗陀那亦云憂檀那　譯曰無問自說)	優 陀 那 亦 云 嫗 陀 那 亦 云 憂 檀 那 譯 曰 無 問 自 說 
T54n2130_001:0983b18	一筑多陀(應云伊帝曰多伽亦云伊譯佛多伽　譯曰如是語也)	一 筑 多 陀 應 云 伊 帝 曰 多 伽 亦 云 伊 譯 佛 多 伽 譯 曰 如 是 語 也 
T54n2130_001:0983b19	闍陀為頭離(應云闍哆頭羅　譯曰闍哆者生頭羅者遠)	闍 陀 為 頭 離 應 云 闍 哆 頭 羅 譯 曰 闍 哆 者 生 頭 羅 者 遠 
T54n2130_001:0983b20	頗浮達摩(亦云阿浮陀達摩　譯曰阿浮陀者勝達摩者法)	頗 浮 達 摩 亦 云 阿 浮 陀 達 摩 譯 曰 阿 浮 陀 者 勝 達 摩 者 法 
T54n2130_001:0983b21	優波提舍(亦云優婆提舍　譯曰論義亦云大說)	優波提舍 亦 云 優 婆 提 舍 譯 曰 論 義 亦 云 大 說 
T54n2130_001:0983b22	祇夜(亦云偈　譯曰重說)	祇 夜 亦 云 偈 譯 曰 重 說 
T54n2130_001:0983b23	尼陀那(譯曰因緣)	尼 陀 那 譯 曰 因 緣 
T54n2130_001:0983b24	目多迦經(譯曰勝也)	目 多 迦 經 譯 曰 勝 也 
T54n2130_001:0983c01	裴佛略(亦云毘佛略　論曰未曾有譯曰大也)	裴 佛 略 亦 云 毘 佛 略 論 曰 未 曾 有 譯 曰 大 也 
T54n2130_001:0983c02	波陀(應云簸陁論曰句也)　第四十二卷	波 陀 應 云 簸 陁 論 曰 句 也 第 四 十 二 卷 
T54n2130_001:0983c03	阿差末經(應云阿差耶末諦　論曰阿者无也差耶者盡未諦者意)	阿 差 末 經 應 云 阿 差 耶 末 諦 論 曰 阿 者 无 也 差 耶 者 盡 未 諦 者 意 
T54n2130_001:0983c04	　第五十三卷	 第 五 十 三 卷 
T54n2130_001:0983c05	抑叉尼呪(應云伊叉尼　譯曰伊叉尼者見也)　第五十八卷	抑 叉 尼 呪 應 云 伊 叉 尼 譯 曰 伊 叉 尼 者 見 也 第 五 十 八 卷 
T54n2130_001:0983c06	揵陀梨呪(亦云揵陁羅　譯曰揵者地也陀梨者持)	揵 陀 梨 呪 亦 云 揵 陁 羅 譯 曰 揵 者 地 也 陀 梨 者 持 
T54n2130_001:0983c07	毘摩羅經(譯曰无垢)　第九十二卷	毘 摩 羅 經 譯 曰 无 垢 第 九 十 二 卷 
T54n2130_001:0983c08	婆差經(應云跋蹉　譯曰犢也)　第九十三卷	婆 差 經 應 云 跋 蹉 譯 曰 犢 也 第 九 十 三 卷 
T54n2130_001:0983c09	漚和品(應云漚波　譯曰大也)　第九十九卷	漚 和 品 應 云 漚 波 譯 曰 大 也 第 九 十 九 卷 
T54n2130_001:0983c10	闍阿伽(亦云闍伽羅　譯曰本生)　大涅槃經第三卷	闍 阿 伽 亦 云 闍 伽 羅 譯 曰 本 生 大 涅 槃 經 第 三 卷 
T54n2130_001:0983c11	跋地羅帝(應云跋陀羅帝　譯曰跋陀羅者賢羅帝者意亦云智)	跋 地 羅 帝 應 云 跋 陀 羅 帝 譯 曰 跋 陀 羅 者 賢 羅 帝 者 意 亦 云 智 
T54n2130_001:0983c12	　中阿含第四十一卷	 中 阿 含 第 四 十 一 卷 
T54n2130_001:0983c13	魔脩多羅(譯曰不法本也)　雜阿含第四十七卷	魔 脩 多 羅 譯 曰 不 法 本 也 雜 阿 含 第 四 十 七 卷 
T54n2130_001:0983c14	舍伽羅呪(應云舍歌羅　譯曰不行)　十誦律書第三卷	舍 伽 羅 呪 應 云 舍 歌 羅 譯 曰 不 行 十 誦 律 書 第 三 卷 
T54n2130_001:0983c15	劬羅呪(應云波羅　譯曰彼岸)　二誦第三卷	劬 羅 呪 應 云 波 羅 譯 曰 彼 岸 二 誦 第 三 卷 
T54n2130_001:0983c16	狗摩羅偈(譯曰童也)　第五卷	狗 摩 羅 偈 譯 曰 童 也 第 五 卷 
T54n2130_001:0983c17	披羅紗提伽(律曰清淨經也)	披 羅 紗 提 伽 律 曰 清 淨 經 也 
T54n2130_001:0983c18	波羅紗提伽(律曰一淨經也)	波 羅 紗 提 伽 律 曰 一 淨 經 也 
T54n2130_001:0983c19	般闍提利劍(律曰三昧經也)	般 闍 提 利 劍 律 曰 三 昧 經 也 
T54n2130_001:0983c20	摩那闍藍(律曰化經)	摩 那 闍 藍 律 曰 化 經 
T54n2130_001:0983c21	披羅小闍藍(律曰梵經)	披 羅 小 闍 藍 律 曰 梵 經 
T54n2130_001:0983c22	摩訶娑摩耆劍(律曰會經)	摩 訶 娑 摩 耆 劍 律 曰 會 經 
T54n2130_001:0983c23	阿羅伽度波摩(應云優羅瞿波摩　律曰蛇辟經也)	阿 羅 伽 度 波 摩 應 云 優 羅 瞿 波 摩 律 曰 蛇 辟 經 也 
T54n2130_001:0984a01	室唳咆那殾叉耶時日提(律曰索滅解脫經也)	室 唳 咆 那 殾 叉 耶 時 日 提 律 曰 索 滅 解 脫 經 也 
T54n2130_001:0984a02	釋伽羅波羅念柰(應云釋伽波羅果票車　律曰釋問經也)	釋 伽 羅 波 羅 念 柰 應 云 釋 伽 波 羅 果 票 車 律 曰 釋 問 經 也 
T54n2130_001:0984a03	摩訶尸陀那波梨耶夜(律曰大因緣經也)	摩 訶 尸 陀 那 波 梨 耶 夜 律 曰 大 因 緣 經 也 
T54n2130_001:0984a04	頻波婆羅波羅肘伽摩南(律曰拼沙近經)	頻 波 婆 羅 波 羅 肘 伽 摩 南 律 曰 拼 沙 近 經 
T54n2130_001:0984a05	般闍優波陀那肝提伽(律曰五受陰却經也)	般 闍 優 波 陀 那 肝 提 伽 律 曰 五 受 陰 却 經 也 
T54n2130_001:0984a06	沙陀耶多尼(應云沙陀耶多那尼　律曰六情部經)	沙 陀 耶 多 尼 應 云 沙 陀 耶 多 那 尼 律 曰 六 情 部 經 
T54n2130_001:0984a07	尸陀那散猶乞多(律曰因男部經)	尸 陀 那 散 猶 乞 多 律 曰 因 男 部 經 
T54n2130_001:0984a08	波羅延(亦云波延　律曰過道經也譯曰徃復亦云度彼)	波 羅 延 亦 云 波 延 律 曰 過 道 經 也 譯 曰 徃 復 亦 云 度 彼 
T54n2130_001:0984a09	阿陀婆耆耶脩妬路(律曰眾德經也)	阿 陀 婆 耆 耶 脩 妬 路 律 曰 眾 德 經 也 
T54n2130_001:0984a10	薩者陀舍修妬路(應云薩遮陀利舍那　律曰諦見經也譯曰薩遮者諦陀利舍那	薩 者 陀 舍 修 妬 路 應 云 薩 遮 陀 利 舍 那 律 曰 諦 見 經 也 譯 曰 薩 遮 者 諦 陀 利 舍 那 
T54n2130_001:0984a11	者也)	者 也 
T54n2130_001:0984a12	波羅延薩遮陀舍脩妬路(應云波羅延薩遮他梨舍那　記曰波羅延者	波 羅 延 薩 遮 陀 舍 脩 妬 路 應 云 波 羅 延 薩 遮 他 梨 舍 那 記 曰 波 羅 延 者 
T54n2130_001:0984a13	度彼薩遮者實陀梨舍那者見)	度 彼 薩 遮 者 實 陀 梨 舍 那 者 見 
T54n2130_001:0984a14	泥利呪(譯者曰泥梨者地獄名)　尼律第三卷	泥 利 呪 譯 者 曰 泥 梨 者 地 獄 名 尼 律 第 三 卷 
T54n2130_001:0984a15	跋陀婆羅經(應云跋陀羅婆羅　譯曰跋陀羅者賢婆羅者力也)	跋 陀 婆 羅 經 應 云 跋 陀 羅 婆 羅 譯 曰 跋 陀 羅 者 賢 婆 羅 者 力 也 
T54n2130_001:0984a16	　善誦第一卷	 善 誦 第 一 卷 
T54n2130_001:0984a17	波羅耶那經(亦云般羅延那　譯曰波羅者彼岸耶那者度亦云去)	波 羅 耶 那 經 亦 云 般 羅 延 那 譯 曰 波 羅 者 彼 岸 耶 那 者 度 亦 云 去 
T54n2130_001:0984a18	　僧祇第十三卷	 僧 祇 第 十 三 卷 
T54n2130_001:0984a19	彌沙塞部(譯曰大神通亦云能別也)　彌沙塞律第十卷	彌 沙 塞 部 譯 曰 大 神 通 亦 云 能 別 也 彌 沙 塞 律 第 十 卷 
T54n2130_001:0984a20	波羅提木叉(譯曰彼彼解脫)	波羅提木叉 譯 曰 彼 彼 解 脫 
T54n2130_001:0984a21	僧祇陀經(譯曰眾集)　第三十四卷	僧 祇 陀 經 譯 曰 眾 集 第 三 十 四 卷 
T54n2130_001:0984a22	僧耆品(應云僧耆多　譯曰眾說)　善見律毘婆沙第一卷	僧 耆 品 應 云 僧 耆 多 譯 曰 眾 說 善 見 律 毘 婆 沙 第 一 卷 
T54n2130_001:0984a23	梵網經(譯曰淨也)	梵 網 經 譯 曰 淨 也 
T54n2130_001:0984a24	僧述多經(應云僧育多　譯曰相應)	僧 述 多 經 應 云 僧 育 多 譯 曰 相 應 
T54n2130_001:0984b01	殊掘多羅經(譯曰可惡)	殊 掘 多 羅 經 譯 曰 可 惡 
T54n2130_001:0984b02	屈陀迦經(應云屈陀羅迦　譯曰微小)	屈 陀 迦 經 應 云 屈 陀 羅 迦 譯 曰 微 小 
T54n2130_001:0984b03	優波陀那偈(譯曰取也)	優 波 陀 那 偈 譯 曰 取 也 
T54n2130_001:0984b04	僧育多阿含(應云僧育多阿伽摩　譯曰相應歸也)	僧 育 多 阿 含 應 云 僧 育 多 阿 伽 摩 譯 曰 相 應 歸 也 
T54n2130_001:0984b05	鴦崛多羅阿含(譯曰鴦崛多羅者分勝)	鴦 崛 多 羅 阿 含 譯 曰 鴦 崛 多 羅 者 分 勝 
T54n2130_001:0984b06	屈陀伽阿含(應云屈陀羅迦阿伽摩　譯曰小歸)	屈 陀 伽 阿 含 應 云 屈 陀 羅 迦 阿 伽 摩 譯 曰 小 歸 
T54n2130_001:0984b07	跋子闍品(譯曰金剛)	跋 子 闍 品 譯 曰 金 剛 
T54n2130_001:0984b08	迦羅羅摩經(譯曰好也)　第二卷	迦 羅 羅 摩 經 譯 曰 好 也 第 二 卷 
T54n2130_001:0984b09	呪羅呵眾譬經(應云苜羅呵　譯曰勇也)	呪 羅 呵 眾 譬 經 應 云 苜 羅 呵 譯 曰 勇 也 
T54n2130_001:0984b10	鴦掘經(譯曰體也)　第七卷	鴦 掘 經 譯 曰 體 也 第 七 卷 
T54n2130_001:0984b11	波利婆品(應云波利婆婆　譯曰別住)	波 利 婆 品 應 云 波 利 婆 婆 譯 曰 別 住 
T54n2130_001:0984b12	阿吒那吒(譯者曰呪鬼神名)　第十一卷	阿 吒 那 吒 譯 者 曰 呪 鬼 神 名 第 十 一 卷 
T54n2130_001:0984b13	羅多那呪(譯曰寶也)	羅 多 那 呪 譯 曰 寶 也 
T54n2130_001:0984b14	耆婆品(譯曰壽命)　第十四卷	耆 婆 品 譯 曰 壽 命 第 十 四 卷 
T54n2130_001:0984b15	阿能伽那正見經(譯曰無苦)　第十五卷	阿 能 伽 那 正 見 經 譯 曰 無 苦 第 十 五 卷 
T54n2130_001:0984b16	阿菟摩那經(譯曰樹相)	阿 菟 摩 那 經 譯 曰 樹 相 
T54n2130_001:0984b17	曇摩羅本生經(譯曰法除)　第十七卷	曇 摩 羅 本 生 經 譯 曰 法 除 第 十 七 卷 
T54n2130_001:0984b18	揵度(應云娑干度　譯曰體亦云除亦云品)　阿毘曇婆沙第七卷	揵 度 應 云 娑 干 度 譯 曰 體 亦 云 除 亦 云 品 阿 毘 曇 婆 沙 第 七 卷 
T54n2130_001:0984b19	婆伽羅那(亦云利伽羅那　譯曰受記)	婆 伽 羅 那 亦 云 利 伽 羅 那 譯 曰 受 記 
T54n2130_001:0984b20	檀摩掘部(應云枬摩掘多　記曰法護)　第二卷	檀 摩 掘 部 應 云 枬 摩 掘 多 記 曰 法 護 第 二 卷 
T54n2130_001:0984b21	摩訶僧祇(譯曰大眾)　第四卷	摩 訶 僧 祇 譯 曰 大 眾 第 四 卷 
T54n2130_001:0984b22	首盧(應云首盧伽　譯者曰偈)　第八卷	首 盧 應 云 首 盧 伽 譯 者 曰 偈 第 八 卷 
T54n2130_001:0984b23	毘舍遮究槃等呪(譯者曰鬼名也)　第九卷	毘 舍 遮 究 槃 等 呪 譯 者 曰 鬼 名 也 第 九 卷 
T54n2130_001:0984b24	摩羅偈(譯曰行也)　第十四卷	摩 羅 偈 譯 曰 行 也 第 十 四 卷 
T54n2130_001:0984c01	摩訶尼陀那經(譯曰大因緣也)　第十六卷	摩 訶 尼 陀 那 經 譯 曰 大 因 緣 也 第 十 六 卷 
T54n2130_001:0984c02	毘婆耆婆提(應云毘婆闍婆提　論曰分別論也)	毘 婆 耆 婆 提 應 云 毘 婆 闍 婆 提 論 曰 分 別 論 也 
T54n2130_001:0984c03	育多婆提(論曰相應論也)	育多婆提 論 曰 相 應 論 也 
T54n2130_001:0984c04	薩婆多(譯曰一切性也)　第四十一卷	薩 婆 多 譯 曰 一 切 性 也 第 四 十 一 卷 
T54n2130_001:0984c05	陀毘羅(譯曰道德)　第四十四卷	陀 毘 羅 譯 曰 道 德 第 四 十 四 卷 
T54n2130_001:0984c06	跋渠(譯曰品亦云聚亦云體)　八犍度第一卷	跋 渠 譯 曰 品 亦 云 聚 亦 云 體 八 犍 度 第 一 卷 
T54n2130_001:0984c07	跋兜章(亦云跋肆兜　譯曰聚也)　第七卷	跋 兜 章 亦 云 跋 肆 兜 譯 曰 聚 也 第 七 卷 
T54n2130_001:0984c08	阿濕波羅延經(應云阿濕婆波羅延　譯曰阿濕波者不安隱波羅延者度彼也)	阿 濕 波 羅 延 經 應 云 阿 濕 婆 波 羅 延 譯 曰 阿 濕 波 者 不 安 隱 波 羅 延 者 度 彼 也 
T54n2130_001:0984c09	　雜阿毘曇第十三卷	 雜 阿 毘 曇 第 十 三 卷 
T54n2130_001:0984c10	奢婆羅呪(記曰勝靜)　出曜經第十卷	奢 婆 羅 呪 記 曰 勝 靜 出 曜 經 第 十 卷 
T54n2130_001:0984c11	曇摩毱多(譯曰法護)　大方等大集經第二十一卷	曇 摩 毱 多 譯 曰 法 護 大 方 等 大 集 經 第 二 十 一 卷 
T54n2130_001:0984c12	薩婆若帝婆(應云薩婆若提婆　譯曰薩婆若者一切智提婆者天)	薩 婆 若 帝 婆 應 云 薩 婆 若 提 婆 譯 曰 薩 婆 若 者 一 切 智 提 婆 者 天 
T54n2130_001:0984c13	迦葉毘部(應云迦葉維　譯者曰姓)	迦 葉 毘 部 應 云 迦 葉 維 譯 者 曰 姓 
T54n2130_001:0984c14	婆蹉富羅(應云婆蹉不羅　譯曰婆蹉者犢富羅者滿)	婆 蹉 富 羅 應 云 婆 蹉 不 羅 譯 曰 婆 蹉 者 犢 富 羅 者 滿 
T54n2130_001:0984c15	甄迦羅頻婆羅阿閦婆偈(譯曰甄迦者何作頻婆羅者謨式阿閦婆者不	甄 迦 羅 頻 婆 羅 阿 閦 婆 偈 譯 曰 甄 迦 者 何 作 頻 婆 羅 者 謨 式 阿 閦 婆 者 不 
T54n2130_001:0984c16	動)　法花經第六卷	動 法 花 經 第 六 卷 
T54n2130_001:0984c17	欝陀羅耶契經(應云欝陀羅耶那　譯曰起)	欝 陀 羅 耶 契 經 應 云 欝 陀 羅 耶 那 譯 曰 起 
T54n2130_001:0984c18	　婆須密菩薩所集聚揵度九卷	 婆 須 密 菩 薩 所 集 聚 揵 度 九 卷 
T54n2130_001:0984c19	阿毘達摩(譯曰此法也)　摩得勒伽經第三卷	阿 毘 達 摩 譯 曰 此 法 也 摩 得 勒 伽 經 第 三 卷 
T54n2130_001:0984c20	摩訶鏂波提舍(譯曰大說)	摩 訶 鏂 波 提 舍 譯 曰 大 說 
T54n2130_001:0984c21	迦盧鏂波提舍(譯曰時說)	迦 盧 鏂 波 提 舍 譯 曰 時 說 
T54n2130_001:0984c22	舍利弗般泥洹經(譯者曰舍利者鳥名弗者子般泥槃者大滅度也)	舍 利 弗 般 泥 洹 經 譯 者 曰 舍 利 者 鳥 名 弗 者 子 般 泥 槃 者 大 滅 度 也 
T54n2130_001:0984c23	　生經第二卷	 生 經 第 二 卷 
T54n2130_001:0984c24	拘薩羅國烏王經(譯曰拘薩羅者巧也)　第五卷	拘 薩 羅 國 烏 王 經 譯 曰 拘 薩 羅 者 巧 也 第 五 卷 
T54n2130_001:0985a01	差末經(應云差磨　譯曰人也)　差末經第一卷	差 末 經 應 云 差 磨 譯 曰 人 也 差 末 經 第 一 卷 
T54n2130_001:0985a02	毘羅經(應云毘梨　譯曰勇也)　寶如來經上卷	毘 羅 經 應 云 毘 梨 譯 曰 勇 也 寶 如 來 經 上 卷 
T54n2130_001:0985a03	陀摩陀呪(譯曰伏鬼)　自在王菩薩經第二卷	陀 摩 陀 呪 譯 曰 伏 鬼 自 在 王 菩 薩 經 第 二 卷 
T54n2130_001:0985a04	阿耨風經(譯曰山也)	阿 耨 風 經 譯 曰 山 也 
T54n2130_001:0985a05	阿闍王女阿術達經(應云何術達多　譯曰真與)	阿 闍 王 女 阿 術 達 經 應 云 何 術 達 多 譯 曰 真 與 
T54n2130_001:0985a06	　阿闍王女阿闍達多經	 阿 闍 王 女 阿 闍 達 多 經 
T54n2130_001:0985a07	郁迦長者經(應云郁伽羅　譯曰可勇)　郁迦長者經	郁 迦 長 者 經 應 云 郁 伽 羅 譯 曰 可 勇 郁 迦 長 者 經 
T54n2130_001:0985a08	梵摩難王經(應云梵摩難陀　譯曰淨歡喜)　梵摩王經	梵 摩 難 王 經 應 云 梵 摩 難 陀 譯 曰 淨 歡 喜 梵 摩 王 經 
T54n2130_001:0985a09	弗袈裟經(譯曰蓮華實)　弗袈裟經	弗 袈 裟 經 譯 曰 蓮 華 實 弗 袈 裟 經 
T54n2130_001:0985a10	婆拘盧問答經(應云薄枸羅　譯者曰比丘名)　婆拘盧答問經	婆 拘 盧 問 答 經 應 云 薄 枸 羅 譯 者 曰 比 丘 名 婆 拘 盧 答 問 經 
T54n2130_001:0985a11	佛遺曰摩尼寶經(譯曰摩尼者珠)　佛遺曰摩尼寶經	佛 遺 曰 摩 尼 寶 經 譯 曰 摩 尼 者 珠 佛 遺 曰 摩 尼 寶 經 
T54n2130_001:0985a12	海陀梨祝術(譯曰下姓女也)　菩薩受齋經	海 陀 梨 祝 術 譯 曰 下 姓 女 也 菩 薩 受 齋 經 
T54n2130_001:0985a13	兜沙經(譯曰歡喜)　兜沙經	兜 沙 經 譯 曰 歡 喜 兜 沙 經 
T54n2130_001:0985a14	兜沙陀羅經(應云兜沙陀毘羅　譯曰兜沙陀者歡喜與梨者精進)	兜 沙 陀 羅 經 應 云 兜 沙 陀 毘 羅 譯 曰 兜 沙 陀 者 歡 喜 與 梨 者 精 進 
T54n2130_001:0985a15	　道樹三昧經	 道 樹 三 昧 經 
T54n2130_001:0985a16	摩鄧女經(應云摩登伽　譯曰下姓)　摩鄧女經	摩鄧女經 應 云 摩 登 伽 譯 曰 下 姓 摩鄧女經 
T54n2130_001:0985a17	阿彌陀經(譯曰无量光)　阿彌陀經	阿 彌 陀 經 譯 曰 无 量 光 阿 彌 陀 經 
T54n2130_001:0985a18	兜沙陀比羅(應云兜沙陀毘羅　譯曰兜沙者歡喜陀毘羅者長宿)	兜 沙 陀 比 羅 應 云 兜 沙 陀 毘 羅 譯 曰 兜 沙 者 歡 喜 陀 毘 羅 者 長 宿 
T54n2130_001:0985a19	三曼陀颰陀羅菩薩(譯曰普賢)　三曼陀颰陀羅經	三 曼 陀 颰 陀 羅 菩 薩 譯 曰 普 賢 三 曼 陀 颰 陀 羅 經 
T54n2130_001:0985a20	陀隣尼經(譯曰持也)	陀 隣 尼 經 譯 曰 持 也 
T54n2130_001:0985a21	漚惒拘舍羅經(譯曰方便)	漚惒拘舍羅 經 譯 曰 方 便 
T54n2130_001:0985a22	須大拏經(譯曰好施)　須大拏經	須 大 拏 經 譯 曰 好 施 須 大 拏 經 
T54n2130_001:0985a23	甄叔伽經(譯者曰樹名也)　成實論第一卷	甄 叔 伽 經 譯 者 曰 樹 名 也 成 實 論 第 一 卷 
T54n2130_001:0985a24	路伽偈(譯曰世間)	路 伽 偈 譯 曰 世 間 
T54n2130_001:0985b01	阿輪羅耶那經(譯曰馬住處也)　第三卷	阿 輪 羅 耶 那 經 譯 曰 馬 住 處 也 第 三 卷 
T54n2130_001:0985b02	焰摩伽經(譯曰雙也)	焰 摩 伽 經 譯 曰 雙 也 
T54n2130_001:0985b03	須尸摩經(譯曰好堺)　第十一卷	須 尸 摩 經 譯 曰 好 堺 第 十 一 卷 
T54n2130_001:0985b04	刪陀迦旃延經(應云刪剌陀迦旃延　譯曰刪剌陀者信迦旃延者姓)	刪 陀 迦 旃 延 經 應 云 刪 剌 陀 迦 旃 延 譯 曰 刪 剌 陀 者 信 迦 旃 延 者 姓 
T54n2130_001:0985b05	　中論第三卷	 中 論 第 三 卷 
T54n2130_001:0985b06	外道法名第五	外 道 法 名 第 五 
T54n2130_001:0985b07	韋陀(應云鞞陀亦云比陀亦云毘陀亦云皮陀　譯曰智也)　大智論第三卷	韋 陀 應 云 鞞 陀 亦 云 比 陀 亦 云 毘 陀 亦 云 皮 陀 譯 曰 智 也 大 智 論 第 三 卷 
T54n2130_001:0985b08	波羅延經(譯曰度彼岸也亦云專學)	波 羅 延 經 譯 曰 度 彼 岸 也 亦 云 專 學 
T54n2130_001:0985b09	陀羅驃(應云陀﨟驂　譯曰微也)　第十卷	陀 羅 驃 應 云 陀 﨟 驂 譯 曰 微 也 第 十 卷 
T54n2130_001:0985b10	蔽迦蘭那(譯曰迦薗那者耳也)　第二十五卷	蔽 迦 蘭 那 譯 曰 迦 薗 那 者 耳 也 第 二 十 五 卷 
T54n2130_001:0985b11	僧佉(譯曰眾也)	僧 佉 譯 曰 眾 也 
T54n2130_001:0985b12	鴦伽呪(譯曰體也)　大涅槃經第五卷	鴦 伽 呪 譯 曰 體 也 大 涅 槃 經 第 五 卷 
T54n2130_001:0985b13	毘伽羅論(譯曰毘伽羅者无頸亦云无屈)　第十二卷	毘 伽 羅 論 譯 曰 毘 伽 羅 者 无 頸 亦 云 无 屈 第 十 二 卷 
T54n2130_001:0985b14	求那(譯曰依也)　第十九卷	求 那 譯 曰 依 也 第 十 九 卷 
T54n2130_001:0985b15	迦毘羅論(譯者曰仙人名)　中阿含第三十八卷	迦 毘 羅 論 譯 者 曰 仙 人 名 中 阿 含 第 三 十 八 卷 
T54n2130_001:0985b16	夜吒(譯曰徃也)	夜 吒 譯 曰 徃 也 
T54n2130_001:0985b17	婆摩(譯曰左顧亦云不直亦云曲也)	婆 摩 譯 曰 左 顧 亦 云 不 直 亦 云 曲 也 
T54n2130_001:0985b18	婆摩提婆(譯曰不直天也)	婆 摩 提 婆 譯 曰 不 直 天 也 
T54n2130_001:0985b19	毘奢(譯曰一切作也)	毘 奢 譯 曰 一 切 作 也 
T54n2130_001:0985b20	蜜哆羅(譯曰周旋)	蜜 哆 羅 譯 曰 周 旋 
T54n2130_001:0985b21	夜婆陀揵尼(應云剡摩陀耆膩　譯曰剡摩他者持耆膩者火)	夜 婆 陀 揵 尼 應 云 剡 摩 陀 耆 膩 譯 曰 剡 摩 他 者 持 耆 膩 者 火 
T54n2130_001:0985b22	婆私吒(亦云婆婆悉吒　譯曰婆私吒者最上也)	婆 私 吒 亦 云 婆 婆 悉 吒 譯 曰 婆 私 吒 者 最 上 也 
T54n2130_001:0985b23	娑羅婆(譯曰聞也)	娑 羅 婆 譯 曰 聞 也 
T54n2130_001:0985b24	阿咤摩(應云阿私吒摩　譯曰第八)　長阿含第十三卷	阿 咤 摩 應 云 阿 私 吒 摩 譯 曰 第 八 長 阿 含 第 十 三 卷 
T54n2130_001:0985c01	鼻波密多(應云毘舍婆密多羅　譯曰一切友也)	鼻 波 密 多 應 云 毘 舍 婆 密 多 羅 譯 曰 一 切 友 也 
T54n2130_001:0985c02	耶婆提伽(應云耶摩陀耆尼　譯曰持火)	耶 婆 提 伽 應 云 耶 摩 陀 耆 尼 譯 曰 持 火 
T54n2130_001:0985c03	迦葉(譯曰姓也)	迦 葉 譯 曰 姓 也 
T54n2130_001:0985c04	阿樓那(譯曰曉也)	阿 樓 那 譯 曰 曉 也 
T54n2130_001:0985c05	瞿曇(譯曰姓也)	瞿 曇 譯 曰 姓 也 
T54n2130_001:0985c06	首夷婆損陀羅(應云首脂婆孫陀羅　譯曰首脂婆者淨語孫陀羅者好亦云可愛)	首 夷 婆 損 陀 羅 應 云 首 脂 婆 孫 陀 羅 譯 曰 首 脂 婆 者 淨 語 孫 陀 羅 者 好 亦 云 可 愛 
T54n2130_001:0985c07	彼陀舍(譯曰彼陀者句舍者一切)　阿僧祇律第十卷	彼 陀 舍 譯 曰 彼 陀 者 句 舍 者 一 切 阿 僧 祇 律 第 十 卷 
T54n2130_001:0985c08	阿菟彼陀舍(應云阿菟彼陀舍　譯曰何菟者逐前也彼陀舍如上說)	阿 菟 彼 陀 舍 應 云 阿 菟 彼 陀 舍 譯 曰 何 菟 者 逐 前 也 彼 陀 舍 如 上 說 
