T32n1660_001:0517b10	菩提資糧論卷第一	菩提資糧論 卷 第 一 
T32n1660_001:0519c03	用香鬘所攝金銀珍寶衣服土田財物園池遊	用 香 鬘 所 攝 金 銀 珍 寶 衣 服 土 田 財 物 園 池 遊 
T32n1660_001:0519c04	戲處等。是為不可食。然可受用法施。亦有	戲 處 等 是 為 不 可 食 然 可 受 用 法 施 亦 有 
T32n1660_001:0519c05	二種。謂世間出世間。若因法施。於流轉中	二 種 謂 世間出世間 若 因 法 施 於 流 轉 中 
T32n1660_001:0519c06	(舊云生死者非正翻名今改為流轉也已後諸云流轉者皆是此義)出生可愛身根境	 舊 云 生 死 者 非 正 翻 名 今 改 為 流 轉 也 已 後 諸 云 流 轉 者 皆 是 此 義 出 生 可 愛 身 根 境 
T32n1660_001:0519c07	界。是為世間。若因法施果報。越度流轉。是為	界 是 為 世 間 若 因 法 施 果 報 越 度 流 轉 是 為 
T32n1660_001:0519c08	出世間。彼財施法施各有二種謂有著無著。	出 世 間 彼 財 施 法 施 各 有 二 種 謂 有 著 無 著 
T32n1660_001:0519c09	若為自身。若為資生。若為勝果。悕望相續	若 為 自 身 若 為 資 生 若 為 勝 果 悕 望 相 續 
T32n1660_001:0519c10	以財法施。是為有著。若為利益安樂一切眾	以 財 法 施 是 為 有 著 若 為 利益安樂 一 切 眾 
T32n1660_001:0519c11	生。若為無障礙智。是為無著。其餘更有無	生 若 為 無障礙智 是 為 無 著 其 餘 更 有 無 
T32n1660_001:0519c12	畏施等。亦隨順入財施中。彼二種施果及餘	畏 施 等 亦 隨 順 入 財 施 中 彼 二 種 施 果 及 餘 
T32n1660_001:0519c13	氣(謂津液也)具如大乘經說。此中當略說偈。	氣 謂 津 液 也 具 如 大 乘 經 說 此 中 當 略 說 偈 
T32n1660_001:0519c14	　飲食及被服　　隨須皆布施	 飲 食 及 被 服 隨 須 皆 布 施 
T32n1660_001:0519c15	　亦施花鬘燈　　末香與音樂	 亦 施 花 鬘 燈 末 香 與 音 樂 
T32n1660_001:0519c16	　或施諸美味　　藥物及猗枕	 或 施 諸 美 味 藥 物 及 猗 枕 
T32n1660_001:0519c17	　養病之所須　　并醫人給侍	 養 病 之 所 須 并 醫 人 給 侍 
T32n1660_001:0519c18	　男女與妻妾　　奴婢及倉庫	 男 女 與 妻 妾 奴 婢 及 倉 庫 
T32n1660_001:0519c19	　莊飾諸婇女　　隨須皆布施	 莊 飾 諸 婇 女 隨 須 皆 布 施 
T32n1660_001:0519c20	　所有諸寶物　　種種莊嚴具	 所 有 諸 寶 物 種 種 莊 嚴 具 
T32n1660_001:0519c21	　象馬車乘等　　妙物盡施之	 象 馬 車 乘 等 妙 物 盡 施 之 
T32n1660_001:0519c22	　園林修道處　　池井集會堂	 園 林 修 道 處 池 井 集 會 堂 
T32n1660_001:0519c23	　土田并雜物　　客舍等皆施	 土 田 并 雜 物 客 舍 等 皆 施 
T32n1660_001:0519c24	　若二足四足　　若復一洲渚	 若 二 足 四 足 若 復 一 洲 渚 
T32n1660_001:0519c25	　村落與國都　　及王境悉施	 村 落 與 國 都 及 王 境 悉 施 
T32n1660_001:0519c26	　施所玩好物　　利樂悕須者	 施 所 玩 好 物 利 樂 悕 須 者 
T32n1660_001:0519c27	　為諸眾生依　　怖者施無畏	 為 諸 眾 生 依 怖 者 施 無 畏 
T32n1660_001:0519c28	　施其所難捨　　手足眼耳鼻	 施 其 所 難 捨 手 足 眼 耳 鼻 
T32n1660_001:0519c29	　亦施心與頭　　舉身悉能捨	 亦 施 心 與 頭 舉 身 悉 能 捨 
T32n1660_001:0520a01	　修行布施時　　常於受者所	 修 行 布 施 時 常 於 受 者 所 
T32n1660_001:0520a02	　應生福田想　　亦如善眷屬	 應 生 福 田 想 亦 如 善 眷 屬 
T32n1660_001:0520a03	　布施諸果報　　具足善聚集	 布 施 諸 果 報 具 足 善 聚 集 
T32n1660_001:0520a04	　迴向為自他　　成佛及淨土	 迴 向 為 自 他 成 佛 及 淨 土 
T32n1660_001:0520a05	　菩薩所行施　　正迴向佛體	 菩薩所行 施 正 迴 向 佛 體 
T32n1660_001:0520a06	　此菩薩陀那　　得名波羅蜜	 此 菩 薩 陀 那 得 名 波 羅 蜜 
T32n1660_001:0520a07	　若彼若此岸　　亦無能說者	 若 彼 若 此 岸 亦 無 能 說 者 
T32n1660_001:0520a08	　施果到於彼　　說為施彼岸	 施 果 到 於 彼 說 為 施 彼 岸 
T32n1660_001:0520a09	今說施主差別。	今 說 施 主 差 別 
T32n1660_001:0520a10	　不貪於愛果　　悲故三輪淨	 不 貪 於 愛 果 悲 故 三 輪 淨 
T32n1660_001:0520a11	　正覺說彼施　　是為求菩提	 正 覺 說 彼 施 是 為 求 菩 提 
T32n1660_001:0520a12	　我已作此事　　正作當亦作	 我 已 作 此 事 正 作 當 亦 作 
T32n1660_001:0520a13	　若作如是捨　　傭賃非布施	 若 作 如 是 捨 傭 賃 非 布 施 
T32n1660_001:0520a14	　貪增施果故　　隨須即能捨	 貪 增 施 果 故 隨 須 即 能 捨 
T32n1660_001:0520a15	　說為息利人　　智念非施主	 說 為 息 利 人 智 念 非 施 主 
T32n1660_001:0520a16	　不貪增益果　　唯以悲心施	 不 貪 增 益 果 唯 以 悲 心 施 
T32n1660_001:0520a17	　此名真施主　　餘皆是商販	 此 名 真 施 主 餘 皆 是 商 販 
T32n1660_001:0520a18	　如大雲遍雨　　諸處等心施	 如 大 雲 遍 雨 諸 處 等 心 施 
T32n1660_001:0520a19	　此名大施主　　餘皆是少分	 此 名 大 施 主 餘 皆 是 少 分 
T32n1660_001:0520a20	　施及施果報　　哀愍與須者	 施 及 施 果 報 哀 愍 與 須 者 
T32n1660_001:0520a21	　施主於眾人　　猶如其父母	 施 主 於 眾 人 猶 如 其 父 母 
T32n1660_001:0520a22	　不念所施物　　受者及施者	 不 念 所 施 物 受 者 及 施 者 
T32n1660_001:0520a23	　而常樂布施　　此名為施主	 而 常 樂 布 施 此 名 為 施 主 
T32n1660_001:0520a24	　若不分別佛　　菩提與菩薩	 若 不 分 別 佛 菩 提 與 菩 薩 
T32n1660_001:0520a25	　而為菩提施　　彼當速成佛	 而 為 菩 提 施 彼 當 速 成 佛 
T32n1660_001:0520a26	問已解釋陀那波羅蜜。今應說尸羅波羅蜜。	問 已 解 釋 陀 那 波 羅 蜜 今 應 說 尸 羅 波 羅 蜜 
T32n1660_001:0520a27	答波羅蜜義如前解釋。尸羅義今當說。以尸	答 波 羅 蜜 義 如 前 解 釋 尸 羅 義 今 當 說 以 尸 
T32n1660_001:0520a28	羅故說為尸羅。言尸羅者謂習近也。此是體	羅 故 說 為 尸 羅 言 尸 羅 者 謂 習 近 也 此 是 體 
T32n1660_001:0520a29	相。又本性義。如世間有樂戒苦戒等。又清涼	相 又 本 性 義 如 世 間 有 樂 戒 苦 戒 等 又 清 涼 
T32n1660_001:0520b01	義。為不悔因離心熱憂惱故。又安隱義。能	義 為 不 悔 因 離 心 熱 憂 惱 故 又 安 隱 義 能 
T32n1660_001:0520b02	為他世樂因故。又安靜義。能建立止觀故。	為 他 世 樂 因 故 又 安 靜 義 能 建 立 止 觀 故 
T32n1660_001:0520b03	又寂滅義。得涅槃樂因故。又端嚴義。以能莊	又 寂 滅 義 得 涅 槃 樂 因 故 又 端 嚴 義 以 能 莊 
T32n1660_001:0520b04	飾故。又淨潔義。能洗惡戒垢故。又頭首義。能	飾 故 又 淨 潔 義 能 洗 惡 戒 垢 故 又 頭 首 義 能 
T32n1660_001:0520b05	為入眾無怯弱因故。又讚歎義。能生名稱故。	為 入 眾 無 怯 弱 因 故 又 讚 歎 義 能 生 名 稱 故 
T32n1660_001:0520b06	此戒是身口意善行所轉生。於中遠離殺生	此 戒 是 身 口 意 善 行 所 轉 生 於 中 遠 離 殺 生 
T32n1660_001:0520b07	不與取欲邪行等。是三種身戒。遠離妄語破	不 與 取 欲 邪 行 等 是 三 種 身 戒 遠 離 妄 語 破 
T32n1660_001:0520b08	壞語麁惡語雜戲語等。是四種口戒。遠離貪	壞 語 麁 惡 語 雜 戲 語 等 是 四 種 口 戒 遠 離 貪 
T32n1660_001:0520b09	瞋邪見等。是三種意戒。如是等身口意善	瞋 邪 見 等 是 三 種 意 戒 如 是 等 身 口 意 善 
T32n1660_001:0520b10	行所轉生十種戒。與貪瞋癡所生十種惡行	行 所 轉 生 十 種 戒 與 貪 瞋 癡 所 生 十 種 惡 行 
T32n1660_001:0520b11	為對治。彼十種惡行下中上常習近故。墮於	為 對 治 彼 十 種 惡 行 下 中 上 常 習 近 故 墮 於 
T32n1660_001:0520b12	地獄畜生閻摩世等。如前數十種善行戒。若	地 獄 畜 生 閻 摩 世 等 如 前 數 十 種 善 行 戒 若 
T32n1660_001:0520b13	不與覺分相應。下中上常習近故。隨福上上	不 與 覺 分 相 應 下 中 上 常 習 近 故 隨 福 上 上 
T32n1660_001:0520b14	差別。當得天人差別。若與覺分相應十種	差 別 當 得 天 人 差 別 若 與 覺 分 相 應 十 種 
T32n1660_001:0520b15	善行。戒上上常習近多作。故當得聲聞地及	善 行 戒 上 上 常 習 近 多 作 故 當 得 聲 聞 地 及 
T32n1660_001:0520b16	菩薩地中轉勝差別。又此菩薩戒聚。有六十	菩 薩 地 中 轉 勝 差 別 又 此 菩 薩 戒 聚 有 六 十 
T32n1660_001:0520b17	五種無盡。如無盡意經中說當知。又略說有	五 種 無 盡 如 無 盡 意 經 中 說 當 知 又 略 說 有 
T32n1660_001:0520b18	二種戒。謂平等種蒔戒。不平等種蒔戒。平	二 種 戒 謂 平 等 種 蒔 戒 不 平 等 種 蒔 戒 平 
T32n1660_001:0520b19	等種蒔戒者。以此善身口意積聚故。於生生	等 種 蒔 戒 者 以 此 善 身 口 意 積 聚 故 於 生 生 
T32n1660_001:0520b20	中種蒔。若界若富樂。若聲聞獨覺。若相報	中 種 蒔 若 界 若 富 樂 若 聲聞獨覺 若 相 報 
T32n1660_001:0520b21	若淨土若成熟眾生。若正遍覺等。彼皆說名	若 淨 土 若 成 熟 眾 生 若 正 遍 覺 等 彼 皆 說 名 
T32n1660_001:0520b22	平等種蒔戒。與此相違。名不平等種蒔戒。復	平 等 種 蒔 戒 與 此 相 違 名 不 平 等 種 蒔 戒 復 
T32n1660_001:0520b23	有二種戒謂有作戒無作戒。若於有作中有	有 二 種 戒 謂 有 作 戒 無 作 戒 若 於 有 作 中 有 
T32n1660_001:0520b24	所作者。名有作戒。與此相違名無作戒。復有	所 作 者 名 有 作 戒 與 此 相 違 名 無 作 戒 復 有 
T32n1660_001:0520b25	九種戒。謂凡夫戒。外道五通戒。人戒。欲界天	九 種 戒 謂 凡 夫 戒 外 道 五 通 戒 人 戒 欲 界 天 
T32n1660_001:0520b26	子戒。色界天子戒無色界天子戒。諸學無學	子 戒 色 界 天 子 戒 無 色 界 天 子 戒 諸 學 無 學 
T32n1660_001:0520b27	聲聞戒。獨覺戒。菩薩戒。凡夫戒者。入生處故	聲 聞 戒 獨 覺 戒 菩 薩 戒 凡 夫 戒 者 入 生 處 故 
T32n1660_001:0520b28	盡。外道五通戒者。神通退故盡。人戒者。十善	盡 外 道 五 通 戒 者 神 通 退 故 盡 人 戒 者 十 善 
T32n1660_001:0520b29	業道盡故盡。欲界天子戒者。福盡故盡。色界	業 道 盡 故 盡 欲 界 天 子 戒 者 福 盡 故 盡 色 界 
T32n1660_001:0520c01	天子戒者。禪那盡故盡。無色界天子戒者。三	天 子 戒 者 禪 那 盡 故 盡 無 色 界 天 子 戒 者 三 
T32n1660_001:0520c02	摩鉢帝盡故盡。諸學無學聲聞戒者。究竟涅	摩 鉢 帝 盡 故 盡 諸 學 無 學 聲 聞 戒 者 究 竟 涅 
T32n1660_001:0520c03	槃故盡。獨覺戒者。闕大悲故盡。菩薩戒者。	槃 故 盡 獨 覺 戒 者 闕 大 悲 故 盡 菩 薩 戒 者 
T32n1660_001:0520c04	則無有盡。以此戒能顯明諸戒故。種子相續	則 無 有 盡 以 此 戒 能 顯 明 諸 戒 故 種子相續 
T32n1660_001:0520c05	無盡故。菩薩相續無盡故。如來戒無盡故。以	無 盡 故 菩 薩 相 續 無 盡 故 如 來 戒 無 盡 故 以 
T32n1660_001:0520c06	此因緣。菩薩戒者說名無盡。諸菩薩戒。迴向	此 因 緣 菩 薩 戒 者 說 名 無 盡 諸 菩 薩 戒 迴 向 
T32n1660_001:0520c07	菩提故。說名戒波羅蜜。此中有輸盧迦。	菩 提 故 說 名 戒 波 羅 蜜 此 中 有 輸 盧 迦 
T32n1660_001:0520c08	　猶如父愛功力子　　亦如自身愛壽命	 猶 如 父 愛 功 力 子 亦 如 自 身 愛 壽 命 
T32n1660_001:0520c09	　出離有愛戒亦爾　　大心健者之所愛	 出 離 有 愛 戒 亦 爾 大 心 健 者 之 所 愛 
T32n1660_001:0520c10	　此戒牟尼習近已　　解脫於欲離有愛	 此 戒 牟 尼 習 近 已 解 脫 於 欲 離 有 愛 
T32n1660_001:0520c11	　似烏凡人所棄捨　　智者常當愛此戒	 似 烏 凡 人 所 棄 捨 智 者 常 當 愛 此 戒 
T32n1660_001:0520c12	　此戒利益於自他　　令身端嚴離憂乏	 此 戒 利 益 於 自 他 令 身 端 嚴 離 憂 乏 
T32n1660_001:0520c13	　此世他世勝莊嚴　　是戒智者當所愛	 此世他世 勝 莊 嚴 是 戒 智 者 當 所 愛 
T32n1660_001:0520c14	　此戒不由於他力　　非不可得非乞求	 此 戒 不 由 於 他 力 非 不 可 得 非 乞 求 
T32n1660_001:0520c15	　皆因自力而得之　　是故上人愛此戒	 皆 因 自 力 而 得 之 是 故 上 人 愛 此 戒 
T32n1660_001:0520c16	　財物國境并土地　　自身肌肉及以頭	 財 物 國 境 并 土 地 自 身 肌 肉 及 以 頭 
T32n1660_001:0520c17	　皆能捨之不捨戒　　為欲淨彼勝菩提	 皆 能 捨 之 不 捨 戒 為 欲 淨 彼 勝 菩 提 
T32n1660_001:0520c18	　假使從天墜於地　　設令自地昇於天	 假 使 從 天 墜 於 地 設 令 自 地 昇 於 天 
T32n1660_001:0520c19	　為滿離垢無染地　　應當決定不移動	 為 滿 離 垢 無 染 地 應 當 決 定 不 移 動 
T32n1660_001:0520c20	　若已滿足戒方便　　此時即得第二地	 若 已 滿 足 戒 方 便 此 時 即 得 第 二 地 
T32n1660_001:0520c21	　既得離垢清淨地　　是時成就心所欲	 既 得 離 垢 清 淨 地 是 時 成 就 心 所 欲 
T32n1660_001:0520c22	　若復天人修羅世　　及畜生中可化者	 若 復 天 人 修 羅 世 及 畜 生 中 可 化 者 
T32n1660_001:0520c23	　善知教化方便已　　隨念往彼利益之	 善 知 教化方便 已 隨 念 往 彼 利 益 之 
T32n1660_001:0520c24	　或以布施攝眾生　　或以愛語入其意	 或 以 布 施 攝 眾 生 或 以 愛 語 入 其 意 
T32n1660_001:0520c25	　或復與其安隱利　　或與同事助其力	 或 復 與 其 安 隱 利 或 與 同 事 助 其 力 
T32n1660_001:0520c26	　或在人中為其主　　或居天眾而自在	 或 在 人 中 為 其 主 或 居 天 眾 而 自 在 
T32n1660_001:0520c27	　彼彼方便引導之　　悉當安置於白法	 彼 彼 方 便 引 導 之 悉 當 安 置 於 白 法 
T32n1660_001:0520c28	　具足實戒神通故　　便能乾竭於大海	 具 足 實 戒 神 通 故 便 能 乾 竭 於 大 海 
T32n1660_001:0520c29	　世間盡時火增盛　　於剎那頃悉能滅	 世 間 盡 時 火 增 盛 於 剎 那 頃 悉 能 滅 
T32n1660_001:0521a01	　觀於世間種種惱　　惱而生病由離親	 觀 於 世 間 種 種 惱 惱 而 生 病 由 離 親 
T32n1660_001:0521a02	　智者有戒通方便　　為世親依示勝道	 智 者 有 戒 通 方 便 為 世 親 依 示 勝 道 
T32n1660_001:0521a03	問已解釋尸羅波羅蜜。今應說羼提波羅蜜。	問 已 解 釋 尸 羅 波 羅 蜜 今 應 說 羼 提 波 羅 蜜 
T32n1660_001:0521a04	答此中羼提者。若身若心受諸苦樂。其志堪	答 此 中 羼 提 者 若 身 若 心 受 諸 苦 樂 其 志 堪 
T32n1660_001:0521a05	忍不高不下心無染濁。此名略說羼提。若自	忍 不 高 不 下 心 無 染 濁 此 名 略 說 羼 提 若 自 
T32n1660_001:0521a06	在說。則施設為三。謂身住持。心住持。法住	在 說 則 施 設 為 三 謂 身 住 持 心 住 持 法 住 
T32n1660_001:0521a07	持。於中身住持忍者。謂身所遭苦。若外有心	持 於 中 身 住 持 忍 者 謂 身 所 遭 苦 若 外 有 心 
T32n1660_001:0521a08	無心不愛之觸。所生身苦堪忍不計。此名身	無 心 不 愛 之 觸 所 生 身 苦 堪 忍 不 計 此 名 身 
T32n1660_001:0521a09	住持忍外所生者。謂以食因緣故起怖瞋癡。	住 持 忍 外 所 生 者 謂 以 食 因 緣 故 起 怖 瞋 癡 
T32n1660_001:0521a10	及蚊虻蛇虎師子熊等二足四足多足。諸有	及 蚊 虻 蛇 虎 師 子 熊 等 二 足 四 足 多 足 諸 有 
T32n1660_001:0521a11	心物無量因緣逼惱於身。或復來乞手足耳	心 物 無 量 因 緣 逼 惱 於 身 或 復 來 乞 手 足 耳 
T32n1660_001:0521a12	鼻頭目支節。而割截之。於此惡事心無悶亂	鼻 頭 目 支 節 而 割 截 之 於 此 惡 事 心 無 悶 亂 
T32n1660_001:0521a13	亦無動異。此名身住持忍。又暴風盛日寒熱	亦 無 動 異 此 名 身 住 持 忍 又 暴 風 盛 日 寒 熱 
T32n1660_001:0521a14	雨雹擊觸因緣。諸無心物來逼惱時。遍身苦	雨 雹 擊 觸 因 緣 諸 無 心 物 來 逼 惱 時 遍 身 苦 
T32n1660_001:0521a15	切而能安受。此亦名忍。又內身所起界動因	切 而 能 安 受 此 亦 名 忍 又 內 身 所 起 界 動 因 
T32n1660_001:0521a16	緣故。風黃痰癊及起所生四百四病極為身	緣 故 風 黃 痰 癊 及 起 所 生 四 百 四 病 極 為 身 
T32n1660_001:0521a17	苦。於逼惱時能忍不計。亦名身住持忍。於	苦 於 逼 惱 時 能 忍 不 計 亦 名 身 住 持 忍 於 
T32n1660_001:0521a18	中心住持忍者。若有罵詈瞋嫌呵責毀謗挫	中 心 住 持 忍 者 若 有 罵 詈 瞋 嫌 呵 責 毀 謗 挫 
T32n1660_001:0521a19	辱欺誑等不愛語道。來逼惱時。其心不動亦	辱 欺 誑 等 不 愛 語 道 來 逼 惱 時 其 心 不 動 亦 
T32n1660_001:0521a20	無濁亂。此名心住持忍。又八種世法所觸。謂	無 濁 亂 此 名 心 住 持 忍 又 八 種 世 法 所 觸 謂 
T32n1660_001:0521a21	得利失利好名惡名譏譽苦樂中。心無高下	得 利 失 利 好 名 惡 名 譏 譽 苦 樂 中 心 無 高 下 
T32n1660_001:0521a22	不動如山。是名心住持忍。又斷順眠瞋故。	不 動 如 山 是 名 心 住 持 忍 又 斷 順 眠 瞋 故 
T32n1660_001:0521a23	無殺害心。無結恨心。無鬪諍心。無訴訟心。自	無 殺 害 心 無 結 恨 心 無 鬪 諍 心 無 訴 訟 心 自 
T32n1660_001:0521a24	護護他。於眾生中慈心相應。與悲共行起歡	護 護 他 於 眾 生 中 慈 心 相 應 與 悲 共 行 起 歡 
T32n1660_001:0521a25	喜意恒作捨心。此等亦名心住持忍。於中法	喜 意 恒 作 捨 心 此 等 亦 名 心 住 持 忍 於 中 法 
T32n1660_001:0521a26	住持忍者。於內於外如實觀察故。外者。謂	住 持 忍 者 於 內 於 外 如實觀察 故 外 者 謂 
T32n1660_001:0521a27	罵詈殺害等。罵詈者。聲字和合同時不散。以	罵 詈 殺 害 等 罵 詈 者 聲 字 和 合 同 時 不 散 以 
T32n1660_001:0521a28	剎那故。字空故。聲如響故。不可說次第相應	剎 那 故 字 空 故 聲 如 響 故 不 可 說 次 第 相 應 
