T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0145b12	理恐未然。所以知者。古師既有異說。應有論	理 恐 未 然 所 以 知 者 古 師 既 有 異 說 應 有 論 
T44n1841_001:0145b13	文。撿如實等並無此文。何得異說者。其義云	文 撿 如 實 等 並 無 此 文 何 得 異 說 者 其 義 云 
T44n1841_001:0145b14	何。答亦不然。說古師非。誰言即指瑜伽等論。	何 答 亦 不 然 說 古 師 非 誰 言 即 指 瑜 伽 等 論 
T44n1841_001:0145b15	說為餘人。又不可云。瑜伽等中。不作是說。故	說 為 餘 人 又 不 可 云 瑜 伽 等 中 不 作 是 說 故 
T44n1841_001:0145b16	今古同。不得言異古因明師。古因明師。豈	今 古 同 不 得 言 異 古 因 明 師 古 因 明 師 豈 
T44n1841_001:0145b17	但瑜伽等。諸釋因明者。名為古因明師故。故	但 瑜 伽 等 諸 釋 因 明 者 名 為 古 因 明 師 故 故 
T44n1841_001:0145b18	理門云。又於負處。舊因明師。諸有所說。或有	理 門 云 又 於 負 處 舊 因 明 師 諸 有 所 說 或 有 
T44n1841_001:0145b19	墮在能破中攝。或有極麁。或有非理。如詭	墮 在 能 破 中 攝 或 有 極 麁 或 有 非 理 如 詭 
T44n1841_001:0145b20	語類。故此不錄。又云。又此方隅。我於破古因	語 類 故 此 不 錄 又 云 又 此 方 隅 我 於 破 古 因 
T44n1841_001:0145b21	明論中。已具分別。故知。有古師說非者即破	明 論 中 已 具 分 別 故 知 有 古 師 說 非 者 即 破 
T44n1841_001:0145b22	之。不言瑜伽等。	之 不 言 瑜 伽 等 
T44n1841_001:0145b23	有人云。論云差別為性。言差別性故者非也。	有 人 云 論 云 差 別 為 性 言 差 別 性 故 者 非 也 
T44n1841_001:0145b24	其義云何。答此亦不然。三藏本譯云差別性	其 義 云 何 答 此 亦 不 然 三 藏 本 譯 云 差 別 性 
T44n1841_001:0145b25	故。後呂才與文軌法師。改云差別為性。豈以	故 後 呂 才 與 文 軌 法 師 改 云 差 別 為 性 豈 以 
T44n1841_001:0145b26	昧識為誠言。靈哲為謾語。若是翻譯之輩。可	昧 識 為 誠 言 靈 哲 為 謾 語 若 是 翻 譯 之 輩 可 
T44n1841_001:0145b27	許義正以改之。彼解疏尚破之。改論那宜遂	許 義 正 以 改 之 彼 解 疏 尚 破 之 改 論 那 宜 遂 
T44n1841_001:0145b28	許之。又言故者。結定之詞。顯此宗者要依法	許 之 又 言 故 者 結 定 之 詞 顯 此 宗 者 要 依 法 
T44n1841_001:0145b29	與有法。共相差別。違他順已。方為宗故。故云	與 有 法 共相差別 違 他 順 已 方 為 宗 故 故 云 
T44n1841_001:0145c01	有法及法者。皆須極成。所以宗中。有此故字。	有 法 及 法 者 皆 須 極 成 所 以 宗 中 有 此 故 字 
T44n1841_001:0145c02	具顯所以。如本疏明。	具 顯 所 以 如 本 疏 明 
T44n1841_001:0145c03	有人云。先釋即不共許。是所立法。所作性因。	有 人 云 先 釋 即 不 共 許 是 所 立 法 所 作 性 因 
T44n1841_001:0145c04	彼此極成。即能立法。故無常法。正是所立。此	彼 此 極 成 即 能 立 法 故 無 常 法 正 是 所 立 此 
T44n1841_001:0145c05	解雖爾。未是通途。所以然者。且如立聲無常	解 雖 爾 未 是 通 途 所 以 然 者 且 如 立 聲 無 常 
T44n1841_001:0145c06	一量。可如所說。以為所諍。若依有性等量。豈	一 量 可 如 所 說 以 為 所 諍 若 依 有 性 等 量 豈 
T44n1841_001:0145c07	得以非實。為所立法耶。本意諍有法大有性	得 以 非 實 為 所 立 法 耶 本 意 諍 有 法 大 有 性 
T44n1841_001:0145c08	非實即實等。其義云何。答應此共思。若本諍	非 實 即 實 等 其 義 云 何 答 應 此 共 思 若 本 諍 
T44n1841_001:0145c09	有法。不諍法者。言非實等。為是有法。為當法	有 法 不 諍 法 者 言 非 實 等 為 是 有 法 為 當 法 
T44n1841_001:0145c10	耶。若是有法。即應先陳。若其是法。不為所	耶 若 是 有 法 即 應 先 陳 若 其 是 法 不 為 所 
T44n1841_001:0145c11	諍。言法何為。又以何為極成有法。極成能別。	諍 言 法 何 為 又 以 何 為 極 成 有 法 極 成 能 別 
T44n1841_001:0145c12	差別為宗。若言彼據諍其法說。若諍有法。何	差 別 為 宗 若 言 彼 據 諍 其 法 說 若 諍 有 法 何 
T44n1841_001:0145c13	為能所別。不可將有法。為能別故。以先陳故。	為 能 所 別 不 可 將 有 法 為 能 別 故 以 先 陳 故 
T44n1841_001:0145c14	又若有法。正是所諍。一切諍有法。皆無同喻	又 若 有 法 正 是 所 諍 一 切 諍 有 法 皆 無 同 喻 
T44n1841_001:0145c15	過。又法不成有法故。又復不可大有非實。俱	過 又 法 不 成 有 法 故 又 復 不 可 大 有 非 實 俱 
T44n1841_001:0145c16	是所諍。無極成有法。依何立宗。又若大有正	是 所 諍 無 極 成 有 法 依 何 立 宗 又 若 大 有 正 
T44n1841_001:0145c17	所諍。所成之宗。即合名法。故理門云。又於此	所 諍 所 成 之 宗 即 合 名 法 故 理 門 云 又 於 此 
T44n1841_001:0145c18	中。觀所成故。立法有法。故知。還以非實等為	中 觀 所 成 故 立 法 有 法 故 知 還 以 非 實 等 為 
T44n1841_001:0145c19	法。即是所諍。廣其所以。如本疏釋。准彼。既	法 即 是 所 諍 廣 其 所 以 如 本 疏 釋 准 彼 既 
T44n1841_001:0145c20	無別解。舊釋故合通途。及解大有為法有法。	無 別 解 舊 釋 故 合 通 途 及 解 大 有 為 法 有 法 
T44n1841_001:0145c21	會理門論。皆如本疏及別抄釋。	會 理 門 論 皆 如 本 疏 及 別 抄 釋 
T44n1841_001:0145c22	有人云。因喻何無極成。自解云。因喻必要極	有 人 云 因 喻 何 無 極 成 自 解 云 因 喻 必 要 極 
T44n1841_001:0145c23	成。以無濫故。真似相翻。皆無此說。其義云	成 以 無 濫 故 真 似 相 翻 皆 無 此 說 其 義 云 
T44n1841_001:0145c24	何。答此亦不然。因中既有兩俱不成。隨一不	何 答 此 亦 不 然 因 中 既 有 兩 俱 不 成 隨 一 不 
T44n1841_001:0145c25	成。翻彼故須極成。但言略故。准理定有。故	成 翻 彼 故 須 極 成 但 言 略 故 准 理 定 有 故 
T44n1841_001:0145c26	成唯識論第五卷云。極成六識隨一攝故等。	成 唯 識 論 第 五 卷 云 極 成 六 識 隨 一 攝 故 等 
T44n1841_001:0145c27	又理門云。令彼憶念本極成故。是故此中。唯	又 理 門 云 令 彼 憶 念 本 極 成 故 是 故 此 中 唯 
T44n1841_001:0145c28	取彼此俱定許義。故知。因喻亦有極成。	取 彼 此 俱 定 許 義 故 知 因 喻 亦 有 極 成 
T44n1841_001:0145c29	有人云。因必是扶順。順益所立。是宗之義。將	有 人 云 因 必 是 扶 順 順 益 所 立 是 宗 之 義 將 
T44n1841_001:0146a01	為新妙。其義云何。答此則舊德釋成。何得稱	為 新 妙 其 義 云 何 答 此 則 舊 德 釋 成 何 得 稱 
T44n1841_001:0146a02	為新異。故本疏云。又建立義。能建立彼所立	為 新 異 故 本 疏 云 又 建 立 義 能 建 立 彼 所 立 
T44n1841_001:0146a03	宗故。或順益義。由立此因。順益宗義。令宗義	宗 故 或 順 益 義 由 立 此 因 順 益 宗 義 令 宗 義 
T44n1841_001:0146a04	立。是故名因。此則先成。豈云新解。	立 是 故 名 因 此 則 先 成 豈 云 新 解 
T44n1841_001:0146a05	有人云。法性法爾必然之理者。方是正因。其	有 人 云 法 性 法 爾 必 然 之 理 者 方 是 正 因 其 
T44n1841_001:0146a06	事云何。答此釋未為盡理。如所作性因。立聲	事 云 何 答 此 釋 未 為 盡 理 如 所 作 性 因 立 聲 
T44n1841_001:0146a07	無常。對聲顯論。隨一不成。豈作必然之理。	無 常 對 聲 顯 論 隨一不成 豈 作 必 然 之 理 
T44n1841_001:0146a08	又理門論云。是故此中。唯取彼此俱定許義	又 理 門 論 云 是 故 此 中 唯 取 彼 此 俱 定 許 義 
T44n1841_001:0146a09	則為善說。由是。若有彼此不同許定非宗	則 為 善 說 由 是 若 有 彼 此 不 同 許 定 非 宗 
T44n1841_001:0146a10	法。又云。唯有共許決定言詞。說名能立。又方	法 又 云 唯 有 共 許 決 定 言 詞 說 名 能 立 又 方 
T44n1841_001:0146a11	便心論云。凡聖同解。方得為喻。喻則因相。故	便 心 論 云 凡 聖 同 解 方 得 為 喻 喻 則 因 相 故 
T44n1841_001:0146a12	知。不定唯取法爾必然之理。皆為正因。若唯	知 不 定 唯 取 法 爾 必 然 之 理 皆 為 正 因 若 唯 
T44n1841_001:0146a13	取者。應云法爾道理。言論即為善說。及能立	取 者 應 云 法爾道理 言 論 即 為 善 說 及 能 立 
T44n1841_001:0146a14	言詞。何須共許。由此故知。雖非法爾。但諸	言 詞 何 須 共 許 由 此 故 知 雖 非 法 爾 但 諸 
T44n1841_001:0146a15	過無違。能立宗義。俱共許者。即得為因。如見	過 無 違 能 立 宗 義 俱 共 許 者 即 得 為 因 如 見 
T44n1841_001:0146a16	自鷺。表水有無。見燈火處。表知熱觸。非於此	自 鷺 表 水 有 無 見 燈 火 處 表 知 熱 觸 非 於 此 
T44n1841_001:0146a17	處。法爾有火。及以白鷺。此例非一。故知。不	處 法 爾 有 火 及 以 白 鷺 此 例 非 一 故 知 不 
T44n1841_001:0146a18	定唯取法爾。	定 唯 取 法 爾 
T44n1841_001:0146a19	有人。釋因中敘舊解云。言義智三。皆通生	有 人 釋 因 中 敘 舊 解 云 言 義 智 三 皆 通 生 
T44n1841_001:0146a20	了。皆名為因。云相傳皆此分別。然汎爾對果	了 皆 名 為 因 云 相 傳 皆 此 分 別 然 汎 爾 對 果 
T44n1841_001:0146a21	辨因。非無此義。若望此中。辨因相者。恐非善	辨 因 非 無 此 義 若 望 此 中 辨 因 相 者 恐 非 善 
T44n1841_001:0146a22	說。何以知者。今所明因。望所立義。不望智	說 何 以 知 者 今 所 明 因 望 所 立 義 不 望 智 
T44n1841_001:0146a23	果。又云。若依親生敵智。以釋生因。恐為猛	果 又 云 若 依 親 生 敵 智 以 釋 生 因 恐 為 猛 
T44n1841_001:0146a24	浪。能生敵智。非唯因故。其義云何。答此亦未	浪 能 生 敵 智 非 唯 因 故 其 義 云 何 答 此 亦 未 
T44n1841_001:0146a25	閑疏中所說。疏中初雖汎說。然亦此因。各	閑 疏 中 所 說 疏 中 初 雖 汎 說 然 亦 此 因 各 
T44n1841_001:0146a26	具三相。闕一即非正取成宗。疏中自簡云。	具 三 相 闕 一 即 非 正 取 成 宗 疏 中 自 簡 云 
T44n1841_001:0146a27	正取言生。正能立故。即是明因。望所立義。此	正 取 言 生 正 能 立 故 即 是 明 因 望 所 立 義 此 
T44n1841_001:0146a28	生智了。照解宗故。故正因體。言生智了。兼	生 智 了 照 解 宗 故 故 正 因 體 言 生 智 了 兼 
T44n1841_001:0146a29	亦通餘。能建宗果。故知。不是唯望智果。又雖	亦 通 餘 能 建 宗 果 故 知 不 是 唯 望 智 果 又 雖 
T44n1841_001:0146b01	云生。不言唯因能生他智。然因正是勝增上	云 生 不 言 唯 因 能 生 他 智 然 因 正 是 勝 增 上 
T44n1841_001:0146b02	緣。能生他智。如說了因。雖言義智。然意正取	緣 能 生 他 智 如 說 了 因 雖 言 義 智 然 意 正 取 
T44n1841_001:0146b03	智了非餘。以他智生宗方顯故。故知。生因雖	智 了 非 餘 以 他 智 生 宗 方 顯 故 故 知 生 因 雖 
T44n1841_001:0146b04	宗因喻。若言若義。正能生因。即因喻言。故理	宗 因 喻 若 言 若 義 正 能 生 因 即 因 喻 言 故 理 
T44n1841_001:0146b05	門云。若爾。既取智為了因者。此即牒言因。難	門 云 若 爾 既 取 智 為 了 因 者 此 即 牒 言 因 難 
T44n1841_001:0146b06	云。是言便失能成立義。釋云。此亦不然。令彼	云 是 言 便 失 能 成 立 義 釋 云 此 亦 不 然 令 彼 
T44n1841_001:0146b07	憶念本極成故。既云令彼憶念本極成。即生	憶 念 本 極 成 故 既 云 令 彼 憶 念 本 極 成 即 生 
T44n1841_001:0146b08	彼智。故他智生。勝但因喻。故下復云。唯有共	彼 智 故 他 智 生 勝 但 因 喻 故 下 復 云 唯 有 共 
T44n1841_001:0146b09	許決定言詞。說名能立。又云。若所比處。此相	許 決 定 言 詞 說 名 能 立 又 云 若 所 比 處 此 相 
T44n1841_001:0146b10	定遍。於餘同類。念此定有。於彼無處。念此遍	定 遍 於 餘 同 類 念 此 定 有 於 彼 無 處 念 此 遍 
T44n1841_001:0146b11	無。是故。由此生決定解。又云。餘所說因生	無 是 故 由 此 生 決 定 解 又 云 餘 所 說 因 生 
T44n1841_001:0146b12	者。謂智是前智。餘從如所說能立因生。以此	者 謂 智 是 前 智 餘 從 如 所 說 能 立 因 生 以 此 
T44n1841_001:0146b13	故知。望了宗邊。正取智了。望生他智。正取	故 知 望 了 宗 邊 正 取 智 了 望 生 他 智 正 取 
T44n1841_001:0146b14	立者。詮因喻言。何以故。本意立量。為生他	立 者 詮 因 喻 言 何 以 故 本 意 立 量 為 生 他 
T44n1841_001:0146b15	智。何故說因唯望宗果。故望於宗。即唯依	智 何 故 說 因 唯 望 宗 果 故 望 於 宗 即 唯 依 
T44n1841_001:0146b16	了。望成宗義。為生他解。即取生因。不爾。如	了 望 成 宗 義 為 生 他 解 即 取 生 因 不 爾 如 
T44n1841_001:0146b17	何言生決定解。又云。能立因生。又云。開示諸	何 言 生 決 定 解 又 云 能 立 因 生 又 云 開 示 諸 
T44n1841_001:0146b18	有問者未了義故。又云。開悟他時。說名能立	有 問 者 未 了 義 故 又 云 開 悟 他 時 說 名 能 立 
T44n1841_001:0146b19	等。故此因言。定通生了。	等 故 此 因 言 定 通 生 了 
T44n1841_001:0146b20	有人云。相傳解云。陳那已前。相者體相。非指	有 人 云 相 傳 解 云 陳 那 已 前 相 者 體 相 非 指 
T44n1841_001:0146b21	瑜伽等。如前以引。破古體者。廣如理門。	瑜 伽 等 如 前 以 引 破 古 體 者 廣 如 理 門 
T44n1841_001:0146b22	有釋遍是宗法性四句云。有是宗法非遍者。	有 釋 遍是宗法性 四 句 云 有 是 宗 法 非 遍 者 
T44n1841_001:0146b23	即所依不成是也。	即 所依不成 是 也 
T44n1841_001:0146b24	有人破云。德所依因闕所依。故因無所依。因	有 人 破 云 德 所 依 因 闕 所 依 故 因 無 所 依 因 
T44n1841_001:0146b25	體不成。故非宗法。其義云何。答此亦不然。若	體 不 成 故 非 宗 法 其 義 云 何 答 此 亦 不 然 若 
T44n1841_001:0146b26	有有法之宗。可說德所依故是宗家法。本無	有 有 法 之 宗 可 說 德 所 依 故 是 宗 家 法 本 無 
T44n1841_001:0146b27	有法。是誰宗家之法。云是宗法而非遍。	有 法 是 誰 宗 家 之 法 云 是 宗 法 而 非 遍 
T44n1841_001:0146b28	有人云。若據似因說。遍非宗法者。即不定因	有 人 云 若 據 似 因 說 遍 非 宗 法 者 即 不 定 因 
T44n1841_001:0146b29	是。其義云何。答此亦不然。既遍在宗。何非宗	是 其 義 云 何 答 此 亦 不 然 既 遍 在 宗 何 非 宗 
T44n1841_001:0146c01	法。若云不正不名宗法者。云何理門九句。俱	法 若 云 不 正 不 名 宗 法 者 云 何 理 門 九 句 俱 
T44n1841_001:0146c02	云宗法。又若初相中。兼簡餘相過。可得云非	云 宗 法 又 若 初 相 中 兼 簡 餘 相 過 可 得 云 非 
T44n1841_001:0146c03	宗法。遍是宗法性。但顯初相。既遍有法。何	宗 法 遍是宗法性 但 顯 初 相 既 遍 有 法 何 
T44n1841_001:0146c04	非法性。若言要是正因。方名遍是宗法性者。	非 法 性 若 言 要 是 正 因 方 名 遍是宗法性 者 
T44n1841_001:0146c05	但說遍是宗法性。即是已簡過盡。何須更說。	但 說 遍是宗法性 即 是 已 簡 過 盡 何 須 更 說 
T44n1841_001:0146c06	同品定有等。又雖遍於宗。有不定故。非宗法	同 品 定 有 等 又 雖 遍 於 宗 有 不 定 故 非 宗 法 
T44n1841_001:0146c07	者。即應言正是宗法性。何須遍言。遍言。不能	者 即 應 言 正 是 宗 法 性 何 須 遍 言 遍 言 不 能 
T44n1841_001:0146c08	離諸過故。若言以遍不能離過故。須更言是	離 諸 過 故 若 言 以 遍 不 能 離 過 故 須 更 言 是 
T44n1841_001:0146c09	宗法性。即應云正。正能離過故。無有正非宗	宗 法 性 即 應 云 正 正 能 離 過 故 無 有 正 非 宗 
T44n1841_001:0146c10	法者。即唯一句。已辨正因。不勞煩語。既不作	法 者 即 唯 一 句 已 辨 正 因 不 勞 煩 語 既 不 作 
T44n1841_001:0146c11	是說。故知。遍是宗法性。但顯初相。故理門	是 說 故 知 遍是宗法性 但 顯 初 相 故 理 門 
T44n1841_001:0146c12	云。雖一切分皆能為因。顯了所立。然唯一分。	云 雖 一 切 分 皆 能 為 因 顯 了 所 立 然 唯 一 分 
T44n1841_001:0146c13	且說為因。既說且言。明非具簡。	且 說 為 因 既 說 且 言 明 非 具 簡 
