T18n0850_001:0065a03	刻密軌序	刻 密 軌 序 
T18n0850_001:0067b27	（一七）曩莫薩嚩怛吒(引)蘖帝毘藥(二合)(一)尾濕	 一 七 曩 莫 薩 嚩 怛 吒 引 蘖 帝 毘 藥 二 合 一 尾 濕 
T18n0850_001:0067b28	嚩(二合)目契毘藥(二合二)薩嚩他(三)欠(四)嗢那	嚩 二 合 目 契 毘 藥 二 合 二 薩 嚩 他 三 欠 四 嗢 那 
T18n0850_001:0067b29	蘖帝娑頗(二合)囉呬[牟*含](五)誐誐曩劍(六)娑婆	蘖 帝 娑 頗 二 合 囉 呬 [牟含] 五 誐 誐 曩 劍 六 娑 婆 
T18n0850_001:0067c01	(二合)賀	 二 合 賀 
T18n0850_001:0067c02	　由此持一切　　真實無有異	 由 此 持 一 切 真 實 無 有 異 
T18n0850_001:0067c03	　金剛掌虛中　　是則加持印	 金 剛 掌 虛 中 是 則 加 持 印 
T18n0850_001:0067c04	　一切法不生　　自性本寂故	 一 切 法 不 生 自 性 本 寂 故 
T18n0850_001:0067c05	　想念此真實　　阿字置其中	 想 念 此 真 實 阿 字 置 其 中 
T18n0850_001:0067c06	　次當轉阿字　　成大日牟尼	 次 當 轉 阿 字 成 大 日 牟 尼 
T18n0850_001:0067c07	　無盡剎塵眾　　普現圓光內	 無 盡 剎 塵 眾 普 現 圓 光 內 
T18n0850_001:0067c08	　千界為增數　　流出光焰輪	 千 界 為 增 數 流 出 光 焰 輪 
T18n0850_001:0067c09	　遍至眾生界　　隨性令開悟	 遍 至 眾 生 界 隨 性 令 開 悟 
T18n0850_001:0067c10	　身語遍一切　　佛心亦復然	 身 語 遍 一 切 佛 心 亦 復 然 
T18n0850_001:0067c11	　閻浮淨金色　　為應世間故	 閻 浮 淨 金 色 為 應 世 間 故 
T18n0850_001:0067c12	　跏趺坐蓮上　　正受離諸毒	 跏 趺 坐 蓮 上 正 受 離 諸 毒 
T18n0850_001:0067c13	　身被綃縠衣　　自然髮髻冠	 身 被 綃 縠 衣 自 然 髮 髻 冠 
T18n0850_001:0067c14	　字門轉成佛　　亦利諸眾生	 字 門 轉 成 佛 亦 利 諸 眾 生 
T18n0850_001:0067c15	　猶如大日尊　　瑜伽者觀察	 猶 如 大 日 尊 瑜 伽 者 觀 察 
T18n0850_001:0067c16	　一身與二身　　同入於本體	 一 身 與 二 身 同 入 於 本 體 
T18n0850_001:0067c17	　流出亦如是　　隨其所樂欲	 流 出 亦 如 是 隨其所樂 欲 
T18n0850_001:0067c18	　依前法而轉　　召用三部心	 依 前 法 而 轉 召 用 三 部 心 
T18n0850_001:0067c19	　風鉤再加請　　為令心喜故	 風 鉤 再 加 請 為 令 心 喜 故 
T18n0850_001:0067c20	　奉獻外香華	 奉 獻 外 香 華 
T18n0850_001:0067c21	　次結塗香印　　觀掌向外竪	 次 結 塗 香 印 觀 掌 向 外 竪 
T18n0850_001:0067c22	　止羽握右觀　　心想塗香雲	 止 羽 握 右 觀 心 想 塗 香 雲 
T18n0850_001:0067c23	　清涼遍世界塗香真言曰	 清 涼 遍 世 界 塗 香 真 言 曰 
T18n0850_001:0067c24	（一八）曩莫三滿多沒馱南(一)尾戍(上)馱健度	 一 八 曩 莫 三 滿 多 沒 馱 南 一 尾 戍 上 馱 健 度 
T18n0850_001:0067c25	(引)納婆(二合)嚩野(二)娑嚩(二合)賀	 引 納 婆 二 合 嚩 野 二 娑 嚩 二 合 賀 
T18n0850_001:0068a01	　次明奉華印　　八度內相叉	 次 明 奉 華 印 八 度 內 相 叉 
T18n0850_001:0068a02	　腕合風頭拄　　印如掬華勢	 腕 合 風 頭 拄 印 如 掬 華 勢 
T18n0850_001:0068a03	真言曰。	真 言 曰 
T18n0850_001:0068a04	（一九）曩莫三滿多沒馱南(一)摩賀(引)妺怛	 一 九 曩 莫 三 滿 多 沒 馱 南 一 摩 賀 引 妺 怛 
T18n0850_001:0068a05	哩也(二合)(二)毘庾(二合)嗢誐帝(三)娑嚩(二合)賀	哩 也 二 合 二 毘 庾 二 合 嗢 誐 帝 三 娑 嚩 二 合 賀 
T18n0850_001:0068a06	　次明燒香印　　六度內背竪	 次 明 燒 香 印 六 度 內 背 竪 
T18n0850_001:0068a07	　二風頭側合　　空各附於風	 二 風 頭 側 合 空 各 附 於 風 
T18n0850_001:0068a08	真言曰。	真 言 曰 
T18n0850_001:0068a09	（二〇）曩莫三滿多沒馱南(一)達麼馱睹拏	 二 〇 曩 莫 三 滿 多 沒 馱 南 一 達 麼 馱 睹 拏 
T18n0850_001:0068a10	蘖帝(二)娑嚩(二合)賀	蘖 帝 二 娑 嚩 二 合 賀 
T18n0850_001:0068a11	　次明飲食印　　二地側相著	 次 明 飲 食 印 二 地 側 相 著 
T18n0850_001:0068a12	　水火風頭合　　空附於風下	 水 火 風 頭 合 空 附 於 風 下 
T18n0850_001:0068a13	　由如食器形　　腕合向前獻	 由 如 食 器 形 腕 合 向 前 獻 
T18n0850_001:0068a14	真言曰。	真 言 曰 
T18n0850_001:0068a15	（二一）曩莫三滿多沒馱南(一)阿囉囉(二)迦囉	 二 一 曩 莫 三 滿 多 沒 馱 南 一 阿 囉 囉 二 迦 囉 
T18n0850_001:0068a16	囉(三)麼隣捺泥(四)摩訶摩哩(五)娑嚩(二合)賀	囉 三 麼 隣 捺 泥 四 摩 訶 摩 哩 五 娑 嚩 二 合 賀 
T18n0850_001:0068a17	　次明燈明印　　觀拳火輪竪	 次 明 燈 明 印 觀 拳 火 輪 竪 
T18n0850_001:0068a18	　空拄火下節　　運想無邊剎	 空 拄 火 下 節 運 想 無 邊 剎 
T18n0850_001:0068a19	　一一諸佛前　　光明為佛事	 一 一 諸 佛 前 光 明 為 佛 事 
T18n0850_001:0068a20	真言曰。	真 言 曰 
T18n0850_001:0068a21	（二二）曩莫三滿多沒馱南(一)怛他(引)蘖多	 二 二 曩 莫 三 滿 多 沒 馱 南 一 怛 他 引 蘖 多 
T18n0850_001:0068a22	(引)[口*栗]旨(二)娑頗(二合)囉拏嚩婆娑娜(三)誐誐猱	 引 [口栗] 旨 二 娑 頗 二 合 囉 拏 嚩 婆 娑 娜 三 誐 誐 猱 
T18n0850_001:0068a23	(奴奧反)娜哩也(二合)(四)娑嚩(二合)賀	 奴 奧 反 娜 哩 也 二 合 四 娑 嚩 二 合 賀 
T18n0850_001:0068a24	　次應長跪普通掌　　讚揚如來諸福智	 次 應 長 跪 普 通 掌 讚 揚 如 來 諸 福 智 
T18n0850_001:0068a25	　此已讚歎剎塵眾　　為求悉地發清音	 此 已 讚 歎 剎 塵 眾 為 求 悉 地 發 清 音 
T18n0850_001:0068a26	　殷勤唄唱三至七　　次誦吉慶伽他句	 殷 勤 唄 唱 三 至 七 次 誦 吉 慶 伽 他 句 
T18n0850_001:0068a27	　或五或七下至三　　警覺諸尊發歡喜	 或 五 或 七 下 至 三 警 覺 諸 尊 發 歡 喜 
T18n0850_001:0068a28	真言曰。	真 言 曰 
T18n0850_001:0068a29	（二三）嚩日囉(二合)薩怛嚩(二合)僧(思孕反)誐囉	 二 三 嚩 日 囉 二 合 薩 怛 嚩 二 合 僧 思 孕 反 誐 囉 
T18n0850_001:0068b01	(二合)賀(一)嚩日囉(二合)囉怛曩(二合)摩弩怛[口*藍](二合)(二)	 二 合 賀 一 嚩 日 囉 二 合 囉 怛 曩 二 合 摩 弩 怛 [口藍] 二 合 二 
T18n0850_001:0068b02	嚩日囉(二合)達麼誐野柰(三)嚩日囉(二合)羯	嚩 日 囉 二 合 達 麼 誐 野 柰 三 嚩 日 囉 二 合 羯 
T18n0850_001:0068b03	麼迦嚕婆嚩(四)	麼 迦 嚕 婆 嚩 四 
T18n0850_001:0068b04	　次獻閼伽印　　止觀蓮華合	 次 獻 閼 伽 印 止 觀 蓮 華 合 
T18n0850_001:0068b05	　風開附火節　　空各附於風	 風 開 附 火 節 空 各 附 於 風 
T18n0850_001:0068b06	　先右後左膝　　展印至於額	 先 右 後 左 膝 展 印 至 於 額 
T18n0850_001:0068b07	　三奉於聖天　　心內有所求	 三 奉 於 聖 天 心 內 有 所 求 
T18n0850_001:0068b08	　隨獻皆啟白　　當得無垢地	 隨 獻 皆 啟 白 當 得 無 垢 地 
T18n0850_001:0068b09	　離惱清涼定閼伽真言曰	 離 惱 清 涼 定 閼 伽 真 言 曰 
T18n0850_001:0068b10	（二四）唵嚩日囉(二合)娜迦吒吽(如求至願三習百字明)	 二 四 唵 嚩 日 囉 二 合 娜 迦 吒 吽 如 求 至 願 三 習 百 字 明 
T18n0850_001:0068b11	　次執金剛杵　　抽擲振金鈴	 次 執 金 剛 杵 抽 擲 振 金 鈴 
T18n0850_001:0068b12	　再加轉法輪　　諦想執金剛	 再 加 轉 法 輪 諦 想 執 金 剛 
T18n0850_001:0068b13	　如於法界性　　當住菩提心	 如 於 法 界 性 當 住 菩 提 心 
T18n0850_001:0068b14	　次結方隅印　　用聖不動尊	 次 結 方 隅 印 用 聖 不 動 尊 
T18n0850_001:0068b15	　左轉成辟除　　右旋及上下	 左 轉 成 辟 除 右 旋 及 上 下 
T18n0850_001:0068b16	　備觸身支分　　結護悉堅牢	 備 觸 身 支 分 結 護 悉 堅 牢 
T18n0850_001:0068b17	　真語母陀羅　　如下當分別	 真 語 母 陀 羅 如 下 當 分 別 
T18n0850_001:0068b18	　既為嚴備訖　　當示根本契	 既 為 嚴 備 訖 當 示 根 本 契 
T18n0850_001:0068b19	　還加於五處　　七轉或再三	 還 加 於 五 處 七 轉 或 再 三 
T18n0850_001:0068b20	　散印頂上開　　半跏正身意	 散 印 頂 上 開 半 跏 正 身 意 
T18n0850_001:0068b21	　或作相應坐　　隨方如教說	 或 作 相 應 坐 隨 方 如 教 說 
T18n0850_001:0068b22	　正面住身前　　觀一圓明像	 正 面 住 身 前 觀 一 圓 明 像 
T18n0850_001:0068b23	　清淨無瑕玷　　猶如滿月輪	 清 淨 無 瑕 玷 猶如滿月 輪 
T18n0850_001:0068b24	　中有本尊形　　妙色超三界	 中 有 本 尊 形 妙 色 超 三 界 
T18n0850_001:0068b25	　紗縠嚴身服　　寶冠紺髮垂	 紗 縠 嚴 身 服 寶 冠 紺 髮 垂 
T18n0850_001:0068b26	　寂然三摩地　　輝焰過眾電	 寂 然 三 摩 地 輝 焰 過 眾 電 
T18n0850_001:0068b27	　猶如淨鏡內　　幽邃現真容	 猶 如 淨 鏡 內 幽 邃 現 真 容 
T18n0850_001:0068b28	　喜怒顯形色　　操持與願等	 喜 怒 顯 形 色 操 持 與 願 等 
T18n0850_001:0068b29	　正受相應身　　明了心無亂	 正 受 相 應 身 明 了 心 無 亂 
T18n0850_001:0068c01	　無相淨法體　　應願濟群生	 無 相 淨 法 體 應 願 濟 群 生 
T18n0850_001:0068c02	　乳風作四印　　隨一作成就	 乳 風 作 四 印 隨 一 作 成 就 
T18n0850_001:0068c03	　修行六月滿　　輕舉下神通	 修 行 六 月 滿 輕 舉 下 神 通 
T18n0850_001:0068c04	　安住如來鉤　　布字如下明	 安 住 如 來 鉤 布 字 如 下 明 
T18n0850_001:0068c05	　火生障聖者　　無動尊真言(如中卷明)	 火 生 障 聖 者 無 動 尊 真 言 如 中 卷 明 
T18n0850_001:0068c06	攝大毘盧遮那供養方便儀軌卷第一	攝 大 毘 盧 遮 那 供 養 方 便 儀 軌 卷 第 一 
T18n0850_002:0068c09	攝大毘盧遮那經大菩提幢諸	攝 大 毘 盧 遮 那 經 大 菩 提 幢 諸 
T18n0850_002:0068c10	尊密印標幟曼荼羅儀軌卷第	尊 密 印 標 幟 曼 荼 羅 儀 軌 卷 第 
T18n0850_002:0068c11	二	二 
T18n0850_002:0068c13	大興善寺中天竺國三藏	大 興 善 寺 中 天 竺 國 三 藏 
T18n0850_002:0068c14	輸波迦羅奉　詔譯	輸波迦羅 奉 詔 譯 
T18n0850_002:0068c15	　爾時婆誐鑁　　毘盧遮那佛	 爾 時 婆 誐 鑁 毘 盧 遮 那 佛 
T18n0850_002:0068c16	　觀察諸大眾　　告執金剛手	 觀 察 諸 大 眾 告 執 金 剛 手 
T18n0850_002:0068c17	　密主薩埵言　　有法同大日	 密 主 薩 埵 言 有 法 同 大 日 
T18n0850_002:0068c18	　如來莊嚴具　　同法界幖幟	 如 來 莊 嚴 具 同 法 界 幖 幟 
T18n0850_002:0068c19	　菩薩摩訶薩　　由是嚴身故	 菩薩摩訶薩 由 是 嚴 身 故 
T18n0850_002:0068c20	　處於生死中　　巡歷於諸趣	 處 於 生 死 中 巡 歷 於 諸 趣 
T18n0850_002:0068c21	　塵剎如來會　　以此大菩提	 塵 剎 如 來 會 以 此 大 菩 提 
T18n0850_002:0068c22	　計都而建立　　如來之幖幟	 計 都 而 建 立 如 來 之 幖 幟 
T18n0850_002:0068c23	　諸天龍夜叉　　八部遙禮敬	 諸 天 龍 夜 叉 八 部 遙 禮 敬 
T18n0850_002:0068c24	　受教而奉行　　汝今極諦聽	 受 教 而 奉 行 汝 今 極 諦 聽 
T18n0850_002:0068c25	　吾當演說之　　密主誠請已	 吾 當 演 說 之 密 主 誠 請 已 
T18n0850_002:0069a01	　爾時婆誐鑁　　即便住於身	 爾 時 婆 誐 鑁 即 便 住 於 身 
T18n0850_002:0069a02	　無害力三昧　　由住斯定故	 無 害 力 三 昧 由 住 斯 定 故 
T18n0850_002:0069a03	　說一切如來　　無能障閡身	 說 一 切 如 來 無 能 障 閡 身 
T18n0850_002:0069a04	　無等三力明　　即說明妃曰	 無 等 三 力 明 即 說 明 妃 曰 
T18n0850_002:0069a05	（二五）曩莫三滿多沒馱南(一)阿三迷(二)底哩	 二 五 曩 莫 三 滿 多 沒 馱 南 一 阿 三 迷 二 底 哩 
T18n0850_002:0069a06	(二合)三迷(三)三(去)摩曳(引)(四)娑嚩(二合)賀	 二 合 三 迷 三 三 去 摩 曳 引 四 娑 嚩 二 合 賀 
T18n0850_002:0069a07	　金剛祕密主　　明妃能示現	 金 剛 祕 密 主 明 妃 能 示 現 
T18n0850_002:0069a08	　一切如來地　　不越三法界	 一 切 如 來 地 不 越 三 法 界 
T18n0850_002:0069a09	　地波羅蜜滿　　密印定慧手	 地 波 羅 蜜 滿 密 印 定 慧 手 
T18n0850_002:0069a10	　蓮合建二空　　額肩心喉頂	 蓮 合 建 二 空 額 肩 心 喉 頂 
T18n0850_002:0069a11	　印五誦明妃　　此一切諸佛	 印 五 誦 明 妃 此 一切諸佛 
T18n0850_002:0069a12	　救世之大印　　正覺三昧耶	 救 世 之 大 印 正 覺 三 昧 耶 
T18n0850_002:0069a13	　於此印而住　　次法界生印	 於 此 印 而 住 次 法 界 生 印 
T18n0850_002:0069a14	　當住於囕字　　印明如前說	 當 住 於 囕 字 印 明 如 前 說 
T18n0850_002:0069a15	　次轉法輪印　　諦想執金剛	 次 轉法輪印 諦 想 執 金 剛 
T18n0850_002:0069a16	　風輪風種子　　印明如初會	 風 輪 風 種 子 印 明 如 初 會 
T18n0850_002:0069a17	　真言行菩薩　　從此眾三昧	 真 言 行 菩 薩 從 此 眾 三 昧 
T18n0850_002:0069a18	　即入無生字　　住大菩提心	 即 入 無 生 字 住 大菩提心 
T18n0850_002:0069a19	　觀身如薩埵　　色相碧頗梨	 觀 身 如 薩 埵 色 相 碧 頗 梨 
T18n0850_002:0069a20	　住於羯磨輪　　普遍成焰鬘	 住 於 羯 磨 輪 普 遍 成 焰 鬘 
T18n0850_002:0069a21	　誦下真言王　　方作曼荼羅	 誦 下 真 言 王 方 作 曼 荼 羅 
T18n0850_002:0069a22	　自肘雙為量　　異此非吉祥	 自 肘 雙 為 量 異 此 非 吉 祥 
T18n0850_002:0069a23	　乞地偈如經　　白檀點為記	 乞 地 偈 如 經 白 檀 點 為 記 
T18n0850_002:0069a24	　香華普奉獻　　先持辦事明	 香 華 普 奉 獻 先 持 辦 事 明 
T18n0850_002:0069a25	　傳法阿闍梨　　方可次應取	 傳 法 阿 闍 梨 方 可 次 應 取 
T18n0850_002:0069a26	　五色修多羅　　稽首一切佛	 五 色 修 多 羅 稽 首 一 切 佛 
T18n0850_002:0069a27	　大毘盧遮那　　親自作加持	 大 毘 盧 遮 那 親 自 作 加 持 
T18n0850_002:0069a28	　東方以為首　　對持修多羅	 東 方 以 為 首 對 持 修 多 羅 
T18n0850_002:0069a29	　至臍而在空　　漸次右旋轉	 至 臍 而 在 空 漸 次 右 旋 轉 
T18n0850_002:0069b01	　如是南及西　　終竟於北方	 如 是 南 及 西 終 竟 於 北 方 
T18n0850_002:0069b02	　第二安立界　　亦從初方起	 第 二 安 立 界 亦 從 初 方 起 
T18n0850_002:0069b03	　憶念諸如來　　所行如上說	 憶 念 諸 如 來 所 行 如 上 說 
T18n0850_002:0069b04	　右方及後方　　復周於勝方	 右 方 及 後 方 復 周 於 勝 方 
T18n0850_002:0069b05	　阿闍梨次迴　　依於涅哩底	 阿 闍 梨 次 迴 依 於 涅 哩 底 
T18n0850_002:0069b06	　受學對持者　　漸次以南行	 受 學 對 持 者 漸 次 以 南 行 
T18n0850_002:0069b07	　從此右旋遶　　轉依於風方	 從 此 右 旋 遶 轉 依 於 風 方 
T18n0850_002:0069b08	　師位移本處　　而居於火方	 師 位 移 本 處 而 居 於 火 方 
T18n0850_002:0069b09	　持真言行者　　復修如是法	 持 真 言 行 者 復 修 如 是 法 
T18n0850_002:0069b10	　弟子在西南　　師居伊舍尼	 弟 子 在 西 南 師 居 伊 舍 尼 
T18n0850_002:0069b11	　學者復旋繞　　轉依於火方	 學 者 復 旋 繞 轉 依 於 火 方 
T18n0850_002:0069b12	　師位移本處　　而住於風方	 師 位 移 本 處 而 住 於 風 方 
T18n0850_002:0069b13	　如是真言者　　普作四方相	 如 是 真 言 者 普 作 四 方 相 
T18n0850_002:0069b14	　漸次入其中　　三位以分之	 漸 次 入 其 中 三 位 以 分 之 
T18n0850_002:0069b15	　已表三分位　　地相普周遍	 已 表 三 分 位 地 相 普 周 遍 
T18n0850_002:0069b16	　復於一一分　　差別以為三	 復 於 一 一 分 差 別 以 為 三 
T18n0850_002:0069b17	　是中最初分　　作業所行道	 是 中 最 初 分 作 業 所 行 道 
T18n0850_002:0069b18	　其餘中後分　　聖天之住處	 其 餘 中 後 分 聖 天 之 住 處 
T18n0850_002:0069b19	　應知其分齊　　誠心以慇重	 應 知 其 分 齊 誠 心 以 慇 重 
T18n0850_002:0069b20	　運布諸聖尊　　是諦阿闍梨	 運 布 諸 聖 尊 是 諦 阿 闍 梨 
T18n0850_002:0069b21	　正受造眾相　　均調善分別	 正 受 造 眾 相 均 調 善 分 別 
T18n0850_002:0069b22	　內心妙白蓮　　胎藏正均等	 內 心 妙 白 蓮 胎 藏 正 均 等 
T18n0850_002:0069b23	　藏中造一切　　悲生曼荼羅	 藏 中 造 一 切 悲 生 曼 荼 羅 
T18n0850_002:0069b24	　十六央俱梨　　過此是其量	 十 六 央 俱 梨 過 此 是 其 量 
T18n0850_002:0069b25	　八葉正圓滿　　鬚蘂皆嚴好	 八 葉 正 圓 滿 鬚 蘂 皆 嚴 好 
T18n0850_002:0069b26	　金剛之智印　　遍出諸葉間	 金 剛 之 智 印 遍 出 諸 葉 間 
T18n0850_002:0069b27	　從此華臺中　　大日勝尊現	 從 此 華 臺 中 大 日 勝 尊 現 
T18n0850_002:0069b28	　金色具暉曜　　首持髮髻冠	 金 色 具 暉 曜 首 持 髮 髻 冠 
T18n0850_002:0069b29	　救世圓滿光　　離熱住三昧	 救 世 圓 滿 光 離 熱 住 三 昧 
T18n0850_002:0069c01	　四智四行等　　八祕中宣說	 四 智 四 行 等 八 祕 中 宣 說 
T18n0850_002:0069c02	　大日如來上　　三昧諸眷屬	 大 日 如 來 上 三 昧 諸 眷 屬 
T18n0850_002:0069c03	　彼東應畫作　　一切遍知印	 彼 東 應 畫 作 一 切 遍 知 印 
T18n0850_002:0069c04	　三角蓮華上　　其色皆鮮白	 三 角 蓮 華 上 其 色 皆 鮮 白 
T18n0850_002:0069c05	　光焰遍圍繞　　皓潔普周遍	 光 焰 遍 圍 繞 皓 潔 普 周 遍 
T18n0850_002:0069c06	　峯銳向其下　　佛坐道樹下	 峯 銳 向 其 下 佛 坐 道 樹 下 
T18n0850_002:0069c07	　持此降四魔　　故號遍知印	 持 此 降 四 魔 故 號 遍 知 印 
T18n0850_002:0069c08	　能具多功德　　生眾三昧王(云云)	 能 具 多 功 德 生 眾 三 昧 王 云 云 
T18n0850_002:0069c09	　次於其北維　　導師諸佛母	 次 於 其 北 維 導 師 諸 佛 母 
T18n0850_002:0069c10	　晃曜真金色　　縞素以為衣	 晃 曜 真 金 色 縞 素 以 為 衣 
T18n0850_002:0069c11	　遍照猶日光　　正受住三昧	 遍 照 猶 日 光 正 受 住 三 昧 
T18n0850_002:0069c12	　佛母虛空眼真言曰	 佛 母 虛 空 眼 真 言 曰 
T18n0850_002:0069c13	（二六）曩莫三滿多沒馱南(一)誐誐曩嚩囉	 二 六 曩 莫 三 滿 多 沒 馱 南 一 誐 誐 曩 嚩 囉 
T18n0850_002:0069c14	[口*洛]乞叉(二合)嬭(一)誐誐曩娑摩曳(三)薩嚩覩	[口洛] 乞 叉 二 合 嬭 一 誐 誐 曩 娑 摩 曳 三 薩 嚩 覩 
T18n0850_002:0069c15	嗢誐(二合)哆(四)鼻(入)娑囉三婆吠(五)入嚩(二合)	嗢 誐 二 合 哆 四 鼻 入 娑 囉 三 婆 吠 五 入 嚩 二 合 
T18n0850_002:0069c16	羅難(引)摩目佉曩(六)娑嚩(二合)賀	羅 難 引 摩 目 佉 曩 六 娑 嚩 二 合 賀 
T18n0850_002:0069c17	　定慧歸合掌　　風捻空加上	 定 慧 歸 合 掌 風 捻 空 加 上 
T18n0850_002:0069c18	　其形如憩伽　　此大慧刀印	 其 形 如 憩 伽 此 大 慧 刀 印 
T18n0850_002:0069c19	　一切佛所說　　能斷於諸見	 一 切 佛 所 說 能 斷 於 諸 見 
T18n0850_002:0069c20	　謂俱生身見真言曰	 謂 俱 生 身 見 真 言 曰 
T18n0850_002:0070a01	（二七）曩莫三滿多沒馱南(一)摩賀朅誐尾	 二 七 曩 莫 三 滿 多 沒 馱 南 一 摩 賀 朅 誐 尾 
T18n0850_002:0070a02	囉惹(自羅反下準二)達麼讚(引)捺囉捨(二合)迦娑賀	囉 惹 自 羅 反 下 準 二 達 麼 讚 引 捺 囉 捨 二 合 迦 娑 賀 
T18n0850_002:0070a03	惹(三)薩迦野捺[口*(隸木+匕)](二合)瑟致(二合)[口*毛]曳(二合)	惹 三 薩 迦 野 捺 [口隸木匕]二合瑟致二合[口毛] 曳 二 合 
