T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_001:0538c26	心無所著。」富樓那彌多羅尼子白佛言：「世尊！	心無所著 富 樓 那 彌 多 羅 尼 子 白 佛 言 世 尊 
T08n0227_001:0538c27	菩薩發大莊嚴，乘大乘故，是名摩訶薩義。」須	菩 薩 發 大 莊 嚴 乘 大 乘 故 是 名 摩 訶 薩 義 須 
T08n0227_001:0538c28	菩提白佛言：「世尊！所言菩薩發大莊嚴，云何	菩 提 白 佛 言 世 尊 所 言 菩 薩 發 大 莊 嚴 云 何 
T08n0227_001:0538c29	名為發大莊嚴？」佛言：「菩薩作是念：『我應度無	名 為 發 大 莊 嚴 佛 言 菩 薩 作 是 念 我 應 度 無 
T08n0227_001:0539a01	量阿僧祇眾生。度眾生已，無有眾生滅度者。』	量 阿 僧 祇 眾 生 度 眾 生 已 無 有 眾 生 滅 度 者 
T08n0227_001:0539a02	何以故？諸法相爾。譬如工幻師，於四衢道，化作	何 以 故 諸 法 相 爾 譬 如 工 幻 師 於 四 衢 道 化 作 
T08n0227_001:0539a03	大眾，悉斷化人頭。於意云何？寧有傷有死者	大 眾 悉 斷 化 人 頭 於意云何 寧 有 傷 有 死 者 
T08n0227_001:0539a04	不？」須菩提言：「不也，世尊！」佛言：「菩薩亦如是，	不 須 菩 提 言 不 也 世 尊 佛 言 菩 薩 亦 如 是 
T08n0227_001:0539a05	度無量阿僧祇眾生已，無有眾生滅度者。若	度 無量阿僧祇 眾 生 已 無 有 眾 生 滅 度 者 若 
T08n0227_001:0539a06	菩薩聞是事，不驚不怖，當知是菩薩發大莊	菩 薩 聞 是 事 不驚不怖 當 知 是 菩 薩 發 大 莊 
T08n0227_001:0539a07	嚴。」須菩提言：「如我解佛所說義，當知是菩薩	嚴 須 菩 提 言 如 我 解 佛 所 說 義 當 知 是 菩 薩 
T08n0227_001:0539a08	發大莊嚴而自莊嚴。何以故？薩婆若是不作	發 大 莊 嚴 而 自 莊 嚴 何 以 故 薩 婆 若 是 不 作 
T08n0227_001:0539a09	不起法，為眾生故發大莊嚴。是眾生亦是不	不 起 法 為 眾 生 故 發 大 莊 嚴 是 眾 生 亦 是 不 
T08n0227_001:0539a10	作不起法。何以故？色無縛無解，受、想、行、識無	作 不 起 法 何 以 故 色 無 縛 無 解 受 想 行 識 無 
T08n0227_001:0539a11	縛無解故。」富樓那語須菩提：「色無縛無解，受、	縛 無 解 故 富 樓 那 語 須 菩 提 色 無 縛 無 解 受 
T08n0227_001:0539a12	想、行、識無縛無解耶？」須菩提言：「色無縛無解，	想 行 識 無 縛 無 解 耶 須 菩 提 言 色 無 縛 無 解 
T08n0227_001:0539a13	受、想、行、識無縛無解。」富樓那言：「何等色無縛	受 想 行 識 無 縛 無 解 富 樓 那 言 何 等 色 無 縛 
T08n0227_001:0539a14	無解？何等受、想、行、識無縛無解？」須菩提言：「幻	無 解 何 等 受 想 行 識 無 縛 無 解 須 菩 提 言 幻 
T08n0227_001:0539a15	人色是無縛無解，幻人受、想、行、識是無縛無	人 色 是 無 縛 無 解 幻 人 受 想 行 識 是 無 縛 無 
T08n0227_001:0539a16	解。無所有故，無縛無解；離故，無縛無解；無生	解 無 所 有 故 無 縛 無 解 離 故 無 縛 無 解 無 生 
T08n0227_001:0539a17	故，無縛無解。是名菩薩摩訶薩發大莊嚴而	故 無 縛 無 解 是 名 菩薩摩訶薩 發 大 莊 嚴 而 
T08n0227_001:0539a18	自莊嚴。」須菩提白佛言：「世尊！云何為大乘？云	自 莊 嚴 須 菩 提 白 佛 言 世 尊 云 何 為 大 乘 云 
T08n0227_001:0539a19	何為菩薩發趣大乘？是乘住何處？是乘從何	何 為 菩 薩 發趣大乘 是 乘 住 何 處 是 乘 從 何 
T08n0227_001:0539a20	處出？」佛告須菩提：「大乘者，無有量、無分數故。	處 出 佛 告 須 菩 提 大 乘 者 無 有 量 無 分 數 故 
T08n0227_001:0539a21	是乘從何處出、住何處者，是乘從三界出、住	是 乘 從 何 處 出 住 何 處 者 是 乘 從 三 界 出 住 
T08n0227_001:0539a22	薩婆若。無乘是乘出者。何以故？出法、出者，	薩 婆 若 無 乘 是 乘 出 者 何 以 故 出 法 出 者 
T08n0227_001:0539a23	俱無所有，何法當出？」須菩提白佛言：「世尊！	俱 無 所 有 何 法 當 出 須 菩 提 白 佛 言 世 尊 
T08n0227_001:0539a24	所言摩訶衍、摩訶衍者，勝出一切世間天、人、	所 言 摩 訶 衍 摩 訶 衍 者 勝 出 一切世間 天 人 
T08n0227_001:0539a25	阿修羅。世尊！摩訶衍與虛空等。如虛空，受無	阿 修 羅 世 尊 摩 訶 衍 與虛空等 如 虛 空 受 無 
T08n0227_001:0539a26	量阿僧祇眾生；摩訶衍亦如是，受無量阿僧	量 阿 僧 祇 眾 生 摩 訶 衍 亦 如 是 受 無 量 阿 僧 
T08n0227_001:0539a27	祇眾生。是摩訶衍如虛空，無來處，無去處，無	祇 眾 生 是 摩 訶 衍 如 虛 空 無 來 處 無 去 處 無 
T08n0227_001:0539a28	住處；摩訶衍亦如是，不得前際，不得中際，不	住 處 摩 訶 衍 亦 如 是 不 得 前 際 不 得 中 際 不 
T08n0227_001:0539a29	得後際。是乘三世等，是故名為摩訶衍。」佛讚	得 後 際 是 乘 三 世 等 是 故 名 為 摩 訶 衍 佛 讚 
T08n0227_001:0539b01	須菩提言：「善哉，善哉！諸菩薩摩訶薩摩訶衍，	須 菩 提 言 善 哉 善 哉 諸 菩薩摩訶薩 摩 訶 衍 
T08n0227_001:0539b02	應如汝所說。」爾時富樓那彌多羅尼子白佛	應 如 汝 所 說 爾 時 富 樓 那 彌 多 羅 尼 子 白 佛 
T08n0227_001:0539b03	言：「世尊！佛使須菩提說般若波羅蜜，乃說摩	言 世 尊 佛 使 須 菩 提 說 般 若 波 羅 蜜 乃 說 摩 
T08n0227_001:0539b04	訶衍？」須菩提白佛言：「世尊！我所說將無離般	訶 衍 須 菩 提 白 佛 言 世 尊 我 所 說 將 無 離 般 
T08n0227_001:0539b05	若波羅蜜耶？」「不也，須菩提！汝所說隨順般若	若 波 羅 蜜 耶 不 也 須 菩 提 汝 所 說 隨 順 般 若 
T08n0227_001:0539b06	波羅蜜。」「世尊！我不得過去世菩薩，亦不得未	波 羅 蜜 世 尊 我 不 得 過 去 世 菩 薩 亦 不 得 未 
T08n0227_001:0539b07	來、現在世菩薩。色無邊故，菩薩亦無邊；受、想、	來 現 在 世 菩 薩 色 無 邊 故 菩 薩 亦 無 邊 受 想 
T08n0227_001:0539b08	行、識無邊故，菩薩亦無邊。世尊！如是一切處、	行 識 無 邊 故 菩 薩 亦 無 邊 世 尊 如是一切 處 
T08n0227_001:0539b09	一切時、一切種菩薩不可得，當教何等菩薩般	一 切 時 一 切 種 菩 薩 不 可 得 當 教 何 等 菩 薩 般 
T08n0227_001:0539b10	若波羅蜜？我不得不見菩薩，當教何法入般	若 波 羅 蜜 我 不 得 不 見 菩 薩 當 教 何 法 入 般 
T08n0227_001:0539b11	若波羅蜜？世尊！所言菩薩、菩薩者，但有名字。	若 波 羅 蜜 世 尊 所 言 菩 薩 菩 薩 者 但 有 名 字 
T08n0227_001:0539b12	譬如所說我，我法畢竟不生。世尊！一切法性	譬 如 所 說 我 我 法 畢竟不生 世 尊 一切法性 
T08n0227_001:0539b13	亦如是。此中何等是色不著不生？何等是受、	亦 如 是 此 中 何 等 是 色 不 著 不 生 何 等 是 受 
T08n0227_001:0539b14	想、行、識不著不生？色是菩薩不可得，受、想、行、	想 行 識 不 著 不 生 色 是 菩 薩 不 可 得 受 想 行 
T08n0227_001:0539b15	識是菩薩不可得，不可得亦不可得。世尊！一	識 是 菩 薩 不 可 得 不 可 得 亦 不 可 得 世 尊 一 
T08n0227_001:0539b16	切處、一切時、一切種菩薩不可得，當教何法	切 處 一 切 時 一 切 種 菩 薩 不 可 得 當 教 何 法 
T08n0227_001:0539b17	入般若波羅蜜？世尊！菩薩但有名字。如我畢	入 般 若 波 羅 蜜 世 尊 菩 薩 但 有 名 字 如 我 畢 
T08n0227_001:0539b18	竟不生，諸法性亦如是。此中何等是色不著	竟 不 生 諸 法 性 亦 如 是 此 中 何 等 是 色 不 著 
T08n0227_001:0539b19	不生？何等是受、想、行、識不著不生？諸法性如	不 生 何 等 是 受 想 行 識 不 著 不 生 諸 法 性 如 
T08n0227_001:0539b20	是，是性亦不生，不生亦不生。世尊！我今當教	是 是 性 亦 不 生 不 生 亦 不 生 世 尊 我 今 當 教 
T08n0227_001:0539b21	不生法入般若波羅蜜耶？何以故？離不生法，	不 生 法 入 般 若 波 羅 蜜 耶 何 以 故 離 不 生 法 
T08n0227_001:0539b22	不可得菩薩行阿耨多羅三藐三菩提。若菩	不 可 得 菩 薩 行 阿耨多羅三藐三菩提 若 菩 
T08n0227_001:0539b23	薩聞作是說，不驚不怖，當知是菩薩行般若	薩 聞 作 是 說 不驚不怖 當 知 是 菩 薩 行 般 若 
T08n0227_001:0539b24	波羅蜜。世尊！菩薩隨行般若波羅蜜時作是	波 羅 蜜 世 尊 菩 薩 隨 行 般 若 波 羅 蜜 時 作 是 
T08n0227_001:0539b25	觀，諸法即不受色。何以故？色無生即非色，色	觀 諸 法 即 不 受 色 何 以 故 色 無 生 即 非 色 色 
T08n0227_001:0539b26	無滅即非色。無生無滅，無二無別。若說是色，	無 滅 即 非 色 無生無滅 無 二 無 別 若 說 是 色 
T08n0227_001:0539b27	即是無二法。菩薩行般若波羅蜜時，不受受、	即 是 無 二 法 菩 薩 行 般 若 波 羅 蜜 時 不 受 受 
T08n0227_001:0539b28	想、行、識。何以故？識無生即非識，識無滅即非	想 行 識 何 以 故 識 無 生 即 非 識 識 無 滅 即 非 
T08n0227_001:0539b29	識。無生無滅，無二無別。若說識，即是無二法。」	識 無生無滅 無 二 無 別 若 說 識 即 是 無 二 法 
T08n0227_001:0539c01	舍利弗問須菩提：「如我解須菩提所說義，菩	舍 利 弗 問 須 菩 提 如 我 解 須 菩 提 所 說 義 菩 
T08n0227_001:0539c02	薩即是無生。若菩薩無生，何以故有難行，為	薩 即 是 無 生 若 菩 薩 無 生 何 以 故 有 難 行 為 
T08n0227_001:0539c03	眾生故受苦惱？」須菩提言：「我不欲使菩薩有	眾 生 故 受 苦 惱 須 菩 提 言 我 不 欲 使 菩 薩 有 
T08n0227_001:0539c04	難行。何以故？生難行想、苦行想，不能利益無	難 行 何 以 故 生 難 行 想 苦 行 想 不 能 利 益 無 
T08n0227_001:0539c05	量阿僧祇眾生。於眾生生易想、樂想、父母想、	量 阿 僧 祇 眾 生 於 眾 生 生 易 想 樂 想 父 母 想 
T08n0227_001:0539c06	子想、我所想，則能利益無量阿僧祇眾生。如	子 想 我 所 想 則 能 利 益 無量阿僧祇 眾 生 如 
T08n0227_001:0539c07	我法，一切處、一切時、一切種不可得。菩薩於	我 法 一 切 處 一 切 時 一 切 種 不 可 得 菩 薩 於 
T08n0227_001:0539c08	內外法中，應生如是想。若菩薩以如是心行，	內 外 法 中 應 生 如 是 想 若 菩 薩 以 如 是 心 行 
T08n0227_001:0539c09	亦名難行。如舍利弗所言：『菩薩無生。』如是，舍	亦 名 難 行 如 舍 利 弗 所 言 菩 薩 無 生 如 是 舍 
T08n0227_001:0539c10	利弗！菩薩實無生。」舍利弗言：「但菩薩無生，薩	利 弗 菩 薩 實 無 生 舍 利 弗 言 但 菩 薩 無 生 薩 
T08n0227_001:0539c11	婆若亦無生？」須菩提言：「薩婆若亦無生。」舍利	婆 若 亦 無 生 須 菩 提 言 薩 婆 若 亦 無 生 舍 利 
T08n0227_001:0539c12	弗言：「薩婆若無生，凡夫亦無生？」須菩提言：	弗 言 薩 婆 若 無 生 凡 夫 亦 無 生 須 菩 提 言 
T08n0227_001:0539c13	「凡夫亦無生。」舍利弗語須菩提：「若菩薩無生，	 凡 夫 亦 無 生 舍 利 弗 語 須 菩 提 若 菩 薩 無 生 
T08n0227_001:0539c14	菩薩法亦無生；薩婆若無生，薩婆若法亦無	菩 薩 法 亦 無 生 薩 婆 若 無 生 薩 婆 若 法 亦 無 
T08n0227_001:0539c15	生；凡夫無生，凡夫法亦無生。今以無生得無	生 凡 夫 無 生 凡 夫 法 亦 無 生 今 以 無 生 得 無 
T08n0227_001:0539c16	生，菩薩應得薩婆若。」須菩提言：「我不欲令無	生 菩 薩 應 得 薩 婆 若 須 菩 提 言 我 不 欲 令 無 
T08n0227_001:0539c17	生法有所得。何以故？無生法不可得故。」舍利	生 法 有 所 得 何 以 故 無 生 法 不 可 得 故 舍 利 
T08n0227_001:0539c18	弗言：「生生無生生。汝所言、樂說，為生為	弗 言 生 生 無 生 生 汝 所 言 樂 說 為 生 為 
T08n0227_001:0539c19	無生？」須菩提言：「諸法無生，所言無生，樂說	無 生 須 菩 提 言 諸 法 無 生 所 言 無 生 樂 說 
T08n0227_001:0539c20	亦無生，如是樂說。」舍利弗言：「善哉，善哉！須	亦 無 生 如 是 樂 說 舍 利 弗 言 善 哉 善 哉 須 
T08n0227_001:0539c21	菩提！汝於說法人中，為最第一。何以故？	菩 提 汝 於 說 法 人 中 為 最 第 一 何 以 故 
T08n0227_001:0539c22	須菩提！隨所問皆能答故。」須菩提言：「法應	須 菩 提 隨 所 問 皆 能 答 故 須 菩 提 言 法 應 
T08n0227_001:0539c23	爾。諸佛弟子，於無依止法，所問能答。何以	爾 諸 佛 弟 子 於 無 依 止 法 所 問 能 答 何 以 
T08n0227_001:0539c24	故？一切法無定故。」舍利弗言：「善哉，善哉！	故 一 切 法 無 定 故 舍 利 弗 言 善 哉 善 哉 
T08n0227_001:0539c25	是何波羅蜜力？」須菩提言：「是般若波羅蜜	是 何 波 羅 蜜 力 須 菩 提 言 是 般 若 波 羅 蜜 
T08n0227_001:0539c26	力。舍利弗！若菩薩聞如是說、如是論時，不	力 舍 利 弗 若 菩 薩 聞 如 是 說 如 是 論 時 不 
T08n0227_001:0539c27	疑不悔不難，當知是菩薩行，是行不離是念。」	疑 不 悔 不 難 當 知 是 菩 薩 行 是 行 不 離 是 念 
T08n0227_001:0539c28	舍利弗言：「若菩薩不離是行、不離是念，一	舍 利 弗 言 若 菩 薩 不 離 是 行 不 離 是 念 一 
T08n0227_001:0539c29	切眾生亦不離是行、不離是念，一切眾生亦	切 眾 生 亦 不 離 是 行 不 離 是 念 一 切 眾 生 亦 
T08n0227_001:0540a01	當是菩薩。何以故？一切眾生不離是念故。」	當 是 菩 薩 何 以 故 一 切 眾 生 不 離 是 念 故 
T08n0227_001:0540a02	須菩提言：「善哉，善哉！舍利弗！汝欲離我而成	須 菩 提 言 善 哉 善 哉 舍 利 弗 汝 欲 離 我 而 成 
T08n0227_001:0540a03	我義。所以者何？眾生無性故，當知念亦無性；	我 義 所以者何 眾 生 無 性 故 當 知 念 亦 無 性 
T08n0227_001:0540a04	眾生離故，念亦離；眾生不可得故，念亦不可	眾 生 離 故 念 亦 離 眾 生 不 可 得 故 念 亦 不 可 
T08n0227_001:0540a05	得。舍利弗！我欲令菩薩，以是念行般若波羅	得 舍 利 弗 我 欲 令 菩 薩 以 是 念 行 般 若 波 羅 
T08n0227_001:0540a06	蜜。」	蜜 
T08n0227_001:0540a07	摩訶般若波羅蜜釋提桓因品第二	摩訶般若波羅蜜 釋提桓因 品 第 二 
T08n0227_001:0540a08	爾時釋提桓因，與四萬天子，俱在會中；四天	爾 時 釋提桓因 與 四 萬 天 子 俱 在 會 中 四 天 
T08n0227_001:0540a09	王，與二萬天子，俱在會中；娑婆世界主、梵天	王 與 二 萬 天 子 俱 在 會 中 娑婆世界主 梵 天 
T08n0227_001:0540a10	王，與萬梵天，俱在會中；乃至淨居天眾，無數	王 與 萬 梵 天 俱 在 會 中 乃 至 淨 居 天 眾 無 數 
T08n0227_001:0540a11	千種，俱在會中。是諸天眾，業報光明，以佛身	千 種 俱 在 會 中 是 諸 天 眾 業 報 光 明 以 佛 身 
T08n0227_001:0540a12	神力光明故，皆不復現。爾時釋提桓因語須	神 力 光 明 故 皆 不 復 現 爾 時 釋提桓因 語 須 
T08n0227_001:0540a13	菩提言：「是諸無數天眾，皆共集會，欲聽須菩	菩 提 言 是 諸 無 數 天 眾 皆 共 集 會 欲 聽 須 菩 
T08n0227_001:0540a14	提說般若波羅蜜義。菩薩云何住般若波羅	提 說 般 若 波 羅 蜜 義 菩 薩 云 何 住 般 若 波 羅 
T08n0227_001:0540a15	蜜？」須菩提語釋提桓因及諸天眾：「憍尸迦！我	蜜 須 菩 提 語 釋提桓因 及 諸 天 眾 憍 尸 迦 我 
T08n0227_001:0540a16	今當承佛神力，說般若波羅蜜。若諸天子未	今 當 承佛神力 說 般 若 波 羅 蜜 若 諸 天 子 未 
T08n0227_001:0540a17	發阿耨多羅三藐三菩提心者，今應當發。若	發 阿耨多羅三藐三菩提 心 者 今 應 當 發 若 
T08n0227_001:0540a18	人已入正位，則不堪任發阿耨多羅三藐三	人 已 入 正 位 則 不 堪 任 發 阿 耨 多 羅 三 藐 三 
T08n0227_001:0540a19	菩提心。何以故？已於生死作障隔故。是人若	菩 提 心 何 以 故 已 於 生 死 作 障 隔 故 是 人 若 
T08n0227_001:0540a20	發阿耨多羅三藐三菩提心，我亦隨喜，終不	發 阿耨多羅三藐三菩提 心 我 亦 隨 喜 終 不 
T08n0227_001:0540a21	斷其功德。所以者何？上人應求上法。」爾時佛	斷 其 功 德 所以者何 上 人 應 求 上 法 爾 時 佛 
T08n0227_001:0540a22	讚須菩提言：「善哉，善哉！汝能如是勸樂諸菩	讚 須 菩 提 言 善 哉 善 哉 汝 能 如 是 勸 樂 諸 菩 
T08n0227_001:0540a23	薩。」須菩提言：「世尊！我當報佛恩。如過去諸佛	薩 須 菩 提 言 世 尊 我 當 報 佛 恩 如 過去諸佛 
T08n0227_001:0540a24	及諸弟子教，如來住空法中亦教學諸波羅	及 諸 弟 子 教 如 來 住 空 法 中 亦 教 學 諸 波 羅 
T08n0227_001:0540a25	蜜。如來學是法，得阿耨多羅三藐三菩提。世	蜜 如 來 學 是 法 得阿耨多羅三藐三菩提 世 
T08n0227_001:0540a26	尊！我今亦當如是護念諸菩薩。以我護念因	尊 我 今 亦 當 如 是 護 念 諸 菩 薩 以 我 護 念 因 
T08n0227_001:0540a27	緣故，諸菩薩當疾得阿耨多羅三藐三菩提。」	緣 故 諸 菩 薩 當 疾 得阿耨多羅三藐三菩提 
T08n0227_001:0540a28	須菩提語釋提桓因言：「憍尸迦！汝一心聽，菩	須 菩 提 語 釋提桓因 言 憍 尸 迦 汝 一 心 聽 菩 
T08n0227_001:0540a29	薩住般若波羅蜜。憍尸迦！菩薩發大莊嚴，乘	薩 住 般 若 波 羅 蜜 憍 尸 迦 菩 薩 發 大 莊 嚴 乘 
