T22n1424_001:0214a17	彌沙塞羯磨本	彌 沙 塞 羯 磨 本 
T22n1424_001:0215c12	藍內東廂厨院中結作淨地。」(三說。若庭中、房內、或諸果樹下，並隨處稱	藍 內 東 廂 厨 院 中 結 作 淨 地 三 說 若 庭 中 房 內 或 諸 果 樹 下 並 隨 處 稱 
T22n1424_001:0215c13	之)	之 
T22n1424_001:0215c14	「大德僧聽！今以某房作僧安食淨處。若僧時	 大德僧聽 今 以 某 房 作 僧 安 食 淨 處 若 僧 時 
T22n1424_001:0215c15	到僧忍聽。白如是。」「大德僧聽！今以某房作	到 僧 忍 聽 白 如 是 大德僧聽 今 以 某 房 作 
T22n1424_001:0215c16	僧安食淨處。誰諸長老忍，默然；不忍者說。」「僧	僧 安 食 淨 處 誰 諸 長 老 忍 默 然 不 忍 者 說 僧 
T22n1424_001:0215c17	已以某房作僧安食淨處竟。僧忍，默然故，是	已 以 某 房 作 僧 安 食 淨 處 竟 僧 忍 默 然 故 是 
T22n1424_001:0215c18	事如是持。」解法(律無解文，翻結為解)。	事 如 是 持 解 法 律 無 解 文 翻 結 為 解 
T22n1424_001:0215c19	「大德僧聽！彼某房先作僧安食淨處，僧今解	 大德僧聽 彼 某 房 先 作 僧 安 食 淨 處 僧 今 解 
T22n1424_001:0215c20	之。若僧時到僧忍聽。白如是。」「大德僧聽！彼某	之 若僧時到 僧 忍 聽 白 如 是 大德僧聽 彼 某 
T22n1424_001:0215c21	房先作僧安食淨處，僧今解之。誰諸長老忍，	房 先 作 僧 安 食 淨 處 僧 今 解 之 誰 諸 長 老 忍 
T22n1424_001:0215c22	默然；不忍者說。」「僧已解某房安食淨處竟。僧	默 然 不 忍 者 說 僧 已 解 某 房 安 食 淨 處 竟 僧 
T22n1424_001:0215c23	忍，默然故，是事如是持。」(若有多處，一時標名，解結亦得若處分淨，還以處分解之	忍 默 然 故 是事如是持 若 有 多 處 一 時 標 名 解 結 亦 得 若 處 分 淨 還 以 處 分 解 之 
T22n1424_001:0215c24	也)。	也 
T22n1424_001:0215c25	通結僧坊作淨地法(有比丘欲通羯磨僧坊內作淨地。佛言：「聽。」)。	通 結 僧 坊 作 淨 地 法 有 比 丘 欲 通 羯 磨 僧 坊 內 作 淨 地 佛 言 聽 
T22n1424_001:0215c26	「大德僧聽！此一住處，共住、布薩、共得施。僧今	 大德僧聽 此 一 住 處 共 住 布 薩 共 得 施 僧 今 
T22n1424_001:0215c27	結作淨地，除某處。(有云：除某處者，謂除淨地，故知此是簡淨地法。今云：除者，謂僧住處，	結 作 淨 地 除 某 處 有 云 除 某 處 者 謂 除 淨 地 故 知 此 是 簡 淨 地 法 今 云 除 者 謂 僧 住 處 
T22n1424_001:0215c28	為通結故，所以言除。此即結文，非簡法也)	為 通 結 故 所 以 言 除 此 即 結 文 非 簡 法 也 
T22n1424_001:0216a01	若僧時到僧忍聽。白如是。」「大德僧聽！此一住	若僧時到 僧 忍 聽 白 如 是 大德僧聽 此 一 住 
T22n1424_001:0216a02	處共住、共布薩、共得施，僧今結作淨地，除某	處 共 住 共 布 薩 共 得 施 僧 今 結 作 淨 地 除 某 
T22n1424_001:0216a03	處。誰諸長老忍，默然；不忍者說。」「僧已結作淨	處 誰 諸 長 老 忍 默 然 不 忍 者 說 僧 已 結 作 淨 
T22n1424_001:0216a04	地竟。僧忍，默然故，是事如是持。」解法「大德僧	地 竟 僧 忍 默 然 故 是事如是持 解 法 大 德 僧 
T22n1424_001:0216a05	聽！此一住處先結作淨地，僧今解之。若僧時	聽 此 一 住 處 先 結 作 淨 地 僧 今 解 之 若 僧 時 
T22n1424_001:0216a06	到僧忍聽。白如是。」「大德僧聽！此一住處先結	到 僧 忍 聽 白 如 是 大德僧聽 此 一 住 處 先 結 
T22n1424_001:0216a07	作淨地，僧今解之。誰諸長老忍，默然；不忍者	作 淨 地 僧 今 解 之 誰 諸 長 老 忍 默 然 不 忍 者 
T22n1424_001:0216a08	說。」「僧已解淨地竟。僧忍，默然故，是事如是持。」	說 僧 已 解 淨 地 竟 僧 忍 默 然 故 是事如是持 
T22n1424_001:0216a09	(淨地之所為，防二：內煮、宿食藥。教稱不淨，以此而噉，垢業滋深。護淨諸教明顯，但食為同命，凡聖所憑。信教存道，特	 淨 地 之 所 為 防 二 內 煮 宿 食 藥 教 稱 不 淨 以 此 而 噉 垢 業 滋 深 護 淨 諸 教 明 顯 但 食 為 同 命 凡 聖 所 憑 信 教 存 道 特 
T22n1424_001:0216a10	宜誡慎)	宜 誡 慎 
T22n1424_001:0216a11	第三、諸戒受捨(受之意者，一、擬防非斷除業惑，二、為生福證顯法身。故戒經云：戒為淨身、定	第 三 諸 戒 受 捨 受 之 意 者 一 擬 防 非 斷 除 業 惑 二 為 生 福 證 顯 法 身 故 戒 經 云 戒 為 淨 身 定 
T22n1424_001:0216a12	為淨心、慧清煩惱。若無明慧，煩惱不除；若無正定，明慧不發；若無禁戒，正定不成也。以聖人業惑雖盡，猶持禁戒固若	為 淨 心 慧 清 煩 惱 若 無 明 慧 煩 惱 不 除 若 無 正 定 明 慧 不 發 若 無 禁 戒 正 定 不 成 也 以 聖 人 業 惑 雖 盡 猶 持 禁 戒 固 若 
T22n1424_001:0216a13	金剛。三教顯功誠說非一，然禁通俗戒分多品，始微終著位列五科：一三歸、二五戒、三八戒、四十戒、五具戒。能受之	金 剛 三 教 顯 功 誠 說 非 一 然 禁 通 俗 戒 分 多 品 始 微 終 著 位 列 五 科 一 三 歸 二 五 戒 三 八 戒 四 十 戒 五 具 戒 能 受 之 
T22n1424_001:0216a14	人約位有七，即謂七眾。如下具彰也)。	人 約 位 有 七 即 謂 七 眾 如 下 具 彰 也 
T22n1424_001:0216a15	第三、受三歸法(佛法與僧，真歸依處，能生福智、能為覆護，歸趣依投越四魔境。多論云：以	第 三 受 三 歸 法 佛 法 與 僧 真 歸 依 處 能 生 福 智 能 為 覆 護 歸 趣 依 投 越 四 魔 境 多 論 云 以 
T22n1424_001:0216a16	三寶為所歸，欲令救護不得侵陵。《涅槃經》三跳，明過厄難。既創翻邪，故標為首。佛謂清淨法身，二智顯證，五分成立；	三 寶 為 所 歸 欲 令 救 護 不 得 侵 陵 涅 槃 經 三 跳 明 過 厄 難 既 創 翻 邪 故 標 為 首 佛 謂 清 淨 法 身 二 智 顯 證 五 分 成 立 
T22n1424_001:0216a17	法謂滅諦；僧謂第一義僧。於此境誠心決定崇重僧，向受無疑，二師授資順明了方成也)。	法 謂 滅 諦 僧 謂 第 一 義 僧 於 此 境 誠 心 決 定 崇 重 僧 向 受 無 疑 二 師 授 資 順 明 了 方 成 也 
T22n1424_001:0216a18	「我某甲盡形受，歸依佛、歸依法、歸依比丘	 我 某 甲 盡 形 受 歸 依 佛 歸 依 法 歸 依 比 丘 
T22n1424_001:0216a19	僧。」(三說)「我某甲盡形受，歸依佛已、歸依法已、歸	僧 三 說 我 某 甲 盡 形 受 歸 依 佛 已 歸 依 法 已 歸 
T22n1424_001:0216a20	依比丘僧已。」(三說)	依 比 丘 僧 已 三 說 
T22n1424_001:0216a21	第二、受五戒法(希有希有，《校量功德經》云：「佛告阿難：『若三千大千世界滿中如來，如稻麻	第 二 受 五 戒 法 希 有 希 有 校 量 功 德 經 云 佛 告 阿 難 若 三千大千世界 滿 中 如 來 如 稻 麻 
T22n1424_001:0216a22	竹[竺二+韋]。若人四事具足供養，滿二萬歲；諸佛滅後各起寶塔，復以香華種種供養。其福雖多，不如有人以淳淨心歸依	竹 [竺二韋] 若 人 四 事 具 足 供 養 滿 二 萬 歲 諸 佛 滅 後 各 起 寶 塔 復 以 香 華 種種供養 其 福 雖 多 不 如 有 人 以 淳 淨 心 歸 依 
T22n1424_001:0216a23	佛法僧所得功德，百分不及一、千分百千分乃至算數譬喻所不能及。復以一彈指頃十善戒，福轉勝前。一日一夜	佛 法 僧 所得功德 百 分 不 及 一 千 分 百 千 分 乃 至 算 數 譬 喻 所 不 能 及 復 以 一 彈 指 頃 十 善 戒 福 轉 勝 前 一 日 一 夜 
T22n1424_001:0216a24	受持八戒，若盡形受持五戒、若沙彌戒、沙彌尼戒、式叉摩那戒、比丘尼戒、若比丘戒，福轉勝前不可為喻。』」然於受戒	受 持 八 戒 若 盡 形 受 持 五 戒 若 沙 彌 戒 沙彌尼戒 式叉摩那 戒 比丘尼戒 若 比 丘 戒 福 轉 勝 前 不 可 為 喻 然 於 受 戒 
T22n1424_001:0216a25	前須具問遮難，故《善生經》云：「汝不盜現前僧物不？於六親所、比丘比丘尼所行不淨行？父母師長有病棄去？不殺發菩	前 須 具 問 遮 難 故 善 生 經 云 汝 不 盜 現前僧物 不 於 六 親 所 比 丘 比 丘 尼 所 行 不 淨 行 父 母 師 長 有 病 棄 去 不 殺 發 菩 
T22n1424_001:0216a26	提心眾生？」如具問已，若言無者，應為說法開導心懷令生信樂。《智度論》中，時局盡形數定，謂一分、少分、多分、滿分斷	提 心 眾 生 如 具 問 已 若 言 無 者 應 為 說 法 開 導 心 懷 令 生 信 樂 智 度 論 中 時 局 盡 形 數 定 謂 一 分 少 分 多 分 滿 分 斷 
T22n1424_001:0216b01	婬等五。《俱舍論》中，五種定限不發律儀。教既被機任時行用。《阿含經》云：「於受戒前懺悔罪已，然後與受。」也)	婬 等 五 俱 舍 論 中 五 種 定 限 不 發 律 儀 教 既 被 機 任 時 行 用 阿 含 經 云 於 受 戒 前 懺 悔 罪 已 然 後 與 受 也 
T22n1424_001:0216b02	「我某甲！歸依佛、歸依法、歸依僧。盡形壽為優	 我 某 甲 歸 依 佛 歸 依 法 歸 依 僧 盡 形 壽 為 優 
T22n1424_001:0216b03	婆塞。如來、至真、等正覺，是我世尊。」(三說)「我某甲！	婆 塞 如 來 至 真 等 正 覺 是 我 世 尊 三 說 我 某 甲 
T22n1424_001:0216b04	歸依佛竟、歸依法竟、歸依僧竟。盡形壽為優	歸 依 佛 竟 歸 依 法 竟 歸 依 僧 竟 盡 形 壽 為 優 
T22n1424_001:0216b05	婆塞。如來、至真、等正覺，是我世尊。」(三說。已得戒竟，應為說相)	婆 塞 如 來 至 真 等 正 覺 是 我 世 尊 三 說 已 得 戒 竟 應 為 說 相 
T22n1424_001:0216b06	「盡形壽不殺生，是優婆塞戒。能持不？」(答言：「能持。」)「盡	 盡 形 壽 不 殺 生 是 優婆塞戒 能 持 不 答 言 能 持 盡 
T22n1424_001:0216b07	形壽不偷盜，是優婆塞戒。能持不？」(答言：「能持。」)「盡形	形 壽 不 偷 盜 是 優婆塞戒 能 持 不 答 言 能 持 盡 形 
T22n1424_001:0216b08	壽不邪婬，是優婆塞戒。能持不？」(答言：「能持。」)「盡形壽	壽 不 邪 婬 是 優婆塞戒 能 持 不 答 言 能 持 盡 形 壽 
T22n1424_001:0216b09	不妄語，是優婆塞戒。能持不？」(答言：「能持。」)「盡形壽不	不 妄 語 是 優婆塞戒 能 持 不 答 言 能 持 盡 形 壽 不 
T22n1424_001:0216b10	飲酒，是優婆塞戒。能持不？」(答言：「能。」前四輕重一同具戒。如《優婆塞五	飲 酒 是 優婆塞戒 能 持 不 答 言 能 前 四 輕 重 一 同 具 戒 如 優 婆 塞 五 
T22n1424_001:0216b11	戒相經》說。及有六重二十八輕，如《善生》等經廣說。然應發願，引行令增。然有經云：設有持戒，不發願者，得少許福。引	戒 相 經 說 及 有 六 重 二 十 八 輕 如 善 生 等 經 廣 說 然 應 發 願 引 行 令 增 然 有 經 云 設 有 持 戒 不 發 願 者 得 少 許 福 引 
T22n1424_001:0216b12	古證之)	古 證 之 
T22n1424_001:0216b13	第三、受八戒法(《善生經》、《增一阿含經》云：「佛告優婆塞：『當於八日、十五日，詣長老比丘所受	第 三 受 八 戒 法 善 生 經 增 一 阿 含 經 云 佛 告 優 婆 塞 當 於 八 日 十 五 日 詣 長老比丘 所 受 
T22n1424_001:0216b14	八戒。』」論中總許五眾受之，若無人時自受亦得。《成實論》中，五戒、八戒俱通長短，或一年、一月、半日、半夜，重受、減受並得	八 戒 論 中 總 許 五 眾 受 之 若 無 人 時 自 受 亦 得 成 實 論 中 五 戒 八 戒 俱 通 長 短 或 一 年 一 月 半 日 半 夜 重 受 減 受 並 得 
T22n1424_001:0216b15	戒法)。	戒 法 
T22n1424_001:0216b16	「我某甲！歸依佛、歸依法、歸依僧。(一日一夜，隨長短稱)為淨	 我 某 甲 歸 依 佛 歸 依 法 歸 依 僧 一 日 一 夜 隨 長 短 稱 為 淨 
T22n1424_001:0216b17	行優婆塞。」(三說)「我某甲！歸依佛竟、歸依法竟、歸	行 優 婆 塞 三 說 我 某 甲 歸 依 佛 竟 歸 依 法 竟 歸 
T22n1424_001:0216b18	依僧竟。(一日一夜，隨長短稱)為淨行優婆塞。」(三說)「如諸佛盡	依 僧 竟 一 日 一 夜 隨 長 短 稱 為 淨 行 優 婆 塞 三 說 如 諸 佛 盡 
T22n1424_001:0216b19	形壽不殺生，某甲一日一夜不殺生。能持不？」	形 壽 不 殺 生 某 甲 一 日 一 夜 不 殺 生 能 持 不 
T22n1424_001:0216b20	(答言：「能持。」)「如是不偷盜、不婬、不妄語、不飲酒、離花	 答 言 能 持 如 是 不 偷 盜 不 婬 不 妄 語 不 飲 酒 離 花 
T22n1424_001:0216b21	香瓔珞香油塗身、離高廣勝床上座、離作倡	香 瓔 珞 香 油 塗 身 離 高 廣 勝 床 上 座 離 作 倡 
T22n1424_001:0216b22	伎樂故往觀聽、非時食。」(並如上問答。然有以前八是戒、後離非時食一是齋。或	伎 樂 故 往 觀 聽 非 時 食 並 如 上 問 答 然 有 以 前 八 是 戒 後 離 非 時 食 一 是 齋 或 
T22n1424_001:0216b23	有以第七第八合為第七，離非時食為第八戒)	有 以 第 七 第 八 合 為 第 七 離 非 時 食 為 第 八 戒 
T22n1424_001:0216b24	第四受十戒法(此下三品是出家戒。但出家之益難以言宣。《出家功德經》云：「出家功德，高	第 四 受 十 戒 法 此 下 三 品 是 出 家 戒 但 出 家 之 益 難 以 言 宣 出 家 功 德 經 云 出 家 功 德 高 
T22n1424_001:0216b25	於須彌、深於巨海、廣於虛空，無量無邊，勝明千人之眼、又勝救千人之目。」《僧祇律》云：「一日出家修梵行，滅二十劫惡	於 須 彌 深 於 巨 海 廣 於 虛 空 無量無邊 勝 明 千 人 之 眼 又 勝 救 千 人 之 目 僧 祇 律 云 一 日 出 家 修 梵 行 滅 二 十 劫 惡 
T22n1424_001:0216b26	道苦。」《大悲經》云：「若以袈裟四寸著身，五種功德，不出賢劫之中，當證三乘聖果。若障出家罪，則極重廣。」有成教，何能	道 苦 大 悲 經 云 若 以 袈 裟 四 寸 著 身 五種功德 不 出 賢 劫 之 中 當 證 三 乘 聖 果 若 障 出 家 罪 則 極 重 廣 有 成 教 何 能 
T22n1424_001:0216b27	繁述)。	繁 述 
T22n1424_001:0216c01	先明作畜眾法(准受戒法中，若授人具足戒、度沙彌、為人作依止，皆應具多種德，謂成就戒、	先 明 作 畜 眾 法 准 受 戒 法 中 若 授 人 具 足 戒 度 沙 彌 為 人 作 依 止 皆 應 具 多 種 德 謂 成 就 戒 
T22n1424_001:0216c02	成就威儀、畏慎小罪、多聞能持佛所說法、善誦二部律分別其義、能教弟子增戒增心增慧、能除弟子疑能使人除、	成 就 威 儀 畏 慎 小 罪 多 聞 能 持 佛 所 說 法 善 誦 二 部 律 分 別 其 義 能 教 弟 子 增 戒 增 心 增 慧 能 除 弟 子 疑 能 使 人 除 
T22n1424_001:0216c03	能治弟子病能使人治、能教弟子捨惡邪見能令人教捨、能迴弟子國土覺能使人迴，若滿十歲等，違者突吉羅。尼	能 治 弟 子 病 能 使 人 治 能 教 弟 子 捨 惡 邪 見 能 令 人 教 捨 能 迴 弟 子 國 土 覺 能 使 人 迴 若 滿 十 歲 等 違 者 突 吉 羅 尼 
T22n1424_001:0216c04	戒中云：比丘尼雖滿十二歲，種種諸病及無所知而畜弟子，不教誡故，愚闇無知不能學戒。佛言：「聽諸比丘尼白二	戒 中 云 比 丘 尼 雖 滿 十 二 歲 種 種 諸 病 及 無 所 知 而 畜 弟 子 不 教 誡 故 愚 闇 無 知 不 能 學 戒 佛 言 聽 諸比丘尼 白 二 
T22n1424_001:0216c05	羯磨然後畜眾。」比丘准尼義亦應有。又《四分》中，時諸比丘輒便度人，不知教授，種種起過。佛言：「聽僧與受具足者白	羯 磨 然 後 畜 眾 比 丘 准 尼 義 亦 應 有 又 四 分 中 時 諸 比 丘 輒 便 度 人 不 知 教 授 種 種 起 過 佛 言 聽 僧 與 受 具 足 者 白 
T22n1424_001:0216c06	二羯磨畜。依止沙彌亦爾。」文言，應到僧中，脫革屣，偏袒右肩，胡跪合掌乞云)。	二 羯 磨 畜 依 止 沙 彌 亦 爾 文 言 應 到 僧 中 脫 革 屣 偏袒右肩 胡 跪 合 掌 乞 云 
T22n1424_001:0216c07	「大德僧聽！我某甲比丘，已滿十歲，欲畜眾。從	 大德僧聽 我 某 甲 比 丘 已 滿 十 歲 欲 畜 眾 從 
T22n1424_001:0216c08	僧乞僧畜眾羯磨。善哉！僧與我作畜眾羯磨。」	僧 乞 僧 畜 眾 羯 磨 善 哉 僧 與 我 作 畜 眾 羯 磨 
T22n1424_001:0216c09	(如是三乞。佛言：「諸比丘應籌量觀察，此比丘堪畜眾不？不堪，不應與作羯磨。若堪，應與作羯磨。」也)	 如 是 三 乞 佛 言 諸 比 丘 應 籌 量 觀 察 此 比 丘 堪 畜 眾 不 不 堪 不 應 與 作 羯 磨 若 堪 應 與 作 羯 磨 也 
T22n1424_001:0216c10	「大德僧聽！此某甲比丘，已滿十歲，欲畜某甲	 大德僧聽 此 某 甲 比 丘 已 滿 十 歲 欲 畜 某 甲 
T22n1424_001:0216c11	為眾，從僧乞畜眾羯磨。僧今與作畜眾羯磨。	為 眾 從 僧 乞 畜 眾 羯 磨 僧 今 與 作 畜 眾 羯 磨 
