X24n0470_001:0846c06	 小引	 小 引 
X24n0470_001:0849a14	為有色界天。內心守直。不行恭敬供養。但言心直	為 有 色 界 天 內 心 守 直 不 行 恭敬供養 但 言 心 直 
X24n0470_001:0849a15	是佛。名為無色界天。不了中道。眼見耳聞。心想思	是 佛 名 為 無 色 界 天 不 了 中 道 眼 見 耳 聞 心 想 思 
X24n0470_001:0849a16	惟。愛著說法。口說佛行。心不依行。名為有想天。迷	惟 愛 著 說 法 口 說 佛 行 心 不 依 行 名 為 有 想 天 迷 
X24n0470_001:0849a17	人坐禪一向除妄。不學慈悲喜捨。智慧方便。單守	人 坐 禪 一 向 除 妄 不 學 慈 悲 喜 捨 智慧方便 單 守 
X24n0470_001:0849a18	無心。由如木石。名為無想天。不著有無二想。中道	無 心 由 如 木 石 名 為 無 想 天 不 著 有 無 二 想 中 道 
X24n0470_001:0849a19	還存。名為非無想天。四蘊成身。色蘊空了。求理心	還 存 名 為 非 無 想 天 四 蘊 成 身 色 蘊 空 了 求 理 心 
X24n0470_001:0849a20	在。名為非想非非想處天。若得五蘊空。四想忘。皆	在 名 為 非想非非想處 天 若 得 五 蘊 空 四 想 忘 皆 
X24n0470_001:0849a21	入無餘涅槃。而滅度之。故云。揭起海底直上崑崙。	入無餘涅槃 而 滅 度 之 故 云 揭 起 海 底 直 上 崑 崙 
X24n0470_001:0849a22	　大乘正宗勤下功　　迷人只向外邊尋	 大 乘 正 宗 勤 下 功 迷 人 只 向 外 邊 尋 
X24n0470_001:0849a23	　獅子吼上須彌頂　　赫得魔王膽戰競	 獅 子 吼 上 須 彌 頂 赫 得 魔 王 膽 戰 競 
X24n0470_001:0849a24	修大乘正宗之人。莫學懈怠。勇猛上加勇猛。精進	修 大 乘 正 宗 之 人 莫 學 懈 怠 勇 猛 上 加 勇 猛 精 進 
X24n0470_001:0849b01	上加精進。直下死工夫。頓悟真空。菩提之體。通身	上 加 精 進 直 下 死 工 夫 頓 悟 真 空 菩 提 之 體 通 身 
X24n0470_001:0849b02	無骨。全體虗空。獨露堂堂。包含萬象。無心可了。無	無 骨 全 體 虗 空 獨 露 堂 堂 包 含 萬 象 無 心 可 了 無 
X24n0470_001:0849b03	道可成。無佛可做。無法可說。無眾生可度。凡即聖。	道 可 成 無 佛 可 做 無 法 可 說 無 眾 生 可 度 凡 即 聖 
X24n0470_001:0849b04	聖即凡。本性自然成一片。此是大乘正宗之人也。	聖 即 凡 本 性 自 然 成 一 片 此 是 大 乘 正 宗 之 人 也 
X24n0470_001:0849b05	故云。大乘正宗勤下功。惟有小乘邪宗。參禪打坐。	故 云 大 乘 正 宗 勤 下 功 惟 有 小 乘 邪 宗 參 禪 打 坐 
X24n0470_001:0849b06	打七煉魔。念經念佛。拜經拜佛。求生佛國。願生禪	打 七 煉 魔 念 經 念 佛 拜 經 拜 佛 求 生 佛 國 願 生 禪 
X24n0470_001:0849b07	天。此等迷人。只向外邊尋也。獅子者。喻大乘正宗	天 此 等 迷 人 只 向 外 邊 尋 也 獅 子 者 喻 大 乘 正 宗 
X24n0470_001:0849b08	之人。金毛獅子吼聲來。一切野狐俱惱烈。須彌頂	之 人 金 毛 獅 子 吼 聲 來 一 切 野 狐 俱 惱 烈 須 彌 頂 
X24n0470_001:0849b09	者。乃是非想非非想處天。此大乘正宗之人。哮吼	者 乃 是 非想非非想處 天 此 大 乘 正 宗 之 人 哮 吼 
X24n0470_001:0849b10	一聲。一切緣覺聲聞。化他魔王。盡皆赫得膽戰心	一 聲 一 切 緣 覺 聲 聞 化 他 魔 王 盡 皆 赫 得 膽 戰 心 
X24n0470_001:0849b11	寒。故云。赫得魔王膽戰競。	寒 故 云 赫 得 魔 王 膽 戰 競 
X24n0470_001:0849b12	大乘正宗。靜裡思量心自驚。除却貪嗔病。撿點心田	大 乘 正 宗 靜 裡 思 量 心 自 驚 除 却 貪 嗔 病 撿 點 心 田 
X24n0470_001:0849b13	靜。佛。智慧普光明。退盡浮雲。現出軒轅鏡。正覺臺前	靜 佛 智 慧 普 光 明 退 盡 浮 雲 現 出 軒 轅 鏡 正 覺 臺 前 
X24n0470_001:0849b14	萬法空。正覺臺前萬法空。	萬 法 空 正 覺 臺 前 萬 法 空 
X24n0470_001:0849b15	大乘正宗之人。在清淨閑處。思量如來之語。心驚	大 乘 正 宗 之 人 在 清 淨 閑 處 思 量 如 來 之 語 心 驚 
X24n0470_001:0849b16	膽碎。佛言。如是滅度無量無數無邊眾生。實無眾	膽 碎 佛 言 如 是 滅 度 無量無數 無 邊 眾 生 實 無 眾 
X24n0470_001:0849b17	生得滅度者。滅度者。乃是解脫之人。何以故。須菩	生 得滅度者 滅 度 者 乃 是 解 脫 之 人 何 以 故 須 菩 
X24n0470_001:0849b18	提。若菩薩。有我相。人相。眾生相。壽者相。即非菩薩。	提 若 菩 薩 有 我 相 人 相 眾 生 相 壽 者 相 即 非 菩 薩 
X24n0470_001:0849b19	眾生佛性。本無有異。緣有四相。不入無餘涅槃。有	眾 生 佛 性 本 無 有 異 緣 有 四 相 不 入無餘涅槃 有 
X24n0470_001:0849b20	此四相。即是眾生。無此四相。即是解脫。悟即眾生	此 四 相 即 是 眾 生 無 此 四 相 即 是 解 脫 悟 即 眾 生 
X24n0470_001:0849b21	是佛。四相者。迷人恃有財寶學問。族姓輕慢一切	是 佛 四 相 者 迷 人 恃 有 財 寶 學 問 族 姓 輕 慢 一 切 
X24n0470_001:0849b22	人。名我相。雖行佛行。人我不除。名人相。好事歸己。	人 名 我 相 雖 行 佛 行 人 我 不 除 名 人 相 好 事 歸 己 
X24n0470_001:0849b23	惡事施於人。名眾生相。求生天上。願生西方。心愛	惡 事 施 於 人 名 眾 生 相 求 生 天 上 願 生 西 方 心 愛 
X24n0470_001:0849b24	長年。名壽者相。有四相即是眾生。故云。淨裡思量	長 年 名 壽 者 相 有 四 相 即 是 眾 生 故 云 淨 裡 思 量 
X24n0470_001:0849c01	心自驚。若是大乘正宗之人。先要除却自己貪嗔	心 自 驚 若 是 大 乘 正 宗 之 人 先 要 除 却 自 己 貪 嗔 
X24n0470_001:0849c02	癡病。必須服戒定慧真藥。時時刻刻。檢點自己心	癡 病 必 須 服 戒 定 慧 真 藥 時 時 刻 刻 檢 點 自 己 心 
X24n0470_001:0849c03	田清淨。我的佛。若得智慧光明。焰破從前黑暗。浮	田 清 淨 我 的 佛 若 得 智慧光明 焰 破 從 前 黑 暗 浮 
X24n0470_001:0849c04	雲者。煩惱也。軒轅鏡者。圓月也。退盡煩惱浮雲。顯	雲 者 煩 惱 也 軒 轅 鏡 者 圓 月 也 退 盡 煩 惱 浮 雲 顯 
X24n0470_001:0849c05	出本性一輪明月。故云。退盡浮雲。現出軒轅鏡。大	出 本 性 一 輪 明 月 故 云 退 盡 浮 雲 現 出 軒 轅 鏡 大 
X24n0470_001:0849c06	乘正覺臺前。萬法皆空。本無一物。楞嚴經云。一人	乘 正 覺 臺 前 萬 法 皆 空 本 無 一 物 楞 嚴 經 云 一 人 
X24n0470_001:0849c07	發真歸元。十方虗空悉皆銷殞。故云。正覺臺前萬	發 真 歸 元 十 方 虗 空 悉 皆 銷 殞 故 云 正 覺 臺 前 萬 
X24n0470_001:0849c08	法空。	法 空 
X24n0470_001:0849c09	妙行無住。神明皆護。自己靈光。偶然進步。	妙 行 無 住 神 明 皆 護 自 己 靈 光 偶 然 進 步 
X24n0470_001:0849c10	奧妙之行。本無住著。復次須菩提。菩薩於法。應無	奧 妙 之 行 本 無 住 著 復 次 須 菩 提 菩 薩 於 法 應 無 
X24n0470_001:0849c11	所住。乃是不住色聲香味觸法布施。故云。妙行無	所 住 乃 是 不 住 色聲香味觸 法 布 施 故 云 妙 行 無 
X24n0470_001:0849c12	住。若是妙行無住之人。所在之處。則為有佛。是故	住 若 是 妙 行 無 住 之 人 所 在 之 處 則 為 有 佛 是 故 
X24n0470_001:0849c13	神明皆護。何以故。若菩薩不住相布施。其福德不	神 明 皆 護 何 以 故 若 菩 薩 不 住 相 布 施 其 福 德 不 
X24n0470_001:0849c14	可思量。菩薩行施。心無希求。所獲福德。如十方虗	可 思 量 菩 薩 行 施 心 無 希 求 所 獲 福 德 如 十 方 虗 
X24n0470_001:0849c15	空不可較量。布施者。布者普也。施者散也。能普散	空 不 可 較 量 布 施 者 布 者 普 也 施 者 散 也 能 普 散 
X24n0470_001:0849c16	盡心中妄念習氣。煩惱無明。貴高好勇。無所蘊積。	盡 心 中 妄 念 習 氣 煩 惱 無 明 貴 高 好 勇 無 所 蘊 積 
X24n0470_001:0849c17	是真布施。雖有眼耳鼻舌身意。不著色聲香味觸	是 真 布 施 雖 有 眼 耳 鼻 舌 身 意 不 著 色聲香味觸 
X24n0470_001:0849c18	法上。是真布施。心常清淨。了萬法空寂。內除貪愛。	法 上 是 真 布 施 心 常 清 淨 了 萬 法 空 寂 內 除 貪 愛 
X24n0470_001:0849c19	外除我人。見人作惡。不見其過。依教修行。心無能	外 除 我 人 見 人 作 惡 不 見 其 過 依 教 修 行 心 無 能 
X24n0470_001:0849c20	所。是真布施。如是修行。乃是不住相布施。其福德	所 是 真 布 施 如 是 修 行 乃 是 不 住 相 布 施 其 福 德 
X24n0470_001:0849c21	不可思量。佛呌須菩提。於意云何。東方虗空可思	不 可 思 量 佛 呌 須 菩 提 於意云何 東 方 虗 空 可 思 
X24n0470_001:0849c22	量不。須菩提會意。東方虗空。無邊無際。故言不也	量 不 須 菩 提 會 意 東 方 虗 空 無邊無際 故 言 不 也 
X24n0470_001:0849c23	世尊。佛又呌須菩提。南西北方。四維上下虗空。可	世 尊 佛 又 呌 須 菩 提 南 西 北 方 四 維 上 下 虗 空 可 
X24n0470_001:0849c24	思量不。須菩提會意。十方虗空。無有邊際。故云不	思 量 不 須 菩 提 會 意 十 方 虗 空 無有邊際 故 云 不 
X24n0470_001:0850a01	也世尊。佛告須菩提。菩薩無住相布施。福德亦復	也 世 尊 佛 告 須 菩 提 菩 薩 無 住 相 布 施 福 德 亦 復 
X24n0470_001:0850a02	如是。不可思量。如是叮囑須菩提。菩薩但應如所	如 是 不 可 思 量 如 是 叮 囑 須 菩 提 菩 薩 但 應 如 所 
X24n0470_001:0850a03	教住。乃是但該應住無相布施。古人云。始從剋念	教 住 乃 是 但 該 應 住 無 相 布 施 古 人 云 始 從 剋 念 
X24n0470_001:0850a04	之功。必成無為之地。乃是菩薩住處。故云。自己靈	之 功 必 成 無 為 之 地 乃 是 菩 薩 住 處 故 云 自 己 靈 
X24n0470_001:0850a05	光偶然進步。	光 偶 然 進 步 
X24n0470_001:0850a06	　妙行無住世間希　　玄妙消息那個知	 妙 行 無 住 世 間 希 玄 妙 消 息 那 個 知 
X24n0470_001:0850a07	　點開一隻通天眼　　萬兩黃金買不來	 點 開 一 隻 通 天 眼 萬 兩 黃 金 買 不 來 
X24n0470_001:0850a08	妙行無住之人。不住眼耳鼻舌身意。不住東方。不	妙 行 無 住 之 人 不 住 眼 耳 鼻 舌 身 意 不 住 東 方 不 
X24n0470_001:0850a09	住西方。不住南方。不住北方。不住上方。不住下方。	住 西 方 不 住 南 方 不 住 北 方 不 住 上 方 不 住 下 方 
X24n0470_001:0850a10	不住天堂。不住地獄。不住參禪。不住打坐。不住打	不 住 天 堂 不 住 地 獄 不 住 參 禪 不 住 打 坐 不 住 打 
X24n0470_001:0850a11	七。不住煉魔。不住燒香。不住點燭。不住念佛看經。	七 不 住 煉 魔 不 住 燒 香 不 住 點 燭 不 住 念 佛 看 經 
X24n0470_001:0850a12	一切都不住。是故妙行無住世間希。玄妙消息。乃	一 切 都 不 住 是 故 妙 行 無 住 世 間 希 玄 妙 消 息 乃 
X24n0470_001:0850a13	是盡虗空遍法界。那箇道理。故云。玄妙消息那箇	是 盡 虗 空 遍 法 界 那 箇 道 理 故 云 玄 妙 消 息 那 箇 
X24n0470_001:0850a14	知。若得明師。點開我一隻通天徹地之眼。炤見恒	知 若 得 明 師 點 開 我 一 隻 通 天 徹 地 之 眼 炤 見 恒 
X24n0470_001:0850a15	河沙數。三千大千世界。觀見無萬億佛剎。親見無	河 沙 數 三千大千世界 觀 見 無 萬 億 佛 剎 親 見 無 
X24n0470_001:0850a16	數諸佛諸菩薩。共合一箇法體。如此者。就是萬萬	數 諸 佛 諸 菩 薩 共 合 一 箇 法 體 如 此 者 就 是 萬 萬 
X24n0470_001:0850a17	兩黃金買不來也。	兩 黃 金 買 不 來 也 
X24n0470_001:0850a18	妙行無住。妄想貪嗔盡掃除。貢高休要起。昧心瞞不	妙 行 無 住 妄 想 貪 嗔 盡 掃 除 貢 高 休 要 起 昧 心 瞞 不 
X24n0470_001:0850a19	住。佛。魔王盡遭誅。拿住猿猴。瑣在清凉樹。自在逍遙	住 佛 魔 王 盡 遭 誅 拿 住 猿 猴 瑣 在 清 凉 樹 自 在 逍 遙 
X24n0470_001:0850a20	樂有餘。自在逍遙樂有餘。	樂 有 餘 自 在 逍 遙 樂 有 餘 
X24n0470_001:0850a21	妙行無住之人。不比靠墻靠壁的折脚。不比靠佛	妙 行 無 住 之 人 不 比 靠 墻 靠 壁 的 折 脚 不 比 靠 佛 
X24n0470_001:0850a22	來度的瞎子。那等妙行無住之人。一切都不靠。科	來 度 的 瞎 子 那 等 妙 行 無 住 之 人 一 切 都 不 靠 科 
X24n0470_001:0850a23	儀云。妙體本來無處所。通身何更有蹤由。是故。妙	儀 云 妙 體 本 來 無 處 所 通 身 何 更 有 蹤 由 是 故 妙 
X24n0470_001:0850a24	行無住。若修妙行之人。一切妄想貪嗔貢高好勇。	行 無 住 若 修 妙 行 之 人 一 切 妄 想 貪 嗔 貢 高 好 勇 
X24n0470_001:0850b01	瞞心昧己。盡情掃蕩無餘。故云。昧心瞞不住。我的	瞞 心 昧 己 盡 情 掃 蕩 無 餘 故 云 昧 心 瞞 不 住 我 的 
X24n0470_001:0850b02	佛。若得盡情掃蕩無餘。魔王決然拿住。故云。魔王	佛 若 得 盡 情 掃 蕩 無 餘 魔 王 決 然 拿 住 故 云 魔 王 
X24n0470_001:0850b03	盡遭誅。又要把心猿意馬。鎻在清凉無影樹上。不	盡 遭 誅 又 要 把 心 猿 意 馬 鎻 在 清 凉 無 影 樹 上 不 
X24n0470_001:0850b04	許太陽火熾。故云。鎻在清凉樹。纔得自在逍遙樂	許 太 陽 火 熾 故 云 鎻 在 清 凉 樹 纔 得 自 在 逍 遙 樂 
X24n0470_001:0850b05	有餘。咄。一切修行之人。鎻不住者謂何。呀。不識清	有 餘 咄 一 切 修 行 之 人 鎻 不 住 者 謂 何 呀 不 識 清 
X24n0470_001:0850b06	凉無影樹。反被太陽無明火熾。燒斷了。如來戒定	凉 無 影 樹 反 被 太 陽 無 明 火 熾 燒 斷 了 如 來 戒 定 
X24n0470_001:0850b07	慧鎻。定了自己心猿意馬。因此流浪家鄉。不得自	慧 鎻 定 了 自 己 心 猿 意 馬 因 此 流 浪 家 鄉 不 得 自 
X24n0470_001:0850b08	在者也。	在 者 也 
X24n0470_001:0850b09	如理實見。猶如閃電。上下明徹。打成一片。	如 理 實 見 猶 如 閃 電 上 下 明 徹 打 成 一 片 
X24n0470_001:0850b10	如如真妙理。為真實之見解。佛呌須菩提。於意云	如 如 真 妙 理 為 真 實 之 見 解 佛 呌 須 菩 提 於 意 云 
X24n0470_001:0850b11	何。可以身相見如來不。須菩提會意。渠無相貌。何	何 可 以 身 相 見 如 來 不 須 菩 提 會 意 渠 無 相 貌 何 
X24n0470_001:0850b12	處求形。本來無此身相。故答言不也世尊。不可以	處 求 形 本 來 無 此 身 相 故 答 言 不 也 世 尊 不 可 以 
X24n0470_001:0850b13	身相得見如來。何以故。如來所說身相。即非身相。	身 相 得 見 如 來 何 以 故 如 來 所 說 身 相 即 非 身 相 
X24n0470_001:0850b14	色身是相。法身是性。一切善惡。皆由法身。不由色	色 身 是 相 法 身 是 性 一 切 善 惡 皆 由 法 身 不 由 色 
X24n0470_001:0850b15	身。法身若作惡。色身不生善。法身若作善。色身不	身 法 身 若 作 惡 色 身 不 生 善 法 身 若 作 善 色 身 不 
X24n0470_001:0850b16	生惡。凡夫惟見色身。不見法身。故答身相即是非	生 惡 凡 夫 惟 見 色 身 不 見 法 身 故 答 身 相 即 是 非 
X24n0470_001:0850b17	相。佛告須菩提。凡所有相。皆是虗妄。一念未興。塵	相 佛 告 須 菩 提 凡 所 有 相 皆 是 虗 妄 一 念 未 興 塵 
X24n0470_001:0850b18	勞先起。迷棄本性。皆是虗妄。是故猶如閃電。若見	勞 先 起 迷 棄 本 性 皆 是 虗 妄 是 故 猶 如 閃 電 若 見 
X24n0470_001:0850b19	諸相非相。則見如來。如來欲顯法身。故說一切諸	諸 相 非 相 則 見 如 來 如 來 欲 顯 法 身 故 說 一 切 諸 
X24n0470_001:0850b20	相。虗妄不實。即見法身。如未之理如此者。上下明	相 虗 妄 不 實 即 見 法 身 如 未 之 理 如 此 者 上 下 明 
X24n0470_001:0850b21	徹打成一片。	徹 打 成 一 片 
X24n0470_001:0850b22	　如理實見本來真　　只在當人一念心	 如 理 實 見 本 來 真 只 在 當 人 一 念 心 
X24n0470_001:0850b23	　四維上下無所管　　大地山河盡是金	 四 維 上 下 無 所 管 大 地 山 河 盡 是 金 
X24n0470_001:0850b24	此如理實見。非是邪見小乘。小乘之人。觀見四方	此 如 理 實 見 非 是 邪 見 小 乘 小 乘 之 人 觀 見 四 方 
X24n0470_001:0850c01	境界。或見青光紅光。或見金光。白光。或見迴光圓	境 界 或 見 青 光 紅 光 或 見 金 光 白 光 或 見 迴 光 圓 
X24n0470_001:0850c02	光。或見青蓮紅蓮。或見金蓮白蓮。或見金臺樓閣。	光 或 見 青 蓮 紅 蓮 或 見 金 蓮 白 蓮 或 見 金 臺 樓 閣 
X24n0470_001:0850c03	或見阿彌陀佛。灌滿十方。或見觀音勢至常來接	或 見 阿 彌 陀 佛 灌 滿 十 方 或 見 觀 音 勢 至 常 來 接 
X24n0470_001:0850c04	引。但有見相。並是邪相。科儀云。正法眼中無可得。	引 但 有 見 相 並 是 邪 相 科 儀 云 正 法 眼 中 無 可 得 
X24n0470_001:0850c05	若是如理實見之人。若見諸相非相。則見如來。見	若 是 如 理 實 見 之 人 若 見 諸 相 非 相 則 見 如 來 見 
X24n0470_001:0850c06	黃花即對黃花。見翠竹即對翠竹。僧問大龍。色。身	黃 花 即 對 黃 花 見 翠 竹 即 對 翠 竹 僧 問 大 龍 色 身 
X24n0470_001:0850c07	敗壞。如何是堅固法身。大龍云。山花開似錦。澗水	敗 壞 如 何 是 堅 固 法 身 大 龍 云 山 花 開 似 錦 澗 水 
X24n0470_001:0850c08	湛如藍。直得如是見者。名為如理實見。本來人者。	湛 如 藍 直 得 如 是 見 者 名 為 如 理 實 見 本 來 人 者 
