T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_001:0853a07	舍。彼諸比丘入羅閱祇城乞食，後羅閱祇城	舍 彼 諸 比 丘 入 羅 閱 祇 城 乞 食 後 羅 閱 祇 城 
T24n1464_001:0853a08	中男女大小出城，壞諸庵舍持去供用。諸比	中 男 女 大 小 出 城 壞 諸 庵 舍 持 去 供 用 諸 比 
T24n1464_001:0853a09	丘乞食後，還見諸庵舍為人所壞，諸比丘復	丘 乞 食 後 還 見 諸 庵 舍 為 人 所 壞 諸 比 丘 復 
T24n1464_001:0853a10	更取薪草作庵舍住。諸比丘復入羅閱祇乞	更 取 薪 草 作 庵 舍 住 諸 比 丘 復 入 羅 閱 祇 乞 
T24n1464_001:0853a11	食，羅閱祇城中男女大小復壞庵舍持去。如	食 羅 閱 祇 城 中 男 女 大 小 復 壞 庵 舍 持 去 如 
T24n1464_001:0853a12	是至三。諸比丘見此已作是念：「羅閱祇城中	是 至 三 諸 比 丘 見 此 已 作 是 念 羅 閱 祇 城 中 
T24n1464_001:0853a13	男女大小數出壞庵舍。」彼眾中有比丘名檀	男 女 大 小 數 出 壞 庵 舍 彼 眾 中 有 比 丘 名 檀 
T24n1464_001:0853a14	貳迦，瓦窯家子，便起此意：「我等取此薪草	貳 迦 瓦 窯 家 子 便 起 此 意 我 等 取 此 薪 草 
T24n1464_001:0853a15	持用作舍，吾等入城乞食，後城中男女出壞	持 用 作 舍 吾 等 入 城 乞 食 後 城 中 男 女 出 壞 
T24n1464_001:0853a16	吾等庵舍。我於城中有木工師，是我親里，我	吾 等 庵 舍 我 於 城 中 有 木 工 師 是 我 親 里 我 
T24n1464_001:0853a17	當往從乞材木持用作舍。」檀貳迦比丘到時	當 往 從 乞 材 木 持 用 作 舍 檀 貳 迦 比 丘 到 時 
T24n1464_001:0853a18	著衣持鉢入羅閱祇城，向木工師舍，語木工	著衣持鉢 入 羅 閱 祇 城 向 木 工 師 舍 語 木 工 
T24n1464_001:0853a19	師：「卿知不？王阿闍貰兜賜我材木。卿當與	師 卿 知 不 王 阿 闍 貰 兜 賜 我 材 木 卿 當 與 
T24n1464_001:0853a20	我木工。」答曰：「若王賜賢，木隨意取。」彼檀貳	我 木 工 答 曰 若 王 賜 賢 木 隨 意 取 彼 檀 貳 
T24n1464_001:0853a21	迦比丘自取材木，官之要好材盡取斫截，聚	迦 比 丘 自 取 材 木 官 之 要 好 材 盡 取 斫 截 聚 
T24n1464_001:0853a22	著一處。守羅閱祇城人按行羅閱祇城，到大	著 一 處 守 羅 閱 祇 城 人 按 行 羅 閱 祇 城 到 大 
T24n1464_001:0853a23	聚材木所，見官所禁材木段段聚在一處。見	聚 材 木 所 見 官 所 禁 材 木 段 段 聚 在 一 處 見 
T24n1464_001:0853a24	已尋向木工所，即問：「木工！何誰取官材段	已 尋 向 木 工 所 即 問 木 工 何 誰 取 官 材 段 
T24n1464_001:0853a25	段截聚著一處？」木工尋答：「達貳迦比丘來勅	段 截 聚 著 一 處 木 工 尋 答 達 貳 迦 比 丘 來 勅 
T24n1464_001:0853a26	我，官賜吾材，卿當與我。此比丘取材木段段	我 官 賜 吾 材 卿 當 與 我 此 比 丘 取 材 木 段 段 
T24n1464_001:0853a27	截聚著一處。」爾時守城人即遙瞋阿闍貰王，	截 聚 著 一 處 爾 時 守 城 人 即 遙 瞋 阿 闍 貰 王 
T24n1464_001:0853a28	即往阿闍貰王所，白王言：「大有惡材木不	即 往 阿 闍 貰 王 所 白 王 言 大 有 惡 材 木 不 
T24n1464_001:0853a29	用，乃取好材與比丘為？」王答：「吾無此教。」爾時	用 乃 取 好 材 與 比 丘 為 王 答 吾 無 此 教 爾 時 
T24n1464_001:0853b01	王阿闍貰勅使人召木工，即奉王教走召木	王 阿 闍 貰 勅 使 人 召 木 工 即 奉 王 教 走 召 木 
T24n1464_001:0853b02	工：「王阿闍貰有教召卿。」木工即時隨信到王	工 王 阿 闍 貰 有 教 召 卿 木 工 即 時 隨 信 到 王 
T24n1464_001:0853b03	所，中路值達貳迦比丘。木工見達貳迦比丘	所 中 路 值 達 貳 迦 比 丘 木 工 見 達 貳 迦 比 丘 
T24n1464_001:0853b04	已，即前禮言：「坐尊人故，將我到王所。」比丘答	已 即 前 禮 言 坐 尊 人 故 將 我 到 王 所 比 丘 答 
T24n1464_001:0853b05	言：「並且在前，吾尋後到。」爾時木工即到王所。	言 並 且 在 前 吾 尋 後 到 爾 時 木 工 即 到 王 所 
T24n1464_001:0853b06	王見木工即問：「卿非人，何以自由官好材木	王 見 木 工 即 問 卿 非 人 何 以 自 由 官 好 材 木 
T24n1464_001:0853b07	取與比丘？」木工尋對：「大王當知，達貳迦比丘	取 與 比 丘 木 工 尋 對 大 王 當 知 達 貳 迦 比 丘 
T24n1464_001:0853b08	來到材所，作是語言：『官賜我材，卿當與我。』	來 到 材 所 作 是 語 言 官 賜 我 材 卿 當 與 我 
T24n1464_001:0853b09	即對比丘：『王審賜卿，便隨意取。』」王問木工言	即 對 比 丘 王 審 賜 卿 便 隨 意 取 王 問 木 工 言 
T24n1464_001:0853b10	語未竟，達貳迦比丘來到王所。王遙見比丘	語 未 竟 達 貳 迦 比 丘 來 到 王 所 王 遙 見 比 丘 
T24n1464_001:0853b11	來，便勅傍人將此木工權著下房，前此比丘。	來 便 勅 傍 人 將 此 木 工 權 著 下 房 前 此 比 丘 
T24n1464_001:0853b12	聞王教令，將木工去，前比丘。王問比丘：「今至	聞 王 教 令 將 木 工 去 前 比 丘 王 問 比 丘 今 至 
T24n1464_001:0853b13	誠時，官好材木輒取，段段截聚著一處？」比丘	誠 時 官 好 材 木 輒 取 段 段 截 聚 著 一 處 比 丘 
T24n1464_001:0853b14	答王：「王賜我材。」「我省無此教。」比丘答王：「王不	答 王 王 賜 我 材 我 省 無 此 教 比 丘 答 王 王 不 
T24n1464_001:0853b15	憶初作王時那，爾時持薪草水三事布施沙	憶 初 作 王 時 那 爾 時 持 薪 草 水 三 事 布 施 沙 
T24n1464_001:0853b16	門波羅門乎？」王見比丘作此詭言，王答：「比	門 波 羅 門 乎 王 見 比 丘 作 此 詭 言 王 答 比 
T24n1464_001:0853b17	丘！我所施者乃及無主，不及有主去。比丘往	丘 我 所 施 者 乃 及 無 主 不 及 有 主 去 比 丘 往 
T24n1464_001:0853b18	受王法。」爾時阿闍貰王瞋恚熾盛，憶世尊功	受 王 法 爾 時 阿 闍 貰 王 瞋 恚 熾 盛 憶 世 尊 功 
T24n1464_001:0853b19	德，須臾頃默然不語，勅比丘：「去還所止，莫復	德 須 臾 頃 默 然 不 語 勅 比 丘 去 還 所 止 莫 復 
T24n1464_001:0853b20	更為。」爾時阿闍貰王傍臣百官皆放聲大言：	更 為 爾 時 阿 闍 貰 王 傍 臣 百 官 皆 放 聲 大 言 
T24n1464_001:0853b21	「怪！此比丘於死得脫」。爾時達貳迦比丘還詣	 怪 此 比 丘 於 死 得 脫 爾 時 達 貳 迦 比 丘 還 詣 
T24n1464_001:0853b22	大眾所，語大眾言：「諸賢當知，向者大王欲取	大 眾 所 語 大 眾 言 諸 賢 當 知 向 者 大 王 欲 取 
T24n1464_001:0853b23	我殺，尋復放我。」諸比丘問：「有何事故？」此達貳	我 殺 尋 復 放 我 諸 比 丘 問 有 何 事 故 此 達 貳 
T24n1464_001:0853b24	迦比丘具向眾說。其中有頭陀乞食比丘，聞	迦 比 丘 具 向 眾 說 其 中 有 頭 陀 乞 食 比 丘 聞 
T24n1464_001:0853b25	此語各懷羞恥，往詣世尊，白如此比丘所	此 語 各 懷 羞 恥 往 詣 世 尊 白 如 此 比 丘 所 
T24n1464_001:0853b26	說。爾時世尊顧謂阿難：「速去阿難！入羅閱城	說 爾 時 世 尊 顧 謂 阿 難 速 去 阿 難 入 羅 閱 城 
T24n1464_001:0853b27	住四徼道頭，告作此語：『若比丘盜五錢以上、	住 四 徼 道 頭 告 作 此 語 若 比 丘 盜 五 錢 以 上 
T24n1464_001:0853b28	盜直五錢衣。若盜此者，阿闍貰兜有何刑罰？』」	盜 直 五 錢 衣 若 盜 此 者 阿 闍 貰 兜 有 何 刑 罰 
T24n1464_001:0853b29	爾時阿難受世尊教，頭面禮足遶三匝，共二	爾 時 阿 難 受 世 尊 教 頭面禮足 遶 三 匝 共 二 
T24n1464_001:0853c01	比丘入羅閱祇城。到四徼道頭，告中行人：	比 丘 入 羅 閱 祇 城 到 四 徼 道 頭 告 中 行 人 
T24n1464_001:0853c02	「若比丘盜五錢、直五錢衣。有盜此者，阿闍貰	 若 比 丘 盜 五 錢 直 五 錢 衣 有 盜 此 者 阿 闍 貰 
T24n1464_001:0853c03	王有何刑罰？」爾時羅閱祇城四徼道人即報	王 有 何 刑 罰 爾 時 羅 閱 祇 城 四 徼 道 人 即 報 
T24n1464_001:0853c04	之言：「若比丘盜五錢、直五錢衣，王阿闍貰有	之 言 若 比 丘 盜 五 錢 直 五 錢 衣 王 阿 闍 貰 有 
T24n1464_001:0853c05	教非沙門。」爾時阿難尋出羅閱祇還詣佛所，	教 非 沙 門 爾 時 阿 難 尋 出 羅 閱 祇 還 詣 佛 所 
T24n1464_001:0853c06	即白佛言：「羅閱祇城中問諸行人，若比丘盜	即 白 佛 言 羅 閱 祇 城 中 問 諸 行 人 若 比 丘 盜 
T24n1464_001:0853c07	五錢、直五錢衣，王阿闍貰有教非沙門。」爾時	五 錢 直 五 錢 衣 王 阿 闍 貰 有 教 非 沙 門 爾 時 
T24n1464_001:0853c08	世尊因此事，和合僧聚，觀有十德，世尊為沙	世 尊 因 此 事 和 合 僧 聚 觀 有 十 德 世 尊 為 沙 
T24n1464_001:0853c09	門結戒，乃至梵行久住。「沙門當知此事，若比	門 結 戒 乃 至 梵 行 久 住 沙 門 當 知 此 事 若 比 
T24n1464_001:0853c10	丘於村落城郭有盜意，不與取，以此形像不與	丘 於 村 落 城 郭 有 盜 意 不 與 取 以 此 形 像 不 與 
T24n1464_001:0853c11	取事，若王、若王大臣，捉比丘，打、縛、驅著界外，	取 事 若 王 若 王 大 臣 捉 比 丘 打 縛 驅 著 界 外 
T24n1464_001:0853c12	或作是語：『咄比丘！汝非，賊。汝非，小兒。汝不，	或 作 是 語 咄 比 丘 汝 非 賊 汝 非 小 兒 汝 不 
T24n1464_001:0853c13	癡。』作此形像不與取，波羅夷。不受多舍比	癡 作 此 形 像 不 與 取 波 羅 夷 不 受 多 舍 比 
T24n1464_001:0853c14	丘住。」拘薩羅處，彼處近關。商人來到，語比丘：	丘 住 拘 薩 羅 處 彼 處 近 關 商 人 來 到 語 比 丘 
T24n1464_001:0853c15	「與上人少物，令我得過關，此物與上人半。」彼	 與 上 人 少 物 令 我 得 過 關 此 物 與 上 人 半 彼 
T24n1464_001:0853c16	比丘受此物已而反悔：「我不犯棄捐不受？」彼	比 丘 受 此 物 已 而 反 悔 我 不 犯 棄 捐 不 受 彼 
T24n1464_001:0853c17	比丘以此事白世尊。世尊告彼比丘：「若比丘	比 丘 以 此 事 白 世 尊 世 尊 告 彼 比 丘 若 比 丘 
T24n1464_001:0853c18	度關過物者，至五錢直五錢物，取賈客顧已，	度 關 過 物 者 至 五 錢 直 五 錢 物 取 賈 客 顧 已 
T24n1464_001:0853c19	為成棄捐不受。除賊、飢餓、嶮道。」時彼村籬柵	為 成 棄 捐 不 受 除 賊 飢 餓 嶮 道 時 彼 村 籬 柵 
T24n1464_001:0853c20	及塹牆壁，圍彼牧象馬駝牛驢，以繩連繫。若	及 塹 牆 壁 圍 彼 牧 象 馬 駝 牛 驢 以 繩 連 繫 若 
T24n1464_001:0853c21	比丘，畜生中盜解其繩而度籬柵，波羅夷；度	比 丘 畜 生 中 盜 解 其 繩 而 度 籬 柵 波 羅 夷 度 
T24n1464_001:0853c22	塹棄捐，度桓牆成棄捐不受；若出牆外，為	塹 棄 捐 度 桓 牆 成 棄 捐 不 受 若 出 牆 外 為 
T24n1464_001:0853c23	成棄捐不受。若外空澤中驅來入牆，為成棄	成 棄 捐 不 受 若 外 空 澤 中 驅 來 入 牆 為 成 棄 
T24n1464_001:0853c24	捐不受；入塹，為成棄捐不受；入柵內，為成棄	捐 不 受 入 塹 為 成 棄 捐 不 受 入 柵 內 為 成 棄 
T24n1464_001:0853c25	捐不受。若家家轉當得水分，若比丘以盜意	捐 不 受 若 家 家 轉 當 得 水 分 若 比 丘 以 盜 意 
T24n1464_001:0853c26	決水放，下至五錢，為成棄捐不受。若手若脚、	決 水 放 下 至 五 錢 為 成 棄 捐 不 受 若 手 若 脚 
T24n1464_001:0853c27	若木若鍬盜決，為成棄捐不受。彼比丘在水	若 木 若 鍬 盜 決 為 成 棄 捐 不 受 彼 比 丘 在 水 
T24n1464_001:0853c28	浴，浴未竟決溝放。彼居士瞋恚言：「此比丘詐	浴 浴 未 竟 決 溝 放 彼 居 士 瞋 恚 言 此 比 丘 詐 
T24n1464_001:0853c29	浴而決溝放。」彼比丘各懷疑：「我等不成棄捐	浴 而 決 溝 放 彼 比 丘 各 懷 疑 我 等 不 成 棄 捐 
T24n1464_001:0854a01	不受耶？」彼比丘以此事而白世尊。世尊告	不 受 耶 彼 比 丘 以 此 事 而 白 世 尊 世 尊 告 
T24n1464_001:0854a02	曰：「若以盜心決者，下直五錢而決，為成棄	曰 若 以 盜 心 決 者 下 直 五 錢 而 決 為 成 棄 
T24n1464_001:0854a03	捐不受。及池水或有主或無主，中有鳥，以鳥	捐 不 受 及 池 水 或 有 主 或 無 主 中 有 鳥 以 鳥 
T24n1464_001:0854a04	故施羅網。若比丘以盜意，若網內若網外而	故 施 羅 網 若 比 丘 以 盜 意 若 網 內 若 網 外 而 
T24n1464_001:0854a05	盜鳥，下直五錢，為成棄捐不受(網內，網有主也。網外，池有	盜 鳥 下 直 五 錢 為 成 棄 捐 不 受 網 內 網 有 主 也 網 外 池 有 
T24n1464_001:0854a06	主也。二事互有主也)。鳥或有主或無主，若比丘以盜心取	主 也 二 事 互 有 主 也 鳥 或 有 主 或 無 主 若 比 丘 以 盜 心 取 
T24n1464_001:0854a07	鳥，為成棄捐不受。若居士以身瓔珞曝著日	鳥 為 成 棄 捐 不 受 若 居 士 以 身 瓔 珞 曝 著 日 
T24n1464_001:0854a08	中在屋上，若鳥有主無主，彼鳥若撥珠瓔及	中 在 屋 上 若 鳥 有 主 無 主 彼 鳥 若 撥 珠 瓔 及 
T24n1464_001:0854a09	諸瓔珞持去。若比丘奪之，若以盜意奪有主	諸 瓔 珞 持 去 若 比 丘 奪 之 若 以 盜 意 奪 有 主 
T24n1464_001:0854a10	鳥，下直五錢，為成棄捐不受。」若比丘以新染	鳥 下 直 五 錢 為 成 棄 捐 不 受 若 比 丘 以 新 染 
T24n1464_001:0854a11	衣屋上曝，若風吹墮地。若比丘持入舍而反	衣 屋 上 曝 若 風 吹 墮 地 若 比 丘 持 入 舍 而 反 
T24n1464_001:0854a12	悔：「我不成棄捐不受盜婆？」彼比丘白世尊。	悔 我 不 成 棄 捐 不 受 盜 婆 彼 比 丘 白 世 尊 
T24n1464_001:0854a13	世尊告曰：「若以盜意，為成棄捐不受。若不	世 尊 告 曰 若 以 盜 意 為 成 棄 捐 不 受 若 不 
T24n1464_001:0854a14	以盜意，不成棄捐不受。」如是衣，若中閣墮下	以 盜 意 不 成 棄 捐 不 受 如 是 衣 若 中 閣 墮 下 
T24n1464_001:0854a15	地、若下地至中閣、中閣至上閣，若以盜意，為	地 若 下 地 至 中 閣 中 閣 至 上 閣 若 以 盜 意 為 
T24n1464_001:0854a16	成棄捐不受。如是及種種物，及麻米豆錢、大	成 棄 捐 不 受 如 是 及 種 種 物 及 麻 米 豆 錢 大 
T24n1464_001:0854a17	麥小麥、黑豆芥子為首，若以盜意取，直五錢，	麥 小 麥 黑 豆 芥 子 為 首 若 以 盜 意 取 直 五 錢 
T24n1464_001:0854a18	為成棄捐不受。彼園菓樹，胡桃[木*奈]子椑桃	為 成 棄 捐 不 受 彼 園 菓 樹 胡 桃 [木奈] 子 椑 桃 
T24n1464_001:0854a19	梨為首，若比丘取食，便懷疑意：「我不侵眾僧	梨 為 首 若 比 丘 取 食 便 懷 疑 意 我 不 侵 眾 僧 
T24n1464_001:0854a20	及不與取，不成棄捐不受婆？」彼以事白世尊。	及 不 與 取 不 成 棄 捐 不 受 婆 彼 以 事 白 世 尊 
T24n1464_001:0854a21	世尊告曰：「不成棄捐不受。若非僧結界裏，	世 尊 告 曰 不 成 棄 捐 不 受 若 非 僧 結 界 裏 
T24n1464_001:0854a22	其有沙彌取果，無苦也。」師子竹園外殺鹿食	其 有 沙 彌 取 果 無 苦 也 師 子 竹 園 外 殺 鹿 食 
T24n1464_001:0854a23	肉飲血而眠，餘殘。若比丘取食，是師子覺已	肉 飲 血 而 眠 餘 殘 若 比 丘 取 食 是 師 子 覺 已 
T24n1464_001:0854a24	求而不得，遍求鳴吼。佛知已問阿難言：「何故	求 而 不 得 遍 求 鳴 吼 佛 知 已 問 阿 難 言 何 故 
T24n1464_001:0854a25	師子繞園鳴吼？」阿難以事具說。佛告：「若比丘	師 子 繞 園 鳴 吼 阿 難 以 事 具 說 佛 告 若 比 丘 
T24n1464_001:0854a26	師子所食殘，下直五錢而食，為成棄捐不受。」	師 子 所 食 殘 下 直 五 錢 而 食 為 成 棄 捐 不 受 
T24n1464_001:0854a27	虎亦如是。及羆熊獼猴至豹畜生食肉，及兩	虎 亦 如 是 及 羆 熊 獼 猴 至 豹 畜 生 食 肉 及 兩 
T24n1464_001:0854a28	足鷲鵄鵠鷹鷂為首，所食肉奪者。世尊告：	足 鷲 鵄 鵠 鷹 鷂 為 首 所 食 肉 奪 者 世 尊 告 
T24n1464_001:0854a29	「若鳥以取食而奪，為成棄捐不受。若驚走來，	 若 鳥 以 取 食 而 奪 為 成 棄 捐 不 受 若 驚 走 來 
T24n1464_001:0854b01	欲護令不取，不成棄捐不受。」若比丘，親里屠	欲 護 令 不 取 不 成 棄 捐 不 受 若 比 丘 親 里 屠 
T24n1464_001:0854b02	兒不與肉而取，便懷疑：「我不犯棄捐不受婆？」	兒 不 與 肉 而 取 便 懷 疑 我 不 犯 棄 捐 不 受 婆 
T24n1464_001:0854b03	彼白世尊。世尊告：「若以盜意取者，為成棄捐	彼 白 世 尊 世 尊 告 若 以 盜 意 取 者 為 成 棄 捐 
T24n1464_001:0854b04	不受。若以親里取，不成棄捐不受。」(王舍國竟)佛在舍	不 受 若 以 親 里 取 不 成 棄 捐 不 受 王 舍 國 竟 佛 在 舍 
T24n1464_001:0854b05	衛國與大比丘俱，從拘薩羅來至舍衛國薩	衛 國 與 大 比 丘 俱 從 拘 薩 羅 來 至 舍 衛 國 薩 
T24n1464_001:0854b06	羅槃園間遇賊。彼賊，或以王力或以村力	羅 槃 園 間 遇 賊 彼 賊 或 以 王 力 或 以 村 力 
T24n1464_001:0854b07	捕得，奪彼賊衣鉢還比丘。彼比丘各懷疑意：	捕 得 奪 彼 賊 衣 鉢 還 比 丘 彼 比 丘 各 懷 疑 意 
T24n1464_001:0854b08	「我不成棄捐不受婆？」以事白世尊。世尊告：	 我 不 成 棄 捐 不 受 婆 以 事 白 世 尊 世 尊 告 
T24n1464_001:0854b09	「若比丘，在賊許，以力奪衣，為成棄捐不受。若	 若 比 丘 在 賊 許 以 力 奪 衣 為 成 棄 捐 不 受 若 
T24n1464_001:0854b10	王力村力奪與者，不成棄捐不受(以不口告故。若言而奪不受)。」	王 力 村 力 奪 與 者 不 成 棄 捐 不 受 以 不 口 告 故 若 言 而 奪 不 受 
T24n1464_001:0854b11	一比丘從拘薩羅來，道中為賊所剝。彼比丘	一 比 丘 從 拘 薩 羅 來 道 中 為 賊 所 剝 彼 比 丘 
T24n1464_001:0854b12	以親里力而還奪賊衣鉢。奪已，比丘便懷疑	以 親 里 力 而 還 奪 賊 衣 鉢 奪 已 比 丘 便 懷 疑 
T24n1464_001:0854b13	意：「我不成棄捐不受婆？」彼比丘以事白佛。佛	意 我 不 成 棄 捐 不 受 婆 彼 比 丘 以 事 白 佛 佛 
T24n1464_001:0854b14	告：「賊已得，不可以力奪。若以力奪、教他奪，為	告 賊 已 得 不 可 以 力 奪 若 以 力 奪 教 他 奪 為 
T24n1464_001:0854b15	成棄捐不受。若比丘與直贖，得取。」於是尊者	成 棄 捐 不 受 若 比 丘 與 直 贖 得 取 於 是 尊 者 
T24n1464_001:0854b16	優波離白世尊：「若比丘眾僧財不與取，是誰	優 波 離 白 世 尊 若 比 丘 眾 僧 財 不 與 取 是 誰 
T24n1464_001:0854b17	物不與取？」世尊告：「若財以入面門，今當食，負	物 不 與 取 世 尊 告 若 財 以 入 面 門 今 當 食 負 
