X17n0323_001:0135a03	 楞伽經序	 楞 伽 經 序 
X17n0323_001:0137b18	普應之則法門深廣也於五法等究竟通達則亦	普 應 之 則 法 門 深 廣 也 於 五 法 等 究 竟 通 達 則 亦 
X17n0323_001:0137b19	徧達一切佛法矣是宜首眾啟法對揚道玅有非	徧 達 一切佛法 矣 是 宜 首 眾 啟 法 對 揚 道 玅 有 非 
X17n0323_001:0137b20	時眾所能及者所謂具二莊嚴故能問能答者大	時 眾 所 能 及 者 所 謂 具 二 莊 嚴 故 能 問 能 答 者 大 
X17n0323_001:0137b21	慧其有焉。○右第一章。	慧 其 有 焉 右 第 一 章 
X17n0323_001:0137b22	爾時大慧菩薩與摩帝菩薩俱遊一切諸佛剎土承	爾 時 大 慧 菩 薩 與 摩 帝 菩 薩 俱 遊 一切諸佛 剎 土 承 
X17n0323_001:0137b23	佛神力從座而起偏袒右肩右膝著地合掌恭敬以	佛 神 力 從座而起 偏袒右肩 右膝著地 合掌恭敬 以 
X17n0323_001:0137b24	偈讚佛。	偈 讚 佛 
X17n0323_001:0137c01	世間離生滅猶如虗空華智不得有無而興大悲心	世 間 離 生 滅 猶 如 虗 空 華 智 不 得 有 無 而 興 大 悲 心 
X17n0323_001:0137c02	一切法如幻遠離於心識智不得有無而興大悲心	一切法如 幻 遠 離 於 心 識 智 不 得 有 無 而 興 大 悲 心 
X17n0323_001:0137c03	遠離於斷常世間恒如夢智不得有無而興大悲心	遠 離 於 斷 常 世 間 恒 如 夢 智 不 得 有 無 而 興 大 悲 心 
X17n0323_001:0137c04	知人法無我煩惱及爾燄常清淨無相而興大悲心	知 人法無我 煩 惱 及 爾 燄 常 清 淨 無 相 而 興 大 悲 心 
X17n0323_001:0137c05	一切無涅槃無有涅槃佛無有佛涅槃遠離覺所覺	一 切 無 涅 槃 無 有 涅 槃 佛 無 有 佛 涅 槃 遠 離 覺 所 覺 
X17n0323_001:0137c06	若有若無有是二悉俱離牟尼寂靜觀是則遠離生	若有若無 有 是 二 悉 俱 離 牟 尼 寂 靜 觀 是 則 遠 離 生 
X17n0323_001:0137c07	是名為不取今世後世淨。	是 名 為 不 取 今 世 後 世 淨 
X17n0323_001:0137c08	凡諸贊佛下不測上豈能盡其法門乎必曰承佛	凡 諸 贊 佛 下 不 測 上 豈 能 盡 其 法 門 乎 必 曰 承 佛 
X17n0323_001:0137c09	神力則是述佛所證以贊一經大旨亦槩見此偈	神 力 則 是 述 佛 所 證 以 贊 一 經 大 旨 亦 槩 見 此 偈 
X17n0323_001:0137c10	凡有二初贊遠離成自他之功次歎寂靜結名實	凡 有 二 初 贊 遠 離 成 自 他 之 功 次 歎 寂 靜 結 名 實 
X17n0323_001:0137c11	之德遠離有五曰世間曰心識曰斷常曰二障曰	之 德 遠 離 有 五 曰 世 間 曰 心 識 曰 斷 常 曰 二 障 曰 
X17n0323_001:0137c12	覺所覺文義不無次第夫世間則所緣之境所緣	覺 所 覺 文 義 不 無 次 第 夫 世 間 則 所 緣 之 境 所 緣 
X17n0323_001:0137c13	雖離心識未亡則猶存能見故次之離心識心識	雖 離 心 識 未 亡 則 猶 存 能 見 故 次 之 離 心 識 心 識 
X17n0323_001:0137c14	者妄見之本有妄見則有斷常故又次之斷常生	者 妄 見 之 本 有 妄 見 則 有 斷 常 故 又 次 之 斷 常 生 
X17n0323_001:0137c15	於我見能障二種無我成煩惱爾炎故二障復次	於 我 見 能 障 二 種 無 我 成 煩 惱 爾 炎 故 二 障 復 次 
X17n0323_001:0137c16	之障離即覺覺即涅槃若猶存能所非本來寂滅	之 障 離 即 覺 覺 即 涅 槃 若 猶 存 能 所 非 本 來 寂 滅 
X17n0323_001:0137c17	故卒離覺所覺此五圓離方名為佛則無次第之	故 卒 離 覺 所 覺 此 五 圓 離 方 名 為 佛 則 無 次 第 之 
X17n0323_001:0137c18	異也然世間本生滅法唯佛能了如空華夢幻以	異 也 然 世 間 本 生 滅 法 唯 佛 能 了 如 空 華 夢 幻 以 
X17n0323_001:0137c19	不離而離離彼世間心識等見故曰猶如虗空華	不 離 而 離 離 彼 世 間 心 識 等 見 故 曰 猶 如 虗 空 華 
X17n0323_001:0137c20	既曰空華則非有非無此智所以不得有無由是	既 曰 空 華 則 非有非無 此 智 所 以 不 得 有 無 由 是 
X17n0323_001:0137c21	而言雖佛不在三界可也但眾生未悟如來哀之	而 言 雖 佛 不 在 三 界 可 也 但 眾 生 未 悟 如 來 哀 之 
X17n0323_001:0137c22	為是興大悲心垂世設教如幻夢等理一義異具	為 是 興 大 悲 心 垂 世 設 教 如 幻 夢 等 理 一 義 異 具 
X17n0323_001:0137c23	如大乘十喻(云云)離斷常者文義本出阿含有離斷	如 大 乘 十 喻 云 云 離 斷 常 者 文 義 本 出 阿 含 有 離 斷 
X17n0323_001:0137c24	常中今文言之所離雖近能離實遠凡偏小二見	常 中 今 文 言 之 所 離 雖 近 能 離 實 遠 凡 偏 小 二 見 
X17n0323_001:0138a01	無不離也人法無我及二障義至後當明一切無	無 不 離 也 人法無我 及 二 障 義 至 後 當 明 一 切 無 
X17n0323_001:0138a02	涅槃者以諸法平等性本寂滅故無涅槃及以得	涅 槃 者 以 諸法平等 性 本 寂 滅 故 無 涅 槃 及 以 得 
X17n0323_001:0138a03	者淨名所謂一切眾生即涅槃相不可復滅惟其	者 淨 名 所 謂 一 切 眾 生 即 涅 槃 相 不 可 復 滅 惟 其 
X17n0323_001:0138a04	即涅槃相故無涅槃佛以不可復滅故無佛涅槃	即 涅 槃 相 故 無 涅 槃 佛 以 不 可 復 滅 故 無 佛 涅 槃 
X17n0323_001:0138a05	遠離覺所覺者或直以無佛無涅槃釋之是為無	遠 離 覺 所 覺 者 或 直 以 無 佛 無 涅 槃 釋 之 是 為 無 
X17n0323_001:0138a06	有未為無無究竟而言二皆寂滅故曰若有若無	有 未 為 無 無 究 竟 而 言 二 皆 寂 滅 故 曰 若有若無 
X17n0323_001:0138a07	有是二悉俱離牟尼寂靜觀等總結歎也謂牟尼	有 是 二 悉 俱 離 牟 尼 寂 靜 觀 等 總 結 歎 也 謂 牟 尼 
X17n0323_001:0138a08	以寂默為名故如是而觀即寂靜觀也是觀與德	以 寂 默 為 名 故 如 是 而 觀 即 寂 靜 觀 也 是 觀 與 德 
X17n0323_001:0138a09	率由上遠離而生若曰遠離生滅則與上文重矣	率 由 上 遠 離 而 生 若 曰 遠 離 生 滅 則 與 上 文 重 矣 
X17n0323_001:0138a10	惟其遠離寂靜二者交顯故無一法可取不取之	惟 其 遠 離 寂 靜 二 者 交 顯 故 無 一 法 可 取 不 取 之 
X17n0323_001:0138a11	義有三謂不取之取取而不取不取亦不取具如	義 有 三 謂 不 取 之 取 取 而 不 取 不 取 亦 不 取 具 如 
X17n0323_001:0138a12	大論般若如火聚偈方盡其旨(云云)此如來所以究	大 論 般 若 如 火 聚 偈 方 盡 其 旨 云 云 此 如 來 所 以 究 
X17n0323_001:0138a13	竟寂滅而至盡極淨者也。○右第二章。	竟 寂 滅 而 至 盡 極 淨 者 也 右 第 二 章 
X17n0323_001:0138a14	爾時大慧菩薩偈讚佛已自說姓名。	爾 時 大 慧 菩 薩 偈 讚 佛 已 自 說 姓 名 
X17n0323_001:0138a15	我名為大慧通達於大乘今以百八義仰諮尊中上	我 名 為 大 慧 通 達 於 大 乘 今 以 百 八 義 仰 諮 尊 中 上 
X17n0323_001:0138a16	世間解之士聞彼所說偈觀察一切眾告諸佛子言	世 間 解 之 士 聞 彼 所 說 偈 觀 察 一 切 眾 告 諸 佛 子 言 
X17n0323_001:0138a17	汝等諸佛子今皆恣所問我當為汝說自覺之境界。	汝 等 諸 佛 子 今 皆 恣 所 問 我 當 為 汝 說 自 覺 之 境 界 
X17n0323_001:0138a18	爾時大慧菩薩摩訶薩承佛所聽頂禮佛足合掌恭	爾 時 大 慧 菩薩摩訶薩 承 佛 所 聽 頂禮佛足 合 掌 恭 
X17n0323_001:0138a19	敬以偈問曰。	敬 以 偈 問 曰 
X17n0323_001:0138a20	云何淨其念云何念增長云何見癡惑云何惑增長	云 何 淨 其 念 云 何 念 增 長 云 何 見 癡 惑 云 何 惑 增 長 
X17n0323_001:0138a21	何故剎土化相及諸外道云何無受次何故名無受	何 故 剎 土 化 相 及 諸 外 道 云 何 無 受 次 何 故 名 無 受 
X17n0323_001:0138a22	何故名佛子解脫至何所誰縛誰解脫何等禪境界	何 故 名 佛 子 解 脫 至 何 所 誰 縛 誰 解 脫 何 等 禪 境 界 
X17n0323_001:0138a23	云何有三乘惟願為解說緣起何所生云何作所作	云 何 有 三 乘 惟 願 為 解 說 緣 起 何 所 生 云 何 作 所 作 
X17n0323_001:0138a24	云何俱異說云何為增長云何無色定及與滅正受	云 何 俱 異 說 云 何 為 增 長 云 何 無 色 定 及 與 滅 正 受 
X17n0323_001:0138b01	云何為想滅何因從定覺云何所作生進去及持身	云 何 為 想 滅 何 因 從 定 覺 云 何 所 作 生 進 去 及 持 身 
X17n0323_001:0138b02	云何現分別云何生諸地破三有者誰何處身云何	云 何 現 分 別 云 何 生 諸 地 破 三 有 者 誰 何 處 身 云 何 
X17n0323_001:0138b03	往生何所至云何最勝子何因得神通及自在三昧	往 生 何 所 至 云 何 最 勝 子 何 因 得 神 通 及 自 在 三 昧 
X17n0323_001:0138b04	云何三昧心最勝為我說云何名為藏云何意及識	云 何 三 昧 心 最 勝 為 我 說 云 何 名 為 藏 云 何 意 及 識 
X17n0323_001:0138b05	云何生與滅云何見已還云何為種性非種及心量	云 何 生 與 滅 云 何 見 已 還 云 何 為 種 性 非 種 及 心 量 
X17n0323_001:0138b06	云何建立相及與非我義云何無眾生云何世俗說	云 何 建 立 相 及 與 非 我 義 云 何 無 眾 生 云 何 世 俗 說 
X17n0323_001:0138b07	云何為斷見及常見不生云何佛外道其相不相違	云 何 為 斷 見 及 常 見 不 生 云 何 佛 外 道 其 相 不 相 違 
X17n0323_001:0138b08	云何當來世種種諸異部云何空何因云何剎那壞	云 何 當 來 世 種 種 諸 異 部 云 何 空 何 因 云 何 剎 那 壞 
X17n0323_001:0138b09	云何胎藏生云何世不動何因如幻夢及揵闥婆城	云 何 胎 藏 生 云 何 世 不 動 何 因 如 幻 夢 及 揵 闥 婆 城 
X17n0323_001:0138b10	世間熱時燄及與水月光何因說覺支及與菩提分	世 間 熱 時 燄 及 與 水 月 光 何 因 說 覺 支 及 與 菩 提 分 
X17n0323_001:0138b11	云何國土亂云何作有見云何不生滅世如虗空華	云 何 國 土 亂 云 何 作 有 見 云 何 不 生 滅 世 如 虗 空 華 
X17n0323_001:0138b12	云何覺世間云何說離字離妄想者誰云何虗空譬	云 何 覺 世 間 云 何 說 離 字 離 妄 想 者 誰 云 何 虗 空 譬 
X17n0323_001:0138b13	如實有幾種幾波羅密心何因度諸地誰至無所受	如 實 有 幾 種 幾 波 羅 密 心 何 因 度 諸 地 誰 至 無 所 受 
X17n0323_001:0138b14	何等二無我云何爾燄淨諸智有幾種幾戒眾生性	何 等 二 無 我 云 何 爾 燄 淨 諸 智 有 幾 種 幾 戒 眾 生 性 
X17n0323_001:0138b15	誰生諸寶性摩尼真珠等誰生諸語言眾生種種性	誰 生 諸 寶 性 摩 尼 真 珠 等 誰 生 諸 語 言 眾 生 種 種 性 
X17n0323_001:0138b16	明處及伎術誰之所顯示伽陀有幾種長頌及短句	明 處 及 伎 術 誰 之 所 顯 示 伽 陀 有 幾 種 長 頌 及 短 句 
X17n0323_001:0138b17	成為有幾種云何名為論云何生飲食及生諸愛欲	成 為 有 幾 種 云 何 名 為 論 云 何 生 飲 食 及 生 諸 愛 欲 
X17n0323_001:0138b18	云何名為王轉輪及小王云何守護國諸天有幾種	云 何 名 為 王 轉 輪 及 小 王 云 何 守 護 國 諸 天 有 幾 種 
X17n0323_001:0138b19	云何名為地星宿及日月解脫修行者是各有幾種	云 何 名 為 地 星 宿 及 日 月 解 脫 修 行 者 是 各 有 幾 種 
X17n0323_001:0138b20	弟子有幾種云何阿闍梨佛復有幾種復有幾種生	弟 子 有 幾 種 云 何 阿 闍 梨 佛 復 有 幾 種 復 有 幾 種 生 
X17n0323_001:0138b21	魔及諸異學彼各有幾種自性及與心彼復各幾種	魔 及 諸 異 學 彼 各 有 幾 種 自 性 及 與 心 彼 復 各 幾 種 
X17n0323_001:0138b22	云何施設量惟願最勝說云何空風雲云何念聽明	云 何 施 設 量 惟 願 最 勝 說 云 何 空 風 雲 云 何 念 聽 明 
X17n0323_001:0138b23	云何為林樹云何為蔓草云何象馬鹿云何而捕取	云 何 為 林 樹 云 何 為 蔓 草 云 何 象 馬 鹿 云 何 而 捕 取 
X17n0323_001:0138b24	云何為卑陋何因而卑陋云何六節攝云何一闡提	云 何 為 卑 陋 何 因 而 卑 陋 云 何 六 節 攝 云 何 一 闡 提 
X17n0323_001:0138c01	男女及不男斯皆云何生云何修行退云何修行生	男 女 及 不 男 斯 皆 云 何 生 云 何 修 行 退 云 何 修 行 生 
X17n0323_001:0138c02	禪師以何法建立何等人眾生生諸趣何相何像類	禪 師 以 何 法 建 立 何 等 人 眾 生 生 諸 趣 何 相 何 像 類 
X17n0323_001:0138c03	云何為財富何因致財富云何為釋種何因有釋種	云 何 為 財 富 何 因 致 財 富 云 何 為 釋 種 何 因 有 釋 種 
X17n0323_001:0138c04	云何甘蔗種無上尊願說云何長苦仙彼云何教授	云 何 甘 蔗 種 無 上 尊 願 說 云 何 長 苦 仙 彼 云 何 教 授 
X17n0323_001:0138c05	如來云何於一切時剎現種種名色類最勝子圍繞	如 來 云 何 於一切時 剎 現 種 種 名 色 類 最 勝 子 圍 繞 
X17n0323_001:0138c06	云何不食肉云何制斷肉食肉諸種類何因故食肉	云 何 不 食 肉 云 何 制 斷 肉 食 肉 諸 種 類 何 因 故 食 肉 
X17n0323_001:0138c07	云何日月形須彌及蓮華師子勝相剎側住覆世界	云 何 日 月 形 須 彌 及 蓮 華 師 子 勝 相 剎 側 住 覆 世 界 
X17n0323_001:0138c08	如因陀羅網或悉諸珍寶箜篌細腰鼓狀種種諸華	如 因 陀 羅 網 或 悉 諸 珍 寶 箜 篌 細 腰 鼓 狀 種 種 諸 華 
X17n0323_001:0138c09	或離日月光如是等無量云何為化佛云何報生佛	或 離 日 月 光 如 是 等 無 量 云 何 為 化 佛 云 何 報 生 佛 
X17n0323_001:0138c10	云何如如佛云何智慧佛云何於欲界不成等正覺	云 何 如 如 佛 云 何 智 慧 佛 云 何 於 欲 界 不 成等正覺 
X17n0323_001:0138c11	何故色究竟離欲得菩提善逝般涅槃誰當持正法	何 故 色 究 竟 離 欲 得 菩 提 善 逝 般 涅 槃 誰 當 持 正 法 
X17n0323_001:0138c12	天師住久如正法幾時住悉檀及與見各復有幾種	天 師 住 久 如 正 法 幾 時 住 悉 檀 及 與 見 各 復 有 幾 種 
X17n0323_001:0138c13	毗尼比丘分云何何因緣彼諸最勝子緣覺及聲聞	毗 尼 比 丘 分 云 何 何 因 緣 彼 諸 最 勝 子 緣 覺 及 聲 聞 
X17n0323_001:0138c14	何因百變易云何百無受云何世俗通云何出世間	何 因 百 變 易 云 何 百 無 受 云 何 世 俗 通 云 何 出 世 間 
X17n0323_001:0138c15	云何為七地惟願為演說僧伽有幾種云何為壞僧	云 何 為 七 地 惟 願 為 演 說 僧 伽 有 幾 種 云 何 為 壞 僧 
X17n0323_001:0138c16	云何醫方論是復何因緣何故大牟尼唱說如是言	云 何 醫 方 論 是 復 何 因 緣 何 故 大 牟 尼 唱 說 如 是 言 
X17n0323_001:0138c17	迦葉拘留孫拘那含是我何故說斷常及與我無我	迦 葉 拘 留 孫 拘 那 含 是 我 何 故 說 斷 常 及 與 我 無 我 
X17n0323_001:0138c18	何不一切時演說真實義而復為眾生分別說心量	何 不 一 切 時 演 說 真 實 義 而 復 為 眾 生 分 別 說 心 量 
X17n0323_001:0138c19	何因男女林訶梨阿摩勒雞羅及鐵圍金剛等諸山	何 因 男 女 林 訶 梨 阿 摩 勒 雞 羅 及 鐵 圍 金 剛 等 諸 山 
X17n0323_001:0138c20	無量寶莊嚴仙闥婆充滿。	無 量 寶 莊 嚴 仙 闥 婆 充 滿 
X17n0323_001:0138c21	無上世間解聞彼所說偈大乘諸度門諸佛心第一	無上世間解 聞 彼 所 說 偈 大 乘 諸 度 門 諸 佛 心 第 一 
X17n0323_001:0138c22	善哉善哉問大慧善諦聽我今當次第如汝所問說	善哉善哉 問 大 慧 善 諦 聽 我 今 當 次 第 如 汝 所 問 說 
X17n0323_001:0138c23	生及與不生涅槃空剎那趣至無自性佛諸波羅密	生 及 與 不 生 涅 槃 空 剎 那 趣 至 無 自 性 佛 諸 波 羅 密 
X17n0323_001:0138c24	佛子與聲聞緣覺諸外道及與無色行如是種種事	佛 子 與 聲 聞 緣 覺 諸 外 道 及 與 無 色 行 如 是 種 種 事 
X17n0323_001:0139a01	須彌巨海山洲渚剎土地星宿及日月外道天修羅	須 彌 巨 海 山 洲 渚 剎 土 地 星 宿 及 日 月 外 道 天 修 羅 
X17n0323_001:0139a02	解脫自在通力禪三摩提滅及如意足覺支及道品	解 脫 自 在 通 力 禪 三 摩 提 滅 及 如 意 足 覺 支 及 道 品 
X17n0323_001:0139a03	諸禪定無量諸陰身往來正受滅盡定三昧起心說	諸 禪 定 無 量 諸 陰 身 往 來 正 受 滅 盡 定 三 昧 起 心 說 
X17n0323_001:0139a04	心意及與識無我法有五自性想所想及與現二見	心 意 及 與 識 無 我 法 有 五 自 性 想 所 想 及 與 現 二 見 
X17n0323_001:0139a05	乘及諸種性金銀摩尼等一闡提大種荒亂及一佛	乘 及 諸 種 性 金 銀 摩 尼 等 一 闡 提 大 種 荒 亂 及 一 佛 
X17n0323_001:0139a06	智爾燄得向眾生有無有象馬諸禽獸云何而捕取	智 爾 燄 得 向 眾 生 有 無 有 象 馬 諸 禽 獸 云 何 而 捕 取 
X17n0323_001:0139a07	譬因成悉檀及與作所作叢林迷惑通心量不現有	譬 因 成 悉 檀 及 與 作 所 作 叢 林 迷 惑 通 心 量 不 現 有 
X17n0323_001:0139a08	諸地不相至百變百無受醫方工巧論伎術諸明處	諸 地 不 相 至 百 變 百 無 受 醫 方 工 巧 論 伎 術 諸 明 處 
X17n0323_001:0139a09	諸山須彌地巨海日月量下中上眾生身各幾微塵	諸 山 須 彌 地 巨 海 日 月 量 下 中 上 眾 生 身 各 幾 微 塵 
X17n0323_001:0139a10	一一剎幾塵弓弓數有幾肘步拘樓舍半由延由延	一 一 剎 幾 塵 弓 弓 數 有 幾 肘 步 拘 樓 舍 半 由 延 由 延 
X17n0323_001:0139a11	兔毫窻塵蟣羊毛[麩夫+廣]麥塵鉢他幾[麩夫+廣]麥阿羅[麩夫+廣]麥幾	兔 毫 窻 塵 蟣 羊 毛 [麩夫廣]麥塵鉢他幾[麩夫廣]麥阿羅[麩夫廣] 麥 幾 
X17n0323_001:0139a12	獨籠那佉梨勒义及舉利乃至頻婆羅是各有幾數	獨 籠 那 佉 梨 勒 义 及 舉 利 乃 至 頻 婆 羅 是 各 有 幾 數 
X17n0323_001:0139a13	為有幾阿菟名舍梨沙婆幾舍梨沙婆名為一賴提	為 有 幾 阿 菟 名 舍 梨 沙 婆 幾 舍 梨 沙 婆 名 為 一 賴 提 
X17n0323_001:0139a14	幾賴提摩沙幾摩沙陀那復幾陀那羅為迦梨沙那	幾 賴 提 摩 沙 幾 摩 沙 陀 那 復 幾 陀 那 羅 為 迦 梨 沙 那 
X17n0323_001:0139a15	幾迦梨沙那為成一波羅此等積聚相幾波羅彌樓	幾 迦 梨 沙 那 為 成 一 波 羅 此 等 積 聚 相 幾 波 羅 彌 樓 
X17n0323_001:0139a16	是等所應請何須問餘事聲聞辟支佛佛及最勝子	是 等 所 應 請 何 須 問 餘 事 聲 聞 辟 支 佛 佛 及 最 勝 子 
