T38n1769_001:0239a13	涅槃宗要	涅 槃 宗 要 
T38n1769_001:0241a25	之莫先故名為大。如經言。譬如大藏多諸珍	之 莫 先 故 名 為 大 如 經 言 譬 如 大 藏 多 諸 珍 
T38n1769_001:0241a26	寶。涅槃如是多有種種妙法珍寶故名大。六	寶 涅 槃 如 是 多 有 種 種 妙 法 珍 寶 故 名 大 六 
T38n1769_001:0241a27	者勝之莫先故名為大。如經言。如世間中勝	者 勝 之 莫 先 故 名 為 大 如 經 言 如 世 間 中 勝 
T38n1769_001:0241a28	上主人名為大人。涅槃如是諸法中勝故名	上 主 人 名 為 大 人 涅 槃 如 是 諸 法 中 勝 故 名 
T38n1769_001:0241a29	為大。大義如是。所言滅者略有四義。事滅理	為 大 大 義 如 是 所 言 滅 者 略 有 四 義 事 滅 理 
T38n1769_001:0241b01	滅德滅擇滅。言事滅者。還無為義。義當應化	滅 德 滅 擇 滅 言 事 滅 者 還 無 為 義 義 當 應 化 
T38n1769_001:0241b02	身。正智亦亡故名為滅。如經言。佛此夜滅度。	身 正 智 亦 亡 故 名 為 滅 如 經 言 佛 此 夜 滅 度 
T38n1769_001:0241b03	如薪盡火滅。如是事滅當體立名。言理滅者。	如 薪 盡 火 滅 如 是 事 滅 當 體 立 名 言 理 滅 者 
T38n1769_001:0241b04	寂漠為義。謂從本來無動無起故名為滅。如	寂 漠 為 義 謂 從 本 來 無 動 無 起 故 名 為 滅 如 
T38n1769_001:0241b05	經言。一切諸法不生不滅本來寂靜自性涅	經 言 一切諸法 不生不滅 本來寂靜 自 性 涅 
T38n1769_001:0241b06	槃。如是理滅寄全音。言德滅者。永離為義。謂	槃 如 是 理 滅 寄 全 音 言 德 滅 者 永 離 為 義 謂 
T38n1769_001:0241b07	諸功德離相離性不守自性互相一味故名為	諸 功 德 離 相 離 性 不 守 自 性 互 相 一 味 故 名 為 
T38n1769_001:0241b08	滅。如下文言。受安樂者即解脫。真解脫者	滅 如 下 文 言 受 安 樂 者 即 解 脫 真 解 脫 者 
T38n1769_001:0241b09	即是如來。如來即涅槃乃至廣說。如是德滅	即 是 如 來 如 來 即 涅 槃 乃至廣說 如 是 德 滅 
T38n1769_001:0241b10	從義受名。言擇滅者。斷除為義。佛智能斷一	從 義 受 名 言 擇 滅 者 斷 除 為 義 佛 智 能 斷 一 
T38n1769_001:0241b11	切煩惱故名為滅。若依是義。涅槃非滅。而受	切 煩 惱 故 名 為 滅 若 依 是 義 涅 槃 非 滅 而 受 
T38n1769_001:0241b12	名者略有三義。一者從處得名。謂佛窮到無	名 者 略 有 三 義 一 者 從 處 得 名 謂 佛 窮 到 無 
T38n1769_001:0241b13	住之原。是處能斷一切煩惱。斷煩惱處故名	住 之 原 是 處 能 斷 一切煩惱 斷 煩 惱 處 故 名 
T38n1769_001:0241b14	為滅。如經言。涅槃亦爾。無有住處。宜是諸佛	為 滅 如 經 言 涅 槃 亦 爾 無有住處 宜 是 諸 佛 
T38n1769_001:0241b15	斷煩惱處故名涅槃。二者從因受名。謂智滅	斷 煩 惱 處 故 名 涅 槃 二 者 從 因 受 名 謂 智 滅 
T38n1769_001:0241b16	或能顯於理。理顯是果。智滅為因。從因立名	或 能 顯 於 理 理 顯 是 果 智 滅 為 因 從 因 立 名 
T38n1769_001:0241b17	名理為滅。如此經言。煩惱為薪智惠為火。以	名 理 為 滅 如 此 經 言 煩 惱 為 薪 智 惠 為 火 以 
T38n1769_001:0241b18	是因緣成涅槃食。令我諸弟子皆悉甘嗜。三	是 因 緣 成 涅 槃 食 令 我 諸 弟 子 皆 悉 甘 嗜 三 
T38n1769_001:0241b19	者從果受名。謂智依理能滅煩惱。理為滅因。	者 從 果 受 名 謂 智 依 理 能 滅 煩 惱 理 為 滅 因 
T38n1769_001:0241b20	智是滅果。從果立名名理為滅。如佛性論云。	智 是 滅 果 從 果 立 名 名 理 為 滅 如 佛 性 論 云 
T38n1769_001:0241b21	道依涅槃能使煩惱未來不生。現在不滅因	道 依 涅 槃 能 使 煩 惱 未 來 不 生 現 在 不 滅 因 
T38n1769_001:0241b22	中說果故名涅槃為無生滅。滅義如是。所言	中 說 果 故 名 涅 槃 為 無 生 滅 滅 義 如 是 所 言 
T38n1769_001:0241b23	度者略有二義。謂究竟義及到岸義。到岸義	度 者 略 有 二 義 謂 究 竟 義 及 到 岸 義 到 岸 義 
T38n1769_001:0241b24	者顯顯斷義。煩惱滅者明非常義。煩惱離滅	者 顯 顯 斷 義 煩 惱 滅 者 明 非 常 義 煩 惱 離 滅 
T38n1769_001:0241b25	眾生得度。非常非斷故名滅度。究竟義者滅	眾 生 得 度 非 常 非 斷 故 名 滅 度 究 竟 義 者 滅 
T38n1769_001:0241b26	德究竟故名滅度。度義如是。問若斷煩惱非	德 究 竟 故 名 滅 度 度 義 如 是 問 若 斷 煩 惱 非 
T38n1769_001:0241b27	涅槃者。何故德王菩薩品云。不見佛性而斷	涅 槃 者 何 故 德 王 菩 薩 品 云 不 見 佛 性 而 斷 
T38n1769_001:0241b28	煩惱是名涅槃。大涅槃以見佛性故得名為	煩 惱 是 名 涅 槃 大 涅 槃 以 見 佛 性 故 得 名 為 
T38n1769_001:0241b29	常樂我淨。故斷煩惱亦得稱為大般涅槃。若	常樂我淨 故 斷 煩 惱 亦 得 稱 為 大 般 涅 槃 若 
T38n1769_001:0241c01	斷煩惱稱涅槃者。何故彼品下文說言。斷煩	斷 煩 惱 稱 涅 槃 者 何 故 彼 品 下 文 說 言 斷 煩 
T38n1769_001:0241c02	惱者不名涅槃。不煩惱乃名涅槃。善男子諸	惱 者 不 名 涅 槃 不 煩 惱 乃 名 涅 槃 善 男 子 諸 
T38n1769_001:0241c03	佛如來煩惱不起是名涅槃。解云。前所引文	佛 如 來 煩 惱 不 起 是 名 涅 槃 解 云 前 所 引 文 
T38n1769_001:0241c04	為簡涅槃大涅槃異故舉二斷以顯斷處。非	為 簡 涅 槃 大 涅 槃 異 故 舉 二 斷 以 顯 斷 處 非 
T38n1769_001:0241c05	約能斷名為涅槃。後所引文為簡諸佛與菩	約 能 斷 名 為 涅 槃 後 所 引 文 為 簡 諸 佛 與 菩 
T38n1769_001:0241c06	薩異。菩薩斷處猶有餘惑。故不得受涅槃之	薩 異 菩 薩 斷 處 猶 有 餘 惑 故 不 得 受 涅 槃 之 
T38n1769_001:0241c07	名。諸佛斷處畢竟不生。所以得立涅槃之稱。	名 諸 佛 斷 處 畢竟不生 所 以 得 立 涅 槃 之 稱 
T38n1769_001:0241c08	是答德王菩薩難意。彼前難言。若言煩惱滅	是 答 德 王 菩 薩 難 意 彼 前 難 言 若 言 煩 惱 滅 
T38n1769_001:0241c09	之處是涅槃者。諸菩薩等於無量劫已斷煩	之 處 是 涅 槃 者 諸 菩 薩 等 於 無 量 劫 已 斷 煩 
T38n1769_001:0241c10	惱。何故不得稱為涅槃。俱是斷處。何緣獨稱	惱 何 故 不 得 稱 為 涅 槃 俱 是 斷 處 何 緣 獨 稱 
T38n1769_001:0241c11	諸佛有之菩薩無耶。為答是難故依斷與不	諸 佛 有 之 菩 薩 無 耶 為 答 是 難 故 依 斷 與 不 
T38n1769_001:0241c12	生簡別。通而言之。菩薩亦不生。諸佛亦是斷。	生 簡 別 通 而 言 之 菩 薩 亦 不 生 諸 佛 亦 是 斷 
T38n1769_001:0241c13	別門而言。斷除之稱遣於已生之辭遮於未	別 門 而 言 斷 除 之 稱 遣 於 已 生 之 辭 遮 於 未 
T38n1769_001:0241c14	起。遣已生者望前之義義在不足。故說菩薩。	起 遣 已 生 者 望 前 之 義 義 在 不 足 故 說 菩 薩 
T38n1769_001:0241c15	遮未起者望後之義義在究竟。故說諸佛。依	遮 未 起 者 望 後 之 義 義 在 究 竟 故 說 諸 佛 依 
T38n1769_001:0241c16	是道理精別而言。斷煩惱者不名涅槃。不生	是 道 理 精 別 而 言 斷 煩 惱 者 不 名 涅 槃 不 生 
T38n1769_001:0241c17	煩惱乃名涅槃。以是義故不相違也。名義門	煩 惱 乃 名 涅 槃 以是義故 不 相 違 也 名 義 門 
T38n1769_001:0241c18	竟。第二出體。於中有二。先出體性。後簡虛實。	竟 第 二 出 體 於 中 有 二 先 出 體 性 後 簡 虛 實 
T38n1769_001:0241c19	出體性者諸說不同。或有說者。無垢真如是	出 體 性 者 諸 說 不 同 或 有 說 者 無 垢 真 如 是 
T38n1769_001:0241c20	涅槃體。始起功德非是涅槃。即能證智是菩	涅 槃 體 始 起 功 德 非 是 涅 槃 即 能 證 智 是 菩 
T38n1769_001:0241c21	提故。如經云。涅槃義者即是諸佛之法性也。	提 故 如 經 云 涅 槃 義 者 即 是 諸 佛 之 法 性 也 
T38n1769_001:0241c22	又下文言。涅槃之體本自有之非適今也。大	又 下 文 言 涅 槃 之 體 本 自 有 之 非 適 今 也 大 
T38n1769_001:0241c23	品經云。諸法性空即是涅槃。占密經云。煩惱	品 經 云 諸 法 性 空 即 是 涅 槃 占 密 經 云 煩 惱 
T38n1769_001:0241c24	生死畢竟無體。求不可得。本來不生。實更不	生 死 畢 竟 無 體 求不可得 本 來 不 生 實 更 不 
T38n1769_001:0241c25	滅。自性寂靜即是涅槃。如是等文不可具陳。	滅 自 性 寂 靜 即 是 涅 槃 如 是 等 文 不 可 具 陳 
T38n1769_001:0241c26	故知真如正知其是涅槃。斷滅煩惱所顯義	故 知 真 如 正 知 其 是 涅 槃 斷 滅 煩 惱 所 顯 義 
T38n1769_001:0241c27	門即說真如名為數滅。數滅即是無垢真如。	門 即 說 真 如 名 為 數 滅 數 滅 即 是 無 垢 真 如 
T38n1769_001:0241c28	或有說者。果地萬德不問。本始總束為一大	或 有 說 者 果 地 萬 德 不 問 本 始 總 束 為 一 大 
T38n1769_001:0241c29	涅槃體。如此經中總說三事即為涅槃。又下	涅 槃 體 如 此 經 中 總 說 三 事 即 為 涅 槃 又 下 
T38n1769_001:0242a01	文說八自在已總結而言。如是大我名大涅	文 說 八 自 在 已 總 結 而 言 如 是 大 我 名 大 涅 
T38n1769_001:0242a02	槃。法花論云。唯佛如來證大菩提究竟滿足	槃 法 花 論 云 唯 佛 如 來 證大菩提 究 竟 滿 足 
T38n1769_001:0242a03	一切智惠名大涅槃。攝大乘論云。三身所顯	一 切 智 惠 名 大 涅 槃 攝 大 乘 論 云 三 身 所 顯 
T38n1769_001:0242a04	無上菩提。既說三身皆是菩提。當知皆為大	無上菩提 既 說 三 身 皆 是 菩 提 當 知 皆 為 大 
T38n1769_001:0242a05	涅槃體。如是二說皆有道理。所以然者。涅槃	涅 槃 體 如 是 二 說 皆 有 道 理 所 以 然 者 涅 槃 
T38n1769_001:0242a06	菩提有通別。別門而說。菩提是果在能證德	菩 提 有 通 別 別 門 而 說 菩 提 是 果 在 能 證 德 
T38n1769_001:0242a07	道諦所攝。涅槃果之是所證法滅諦所攝。通	道 諦 所 攝 涅 槃 果 之 是 所 證 法 滅 諦 所 攝 通 
T38n1769_001:0242a08	門而言。果地道諦亦是涅槃。所證真如亦是	門 而 言 果 地 道 諦 亦 是 涅 槃 所 證 真 如 亦 是 
T38n1769_001:0242a09	菩提。例如生死有通有別。別而言之。內根始	菩 提 例 如 生 死 有 通 有 別 別 而 言 之 內 根 始 
T38n1769_001:0242a10	終名為生死。如經言。生者新諸根起。死者諸	終 名 為 生 死 如 經 言 生 者 新 諸 根 起 死 者 諸 
T38n1769_001:0242a11	根滅盡。通而論之。諸雜染法皆是生死。如經	根 滅 盡 通 而 論 之 諸 雜 染 法 皆 是 生 死 如 經 
T38n1769_001:0242a12	言。空者一切生死廣說乃至無我一切生死。	言 空 者 一 切 生 死 廣說乃至 無 我 一 切 生 死 
T38n1769_001:0242a13	對此生死以說涅槃。故知涅槃亦有通別。問	對 此 生 死 以 說 涅 槃 故 知 涅 槃 亦 有 通 別 問 
T38n1769_001:0242a14	若始有功德亦是涅槃。是是即涅槃亦有生	若 始 有 功 德 亦 是 涅 槃 是 是 即 涅 槃 亦 有 生 
T38n1769_001:0242a15	因。若爾何故迦葉品云。三十七解脫門三十	因 若爾何故 迦 葉 品 云 三 十 七 解 脫 門 三 十 
T38n1769_001:0242a16	七品能為涅槃。作生因。作生因亦為涅槃。而	七 品 能 為 涅 槃 作 生 因 作 生 因 亦 為 涅 槃 而 
T38n1769_001:0242a17	作了因。善男子遠離煩惱即得了了見於涅	作 了 因 善 男 子 遠離煩惱 即 得 了 了 見 於 涅 
T38n1769_001:0242a18	槃。是故涅槃唯有了因無有生因。上下諸文	槃 是 故 涅 槃 唯 有 了 因 無 有 生 因 上 下 諸 文 
T38n1769_001:0242a19	之中皆說唯有了因。未曾言亦有生因。答始	之 中 皆 說 唯 有 了 因 未 曾 言 亦 有 生 因 答 始 
T38n1769_001:0242a20	有功德雖是涅槃。涅槃之義存於寂滅。寂滅	有 功 德 雖 是 涅 槃 涅 槃 之 義 存 於 寂 滅 寂 滅 
T38n1769_001:0242a21	之德合於所了。是故說言唯有了因。如說菩	之 德 合 於 所 了 是 故 說 言 唯 有 了 因 如 說 菩 
T38n1769_001:0242a22	提生因所生而亦有說了因所了。即是義准	提 生 因 所 生 而 亦 有 說 了 因 所 了 即 是 義 准 
T38n1769_001:0242a23	當知涅槃了因所顯而亦得言生因所起。由	當 知 涅 槃 了 因 所 顯 而 亦 得 言 生 因 所 起 由 
T38n1769_001:0242a24	是道理故不相違也。體相如是。次簡虛實。問	是 道 理 故 不 相 違 也 體 相 如 是 次 簡 虛 實 問 
T38n1769_001:0242a25	生死之法是虛妄。虛妄故空。是事可爾。涅槃	生 死 之 法 是 虛 妄 虛 妄 故 空 是 事 可 爾 涅 槃 
T38n1769_001:0242a26	之果真如為體。為虛為實為空不空。答或有	之 果 真 如 為 體 為 虛 為 實 為 空 不 空 答 或 有 
T38n1769_001:0242a27	說者。涅槃之體性是真決定不空。如此經云。	說 者 涅 槃 之 體 性 是 真 決 定 不 空 如 此 經 云 
T38n1769_001:0242a28	真解脫者即是如來。如來者即是決定。又下	真 解 脫 者 即 是 如 來 如 來 者 即 是 決 定 又 下 
T38n1769_001:0242a29	文言。空者一切生死。不空者謂大涅槃乃至	文 言 空 者 一 切 生 死 不 空 者 謂 大 涅 槃 乃 至 
T38n1769_001:0242b01	廣說。勝鬘經說。三諦是有為是虛妄。一苦滅	廣 說 勝 鬘 經 說 三 諦 是 有 為 是 虛 妄 一 苦 滅 
T38n1769_001:0242b02	諦是實乃至廣說。如是等文不可具陳。故知	諦 是 實 乃至廣說 如 是 等 文 不 可 具 陳 故 知 
T38n1769_001:0242b03	涅槃。是實不空。而餘處說皆悉空者。是遣妄	涅 槃 是 實 不 空 而 餘 處 說 皆 悉 空 者 是 遣 妄 
T38n1769_001:0242b04	心所取涅槃說真智所證涅槃。若使涅槃亦	心 所 取 涅 槃 說 真 智 所 證 涅 槃 若 使 涅 槃 亦 
T38n1769_001:0242b05	是空者。是即如來佛性皆空。十一空內入於	是 空 者 是 即 如 來 佛 性 皆 空 十 一 空 內 入 於 
T38n1769_001:0242b06	何空。既非空攝當知不空。或有說者。生死涅	何 空 既 非 空 攝 當 知 不 空 或 有 說 者 生 死 涅 
T38n1769_001:0242b07	槃皆是虛妄空無所得。佛法之義無有一法	槃 皆 是 虛 妄 空 無 所 得 佛 法 之 義 無 有 一 法 
T38n1769_001:0242b08	而不空者。如德王品云。般若波羅蜜亦空。乃	而 不 空 者 如 德 王 品 云 般 若 波 羅 蜜 亦 空 乃 
T38n1769_001:0242b09	至檀波羅蜜亦空。如來亦空。大般涅槃亦空。	至 檀 波 羅 蜜 亦 空 如 來 亦 空 大 般 涅 槃 亦 空 
T38n1769_001:0242b10	是故菩薩見一切法皆悉是空。花嚴經言。生	是 故 菩 薩 見 一 切 法 皆 悉 是 空 花 嚴 經 言 生 
T38n1769_001:0242b11	死及涅槃是二悉虛妄。愚智亦如是二皆無	死 及 涅 槃 是 二 悉 虛 妄 愚 智 亦 如 是 二 皆 無 
T38n1769_001:0242b12	真實。如是等文不可具陳。當知悉空乃名平	真 實 如 是 等 文 不 可 具 陳 當 知 悉 空 乃 名 平 
T38n1769_001:0242b13	等。而餘處說生死虛妄涅槃不空等者。為護	等 而 餘 處 說 生 死 虛 妄 涅 槃 不 空 等 者 為 護 
T38n1769_001:0242b14	淺識。新發意者生驚怖故作方便說。如大品	淺 識 新 發 意 者 生 驚 怖 故 作 方 便 說 如 大 品 
T38n1769_001:0242b15	經化品言。若法有生滅相者皆是變化。若法	經 化 品 言 若 法 有 生 滅 相 者 皆 是 變 化 若 法 
T38n1769_001:0242b16	無生無滅是非變化。所謂無誑相。涅槃是法	無生無滅 是 非 變 化 所 謂 無 誑 相 涅 槃 是 法 
T38n1769_001:0242b17	非變化。須菩提言。如佛自說諸法平等。非聲	非 變 化 須 菩 提 言 如 佛 自 說 諸法平等 非 聲 
T38n1769_001:0242b18	聞作乃至非諸佛作。有佛無佛諸法性常空	聞 作 乃 至 非 諸 佛 作 有佛無佛 諸 法 性 常 空 
T38n1769_001:0242b19	性空即是涅槃。云何言涅槃一法不如化。佛	性 空 即 是 涅 槃 云 何 言 涅 槃 一 法 不 如 化 佛 
T38n1769_001:0242b20	言。如是如是諸法平等乃至性空即是涅槃。	言 如是如是 諸法平等 乃 至 性 空 即 是 涅 槃 
T38n1769_001:0242b21	若新發意菩薩聞一切皆畢竟空乃至涅槃亦	若 新發意菩薩 聞 一 切 皆 畢 竟 空 乃至涅槃 亦 
T38n1769_001:0242b22	皆如化心即驚怖。為是新發意菩薩故分別	皆 如 化 心 即 驚 怖 為 是 新發意菩薩 故 分 別 
T38n1769_001:0242b23	生滅者如化不生滅者不如化。須菩提言。世	生 滅 者 如 化 不 生 滅 者 不 如 化 須 菩 提 言 世 
T38n1769_001:0242b24	尊云何令新發意菩薩知是性空。佛告須菩	尊 云 何 令 新發意菩薩 知 是 性 空 佛 告 須 菩 
T38n1769_001:0242b25	提。諸法先有今無耶。依是文證當知餘處說	提 諸 法 先 有 今 無 耶 依 是 文 證 當 知 餘 處 說 
T38n1769_001:0242b26	不空者皆是方便語不盡道理也。是涅槃空	不 空 者 皆 是 方 便 語 不 盡 道 理 也 是 涅 槃 空 
T38n1769_001:0242b27	及佛性空十一空內何所攝者。空空所攝故	及 佛 性 空 十 一 空 內 何 所 攝 者 空 空 所 攝 故 
T38n1769_001:0242b28	說是空。唯佛所窮。十八空中畢竟空故。如前	說 是 空 唯 佛 所 窮 十 八 空 中 畢 竟 空 故 如 前 
T38n1769_001:0242b29	所引槃若經說。若使諸經所說涅槃皆空是	所 引 槃 若 經 說 若 使 諸 經 所 說 涅 槃 皆 空 是 
