X87n1620_001:0179c02	先覺宗乘	先 覺 宗 乘 
X87n1620_001:0182a10	與萬法為侶者是甚麼人。石頭以手掩其口。豁然有	與 萬 法 為 侶 者 是 甚 麼 人 石 頭 以 手 掩 其 口 豁 然 有 
X87n1620_001:0182a11	省。後與丹霞為友。一日石頭問曰。子見老僧以來。日	省 後 與 丹 霞 為 友 一 日 石 頭 問 曰 子 見 老 僧 以 來 日 
X87n1620_001:0182a12	用事作麼生。居士曰。若問日用事。即無開口處。乃呈	用 事 作 麼 生 居 士 曰 若 問 日 用 事 即 無 開 口 處 乃 呈 
X87n1620_001:0182a13	偈曰。日用事無別。唯吾自偶諧。頭頭非取捨。處處沒	偈 曰 日 用 事 無 別 唯 吾 自 偶 諧 頭 頭 非 取 捨 處 處 沒 
X87n1620_001:0182a14	張乖。朱紫誰為號。丘山絕點埃。神通并妙用。運水及	張 乖 朱 紫 誰 為 號 丘 山 絕 點 埃 神 通 并 妙 用 運 水 及 
X87n1620_001:0182a15	搬柴。石頭然之。曰子以緇邪素邪。居士曰。願從所慕。	搬 柴 石 頭 然 之 曰 子 以 緇 邪 素 邪 居 士 曰 願 從 所 慕 
X87n1620_001:0182a16	遂不剃染。後參馬祖。問不與萬法為侶者。是甚麼人。	遂 不 剃 染 後 參 馬 祖 問 不 與 萬 法 為 侶 者 是 甚 麼 人 
X87n1620_001:0182a17	馬祖曰。待汝一口吸盡西江水。即向汝道。居士於言	馬 祖 曰 待 汝 一 口 吸 盡 西 江 水 即 向 汝 道 居 士 於 言 
X87n1620_001:0182a18	下。頓領玄旨。(東林珪老頌云。大海波濤淺。小人方寸深。海枯終見底。人死不知心　雲門杲	下 頓 領 玄 旨 東 林 珪 老 頌 云 大 海 波 濤 淺 小 人 方 寸 深 海 枯 終 見 底 人 死 不 知 心 雲 門 杲 
X87n1620_001:0182a19	頌云。一口吸盡西江水。甲乙丙丁庚戊己。咄咄咄。囉囉哩)。(白雲端頌云。一口吸盡西江水。萬古千今無一滴。	頌 云 一 口 吸 盡 西 江 水 甲 乙 丙 丁 庚 戊 己 咄 咄 咄 囉 囉 哩 白 雲 端 頌 云 一 口 吸 盡 西 江 水 萬 古 千 今 無 一 滴 
X87n1620_001:0182a20	要須黨理不黨親。馬祖可惜口門窄)乃留駐。參承二載。居士一日問馬	要 須 黨 理 不 黨 親 馬 祖 可 惜 口 門 窄 乃 留 駐 參 承 二 載 居 士 一 日 問 馬 
X87n1620_001:0182a21	祖曰。如水無筋骨。能勝萬斛舟。此理如何。馬祖曰。遮	祖 曰 如 水 無 筋 骨 能 勝 萬 斛 舟 此 理 如 何 馬 祖 曰 遮 
X87n1620_001:0182a22	裏無水亦無舟。說甚麼筋骨。居士又問馬祖曰。不昧	裏 無 水 亦 無 舟 說 甚 麼 筋 骨 居 士 又 問 馬 祖 曰 不 昧 
X87n1620_001:0182a23	本來人。請師高著眼。祖直下覷。居士曰。一種沒絃琴。	本 來 人 請 師 高 著 眼 祖 直 下 覷 居 士 曰 一 種 沒 絃 琴 
X87n1620_001:0182a24	惟師彈得妙。祖直上覷。居士廼作禮。馬祖歸方丈。居	惟 師 彈 得 妙 祖 直 上 覷 居 士 廼 作 禮 馬 祖 歸 方 丈 居 
X87n1620_001:0182b01	士隨後入曰。弄巧成拙。(妙喜曰。馬師覷上覷下。即不無。爭柰昧却本來人。居士雖	士 隨 後 入 曰 弄 巧 成 拙 妙 喜 曰 馬 師 覷 上 覷 下 即 不 無 爭 柰 昧 却 本 來 人 居 士 雖 
X87n1620_001:0182b02	然禮拜。渾崙吞箇棗。馬祖歸方丈。士隨後入云。弄巧成拙。救得一半)居士有偈曰。有男	然 禮 拜 渾 崙 吞 箇 棗 馬 祖 歸 方 丈 士 隨 後 入 云 弄 巧 成 拙 救 得 一 半 居 士 有 偈 曰 有 男 
X87n1620_001:0182b03	不婚。有女不嫁。大家團欒頭。共說無生話。(徑山杲示羅快然云。	不 婚 有 女 不 嫁 大 家 團 欒 頭 共 說 無 生 話 徑 山 杲 示 羅 快 然 云 
X87n1620_001:0182b04	昔龐居士有言。有男不婚。有女不嫁。大家團欒頭。共說無生話。後來元豐間。有箇士人。謂之無為居士。姓楊。名	昔 龐 居 士 有 言 有 男 不 婚 有 女 不 嫁 大 家 團 欒 頭 共 說 無 生 話 後 來 元 豐 間 有 箇 士 人 謂 之 無 為 居 士 姓 楊 名 
X87n1620_001:0182b05	傑。字次公。嘗參前輩。於宗門中。有真實得力處。曾和龐公此偈云。男大須婚。女大須嫁。討甚閒工夫。更說無生	傑 字 次 公 嘗 參 前 輩 於 宗 門 中 有 真 實 得 力 處 曾 和 龐 公 此 偈 云 男 大 須 婚 女 大 須 嫁 討 甚 閒 工 夫 更 說 無 生 
X87n1620_001:0182b06	話。這兩箇俗漢子。將他十方常住一片田地。不向官中印契。各自分疆列界道。我知有。而時時向無佛處稱尊。	話 這 兩 箇 俗 漢 子 將 他 十 方 常 住 一 片 田 地 不 向 官 中 印 契 各 自 分 疆 列 界 道 我 知 有 而 時 時 向 無 佛 處 稱 尊 
X87n1620_001:0182b07	當時亦有箇不平底。謂之海印信禪師。時住蘇州定慧。因見無為此偈。亦有一偈曰。我無男婚。我無女嫁。困來	當 時 亦 有 箇 不 平 底 謂 之 海 印 信 禪 師 時 住 蘇 州 定 慧 因 見 無 為 此 偈 亦 有 一 偈 曰 我 無 男 婚 我 無 女 嫁 困 來 
X87n1620_001:0182b08	便打眠。誰管無生話。這三箇老漢。說此三偈。快然居士。開眼也著。合眼也著。不開不合也著。妙喜只得冷地看。	便 打 眠 誰 管 無 生 話 這 三 箇 老 漢 說 此 三 偈 快 然 居 士 開 眼 也 著 合 眼 也 著 不 開 不 合 也 著 妙 喜 只 得 冷 地 看 
X87n1620_001:0182b09	看即不無。畢竟快然居士。向開眼處著到耶。合眼處著到耶。不開不合處著到耶。若向開眼處著到。則落在龐	看 即 不 無 畢 竟 快 然 居 士 向 開 眼 處 著 到 耶 合 眼 處 著 到 耶 不 開 不 合 處 著 到 耶 若 向 開 眼 處 著 到 則 落 在 龐 
X87n1620_001:0182b10	公圈[袖由+貴]裏。在合眼處著到。則落在楊無為圈[袖由+貴]裏。在不開不合處著到。則落在海印禪師圈[袖由+貴]裏。快然見恁麼	公 圈 [袖由貴]裏在合眼處著到則落在楊無為圈[袖由貴]裏在不開不合處著到則落在海印禪師圈[袖由貴] 裏 快 然 見 恁 麼 
X87n1620_001:0182b11	說。定道總不恁麼。若總不恁麼。又落在妙喜圈[袖由+貴]裏。要出三老圈[袖由+貴]則易。要出妙喜圈[袖由+貴]則難。快然畢竟如何	說 定 道 總 不 恁 麼 若 總 不 恁 麼 又 落 在 妙 喜 圈 [袖由貴]裏要出三老圈[袖由貴]則易要出妙喜圈[袖由貴] 則 難 快 然 畢 竟 如 何 
X87n1620_001:0182b12	出得。待歸延平嫁了女。却緩緩地來。為你說破)自爾機辯迅捷。諸方嚮之。因	出 得 待 歸 延 平 嫁 了 女 却 緩 緩 地 來 為 你 說 破 自 爾 機 辯 迅 捷 諸 方 嚮 之 因 
X87n1620_001:0182b13	至藥山。(藥山和尚。石頭法嗣)藥山問曰。一乘中還著得這箇事	至 藥 山 藥 山 和 尚 石 頭 法 嗣 藥 山 問 曰 一 乘 中 還 著 得 這 箇 事 
X87n1620_001:0182b14	麼。居士曰。某甲祇管日求升合。不知還著得麼。藥山	麼 居 士 曰 某 甲 祇 管 日 求 升 合 不 知 還 著 得 麼 藥 山 
X87n1620_001:0182b15	曰。道居士不見石頭得麼。居士曰。拈一放一。未為好	曰 道 居 士 不 見 石 頭 得 麼 居 士 曰 拈 一 放 一 未 為 好 
X87n1620_001:0182b16	手。藥山曰。老僧住持事繁。居士珍重便出。藥山曰。拈	手 藥 山 曰 老 僧 住 持 事 繁 居 士 珍 重 便 出 藥 山 曰 拈 
X87n1620_001:0182b17	一放一的是好手。居士曰。好箇一乘問宗。今日失却	一 放 一 的 是 好 手 居 士 曰 好 箇 一 乘 問 宗 今 日 失 却 
X87n1620_001:0182b18	也。藥山曰。是是。因辭藥山。藥山命十禪客。相送至門	也 藥 山 曰 是 是 因 辭 藥 山 藥 山 命 十 禪 客 相 送 至 門 
X87n1620_001:0182b19	首。居士乃指空中雪曰。好雪片片不落別處。有全禪	首 居 士 乃 指 空 中 雪 曰 好 雪 片 片 不 落 別 處 有 全 禪 
X87n1620_001:0182b20	客曰。落在甚處。居士遂與一掌。全曰。也不得草草。居	客 曰 落 在 甚 處 居 士 遂 與 一 掌 全 曰 也 不 得 草 草 居 
X87n1620_001:0182b21	士曰。恁麼稱禪客。閻羅老子未放你在。全曰。居士作	士 曰 恁 麼 稱 禪 客 閻 羅 老 子 未 放 你 在 全 曰 居 士 作 
X87n1620_001:0182b22	麼生。居士又掌曰。眼見如盲。口說如啞。丹霞和尚。(法嗣	麼 生 居 士 又 掌 曰 眼 見 如 盲 口 說 如 啞 丹 霞 和 尚 法 嗣 
X87n1620_001:0182b23	石頭)一日來訪居士。見女子靈照洗菜次。霞問。居士在	石 頭 一 日 來 訪 居 士 見 女 子 靈 照 洗 菜 次 霞 問 居 士 在 
X87n1620_001:0182b24	否。靈照放下菜籃。斂手而立。霞又問。居士在否。靈照	否 靈 照 放 下 菜 籃 斂 手 而 立 霞 又 問 居 士 在 否 靈 照 
X87n1620_001:0182c01	提籃便行。歸舉似居士。居士曰。赤土搽牛嬭。丹霞乃	提 籃 便 行 歸 舉 似 居 士 居 士 曰 赤 土 搽 牛 嬭 丹 霞 乃 
X87n1620_001:0182c02	隨後入見居士。居士見來。不起亦不言。霞乃竪起拂	隨 後 入 見 居 士 居 士 見 來 不 起 亦 不 言 霞 乃 竪 起 拂 
X87n1620_001:0182c03	子。居士竪起槌子。霞曰。祇恁麼。更別有。居士曰。這回	子 居 士 竪 起 槌 子 霞 曰 祇 恁 麼 更 別 有 居 士 曰 這 回 
X87n1620_001:0182c04	見師不似於前。霞曰。不妨減人聲價。居士曰。比來折	見 師 不 似 於 前 霞 曰 不 妨 減 人 聲 價 居 士 曰 比 來 折 
X87n1620_001:0182c05	你一下。霞曰。恁麼則瘂却天然口也。居士曰。你瘂由	你 一 下 霞 曰 恁 麼 則 瘂 却 天 然 口 也 居 士 曰 你 瘂 由 
X87n1620_001:0182c06	本分。累我亦瘂。霞便擲下拂子而去。居士召曰。然闍	本 分 累 我 亦 瘂 霞 便 擲 下 拂 子 而 去 居 士 召 曰 然 闍 
X87n1620_001:0182c07	棃。然闍棃。霞不顧。居士曰。不惟患瘂。兼更患聾。丹霞	棃 然 闍 棃 霞 不 顧 居 士 曰 不 惟 患 瘂 兼 更 患 聾 丹 霞 
X87n1620_001:0182c08	一日訪居士曰。昨日相見。何似今日。居士曰。如法舉	一 日 訪 居 士 曰 昨 日 相 見 何 似 今 日 居 士 曰 如 法 舉 
X87n1620_001:0182c09	昨日事來。作箇宗眼。霞曰。祇如宗眼。還著得龐公麼。	昨 日 事 來 作 箇 宗 眼 霞 曰 祇 如 宗 眼 還 著 得 龐 公 麼 
X87n1620_001:0182c10	居士曰。我在你眼裏。霞曰。某甲眼窄。何處安身。居士	居 士 曰 我 在 你 眼 裏 霞 曰 某 甲 眼 窄 何 處 安 身 居 士 
X87n1620_001:0182c11	曰。是眼何窄。是身何安。霞休去。居士曰。更道取一句。	曰 是 眼 何 窄 是 身 何 安 霞 休 去 居 士 曰 更 道 取 一 句 
X87n1620_001:0182c12	便得此話圓。霞亦不對。居士曰。就中這一句。無人道	便 得 此 話 圓 霞 亦 不 對 居 士 曰 就 中 這 一 句 無 人 道 
X87n1620_001:0182c13	得。一日居士向丹霞前。叉手立。少時即出去。霞不顧。	得 一 日 居 士 向 丹 霞 前 叉 手 立 少 時 即 出 去 霞 不 顧 
X87n1620_001:0182c14	居士却來坐。霞却向居士前。叉手立。少時便入方丈。	居 士 却 來 坐 霞 却 向 居 士 前 叉 手 立 少 時 便 入 方 丈 
X87n1620_001:0182c15	居士曰。汝入我出。未有事在。霞曰。這老翁出出入入。	居 士 曰 汝 入 我 出 未 有 事 在 霞 曰 這 老 翁 出 出 入 入 
X87n1620_001:0182c16	有甚了期。居士曰。却無些子慈悲心。霞曰。引得這漢。	有 甚 了 期 居 士 曰 却 無 些 子 慈 悲 心 霞 曰 引 得 這 漢 
X87n1620_001:0182c17	到這田地。居士曰。把甚麼引。霞廼拈起居士幞頭曰。	到 這 田 地 居 士 曰 把 甚 麼 引 霞 廼 拈 起 居 士 幞 頭 曰 
X87n1620_001:0182c18	却似一箇老師僧。居士却將幞頭安霞頭上曰。一似	却 似 一 箇 老 師 僧 居 士 却 將 幞 頭 安 霞 頭 上 曰 一 似 
X87n1620_001:0182c19	箇少年俗人。霞應喏三聲。居士曰。猶有昔時氣息在。	箇 少 年 俗 人 霞 應 喏 三 聲 居 士 曰 猶 有 昔 時 氣 息 在 
X87n1620_001:0182c20	霞乃拋下幞頭曰。大似一箇烏紗巾。居士廼應喏三	霞 乃 拋 下 幞 頭 曰 大 似 一 箇 烏 紗 巾 居 士 廼 應 喏 三 
X87n1620_001:0182c21	聲。霞曰。昔時氣息爭忘得。居士彈指三下曰。動天動	聲 霞 曰 昔 時 氣 息 爭 忘 得 居 士 彈 指 三 下 曰 動 天 動 
X87n1620_001:0182c22	地。一日丹霞見居士來。便作走勢。居士曰。猶是拋身	地 一 日 丹 霞 見 居 士 來 便 作 走 勢 居 士 曰 猶 是 拋 身 
X87n1620_001:0182c23	勢。怎生是嚬呻勢。霞便坐。居士乃向前。以拄杖畫地	勢 怎 生 是 嚬 呻 勢 霞 便 坐 居 士 乃 向 前 以 拄 杖 畫 地 
X87n1620_001:0182c24	作七字。霞於下面。書箇一字。居士曰。因七見一。見一	作 七 字 霞 於 下 面 書 箇 一 字 居 士 曰 因 七 見 一 見 一 
X87n1620_001:0183a01	忘七。霞曰。這裏著語。居士乃哭三聲而去。一日居士	忘 七 霞 曰 這 裏 著 語 居 士 乃 哭 三 聲 而 去 一 日 居 士 
X87n1620_001:0183a02	與丹霞出行。見江水澄碧。居士指水曰。得恁麼也。還	與 丹 霞 出 行 見 江 水 澄 碧 居 士 指 水 曰 得 恁 麼 也 還 
X87n1620_001:0183a03	辨不出。霞曰。的箇辨不出。居士以手戽水潑霞三遍。	辨 不 出 霞 曰 的 箇 辨 不 出 居 士 以 手 戽 水 潑 霞 三 遍 
X87n1620_001:0183a04	霞曰。莫恁麼。莫恁麼。却以水潑居士。居士曰。當恁麼	霞 曰 莫 恁 麼 莫 恁 麼 却 以 水 潑 居 士 居 士 曰 當 恁 麼 
X87n1620_001:0183a05	時。堪作箇甚麼。霞曰。無物外。居士曰。得便宜人少。得	時 堪 作 箇 甚 麼 霞 曰 無 物 外 居 士 曰 得 便 宜 人 少 得 
X87n1620_001:0183a06	便宜人少。霞無對。居士曰。誰不落便宜。又一日訪居	便 宜 人 少 霞 無 對 居 士 曰 誰 不 落 便 宜 又 一 日 訪 居 
X87n1620_001:0183a07	士。至門首相見。乃問居士在不。居士曰。饑不擇食。丹	士 至 門 首 相 見 乃 問 居 士 在 不 居 士 曰 饑 不 擇 食 丹 
X87n1620_001:0183a08	霞曰。龐老在否。居士曰。蒼天蒼天。便入宅去。丹霞曰。	霞 曰 龐 老 在 否 居 士 曰 蒼 天 蒼 天 便 入 宅 去 丹 霞 曰 
X87n1620_001:0183a09	蒼天蒼天。便回。居士一日訪長髭和尚。(法嗣石頭)師陞座。	蒼 天 蒼 天 便 回 居 士 一 日 訪 長 髭 和 尚 法 嗣 石 頭 師 陞 座 
X87n1620_001:0183a10	眾集定。居士出曰。各請自撿好。却於禪牀右立。時有	眾 集 定 居 士 出 曰 各 請 自 撿 好 却 於 禪 牀 右 立 時 有 
X87n1620_001:0183a11	僧問。不觸主人翁。請師答話。長髭曰。識龐公麼。曰不	僧 問 不 觸 主 人 翁 請 師 答 話 長 髭 曰 識 龐 公 麼 曰 不 
X87n1620_001:0183a12	識。居士便搊住曰。苦哉苦哉。僧無對。居士便拓開。師	識 居 士 便 搊 住 曰 苦 哉 苦 哉 僧 無 對 居 士 便 拓 開 師 
X87n1620_001:0183a13	少間却問。適來這僧。還喫棒否。居士曰。待伊甘始得。	少 間 却 問 適 來 這 僧 還 喫 棒 否 居 士 曰 待 伊 甘 始 得 
X87n1620_001:0183a14	長髭曰。居士祇見錐頭利。不見鑿頭方。居士曰。恁麼	長 髭 曰 居 士 祇 見 錐 頭 利 不 見 鑿 頭 方 居 士 曰 恁 麼 
X87n1620_001:0183a15	說話。某甲即得。外人聞之。要且不好。長髭曰。不好箇	說 話 某 甲 即 得 外 人 聞 之 要 且 不 好 長 髭 曰 不 好 箇 
X87n1620_001:0183a16	甚麼。居士曰。阿師祇見錐頭尖。不見鑿頭利。(應菴華云。風行	甚 麼 居 士 曰 阿 師 祇 見 錐 頭 尖 不 見 鑿 頭 利 應 菴 華 云 風 行 
X87n1620_001:0183a17	草偃。水到渠成。覿面提持。斬釘截鐵。龐居士打開無盡寶藏。運出自己家珍。要且只解自家富貴。安能富貴別	草 偃 水 到 渠 成 覿 面 提 持 斬 釘 截 鐵 龐 居 士 打 開 無 盡 寶 藏 運 出 自 己 家 珍 要 且 只 解 自 家 富 貴 安 能 富 貴 別 
X87n1620_001:0183a18	人。長髭久經陣敵。慣戴作家。至險至危處。愈見八面玲瓏。歸宗大眾集定。其間設有一個半個。善能自撿。便與	人 長 髭 久 經 陣 敵 慣 戴 作 家 至 險 至 危 處 愈 見 八 面 玲 瓏 歸 宗 大 眾 集 定 其 間 設 有 一 個 半 個 善 能 自 撿 便 與 
X87n1620_001:0183a19	趕出。何故。家無白澤之圖。豈有如是妖恠)大同普濟和尚。(法嗣石頭)一日問居	趕 出 何 故 家 無 白 澤 之 圖 豈 有 如 是 妖 恠 大 同 普 濟 和 尚 法 嗣 石 頭 一 日 問 居 
X87n1620_001:0183a20	士曰。是箇言語。今古少人避得唇舌。只如翁避得麼。	士 曰 是 箇 言 語 今 古 少 人 避 得 唇 舌 只 如 翁 避 得 麼 
X87n1620_001:0183a21	居士應喏。普濟再舉前話。居士曰。甚麼處去來。普濟	居 士 應 喏 普 濟 再 舉 前 話 居 士 曰 甚 麼 處 去 來 普 濟 
X87n1620_001:0183a22	又舉前話。居士曰。什麼處去來。普濟曰。非但如今。古	又 舉 前 話 居 士 曰 什 麼 處 去 來 普 濟 曰 非 但 如 今 古 
X87n1620_001:0183a23	人亦有此語句。居士作舞而去。普濟曰。這風顛漢。自	人 亦 有 此 語 句 居 士 作 舞 而 去 普 濟 曰 這 風 顛 漢 自 
X87n1620_001:0183a24	過教誰點撿。一日普濟訪居士。居士曰。憶在母胎時。	過 教 誰 點 撿 一 日 普 濟 訪 居 士 居 士 曰 憶 在 母 胎 時 
X87n1620_001:0183b01	有一則語。舉似阿師。不得作道理主持。普濟曰。猶是	有 一 則 語 舉 似 阿 師 不 得 作 道 理 主 持 普 濟 曰 猶 是 
X87n1620_001:0183b02	隔生也。居士曰。向道不得作道理。普濟曰。驚人之句。	隔 生 也 居 士 曰 向 道 不 得 作 道 理 普 濟 曰 驚 人 之 句 
X87n1620_001:0183b03	爭得不怕。居士曰。如師見解。可謂驚人。普濟曰。不作	爭 得 不 怕 居 士 曰 如 師 見 解 可 謂 驚 人 普 濟 曰 不 作 
X87n1620_001:0183b04	道理。却成道理。居士曰。不但隔一生兩生。普濟曰。粥	道 理 却 成 道 理 居 士 曰 不 但 隔 一 生 兩 生 普 濟 曰 粥 
X87n1620_001:0183b05	飯底僧。一任撿責。居士鳴指三下。普濟一日見居士	飯 底 僧 一 任 撿 責 居 士 鳴 指 三 下 普 濟 一 日 見 居 士 
X87n1620_001:0183b06	來。便掩却門曰。多知老翁。莫與相見。居士曰。獨坐獨	來 便 掩 却 門 曰 多 知 老 翁 莫 與 相 見 居 士 曰 獨 坐 獨 
X87n1620_001:0183b07	語。過在阿誰。普濟乃開門。居士把住曰。是師多知。是	語 過 在 阿 誰 普 濟 乃 開 門 居 士 把 住 曰 是 師 多 知 是 
X87n1620_001:0183b08	我多知。普濟曰。多知且置。閉門與開門。卷舒爭幾許。	我 多 知 普 濟 曰 多 知 且 置 閉 門 與 開 門 卷 舒 爭 幾 許 
X87n1620_001:0183b09	居士曰。祇此一問。氣急殺人。普濟默然。居士曰。弄巧	居 士 曰 祇 此 一 問 氣 急 殺 人 普 濟 默 然 居 士 曰 弄 巧 
X87n1620_001:0183b10	成拙。一日見普濟。居士拈起手中笊籬曰。大同師。大	成 拙 一 日 見 普 濟 居 士 拈 起 手 中 笊 籬 曰 大 同 師 大 
X87n1620_001:0183b11	同師。普濟不應。居士曰。石頭一宗。到師處氷消瓦解。	同 師 普 濟 不 應 居 士 曰 石 頭 一 宗 到 師 處 氷 消 瓦 解 
X87n1620_001:0183b12	普濟曰。不得龐翁舉灼然如此。居士拋下笊籬曰。寧	普 濟 曰 不 得 龐 翁 舉 灼 然 如 此 居 士 拋 下 笊 籬 曰 寧 
X87n1620_001:0183b13	知不直一文錢。普濟曰。雖不直一文錢。欠他又爭得。	知 不 直 一 文 錢 普 濟 曰 雖 不 直 一 文 錢 欠 他 又 爭 得 
X87n1620_001:0183b14	居士作舞而去。普濟提起笊籬曰。居士。居士回首。普	居 士 作 舞 而 去 普 濟 提 起 笊 籬 曰 居 士 居 士 回 首 普 
X87n1620_001:0183b15	濟作舞而去。居士撫掌曰。歸去來。歸去來。大梅和尚。	濟 作 舞 而 去 居 士 撫 掌 曰 歸 去 來 歸 去 來 大 梅 和 尚 
X87n1620_001:0183b16	(法嗣馬祖)居士聞之。欲驗師實。特去相訪。纔相見。居士便	 法 嗣 馬 祖 居 士 聞 之 欲 驗 師 實 特 去 相 訪 纔 相 見 居 士 便 
