X88n1649_001:0322a06	 法喜志序	 法 喜 志 序 
X88n1649_001:0324c10	戴道純楊　圭李端愿高世則	戴 道 純 楊 圭 李 端 愿 高 世 則 
X88n1649_001:0324c11	趙松雪黃晉卿顧仲英楊鐵崖	趙 松 雪 黃 晉 卿 顧 仲 英 楊 鐵 崖 
X88n1649_001:0324c13	法喜志目錄(終)	法 喜 志 目 錄 終 
X88n1649_001:0324c19	法喜志卷一	法 喜 志 卷 一 
X88n1649_001:0324c21	氷蓮道人　夏樹芳　輯	氷 蓮 道 人 夏 樹 芳 輯 
X88n1649_001:0324c22	窹斗居士　馮　定　閱	窹 斗 居 士 馮 定 閱 
X88n1649_001:0324c23	東方曼倩	東 方 曼 倩 
X88n1649_001:0324c24	東方朔。字曼倩。平原厭次人。武帝朝上書稱旨。待詔	東 方 朔 字 曼 倩 平 原 厭 次 人 武 帝 朝 上 書 稱 旨 待 詔 
X88n1649_001:0325a01	金馬門。時有正諫法言以為滑稽之雄。元狩三年。帝	金 馬 門 時 有 正 諫 法 言 以 為 滑 稽 之 雄 元 狩 三 年 帝 
X88n1649_001:0325a02	鑿昆明池得黑灰。以問方朔。朔曰。可問西域胡道人。	鑿 昆 明 池 得 黑 灰 以 問 方 朔 朔 曰 可 問 西 域 胡 道 人 
X88n1649_001:0325a03	時梵僧摩騰至。因問之。騰曰。此劫灰也。	時 梵 僧 摩 騰 至 因 問 之 騰 曰 此 劫 灰 也 
X88n1649_001:0325a04	劉更生	劉 更 生 
X88n1649_001:0325a05	劉向。字子政。一名更生。年十二。隨父任為輦郎。獻賦	劉 向 字 子 政 一 名 更 生 年 十 二 隨 父 任 為 輦 郎 獻 賦 
X88n1649_001:0325a06	頌數十篇。成帝時為光祿大夫。以趙后淫亂著列女	頌 數 十 篇 成 帝 時 為 光 祿 大 夫 以 趙 后 淫 亂 著 列 女 
X88n1649_001:0325a07	傳。以王氏權太盛作洪範五行傳。上欲用為九卿。數	傳 以 王 氏 權 太 盛 作 洪 範 五 行 傳 上 欲 用 為 九 卿 數 
X88n1649_001:0325a08	為王氏所持。居列大夫三十餘年。向甞校書天祿閣。	為 王 氏 所 持 居 列 大 夫 三 十 餘 年 向 甞 校 書 天 祿 閣 
X88n1649_001:0325a09	青藜夜照。往往多見佛書。其著列仙傳云。吾披檢藏	青 藜 夜 照 往 往 多 見 佛 書 其 著 列 仙 傳 云 吾 披 檢 藏 
X88n1649_001:0325a10	經。緬尋太史撰列仙圖。自黃帝以下迄于今。得仙道	經 緬 尋 太 史 撰 列 仙 圖 自 黃 帝 以 下 迄 于 今 得 仙 道 
X88n1649_001:0325a11	者一百四十九人。其七十四人乃見佛經。	者 一 百 四 十 九 人 其 七 十 四 人 乃 見 佛 經 
X88n1649_001:0325a12	曹子建	曹 子 建 
X88n1649_001:0325a13	曹植。字子建。操次子。十歲善屬文。誦詩書十餘萬言。	曹 植 字 子 建 操 次 子 十 歲 善 屬 文 誦 詩 書 十 餘 萬 言 
X88n1649_001:0325a14	邯鄲淳見而駭歎。稱為天人。植每讀佛經。留連嗟玩。	邯 鄲 淳 見 而 駭 歎 稱 為 天 人 植 每 讀 佛 經 留 連 嗟 玩 
X88n1649_001:0325a15	以為至道之宗。遊魚山。聞有聲特異。清颺哀婉。因倣	以 為 至 道 之 宗 遊 魚 山 聞 有 聲 特 異 清 颺 哀 婉 因 倣 
X88n1649_001:0325a16	其聲為梵唄。今法事中有魚山梵。即其遺奏也。植在	其 聲 為 梵 唄 今 法 事 中 有 魚 山 梵 即 其 遺 奏 也 植 在 
X88n1649_001:0325a17	日不甚信黃老。著辨道論見意。今載藏經中弘明集。	日 不 甚 信 黃 老 著 辨 道 論 見 意 今 載 藏 經 中 弘 明 集 
X88n1649_001:0325a18	羊叔子	羊 叔 子 
X88n1649_001:0325a19	羊祜。字叔子。平陽人。累遷尚書在僕射。吳陸抗甞稱	羊 祜 字 叔 子 平 陽 人 累 遷 尚 書 在 僕 射 吳 陸 抗 甞 稱 
X88n1649_001:0325a20	其德量。雖樂毅諸葛孔明不能過。祜方五歲。令乳母	其 德 量 雖 樂 毅 諸 葛 孔 明 不 能 過 祜 方 五 歲 令 乳 母 
X88n1649_001:0325a21	於鄰家李氏桑樹下探取金環。李氏驚曰。此亡兒所	於 鄰 家 李 氏 桑 樹 下 探 取 金 環 李 氏 驚 曰 此 亡 兒 所 
X88n1649_001:0325a22	失。乃知李氏子祜之前身也。武帝時祜為荊州都督。	失 乃 知 李 氏 子 祜 之 前 身 也 武 帝 時 祜 為 荊 州 都 督 
X88n1649_001:0325a23	日供武當山寺。有問其故。祜曰。前身過多。賴造此寺	日 供 武 當 山 寺 有 問 其 故 祜 曰 前 身 過 多 賴 造 此 寺 
X88n1649_001:0325a24	故獲中濟。所以供養之情偏重於此。	故 獲 中 濟 所 以 供 養 之 情 偏 重 於 此 
X88n1649_001:0325b01	王茂弘	王 茂 弘 
X88n1649_001:0325b02	王導。字茂弘。瑯琊人。官太傅。封始興公。僧人吉友游	王 導 字 茂 弘 瑯 琊 人 官 太 傅 封 始 興 公 僧 人 吉 友 游 
X88n1649_001:0325b03	建康。善說梵唄。導見之曰。我輩人也。太尉庾亮。光祿	建 康 善 說 梵 唄 導 見 之 曰 我 輩 人 也 太 尉 庾 亮 光 祿 
X88n1649_001:0325b04	周顗。廷尉桓彝。皆造門結納。名籍公卿間。吉友甞對	周 顗 廷 尉 桓 彝 皆 造 門 結 納 名 籍 公 卿 間 吉 友 甞 對 
X88n1649_001:0325b05	導解帶盤薄。尚書卞望之適至。友正容肅然。人問其	導 解 帶 盤 薄 尚 書 卞 望 之 適 至 友 正 容 肅 然 人 問 其 
X88n1649_001:0325b06	故。對曰。王公風期鑑人。卞令範度格物。吾吾當以是	故 對 曰 王 公 風 期 鑑 人 卞 令 範 度 格 物 吾 吾 當 以 是 
X88n1649_001:0325b07	應之耳。	應 之 耳 
X88n1649_001:0325b08	劉真常	劉 真 常 
X88n1649_001:0325b09	劉惔。字真常。沛人。少清遠。家貧晏如。王導深器之。累	劉 惔 字 真 常 沛 人 少 清 遠 家 貧 晏 如 王 導 深 器 之 累 
X88n1649_001:0325b10	遷丹陽尹。時竺法深道徽高扇。譽播山東。惔常為其	遷 丹 陽 尹 時 竺 法 深 道 徽 高 扇 譽 播 山 東 惔 常 為 其 
X88n1649_001:0325b11	弟子。一日法深在簡文坐。惔問道人何以遊朱門。深	弟 子 一 日 法 深 在 簡 文 坐 惔 問 道 人 何 以 遊 朱 門 深 
X88n1649_001:0325b12	曰。君自見其朱門。貧道如遊蓬戶。	曰 君 自 見 其 朱 門 貧 道 如 遊 蓬 戶 
X88n1649_001:0325b13	陶士行	陶 士 行 
X88n1649_001:0325b14	陶侃。字士行。鄱陽人。初為廣州刺史。有漁於海得文	陶 侃 字 士 行 鄱 陽 人 初 為 廣 州 刺 史 有 漁 於 海 得 文 
X88n1649_001:0325b15	殊像。送寒溪寺。寺甞經火而像屋無恙。其後侃武昌。	殊 像 送 寒 溪 寺 寺 甞 經 火 而 像 屋 無 恙 其 後 侃 武 昌 
X88n1649_001:0325b16	使人迎之。十輩不能舉。既而叢力致之舟。舟輒沒。遂	使 人 迎 之 十 輩 不 能 舉 既 而 叢 力 致 之 舟 舟 輒 沒 遂 
X88n1649_001:0325b17	失其像。時謠曰。侃惟劍雄。像以神標。可以誠致。難以	失 其 像 時 謠 曰 侃 惟 劍 雄 像 以 神 標 可 以 誠 致 難 以 
X88n1649_001:0325b18	力招。及遠公剏寺。心祈之。於是像泠然自至。	力 招 及 遠 公 剏 寺 心 祈 之 於 是 像 泠 然 自 至 
X88n1649_001:0325b19	謝安石	謝 安 石 
X88n1649_001:0325b20	謝安。字安石。陽夏人。少有時名。朝命敦逼皆不就。年	謝 安 字 安 石 陽 夏 人 少 有 時 名 朝 命 敦 逼 皆 不 就 年 
X88n1649_001:0325b21	四十餘始應命。出為征西司馬。太元中加太保。居東	四 十 餘 始 應 命 出 為 征 西 司 馬 太 元 中 加 太 保 居 東 
X88n1649_001:0325b22	山。時與支遁許詢為山水之游。甞詔遁入禁中。講經	山 時 與 支 遁 許 詢 為 山 水 之 游 甞 詔 遁 入 禁 中 講 經 
X88n1649_001:0325b23	多會宗遺文。為守文者所[怡台+(陋(阿可))]。安聞而歎曰。此九方[(栗木+土)*ㄆ]	多 會 宗 遺 文 為 守 文 者 所 [怡台陋阿可]安聞而歎曰此九方[栗木土ㄆ] 
X88n1649_001:0325b24	之相馬。略玄黃而取神駿也。太和二年。遁辭闕還山。	之 相 馬 略 玄 黃 而 取 神 駿 也 太 和 二 年 遁 辭 闕 還 山 
X88n1649_001:0325c01	詔建沃州寺以居之。時安守吳興。以書抵遁曰。思君	詔 建 沃 州 寺 以 居 之 時 安 守 吳 興 以 書 抵 遁 曰 思 君 
X88n1649_001:0325c02	積日。計辰傾馳尤甚。知欲還剡自治。為之愴然。人生	積 日 計 辰 傾 馳 尤 甚 知 欲 還 剡 自 治 為 之 愴 然 人 生 
X88n1649_001:0325c03	如寄耳。頃風流得意之事。殆為都盡。終日戚戚。惟遲	如 寄 耳 頃 風 流 得 意 之 事 殆 為 都 盡 終 日 戚 戚 惟 遲 
X88n1649_001:0325c04	君一來。以晤言消之。一日千載也。	君 一 來 以 晤 言 消 之 一 日 千 載 也 
X88n1649_001:0325c05	王右軍	王 右 軍 
X88n1649_001:0325c06	王羲之。字逸少。導從子。以骨鯁稱。起家秘書郎。後為	王 羲 之 字 逸 少 導 從 子 以 骨 鯁 稱 起 家 秘 書 郎 後 為 
X88n1649_001:0325c07	右軍將軍會稽內史。咸康六年於廬山建歸宗寺。請	右 軍 將 軍 會 稽 內 史 咸 康 六 年 於 廬 山 建 歸 宗 寺 請 
X88n1649_001:0325c08	西天達磨多羅居之。羲之在會稽。聞支遁名未之信。	西 天 達 磨 多 羅 居 之 羲 之 在 會 稽 聞 支 遁 名 未 之 信 
X88n1649_001:0325c09	後遁還剡。羲之詣遁觀其風力。謂曰逍遙可得聞乎。	後 遁 還 剡 羲 之 詣 遁 觀 其 風 力 謂 曰 逍 遙 可 得 聞 乎 
X88n1649_001:0325c10	遁作數千言。羲之遂披襟解帶留連不能已。	遁 作 數 千 言 羲 之 遂 披 襟 解 帶 留 連 不 能 已 
X88n1649_001:0325c11	王武岡	王 武 岡 
X88n1649_001:0325c12	王謐。字雅遠。官司徒。甞與遠公書曰。身年四十而衰	王 謐 字 雅 遠 官 司 徒 甞 與 遠 公 書 曰 身 年 四 十 而 衰 
X88n1649_001:0325c13	同耳順。遠答曰。古人不愛尺璧而重寸陰。觀其所存。	同 耳 順 遠 答 曰 古 人 不 愛 尺 璧 而 重 寸 陰 觀 其 所 存 
X88n1649_001:0325c14	似不在長年耳。檀越既履順而游性。乘佛理以御心。	似 不 在 長 年 耳 檀 越 既 履 順 而 游 性 乘 佛 理 以 御 心 
X88n1649_001:0325c15	由此而推。復何羨於遐齡耶。人皆稱公善誘。	由 此 而 推 復 何 羨 於 遐 齡 耶 人 皆 稱 公 善 誘 
X88n1649_001:0325c16	郗嘉賓	郗 嘉 賓 
X88n1649_001:0325c17	郗超。字嘉賓。山陽人。少有曠世之度。標志慕佛。加好	郗 超 字 嘉 賓 山 陽 人 少 有 曠 世 之 度 標 志 慕 佛 加 好 
X88n1649_001:0325c18	行檀。喜隱遯。聞拂衣者必為起屋具器用遺之。支道	行 檀 喜 隱 遯 聞 拂 衣 者 必 為 起 屋 具 器 用 遺 之 支 道 
X88n1649_001:0325c19	林每謂其造微之功足參正始。甚重之。為桓溫府掾。	林 每 謂 其 造 微 之 功 足 參 正 始 甚 重 之 為 桓 溫 府 掾 
X88n1649_001:0325c20	超問謝安曰。支遁所談何如嵆中散。安曰。嵆努力纔	超 問 謝 安 曰 支 遁 所 談 何 如 嵆 中 散 安 曰 嵆 努 力 纔 
X88n1649_001:0325c21	得其半耳。又問何如殷浩。安曰。亹亹辨論。恐當抗衡	得 其 半 耳 又 問 何 如 殷 浩 安 曰 亹 亹 辨 論 恐 當 抗 衡 
X88n1649_001:0325c22	超拔淵源。殷有慚德。後與親舊書云。支公神理所通。	超 拔 淵 源 殷 有 慚 德 後 與 親 舊 書 云 支 公 神 理 所 通 
X88n1649_001:0325c23	玄挺獨悟。數百年來紹隆大法。令真理不絕。一人而	玄 挺 獨 悟 數 百 年 來 紹 隆 大 法 令 真 理 不 絕 一 人 而 
X88n1649_001:0325c24	已。超甞著五戒文。已行五戒。更修歲月齋戒。迎中而	已 超 甞 著 五 戒 文 已 行 五 戒 更 修 歲 月 齋 戒 迎 中 而 
X88n1649_001:0326a01	食。既中之後。美味甘香一不得甞。	食 既 中 之 後 美 味 甘 香 一 不 得 甞 
X88n1649_001:0326a02	王喬之	王 喬 之 
X88n1649_001:0326a03	王喬之。瑯琊人。有念佛三昧詩曰。妙用在茲。涉有覽	王 喬 之 瑯 琊 人 有 念佛三昧 詩 曰 妙 用 在 茲 涉 有 覽 
X88n1649_001:0326a04	無。神由昧徹。識以照麤。精微自引。因功本虗。泯彼三	無 神 由 昧 徹 識 以 照 麤 精 微 自 引 因 功 本 虗 泯 彼 三 
X88n1649_001:0326a05	觀。思轉豪餘。又曰。嘅自一生。夙之慧識。託崇淵人。庶	觀 思 轉 豪 餘 又 曰 嘅 自 一 生 夙 之 慧 識 託 崇 淵 人 庶 
X88n1649_001:0326a06	藉冥力。思轉豪功。在深不測。至哉之念。注心西極。	藉 冥 力 思 轉 豪 功 在 深 不 測 至 哉 之 念 注 心 西 極 
X88n1649_001:0326a07	殷中軍	殷 中 軍 
X88n1649_001:0326a08	殷浩。字深源。以佛經未了。遣人迓支公。支欲往。右軍	殷 浩 字 深 源 以 佛 經 未 了 遣 人 迓 支 公 支 欲 往 右 軍 
X88n1649_001:0326a09	曰。淵源思致淵富。故未易當。	曰 淵 源 思 致 淵 富 故 未 易 當 
X88n1649_001:0326a10	袁彥伯	袁 彥 伯 
X88n1649_001:0326a11	袁宏。字彥伯。陽夏人。自少有逸才。謝安輩甚重之。累	袁 宏 字 彥 伯 陽 夏 人 自 少 有 逸 才 謝 安 輩 甚 重 之 累 
X88n1649_001:0326a12	官至東陽郡太守。所著詠史詩及東征等賦。為時盛	官 至 東 陽 郡 太 守 所 著 詠 史 詩 及 東 征 等 賦 為 時 盛 
X88n1649_001:0326a13	傳。甞著漢紀云。西域天竺有佛道焉。變化無所不入。	傳 甞 著 漢 紀 云 西 域 天 竺 有 佛 道 焉 變 化 無 所 不 入 
X88n1649_001:0326a14	故能通萬物而大濟群生。漢明帝感夢。乃遣使天竺	故 能 通 萬 物 而 大 濟 群 生 漢 明 帝 感 夢 乃 遣 使 天 竺 
X88n1649_001:0326a15	問道。圖其像而還。有經數千卷。善為宏闊勝大之言。	問 道 圖 其 像 而 還 有 經 數 千 卷 善 為 宏 闊 勝 大 之 言 
X88n1649_001:0326a16	所求在一體之內。所明在視聽之外。俗士目之以為	所 求 在 一 體 之 內 所 明 在 視 聽 之 外 俗 士 目 之 以 為 
X88n1649_001:0326a17	虗誕。然歸於玄微深遠。難得而測。故王公大臣視生	虗 誕 然 歸 於 玄 微 深 遠 難 得 而 測 故 王 公 大 臣 視 生 
X88n1649_001:0326a18	死報應之際。莫不矍然而自失焉。	死 報 應 之 際 莫 不 矍 然 而 自 失 焉 
X88n1649_001:0326a19	王坦之	王 坦 之 
X88n1649_001:0326a20	王坦之。字文度。晉陽人。寧康中遷中書令。領丹陽尹。	王 坦 之 字 文 度 晉 陽 人 寧 康 中 遷 中 書 令 領 丹 陽 尹 
X88n1649_001:0326a21	時桓溫移晉祚。坦之與謝安同心匡輔。卒安社稷。與	時 桓 溫 移 晉 祚 坦 之 與 謝 安 同 心 匡 輔 卒 安 社 稷 與 
X88n1649_001:0326a22	支道林相友善。道林甞造即色論曰。色之性也。不自	支 道 林 相 友 善 道 林 甞 造 即 色 論 曰 色 之 性 也 不 自 
X88n1649_001:0326a23	有色。色不自有。雖色而空。故曰色即為空。色復異空。	有 色 色 不 自 有 雖 色 而 空 故 曰 色 即 為 空 色 復 異 空 
X88n1649_001:0326a24	論成以示坦之。坦之都無言。支曰默而識之乎。曰既	論 成 以 示 坦 之 坦 之 都 無 言 支 曰 默 而 識 之 乎 曰 既 
X88n1649_001:0326b01	無文殊。誰能見賞。	無 文 殊 誰 能 見 賞 
X88n1649_001:0326b02	何次道	何 次 道 
X88n1649_001:0326b03	何充。字次道。廬江潛人。風韻閑雅。少以文義見稱。王	何 充 字 次 道 廬 江 潛 人 風 韻 閑 雅 少 以 文 義 見 稱 王 
X88n1649_001:0326b04	導與庾亮竝言於成帝曰。何充器局方槩有萬夫之	導 與 庾 亮 竝 言 於 成 帝 曰 何 充 器 局 方 槩 有 萬 夫 之 
X88n1649_001:0326b05	望。臣死之日願引充內侍。則社稷無虞矣。及導卒。遂	望 臣 死 之 日 願 引 充 內 侍 則 社 稷 無 虞 矣 及 導 卒 遂 
X88n1649_001:0326b06	參錄尚書事。推能用功。不樹私恩。世甚重之。充性喜	參 錄 尚 書 事 推 能 用 功 不 樹 私 恩 世 甚 重 之 充 性 喜 
X88n1649_001:0326b07	釋氏。時庾氷以元舅輔政。奏沙門應盡禮王者。充等	釋 氏 時 庾 氷 以 元 舅 輔 政 奏 沙 門 應 盡 禮 王 者 充 等 
X88n1649_001:0326b08	議不應致拜。乃上奏曰。武皇以盛明革命。明帝以聰	議 不 應 致 拜 乃 上 奏 曰 武 皇 以 盛 明 革 命 明 帝 以 聰 
X88n1649_001:0326b09	聖玄覽。豈此時沙門不易屈膝。顧以不變其修善之	聖 玄 覽 豈 此 時 沙 門 不 易 屈 膝 顧 以 不 變 其 修 善 之 
X88n1649_001:0326b10	法。所以通天下之志也。疏三上。氷議遂寢。	法 所 以 通 天 下 之 志 也 疏 三 上 氷 議 遂 寢 
X88n1649_001:0326b11	何幼則	何 幼 則 
X88n1649_001:0326b12	何準。字幼則。充之弟。高尚寡欲。州府交辟不就。初充	何 準 字 幼 則 充 之 弟 高 尚 寡 欲 州 府 交 辟 不 就 初 充 
X88n1649_001:0326b13	為驃騎將軍。勸令仕。準曰。第五之名。何減驃騎。充居	為 驃 騎 將 軍 勸 令 仕 準 曰 第 五 之 名 何 減 驃 騎 充 居 
X88n1649_001:0326b14	宰輔。權傾一時。而準散帶衡門。不及人事。惟焚香誦	宰 輔 權 傾 一 時 而 準 散 帶 衡 門 不 及 人 事 惟 焚 香 誦 
X88n1649_001:0326b15	經而已。其女為穆皇后。	經 而 已 其 女 為 穆 皇 后 
X88n1649_001:0326b16	謝仁祖	謝 仁 祖 
X88n1649_001:0326b17	謝尚。字仁祖。鯤之子。仕晉為鎮西將軍。尚甞夢其父	謝 尚 字 仁 祖 鯤 之 子 仕 晉 為 鎮 西 將 軍 尚 甞 夢 其 父 
X88n1649_001:0326b18	曰。西南有氣至。當者必死。汝宜建塔造寺可禳之。若	曰 西 南 有 氣 至 當 者 必 死 汝 宜 建 塔 造 寺 可 禳 之 若 
X88n1649_001:0326b19	未暇。可於杖頭刻作塔形。見有氣來可擬之。尚寤遂	未 暇 可 於 杖 頭 刻 作 塔 形 見 有 氣 來 可 擬 之 尚 寤 遂 
X88n1649_001:0326b20	刻小塔於杖頭。後果有異氣自天而下。直衝尚家。尚	刻 小 塔 於 杖 頭 後 果 有 異 氣 自 天 而 下 直 衝 尚 家 尚 
X88n1649_001:0326b21	以杖頭指之。氣即回散。闔門獲全。尚於永和四年捨	以 杖 頭 指 之 氣 即 回 散 闔 門 獲 全 尚 於 永 和 四 年 捨 
X88n1649_001:0326b22	宅造寺。名莊嚴。	宅 造 寺 名 莊 嚴 
X88n1649_001:0326b23	羅君章	羅 君 章 
X88n1649_001:0326b24	羅含。字君章。耒陽人。少時甞晝臥。夢一鳥文彩異常	羅 含 字 君 章 耒 陽 人 少 時 甞 晝 臥 夢 一 鳥 文 彩 異 常 
X88n1649_001:0326c01	飛入其口。自此藻思日新。仕為江夏從事。太守謝尚	飛 入 其 口 自 此 藻 思 日 新 仕 為 江 夏 從 事 太 守 謝 尚 
X88n1649_001:0326c02	曰。可謂湘中之琳瑯。讀書好佛。著更生論曰。世皆悲	曰 可 謂 湘 中 之 琳 瑯 讀 書 好 佛 著 更 生 論 曰 世 皆 悲 
X88n1649_001:0326c03	合之必離。而莫慰離之必合。皆知聚之必散。而莫識	合 之 必 離 而 莫 慰 離 之 必 合 皆 知 聚 之 必 散 而 莫 識 
X88n1649_001:0326c04	散之必聚。今談者徒云。向我非今我。而不知今我即	散 之 必 聚 今 談 者 徒 云 向 我 非 今 我 而 不 知 今 我 即 
X88n1649_001:0326c05	昔我耳。達觀者以死生為寤寐。誠哉是言。	昔 我 耳 達 觀 者 以 死 生 為 寤 寐 誠 哉 是 言 
X88n1649_001:0326c06	孫興公	孫 興 公 
X88n1649_001:0326c07	孫綽。字興公。與高陽許詢俱有高尚之志。初隱會稽。	孫 綽 字 興 公 與 高 陽 許 詢 俱 有 高 尚 之 志 初 隱 會 稽 
X88n1649_001:0326c08	放情山水。作遂初賦以見志。支道林問綽曰。君何如	放 情 山 水 作 遂 初 賦 以 見 志 支 道 林 問 綽 曰 君 何 如 
X88n1649_001:0326c09	許。答曰。高情遠志。弟子早已服膺。然一詠一吟。許將	許 答 曰 高 情 遠 志 弟 子 早 已 服 膺 然 一 詠 一 吟 許 將 
