X60n1120_001:0334a03	 序言	 序 言 
X60n1120_001:0336b16	悲咽。羅云長跪。白母莫愁。定省世尊。不久當還。與母	悲 咽 羅 云 長 跪 白 母 莫 愁 定 省 世 尊 不 久 當 還 與 母 
X60n1120_001:0336b17	相見。時淨飯王即召國中豪族而告之曰。金輪王子。	相 見 時 淨 飯 王 即 召 國 中 豪 族 而 告 之 曰 金 輪 王 子 
X60n1120_001:0336b18	今當往舍提婆國。從佛出家。卿等當各遣一子。同為	今 當 往 舍 提 婆 國 從 佛 出 家 卿 等 當 各 遣 一 子 同 為 
X60n1120_001:0336b19	伴侶。時諸大臣。奉敕送五十王子。隨從羅云。往到佛	伴 侶 時 諸 大 臣 奉 敕 送 五 十 王 子 隨 從 羅 云 往 到 佛 
X60n1120_001:0336b20	所。禮佛出家。	所 禮 佛 出 家 
X60n1120_001:0336b21	敕舍利弗為其和尚。敕大目犍連作阿闍黎。時舍利	敕 舍 利 弗 為 其 和 尚 敕 大 目 犍 連 作 阿 闍 黎 時 舍 利 
X60n1120_001:0336b22	弗受敕。乃為羅睺羅。說三歸十戒。度為沙彌。	弗 受 敕 乃 為 羅 睺 羅 說 三 歸 十 戒 度 為 沙 彌 
X60n1120_001:0336b23	【箋】梵語舍利。此云鶖子。舍利母名。弗子。連母為名也。	 箋 梵 語 舍 利 此 云 鶖 子 舍 利 母 名 弗 子 連 母 為 名 也 
X60n1120_001:0336b24	舍利弗母舅拘絺羅。與姊舍利論議不如。拘絺羅思	舍 利 弗 母 舅 拘 絺 羅 與 姊 舍 利 論 議 不 如 拘 絺 羅 思 
X60n1120_001:0336c01	惟念言。非姊力也。必懷智人寄言母口。未生乃爾。及	惟 念 言 非 姊 力 也 必 懷 智 人 寄 言 母 口 未 生 乃 爾 及 
X60n1120_001:0336c02	生長大當如之何。故出家作梵志。入南天竺。誓不剪	生 長 大 當 如 之 何 故 出 家 作 梵 志 入 南 天 竺 誓 不 剪 
X60n1120_001:0336c03	爪。讀十八種經。故稱舍利智慧第一。大目犍連。此云	爪 讀 十 八 種 經 故 稱 舍 利 智慧第一 大 目 犍 連 此 云 
X60n1120_001:0336c04	大采菽氏。神通第一。至今說戒闍黎作法。為尊佛敕	大 采 菽 氏 神通第一 至 今 說 戒 闍 黎 作 法 為 尊 佛 敕 
X60n1120_001:0336c05	故。徵。佛能為一切眾生說法。獨不與羅睺羅說戒者	故 徵 佛 能 為 一 切 眾 生 說 法 獨 不 與 羅 睺 羅 說 戒 者 
X60n1120_001:0336c06	何也。訓。佛敕舍利弗為羅睺羅說戒有三義。一。為易	何 也 訓 佛 敕 舍 利 弗 為 羅 睺 羅 說 戒 有 三 義 一 為 易 
X60n1120_001:0336c07	子而教故。二。為斷羅睺羅愛戀情故。三。為舍利弗與	子 而 教 故 二 為 斷 羅 睺 羅 愛 戀 情 故 三 為 舍 利 弗 與 
X60n1120_001:0336c08	羅睺羅機緣相契故。是時舍利弗。承佛威光說此戒	羅 睺 羅 機 緣 相 契 故 是 時 舍 利 弗 承 佛 威 光 說 此 戒 
X60n1120_001:0336c09	法。世尊雖不動舌。深為說之矣。	法 世 尊 雖 不 動 舌 深 為 說 之 矣 
X60n1120_001:0336c10	諸德福田經。沙彌應知五德。一者。發心離俗。懷佩道	諸 德 福 田 經 沙 彌 應 知 五 德 一 者 發 心 離 俗 懷 佩 道 
X60n1120_001:0336c11	故。	故 
X60n1120_001:0336c12	【箋】謂發勇猛心。解脫凡俗。習佛菩提。懷佩道妙。	 箋 謂 發 勇 猛 心 解 脫 凡 俗 習 佛 菩 提 懷 佩 道 妙 
X60n1120_001:0336c13	二者。毀其形好。應法服故。	二 者 毀 其 形 好 應 法 服 故 
X60n1120_001:0336c14	【箋】謂剃除鬚髮。毀壞相好。去世俗衣。應著法服。具佛	 箋 謂 剃除鬚髮 毀 壞 相 好 去 世 俗 衣 應 著 法 服 具 佛 
X60n1120_001:0336c15	威儀。與道相應。	威 儀 與 道 相 應 
X60n1120_001:0336c16	三者。永割親愛。無適莫故。	三 者 永 割 親 愛 無 適 莫 故 
X60n1120_001:0336c17	【箋】謂斷割情愛。不相繫戀。無有適心。歸趨異姓。和合	 箋 謂 斷 割 情 愛 不 相 繫 戀 無 有 適 心 歸 趨 異 姓 和 合 
X60n1120_001:0336c18	同居。無有莫心。	同 居 無 有 莫 心 
X60n1120_001:0336c19	四者。委棄身命。遵崇道故。	四 者 委 棄 身 命 遵 崇 道 故 
X60n1120_001:0336c20	【箋】謂能委棄身命。無所顧惜。惟務一心。求證佛道。	 箋 謂 能 委 棄 身 命 無 所 顧 惜 惟 務 一 心 求 證 佛 道 
X60n1120_001:0336c21	五者。志求大乘。為度人故。	五 者 志 求 大 乘 為 度 人 故 
X60n1120_001:0336c22	【箋】謂長懷濟物之心。專志勤求大乘之法。度脫一切	 箋 謂 長 懷 濟 物 之 心 專 志 勤 求 大 乘 之 法 度 脫 一 切 
X60n1120_001:0336c23	有情。	有 情 
X60n1120_001:0336c24	是名五德。	是 名 五 德 
X60n1120_001:0337a01	【箋】蓋出家人。具此五淨德。為世福田也。緇門警訓。此	 箋 蓋 出 家 人 具 此 五 淨 德 為 世 福 田 也 緇 門 警 訓 此 
X60n1120_001:0337a02	之五德。出家大要。五眾齊奉。不惟小眾。終身行之。不	之 五 德 出 家 大 要 五 眾 齊 奉 不 惟 小 眾 終 身 行 之 不 
X60n1120_001:0337a03	惟初受。	惟 初 受 
X60n1120_001:0337a04	僧祇律。應為沙彌說十數。一者。一切眾生。皆因飲食	僧 祇 律 應 為 沙 彌 說 十 數 一 者 一 切 眾 生 皆 因 飲 食 
X60n1120_001:0337a05	而存。	而 存 
X60n1120_001:0337a06	【箋】楞嚴。如是世界。十二類生。不能自全。依四食住。所	 箋 楞 嚴 如 是 世 界 十 二 類 生 不 能 自 全 依 四 食 住 所 
X60n1120_001:0337a07	謂段食。觸食。思食。識食。是故佛言。一切眾生皆因食	謂 段 食 觸 食 思 食 識 食 是 故 佛 言 一 切 眾 生 皆 因 食 
X60n1120_001:0337a08	住。[橘矛+隹]李釋曰。段食者。謂形段。以香味觸三塵為體。入	住 [橘矛隹] 李 釋 曰 段 食 者 謂 形 段 以 香 味 觸 三 塵 為 體 入 
X60n1120_001:0337a09	腹變壞。資益諸根故。觸食者。謂觸對。取六識中相應。	腹 變 壞 資 益 諸 根 故 觸 食 者 謂 觸 對 取 六 識 中 相 應 
X60n1120_001:0337a10	觸對前境。而生喜樂故。思食者。謂意思。取第六識相	觸 對 前 境 而 生 喜 樂 故 思 食 者 謂 意 思 取 第 六 識 相 
X60n1120_001:0337a11	應。思於可意境生希望故。識食者。識即第八執持之	應 思 於 可 意 境 生 希 望 故 識 食 者 識 即 第 八 執 持 之 
X60n1120_001:0337a12	根。由前三食。勢分所資。令此識增勝。能執持諸根六	根 由 前 三 食 勢 分 所 資 令 此 識 增 勝 能 執 持 諸 根 六 
X60n1120_001:0337a13	種故。	種 故 
X60n1120_001:0337a14	二者。二諦。	二 者 二 諦 
X60n1120_001:0337a15	【箋】翻譯名義。一真諦。彰一性本實之理也。所謂實際	 箋 翻 譯 名 義 一 真 諦 彰 一 性 本 實 之 理 也 所 謂 實 際 
X60n1120_001:0337a16	理地。不受一塵。是非雙泯。能所俱兦。指萬象為真如。	理 地 不 受 一 塵 是 非 雙 泯 能 所 俱 兦 指 萬 象 為 真 如 
X60n1120_001:0337a17	會三乘歸實際也。二俗諦。顯一性緣起之事也。所謂	會 三 乘 歸 實 際 也 二 俗 諦 顯 一 性 緣 起 之 事 也 所 謂 
X60n1120_001:0337a18	佛事門中不捨一法。勸臣以忠。勸子以孝。引善示天	佛 事 門 中 不 捨 一 法 勸 臣 以 忠 勸 子 以 孝 引 善 示 天 
X60n1120_001:0337a19	堂之樂。懲惡顯地獄之苦。	堂 之 樂 懲 惡 顯 地 獄 之 苦 
X60n1120_001:0337a20	三者。三受。	三 者 三 受 
X60n1120_001:0337a21	【箋】雜阿含經。受者。領納也。謂六根之識。領受六塵之	 箋 雜 阿 含 經 受 者 領 納 也 謂 六 根 之 識 領 受 六 塵 之 
X60n1120_001:0337a22	境。一受。謂於六塵違情之境。而有逼迫之苦。二樂受。	境 一 受 謂 於 六 塵 違 情 之 境 而 有 逼 迫 之 苦 二 樂 受 
X60n1120_001:0337a23	謂於六塵順情之境。而有適悅之樂。三不苦不樂受。	謂 於 六 塵 順 情 之 境 而 有 適 悅 之 樂 三 不苦不樂受 
X60n1120_001:0337a24	謂於六塵不違不順之境。所受非苦非樂。	謂 於 六 塵 不 違 不 順 之 境 所 受 非 苦 非 樂 
X60n1120_001:0337b01	四者。四諦。	四 者 四 諦 
X60n1120_001:0337b02	【箋】法界次第。諦以審實為義。從聞生解。必須藉教。詮	 箋 法 界 次 第 諦 以 審 實 為 義 從 聞 生 解 必 須 藉 教 詮 
X60n1120_001:0337b03	理不虗。故云審實。一。苦諦。苦以煩惱為義。一切有為	理 不 虗 故 云 審 實 一 苦 諦 苦 以 煩 惱 為 義 一 切 有 為 
X60n1120_001:0337b04	心行。常為無常患累之所逼惱。故名為惱。二。集諦。集	心 行 常 為 無 常 患 累 之 所 逼 惱 故 名 為 惱 二 集 諦 集 
X60n1120_001:0337b05	以招聚為義。若心與結業相應。未來能定招聚生死	以 招 聚 為 義 若 心 與 結 業 相 應 未 來 能 定 招 聚 生 死 
X60n1120_001:0337b06	之苦。故名為集。三。滅諦。滅以滅無為義。結業既盡。則	之 苦 故 名 為 集 三 滅 諦 滅 以 滅 無 為 義 結 業 既 盡 則 
X60n1120_001:0337b07	無生死之患累。故名為滅。四。道諦。道以能通為義。道	無 生 死 之 患 累 故 名 為 滅 四 道 諦 道 以 能 通 為 義 道 
X60n1120_001:0337b08	有二種。一。正道。實觀三十七道品三解脫門。緣理慧	有 二 種 一 正 道 實 觀 三十七道品 三解脫門 緣 理 慧 
X60n1120_001:0337b09	行。名為正道。二。助道者。得解觀中。種種諸對治法。及	行 名 為 正 道 二 助 道 者 得 解 觀 中 種 種 諸 對 治 法 及 
X60n1120_001:0337b10	諸禪定。皆是助道。此二相扶。能通涅槃。故名為道。	諸 禪 定 皆 是 助 道 此 二 相 扶 能 通 涅 槃 故 名 為 道 
X60n1120_001:0337b11	五者。五陰。	五 者 五 陰 
X60n1120_001:0337b12	【箋】大乘廣蘊論。陰。即蓋覆。亦名五蘊。蘊即積聚。一。色	 箋 大 乘 廣 蘊 論 陰 即 蓋 覆 亦 名 五 蘊 蘊 即 積 聚 一 色 
X60n1120_001:0337b13	陰。色即質礙。謂眼耳鼻舌身諸根。二。受陰。受即領納。	陰 色 即 質 礙 謂 眼 耳 鼻 舌 身 諸 根 二 受 陰 受 即 領 納 
X60n1120_001:0337b14	謂六識與六塵相應。而有六受。三。想陰。想即思想。謂	謂 六 識 與 六 塵 相 應 而 有 六 受 三 想 陰 想 即 思 想 謂 
X60n1120_001:0337b15	意識與六塵相應。而成六想。四。行陰。行即遷流造作。	意 識 與 六 塵 相 應 而 成 六 想 四 行 陰 行 即 遷 流 造 作 
X60n1120_001:0337b16	謂因意識思想諸塵。造作善惡諸行。五。識陰。識即不	謂 因 意 識 思 想 諸 塵 造 作 善 惡 諸 行 五 識 陰 識 即 不 
X60n1120_001:0337b17	別。謂以眼耳鼻舌身意六種之識。於諸塵境上照了	別 謂 以 眼 耳 鼻 舌 身 意 六 種 之 識 於 諸 塵 境 上 照 了 
X60n1120_001:0337b18	分別。此五者。皆和合集聚。覆蓋本性。故名為陰。	分 別 此 五 者 皆 和 合 集 聚 覆 蓋 本 性 故 名 為 陰 
X60n1120_001:0337b19	六者。六入。	六 者 六 入 
X60n1120_001:0337b20	【箋】法界次第。入。趣入也。謂六根為六識所依。能六塵。	 箋 法 界 次 第 入 趣 入 也 謂 六 根 為 六 識 所 依 能 六 塵 
X60n1120_001:0337b21	故名六。	故 名 六 
X60n1120_001:0337b22	七者。七覺分。	七 者 七 覺 分 
X60n1120_001:0337b23	【箋】法界次第。覺。即覺了。謂覺了所修之法。是真是偽	 箋 法 界 次 第 覺 即 覺 了 謂 覺 了 所 修 之 法 是 真 是 偽 
X60n1120_001:0337b24	也。分。即支分。謂此七種法。各有支派分齊。不相雜亂。	也 分 即 支 分 謂 此 七 種 法 各 有 支 派 分 齊 不 相 雜 亂 
X60n1120_001:0337c01	故名七覺分。亦名七覺支。擇進喜三覺分屬慧。除捨	故 名 七 覺 分 亦 名 七 覺 支 擇 進 喜 三 覺 分 屬 慧 除 捨 
X60n1120_001:0337c02	定三覺分屬定。念覺分兼屬定慧故。摩訶止觀。修此	定 三 覺 分 屬 定 念 覺 分 兼 屬 定 慧 故 摩 訶 止 觀 修 此 
X60n1120_001:0337c03	七覺。即得入道是也。一。擇法覺分。謂用智慧。觀察諸	七 覺 即 得 入 道 是 也 一 擇 法 覺 分 謂 用 智 慧 觀 察 諸 
X60n1120_001:0337c04	法之時。善能簡別真偽。而不謬取虗偽之法。二。精進	法 之 時 善 能 簡 別 真 偽 而 不 謬 取 虗 偽 之 法 二 精 進 
X60n1120_001:0337c05	覺分。謂修諸道法之時。善能覺了。不行無益苦行。而	覺 分 謂 修 諸 道 法 之 時 善 能 覺 了 不 行 無 益 苦 行 而 
X60n1120_001:0337c06	於真正法中。常能專心於一。無有間歇。三。喜覺分。於	於 真 正 法 中 常 能 專 心 於 一 無 有 間 歇 三 喜 覺 分 於 
X60n1120_001:0337c07	心契悟真法。得歡喜時。善能覺了。此喜不從顛倒法	心 契 悟 真 法 得 歡 喜 時 善 能 覺 了 此 喜 不 從 顛 倒 法 
X60n1120_001:0337c08	生。住真法喜。四。除覺分。謂斷除見諸煩惱之時。善能	生 住 真 法 喜 四 除 覺 分 謂 斷 除 見 諸 煩 惱 之 時 善 能 
X60n1120_001:0337c09	覺了。除去虗偽之法。增長真正善根。五。捨覺分。謂捨	覺 了 除 去 虗 偽 之 法 增 長 真 正 善 根 五 捨 覺 分 謂 捨 
X60n1120_001:0337c10	離所見念著之境。善能覺了。虗偽不實。永不追憶。六。	離 所 見 念 著 之 境 善 能 覺 了 虗 偽 不 實 永 不 追 憶 六 
X60n1120_001:0337c11	定覺分。謂發禪定之時。善能覺了諸禪。不生煩惱妄	定 覺 分 謂 發 禪 定 之 時 善 能 覺 了 諸 禪 不 生 煩 惱 妄 
X60n1120_001:0337c12	想。七。念覺分。謂修諸道法之時。善能覺了。常思定慧	想 七 念 覺 分 謂 修 諸 道 法 之 時 善 能 覺 了 常 思 定 慧 
X60n1120_001:0337c13	均平。若心昏沉之時。當念用擇法精進喜三覺。觀察	均 平 若 心 昏 沉 之 時 當 念 用 擇 法 精 進 喜 三 覺 觀 察 
X60n1120_001:0337c14	諸法。令不昏沉。若心浮動之時。當念用除覺分。除身	諸 法 令 不 昏 沉 若 心 浮 動 之 時 當 念 用 除 覺 分 除 身 
X60n1120_001:0337c15	口之過。非用捨覺分捨於觀智。用定覺分入正禪定。	口 之 過 非 用 捨 覺 分 捨 於 觀 智 用 定 覺 分 入 正 禪 定 
X60n1120_001:0337c16	攝其散心。令不浮動。	攝 其 散 心 令 不 浮 動 
X60n1120_001:0337c17	八者。八聖道。	八 者 八 聖 道 
X60n1120_001:0337c18	【箋】法界次第。即八正道。謂此八法。不依偏邪而行。故	 箋 法 界 次 第 即 八 正 道 謂 此 八 法 不 依 偏 邪 而 行 故 
X60n1120_001:0337c19	名為正。復能通止涅槃。故名為道。一。正見。謂修無漏	名 為 正 復 能 通 止 涅 槃 故 名 為 道 一 正 見 謂 修 無 漏 
X60n1120_001:0337c20	道。見四諦分明。破外道有無等種種邪見也。二。正思	道 見 四 諦 分 明 破 外 道 有 無 等 種 種 邪 見 也 二 正 思 
X60n1120_001:0337c21	惟。謂見四諦時。正念思惟。觀察籌量。令觀增長也。三。	惟 謂 見 四 諦 時 正念思惟 觀 察 籌 量 令 觀 增 長 也 三 
X60n1120_001:0337c22	正語。謂以無漏智慧。常攝口業。遠離一切虗妄不實	正 語 謂 以 無漏智慧 常 攝 口 業 遠 離 一 切 虗 妄 不 實 
X60n1120_001:0337c23	之語也。四。正業。謂以無漏智慧。修攝其心。住於清淨	之 語 也 四 正 業 謂 以 無漏智慧 修 攝 其 心 住 於 清 淨 
X60n1120_001:0337c24	正業。斷除一切邪妄之行也。五。正命。謂離五種邪命	正 業 斷除一切 邪 妄 之 行 也 五 正 命 謂 離 五 種 邪 命 
X60n1120_001:0338a01	利養。常以乞食。六。正精進。謂勤修戒定慧之道。一念	利 養 常 以 乞 食 六 正 精 進 謂 勤 修 戒 定 慧 之 道 一 念 
X60n1120_001:0338a02	專精。無有間歇也。七。正念。謂念戒定慧正道。及五停	專 精 無 有 間 歇 也 七 正 念 謂 念 戒 定 慧 正 道 及 五 停 
X60n1120_001:0338a03	心助道之法。堪能進至涅槃也。八。正定。謂攝諸散亂。	心 助 道 之 法 堪 能 進 至 涅 槃 也 八 正 定 謂 攝 諸 散 亂 
X60n1120_001:0338a04	身心寂靜。正住真空之理。決定不移也。	身 心 寂 靜 正 住 真 空 之 理 決 定 不 移 也 
X60n1120_001:0338a05	九者。九眾生居。	九 者 九 眾 生 居 
X60n1120_001:0338a06	【箋】阿毗曇論。謂欲界中四惡趣苦逼迫故。色界中五	 箋 阿 毗 曇 論 謂 欲 界 中 四 惡 趣 苦 逼 迫 故 色 界 中 五 
X60n1120_001:0338a07	淨居天。疾樂涅槃故。四禪中無雲福生廣果二天。其	淨 居 天 疾 樂 涅 槃 故 四 禪 中 無 雲 福 生 廣 果 二 天 其 
X60n1120_001:0338a08	亦不定。或求無色。或求淨居。或求無想。故眾生皆不	亦 不 定 或 求 無 色 或 求 淨 居 或 求 無 想 故 眾 生 皆 不 
X60n1120_001:0338a09	樂住也。惟於欲界取天人善趣為一。又色界初禪。二	樂 住 也 惟 於 欲 界 取 天 人 善 趣 為 一 又 色 界 初 禪 二 
X60n1120_001:0338a10	禪。三禪。竝四禪中無想天。乃及無色界四天。皆眾生	禪 三 禪 竝 四 禪 中 無 想 天 乃 及 無色界四天 皆 眾 生 
X60n1120_001:0338a11	愛樂住者。其為九眾生居。	愛 樂 住 者 其 為 九 眾 生 居 
X60n1120_001:0338a12	十者。十一切入。	十 者 十 一 切 入 
X60n1120_001:0338a13	【箋】一名十徧處定。智度論。八背捨。為初門。八聖處。為	 箋 一 名 十 徧 處 定 智 度 論 八 背 捨 為 初 門 八 聖 處 為 
X60n1120_001:0338a14	中行。徧一切處。為成就。謂三種觀。具足。禪體。始得成	中 行 徧一切處 為 成 就 謂 三 種 觀 具 足 禪 體 始 得 成 
X60n1120_001:0338a15	就此定。謂之徧一切處。從所觀境徧滿得名也。一。青	就 此 定 謂 之 徧一切處 從 所 觀 境 徧 滿 得 名 也 一 青 
X60n1120_001:0338a16	徧一切處定。二黃。三赤。四白。五地。六水。七火。八風。九	徧一切處 定 二 黃 三 赤 四 白 五 地 六 水 七 火 八 風 九 
X60n1120_001:0338a17	空。十識徧一切處定。前四。謂於定中還取八背捨。八	空 十 識 徧一切處 定 前 四 謂 於 定 中 還 取 八 背 捨 八 
X60n1120_001:0338a18	勝處中所見青色。使徧一切處皆青。餘三定亦爾。後	勝 處 中 所 見 青 色 使 徧一切處 皆 青 餘 三 定 亦 爾 後 
X60n1120_001:0338a19	六謂於定中還取八背捨。八勝處中所見地色。使一	六 謂 於 定 中 還 取 八 背 捨 八 勝 處 中 所 見 地 色 使 一 
