T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_002:0128b14	生觀門百千萬倍。何以得知？准《維摩經》言：『譬	生 觀 門 百 千 萬 倍 何 以 得 知 准 維 摩 經 言 譬 
T47n1966_002:0128b15	如虛空造立宮室，終不能成；地上造作隨意	如 虛 空 造 立 宮 室 終 不 能 成 地 上 造 作 隨 意 
T47n1966_002:0128b16	無礙。』無生看心亦如是。何以故？無生即是無	無 礙 無 生 看 心 亦 如 是 何 以 故 無 生 即 是 無 
T47n1966_002:0128b17	相，無相即是虛空，所以難成；念佛之法，事、理	相 無 相 即 是 虛 空 所 以 難 成 念 佛 之 法 事 理 
T47n1966_002:0128b18	雙修，猶如地上造立宮室，所以易成。如貧人	雙 修 猶 如 地 上 造 立 宮 室 所 以 易 成 如 貧 人 
T47n1966_002:0128b19	少乏財寶，學他王家造立舍宅，雖辦得少分	少 乏 財 寶 學 他 王 家 造 立 舍 宅 雖 辦 得 少 分 
T47n1966_002:0128b20	材木，從生至死終不能成。後時材木爛壞，虛	材 木 從 生 至 死 終 不 能 成 後 時 材 木 爛 壞 虛 
T47n1966_002:0128b21	費功程無有成就。無生亦爾，為功德法財不	費 功 程 無 有 成 就 無 生 亦 爾 為 功 德 法 財 不 
T47n1966_002:0128b22	得成就，枉用功夫無有成益。念佛法門則不	得 成 就 枉 用 功 夫 無 有 成 益 念 佛 法 門 則 不 
T47n1966_002:0128b23	如是，由念佛一口，滅除八十億劫生死之罪，	如 是 由 念 佛 一 口 滅 除 八 十 億 劫 生 死 之 罪 
T47n1966_002:0128b24	還得八十億劫微妙功德。如富兒造宅立便成	還 得 八 十 億 劫 微 妙 功 德 如 富 兒 造 宅 立 便 成 
T47n1966_002:0128b25	就。所以《觀經》云：『然彼如來宿願力故，有憶想	就 所 以 觀 經 云 然 彼 如 來 宿 願 力 故 有 憶 想 
T47n1966_002:0128b26	者必得成就。』不同無生。何以故？又《法華經》云：	者 必 得 成 就 不 同 無 生 何 以 故 又 法 華 經 云 
T47n1966_002:0128b27	『大通智勝佛，十劫坐道場，佛法不現前，不得	 大 通 智 勝 佛 十 劫 坐 道 場 佛 法 不 現 前 不 得 
T47n1966_002:0128b28	成佛道。』不現前者即是無生，既是十劫不得	成 佛 道 不 現 前 者 即 是 無 生 既 是 十 劫 不 得 
T47n1966_002:0128b29	成佛，故知成佛遲；如念佛，遲則七日，疾則一	成 佛 故 知 成 佛 遲 如 念 佛 遲 則 七 日 疾 則 一 
T47n1966_002:0128c01	日，速生淨土，即是八地已上菩薩。何以故？	日 速 生 淨 土 即 是 八 地 已 上 菩 薩 何 以 故 
T47n1966_002:0128c02	乘佛願力故。」問：「看心功德，多少於念佛功	乘 佛 願 力 故 問 看 心 功 德 多 少 於 念 佛 功 
T47n1966_002:0128c03	德？」答：「看心功德，少於念佛功德百千萬倍。何	德 答 看 心 功 德 少 於 念 佛 功 德 百 千 萬 倍 何 
T47n1966_002:0128c04	以知之？准《觀經》云：『念佛一口，滅八十億劫生	以 知 之 准 觀 經 云 念 佛 一 口 滅 八 十 億 劫 生 
T47n1966_002:0128c05	死之罪。』得八十億劫微妙功德。一度看心，未	死 之 罪 得 八 十 億 劫 微 妙 功 德 一 度 看 心 未 
T47n1966_002:0128c06	知滅幾許罪，得幾許功德？不言滅幾億生死	知 滅 幾 許 罪 得 幾 許 功 德 不 言 滅 幾 億 生 死 
T47n1966_002:0128c07	之罪，地獄悉滅，往生淨土。故知少於念佛功	之 罪 地 獄 悉 滅 往 生 淨 土 故 知 少 於 念 佛 功 
T47n1966_002:0128c08	德百千萬倍。」問：「念佛往生得何果報？無生	德 百 千 萬 倍 問 念 佛 往 生 得 何 果 報 無 生 
T47n1966_002:0128c09	觀成得何果報？二種何者為勝？」答：「念佛往	觀 成 得 何 果 報 二 種 何 者 為 勝 答 念 佛 往 
T47n1966_002:0128c10	生得三十二相，具六神通，長生不死，超過三	生 得 三十二相 具 六 神 通 長 生 不 死 超 過 三 
T47n1966_002:0128c11	界，直至成佛，更不墮落，菩薩聖眾共為伴侶，	界 直 至 成 佛 更 不 墮 落 菩 薩 聖 眾 共 為 伴 侶 
T47n1966_002:0128c12	阿彌陀佛親自說法；無生觀成生長壽天，經	阿 彌 陀 佛 親 自 說 法 無 生 觀 成 生 長 壽 天 經 
T47n1966_002:0128c13	八萬大劫還墮惡道。無生觀，萬中無一得成	八 萬 大 劫 還 墮 惡 道 無 生 觀 萬 中 無 一 得 成 
T47n1966_002:0128c14	就者，為不時宜。假令得成生長壽天，不出三	就 者 為 不 時 宜 假 令 得 成 生 長 壽 天 不 出 三 
T47n1966_002:0128c15	界。剋十而論，不如淨土百千萬倍。」問曰：「准	界 剋 十 而 論 不 如 淨 土 百 千 萬 倍 問 曰 准 
T47n1966_002:0128c16	無生觀，唯遣看心，其心為赤？為白？為青？為黃？	無 生 觀 唯 遣 看 心 其 心 為 赤 為 白 為 青 為 黃 
T47n1966_002:0128c17	觀者為當成？不成？」答曰：「無生看心非青、非白、	觀 者 為 當 成 不 成 答 曰 無 生 看 心 非 青 非 白 
T47n1966_002:0128c18	非赤、非黃，非不言成、不成，心不相貌，復無成	非 赤 非 黃 非 不 言 成 不 成 心 不 相 貌 復 無 成 
T47n1966_002:0128c19	就，虛費功夫、徒勞何益？難云：『看心之時即得	就 虛 費 功 夫 徒 勞 何 益 難 云 看 心 之 時 即 得 
T47n1966_002:0128c20	成佛者，看衣即得暖，看食應得飽，看金應得	成 佛 者 看 衣 即 得 暖 看 食 應 得 飽 看 金 應 得 
T47n1966_002:0128c21	寶用，看心之時亦得道者。』看衣不著，不廢寒；	寶 用 看 心 之 時 亦 得 道 者 看 衣 不 著 不 廢 寒 
T47n1966_002:0128c22	看心之時，亦不得果。又准《像法決疑經》說：『坐	看 心 之 時 亦 不 得 果 又 准 像 法 決 疑 經 說 坐 
T47n1966_002:0128c23	禪不是末法時。』何以故？彼經云：『佛滅度後，正	禪 不 是 末 法 時 何 以 故 彼 經 云 佛 滅 度 後 正 
T47n1966_002:0128c24	法五百年，持戒堅固；像法一千年，禪定堅固；	法 五 百 年 持 戒 堅 固 像 法 一 千 年 禪 定 堅 固 
T47n1966_002:0128c25	末法一萬年，念佛得堅固。』准《法王本記》：『入末	末 法 一 萬 年 念 佛 得 堅 固 准 法 王 本 記 入 末 
T47n1966_002:0128c26	法來二百餘年，是念佛時，不是坐禪時。』所以	法 來 二 百 餘 年 是 念 佛 時 不 是 坐 禪 時 所 以 
T47n1966_002:0128c27	大行和上在日，數箇禪師門徒，從和上教授，	大 行 和 上 在 日 數 箇 禪 師 門 徒 從 和 上 教 授 
T47n1966_002:0128c28	迴心念佛者多。」	迴 心 念 佛 者 多 
T47n1966_002:0128c29	第四、念佛對講說門	第 四 念 佛 對 講 說 門 
T47n1966_002:0129a01	問：「念阿彌陀佛功德，多少於聞經功德？」答：「念	問 念 阿 彌 陀 佛 功 德 多 少 於 聞 經 功 德 答 念 
T47n1966_002:0129a02	佛功德，多於聞經功德百千萬倍。何以得知？	佛 功 德 多 於 聞 經 功 德 百 千 萬 倍 何 以 得 知 
T47n1966_002:0129a03	《觀經》下品上生人無惡不作，由造惡故，命欲	 觀 經 下 品 上 生 人 無 惡 不 作 由 造 惡 故 命 欲 
T47n1966_002:0129a04	終時，地獄眾火一時俱至。遇善知識，為說十	終 時 地 獄 眾 火 一 時 俱 至 遇 善 知 識 為 說 十 
T47n1966_002:0129a05	二部經。彼人聞已，滅除千劫等罪。聞經力小，	二 部 經 彼 人 聞 已 滅 除 千 劫 等 罪 聞 經 力 小 
T47n1966_002:0129a06	地獄猶未滅，得智者教，念阿彌陀佛十口，滅	地 獄 猶 未 滅 得 智 者 教 念 阿 彌 陀 佛 十 口 滅 
T47n1966_002:0129a07	除八十億劫生死之罪。」問：「讀經功德，多少	除 八 十 億 劫 生 死 之 罪 問 讀 經 功 德 多 少 
T47n1966_002:0129a08	於念佛功德？」答：「讀經功德，亦少於念佛功德。	於 念 佛 功 德 答 讀 經 功 德 亦 少 於 念 佛 功 德 
T47n1966_002:0129a09	大行和上說：『不念佛修行讀經，猶如讀藥方，	大 行 和 上 說 不 念 佛 修 行 讀 經 猶 如 讀 藥 方 
T47n1966_002:0129a10	念佛猶如服藥。』讀藥方，病即難除；服藥，病則	念 佛 猶 如 服 藥 讀 藥 方 病 即 難 除 服 藥 病 則 
T47n1966_002:0129a11	易差。讀經修道功德，亦少於念佛功德，正是	易 差 讀 經 修 道 功 德 亦 少 於 念 佛 功 德 正 是 
T47n1966_002:0129a12	修道，以此事故功德最多。」問：「講經功德，多	修 道 以 此 事 故 功 德 最 多 問 講 經 功 德 多 
T47n1966_002:0129a13	少於念佛功德？」答：「講經功德，亦少於念佛功	少 於 念 佛 功 德 答 講 經 功 德 亦 少 於 念 佛 功 
T47n1966_002:0129a14	德百千萬倍。何以故？講經猶如數寶，念佛猶	德 百 千 萬 倍 何 以 故 講 經 猶 如 數 寶 念 佛 猶 
T47n1966_002:0129a15	如用寶，數寶雖多，不除貧苦，不言滅罪，不言	如 用 寶 數 寶 雖 多 不 除 貧 苦 不 言 滅 罪 不 言 
T47n1966_002:0129a16	得功德；用寶雖不多，能濟身命，得功德無量，	得 功 德 用 寶 雖 不 多 能 濟 身 命 得 功 德 無 量 
T47n1966_002:0129a17	明知少於念佛功德百千萬倍。又講經如磨	明 知 少 於 念 佛 功 德 百 千 萬 倍 又 講 經 如 磨 
T47n1966_002:0129a18	石，雖獲少分利益，盡與他人，自損無量，為受	石 雖 獲 少 分 利 益 盡 與 他 人 自 損 無 量 為 受 
T47n1966_002:0129a19	禮拜供養，大損果報。所以論云：『譬如貧窮人，	禮拜供養 大 損 果 報 所 以 論 云 譬 如 貧 窮 人 
T47n1966_002:0129a20	晝夜數他寶，自無半錢分，多聞亦如是。』故知	晝 夜 數 他 寶 自 無 半 錢 分 多 聞 亦 如 是 故 知 
T47n1966_002:0129a21	講經功德，亦少於念佛功德百千萬倍。何以	講 經 功 德 亦 少 於 念 佛 功 德 百 千 萬 倍 何 以 
T47n1966_002:0129a22	得知？如《唯識論》多破計我，講論之者口雖說	得 知 如 唯 識 論 多 破 計 我 講 論 之 者 口 雖 說 
T47n1966_002:0129a23	法，心多計我，不起我者萬中無一。所以《法華	法 心 多 計 我 不 起 我 者 萬 中 無 一 所 以 法 華 
T47n1966_002:0129a24	經》云：『我慢自矜高，諂曲心不實，於千萬億劫，	經 云 我 慢 自 矜 高 諂 曲 心 不 實 於 千 萬 億 劫 
T47n1966_002:0129a25	不聞佛名字，亦不聞正法，如是人難度。』由是	不 聞 佛 名 字 亦 不 聞 正 法 如 是 人 難 度 由 是 
T47n1966_002:0129a26	事故，講論不如念佛百千萬倍。所以上世有	事 故 講 論 不 如 念 佛 百 千 萬 倍 所 以 上 世 有 
T47n1966_002:0129a27	惠感法師、智仁法師、蘊法師，皆捨講論，同歸	惠 感 法 師 智 仁 法 師 蘊 法 師 皆 捨 講 論 同 歸 
T47n1966_002:0129a28	念佛。」	念 佛 
T47n1966_002:0129a29	第五、念佛對戒律門	第 五 念 佛 對 戒 律 門 
T47n1966_002:0129b01	問：「念佛功德，多少於持二百五十戒、五百戒	問 念 佛 功 德 多 少 於 持 二百五十戒 五 百 戒 
T47n1966_002:0129b02	等功德？」答：「念佛功德，多於持戒功德百千萬	等 功 德 答 念 佛 功 德 多 於 持 戒 功 德 百 千 萬 
T47n1966_002:0129b03	倍。何以得知？准經說，持戒證小果，始到初	倍 何 以 得 知 准 經 說 持 戒 證 小 果 始 到 初 
T47n1966_002:0129b04	地；准《彌陀經》，若一日、七日念阿彌陀佛往生	地 准 彌 陀 經 若 一 日 七 日 念 阿 彌 陀 佛 往 生 
T47n1966_002:0129b05	淨土，即是八地已上菩薩。所以經云：『眾生生	淨 土 即 是 八 地 已 上 菩 薩 所 以 經 云 眾 生 生 
T47n1966_002:0129b06	者，皆是阿鞞跋致。』故知功德多於持戒功德	者 皆 是 阿鞞跋致 故 知 功 德 多 於 持 戒 功 德 
T47n1966_002:0129b07	百千萬倍。又准經中說：『如今不是持戒時，是	百 千 萬 倍 又 准 經 中 說 如 今 不 是 持 戒 時 是 
T47n1966_002:0129b08	念佛時。』何以得知？准《像法決疑經》說：『本師滅	念 佛 時 何 以 得 知 准 像 法 決 疑 經 說 本 師 滅 
T47n1966_002:0129b09	度，正法五百年，持戒得堅固；像法一千年，坐	度 正 法 五 百 年 持 戒 得 堅 固 像 法 一 千 年 坐 
T47n1966_002:0129b10	禪得堅固；末法一萬年，念佛得堅固。』自從佛	禪 得 堅 固 末 法 一 萬 年 念 佛 得 堅 固 自 從 佛 
T47n1966_002:0129b11	入涅槃已來，准釋迦碑文，已有一千七百餘	入 涅 槃 已 來 准 釋 迦 碑 文 已 有 一 千 七 百 餘 
T47n1966_002:0129b12	年，入末法來二百餘年，故知是念佛時，不是	年 入 末 法 來 二 百 餘 年 故 知 是 念 佛 時 不 是 
T47n1966_002:0129b13	持戒時。縱有持戒者，准戒經文，即得名譽及	持 戒 時 縱 有 持 戒 者 准 戒 經 文 即 得 名 譽 及 
T47n1966_002:0129b14	利養，死得生天上，無證得阿羅漢果；縱得生	利 養 死 得 生 天 上 無 證 得阿羅漢 果 縱 得 生 
T47n1966_002:0129b15	天，不出三界。就持戒人中，萬箇無一具戒者。	天 不 出 三 界 就 持 戒 人 中 萬 箇 無 一 具 戒 者 
T47n1966_002:0129b16	何以故？為戒細人麁，數多難持；若望念佛，	何 以 故 為 戒 細 人 麁 數 多 難 持 若 望 念 佛 
T47n1966_002:0129b17	數少易行，得多功德。」問：「念佛得益，多少於	數 少 易 行 得 多 功 德 問 念 佛 得 益 多 少 於 
T47n1966_002:0129b18	持戒得益？」答：「念佛能益無損，持戒損多益少。	持 戒 得 益 答 念 佛 能 益 無 損 持 戒 損 多 益 少 
T47n1966_002:0129b19	何以得知？准《目連問經》：『破初篇戒，取長壽諸	何 以 得 知 准 目 連 問 經 破 初 篇 戒 取 長 壽 諸 
T47n1966_002:0129b20	天，計人間九百一十五俱胒六百萬歲，墮地	天 計 人 間 九 百 一 十 五 俱 胒 六 百 萬 歲 墮 地 
T47n1966_002:0129b21	獄。』准戒文中，有五篇、七聚。依挍量：第一篇重	獄 准 戒 文 中 有 五 篇 七 聚 依 挍 量 第 一 篇 重 
T47n1966_002:0129b22	挍量第二篇一倍；第二篇重挍量第三篇一	挍 量 第 二 篇 一 倍 第 二 篇 重 挍 量 第 三 篇 一 
T47n1966_002:0129b23	倍；第三篇重挍量第四篇一倍；第四篇重挍	倍 第 三 篇 重 挍 量 第 四 篇 一 倍 第 四 篇 重 挍 
T47n1966_002:0129b24	量第五篇一倍；第五篇最輕，犯突吉羅，九百	量 第 五 篇 一 倍 第 五 篇 最 輕 犯 突 吉 羅 九 百 
T47n1966_002:0129b25	萬歲墮地獄中，一夜不懺者捨本利。准破戒	萬 歲 墮 地 獄 中 一 夜 不 懺 者 捨 本 利 准 破 戒 
T47n1966_002:0129b26	罪，無量、無邊，持戒萬中無一，故知損多益少；	罪 無 量 無 邊 持 戒 萬 中 無 一 故 知 損 多 益 少 
T47n1966_002:0129b27	念佛一口，除八十億劫生死之罪。所以有破	念 佛 一 口 除 八 十 億 劫 生 死 之 罪 所 以 有 破 
T47n1966_002:0129b28	戒罪，念阿彌陀佛，總得除滅。何以得知？准	戒 罪 念 阿 彌 陀 佛 總 得 除 滅 何 以 得 知 准 
T47n1966_002:0129b29	《觀經》文：『下品中生人，或有眾生，毀犯五戒、八	 觀 經 文 下 品 中 生 人 或 有 眾 生 毀 犯 五 戒 八 
T47n1966_002:0129c01	戒及具足戒，如此愚人，應墮地獄，經歷多劫，	戒 及 具 足 戒 如 此 愚 人 應 墮 地 獄 經 歷 多 劫 
T47n1966_002:0129c02	受苦無窮。臨命終時，遇善知識為說阿彌陀	受 苦 無 窮 臨命終時 遇 善 知 識 為 說 阿 彌 陀 
T47n1966_002:0129c03	佛十力威德，為讚彼佛光明、神力，教令念佛。	佛 十 力 威 德 為 讚 彼 佛 光 明 神 力 教 令 念 佛 
T47n1966_002:0129c04	彼人聞已，滅除八十億劫生死之罪，往生淨	彼 人 聞 已 滅 除 八 十 億 劫 生 死 之 罪 往 生 淨 
T47n1966_002:0129c05	土。』故知破戒罪，亦得消滅。又准《群疑論》中說：	土 故 知 破 戒 罪 亦 得 消 滅 又 准 群 疑 論 中 說 
T47n1966_002:0129c06	『破戒者護復，失道者導，盲冥者眼。』故知念佛	 破 戒 者 護 復 失 道 者 導 盲 冥 者 眼 故 知 念 佛 
T47n1966_002:0129c07	純益無損。承前北都有律師，捨戒律業迴心	純 益 無 損 承 前 北 都 有 律 師 捨 戒 律 業 迴 心 
T47n1966_002:0129c08	念佛，往生西方極樂世界。准《觀經》中說言，中	念 佛 往 生 西方極樂 世 界 准 觀 經 中 說 言 中 
T47n1966_002:0129c09	三品人，律師念佛往生淨土。故知念佛門，持	三 品 人 律 師 念 佛 往 生 淨 土 故 知 念 佛 門 持 
T47n1966_002:0129c10	戒、苦行不及也。」	戒 苦 行 不 及 也 
T47n1966_002:0129c11	第六、念佛對六度門	第 六 念 佛 對 六 度 門 
T47n1966_002:0129c12	問：「念佛功德，多少於六波羅蜜？」答：「念佛功德，	問 念 佛 功 德 多 少 於 六波羅蜜 答 念 佛 功 德 
T47n1966_002:0129c13	多六波羅蜜百千萬倍。何以得知？准《維摩經》	多 六波羅蜜 百 千 萬 倍 何 以 得 知 准 維 摩 經 
T47n1966_002:0129c14	說：『念定總持人，自求生淨土，總得往生，一切	說 念 定 總 持 人 自 求 生 淨 土 總 得 往 生 一 切 
T47n1966_002:0129c15	不問。』」問曰：「有人復疑，念佛猶如口打鼓，如	不 問 問 曰 有 人 復 疑 念 佛 猶 如 口 打 鼓 如 
T47n1966_002:0129c16	何解釋？」答曰：「亦如口打鼓。何以？因口誦心	何 解 釋 答 曰 亦 如 口 打 鼓 何 以 因 口 誦 心 
T47n1966_002:0129c17	記，乃打由成；若無心口，無由得成。念佛亦	記 乃 打 由 成 若 無 心 口 無 由 得 成 念 佛 亦 
T47n1966_002:0129c18	爾，心信口稱，乃生淨土，速證無上菩提；若無	爾 心 信 口 稱 乃 生 淨 土 速 證 無上菩提 若 無 
T47n1966_002:0129c19	心口，無由往生，所以如口打鼓。」問：「何故不	心 口 無 由 往 生 所 以 如 口 打 鼓 問 何 故 不 
T47n1966_002:0129c20	念本師釋迦，但念阿彌陀佛？」答曰：「念彌陀者，	念 本 師 釋 迦 但 念 阿 彌 陀 佛 答 曰 念 彌 陀 者 
T47n1966_002:0129c21	本師教念，然始解修。猶如父、母生得子已，遂	本 師 教 念 然 始 解 修 猶 如 父 母 生 得 子 已 遂 
T47n1966_002:0129c22	付師教，學問乃成，皆由師立。彌陀亦爾，本師	付 師 教 學 問 乃 成 皆 由 師 立 彌 陀 亦 爾 本 師 
T47n1966_002:0129c23	說經，慇懃勸念阿彌陀佛，令生淨土，早證菩	說 經 慇 懃 勸 念 阿 彌 陀 佛 令 生 淨 土 早 證 菩 
T47n1966_002:0129c24	提。將念佛名，稱為難事，本師自說：『我行此念	提 將 念 佛 名 稱 為 難 事 本 師 自 說 我 行 此 念 
T47n1966_002:0129c25	阿彌陀佛難事，得無上菩提。』本師釋迦自亦	阿 彌 陀 佛 難 事 得 無上菩提 本 師 釋 迦 自 亦 
T47n1966_002:0129c26	念佛。勸汝等一切眾生，若能稱念阿彌陀佛，	念 佛 勸 汝 等 一 切 眾 生 若 能 稱 念 阿 彌 陀 佛 
T47n1966_002:0129c27	定生淨土，早證菩提，是為甚難希有之事，本	定 生 淨 土 早 證 菩 提 是 為 甚 難 希 有 之 事 本 
T47n1966_002:0129c28	師遣念阿彌陀佛。又復念佛，猶如父、母多諸	師 遣 念 阿 彌 陀 佛 又 復 念 佛 猶 如 父 母 多 諸 
T47n1966_002:0129c29	子息，當居儉處，將去遂豐，然始養得，不被餓	子 息 當 居 儉 處 將 去 遂 豐 然 始 養 得 不 被 餓 
T47n1966_002:0130a01	死；本師亦爾，為娑婆濁惡不堪久住，恐畏沈	死 本 師 亦 爾 為 娑 婆 濁 惡 不 堪 久 住 恐 畏 沈 
T47n1966_002:0130a02	淪墮於地獄，將諸眾生同歸淨土，受諸快樂，	淪 墮 於 地 獄 將 諸 眾 生 同 歸 淨 土 受 諸 快 樂 
T47n1966_002:0130a03	不被沈淪，是故偏令思念阿彌陀佛，不念本	不 被 沈 淪 是 故 偏 令 思 念 阿 彌 陀 佛 不 念 本 
T47n1966_002:0130a04	師。非但釋迦因念佛得成佛，十方三世諸佛	師 非 但 釋 迦 因 念 佛 得 成 佛 十 方 三世諸佛 
T47n1966_002:0130a05	皆因念佛三昧當得成佛。故《月燈三昧經》云：	皆 因 念佛三昧 當 得 成 佛 故 月燈三昧 經 云 
T47n1966_002:0130a06	『十方三世一切過去、未來及現在佛，皆學念	 十 方 三 世 一 切 過 去 未 來 及 現 在 佛 皆 學 念 
T47n1966_002:0130a07	佛，速證無上菩提。』故知三世諸佛皆因念佛	佛 速 證 無上菩提 故 知 三世諸佛 皆 因 念 佛 
T47n1966_002:0130a08	當得成佛。」問曰：「何故不念十方諸佛，偏念	當 得 成 佛 問 曰 何 故 不 念 十方諸佛 偏 念 
T47n1966_002:0130a09	阿彌陀佛？」答曰：「現在十方佛中，彌陀最勝、最	阿 彌 陀 佛 答 曰 現 在 十 方 佛 中 彌 陀 最 勝 最 
T47n1966_002:0130a10	尊、最慈；又十方佛中，彌陀佛與眾生結緣最	尊 最 慈 又 十 方 佛 中 彌 陀 佛 與 眾 生 結 緣 最 
T47n1966_002:0130a11	深；於現在十方佛中，彌陀佛願力攝眾生最	深 於 現 在 十 方 佛 中 彌 陀 佛 願 力 攝 眾 生 最 
T47n1966_002:0130a12	多；又十方佛淨土中，彌陀佛淨土最好，韋提	多 又 十 方 佛 淨 土 中 彌 陀 佛 淨 土 最 好 韋 提 
T47n1966_002:0130a13	希等選得；又十方淨土中，彌陀淨土最近；十	希 等 選 得 又 十 方 淨 土 中 彌 陀 淨 土 最 近 十 
T47n1966_002:0130a14	方諸佛名號中，念阿彌陀佛名號功德最多。	方 諸 佛 名 號 中 念 阿 彌 陀 佛 名 號 功 德 最 多 
T47n1966_002:0130a15	所以專念彌陀佛，不念餘佛。」問曰：「何故念	所 以 專 念 彌 陀 佛 不 念 餘 佛 問 曰 何 故 念 
T47n1966_002:0130a16	佛是一法，乃能廣攝諸門？」答曰：「念佛雖是一	佛 是 一 法 乃 能 廣 攝 諸 門 答 曰 念 佛 雖 是 一 
T47n1966_002:0130a17	法，定能廣攝諸門。何以得知？舉喻釋者，念佛	法 定 能 廣 攝 諸 門 何 以 得 知 舉 喻 釋 者 念 佛 
T47n1966_002:0130a18	猶如如意寶珠，雖是一箇寶珠，能攝一切寶	猶 如 如意寶珠 雖 是 一 箇 寶 珠 能 攝 一 切 寶 
T47n1966_002:0130a19	物。故《法華經》中說：『龍女為獻寶珠，速得成佛。』	物 故 法 華 經 中 說 龍 女 為 獻 寶 珠 速 得 成 佛 
T47n1966_002:0130a20	雖是一法，增長一切功德，感得生淨土，速證	雖 是 一 法 增 長 一切功德 感 得 生 淨 土 速 證 
T47n1966_002:0130a21	無上菩提。一法包含一切法，所以《維摩經》云：	無上菩提 一 法 包 含 一 切 法 所 以 維 摩 經 云 
T47n1966_002:0130a22	『念定即總持，包含一切法。』故一法中乃含諸	 念 定 即 總 持 包 含 一 切 法 故 一 法 中 乃 含 諸 
T47n1966_002:0130a23	法。」	法 
T47n1966_002:0130a24	第十一、念佛出三界門	第 十 一 念 佛 出 三 界 門 
T47n1966_002:0130a25	問曰：「淨土為出三界，為在三界中？」答曰：「淨	問 曰 淨 土 為 出 三 界 為 在 三 界 中 答 曰 淨 
T47n1966_002:0130a26	土定出三界，不在三界之中。既言三界，何等	土 定 出 三 界 不 在 三 界 之 中 既 言 三 界 何 等 
T47n1966_002:0130a27	為三？一者、欲界，從此閻浮上至六天，總名欲	為 三 一 者 欲 界 從 此 閻 浮 上 至 六 天 總 名 欲 
T47n1966_002:0130a28	界；二者、色界，六天已上，梵眾天等一十八天，	界 二 者 色 界 六 天 已 上 梵 眾 天 等 一 十 八 天 
T47n1966_002:0130a29	名為色界；三者、無色界，又有四天，空處乃至	名 為 色 界 三 者 無 色 界 又 有 四 天 空 處 乃 至 
T47n1966_002:0130b01	非想、非非想處天等，總名無色界。又復三界	非 想 非非想處 天 等 總 名 無 色 界 又 復 三 界 
T47n1966_002:0130b02	向上非非想處二十八天，向下即是無間地	向 上 非非想處 二十八天 向 下 即 是 無 間 地 
T47n1966_002:0130b03	獄，人在中間住，猶如牢獄之中相似。所以《法	獄 人 在 中 間 住 猶 如 牢 獄 之 中 相 似 所 以 法 
T47n1966_002:0130b04	華經》云：『三界無安，猶如火宅。』常有生、老、病、死	華 經 云 三 界 無 安 猶 如 火 宅 常 有 生 老 病 死 
T47n1966_002:0130b05	憂患，如是等火熾然不息。是故韋提希厭娑	憂 患 如 是 等 火 熾 然 不 息 是 故 韋 提 希 厭 娑 
T47n1966_002:0130b06	婆世界，五濁惡處。何等為五？一者、劫濁，謂疫	婆 世 界 五 濁 惡 處 何 等 為 五 一 者 劫 濁 謂 疫 
T47n1966_002:0130b07	病、飢饉、刀兵等劫；二者、煩惱濁，一切眾生多	病 飢 饉 刀 兵 等 劫 二 者 煩 惱 濁 一 切 眾 生 多 
T47n1966_002:0130b08	諸煩惱；三者、命濁，壽命短促；四者見濁，誹謗	諸 煩 惱 三 者 命 濁 壽 命 短 促 四 者 見 濁 誹 謗 
T47n1966_002:0130b09	不信；五者、眾生濁，無其人行，又有地獄、餓鬼、	不 信 五 者 眾 生 濁 無 其 人 行 又 有 地 獄 餓 鬼 
T47n1966_002:0130b10	畜生盈滿，不善聚集。是故遣厭，欣樂西方極	畜 生 盈 滿 不 善 聚 集 是 故 遣 厭 欣 樂 西 方 極 
T47n1966_002:0130b11	樂世界。所以經云：『能於三界獄，勉出諸眾生，	樂 世 界 所 以 經 云 能 於 三 界 獄 勉 出 諸 眾 生 
T47n1966_002:0130b12	普智天人尊，哀愍群盲類，能開甘露門，廣度	普 智 天 人 尊 哀 愍 群 盲 類 能 開 甘 露 門 廣 度 
T47n1966_002:0130b13	於一切。』又論云：『超出三界獄，目如青蓮葉，聲	於 一 切 又 論 云 超出三界 獄 目 如 青 蓮 葉 聲 
T47n1966_002:0130b14	聞眾無數，是故稽首禮。』又《往生論》云：『觀彼世	聞 眾 無 數 是 故 稽 首 禮 又 往 生 論 云 觀 彼 世 
T47n1966_002:0130b15	界相，勝過三界道，究竟如虛空，廣大無邊際。』	界 相 勝 過 三 界 道 究 竟 如 虛 空 廣 大 無 邊 際 
T47n1966_002:0130b16	又准《群疑論》中說：『淨土竪超三界，橫截五道，	又 准 群 疑 論 中 說 淨 土 竪 超 三 界 橫 截 五 道 
T47n1966_002:0130b17	一得往生，更不墮三界牢獄，直至無上菩提。』	一 得 往 生 更 不 墮 三 界 牢 獄 直 至 無上菩提 
T47n1966_002:0130b18	故知彌陀淨土定離三界，不在三界之中，所	故 知 彌 陀 淨 土 定 離 三 界 不 在 三 界 之 中 所 
T47n1966_002:0130b19	以念佛法門頓出三界。「若欲念阿彌陀佛速	以 念 佛 法 門 頓 出 三 界 若 欲 念 阿 彌 陀 佛 速 
T47n1966_002:0130b20	生淨土者，要須三業成就：第一、心唯有信；第	生 淨 土 者 要 須 三 業 成 就 第 一 心 唯 有 信 第 
T47n1966_002:0130b21	二、口唯有念；第三、身唯有敬，不問有人、無人，	二 口 唯 有 念 第 三 身 唯 有 敬 不 問 有 人 無 人 
