T04n0207_001:0522b16	◎雜譬喻經	 雜 譬 喻 經 
T04n0207_001:0530c10	人言：「實爾不？」時人答言：「實爾也。」官遂令長	人 言 實 爾 不 時 人 答 言 實 爾 也 官 遂 令 長 
T04n0207_001:0530c11	者輸金與此梵志，方便賊不用手力而大得	者 輸 金 與 此 梵 志 方 便 賊 不 用 手 力 而 大 得 
T04n0207_001:0530c12	物，隨喜亦爾也。	物 隨 喜 亦 爾 也 
T04n0207_001:0530c13	（三七）有龍能以一渧水，雨一國者或二或三，	 三 七 有 龍 能 以 一 渧 水 雨 一 國 者 或 二 或 三 
T04n0207_001:0530c14	乃至雨一閻浮提者。龍心自念言：「我欲藏此	乃 至 雨 一 閻 浮 提 者 龍 心 自 念 言 我 欲 藏 此 
T04n0207_001:0530c15	一渧水使常在而不乾，何處可得耶？」作是思	一 渧 水 使 常 在 而 不 乾 何 處 可 得 耶 作 是 思 
T04n0207_001:0530c16	惟：「餘處不得，唯當安著大海中乃不乾耳。」此	惟 餘 處 不 得 唯 當 安 著 大 海 中 乃 不 乾 耳 此 
T04n0207_001:0530c17	喻少施而得大報無窮者，唯當安著佛道中	喻 少 施 而 得 大 報 無 窮 者 唯 當 安 著 佛 道 中 
T04n0207_001:0530c18	也。此明水渧與龍智合故，所憑得處而不乾	也 此 明 水 渧 與 龍 智 合 故 所 憑 得 處 而 不 乾 
T04n0207_001:0530c19	也。布施與般若合故，所置得處而不竭也。	也 布 施 與 般 若 合 故 所 置 得 處 而 不 竭 也 
T04n0207_001:0530c20	（三八）轉輪聖王所以致金輪者，帝釋常勅四天	 三 八 轉輪聖王 所 以 致 金 輪 者 帝 釋 常 勅 四 天 
T04n0207_001:0530c21	王，一月六日按行天下伺人善惡。四天王及	王 一 月 六 日 按 行 天 下 伺 人 善 惡 四 天 王 及 
T04n0207_001:0530c22	太子使者，見有大國王以十善四等治天下，	太 子 使 者 見 有 大 國 王 以 十 善 四 等 治 天 下 
T04n0207_001:0530c23	憂勤人物心喻慈父，以是事白天帝釋。帝釋	憂 勤 人 物 心 喻 慈 父 以 是 事 白 天 帝 釋 帝 釋 
T04n0207_001:0530c24	聞之慶其能爾，便勅毘首羯磨賜其金輪。毘	聞 之 慶 其 能 爾 便 勅 毘 首 羯 磨 賜 其 金 輪 毘 
T04n0207_001:0530c25	首羯磨即出金輪，持付毘沙門天王。毘沙門	首 羯 磨 即 出 金 輪 持 付 毘 沙 門 天 王 毘 沙 門 
T04n0207_001:0530c26	天王持付飛行夜叉，飛行夜叉持來與大國	天 王 持 付 飛 行 夜 叉 飛 行 夜 叉 持 來 與 大 國 
T04n0207_001:0530c27	王，毘沙門天王勅此夜叉：「汝常為王持此金	王 毘 沙 門 天 王 勅 此 夜 叉 汝 常 為 王 持 此 金 
T04n0207_001:0530c28	輪，當王頂上畢其壽命不得中捨。」是夜叉常	輪 當 王 頂 上 畢 其 壽 命 不 得 中 捨 是 夜 叉 常 
T04n0207_001:0530c29	為持之，進止來去隨聖王意。盡其壽命然	為 持 之 進 止 來 去 隨 聖 王 意 盡 其 壽 命 然 
T04n0207_001:0531a01	後還付毘沙門天王，毘沙門天王付毘首羯	後 還 付 毘 沙 門 天 王 毘 沙 門 天 王 付 毘 首 羯 
T04n0207_001:0531a02	磨，毘首羯磨還內著寶藏中。	磨 毘 首 羯 磨 還 內 著 寶 藏 中 
T04n0207_001:0531a03	（三九）昔有大梵天王名曰婆伽，宿命種長壽因	 三 九 昔 有 大 梵 天 王 名 曰 婆 伽 宿 命 種 長 壽 因 
T04n0207_001:0531a04	緣故，其壽經七十二梵天人壽，終其壽故不	緣 故 其 壽 經 七 十 二 梵 天 人 壽 終 其 壽 故 不 
T04n0207_001:0531a05	盡，因是壽故便生邪見自謂為常。復作是念：	盡 因 是 壽 故 便 生 邪 見 自 謂 為 常 復 作 是 念 
T04n0207_001:0531a06	「我得自在，從今以後人無能得妄見我者，若	 我 得 自 在 從 今 以 後 人 無 能 得 妄 見 我 者 若 
T04n0207_001:0531a07	我聽來則見，不聽則止也。」佛以神心道眼照	我 聽 來 則 見 不 聽 則 止 也 佛 以 神 心 道 眼 照 
T04n0207_001:0531a08	察其心，與舍利弗、目連等四大弟子，俱陵虛	察 其 心 與 舍 利 弗 目 連 等 四 大 弟 子 俱 陵 虛 
T04n0207_001:0531a09	而往坐其頂上，舍利弗在右、目連在左，大迦	而 往 坐 其 頂 上 舍 利 弗 在 右 目 連 在 左 大 迦 
T04n0207_001:0531a10	葉在前、大迦栴延在後，告梵王曰：「汝自以為	葉 在 前 大 迦 栴 延 在 後 告 梵 王 曰 汝 自 以 為 
T04n0207_001:0531a11	常得自在者，吾今何得坐汝頂上？」又問言：「汝	常 得 自 在 者 吾 今 何 得 坐 汝 頂 上 又 問 言 汝 
T04n0207_001:0531a12	見何等事，自以為常得自在耶？」梵王答言：「我	見 何 等 事 自 以 為 常 得 自 在 耶 梵 王 答 言 我 
T04n0207_001:0531a13	梵天中，次第有七十二人壽盡，我故不盡。復	梵 天 中 次 第 有 七 十 二 人 壽 盡 我 故 不 盡 復 
T04n0207_001:0531a14	有三大福德天人壽終，我故不盡。以是因故	有 三 大 福 德 天 人 壽 終 我 故 不 盡 以 是 因 故 
T04n0207_001:0531a15	自謂為常。」佛語梵王：「我是一切智人，見汝始	自 謂 為 常 佛 語 梵 王 我 是 一切智人 見 汝 始 
T04n0207_001:0531a16	生時亦見汝死時，及一切諸法無有錯謬，汝	生 時 亦 見 汝 死 時 及 一切諸法 無 有 錯 謬 汝 
T04n0207_001:0531a17	莫癡惑自以為常。」此梵天王亦識宿命，欲臨	莫 癡 惑 自 以 為 常 此 梵 天 王 亦 識 宿 命 欲 臨 
T04n0207_001:0531a18	成佛為定知不？便語佛言：「佛知我本何因緣	成 佛 為 定 知 不 便 語 佛 言 佛 知 我 本 何 因 緣 
T04n0207_001:0531a19	得此壽命？」佛語梵王：「汝本曾作五通仙人，見	得 此 壽 命 佛 語 梵 王 汝 本 曾 作 五 通 仙 人 見 
T04n0207_001:0531a20	有眾人乘船入海，暴風切起波浪滔天，以仙	有 眾 人 乘 船 入 海 暴 風 切 起 波 浪 滔 天 以 仙 
T04n0207_001:0531a21	通力救接眾人持著岸上，令此諸人得免死	通 力 救 接 眾 人 持 著 岸 上 令 此 諸 人 得 免 死 
T04n0207_001:0531a22	厄，一因緣也。又汝曾為大國之臣，有一聚落	厄 一 因 緣 也 又 汝 曾 為 大 國 之 臣 有 一 聚 落 
T04n0207_001:0531a23	犯於王法，時王大怒盡欲誅此聚落，汝時愍	犯 於 王 法 時 王 大 怒 盡 欲 誅 此 聚 落 汝 時 愍 
T04n0207_001:0531a24	之竭家財產，為作道地令得全濟，二因緣也。	之 竭 家 財 產 為 作 道 地 令 得 全 濟 二 因 緣 也 
T04n0207_001:0531a25	以是二因緣故得此長壽，却後復經三十六	以 是 二 因 緣 故 得 此 長 壽 却 後 復 經 三 十 六 
T04n0207_001:0531a26	劫汝壽當盡。」梵天王聞佛語已，信心即生，一	劫 汝 壽 當 盡 梵 天 王 聞 佛 語 已 信 心 即 生 一 
T04n0207_001:0531a27	心思惟，即得阿那含道。此梵王以是因緣故，	心 思 惟 即 得 阿 那 含 道 此 梵 王 以是因緣 故 
T04n0207_001:0531a28	尚得壽命如是，況佛於無量阿僧祇劫，積大	尚 得 壽 命 如 是 況 佛 於 無量阿僧祇劫 積 大 
T04n0207_001:0531a29	誓願慈悲眾生，求頭與頭求眼與眼，一切所	誓 願 慈 悲 眾 生 求 頭 與 頭 求 眼 與 眼 一 切 所 
T04n0207_001:0531b01	求盡能周給，身充虛空未足為大，塵數劫壽	求 盡 能 周 給 身 充 虛 空 未 足 為 大 塵 數 劫 壽 
T04n0207_001:0531b02	未足為多。	未 足 為 多 
T04n0207_001:0531b03	佛說雜譬喻經	佛 說 雜 譬 喻 經 
