T15n0625_001:0367b17	大樹緊那羅王所問經卷第一	大樹緊那羅王所問經 卷 第 一 
T15n0625_001:0369b26	四？內自寂靜亦寂靜外。善觀諸法知如幻化。	四 內 自 寂 靜 亦 寂 靜 外 善 觀 諸 法 知 如 幻 化 
T15n0625_001:0369b27	有大智力。非憍慢力。是為四。「善男子！菩薩成	有 大 智 力 非 憍 慢 力 是 為 四 善 男 子 菩 薩 成 
T15n0625_001:0369b28	就四法度到彼岸。何等四？知於欲流不證離	就 四 法 度 到 彼 岸 何 等 四 知 於 欲 流 不 證 離 
T15n0625_001:0369b29	欲。知於有流隨意往生。知於見流不捨諸見。	欲 知 於 有 流 隨 意 往 生 知 於 見 流 不 捨 諸 見 
T15n0625_001:0369c01	知無明流不逆緣法。是為四。「善男子！菩薩成	知 無 明 流 不 逆 緣 法 是 為 四 善 男 子 菩 薩 成 
T15n0625_001:0369c02	就四法，能現一切聲聞、緣覺及諸眾生形色	就 四 法 能 現 一 切 聲 聞 緣 覺 及 諸 眾 生 形 色 
T15n0625_001:0369c03	威儀無有別異。何等四？善起如幻三昧。如實	威 儀 無 有 別 異 何 等 四 善 起 如幻三昧 如 實 
T15n0625_001:0369c04	而知一切法相。善觀五通。自觀己身知如幻	而 知一切法 相 善 觀 五 通 自 觀 己 身 知 如 幻 
T15n0625_001:0369c05	化。是為四。「善男子！菩薩成就四法，觀於生死	化 是 為 四 善 男 子 菩 薩 成 就 四 法 觀 於 生 死 
T15n0625_001:0369c06	不住涅槃。何等四？諸佛護持。自大悲心。善	不住涅槃 何 等 四 諸 佛 護 持 自 大 悲 心 善 
T15n0625_001:0369c07	巧方便。不捨本願。是為四。「善男子！菩薩成就	巧 方 便 不 捨 本 願 是 為 四 善 男 子 菩 薩 成 就 
T15n0625_001:0369c08	四法，觀眾生界不動法界。何等四？觀自實性。	四 法 觀 眾 生 界 不 動 法 界 何 等 四 觀 自 實 性 
T15n0625_001:0369c09	解於法性。觀眾生性不疑智性。觀諸眾生同	解 於 法 性 觀 眾 生 性 不 疑 智 性 觀 諸 眾 生 同 
T15n0625_001:0369c10	涅槃性。是為四。「善男子！菩薩成就四法，不退	涅 槃 性 是 為 四 善 男 子 菩 薩 成 就 四 法 不 退 
T15n0625_001:0369c11	失利觀現失利。何等四？善男子！以專志心	失 利 觀 現 失 利 何 等 四 善 男 子 以 專 志 心 
T15n0625_001:0369c12	趣向涅槃。修入生死。專志欲於一切佛法。現	趣 向 涅 槃 修 入 生 死 專 志 欲 於 一切佛法 現 
T15n0625_001:0369c13	為聲聞、緣覺調伏。是為四。「善男子！菩薩成就	為 聲 聞 緣 覺 調 伏 是 為 四 善 男 子 菩 薩 成 就 
T15n0625_001:0369c14	四法，有大財寶封邑無盡，以方便力現為貧	四 法 有 大 財 寶 封 邑 無 盡 以 方 便 力 現 為 貧 
T15n0625_001:0369c15	窮無諸財賄。何等四？或現作於轉輪大王、釋、	窮 無 諸 財 賄 何 等 四 或 現 作 於 轉 輪 大 王 釋 
T15n0625_001:0369c16	梵天王，為化尊勝諸眾生故。現作貧窮，為化	梵 天 王 為 化 尊 勝 諸 眾 生 故 現 作 貧 窮 為 化 
T15n0625_001:0369c17	貧窮諸眾生故。見來求者，盡捨一切所有財	貧 窮 諸 眾 生 故 見 來 求 者 盡 捨 一 切 所 有 財 
T15n0625_001:0369c18	物。見大富者，現無盡寶有自在力。是為四。「善	物 見 大 富 者 現 無 盡 寶 有 自 在 力 是 為 四 善 
T15n0625_001:0369c19	男子！菩薩成就四法，令有作門入無作門。何	男 子 菩 薩 成 就 四 法 令 有 作 門 入 無 作 門 何 
T15n0625_001:0369c20	等四？說一切行無常。淨於智行。得於覺知	等 四 說 一切行無常 淨 於 智 行 得 於 覺 知 
T15n0625_001:0369c21	一切行無我。離於諸見得涅槃法寂智進	一 切 行 無 我 離 於 諸 見 得 涅 槃 法 寂 智 進 
T15n0625_001:0369c22	行。是為四。「善男子！菩薩成就四法，善觀察諸	行 是 為 四 善 男 子 菩 薩 成 就 四 法 善 觀 察 諸 
T15n0625_001:0369c23	法。何等四？善淨慧眼。得明法眼。佛眼現前。	法 何 等 四 善 淨 慧 眼 得 明 法 眼 佛 眼 現 前 
T15n0625_001:0369c24	於一切法得灌頂位。是為四。「善男子！菩薩成	於一切法 得 灌 頂 位 是 為 四 善 男 子 菩 薩 成 
T15n0625_001:0369c25	就四法，決定分別一切諸法。何等四？辯智。無	就 四 法 決定分別 一切諸法 何 等 四 辯 智 無 
T15n0625_001:0369c26	滯解了諦智。住四依智。不捨陀羅尼智。是為	滯 解 了 諦 智 住 四 依 智 不 捨 陀 羅 尼 智 是 為 
T15n0625_001:0369c27	四。「善男子！菩薩成就四法，行於世法不為所	四 善 男 子 菩 薩 成 就 四 法 行 於 世 法 不 為 所 
T15n0625_001:0369c28	污。何等四？觀知世法。超出過於世間眾生。斷	污 何 等 四 觀 知 世 法 超 出 過 於 世 間 眾 生 斷 
T15n0625_001:0369c29	除愛恚無所染污。畢竟明淨。是為四。「善男子！	除 愛 恚 無 所 染 污 畢 竟 明 淨 是 為 四 善 男 子 
T15n0625_001:0370a01	菩薩成就四法，於法自在不觀望他。何等四？	菩 薩 成 就 四 法 於 法 自 在 不 觀 望 他 何 等 四 
T15n0625_001:0370a02	定得自在。智得自在。慧得自在。方便得自在。	定 得 自 在 智 得 自 在 慧 得 自 在 方 便 得 自 在 
T15n0625_001:0370a03	是為四。「善男子！菩薩成就四法，不離見佛。何	是 為 四 善 男 子 菩 薩 成 就 四 法 不 離 見 佛 何 
T15n0625_001:0370a04	等四？自往見佛亦勸眾生。自往聽法亦勸眾	等 四 自 往 見 佛 亦 勸 眾 生 自 往 聽 法 亦 勸 眾 
T15n0625_001:0370a05	生。自發菩提心亦勸眾生發菩提心。常不捨	生 自 發菩提心 亦 勸 眾 生 發菩提心 常 不 捨 
T15n0625_001:0370a06	離念佛三昧。是為四。「善男子！菩薩成就四法，	離 念佛三昧 是 為 四 善 男 子 菩 薩 成 就 四 法 
T15n0625_001:0370a07	善自調伏無諸惡法。何等四？出世明慧觀	善 自 調 伏 無 諸 惡 法 何 等 四 出 世 明 慧 觀 
T15n0625_001:0370a08	察智見。顯示解脫。善集法忍。斷離一切不善	察 智 見 顯 示 解 脫 善 集 法 忍 斷 離 一 切 不 善 
T15n0625_001:0370a09	法習。是為四。「善男子！菩薩成就四法，善為師	法 習 是 為 四 善 男 子 菩 薩 成 就 四 法 善 為 師 
T15n0625_001:0370a10	導而不悋法。何等四？專心利益一切眾生，志	導 而 不 悋 法 何 等 四 專 心 利 益 一 切 眾 生 志 
T15n0625_001:0370a11	意堅固無所慊恨。常行教化一切眾生。自捨	意 堅 固 無 所 慊 恨 常 行 教 化 一 切 眾 生 自 捨 
T15n0625_001:0370a12	己樂修集智慧。常為一切眾生作利成於己	己 樂 修 集 智 慧 常 為 一 切 眾 生 作 利 成 於 己 
T15n0625_001:0370a13	利。是為四。「善男子！菩薩成就四法，為諸眾生	利 是 為 四 善 男 子 菩 薩 成 就 四 法 為 諸 眾 生 
T15n0625_001:0370a14	作實依止。何等四？捨於己利常求利他。自捨	作 實 依 止 何 等 四 捨 於 己 利 常 求 利 他 自 捨 
T15n0625_001:0370a15	諸樂為諸眾生求於法樂。如所聞法為人廣	諸 樂 為 諸 眾 生 求 於 法 樂 如 所 聞 法 為 人 廣 
T15n0625_001:0370a16	說無有疲倦。以法養命不以衣食。是為四。「善	說 無 有 疲 倦 以 法 養 命 不 以 衣 食 是 為 四 善 
T15n0625_001:0370a17	男子！菩薩成就四法，能轉一切諸佛法輪。何	男 子 菩 薩 成 就 四 法 能 轉 一切諸佛 法 輪 何 
T15n0625_001:0370a18	等四？得陀羅尼。得無斷辯知。入一切眾生心	等 四 得陀羅尼 得 無 斷 辯 知 入 一 切 眾 生 心 
T15n0625_001:0370a19	行。不觀種姓而為說法引入涅槃。是為四。「善	行 不 觀 種 姓 而 為 說 法 引 入 涅 槃 是 為 四 善 
T15n0625_001:0370a20	男子！菩薩成就四法，於一切法得灌頂位。何	男 子 菩 薩 成 就 四 法 於一切法 得 灌 頂 位 何 
T15n0625_001:0370a21	等四？出過諸行住菩薩行。得無生法忍示現	等 四 出 過 諸 行 住 菩 薩 行 得無生法忍 示 現 
T15n0625_001:0370a22	生死。為不退轉印之所印入如來印。住第十	生 死 為 不 退 轉 印 之 所 印 入 如 來 印 住 第 十 
T15n0625_001:0370a23	地善知諸地。是為菩薩成就四法，於一切法	地 善 知 諸 地 是 為 菩 薩 成 就 四 法 於一切法 
T15n0625_001:0370a24	得灌頂位。」佛說如是諸四法時，三千大千世	得 灌 頂 位 佛 說 如 是 諸 四 法 時 三千大千 世 
T15n0625_001:0370a25	界六種震動，大光普照。於上空中百千億天，	界 六種震動 大 光 普 照 於 上 空 中 百 千 億 天 
T15n0625_001:0370a26	作天伎樂歌詠讚歎，雨天曼陀羅華，作是歎	作 天 伎 樂 歌 詠 讚 歎 雨 天曼陀羅華 作 是 歎 
T15n0625_001:0370a27	言：「如來世尊無量阿僧祇劫所集無上正真	言 如 來 世 尊 無量阿僧祇劫 所 集 無 上 正 真 
T15n0625_001:0370a28	道法，皆悉於是諸四法中開示顯說。若有眾	道 法 皆 悉 於 是 諸 四 法 中 開 示 顯 說 若 有 眾 
T15n0625_001:0370a29	生得聞是經，受持、讀誦兼復書寫，於大眾中	生 得 聞 是 經 受 持 讀 誦 兼 復 書 寫 於 大 眾 中 
T15n0625_001:0370b01	廣分別說，當知是人不從小功德來。若有眾	廣分別說 當 知 是 人 不 從 小 功 德 來 若 有 眾 
T15n0625_001:0370b02	生聞於如是諸四句法，聞已信解受持、讀誦，	生 聞 於 如 是 諸 四 句 法 聞 已 信 解 受 持 讀 誦 
T15n0625_001:0370b03	在大眾中廣為人說，不離菩提心，彼人不久	在 大 眾 中 廣 為 人 說 不 離 菩 提 心 彼 人 不 久 
T15n0625_001:0370b04	當於人天諸大眾中大師子吼，如今如來大	當 於 人 天 諸 大 眾 中 大 師 子 吼 如 今 如 來 大 
T15n0625_001:0370b05	師子吼。我等今者快得善利，得聞如是諸四	師 子 吼 我 等 今 者 快 得 善 利 得 聞 如 是 諸 四 
T15n0625_001:0370b06	句法，復能信解演說如是諸四法。」時八萬四	句 法 復 能 信 解 演 說 如 是 諸 四 法 時 八 萬 四 
T15n0625_001:0370b07	千人天發阿耨多羅三藐三菩提心，萬二千	千 人 天 發 阿耨多羅三藐三菩提 心 萬 二 千 
T15n0625_001:0370b08	菩薩得無生法忍。爾時天冠菩薩白言：「世尊！	菩 薩 得無生法忍 爾 時 天 冠 菩 薩 白 言 世 尊 
T15n0625_001:0370b09	菩薩成就幾法，佛涅槃後得聞是經，受持讀	菩 薩 成 就 幾 法 佛 涅 槃 後 得 聞 是 經 受 持 讀 
T15n0625_001:0370b10	誦兼復書寫，於大眾中廣說顯示？」佛告天冠	誦 兼 復 書 寫 於 大 眾 中 廣 說 顯 示 佛 告 天 冠 
T15n0625_001:0370b11	菩薩：「善男子！菩薩成就八法，佛涅槃後受持	菩 薩 善 男 子 菩 薩 成 就 八 法 佛 涅 槃 後 受 持 
T15n0625_001:0370b12	讀誦書寫此經，於大眾中廣分別說。何等八？	讀 誦 書 寫 此 經 於 大 眾 中 廣分別說 何 等 八 
T15n0625_001:0370b13	志意成就專向菩提。究竟行慈於諸眾生無	志 意 成 就 專 向 菩 提 究 竟 行 慈 於 諸 眾 生 無 
T15n0625_001:0370b14	侵害心。住於大悲化諸眾生。常求法利樂法	侵 害 心 住 於 大 悲 化 諸 眾 生 常 求 法 利 樂 法 
T15n0625_001:0370b15	欲法求法集法，心無滿足如海吞流。放捨身	欲 法 求 法 集 法 心 無 滿 足 如 海 吞 流 放 捨 身 
T15n0625_001:0370b16	命守護正法。厚種善根集諸福德。發起大願	命 守 護 正 法 厚 種 善 根 集 諸 福 德 發 起 大 願 
T15n0625_001:0370b17	諸佛護持。降諸魔怨離大眾畏。天冠！是為菩	諸 佛 護 持 降 諸 魔 怨 離 大 眾 畏 天 冠 是 為 菩 
T15n0625_001:0370b18	薩成就八法，佛涅槃後能得受持、讀誦、書寫如	薩 成 就 八 法 佛 涅 槃 後 能 得 受 持 讀 誦 書 寫 如 
T15n0625_001:0370b19	是經法，在大眾中廣為人說。」當于演說如是	是 經 法 在 大 眾 中 廣 為 人 說 當 于 演 說 如 是 
T15n0625_001:0370b20	法時，於此三千大千世界亦復六種震動，坑	法 時 於 此 三千大千世界 亦 復 六種震動 坑 
T15n0625_001:0370b21	坎、堆垖、諸山、污穢，江河、池流及諸大海，皆不	坎 堆 垖 諸 山 污 穢 江 河 池 流 及 諸 大 海 皆 不 
T15n0625_001:0370b22	復現，亦不惱觸水性眾生。爾時三千大千世	復 現 亦 不 惱 觸 水 性 眾 生 爾 時 三千大千 世 
T15n0625_001:0370b23	界，悉平如掌微妙莊嚴，於此三千大千世界，	界 悉 平 如 掌 微 妙 莊 嚴 於 此 三千大千世界 
T15n0625_001:0370b24	百歲枯樹皆生花葉，傾向於佛，諸生卉樹花	百 歲 枯 樹 皆 生 花 葉 傾 向 於 佛 諸 生 卉 樹 花 
T15n0625_001:0370b25	葉果茂亦傾向佛。此大地上生諸蓮花，大如	葉 果 茂 亦 傾 向 佛 此 大 地 上 生 諸 蓮 花 大 如 
T15n0625_001:0370b26	車輪雜色可愛，妙香適意大光普照，遍此三	車 輪 雜 色 可 愛 妙 香 適 意 大 光 普 照 遍 此 三 
T15n0625_001:0370b27	千大千世界。上虛空中有諸天子，不現其形	千 大千世界 上 虛 空 中 有 諸 天 子 不 現 其 形 
T15n0625_001:0370b28	鼓眾伎樂，聞是樂音，雪山王中、香山王中，所	鼓 眾 伎 樂 聞 是 樂 音 雪 山 王 中 香 山 王 中 所 
T15n0625_001:0370b29	有諸天倍出妙香，令此三千大千世界普悉	有 諸 天 倍 出 妙 香 令 此 三千大千世界 普 悉 
T15n0625_001:0370c01	大香。時雪山王、香山王中，雨眾妙花皆流趣	大 香 時 雪 山 王 香 山 王 中 雨 眾 妙 花 皆 流 趣 
T15n0625_001:0370c02	佛，遍滿三千大千世界，其餘諸樹亦悉雨花，	佛 遍 滿 三千大千世界 其 餘 諸 樹 亦 悉 雨 花 
T15n0625_001:0370c03	於上空中有一寶蓋覆萬由旬，是大寶蓋垂	於 上 空 中 有 一 寶 蓋 覆 萬 由 旬 是 大 寶 蓋 垂 
T15n0625_001:0370c04	真珠貫鈴網莊嚴，諸鈴網中所出音聲柔軟	真 珠 貫 鈴 網 莊 嚴 諸 鈴 網 中 所 出 音 聲 柔 軟 
T15n0625_001:0370c05	悅意，有大妙音遍聞三千大千世界。爾時大	悅 意 有 大 妙 音 遍 聞 三千大千世界 爾 時 大 
T15n0625_001:0370c06	德舍利弗見是變現，合掌向佛白言：「世尊！是	德 舍 利 弗 見 是 變 現 合 掌 向 佛 白 言 世 尊 是 
T15n0625_001:0370c07	何光瑞，有是希有未曾之相，普此三千大千	何 光 瑞 有 是 希 有 未 曾 之 相 普 此 三千大千 
T15n0625_001:0370c08	世界，皆悉莊嚴甚可愛樂？」佛告舍利弗：「是大	世 界 皆 悉 莊 嚴 甚 可 愛 樂 佛 告 舍 利 弗 是 大 
T15n0625_001:0370c09	樹緊那羅王！從香山中與無量緊那羅、無量	樹 緊 那 羅 王 從 香 山 中 與 無 量 緊 那 羅 無 量 
T15n0625_001:0370c10	乾闥婆、無量諸天、無量摩睺羅伽，大眾圍遶，	乾 闥 婆 無 量 諸 天 無 量 摩睺羅伽 大 眾 圍 遶 
T15n0625_001:0370c11	欲來見佛禮拜供養。是大樹緊那羅王欲來	欲 來 見 佛 禮拜供養 是 大 樹 緊 那 羅 王 欲 來 
T15n0625_001:0370c12	見佛先現此相。」語言未久，大樹緊那羅王與	見 佛 先 現 此 相 語 言 未 久 大 樹 緊 那 羅 王 與 
T15n0625_001:0370c13	無量緊那羅眾、無量乾闥婆眾、無量天眾、無	無 量 緊 那 羅 眾 無 量 乾 闥 婆 眾 無 量 天 眾 無 
T15n0625_001:0370c14	量摩睺羅眾，大眾圍遶，作八萬四千伎樂，	量 摩 睺 羅 眾 大 眾 圍 遶 作 八萬四千 伎 樂 
T15n0625_001:0370c15	以淨妙歌善和眾樂。復有無量百千眾生皆悉	以 淨 妙 歌 善 和 眾 樂 復 有 無 量 百 千 眾 生 皆 悉 
T15n0625_001:0370c16	隨從，菩薩神通大力所持，上昇虛空普雨眾	隨 從 菩 薩 神 通 大 力 所 持 上 昇 虛 空 普 雨 眾 
T15n0625_001:0370c17	花來詣佛所。到已，及諸侍從頂禮佛足，右遶	花 來 詣 佛 所 到 已 及 諸 侍 從 頂禮佛足 右 遶 
T15n0625_001:0370c18	七匝住世尊前。爾時大樹緊那羅王以己所	七 匝 住 世 尊 前 爾 時 大 樹 緊 那 羅 王 以 己 所 
T15n0625_001:0370c19	彈琉璃之琴，閻浮檀金花葉莊嚴，善淨業報	彈 琉 璃 之 琴 閻浮檀金 花 葉 莊 嚴 善 淨 業 報 
T15n0625_001:0370c20	之所造作，在如來前善自調琴，及餘八萬四	之 所 造 作 在 如 來 前 善 自 調 琴 及 餘 八 萬 四 
T15n0625_001:0370c21	千伎樂。是大樹緊那羅王當彈此琴，鼓眾樂	千 伎 樂 是 大 樹 緊 那 羅 王 當 彈 此 琴 鼓 眾 樂 
T15n0625_001:0370c22	時，其音普皆聞此三千大千世界，是琴音聲	時 其 音 普 皆 聞 此 三千大千世界 是 琴 音 聲 
T15n0625_001:0370c23	及妙歌聲，隱蔽欲界諸天音樂。爾時欲界所	及 妙 歌 聲 隱 蔽 欲 界 諸 天 音 樂 爾 時 欲 界 所 
T15n0625_001:0370c24	有諸天，皆捨音樂來詣佛所。是大樹緊那羅	有 諸 天 皆 捨 音 樂 來 詣 佛 所 是 大 樹 緊 那 羅 
T15n0625_001:0370c25	王當鼓琴時，三千大千世界所有叢林諸山，	王 當 鼓 琴 時 三千大千世界 所 有 叢 林 諸 山 
T15n0625_001:0370c26	謂：須彌山、王雪山、目真隣陀山、摩訶目真隣	謂 須 彌 山 王 雪 山 目 真 隣 陀 山 摩 訶 目 真 隣 
T15n0625_001:0370c27	陀山、黑山，及眾藥草、樹木叢林悉皆涌沒。	陀 山 黑 山 及 眾 藥 草 樹 木 叢 林 悉 皆 涌 沒 
T15n0625_001:0370c28	涌、漸遍涌、等遍涌，動、漸遍動、等遍動，震、	涌 漸 遍 涌 等 遍 涌 動 漸 遍 動 等 遍 動 震 
T15n0625_001:0370c29	漸遍振、等遍震，猶如有人極為醉酒，前却	漸 遍 振 等 遍 震 猶 如 有 人 極 為 醉 酒 前 却 
T15n0625_001:0371a01	顛倒不能自持，諸山須彌頗峨涌沒亦復	顛 倒 不 能 自 持 諸 山 須 彌 頗 峨 涌 沒 亦 復 
T15n0625_001:0371a02	如是！大樹緊那羅王當鼓琴時，佛大眾中，人、	如 是 大 樹 緊 那 羅 王 當 鼓 琴 時 佛 大 眾 中 人 
T15n0625_001:0371a03	王眾等，比丘、比丘尼、優婆塞、優婆夷，天、龍、	王 眾 等 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 天 龍 
T15n0625_001:0371a04	夜叉、乾闥婆、阿修羅、迦樓羅、緊那羅、摩睺羅	夜 叉 乾 闥 婆 阿 修 羅 迦 樓 羅 緊 那 羅 摩 睺 羅 
T15n0625_001:0371a05	伽，釋、梵、護世、若人、非人及離欲者，唯除菩薩	伽 釋 梵 護 世 若 人 非 人 及 離 欲 者 唯 除 菩 薩 
T15n0625_001:0371a06	不退轉者，其餘一切諸大眾等，聞是琴聲及	不 退 轉 者 其 餘 一 切 諸 大 眾 等 聞 是 琴 聲 及 
T15n0625_001:0371a07	諸樂音，各不自安從座起舞。時諸一切聲聞	諸 樂 音 各 不 自 安 從 座 起 舞 時 諸 一 切 聲 聞 
