T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_001:0101a25	樂。作獄已竟名愛樂獄。又白王言若有人入	樂 作 獄 已 竟 名 愛 樂 獄 又 白 王 言 若 有 人 入 
T50n2042_001:0101a26	要不聽出。王即聽可。時彼惡耆梨往到雞頭	要 不 聽 出 王 即 聽 可 時 彼 惡 耆 梨 往 到 雞 頭 
T50n2042_001:0101a27	末寺。時彼寺中有一比丘。誦惡嬰愚經言。憙	末 寺 時 彼 寺 中 有 一 比 丘 誦 惡 嬰 愚 經 言 憙 
T50n2042_001:0101a28	鑊湯者以碓擣之。喜碓臼者以鑊煮之。在地	鑊 湯 者 以 碓 擣 之 喜 碓 臼 者 以 鑊 煮 之 在 地 
T50n2042_001:0101a29	獄中吞大鐵丸融銅灌口。聞是語已即自念	獄 中 吞 大 鐵 丸 融 銅 灌 口 聞 是 語 已 即 自 念 
T50n2042_001:0101b01	言。我獄城中亦當作此。時有長者夫妻。相	言 我 獄 城 中 亦 當 作 此 時 有 長 者 夫 妻 相 
T50n2042_001:0101b02	將入海採寶。到於海中生一男兒。即為立字	將 入 海 採 寶 到 於 海 中 生 一 男 兒 即 為 立 字 
T50n2042_001:0101b03	名之為海。經十二年乃出於海。逢五百賊劫	名 之 為 海 經 十 二 年 乃 出 於 海 逢 五 百 賊 劫 
T50n2042_001:0101b04	其財物殺害長者。於是子海便出家學道。展	其 財 物 殺 害 長 者 於 是 子 海 便 出家學道 展 
T50n2042_001:0101b05	轉乞食至華氏城。不識村落入愛樂獄中而	轉 乞 食 至 華 氏 城 不 識 村 落 入 愛 樂 獄 中 而 
T50n2042_001:0101b06	作是言。外相可愛內如地獄。便欲出去耆梨	作 是 言 外 相 可 愛 內 如 地 獄 便 欲 出 去 耆 梨 
T50n2042_001:0101b07	不聽。語比丘曰汝今於此當受死罪如何欲	不 聽 語 比 丘 曰 汝 今 於 此 當 受 死 罪 如 何 欲 
T50n2042_001:0101b08	出。比丘聞已即便大哭。耆梨問言何為大哭	出 比 丘 聞 已 即 便 大 哭 耆 梨 問 言 何 為 大 哭 
T50n2042_001:0101b09	如嬰兒也。比丘答言我不畏死而作是哭畏	如 嬰 兒 也 比 丘 答 言 我 不 畏 死 而 作 是 哭 畏 
T50n2042_001:0101b10	失善利。何以故我新出家未證道法。人身難	失 善 利 何 以 故 我 新 出 家 未 證 道 法 人 身 難 
T50n2042_001:0101b11	得佛法難值是故哭耳。耆梨言王先聽我。	得 佛 法 難 值 是 故 哭 耳 耆 梨 言 王 先 聽 我 
T50n2042_001:0101b12	入此城者不令使出必索治罪。比丘言活我	入 此 城 者 不 令 使 出 必 索 治 罪 比 丘 言 活 我 
T50n2042_001:0101b13	七日。隨汝殺之即便聽許。時阿恕伽王見其	七 日 隨 汝 殺 之 即 便 聽 許 時 阿 恕 伽 王 見 其 
T50n2042_001:0101b14	宮人共他男子有愛著語。便生瞋忿付愛樂	宮 人 共 他 男 子 有 愛 著 語 便 生 瞋 忿 付 愛 樂 
T50n2042_001:0101b15	獄。耆梨尋時即以碓擣。杵下打頭眼精脫	獄 耆 梨 尋 時 即 以 碓 擣 杵 下 打 頭 眼 精 脫 
T50n2042_001:0101b16	出。比丘見已得厭惡心而作是念。嗚呼大悲	出 比 丘 見 已 得 厭 惡 心 而 作 是 念 嗚 呼 大 悲 
T50n2042_001:0101b17	所言誠諦。說色危脆猶如聚沫不堅。速朽無	所 言 誠 諦 說 色 危 脆 猶 如 聚 沫 不 堅 速 朽 無 
T50n2042_001:0101b18	有暫停。端政容貌今安所在。好顏薄皮亦俱	有 暫 停 端 政 容 貌 今 安 所 在 好 顏 薄 皮 亦 俱 
T50n2042_001:0101b19	敗壞。怪哉生死嬰愚所樂。非是聖法見此境	敗 壞 怪 哉 生 死 嬰 愚 所 樂 非 是 聖 法 見 此 境 
T50n2042_001:0101b20	界不沒有悔。於是比丘通夜觀察。斷眾結使	界 不 沒 有 悔 於 是 比 丘 通 夜 觀 察 斷 眾 結 使 
T50n2042_001:0101b21	得成須陀洹果。如是精勤乃至復獲阿羅漢	得 成 須陀洹果 如 是 精 勤 乃 至 復 獲 阿 羅 漢 
T50n2042_001:0101b22	道。已滿七日耆梨語言。七日已過八日欲出	道 已 滿 七 日 耆 梨 語 言 七 日 已 過 八 日 欲 出 
T50n2042_001:0101b23	可受刑罰。比丘答言我夜已過我日已出。利	可 受 刑 罰 比 丘 答 言 我 夜 已 過 我 日 已 出 利 
T50n2042_001:0101b24	益時到隨汝刑治。耆梨問言云何名為我夜	益 時 到 隨 汝 刑 治 耆 梨 問 言 云 何 名 為 我 夜 
T50n2042_001:0101b25	已過我日已出利益時到。廣為我說。比丘答	已 過 我 日 已 出 利 益 時 到 廣 為 我 說 比 丘 答 
T50n2042_001:0101b26	言吾昔黑闇無明之夜。結使怨賊悉已永滅。	言 吾 昔 黑 闇 無 明 之 夜 結 使 怨 賊 悉 已 永 滅 
T50n2042_001:0101b27	則是名曰我夜已過。智慧空心諦見三界。是	則 是 名 曰 我 夜 已 過 智 慧 空 心 諦 見 三 界 是 
T50n2042_001:0101b28	則名為我日已出。佛之所為我今悉成。是則	則 名 為 我 日 已 出 佛 之 所 為 我 今 悉 成 是 則 
T50n2042_001:0101b29	名之利益時到。但令汝老壽任意見治。耆梨	名 之 利 益 時 到 但 令 汝 老 壽 任 意 見 治 耆 梨 
T50n2042_001:0101c01	心惡殘害無罪。不信後世作重瞋恚。便設	心 惡 殘 害 無 罪 不 信 後 世 作 重 瞋 恚 便 設 
T50n2042_001:0101c02	大鑊以水置中。脂膏血髓屎尿穢惡俱充滿	大 鑊 以 水 置 中 脂 膏 血 髓 屎 尿 穢 惡 俱 充 滿 
T50n2042_001:0101c03	之。即以比丘提擲著中。下然大火薪草欲盡	之 即 以 比 丘 提 擲 著 中 下 然 大 火 薪 草 欲 盡 
T50n2042_001:0101c04	不能令熱。於是耆梨瞋然火者以杖打之。	不 能 令 熱 於 是 耆 梨 瞋 然 火 者 以 杖 打 之 
T50n2042_001:0101c05	手自著火薪柴都盡亦復不熱。又以屋椽塗	手 自 著 火 薪 柴 都 盡 亦 復 不 熱 又 以 屋 椽 塗 
T50n2042_001:0101c06	蘇眾疊悉然使盡水冷如故。怪其所由便看	蘇 眾 疊 悉 然 使 盡 水 冷 如 故 怪 其 所 由 便 看 
T50n2042_001:0101c07	鑊中。見向比丘結跏趺坐。坐千葉蓮花上。	鑊 中 見 向 比 丘 結跏趺坐 坐 千 葉 蓮 花 上 
T50n2042_001:0101c08	爾時耆梨甚驚所以。便往白王王即來看壞	爾 時 耆 梨 甚 驚 所 以 便 往 白 王 王 即 來 看 壞 
T50n2042_001:0101c09	牆而入。一切人民隨從王者數千億萬觀此比	牆 而 入 一 切 人 民 隨 從 王 者 數 千 億 萬 觀 此 比 
T50n2042_001:0101c10	丘。是時比丘見無量眾應受化者皆已聚集。	丘 是 時 比 丘 見 無 量 眾 應 受 化 者 皆 已 聚 集 
T50n2042_001:0101c11	即從鑊出衣服潔淨。一切大眾無不覩見。踊	即 從 鑊 出 衣 服 潔 淨 一 切 大 眾 無 不 覩 見 踊 
T50n2042_001:0101c12	身虛空作種種變。身上出水身下出火。譬如	身 虛 空 作 種 種 變 身 上 出 水 身 下 出 火 譬 如 
T50n2042_001:0101c13	大山顯于虛空中。王見此已生希有心。瞻仰	大 山 顯 于 虛 空 中 王 見 此 已 生希有心 瞻 仰 
T50n2042_001:0101c14	恭敬合掌觀察而作是言。今此比丘同與我	恭敬合掌 觀 察 而 作 是 言 今 此 比 丘 同 與 我 
T50n2042_001:0101c15	等俱稟人身。威德尊妙出過世表。踊在虛空	等 俱 稟 人 身 威 德 尊 妙 出 過 世 表 踊 在 虛 空 
T50n2042_001:0101c16	現大神足。我今未解唯願善說。便得了知汝	現 大 神 足 我 今 未 解 唯 願 善 說 便 得 了 知 汝 
T50n2042_001:0101c17	之聖事。隨我力能而當服習。	之 聖 事 隨 我 力 能 而 當 服 習 
T50n2042_001:0101c18	爾時比丘知阿育王是大檀越必能分布佛之	爾 時 比 丘 知 阿 育 王 是 大 檀 越 必 能 分 布 佛 之 
T50n2042_001:0101c19	舍利饒益天人。時佛說言我是大悲斷結使	舍 利 饒 益 天 人 時 佛 說 言 我 是 大 悲 斷 結 使 
T50n2042_001:0101c20	者。佛之法子於三有中已得解脫。為調御者	者 佛 之 法 子 於 三 有 中 已 得 解 脫 為 調 御 者 
T50n2042_001:0101c21	所調。為寂滅者所滅。為解脫者所解。大王當	所 調 為 寂 滅 者 所 滅 為 解 脫 者 所 解 大 王 當 
T50n2042_001:0101c22	知佛亦記汝將來佛滅百年後。王華氏城號	知 佛 亦 記 汝 將 來 佛 滅 百 年 後 王 華 氏 城 號 
T50n2042_001:0101c23	阿恕伽。轉輪聖王王四分之一。為正法王廣	阿 恕 伽 轉輪聖王 王 四 分 之 一 為 正 法 王 廣 
T50n2042_001:0101c24	分舍利。而起八萬四千寶塔。王今乃返造	分 舍 利 而 起 八萬四千 寶 塔 王 今 乃 返 造 
T50n2042_001:0101c25	大獄城如似地獄。殘害百千眾生之命。大王	大 獄 城 如 似 地 獄 殘 害 百 千 眾 生 之 命 大 王 
T50n2042_001:0101c26	汝今應當施於一切眾生無畏。亦復應當滿	汝 今 應 當 施 於 一 切 眾 生 無 畏 亦 復 應 當 滿 
T50n2042_001:0101c27	足佛意。人中帝釋必施無畏起悲愍心。分布	足 佛 意 人 中 帝 釋 必 施 無 畏 起 悲 愍 心 分 布 
T50n2042_001:0101c28	舍利廣作真濟。王聞是語於佛法中深生信	舍 利 廣 作 真 濟 王 聞 是 語 於佛法中 深 生 信 
T50n2042_001:0101c29	悟。合掌恭敬十力之子而作是言。我先所作	悟 合掌恭敬 十 力 之 子 而 作 是 言 我 先 所 作 
T50n2042_001:0102a01	極有罪過聽我懺悔。今歸依佛歸依如來所	極 有 罪 過 聽 我 懺 悔 今 歸 依 佛 歸 依 如 來 所 
T50n2042_001:0102a02	說勝法。當開福業莊嚴大地。爾時比丘即乘	說 勝 法 當 開 福 業 莊 嚴 大 地 爾 時 比 丘 即 乘 
T50n2042_001:0102a03	空出王亦欲出。惡耆梨言王先與我有要入	空 出 王 亦 欲 出 惡 耆 梨 言 王 先 與 我 有 要 入 
T50n2042_001:0102a04	此獄者盡不聽出。王便語言欲殺我耶答言欲	此 獄 者 盡 不 聽 出 王 便 語 言 欲 殺 我 耶 答 言 欲 
T50n2042_001:0102a05	殺。王言汝為先入我在前入耶。答王言我在	殺 王 言 汝 為 先 入 我 在 前 入 耶 答 王 言 我 在 
T50n2042_001:0102a06	前入。王言汝在前入應前受罪。王即遣人捉	前 入 王 言 汝 在 前 入 應 前 受 罪 王 即 遣 人 捉 
T50n2042_001:0102a07	耆梨置胡膠。舍中以火燒殺壞愛樂獄施眾	耆 梨 置 胡 膠 舍 中 以 火 燒 殺 壞 愛 樂 獄 施 眾 
T50n2042_001:0102a08	生無畏。便詣王舍城取阿闍世王所埋四升	生 無 畏 便 詣 王 舍 城 取 阿 闍 世 王 所 埋 四 升 
T50n2042_001:0102a09	舍利。即於此處造立大塔。第二第三乃至第	舍 利 即 於 此 處 造 立 大 塔 第二第三 乃 至 第 
T50n2042_001:0102a10	七所埋舍利悉皆取之。於是復到羅摩聚	七 所 埋 舍 利 悉 皆 取 之 於 是 復 到 羅 摩 聚 
T50n2042_001:0102a11	落。海龍王所欲取舍利。龍王即出請王入宮。	落 海 龍 王 所 欲 取 舍 利 龍 王 即 出 請 王 入 宮 
T50n2042_001:0102a12	王便下船入於龍宮。龍白王言唯願留此舍	王 便 下 船 入 於 龍 宮 龍 白 王 言 唯 願 留 此 舍 
T50n2042_001:0102a13	利聽我供養慎莫取去。王見龍王恭敬供養	利 聽 我 供 養 慎 莫 取 去 王 見 龍 王 恭敬供養 
T50n2042_001:0102a14	倍加人間。遂即留置而不持去。王還於本處	倍 加 人 間 遂 即 留 置 而 不 持 去 王 還 於 本 處 
T50n2042_001:0102a15	便造八萬四千寶篋。金銀琉璃以嚴飾之。一	便 造 八萬四千 寶 篋 金 銀 琉 璃 以 嚴 飾 之 一 
T50n2042_001:0102a16	寶篋中盛一舍利。復造八萬四千寶甕。八萬	寶 篋 中 盛 一 舍 利 復 造 八萬四千 寶 甕 八 萬 
T50n2042_001:0102a17	四千寶蓋。八萬四千疋綵以為裝校。一一	四 千 寶 蓋 八萬四千 疋 綵 以 為 裝 校 一 一 
T50n2042_001:0102a18	舍利付一夜叉使遍閻浮提。其有一億人處	舍 利 付 一 夜 叉 使 遍 閻 浮 提 其 有 一 億 人 處 
T50n2042_001:0102a19	造立一塔。於是鬼神各持舍利四出作塔。有	造 立 一 塔 於 是 鬼 神 各 持 舍 利 四 出 作 塔 有 
T50n2042_001:0102a20	一夜叉齎一舍利。至得叉尸羅國欲作浮圖。	一 夜 叉 齎 一 舍 利 至 得 叉 尸 羅 國 欲 作 浮 圖 
T50n2042_001:0102a21	其國人民言我國人民凡有三十六億。今當	其 國 人 民 言 我 國 人 民 凡 有 三 十 六 億 今 當 
T50n2042_001:0102a22	與我三十六篋。時夜叉鬼具以上事還白於	與 我 三 十 六 篋 時 夜 叉 鬼 具 以 上 事 還 白 於 
T50n2042_001:0102a23	王。王自念言人眾甚多。若爾作者舍利不足	王 王 自 念 言 人 眾 甚 多 若 爾 作 者 舍 利 不 足 
T50n2042_001:0102a24	滿閻浮提。當設方便斷而不與。即遣夜叉復	滿 閻 浮 提 當 設 方 便 斷 而 不 與 即 遣 夜 叉 復 
T50n2042_001:0102a25	語之曰。除却汝國三十五億。唯留一億與一	語 之 曰 除 却 汝 國 三 十 五 億 唯 留 一 億 與 一 
T50n2042_001:0102a26	舍利。彼國人言我寧不用三十六篋。得一便	舍 利 彼 國 人 言 我 寧 不 用 三 十 六 篋 得 一 便 
T50n2042_001:0102a27	休願莫殺我等。便從其意唯與一篋。於是王	休 願 莫 殺 我 等 便 從 其 意 唯 與 一 篋 於 是 王 
T50n2042_001:0102a28	言多一億處莫與舍利。少一億處亦莫與之。	言 多 一 億 處 莫 與 舍 利 少 一 億 處 亦 莫 與 之 
T50n2042_001:0102a29	作此語已向雞頭摩寺。到於上座夜舍之前	作 此 語 已 向 雞 頭 摩 寺 到 於 上 座 夜 舍 之 前 
T50n2042_001:0102b01	合掌而言。我今欲於閻浮提內造立八萬四	合 掌 而 言 我 今 欲 於 閻 浮 提 內 造 立 八 萬 四 
T50n2042_001:0102b02	千寶塔。上座答言善哉善哉。王若欲得一時	千 寶 塔 上 座 答 言 善哉善哉 王 若 欲 得 一 時 
T50n2042_001:0102b03	作塔。我於大王作塔之。時以手障日可遍勅	作 塔 我 於 大 王 作 塔 之 時 以 手 障 日 可 遍 勅 
T50n2042_001:0102b04	國。界手障日時盡仰立。塔於是後即以手障。	國 界 手 障 日 時 盡 仰 立 塔 於 是 後 即 以 手 障 
T50n2042_001:0102b05	日閻浮提內一時造。塔造塔已竟一切人民	日 閻 浮 提 內 一 時 造 塔 造 塔 已 竟 一 切 人 民 
T50n2042_001:0102b06	號為正法阿恕伽王。廣能安隱饒益世間。遍	號 為 正 法 阿 恕 伽 王 廣 能 安 隱 饒 益 世 間 遍 
T50n2042_001:0102b07	於國界而起塔廟。善得滋長惡名消滅。天下	於 國 界 而 起 塔 廟 善 得 滋 長 惡 名 消 滅 天 下 
T50n2042_001:0102b08	皆稱為正法王。	皆 稱 為 正 法 王 
T50n2042_001:0102b09	阿育王本緣傳之一	阿 育 王 本 緣 傳 之 一 
T50n2042_001:0102b10	阿恕伽王作塔已訖歡喜踊躍。群臣圍繞至	阿 恕 伽 王 作 塔 已 訖 歡喜踊躍 群 臣 圍 繞 至 
T50n2042_001:0102b11	雞頭摩寺詣上座前而問之言。此閻浮提頗	雞 頭 摩 寺 詣 上 座 前 而 問 之 言 此 閻 浮 提 頗 
T50n2042_001:0102b12	有如我為佛記者不。上座夜舍即答王言。亦	有 如 我 為 佛 記 者 不 上 座 夜 舍 即 答 王 言 亦 
T50n2042_001:0102b13	有如王佛所記者。昔者佛在烏長國降阿波	有 如 王 佛 所 記 者 昔 者 佛 在 烏 長 國 降 阿 波 
T50n2042_001:0102b14	波龍。於罽賓國降化梵志師。於乾陀衛國化	波 龍 於 罽 賓 國 降 化 梵 志 師 於 乾 陀 衛 國 化 
T50n2042_001:0102b15	真陀羅。於乾陀羅國降伏牛龍。於是復往末	真 陀 羅 於 乾 陀 羅 國 降 伏 牛 龍 於 是 復 往 末 
T50n2042_001:0102b16	突羅國告阿難言。我百年後末突羅當有長	突 羅 國 告 阿 難 言 我 百 年 後 末 突 羅 當 有 長 
T50n2042_001:0102b17	者名為掘多。其子名曰優波掘多。雖無相	者 名 為 掘 多 其 子 名 曰 優 波 掘 多 雖 無 相 
T50n2042_001:0102b18	好化導如佛。能不入定知一由旬眾生心相。	好 化 導 如 佛 能 不 入 定 知 一 由 旬 眾 生 心 相 
T50n2042_001:0102b19	教授禪法最為第一。種種化導而作佛事。	教 授 禪 法 最 為 第 一 種 種 化 導 而 作 佛 事 
T50n2042_001:0102b20	又復告阿難汝今見是青色園不。已見世尊。	又 復 告 阿 難 汝 今 見 是 青 色 園 不 已 見 世 尊 
T50n2042_001:0102b21	佛言此名優留慢荼山。那羅拔利阿蘭若處。	佛 言 此 名 優 留 慢 荼 山 那 羅 拔 利 阿蘭若處 
T50n2042_001:0102b22	房舍敷具最為第一。能生定心如是事皆是	房 舍 敷 具 最 為 第 一 能 生 定 心 如 是 事 皆 是 
T50n2042_001:0102b23	佛記。王聞是語白上座言。彼清淨尊者為出	佛 記 王 聞 是 語 白 上 座 言 彼 清 淨 尊 者 為 出 
T50n2042_001:0102b24	世未也。答言已出消滅結使得羅漢道。與萬	世 未 也 答 言 已 出 消 滅 結 使 得 羅 漢 道 與 萬 
T50n2042_001:0102b25	八千阿羅漢眾圍繞。在於優留慢荼山那羅	八 千 阿 羅 漢 眾 圍 繞 在 於 優 留 慢 荼 山 那 羅 
T50n2042_001:0102b26	拔利阿蘭若處。具一切智最勝清淨為諸賢	拔 利 阿蘭若處 具 一 切 智 最 勝 清 淨 為 諸 賢 
T50n2042_001:0102b27	聖眾生之類開說法門。天龍夜叉人與非人。	聖 眾 生 之 類 開 說 法 門 天 龍 夜 叉 人 與 非 人 
T50n2042_001:0102b28	皆使得入解脫之城。王語諸臣急疾莊嚴車	皆 使 得 入 解 脫 之 城 王 語 諸 臣 急 疾 莊 嚴 車 
T50n2042_001:0102b29	兵步兵象馬之兵。我今欲往優留慢荼山觀	兵 步 兵 象 馬 之 兵 我 今 欲 往 優 留 慢 荼 山 觀 
T50n2042_001:0102c01	解脫眾尊者。大德優波掘多得漏盡者。輔	解 脫 眾 尊 者 大 德 優 波 掘 多 得 漏 盡 者 輔 
T50n2042_001:0102c02	相啟王彼國隘小士眾極多。但遣使喚彼自	相 啟 王 彼 國 隘 小 士 眾 極 多 但 遣 使 喚 彼 自 
T50n2042_001:0102c03	當來。王即答言彼應往見。何以故我今未得	當 來 王 即 答 言 彼 應 往 見 何 以 故 我 今 未 得 
T50n2042_001:0102c04	金剛心故。云何屈彼如佛之人。即遣使白尊	金 剛 心 故 云 何 屈 彼 如 佛 之 人 即 遣 使 白 尊 
T50n2042_001:0102c05	者優婆掘多。我今欲往覲問尊者。尊者聞	者 優 婆 掘 多 我 今 欲 往 覲 問 尊 者 尊 者 聞 
T50n2042_001:0102c06	已自思惟言。若使王來國土隘小困苦者眾	已 自 思 惟 言 若 使 王 來 國 土 隘 小 困 苦 者 眾 
T50n2042_001:0102c07	我當自往。尊者即便並合諸船作大長舫。廣	我 當 自 往 尊 者 即 便 並 合 諸 船 作 大 長 舫 廣 
T50n2042_001:0102c08	十二由旬與萬八千諸阿羅漢。共乘並舫來	十 二 由 旬 與 萬 八 千 諸 阿 羅 漢 共 乘 並 舫 來 
T50n2042_001:0102c09	向花氏城。有人告王尊者掘多為利益王故	向 花 氏 城 有 人 告 王 尊 者 掘 多 為 利 益 王 故 
T50n2042_001:0102c10	躬自來至。以大饒益為大船師。王聞歡喜自	躬 自 來 至 以 大 饒 益 為 大 船 師 王 聞 歡 喜 自 
T50n2042_001:0102c11	脫纓絡價直百千兩金賞此語者。約勅左右	脫 纓 絡 價 直 百 千 兩 金 賞 此 語 者 約 勅 左 右 
T50n2042_001:0102c12	擊鼓號令。欲得大富生於天者。欲求解脫見	擊 鼓 號 令 欲 得 大 富 生 於 天 者 欲 求 解 脫 見 
T50n2042_001:0102c13	如來者。當共供養優婆掘多。而說偈言。	如 來 者 當 共 供 養 優 婆 掘 多 而 說 偈 言 
T50n2042_001:0102c14	　諸有欲見兩足尊　　大悲世雄無師覺	 諸 有 欲 見 兩 足 尊 大 悲 世 雄 無 師 覺 
T50n2042_001:0102c15	　教化如佛照三有　　各來聚集共出迎	 教 化 如 佛 照 三 有 各 來 聚 集 共 出 迎 
