T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_001:1026c07	慶寶積皆在寶嚴之南。由雲慶還寶嚴亦三	慶 寶 積 皆 在 寶 嚴 之 南 由 雲 慶 還 寶 嚴 亦 三 
T51n2095_001:1026c08	里。寶嚴之東十五里。有下龍泉院。太一觀北	里 寶 嚴 之 東 十 五 里 有 下 龍 泉 院 太 一 觀 北 
T51n2095_001:1026c09	別有龍泉庵。此以下別之。由龍泉十里。至尊	別 有 龍 泉 庵 此 以 下 別 之 由 龍 泉 十 里 至 尊 
T51n2095_001:1026c10	勝庵。由尊勝庵八里。至白鹿臺。由白鹿臺十	勝 庵 由 尊 勝 庵 八 里 至 白 鹿 臺 由 白 鹿 臺 十 
T51n2095_001:1026c11	五里。至仁壽院。由仁壽十里。至香積院。由香	五 里 至 仁 壽 院 由 仁 壽 十 里 至 香 積 院 由 香 
T51n2095_001:1026c12	積三十里。至長嶺院。長嶺者彭蠡湖之別嶼	積 三 十 里 至 長 嶺 院 長 嶺 者 彭 蠡 湖 之 別 嶼 
T51n2095_001:1026c13	也。凡下龍泉至香積。非在山間。然山人野客。	也 凡 下 龍 泉 至 香 積 非 在 山 間 然 山 人 野 客 
T51n2095_001:1026c14	窮覽幽遠。皆甞至焉。水聲野色有足佳者。香	窮 覽 幽 遠 皆 甞 至 焉 水 聲 野 色 有 足 佳 者 香 
T51n2095_001:1026c15	積之西二十里。有山南開先寺之場圃。曰大	積 之 西 二 十 里 有 山 南 開 先 寺 之 場 圃 曰 大 
T51n2095_001:1026c16	富莊。過大富則遊山之南矣。寶嚴之西一里。	富 莊 過 大 富 則 遊 山 之 南 矣 寶 嚴 之 西 一 里 
T51n2095_001:1026c17	至龍池庵。舊名[曰/月]峯。由[曰/月]峯五里。至庵巖莊。	至 龍 池 庵 舊 名 [曰月]峯由[曰月] 峯 五 里 至 庵 巖 莊 
T51n2095_001:1026c18	由庵巖莊一里。至禪智院。舊名淨居。其後有	由 庵 巖 莊 一 里 至 禪 智 院 舊 名 淨 居 其 後 有 
T51n2095_001:1026c19	綠野亭。由禪智五里。至大中祥符觀。舊曰太	綠 野 亭 由 禪 智 五 里 至 大 中 祥 符 觀 舊 曰 太 
T51n2095_001:1026c20	一宮。祥符中賜今名。葛洪神仙傳曰。董真人	一 宮 祥 符 中 賜 今 名 葛 洪 神 仙 傳 曰 董 真 人 
T51n2095_001:1026c21	名奉。字君異。閩中候官人。少有道術。交趾太	名 奉 字 君 異 閩 中 候 官 人 少 有 道 術 交 趾 太 
T51n2095_001:1026c22	守士變死已三日。奉以一丸藥與服。以水含	守 士 變 死 已 三 日 奉 以 一 丸 藥 與 服 以 水 含 
T51n2095_001:1026c23	之。捧其頭搖捎之。食頃開目動手。顏色漸復。	之 捧 其 頭 搖 捎 之 食 頃 開 目 動 手 顏 色 漸 復 
T51n2095_001:1026c24	半日能起坐。四日能語。遂復常。後居廬山。治	半 日 能 起 坐 四 日 能 語 遂 復 常 後 居 廬 山 治 
T51n2095_001:1026c25	人之疾。不取貲幣。使愈者人植杏五株。數年	人 之 疾 不 取 貲 幣 使 愈 者 人 植 杏 五 株 數 年 
T51n2095_001:1026c26	欝茂成林。奉乃作倉廩。宣言人。貿杏者不須	欝 茂 成 林 奉 乃 作 倉 廩 宣 言 人 貿 杏 者 不 須 
T51n2095_001:1026c27	來報。但一器杏償一器稻。人有欺者。猛獸輒	來 報 但 一 器 杏 償 一 器 稻 人 有 欺 者 猛 獸 輒 
T51n2095_001:1026c28	逐之。所積稻復以施人。後上昇號碧虛上監。	逐 之 所 積 稻 復 以 施 人 後 上 昇 號 碧 虛 上 監 
T51n2095_001:1026c29	是觀即杏林之故地也。唐昇元六年。徐知證	是 觀 即 杏 林 之 故 地 也 唐 昇 元 六 年 徐 知 證 
T51n2095_001:1027a01	作真人廟記。及有保大十二年記。今存焉。氣	作 真 人 廟 記 及 有 保 大 十 二 年 記 今 存 焉 氣 
T51n2095_001:1027a02	象蕭然。過者敬而不敢褻。沼泉游魚尤為蕃	象 蕭 然 過 者 敬 而 不 敢 褻 沼 泉 游 魚 尤 為 蕃 
T51n2095_001:1027a03	狎。或曰。真人杏林在山。張景詩云。桃花謾說	狎 或 曰 真 人 杏 林 在 山 張 景 詩 云 桃 花 謾 說 
T51n2095_001:1027a04	武陵源。誤殺劉郎不得仙。爭似蓮花峯下客。	武 陵 源 誤 殺 劉 郎 不 得 仙 爭 似 蓮 花 峯 下 客 
T51n2095_001:1027a05	栽成紅杏上青天。今蓮花峯在觀後。觀之北	栽 成 紅 杏 上 青 天 今 蓮 花 峯 在 觀 後 觀 之 北 
T51n2095_001:1027a06	五里。有龍泉庵。初遠法師至于廬山。愛此間	五 里 有 龍 泉 庵 初 遠 法 師 至 于 廬 山 愛 此 間 
T51n2095_001:1027a07	曠。欲結庵焉。地無流泉。師以杖刺地。應時泉	曠 欲 結 庵 焉 地 無 流 泉 師 以 杖 刺 地 應 時 泉 
T51n2095_001:1027a08	涌浸為溪流。既而尋陽歲旱。遠師誦龍王經。	涌 浸 為 溪 流 既 而 尋 陽 歲 旱 遠 師 誦 龍 王 經 
T51n2095_001:1027a09	于池上。俄有龍起而上天。雨乃大足。故號龍	于 池 上 俄 有 龍 起 而 上 天 雨 乃 大 足 故 號 龍 
T51n2095_001:1027a10	泉。龍泉之南十里。有妙智院。舊名行春亭。由	泉 龍 泉 之 南 十 里 有 妙 智 院 舊 名 行 春 亭 由 
T51n2095_001:1027a11	妙智五里。至蛇岡。高僧傳云。安世高安息國	妙 智 五 里 至 蛇 岡 高 僧 傳 云 安 世 高 安 息 國 
T51n2095_001:1027a12	王之太子。讓國于季父而出家。漢魏間行達	王 之 太 子 讓 國 于 季 父 而 出 家 漢 魏 間 行 達 
T51n2095_001:1027a13	郜亭湖時湖神能分風上下。舟人敬憚。因與	郜 亭 湖 時 湖 神 能 分 風 上 下 舟 人 敬 憚 因 與 
T51n2095_001:1027a14	同旅三十餘。舡奉牲請福神。忽降祝日。吾昔	同 旅 三 十 餘 舡 奉 牲 請 福 神 忽 降 祝 日 吾 昔 
T51n2095_001:1027a15	外國。與子俱出家學道。而性多真恚。故墮神	外 國 與 子 俱 出家學道 而 性 多 真 恚 故 墮 神 
T51n2095_001:1027a16	報。今見同學。悲欣不可勝言。世高請神出	報 今 見 同 學 悲 欣 不 可 勝 言 世 高 請 神 出 
T51n2095_001:1027a17	形。神乃出大蟒頭。不知尾之長。知世高向之	形 神 乃 出 大 蟒 頭 不 知 尾 之 長 知 世 高 向 之 
T51n2095_001:1027a18	胡語贊唄數番。蟒悲淚如雨。須臾還隱。廟有	胡 語 贊 唄 數 番 蟒 悲 淚 如 雨 須 臾 還 隱 廟 有 
T51n2095_001:1027a19	絹千匹并雜寶物。世高為持去。豫章造東寺	絹 千 匹 并 雜 寶 物 世 高 為 持 去 豫 章 造 東 寺 
T51n2095_001:1027a20	焉。後人於山西澤中。見一死蟒。頭尾數里。今	焉 後 人 於 山 西 澤 中 見 一 死 蟒 頭 尾 數 里 今 
T51n2095_001:1027a21	尋陽郡蛇村是也。故名其高曰蛇岡。蛇岡之	尋 陽 郡 蛇 村 是 也 故 名 其 高 曰 蛇 岡 蛇 岡 之 
T51n2095_001:1027a22	下五里。至太平觀。太一觀之西南二里。又	下 五 里 至 太 平 觀 太 一 觀 之 西 南 二 里 又 
T51n2095_001:1027a23	有國泰庵。其西上有蓮花峯。十里峯頂有蓮	有 國 泰 庵 其 西 上 有 蓮 花 峯 十 里 峯 頂 有 蓮 
T51n2095_001:1027a24	花庵。由國泰五里。至報恩庵。由報恩一里。至	花 庵 由 國 泰 五 里 至 報 恩 庵 由 報 恩 一 里 至 
T51n2095_001:1027a25	雲際庵。由雲際二里。至永清庵。亦名下蓮花	雲 際 庵 由 雲 際 二 里 至 永 清 庵 亦 名 下 蓮 花 
T51n2095_001:1027a26	庵。永清之澗北有牛道人隱居。由永清之西	庵 永 清 之 澗 北 有 牛 道 人 隱 居 由 永 清 之 西 
T51n2095_001:1027a27	一里。至雲溪庵。亦名蓮花洞。自太一觀至雲	一 里 至 雲 溪 庵 亦 名 蓮 花 洞 自 太 一 觀 至 雲 
T51n2095_001:1027a28	溪。凡佛老之居八。同在蓮花峯下。由雲溪二	溪 凡 佛 老 之 居 八 同 在 蓮 花 峯 下 由 雲 溪 二 
T51n2095_001:1027a29	里。亦至太平觀。唐號九天使者。真君廟。南唐	里 亦 至 太 平 觀 唐 號 九 天 使 者 真 君 廟 南 唐 
T51n2095_001:1027b01	昇元元年。賜名通玄府。本朝興國二年。賜今	昇 元 元 年 賜 名 通 玄 府 本 朝 興 國 二 年 賜 今 
T51n2095_001:1027b02	名。錄異記云。唐開元十九年八月二十一日。	名 錄 異 記 云 唐 開 元 十 九 年 八 月 二 十 一 日 
T51n2095_001:1027b03	玄宗夢。神仙羽衛千乘萬騎集于空中。有一	玄 宗 夢 神 仙 羽 衛 千 乘 萬 騎 集 于 空 中 有 一 
T51n2095_001:1027b04	人朱衣金冠乘車。而下謁帝曰。我九天採訪	人 朱 衣 金 冠 乘 車 而 下 謁 帝 曰 我 九 天 採 訪 
T51n2095_001:1027b05	巡綽人間。欲於廬山西北置下宮。木石基址	巡 綽 人 間 欲 於 廬 山 西 北 置 下 宮 木 石 基 址 
T51n2095_001:1027b06	素具。但須上力耳。帝即遣中使。詣山西北。	素 具 但 須 上 力 耳 帝 即 遣 中 使 詣 山 西 北 
T51n2095_001:1027b07	有基址。宛然信宿。巨木數千段。自然而至。堂	有 基 址 宛 然 信 宿 巨 木 數 千 段 自 然 而 至 堂 
T51n2095_001:1027b08	殿廊宇。隨類致木。皆得足用。或云。此木九江	殿 廊 宇 隨 類 致 木 皆 得 足 用 或 云 此 木 九 江 
T51n2095_001:1027b09	王所採。擬作宮殿。沈於湓浦。至是浮出。赭堊	王 所 採 擬 作 宮 殿 沈 於 湓 浦 至 是 浮 出 赭 堊 
T51n2095_001:1027b10	丹黃。鑿廟北地得之。綵飾備足。既而建昌	丹 黃 鑿 廟 北 地 得 之 綵 飾 備 足 既 而 建 昌 
T51n2095_001:1027b11	渡。有靈官五百餘人。若衣道士服者皆言。詣	渡 有 靈 官 五 百 餘 人 若 衣 道 士 服 者 皆 言 詣 
T51n2095_001:1027b12	使者廟。因圖像于壁。或曰。明皇始以夢告左	使 者 廟 因 圖 像 于 壁 或 曰 明 皇 始 以 夢 告 左 
T51n2095_001:1027b13	右。左右不信。俄有神降于庭。綵雲乘足。儀仗	右 左 右 不 信 俄 有 神 降 于 庭 綵 雲 乘 足 儀 仗 
T51n2095_001:1027b14	符衛甚偉。明皇命吳道子。走筆寫之。其所立	符 衛 甚 偉 明 皇 命 吳 道 子 走 筆 寫 之 其 所 立 
T51n2095_001:1027b15	像。即依倣焉始置。廟記李泚撰。泚自稱。蘄州	像 即 依 倣 焉 始 置 廟 記 李 泚 撰 泚 自 稱 蘄 州 
T51n2095_001:1027b16	黃梅縣東山衡門之下草茅臣。開元二十年。	黃 梅 縣 東 山 衡 門 之 下 草 茅 臣 開 元 二 十 年 
T51n2095_001:1027b17	歲次壬申正月乙巳朔二十五日己巳立。其	歲 次 壬 申 正 月 乙 巳 朔 二 十 五 日 己 巳 立 其 
T51n2095_001:1027b18	略曰。勅置廟使內供奉將使者真圖建立祠	略 曰 勅 置 廟 使 內 供 奉 將 使 者 真 圖 建 立 祠 
T51n2095_001:1027b19	廟章醮行道設醮使大弘道觀法師張平公使	廟 章 醮 行 道 設 醮 使 大 弘 道 觀 法 師 張 平 公 使 
T51n2095_001:1027b20	持節江州諸軍事守江州刺史獨孤禎朝散大	持 節 江 州 諸 軍 事 守 江 州 刺 史 獨 孤 禎 朝 散 大 
T51n2095_001:1027b21	夫行長史楊楚王行司馬皇父楚玉尋陽縣令	夫 行 長 史 楊 楚 王 行 司 馬 皇 父 楚 玉 尋 陽 縣 令 
T51n2095_001:1027b22	魏昌同護修奉焉。又有使者祥驗記。開元	魏 昌 同 護 修 奉 焉 又 有 使 者 祥 驗 記 開 元 
T51n2095_001:1027b23	二十年壬申三月八日辛亥。宣義郎行彭澤	二 十 年 壬 申 三 月 八 日 辛 亥 宣 義 郎 行 彭 澤 
T51n2095_001:1027b24	縣尉潘觀撰述。祥驗之事五略曰。江水泛溢。	縣 尉 潘 觀 撰 述 祥 驗 之 事 五 略 曰 江 水 泛 溢 
T51n2095_001:1027b25	吹[木*戈]近山。計木纔登。水復舊一也。野竹散	吹 [木戈] 近 山 計 木 纔 登 水 復 舊 一 也 野 竹 散 
T51n2095_001:1027b26	材。則連岡距谷。丹紛雜色。則穴出崖生二	材 則 連 岡 距 谷 丹 紛 雜 色 則 穴 出 崖 生 二 
T51n2095_001:1027b27	也。謝土之夜。風雲空潛。仙燈遠照三也。渡	也 謝 土 之 夜 風 雲 空 潛 仙 燈 遠 照 三 也 渡 
T51n2095_001:1027b28	彭蠡湖謁廟者數百人。舟人所得翊日皆紙	彭 蠡 湖 謁 廟 者 數 百 人 舟 人 所 得 翊 日 皆 紙 
T51n2095_001:1027b29	錢四也。騎從龍虎。刻削馭人。或土或木。入	錢 四 也 騎 從 龍 虎 刻 削 馭 人 或 土 或 木 入 
T51n2095_001:1027c01	廟成列。忽有汗出其面者五色。其碑歲久訛	廟 成 列 忽 有 汗 出 其 面 者 五 色 其 碑 歲 久 訛 
T51n2095_001:1027c02	鎪。治平三年重立。復有張靈官記。靈官名懷。	鎪 治 平 三 年 重 立 復 有 張 靈 官 記 靈 官 名 懷 
T51n2095_001:1027c03	武蔡之稗將。甞有陰功及物。帝命為豐官。廟	武 蔡 之 稗 將 甞 有 陰 功 及 物 帝 命 為 豐 官 廟 
T51n2095_001:1027c04	壁之像五百人。張其一人焉。事詳本記。癸酉	壁 之 像 五 百 人 張 其 一 人 焉 事 詳 本 記 癸 酉 
T51n2095_001:1027c05	歲開寶六年上元日。御史丈夫俆鉉撰。右內	歲 開 寶 六 年 上 元 日 御 史 丈 夫 俆 鉉 撰 右 內 
T51n2095_001:1027c06	史舍人集。賢學士俆鍇書。辭多不載。觀門之	史 舍 人 集 賢 學 士 俆 鍇 書 辭 多 不 載 觀 門 之 
T51n2095_001:1027c07	左有劉越石。至道中。郡守考功員外郎孫邁。	左 有 劉 越 石 至 道 中 郡 守 考 功 員 外 郎 孫 邁 
T51n2095_001:1027c08	始立碣置祠焉。昔匡俗廬于山。有少年屢詣	始 立 碣 置 祠 焉 昔 匡 俗 廬 于 山 有 少 年 屢 詣 
T51n2095_001:1027c09	之。自通曰。姓劉名越。家在前山之左。邀俗過	之 自 通 曰 姓 劉 名 越 家 在 前 山 之 左 邀 俗 過 
T51n2095_001:1027c10	之旦日。至山下有石。高二尺許。即予居。可	之 旦 日 至 山 下 有 石 高 二 尺 許 即 予 居 可 
T51n2095_001:1027c11	叩之。俗後如約而往至山下。四顧無居室。果	叩 之 俗 後 如 約 而 往 至 山 下 四 顧 無 居 室 果 
T51n2095_001:1027c12	惟一石。乃叩之。石為之開。因遇神仙。洞府	惟 一 石 乃 叩 之 石 為 之 開 因 遇 神 仙 洞 府 
T51n2095_001:1027c13	之事。慧遠記云。俗受道於仙人者。蓋謂此也。	之 事 慧 遠 記 云 俗 受 道 於 仙 人 者 蓋 謂 此 也 
T51n2095_001:1027c14	觀旁有仙鄉亭。下視樓觀。儼若洞府。遊者	觀 旁 有 仙 鄉 亭 下 視 樓 觀 儼 若 洞 府 遊 者 
T51n2095_001:1027c15	皆登焉。太平觀之西南五里。有清泰庵。由	皆 登 焉 太 平 觀 之 西 南 五 里 有 清 泰 庵 由 
T51n2095_001:1027c16	清泰一里。至廣澤院。舊名龍潭。三龍潭在	清 泰 一 里 至 廣 澤 院 舊 名 龍 潭 三 龍 潭 在 
T51n2095_001:1027c17	院之東南之山上五里。若歲旱。群縣必禱焉。	院 之 東 南 之 山 上 五 里 若 歲 旱 群 縣 必 禱 焉 
T51n2095_001:1027c18	由廣澤下山。至太平興國寺七里。寺前之水	由 廣 澤 下 山 至 太 平 興 國 寺 七 里 寺 前 之 水 
T51n2095_001:1027c19	曰清溪。溪上上有清溪亭。寺晉武帝太元九	曰 清 溪 溪 上 上 有 清 溪 亭 寺 晉 武 帝 太 元 九 
T51n2095_001:1027c20	年置。舊名東林。唐會昌三年廢。大中三年復。	年 置 舊 名 東 林 唐 會 昌 三 年 廢 大 中 三 年 復 
T51n2095_001:1027c21	皇朝興國二年。賜今名。法師諱慧遠。俗姓	皇 朝 興 國 二 年 賜 今 名 法 師 諱 慧 遠 俗 姓 
T51n2095_001:1027c22	賈。雁門樓煩人。師道安於恒山。為安高弟。始	賈 雁 門 樓 煩 人 師 道 安 於 恒 山 為 安 高 弟 始 
T51n2095_001:1027c23	住荊州上明寺。後欲之羅浮。道由廬山。居龍	住 荊 州 上 明 寺 後 欲 之 羅 浮 道 由 廬 山 居 龍 
T51n2095_001:1027c24	泉精舍。去東林十五里而遠。既而學侶寢眾。	泉 精 舍 去 東 林 十 五 里 而 遠 既 而 學 侶 寢 眾 
T51n2095_001:1027c25	同時惠永禪師已居香谷山。請結隣好。刺史	同 時 惠 永 禪 師 已 居 香 谷 山 請 結 隣 好 刺 史 
T51n2095_001:1027c26	桓伊亦所欽仰。乃置寺焉。事具寺碑。開元十	桓 伊 亦 所 欽 仰 乃 置 寺 焉 事 具 寺 碑 開 元 十 
T51n2095_001:1027c27	九年七月十五日。前陳州刺史李邕撰并書。	九 年 七 月十五日 前 陳 州 刺 史 李 邕 撰 并 書 
T51n2095_001:1027c28	會昌三年。僧雲臯始刻石焉。時裴休為江南	會 昌 三 年 僧 雲 臯 始 刻 石 焉 時 裴 休 為 江 南 
T51n2095_001:1027c29	西道觀察使。張又新為江州刺史。實助成之。	西 道 觀 察 使 張 又 新 為 江 州 刺 史 實 助 成 之 
T51n2095_001:1028a01	裴題其篇末云。覽北海詞翰想見風采。張亦	裴 題 其 篇 末 云 覽 北 海 詞 翰 想 見 風 采 張 亦 
T51n2095_001:1028a02	作記于碑陰。大中十年四月十三日。沙門玄	作 記 于 碑 陰 大 中 十 年 四 月 十 三 日 沙 門 玄 
T51n2095_001:1028a03	觀請河東裴光遠篆額。光遠國子監太學博	觀 請 河 東 裴 光 遠 篆 額 光 遠 國 子 監 太 學 博 
T51n2095_001:1028a04	士。初遠師欲徙香谷也。山神告夢曰。此處幽	士 初 遠 師 欲 徙 香 谷 也 山 神 告 夢 曰 此 處 幽 
T51n2095_001:1028a05	靜。足以棲神。忽於後夜。雷雨震擊。明旦視	靜 足 以 棲 神 忽 於 後 夜 雷 雨 震 擊 明 旦 視 
T51n2095_001:1028a06	之。惟素沙匝地。兼有楩柵。文梓良木既作殿。	之 惟 素 沙 匝 地 兼 有 楩 柵 文 梓 良 木 既 作 殿 
T51n2095_001:1028a07	故名神運。牛僧孺大和四年。自武昌還。朝過	故 名 神 運 牛 僧 孺 大 和 四 年 自 武 昌 還 朝 過 
T51n2095_001:1028a08	之。為書其牓神蓮□□四字。又有木數尺。南	之 為 書 其 牓 神 蓮 四 字 又 有 木 數 尺 南 
T51n2095_001:1028a09	唐元宗題曰神運水。今並存焉。會昌中。寺與	唐 元 宗 題 曰 神 運 水 今 並 存 焉 會 昌 中 寺 與 
T51n2095_001:1028a10	林木。並係戶部毀賣。大中興復。刺史崔黯為	林 木 並 係 戶 部 毀 賣 大 中 興 復 刺 史 崔 黯 為 
T51n2095_001:1028a11	捐私錢。以偈施者。搢紳從者數百人。姓名爵	捐 私 錢 以 偈 施 者 搢 紳 從 者 數 百 人 姓 名 爵 
T51n2095_001:1028a12	里。今刊于名仍藏。當時之疏亦崔之詞也。崔	里 今 刊 于 名 仍 藏 當 時 之 疏 亦 崔 之 詞 也 崔 
T51n2095_001:1028a13	又作復寺碑。左散騎常侍柳公權書。流泉臣	又 作 復 寺 碑 左 散 騎 常 侍 柳 公 權 書 流 泉 臣 
T51n2095_001:1028a14	寺下入虎溪。昔遠師送客過此。虎輒號鳴。故	寺 下 入 虎 溪 昔 遠 師 送 客 過 此 虎 輒 號 鳴 故 
T51n2095_001:1028a15	名焉。時陶元亮居栗里山南。陸脩靜亦有道	名 焉 時 陶 元 亮 居 栗 里 山 南 陸 脩 靜 亦 有 道 
T51n2095_001:1028a16	之士。遠師甞送此二人。與語道合。不覺過	之 士 遠 師 甞 送 此 二 人 與 語 道 合 不 覺 過 
T51n2095_001:1028a17	之。因相與大笑。今世傳三笑圖。蓋起於此。	之 因 相 與 大 笑 今 世 傳 三 笑 圖 蓋 起 於 此 
T51n2095_001:1028a18	神蓮殿之後。有白蓮池。昔謝靈運恃才傲物。	神 蓮 殿 之 後 有 白 蓮 池 昔 謝 靈 運 恃 才 傲 物 
T51n2095_001:1028a19	少所推重。一見遠公。肅然心服。乃即寺翻涅	少 所 推 重 一 見 遠 公 肅 然 心 服 乃 即 寺 翻 涅 
T51n2095_001:1028a20	槃經。因鑿池為臺。植白蓮池中。名其臺曰翻	槃 經 因 鑿 池 為 臺 植 白 蓮 池 中 名 其 臺 曰 翻 
T51n2095_001:1028a21	經臺。今白蓮亭即其故地。遠公與慧永。慧持。	經 臺 今 白 蓮 亭 即 其 故 地 遠 公 與 慧 永 慧 持 
T51n2095_001:1028a22	曇順。曇恒。竺道生。慧叡。道敬。道昺。曇詵。白	曇 順 曇 恒 竺 道 生 慧 叡 道 敬 道 昺 曇 詵 白 
