X25n0475_001:0071a03	 金剛鎞序	 金 剛 鎞 序 
X25n0475_001:0073b08	般若出生諸佛。即是佛母。表敬法故。而云坐者。雙	般 若 出 生 諸 佛 即 是 佛 母 表 敬 法 故 而 云 坐 者 雙 
X25n0475_001:0073b09	趺也。必雙趺者。智論云。見畫跏趺坐。魔王尚驚恐。	趺 也 必 雙 趺 者 智 論 云 見 畫 跏 趺 坐 魔 王 尚 驚 恐 
X25n0475_001:0073b10	何況入道人。端身不傾動。是以結跏趺坐。不唯形	何 況 入 道 人 端 身 不 傾 動 是 以 結跏趺坐 不 唯 形 
X25n0475_001:0073b11	相端嚴。令人敬信。諸聖所稱。外道所罕。而復能經	相 端 嚴 令 人 敬 信 諸 聖 所 稱 外 道 所 罕 而 復 能 經 
X25n0475_001:0073b12	時久。不速疲勞。攝斂身心。輕安易發。四威儀中。以	時 久 不 速 疲 勞 攝 斂 身 心 輕 安 易 發 四 威 儀 中 以 
X25n0475_001:0073b13	坐為勝。良有以也。況乎鏡對面住。面則自彰。念對	坐 為 勝 良 有 以 也 況 乎 鏡 對 面 住 面 則 自 彰 念 對 
X25n0475_001:0073b14	理住。理豈不自彰乎。故諸經每欲說法。多先入定。	理 住 理 豈 不 自 彰 乎 故 諸 經 每 欲 說 法 多 先 入 定 
X25n0475_001:0073b15	今經演說。如如不動。亦可著衣持鉢。次第行乞。通	今 經 演 說 如 如 不 動 亦 可 著衣持鉢 次 第 行 乞 通 
X25n0475_001:0073b16	名為戒。敷座而坐。乃名為定。意顯戒能生定。定能	名 為 戒 敷 座 而 坐 乃 名 為 定 意 顯 戒 能 生 定 定 能 
X25n0475_001:0073b17	發慧。則又以戒定為智慧之發起也。問。瓔珞女經	發 慧 則 又 以 戒 定 為 智 慧 之 發 起 也 問 瓔 珞 女 經 
X25n0475_001:0073b18	云。佛身如全段金剛。無生熟二臟。何用食為。阿含	云 佛 身 如 全 段 金 剛 無 生 熟 二 臟 何 用 食 為 阿 含 
X25n0475_001:0073b19	經云。佛行離地四指。蓮華承足。皮膚不染。何用洗	經 云 佛 行 離 地 四 指 蓮 華 承 足 皮 膚 不 染 何 用 洗 
X25n0475_001:0073b20	為。又那伽常在定。無有不定時。則又何以息緣趺	為 又 那 伽 常 在 定 無 有 不 定 時 則 又 何 以 息 緣 趺 
X25n0475_001:0073b21	坐為哉。不知諸佛實受用身。清淨微妙。本無有此。	坐 為 哉 不 知 諸 佛 實 受 用 身 清 淨 微 妙 本 無 有 此 
X25n0475_001:0073b22	但以大慈悲故。於後得權智之中。示現與諸眾生	但 以 大 慈 悲 故 於 後 得 權 智 之 中 示 現 與 諸 眾 生 
X25n0475_001:0073b23	同事。以便攝化耳。是以入城出城。騰騰任運。持鉢	同 事 以 便 攝 化 耳 是 以 入 城 出 城 騰 騰 任 運 持 鉢 
X25n0475_001:0073b24	洗鉢。任運騰騰。及時中節。曾何一毫思惟計較於	洗 鉢 任 運 騰 騰 及 時 中 節 曾 何 一 毫 思 惟 計 較 於 
X25n0475_001:0073c01	其間哉。即此家常茶飯。儼然劫外風光。金牛云。吃	其 間 哉 即 此 家 常 茶 飯 儼 然 劫 外 風 光 金 牛 云 吃 
X25n0475_001:0073c02	飯來。趙州云。洗鉢去。有味乎其言之也。又世尊坐	飯 來 趙 州 云 洗 鉢 去 有 味 乎 其 言 之 也 又 世 尊 坐 
X25n0475_001:0073c03	處。如洪鐘高掛。待扣而鳴。古鏡空懸。任形而現。隱	處 如 洪 鐘 高 掛 待 扣 而 鳴 古 鏡 空 懸 任 形 而 現 隱 
X25n0475_001:0073c04	然示空生以啟請說法之時也。	然 示 空 生 以 啟 請 說 法 之 時 也 
X25n0475_001:0073c05	△二正宗分四。初當機申請。二如來讚許。三當機	 二 正 宗 分 四 初 當 機 申 請 二 如 來 讚 許 三 當 機 
X25n0475_001:0073c06	佇聞。四如來正說。初當機申請二。初修敬讚佛。二	佇 聞 四 如 來 正 說 初 當 機 申 請 二 初 修 敬 讚 佛 二 
X25n0475_001:0073c07	正陳所問。初修敬讚佛。	正 陳 所 問 初 修 敬 讚 佛 
X25n0475_001:0073c08	時。長老須菩提。在大眾中。即從座起。偏袒右肩。右膝	時 長 老 須 菩 提 在 大 眾 中 即 從 座 起 偏袒右肩 右 膝 
X25n0475_001:0073c09	著地。合掌恭敬而白佛言。希有世尊。如來善護念諸	著 地 合掌恭敬 而 白 佛 言 希 有 世 尊 如 來 善 護 念 諸 
X25n0475_001:0073c10	菩薩。善付囑諸菩薩。	菩 薩 善 付 囑 諸 菩 薩 
X25n0475_001:0073c11	善現仰觀調御。宛然待叩之心。俯察羣機。正是當	善 現 仰 觀 調 御 宛 然 待 叩 之 心 俯 察 羣 機 正 是 當 
X25n0475_001:0073c12	聞之際。故修敬讚德。為發問之端也。時。指趺坐之	聞 之 際 故 修 敬 讚 德 為 發 問 之 端 也 時 指 趺 坐 之 
X25n0475_001:0073c13	時。長老。謂德臘俱尊。又單德冠眾。獨臘先人。亦名	時 長 老 謂 德 臘 俱 尊 又 單 德 冠 眾 獨 臘 先 人 亦 名 
X25n0475_001:0073c14	長老。須菩提。云空生。緣生時庫藏皆空。乃以為名。	長 老 須 菩 提 云 空 生 緣 生 時 庫 藏 皆 空 乃 以 為 名 
X25n0475_001:0073c15	按西域記。云是東方青龍陀佛。影現釋迦之會。示	按 西 域 記 云 是 東 方 青 龍 陀 佛 影 現 釋 迦 之 會 示 
X25n0475_001:0073c16	跡聲聞。發揚空理。十方諸佛。法皆爾也。從座起者。	跡 聲 聞 發 揚 空 理 十方諸佛 法 皆 爾 也 從 座 起 者 
X25n0475_001:0073c17	師資之分。上下秩然。有所諮詢。不應坐故。如曾子	師 資 之 分 上 下 秩 然 有 所 諮 詢 不 應 坐 故 如 曾 子 
X25n0475_001:0073c18	避席而起。曰從座起也。袒肩膝地。是彼方儀。然必	避 席 而 起 曰 從 座 起 也 袒 肩 膝 地 是 彼 方 儀 然 必 
X25n0475_001:0073c19	取於右者。順從意故。合掌者。形約不散。心凝不放	取 於 右 者 順 從 意 故 合 掌 者 形 約 不 散 心 凝 不 放 
X25n0475_001:0073c20	故。上皆身業。恭敬是意業。而白佛言下是口業。此	故 上 皆 身 業 恭 敬 是 意 業 而 白 佛 言 下 是 口 業 此 
X25n0475_001:0073c21	皆修敬。下乃讚德。希有者。難得意。略有四種。一時	皆 修 敬 下 乃 讚 德 希 有 者 難 得 意 略 有 四 種 一 時 
X25n0475_001:0073c22	希有。曠劫難逢。如優曇華故。二處希有。大千世界。	希 有 曠 劫 難 逢 如 優 曇 華 故 二 處 希 有 大千世界 
X25n0475_001:0073c23	中唯一佛故。三德希有。福慧超絕。殊勝無比故。四	中 唯 一 佛 故 三 德 希 有 福 慧 超 絕 殊 勝 無 比 故 四 
X25n0475_001:0073c24	事希有。用大慈悲。極巧度生故。四雖畢具。而當機	事 希 有 用 大 慈 悲 極 巧 度 生 故 四 雖 畢 具 而 當 機 
X25n0475_001:0074a01	正意在事。故下護念付囑。正是希有之事也。如來	正 意 在 事 故 下 護 念 付 囑 正 是 希 有 之 事 也 如 來 
X25n0475_001:0074a02	者。從真如起。來成正覺。故名如來。菩薩。云覺有情。	者 從 真 如 起 來 成 正 覺 故 名 如 來 菩 薩 云 覺 有 情 
X25n0475_001:0074a03	謂上求佛覺。下化有情。又雖求佛覺。尚餘生情。皆	謂 上 求 佛 覺 下 化 有 情 又 雖 求 佛 覺 尚 餘 生 情 皆 
X25n0475_001:0074a04	覺有情也。善護念者。對三賢已上。信根成熟。永無	覺 有 情 也 善 護 念 者 對 三 賢 已 上 信 根 成 熟 永 無 
X25n0475_001:0074a05	退轉菩薩。與實智力。令證真如。與權智力。令化眾	退 轉 菩 薩 與 實 智 力 令 證 真 如 與 權 智 力 令 化 眾 
X25n0475_001:0074a06	生。曲盡其心。無不至也。如彌勒云。巧護義應知。加	生 曲 盡 其 心 無 不 至 也 如 彌 勒 云 巧 護 義 應 知 加 
X25n0475_001:0074a07	彼身同行。謂加彼證真之力。同於自利行。加彼教	彼 身 同 行 謂 加 彼 證 真 之 力 同 於 自 利 行 加 彼 教 
X25n0475_001:0074a08	化之力。同於利他行。加與行同而不悖。故云巧也。	化 之 力 同 於 利 他 行 加 與 行 同 而 不 悖 故 云 巧 也 
X25n0475_001:0074a09	善付囑者。以十信菩薩。亂修六度。心若輕毛。升沉	善 付 囑 者 以 十 信 菩 薩 亂 修 六 度 心 若 輕 毛 升 沉 
X25n0475_001:0074a10	未保。佛恐退失。故付託於大。囑大化小。令不退轉。	未 保 佛 恐 退 失 故 付 託 於 大 囑 大 化 小 令 不 退 轉 
X25n0475_001:0074a11	妙適其宜。無不當也。如彌勒云。不退得未得。是名	妙 適 其 宜 無 不 當 也 如 彌 勒 云 不 退 得 未 得 是 名 
X25n0475_001:0074a12	善付囑。謂於已得功德不退。不捨大乘故。未得功	善 付 囑 謂 於 已 得 功 德 不 退 不 捨 大 乘 故 未 得 功 
X25n0475_001:0074a13	德不退。勝進上求故。夫已得而守之不退固難。未	德 不 退 勝 進 上 求 故 夫 已 得 而 守 之 不 退 固 難 未 
X25n0475_001:0074a14	得而上求不退為尤難。今皆不退。故名為善。問。何	得 而 上 求 不 退 為 尤 難 今 皆 不 退 故 名 為 善 問 何 
X25n0475_001:0074a15	不以護念屬初機。合經無住修行。以付囑屬久機。	不 以 護 念 屬 初 機 合 經 無 住 修 行 以 付 囑 屬 久 機 
X25n0475_001:0074a16	合經降伏度生耶。答。準華嚴八地。始蒙佛護。則三	合 經 降 伏 度 生 耶 答 準 華 嚴 八 地 始 蒙 佛 護 則 三 
X25n0475_001:0074a17	賢已上。尚未全蒙。況初機乎。雖春育海涵。至慈無	賢 已 上 尚 未 全 蒙 況 初 機 乎 雖 春 育 海 涵 至 慈 無 
X25n0475_001:0074a18	擇。而蒙潤承休。必須時節因緣。如經云。金翅鳥王。	擇 而 蒙 潤 承 休 必 須 時 節 因 緣 如 經 云 金翅鳥王 
X25n0475_001:0074a19	先觀大海諸龍命將盡者。乃以兩翅擘海。取而食	先 觀 大 海 諸 龍 命 將 盡 者 乃 以 兩 翅 擘 海 取 而 食 
X25n0475_001:0074a20	之。信知此法。決非根未熟者。所能承當。則蒙其護	之 信 知 此 法 決 非 根 未 熟 者 所 能 承 當 則 蒙 其 護 
X25n0475_001:0074a21	者。即可以當其囑。非初機也。況無住降伏。分而不	者 即 可 以 當 其 囑 非 初 機 也 況 無 住 降 伏 分 而 不 
X25n0475_001:0074a22	分。尤不可以判然乎。登地大聖。補處慈尊。言猶在	分 尤 不 可 以 判 然 乎 登 地 大 聖 補 處 慈 尊 言 猶 在 
X25n0475_001:0074a23	耳。幸虗心平氣。展卷一觀之。又已上乃出世已來。	耳 幸 虗 心 平 氣 展 卷 一 觀 之 又 已 上 乃 出 世 已 來 
X25n0475_001:0074a24	通皆如是。若夫只就此經。亦可。如來惟恐眾生。於	通 皆 如 是 若 夫 只 就 此 經 亦 可 如 來 惟 恐 眾 生 於 
X25n0475_001:0074b01	我法有所取著。於因果有不離相。念念隄防。無所	我 法 有 所 取 著 於 因 果 有 不 離 相 念 念 隄 防 無 所 
X25n0475_001:0074b02	不至。是名善護。以善護故。即善為教誡。而云不應	不 至 是 名 善 護 以 善 護 故 即 善 為 教 誡 而 云 不 應 
X25n0475_001:0074b03	住色生心。不應住聲香味觸法生心。應無所住而	住 色 生 心 不 應 住 聲香味觸 法 生 心 應 無 所 住 而 
X25n0475_001:0074b04	生其心。乃至一切有為法。如夢幻泡影。如露亦如	生 其 心 乃 至 一 切 有 為 法 如 夢 幻 泡 影 如 露 亦 如 
X25n0475_001:0074b05	電。應作如是觀。頻頻不倦。再四叮嚀。不至於洗刷	電 應 作 如 是 觀 頻 頻 不 倦 再 四 叮 嚀 不 至 於 洗 刷 
X25n0475_001:0074b06	殆盡。不已也。豈非善付囑耶。護屬於心。囑屬於口。	殆 盡 不 已 也 豈 非 善 付 囑 耶 護 屬 於 心 囑 屬 於 口 
X25n0475_001:0074b07	有是心。必有是口矣。然問必先讚者。弟之於師。臣	有 是 心 必 有 是 口 矣 然 問 必 先 讚 者 弟 之 於 師 臣 
X25n0475_001:0074b08	之於君。分位懸隔。式應爾故。言易進故。又獨舉此	之 於 君 分 位 懸 隔 式 應 爾 故 言 易 進 故 又 獨 舉 此 
X25n0475_001:0074b09	二法為讚者。以此二法一期度生。最切要故。今經	二 法 為 讚 者 以 此 二 法 一 期 度 生 最 切 要 故 今 經 
X25n0475_001:0074b10	之中。尤最要故。△二正陳所問。	之 中 尤 最 要 故 二 正 陳 所 問 
X25n0475_001:0074b11	世尊。善男子．善女人。發阿耨多羅三藐三菩提心。應	世 尊 善 男 子 善 女 人 發 阿耨多羅三藐三菩提 心 應 
X25n0475_001:0074b12	云何住。云何降伏其心。	云 何 住 云 何 降 伏 其 心 
X25n0475_001:0074b13	此正問發心者。修行之法也。凡夫能發佛心。名發	此 正 問 發 心 者 修 行 之 法 也 凡 夫 能 發 佛 心 名 發 
X25n0475_001:0074b14	心。住修降伏名修行。應云何住。云何降伏。名修行	心 住 修 降 伏 名 修 行 應 云 何 住 云 何 降 伏 名 修 行 
X25n0475_001:0074b15	之法也。意謂既發佛心。須修佛行。欲修佛行。貴得	之 法 也 意 謂 既 發 佛 心 須 修 佛 行 欲 修 佛 行 貴 得 
X25n0475_001:0074b16	其方。故問應云何等也。若詳釋之。則梵語阿耨。此	其 方 故 問 應 云 何 等 也 若 詳 釋 之 則 梵 語 阿 耨 此 
X25n0475_001:0074b17	云無上。梵語多羅三藐三菩提。此云正徧正覺。正	云 無 上 梵 語 多 羅 三藐三菩提 此 云 正 徧 正 覺 正 
X25n0475_001:0074b18	者。正智覺理。非如凡夫之邪。徧者。徧智覺事。非如	者 正 智 覺 理 非 如 凡 夫 之 邪 徧 者 徧 智 覺 事 非 如 
X25n0475_001:0074b19	二乘之偏。既正且徧。理事圓照。方名正覺。總之是	二 乘 之 偏 既 正 且 徧 理 事 圓 照 方 名 正 覺 總 之 是 
X25n0475_001:0074b20	無上正徧之正覺。即佛智果也。發心者。十信凡夫。	無 上 正 徧 之 正 覺 即 佛 智 果 也 發 心 者 十 信 凡 夫 
X25n0475_001:0074b21	發求佛果之心。即以佛心為心。名為發心。住者。安	發 求 佛 果 之 心 即 以 佛 心 為 心 名 為 發 心 住 者 安 
X25n0475_001:0074b22	住真境。降伏者。克制妄心。應云何等者。謂未發心	住 真 境 降 伏 者 克 制 妄 心 應 云 何 等 者 謂 未 發 心 
X25n0475_001:0074b23	前。住著塵境。既發之後。於何境界。方應安住。未發	前 住 著 塵 境 既 發 之 後 於 何 境 界 方 應 安 住 未 發 
X25n0475_001:0074b24	心前。隨逐妄心。既發之後。妄心若起。云何制伏。蓋	心 前 隨 逐 妄 心 既 發 之 後 妄 心 若 起 云 何 制 伏 蓋 
X25n0475_001:0074c01	問冥真之道。制妄之方。正修行之要也。然必先言	問 冥 真 之 道 制 妄 之 方 正 修 行 之 要 也 然 必 先 言 
X25n0475_001:0074c02	發心者。華嚴云。忘失菩提心。修諸善業。魔所攝持。	發 心 者 華 嚴 云 忘 失 菩 提 心 修 諸 善 業 魔 所 攝 持 
X25n0475_001:0074c03	夫忘失尚致落魔。況不發而修乎。是以空修大行。	夫 忘 失 尚 致 落 魔 況 不 發 而 修 乎 是 以 空 修 大 行 
X25n0475_001:0074c04	不發大心。譬如終日奔馳。元無定趣。空發大心。不	不 發 大 心 譬 如 終 日 奔 馳 元 無 定 趣 空 發 大 心 不 
X25n0475_001:0074c05	修大行。譬如終日思歸。曾不向往。發之與修。如鳥	修 大 行 譬 如 終 日 思 歸 曾 不 向 往 發 之 與 修 如 鳥 
X25n0475_001:0074c06	二翼。如車兩輪。必不可缺。故必舉發心問修也。問。	二 翼 如 車 兩 輪 必 不 可 缺 故 必 舉 發 心 問 修 也 問 
X25n0475_001:0074c07	頓教先悟次發。後修萬行。今但舉發問修。而略最	頓 教 先 悟 次 發 後 修 萬 行 今 但 舉 發 問 修 而 略 最 
X25n0475_001:0074c08	初者。一以問修但當齊發為言故。二以舉發則悟	初 者 一 以 問 修 但 當 齊 發 為 言 故 二 以 舉 發 則 悟 
X25n0475_001:0074c09	必曾先故。又空生至後方悟是權非實故。新本云	必 曾 先 故 又 空 生 至 後 方 悟 是 權 非 實 故 新 本 云 
X25n0475_001:0074c10	何應住。今依古本仍以應字冠上。則二云何中皆	何 應 住 今 依 古 本 仍 以 應 字 冠 上 則 二 云 何 中 皆 
X25n0475_001:0074c11	有應義。且與下文云何應住不同。觀者毋忽。△二	有 應 義 且 與 下 文 云 何 應 住 不 同 觀 者 毋 忽 二 
X25n0475_001:0074c12	如來讚許。	如 來 讚 許 
X25n0475_001:0074c13	佛言。善哉。善哉。須菩提。如汝所說。如來善護念諸菩	佛 言 善 哉 善 哉 須 菩 提 如 汝 所 說 如 來 善 護 念 諸 菩 
X25n0475_001:0074c14	薩。善付囑諸菩薩。汝今諦聽。當為汝說。善男子．善女	薩 善 付 囑 諸 菩 薩 汝 今 諦 聽 當 為 汝 說 善 男 子 善 女 
X25n0475_001:0074c15	人。發阿耨多羅三藐三菩提心。應如是住。如是降伏	人 發 阿耨多羅三藐三菩提 心 應 如 是 住 如 是 降 伏 
X25n0475_001:0074c16	其心。	其 心 
X25n0475_001:0074c17	此如來因問而讚印誡許也。重言善哉。是讚。如汝	此 如 來 因 問 而 讚 印 誡 許 也 重 言 善 哉 是 讚 如 汝 
X25n0475_001:0074c18	所說。是印。汝今諦聽。是誡。當為汝說等。是許。然印	所 說 是 印 汝 今 諦 聽 是 誡 當 為 汝 說 等 是 許 然 印 
X25n0475_001:0074c19	其所說必先讚者。以佛種不斷。全在護囑。今舉讚	其 所 說 必 先 讚 者 以 佛 種 不 斷 全 在 護 囑 今 舉 讚 
X25n0475_001:0074c20	佛。是美得其要。雅契佛心。故善之也。許為彼說。必	佛 是 美 得 其 要 雅 契 佛 心 故 善 之 也 許 為 彼 說 必 
X25n0475_001:0074c21	先誡者。智論云。聽者端視如渴飲。一心入於語義	先 誡 者 智 論 云 聽 者 端 視 如 渴 飲 一 心 入 於 語 義 
X25n0475_001:0074c22	中。踊躍聞法心歡喜。如是之人可為說。故誡俾諦	中 踊 躍 聞 法 心 歡 喜 如 是 之 人 可 為 說 故 誡 俾 諦 
X25n0475_001:0074c23	聽。毋以生滅心。聆此實相法也。應如是住。如是降	聽 毋 以 生 滅 心 聆 此 實 相 法 也 應 如 是 住 如 是 降 
X25n0475_001:0074c24	伏其心者。逆指下文所答無住降伏之詳。總為如	伏 其 心 者 逆 指 下 文 所 答 無 住 降 伏 之 詳 總 為 如 
