T47n1963_001:0083b03	淨土論序	淨 土 論 序 
T47n1963_001:0085b20	佛有父母子。及舍利目連提婆達多等也。	佛 有 父 母 子 及 舍 利 目 連 提 婆 達 多 等 也 
T47n1963_001:0085b21	二明三界攝不攝者。	二 明 三 界 攝 不 攝 者 
T47n1963_001:0085b22	問曰。報土淳淨妙絕三有。所化眾生已超分	問 曰 報 土 淳 淨 妙 絕 三 有 所 化 眾 生 已 超 分 
T47n1963_001:0085b23	段。此土出乎三界。理亦易信。而化土雖淨。其	段 此 土 出 乎 三 界 理 亦 易 信 而 化 土 雖 淨 其 
T47n1963_001:0085b24	淨未妙。所化眾生復在地前。此土為當在三	淨 未 妙 所 化 眾 生 復 在 地 前 此 土 為 當 在 三 
T47n1963_001:0085b25	界攝。為當不攝耶。	界 攝 為 當 不 攝 耶 
T47n1963_001:0085b26	答曰。若就佛論。則妙絕三界。若從眾生。具有	答 曰 若 就 佛 論 則 妙 絕 三 界 若 從 眾 生 具 有 
T47n1963_001:0085b27	二義。或攝不攝。初明攝者。若據凡夫及三果	二 義 或 攝 不 攝 初 明 攝 者 若 據 凡 夫 及 三 果 
T47n1963_001:0085b28	學人往生者。此即在三界攝。以此等眾生未	學 人 往 生 者 此 即 在 三 界 攝 以 此 等 眾 生 未 
T47n1963_001:0085b29	出三界故。	出 三 界 故 
T47n1963_001:0085c01	問曰。此義云何可知。	問 曰 此義云何 可 知 
T47n1963_001:0085c02	答曰。如無量壽經云。阿難白佛言。世尊。彼土	答 曰 如 無 量 壽 經 云 阿 難 白 佛 言 世 尊 彼 土 
T47n1963_001:0085c03	既無須彌山等。四天王忉利天。依何而住。佛	既 無 須 彌 山 等 四 天 王 忉 利 天 依 何 而 住 佛 
T47n1963_001:0085c04	答曰。依業力而住。既有人後有四天王等。	答 曰 依 業 力 而 住 既 有 人 後 有 四 天 王 等 
T47n1963_001:0085c05	當知。即有欲界也。即此經復云。告彌勒。汝見	當 知 即 有 欲 界 也 即 此 經 復 云 告 彌 勒 汝 見 
T47n1963_001:0085c06	從地已上。乃至淨居天。所有莊嚴事不。答曰。	從 地 已 上 乃 至 淨 居 天 所 有 莊 嚴 事 不 答 曰 
T47n1963_001:0085c07	已見也。當知。即有欲色二界。但不論無色	已 見 也 當 知 即 有 欲 色 二 界 但 不 論 無 色 
T47n1963_001:0085c08	界也。	界 也 
T47n1963_001:0085c09	問曰。何故不論無色界耶。	問 曰 何 故 不 論 無 色 界 耶 
T47n1963_001:0085c10	答曰。意欲讚歎淨土妙色莊嚴。引物往生。所	答 曰 意 欲 讚 歎 淨 土 妙 色 莊 嚴 引 物 往 生 所 
T47n1963_001:0085c11	以不論也。而體則有也。	以 不 論 也 而 體 則 有 也 
T47n1963_001:0085c12	問曰。此身彼土。同是欲界者。何故大聖勸人	問 曰 此 身 彼 土 同 是 欲 界 者 何 故 大 聖 勸 人 
T47n1963_001:0085c13	往生也。	往 生 也 
T47n1963_001:0085c14	答曰。雖欲界名同。義即別也。此處欲界。具有	答 曰 雖 欲 界 名 同 義 即 別 也 此 處 欲 界 具 有 
T47n1963_001:0085c15	二義。一有上心欲。二有種子欲。由具二義。則	二 義 一 有 上 心 欲 二 有 種 子 欲 由 具 二 義 則 
T47n1963_001:0085c16	有男女雜染。貪遂色聲。樂住三有火宅中	有 男 女 雜 染 貪 遂 色 聲 樂 住 三 有 火 宅 中 
T47n1963_001:0085c17	也。西方欲界者。唯有種子欲。無有上心欲。既	也 西 方 欲 界 者 唯 有 種 子 欲 無 有 上 心 欲 既 
T47n1963_001:0085c18	無上心欲。即無前等過失。亦無惡心及無記	無 上 心 欲 即 無 前 等 過 失 亦 無 惡 心 及 無 記 
T47n1963_001:0085c19	心。唯有善心也。故攝論十八圓淨中云。淨土	心 唯 有 善 心 也 故 攝 論 十 八 圓 淨 中 云 淨 土 
T47n1963_001:0085c20	唯有樂受。無苦及捨受也。如大法鼓經云。苦	唯 有 樂 受 無 苦 及 捨 受 也 如 大 法 鼓 經 云 苦 
T47n1963_001:0085c21	受是不善。樂受是善。捨受是無記。既唯有善	受 是 不 善 樂 受 是 善 捨 受 是 無 記 既 唯 有 善 
T47n1963_001:0085c22	心。則無起惡之地也。故無量壽經云。彌陀國	心 則 無 起 惡 之 地 也 故 無 量 壽 經 云 彌 陀 國 
T47n1963_001:0085c23	中。無毛髮許造惡之地。雖云欲界。豈得同乎。	中 無 毛 髮 許 造 惡 之 地 雖 云 欲 界 豈 得 同 乎 
T47n1963_001:0085c24	如欲界。色界亦爾也。	如 欲 界 色 界 亦 爾 也 
T47n1963_001:0085c25	問曰。淨土殊妙。物咸欣仰。既欲勸人往生。何	問 曰 淨 土 殊 妙 物 咸 欣 仰 既 欲 勸 人 往 生 何 
T47n1963_001:0085c26	故須判是三界攝耶。	故 須 判 是 三 界 攝 耶 
T47n1963_001:0085c27	答曰。此是經判。非關人也。又若是三界攝者。	答 曰 此 是 經 判 非 關 人 也 又 若 是 三 界 攝 者 
T47n1963_001:0085c28	未斷三界惑眾生即得生。若出三界者。凡夫	未 斷 三 界 惑 眾 生 即 得 生 若 出 三 界 者 凡 夫 
T47n1963_001:0085c29	學人。此則絕分也。不可將在三界中眾生。皆	學 人 此 則 絕 分 也 不 可 將 在 三 界 中 眾 生 皆 
T47n1963_001:0086a01	具足煩惱。令生三界外報土中也。由在三界。	具 足 煩 惱 令 生 三 界 外 報 土 中 也 由 在 三 界 
T47n1963_001:0086a02	故往生則易。仍無上心欲。故畢竟不退。	故 往 生 則 易 仍 無 上 心 欲 故 畢 竟 不 退 
T47n1963_001:0086a03	問曰。既是三界攝者。此則應退。何名不退耶。	問 曰 既 是 三 界 攝 者 此 則 應 退 何 名 不 退 耶 
T47n1963_001:0086a04	答曰。三界名通。非唯一種。如東方妙喜世界。	答 曰 三 界 名 通 非 唯 一 種 如 東 方 妙 喜 世 界 
T47n1963_001:0086a05	有閻浮提忉利天。有男有女。而名淨土。豈出	有 閻 浮 提 忉 利 天 有 男 有 女 而 名 淨 土 豈 出 
T47n1963_001:0086a06	三界。既在三界有女人。故亦是欲界。可與娑	三 界 既 在 三 界 有 女 人 故 亦 是 欲 界 可 與 娑 
T47n1963_001:0086a07	婆欲界同耶。彼名淨土此名穢剎也。今判但	婆 欲 界 同 耶 彼 名 淨 土 此 名 穢 剎 也 今 判 但 
T47n1963_001:0086a08	化淨土。化界內眾生者。並在三界中。若是報	化 淨 土 化 界 內 眾 生 者 並 在 三 界 中 若 是 報 
T47n1963_001:0086a09	淨土。化界外眾生者。則出三界。由淨土有三	淨 土 化 界 外 眾 生 者 則 出 三 界 由 淨 土 有 三 
T47n1963_001:0086a10	品優劣故耳。如東方妙喜世界。是下淨土。雜	品 優 劣 故 耳 如 東 方 妙 喜 世 界 是 下 淨 土 雜 
T47n1963_001:0086a11	男女故。西方極樂世界。是中淨土。雜二乘故。	男 女 故 西方極樂 世 界 是 中 淨 土 雜 二 乘 故 
T47n1963_001:0086a12	上方眾香世界。是上淨土。無二乘故。此三品	上 方 眾 香 世 界 是 上 淨 土 無 二 乘 故 此 三 品 
T47n1963_001:0086a13	淨土。並在欲界中。由在人天別住處故。妙喜	淨 土 並 在 欲 界 中 由 在 人 天 別 住 處 故 妙 喜 
T47n1963_001:0086a14	世界有人天者。如維摩經云。從閻浮提至忉	世 界 有 人 天 者 如 維 摩 經 云 從 閻 浮 提 至 忉 
T47n1963_001:0086a15	利天也。極樂世界有人天者。如無量壽經云。	利 天 也 極樂世界 有 人 天 者 如 無 量 壽 經 云 
T47n1963_001:0086a16	佛告彌勒。汝見從地已上乃至五淨居天所	佛 告 彌 勒 汝 見 從 地 已 上 乃 至 五淨居天 所 
T47n1963_001:0086a17	有莊嚴事不也。眾香世界。有人天者。如維摩	有 莊 嚴 事 不 也 眾 香 世 界 有 人 天 者 如 維 摩 
T47n1963_001:0086a18	經云。令諸天人得入律行也。此等既有人天	經 云 令 諸 天 人 得 入 律 行 也 此 等 既 有 人 天 
T47n1963_001:0086a19	別住處。當知則在欲界中也。若在色界。雖	別 住 處 當 知 則 在 欲 界 中 也 若 在 色 界 雖 
T47n1963_001:0086a20	有天。則住處。當知則在欲界中也。若在色界。	有 天 則 住 處 當 知 則 在 欲 界 中 也 若 在 色 界 
T47n1963_001:0086a21	雖有天。則無人。由色界在上。人不能上故。若	雖 有 天 則 無 人 由 色 界 在 上 人 不 能 上 故 若 
T47n1963_001:0086a22	出三界外。則無人天別住處也。如淨土有三	出 三 界 外 則 無 人 天 別 住 處 也 如 淨 土 有 三 
T47n1963_001:0086a23	品。穢土亦有三品。如經說。從此東方有一世	品 穢 土 亦 有 三 品 如 經 說 從 此 東 方 有 一 世 
T47n1963_001:0086a24	界。名曰斯訶。土田唯有三角沙石。一年二雨。	界 名 曰 斯 訶 土 田 唯 有 三 角 沙 石 一 年 二 雨 
T47n1963_001:0086a25	濕潤不過五寸。其土眾生唯食草子。樹皮為	濕 潤 不 過 五 寸 其 土 眾 生 唯 食 草 子 樹 皮 為 
T47n1963_001:0086a26	衣。求生不得。求死不得。此是中穢土也。復有	衣 求 生 不 得 求 死 不 得 此 是 中 穢 土 也 復 有 
T47n1963_001:0086a27	一世界。虎狼毒狩。乃至蛇蠍。悉能飛行。遇	一 世 界 虎 狼 毒 狩 乃 至 蛇 蠍 悉 能 飛 行 遇 
T47n1963_001:0086a28	輒相食。不簡善惡。此是下穢土也。娑婆世界。	輒 相 食 不 簡 善 惡 此 是 下 穢 土 也 娑婆世界 
T47n1963_001:0086a29	恒有諸佛出世。有發菩提心眾生。地出粳糧。	恒 有 諸佛出世 有 發菩提心 眾 生 地 出 粳 糧 
T47n1963_001:0086b01	人有禮義。此則是上穢土也。淨土雖有三品。	人 有 禮 義 此 則 是 上 穢 土 也 淨 土 雖 有 三 品 
T47n1963_001:0086b02	但得生者悉皆不退。穢土亦有三品。但生之	但 得 生 者 悉 皆 不 退 穢 土 亦 有 三 品 但 生 之 
T47n1963_001:0086b03	者普皆退也。又西方淨土。有四因緣。唯進不	者 普 皆 退 也 又 西方淨土 有 四 因 緣 唯 進 不 
T47n1963_001:0086b04	退。一由長命故不退。如經言。壽命無量阿僧	退 一 由 長 命 故 不 退 如 經 言 壽 命 無 量 阿 僧 
T47n1963_001:0086b05	祇劫故。直然三大僧祇修道。則得成佛。況復	祇 劫 故 直 然 三 大 僧 祇 修 道 則 得 成 佛 況 復 
T47n1963_001:0086b06	無量僧祇也。穢土由短命故退也。二者有諸	無 量 僧 祇 也 穢 土 由 短 命 故 退 也 二 者 有 諸 
T47n1963_001:0086b07	佛菩薩。為善知識故不退。如經云。得與如是	佛 菩 薩 為 善 知 識 故 不 退 如 經 云 得 與 如 是 
T47n1963_001:0086b08	諸上善人俱會一處故。穢土由多惡知識故	諸 上 善 人 俱 會 一 處 故 穢 土 由 多 惡 知 識 故 
T47n1963_001:0086b09	退也。三者無有女人。六根境界。並是進道緣。	退 也 三 者 無 有 女 人 六 根 境 界 並 是 進 道 緣 
T47n1963_001:0086b10	故不退。如無量壽經云。眼見色即發菩提心。	故 不 退 如 無 量 壽 經 云 眼 見 色 即 發菩提心 
T47n1963_001:0086b11	乃至意緣法亦發菩提心也。穢土由有女人。	乃 至 意 緣 法 亦 發菩提心 也 穢 土 由 有 女 人 
T47n1963_001:0086b12	六根境界。普是退道緣故退也。四者唯有善	六 根 境 界 普 是 退 道 緣 故 退 也 四 者 唯 有 善 
T47n1963_001:0086b13	心故不退。如經云。無毛髮許造惡之地。穢土	心 故 不 退 如 經 云 無 毛 髮 許 造 惡 之 地 穢 土 
T47n1963_001:0086b14	由有惡心無記心故退也。	由 有 惡 心 無 記 心 故 退 也 
T47n1963_001:0086b15	二明不攝者。若是初地已上菩薩。及羅漢辟	二 明 不 攝 者 若 是 初 地 已 上 菩 薩 及 羅 漢 辟 
T47n1963_001:0086b16	支無學人生者。此即不攝。由已斷正使。出三	支 無 學 人 生 者 此 即 不 攝 由 已 斷 正 使 出 三 
T47n1963_001:0086b17	界故也。如大智度論云。有妙淨土。出過三界。	界 故 也 如 大 智 度 論 云 有 妙 淨 土 出 過 三 界 
T47n1963_001:0086b18	諸阿羅漢。當生其中也。論中既云羅漢。不論	諸 阿 羅 漢 當 生 其 中 也 論 中 既 云 羅 漢 不 論 
T47n1963_001:0086b19	學人。故知。學人生者在三界內也。	學 人 故 知 學 人 生 者 在 三 界 內 也 
T47n1963_001:0086b20	第二定往生人(何位人得往生)	第 二 定 往 生 人 何 位 人 得 往 生 
T47n1963_001:0086b21	問曰。已知。土體通於報化。未知何位人得往	問 曰 已 知 土 體 通 於 報 化 未 知 何 位 人 得 往 
T47n1963_001:0086b22	生。	生 
T47n1963_001:0086b23	答曰。今依經論。乃以佛意。但依經論修行者。	答 曰 今 依 經 論 乃 以 佛 意 但 依 經 論 修 行 者 
T47n1963_001:0086b24	不問凡聖男女。乃至十惡五逆。臨命終時。正	不 問 凡 聖 男 女 乃 至 十 惡 五 逆 臨命終時 正 
T47n1963_001:0086b25	念現前。心不亂者。並得往生。唯除謗大乘者	念 現 前 心 不 亂 者 並 得 往 生 唯 除 謗 大 乘 者 
T47n1963_001:0086b26	不得往生。此依觀經。若依無量壽經。并除五	不 得 往 生 此 依 觀 經 若 依 無 量 壽 經 并 除 五 
T47n1963_001:0086b27	逆人。	逆 人 
T47n1963_001:0086b28	問曰。此之二經。俱是一佛所說。何故大經除	問 曰 此 之 二 經 俱 是 一 佛 所 說 何 故 大 經 除 
T47n1963_001:0086b29	二。觀經除一也。	二 觀 經 除 一 也 
T47n1963_001:0086c01	答曰。先制後開。是諸佛常法。無量壽經先說。	答 曰 先 制 後 開 是 諸 佛 常 法 無 量 壽 經 先 說 
T47n1963_001:0086c02	以廣說法藏比丘因緣。及明往生事故也。觀	以 廣 說 法 藏 比 丘 因 緣 及 明 往 生 事 故 也 觀 
T47n1963_001:0086c03	經後說。以但論往生事故也。	經 後 說 以 但 論 往 生 事 故 也 
T47n1963_001:0086c04	問曰。如無量壽經云。眾生生者。皆悉住於正	問 曰 如 無 量 壽 經 云 眾 生 生 者 皆 悉 住 於 正 
T47n1963_001:0086c05	定之聚。又阿彌陀經云。舍利弗。極樂國土眾	定 之 聚 又 阿 彌 陀 經 云 舍 利 弗 極樂國土 眾 
T47n1963_001:0086c06	生生者。皆是阿毘跋致。據此二經。十解已上。	生 生 者 皆 是 阿毘跋致 據 此 二 經 十 解 已 上 
T47n1963_001:0086c07	始得往生。何故言乃至十惡五逆並得往生。	始 得 往 生 何 故 言 乃 至 十 惡 五 逆 並 得 往 生 
T47n1963_001:0086c08	答曰。正定阿毘跋致並云不退。不退言通。非	答 曰 正 定 阿毘跋致 並 云 不 退 不 退 言 通 非 
T47n1963_001:0086c09	局十解。今依經論。釋有四種。一是念不退。謂	局 十 解 今 依 經 論 釋 有 四 種 一 是 念 不 退 謂 
T47n1963_001:0086c10	在八地已上。二是行不退。謂在初地已上。三	在 八 地 已 上 二 是 行 不 退 謂 在 初 地 已 上 三 
T47n1963_001:0086c11	是位不退。謂在十解已上。四是處不退。謂西	是 位 不 退 謂 在 十 解 已 上 四 是 處 不 退 謂 西 
T47n1963_001:0086c12	方淨土也。故無量壽經云。彼土無有邪定及	方 淨 土 也 故 無 量 壽 經 云 彼 土 無 有 邪 定 及 
T47n1963_001:0086c13	不定聚名。又四十八大願中云。設我得佛。國	不 定 聚 名 又 四 十 八 大 願 中 云 設 我 得 佛 國 
T47n1963_001:0086c14	中之人天。不住正定聚。必至滅度者。不取正	中 之 人 天 不 住 正 定 聚 必 至 滅 度 者 不 取 正 
T47n1963_001:0086c15	覺。既不退之言位該四種。寧得舉一不退以	覺 既 不 退 之 言 位 該 四 種 寧 得 舉 一 不 退 以 
T47n1963_001:0086c16	定除三也。	定 除 三 也 
T47n1963_001:0086c17	問曰。夫論不退。須據行位。云何依處得不退	問 曰 夫 論 不 退 須 據 行 位 云 何 依 處 得 不 退 
T47n1963_001:0086c18	耶。	耶 
T47n1963_001:0086c19	答曰。行位不退。由內無煩惱。處所不退由外	答 曰 行 位 不 退 由 內 無 煩 惱 處 所 不 退 由 外 
T47n1963_001:0086c20	無境界。各據一義。奚足怪乎。	無 境 界 各 據 一 義 奚 足 怪 乎 
T47n1963_001:0086c21	問曰。前三不退。經論明證。此則可信。處所不	問 曰 前 三 不 退 經 論 明 證 此 則 可 信 處 所 不 
T47n1963_001:0086c22	退既無文證。若為取信。	退 既 無 文 證 若 為 取 信 
T47n1963_001:0086c23	答曰。今引毘婆沙論為證。如彼論中出六種	答 曰 今 引 毘 婆 沙 論 為 證 如 彼 論 中 出 六 種 
T47n1963_001:0086c24	種性人。一是退。二是思。三是護。四是位。五	種 性 人 一 是 退 二 是 思 三 是 護 四 是 位 五 
T47n1963_001:0086c25	是昇進。六是不動。如退種性人。縱得羅漢。亦	是 昇 進 六 是 不 動 如 退 種 性 人 縱 得 羅 漢 亦 
T47n1963_001:0086c26	還起退。乃至起三界修道煩惱由。根性軟弱	還 起 退 乃 至 起 三 界 修 道 煩 惱 由 根 性 軟 弱 
T47n1963_001:0086c27	故。此人雖體是退根。此人若在欲界人中。逢	故 此 人 雖 體 是 退 根 此 人 若 在 欲 界 人 中 逢 
T47n1963_001:0086c28	五退具即退。若生六欲天及色無色界中。無	五 退 具 即 退 若 生 六 欲 天 及 色無色界 中 無 
T47n1963_001:0086c29	五退具。即不退。由處所無退緣。故永不退也。	五 退 具 即 不 退 由 處 所 無 退 緣 故 永 不 退 也 
T47n1963_001:0087a01	五退具者。一長病。二遠行。三誦經。四瑩事。	五 退 具 者 一 長 病 二 遠 行 三 誦 經 四 瑩 事 
T47n1963_001:0087a02	五和諍。此之五種。唯人中有。天等中無。誦經	五 和 諍 此 之 五 種 唯 人 中 有 天 等 中 無 誦 經 
T47n1963_001:0087a03	等三。雖是善事。廢入觀。故退也。准此例彼。	等 三 雖 是 善 事 廢 入 觀 故 退 也 准 此 例 彼 
T47n1963_001:0087a04	亦可同然。如一切凡夫。雖復念佛。未至十解	亦 可 同 然 如 一 切 凡 夫 雖 復 念 佛 未 至 十 解 
T47n1963_001:0087a05	位。由在外凡。故體是退人。此人若在娑婆穢	位 由 在 外 凡 故 體 是 退 人 此 人 若 在 娑 婆 穢 
T47n1963_001:0087a06	土中。由逢五退緣故即退。若生西方。由無五	土 中 由 逢 五 退 緣 故 即 退 若 生 西 方 由 無 五 
