T85n2755_001:0217b16	華嚴經疏	華 嚴 經 疏 
T85n2755_001:0219c04	護煩惱行竟　第二護小乘行中。初十句護	護 煩 惱 行 竟 第 二 護 小 乘 行 中 初 十 句 護 
T85n2755_001:0219c05	小心。後二十句護狹心。前中初總後別。總	小 心 後 二 十 句 護 狹 心 前 中 初 總 後 別 總 
T85n2755_001:0219c06	中先臨前。謂初觀無常已生厭心。後觀無救	中 先 臨 前 謂 初 觀 無 常 已 生 厭 心 後 觀 無 救 
T85n2755_001:0219c07	轉更生厭故云轉。復厭離下趣後。謂正護小	轉 更 生 厭 故 云 轉 復 厭 離 下 趣 後 謂 正 護 小 
T85n2755_001:0219c08	乘小心求佛大果故云趣。佛智慧下別辨中	乘 小 心 求 佛 大 果 故 云 趣 佛 智 慧 下 別 辨 中 
T85n2755_001:0219c09	二。初五句求佛菩提。論名攝功德大後四求	二 初 五 句 求 佛 菩 提 論 名 攝 功 德 大 後 四 求 
T85n2755_001:0219c10	大涅槃。論名清淨大。前中一通力大。知佛	大 涅 槃 論 名 清 淨 大 前 中 一 通 力 大 知 佛 
T85n2755_001:0219c11	神通難測故云智。不思議智即是神通之體。	神 通 難 測 故 云 智 不思議智 即 是 神 通 之 體 
T85n2755_001:0219c12	二無比大。寄對顯勝無有敵對故云不可稱。	二 無 比 大 寄 對 顯 勝 無 有 敵 對 故 云 不 可 稱 
T85n2755_001:0219c13	論經名無等也。上二明妙用自在。三大義。大	論 經 名 無 等 也 上 二 明 妙 用 自 在 三 大 義 大 
T85n2755_001:0219c14	謂義利無量眾生故云有大勢力。此利他德。	謂 義 利 無 量 眾 生 故 云 有大勢力 此 利 他 德 
T85n2755_001:0219c15	四無譏謙大。希有難得故云無能勝者。論名	四 無 譏 謙 大 希 有 難 得 故 云 無 能 勝 者 論 名 
T85n2755_001:0219c16	難得也。此自利德。五不同大。亦寄對顯勝。	難 得 也 此 自 利 德 五 不 同 大 亦 寄 對 顯 勝 
T85n2755_001:0219c17	理實異外越小超因顯勝。今論主從首而說	理 實 異 外 越 小 超 因 顯 勝 今 論 主 從 首 而 說 
T85n2755_001:0219c18	故云不雜外道也。上三顯德行圓備　第二求	故 云 不 雜 外 道 也 上 三 顯 德 行 圓 備 第 二 求 
T85n2755_001:0219c19	涅槃淨果。中論主初總釋攝為三義。一離惑。	涅 槃 淨 果 中 論 主 初 總 釋 攝 為 三 義 一 離 惑 
T85n2755_001:0219c20	二離苦。三得涅槃。二別中。初離二障及習故	二 離 苦 三 得 涅 槃 二 別 中 初 離 二 障 及 習 故 
T85n2755_001:0219c21	名無衰。二苦根本盡憂悲亦亡故名無惱。三	名 無 衰 二 苦 根 本 盡 憂 悲 亦 亡 故 名 無 惱 三 
T85n2755_001:0219c22	得涅槃中。經有二句。一至涅槃安隱大城名	得 涅 槃 中 經 有 二 句 一 至 涅 槃 安 隱 大 城 名 
T85n2755_001:0219c23	自利德。二至彼不還能廣利益故。云救苦眾	自 利 德 二 至 彼 不 還 能 廣 利 益 故 云 救 苦 眾 
T85n2755_001:0219c24	生也。此是無住涅槃故　第二護狹心中。初	生 也 此 是 無住涅槃 故 第 二 護 狹 心 中 初 
T85n2755_001:0219c25	十起悲。後十救度。亦是先悲後慈。初中先牒	十 起 悲 後 十 救 度 亦 是 先 悲 後 慈 初 中 先 牒 
T85n2755_001:0219c26	前起後舉數總標。謂見佛智勝利傷物不得	前 起 後 舉 數 總 標 謂 見 佛 智 勝 利 傷 物 不 得 
T85n2755_001:0219c27	觀有為苦惱愍物處之。是故轉生殊勝悲心。	觀 有 為 苦 惱 愍 物 處 之 是 故 轉 生 殊 勝 悲 心 
T85n2755_001:0219c28	二何等正顯悲行。於中初句為總。以諸眾生	二 何 等 正 顯 悲 行 於 中 初 句 為 總 以 諸 眾 生 
T85n2755_001:0219c29	遠佛慈父曰孤。無智悲男女稱獨。由此孤獨	遠 佛 慈 父 曰 孤 無 智 悲 男 女 稱 獨 由 此 孤 獨 
T85n2755_001:0220a01	在苦無救深成可愍。餘九別中。初二依欲求	在 苦 無 救 深 成 可 愍 餘 九 別 中 初 二 依 欲 求 
T85n2755_001:0220a02	眾生。一求財無厭名貪無依。二於他資財非	眾 生 一 求 財 無 厭 名 貪 無 依 二 於 他 資 財 非 
T85n2755_001:0220a03	分起惑求無休息故。云三毒等下。三約有求	分 起 惑 求 無 休 息 故 云 三 毒 等 下 三 約 有 求 
T85n2755_001:0220a04	眾生。於中一苦果未脫三界六道。輪轉不絕	眾 生 於 中 一 苦 果 未 脫 三 界 六 道 輪 轉 不 絕 
T85n2755_001:0220a05	故云閉在等。二苦因不除。謂煩惱所覆。是彼	故 云 閉 在 等 二 苦 因 不 除 謂 煩 惱 所 覆 是 彼 
T85n2755_001:0220a06	苦因故云常住等。三無對治力。謂生在難處	苦 因 故 云 常 住 等 三 無 對 治 力 謂 生 在 難 處 
T85n2755_001:0220a07	離善導師無善根治故。云無正觀力。下四約	離 善 導 師 無 善 根 治 故 云 無 正 觀 力 下 四 約 
T85n2755_001:0220a08	梵行求眾生。初三小乘。後一外道。前中初不	梵 行 求 眾 生 初 三 小 乘 後 一 外 道 前 中 初 不 
T85n2755_001:0220a09	求大因名不起勝念故。云於善法心薄。以唯	求 大 因 名 不 起 勝 念 故 云 於 善 法 心 薄 以 唯 
T85n2755_001:0220a10	樂小善不樂大善故名薄也。二不求大菩提	樂 小 善 不 樂 大 善 故 名 薄 也 二 不 求大菩提 
T85n2755_001:0220a11	果故。云失佛妙法。謂妄取小果恃為究竟名	果 故 云 失 佛 妙 法 謂 妄 取 小 果 恃 為 究 竟 名 
T85n2755_001:0220a12	壞增上慢。三不求大涅槃果故。云而常隨等。	壞 增 上 慢 三 不 求 大 涅 槃 果 故 云 而 常 隨 等 
T85n2755_001:0220a13	謂縱得小乘無餘涅槃。常隨變易生死水流	謂 縱 得 小 乘 無餘涅槃 常 隨 變易生死 水 流 
T85n2755_001:0220a14	下一外道過。妄行邪道悕真涅槃。第二正	下 一 外 道 過 妄 行 邪 道 悕 真 涅 槃 第 二 正 
T85n2755_001:0220a15	救度中。初牒前起後。一發惱救心。此是總	救 度 中 初 牒 前 起 後 一 發 惱 救 心 此 是 總 
T85n2755_001:0220a16	句。下九別中。初三除三障顯度處也。次五授	句 下 九 別 中 初 三 除 三 障 顯 度 處 也 次 五 授 
T85n2755_001:0220a17	三學明度行也。後一令苦滅即度果也。初三	三 學 明 度 行 也 後 一 令 苦 滅 即 度 果 也 初 三 
T85n2755_001:0220a18	中應解其業結淨。其惑染脫其苦報故云也。	中 應 解 其 業 結 淨 其 惑 染 脫 其 苦 報 故 云 也 
T85n2755_001:0220a19	次五授行中。初二授三學。謂一勸置持戒處	次 五 授 行 中 初 二 授 三 學 謂 一 勸 置 持 戒 處 
T85n2755_001:0220a20	故云著善處也。勸住定慧處故云令安住。何	故 云 著 善 處 也 勸 住 定 慧 處 故 云 令 安 住 何 
T85n2755_001:0220a21	故定慧合為一句。以前地戒成分戒別辨後	故 定 慧 合 為 一 句 以 前 地 戒 成 分 戒 別 辨 後 
T85n2755_001:0220a22	地。明慧位未至故。慧從定說分為一句。論	地 明 慧 位 未 至 故 慧 從 定 說 分 為 一 句 論 
T85n2755_001:0220a23	云。三昧地故定慧合說。下三明授法利益。初	云 三 昧 地 故 定 慧 合 說 下 三 明 授 法 利 益 初 
T85n2755_001:0220a24	二句約戒。一欲受戒者。令除戒疑信進。於	二 句 約 戒 一 欲 受 戒 者 令 除 戒 疑 信 進 於 
T85n2755_001:0220a25	戒有大功德。使樂受故名為歡喜。二已受戒	戒 有 大 功 德 使 樂 受 故 名 為 歡 喜 二 已 受 戒 
T85n2755_001:0220a26	者。示以持犯及顯戒德。令心樂住安因不動	者 示 以 持 犯 及 顯 戒 德 令 心 樂 住 安 因 不 動 
T85n2755_001:0220a27	故云令知所宜。後一約定慧。謂掉沒障定。煩	故 云 令 知 所 宜 後 一 約 定 慧 謂 掉 沒 障 定 煩 
T85n2755_001:0220a28	惱障慧。滅除此二定慧成就故云令得度。又	惱 障 慧 滅 除 此 二 定 慧 成 就 故 云 令 得 度 又 
T85n2755_001:0220a29	釋棹是掉舉障於定。沒是昏沈障於慧。煩惱	釋 棹 是 掉 舉 障 於 定 沒 是 昏 沈 障 於 慧 煩 惱 
T85n2755_001:0220b01	通障。此是細惑隨逐行人故名隨非隨煩惱	通 障 此 是 細 惑 隨 逐 行 人 故 名 隨 非 隨 煩 惱 
T85n2755_001:0220b02	也。以是使故下。一救度成者。令得餘無餘二	也 以 是 使 故 下 一 救 度 成 者 令 得 餘 無 餘 二 
T85n2755_001:0220b03	種涅槃故云使滅苦　第三修方便攝行中。先	種 涅 槃 故 云 使 滅 苦 第 三 修 方 便 攝 行 中 先 
T85n2755_001:0220b04	述意後釋文初者菩薩因前觀有為多過眾生	述 意 後 釋 文 初 者 菩 薩 因 前 觀 有 為 多 過 眾 生 
T85n2755_001:0220b05	未出佛智大利眾生不得。復念眾生墮惑業	未 出 佛 智 大 利 眾 生 不 得 復 念 眾 生 墮 惑 業 
T85n2755_001:0220b06	苦。以何方便拔苦得樂。即知不離佛無礙智。	苦 以 何 方 便 拔 苦 得 樂 即 知 不 離 佛 無 礙 智 
T85n2755_001:0220b07	智由何生。即知不離八地上如實智。實智由	智 由 何 生 即 知 不 離 八 地 上 如 實 智 實 智 由 
T85n2755_001:0220b08	何生。即知不離四地已上無行慧。慧由何生。	何 生 即 知 不 離 四 地 已 上 無 行 慧 慧 由 何 生 
T85n2755_001:0220b09	即知不離三地禪定。定由何得。即知不離聞	即 知 不 離 三 地 禪 定 定 由 何 得 即 知 不 離 聞 
T85n2755_001:0220b10	法。是故菩薩先求正法。既聞已靜處思惟。思	法 是 故 菩 薩 先 求 正 法 既 聞 已 靜 處 思 惟 思 
T85n2755_001:0220b11	已修習入禪無色。依定觀法起無生慧。依此	已 修 習 入 禪 無 色 依 定 觀 法 起 無 生 慧 依 此 
T85n2755_001:0220b12	漸增生無功用如實智。依此漸增生佛無礙	漸 增 生 無 功 用 如 實 智 依 此 漸 增 生 佛 無 礙 
T85n2755_001:0220b13	智。得智已能盡眾生界拔苦與樂。常化不絕。	智 得 智 已 能 盡 眾 生 界 拔 苦 與 樂 常 化 不 絕 
T85n2755_001:0220b14	文意如此。是故名為方便攝行。二釋文者。此	文 意 如 此 是 故 名 為 方 便 攝 行 二 釋 文 者 此 
T85n2755_001:0220b15	文方便有其五重。一起觀方便。謂牒上三心	文 方 便 有 其 五 重 一 起 觀 方 便 謂 牒 上 三 心 
T85n2755_001:0220b16	起後觀求。二即時欲具下標趣方便。謂標其	起 後 觀 求 二 即 時 欲 具 下 標 趣 方 便 謂 標 其 
T85n2755_001:0220b17	佛慧彰行所趣。三作是思下觀求方便。謂觀	佛 慧 彰 行 所 趣 三 作 是 思 下 觀 求 方 便 謂 觀 
T85n2755_001:0220b18	察推求度眾生法。四即時知住下正知方便。	察 推 求 度 眾 生 法 四 即 時 知 住 下 正 知 方 便 
T85n2755_001:0220b19	謂知佛智能救眾生。乃至知由聞法。五菩薩	謂 知 佛 智 能 救 眾 生 乃 至 知 由 聞 法 五 菩 薩 
T85n2755_001:0220b20	如是知已下攝修方便。謂修聞法行攝取正	如 是 知 已 下 攝 修 方 便 謂 修 聞 法 行 攝 取 正 
T85n2755_001:0220b21	法。初中三。初牒上護煩惱行故云如是厭等。	法 初 中 三 初 牒 上 護 煩 惱 行 故 云 如 是 厭 等 
T85n2755_001:0220b22	二牒上護狹心行故云深念眾生。三牒上護	二 牒 上 護 狹 心 行 故 云 深 念 眾 生 三 牒 上 護 
T85n2755_001:0220b23	小心故云見一切智等。論主依此三心能起	小 心 故 云 見 一 切 智 等 論 主 依 此 三 心 能 起 
T85n2755_001:0220b24	後行故。說此三為三種因。初一可知。後二	後 行 故 說 此 三 為 三 種 因 初 一 可 知 後 二 
T85n2755_001:0220b25	發精進因者。見佛智有利能救眾生。是故因	發 精 進 因 者 見 佛 智 有 利 能 救 眾 生 是 故 因 
T85n2755_001:0220b26	此起大精進。修彼因行。論云。能修行彼道故。	此 起 大 精 進 修 彼 因 行 論 云 能 修 行 彼 道 故 
T85n2755_001:0220b27	深念為因故。能善化眾生也。二標趣方便中	深 念 為 因 故 能 善 化 眾 生 也 二 標 趣 方 便 中 
T85n2755_001:0220b28	論云。依如來智慧救度眾生。此言示現發起	論 云 依 如來智慧 救 度 眾 生 此 言 示 現 發 起 
T85n2755_001:0220b29	方便攝行故名也。三觀求方便中眾生墮苦	方 便 攝 行 故 名 也 三 觀 求 方 便 中 眾 生 墮 苦 
T85n2755_001:0220c01	等。論經亦有業。問。前救度十心中。於惑業	等 論 經 亦 有 業 問 前 救 度 十 心 中 於 惑 業 
T85n2755_001:0220c02	苦處以三學救度。何故今言以何方便而拔	苦 處 以 三 學 救 度 何 故 今 言 以 何 方 便 而 拔 
T85n2755_001:0220c03	濟之。答。前知戒等度法而未知用。何智慧能	濟 之 答 前 知 戒 等 度 法 而 未 知 用 何 智 慧 能 
T85n2755_001:0220c04	授此法。問答爾前護小心中。已知如來智慧	授 此 法 問 答 爾 前 護 小 心 中 已 知 如來智慧 
T85n2755_001:0220c05	有大淨。下九句別。前五是阿含淨。後四是證	有 大 淨 下 九 句 別 前 五 是 阿 含 淨 後 四 是 證 
T85n2755_001:0220c06	淨。謂順教修行名阿含淨。證理起行名為證	淨 謂 順 教 修 行 名 阿 含 淨 證 理 起 行 名 為 證 
T85n2755_001:0220c07	淨。又地前所行名阿含淨。地上所成名為證	淨 又 地 前 所 行 名 阿 含 淨 地 上 所 成 名 為 證 
T85n2755_001:0220c08	淨。阿含五中。初欲淨隨所念阿含者。是所求	淨 阿 含 五 中 初 欲 淨 隨 所 念 阿 含 者 是 所 求 
T85n2755_001:0220c09	法非一故名隨所也。得方便等者。是能求心	法 非 一 故 名 隨 所 也 得 方 便 等 者 是 能 求 心 
T85n2755_001:0220c10	經名善修。菩薩道者。念所聞法順教修行也。	經 名 善 修 菩 薩 道 者 念 所 聞 法 順 教 修 行 也 
T85n2755_001:0220c11	二是論中第四生得淨。謂出世勝報名上上	二 是 論 中 第 四 生 得 淨 謂 出 世 勝 報 名 上 上 
T85n2755_001:0220c12	生。地前起於助道之行。願得彼生名為勝念	生 地 前 起 於 助 道 之 行 願 得 彼 生 名 為 勝 念 
T85n2755_001:0220c13	故云善集助道法。三是求淨。以身口恭敬起	故 云 善 集 助 道 法 三 是 求 淨 以 身 口 恭 敬 起 
T85n2755_001:0220c14	求法行故名敬行。以此隨順諸佛求法名為	求 法 行 故 名 敬 行 以 此 隨 順 諸 佛 求 法 名 為 
T85n2755_001:0220c15	隨順故。云善能恭敬供養諸佛。四受持中先	隨 順 故 云 善 能 恭敬供養 諸 佛 四 受 持 中 先 
T85n2755_001:0220c16	釋受於無量世者。聞來久世多聞者所聞廣	釋 受 於 無 量 世 者 聞 來 久 世 多 聞 者 所 聞 廣 
T85n2755_001:0220c17	也。下釋持憶持者非念忘失。言不謬者非少	也 下 釋 持 憶 持 者 非 念 忘 失 言 不 謬 者 非 少 
T85n2755_001:0220c18	錯誤。如經於無量佛多種善根者。親近多佛	錯 誤 如 經 於 無 量 佛 多 種 善 根 者 親 近 多 佛 
T85n2755_001:0220c19	種聞持正法善根也。五行淨中為求地上真	種 聞 持 正 法 善 根 也 五 行 淨 中 為 求 地 上 真 
T85n2755_001:0220c20	證法故。習行少欲頭陀離著之行。積集成就	證 法 故 習 行 少 欲 頭 陀 離 著 之 行 積 集 成 就 
T85n2755_001:0220c21	多功德故方能入地。故云成就。無量深厚功	多 功 德 故 方 能 入 地 故 云 成 就 無 量 深 厚 功 
T85n2755_001:0220c22	德下。明證淨有四。一得淨者。謂初地證實名	德 下 明 證 淨 有 四 一 得 淨 者 謂 初 地 證 實 名 
T85n2755_001:0220c23	得。以初見道真智現觀決擇正證故。云現智	得 以 初 見 道 真 智 現 觀 決 擇 正 證 故 云 現 智 
T85n2755_001:0220c24	善決定故。又釋法顯於心名為現智。心安於	善 決 定 故 又 釋 法 顯 於 心 名 為 現 智 心 安 於 
T85n2755_001:0220c25	法名為決定。經中離癡是現智也。離疑悔是	法 名 為 決 定 經 中 離 癡 是 現 智 也 離 疑 悔 是 
T85n2755_001:0220c26	善決定。二不行淨。於修道位中制彼一切大	善 決 定 二 不 行 淨 於 修 道 位 中 制 彼 一 切 大 
T85n2755_001:0220c27	小煩惱。令永不行故云無有貪等。然見道位	小 煩 惱 令 永 不 行 故 云 無 有 貪 等 然 見 道 位 
T85n2755_001:0220c28	中。非不斷惑見理義增。修道位中。重觀真理	中 非 不 斷 惑 見 理 義 增 修 道 位 中 重 觀 真 理 
T85n2755_001:0220c29	除障義增故偏說也。三無厭足淨中對下彰	除 障 義 增 故 偏 說 也 三 無 厭 足 淨 中 對 下 彰 
T85n2755_001:0221a01	出名。不樂小乘。望上顯入名得上勝悕望。重	出 名 不 樂 小 乘 望 上 顯 入 名 得 上 勝 悕 望 重 
T85n2755_001:0221a02	釋中復念持彼功德故者。謂念彼佛果功德	釋 中 復 念 持 彼 功 德 故 者 謂 念 彼 佛 果 功 德 
T85n2755_001:0221a03	憶持不忘。釋經中安住也。又念彼能對治功	憶持不忘 釋 經 中 安 住 也 又 念 彼 能 對 治 功 
T85n2755_001:0221a04	德常現前故。四不隨他教淨。謂位在究竟道	德 常 現 前 故 四 不 隨 他 教 淨 謂 位 在 究 竟 道 
T85n2755_001:0221a05	中名趣盡道。以菩薩道極名之為盡。所證自	中 名 趣 盡 道 以 菩 薩 道 極 名 之 為 盡 所 證 自 
T85n2755_001:0221a06	心開覺顯示名自正行故。云不隨他教也。	心 開 覺 顯 示 名 自 正 行 故 云 不 隨 他 教 也 
