T85n2773_001:0423c07	維摩經抄	維 摩 經 抄 
T85n2773_001:0432a25	有以佛所化人而作佛事(千佛之中有一佛與眾生無緣便入涅槃留一化身	有 以 佛 所 化 人 而 作 佛 事 千 佛 之 中 有 一 佛 與 眾 生 無 緣 便 入 涅 槃 留 一 化 身 
T85n2773_001:0432a26	化眾生也)經曰。是故名為三藐三佛陀　初三名	化 眾 生 也 經 曰 是 故 名 為 三藐三佛陀 初 三 名 
T85n2773_001:0432a27	正。藐之言遍。後三言知。佛陀言覺多陀阿伽	正 藐 之 言 遍 後 三 言 知 佛 陀 言 覺 多 陀 阿 伽 
T85n2773_001:0432a28	度此云如來。佛陀此云覺者　經曰。如菩薩	度 此 云 如 來 佛 陀 此 云 覺 者 經 曰 如 菩 薩 
T85n2773_001:0432a29	者不盡有為不住無為　述曰。簡二乘之人厭	者 不 盡 有 為 不 住 無 為 述 曰 簡 二 乘 之 人 厭 
T85n2773_001:0432b01	出生死名盡有為。樂住寂滅名住無為。菩薩	出 生 死 名 盡 有 為 樂 住 寂 滅 名 住 無 為 菩 薩 
T85n2773_001:0432b02	不然。生死本空不盡有為。涅槃性空不住無	不 然 生 死 本 空 不 盡 有 為 涅 槃 性 空 不 住 無 
T85n2773_001:0432b03	為。亦可處生死而不染不盡。有為證涅槃而	為 亦 可 處 生 死 而 不 染 不 盡 有 為 證 涅 槃 而 
T85n2773_001:0432b04	不著不住無為。又云。有而非有不盡有。為空	不 著 不 住 無 為 又 云 有 而 非 有 不 盡 有 為 空 
T85n2773_001:0432b05	而不空不住無為。在諸禪定如地獄想(遠離世樂故)。	而 不 空 不 住 無 為 在 諸 禪 定 如 地 獄 想 遠 離 世 樂 故 
T85n2773_001:0432b06	於生死中如薗觀想(怜念眾生不受苦故)。見來求者為善師	於 生 死 中 如 薗 觀 想 怜 念 眾 生 不 受 苦 故 見 來 求 者 為 善 師 
T85n2773_001:0432b07	想(利益我故)。捨諸所有具一切智想(境界多故)。見毀戒人起	想 利 益 我 故 捨 諸 所 有 具 一 切 智 想 境 界 多 故 見 毀 戒 人 起 
T85n2773_001:0432b08	救護想(不憎嫌也)。諸波羅蜜為父母想(生佛身故)。於道品法	救 護 想 不 憎 嫌 也 諸波羅蜜 為 父 母 想 生 佛 身 故 於 道 品 法 
T85n2773_001:0432b09	為眷屬想(隨逐我身不相離故)。生死無數劫意而有勇(不怯退故)。	為 眷 屬 想 隨 逐 我 身 不 相 離 故 生 死 無 數 劫 意 而 有 勇 不 怯 退 故 
T85n2773_001:0432b10	聞佛無量德志而不倦(求不足故)。具福德故不住無	聞 佛 無 量 德 志 而 不 倦 求 不 足 故 具 福 德 故 不 住 無 
T85n2773_001:0432b11	為(拔苦與樂福德滿故)。具智慧故不住有為(無數不經智慧滿故)。	為 拔 苦 與 樂 福 德 滿 故 具 智 慧 故 不 住 有 為 無 數 不 經 智 慧 滿 故 
T85n2773_001:0432b12	見阿閦佛品第十二	見 阿 閦 佛 品 第 十 二 
T85n2773_001:0432b13	經曰。如自觀身實相觀佛亦然　述曰。身實	經 曰 如 自 觀 身 實 相 觀 佛 亦 然 述 曰 身 實 
T85n2773_001:0432b14	相者即真如也。真如無相。佛身亦然　前際	相 者 即 真 如 也 真 如 無 相 佛 身 亦 然 前 際 
T85n2773_001:0432b15	不來(已滅故)後際不去(不生故)今則不住(無前後故)不觀色	不 來 已 滅 故 後 際 不 去 不 生 故 今 則 不 住 無 前 後 故 不 觀 色 
T85n2773_001:0432b16	(有空故)不觀色如(空空故)不觀色性(無定故)色即是空。空	 有 空 故 不 觀 色 如 空 空 故 不 觀 色 性 無 定 故 色 即 是 空 空 
T85n2773_001:0432b17	即是色。義與此同。已下准釋　非四大起	即 是 色 義 與 此 同 已 下 准 釋 非 四 大 起 
T85n2773_001:0432b18	(離能造也)六入無積(六根空也因緣積空也聚無實性也)眼耳鼻舌身心已	 離 能 造 也 六 入 無 積 六 根 空 也 因 緣 積 空 也 聚 無 實 性 也 眼 耳 鼻 舌 身 心 已 
T85n2773_001:0432b19	過(超六入也)維摩真身本無生沒隨形化物不動國	過 超 六 入 也 維 摩 真 身 本 無 生 沒 隨 形 化 物 不 動 國 
T85n2773_001:0432b20	來。	來 
T85n2773_001:0432b21	維摩經抄	維 摩 經 抄 
