X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_001:0279b12	注曰。富樓那等五百聲聞。於古佛所久修梵行。皆	注 曰 富 樓 那 等 五 百 聲 聞 於 古 佛 所 久 修 梵 行 皆 
X30n0602_001:0279b13	蒙釋迦往生勸化。內蘊菩薩外現聲聞。今於法華	蒙 釋 迦 往 生 勸 化 內 蘊 菩 薩 外 現 聲 聞 今 於 法 華 
X30n0602_001:0279b14	會上。俱得授記作佛。	會 上 俱 得 授 記 作 佛 
X30n0602_001:0279b15	所以放光現瑞。開發請之教源。	所 以 放 光 現 瑞 開 發 請 之 教 源 
X30n0602_001:0279b16	注曰。放光現瑞發起教之因緣也。如來初放白毫	注 曰 放 光 現 瑞 發 起 教 之 因 緣 也 如 來 初 放 白 毫 
X30n0602_001:0279b17	相光。照於東方萬八千界。於是彌勒覩七事以騰	相 光 照 於 東 方 萬 八 千 界 於 是 彌 勒 覩 七 事 以 騰 
X30n0602_001:0279b18	疑。文殊擬十因而領答。此起教之因緣也。	疑 文 殊 擬 十 因 而 領 答 此 起 教 之 因 緣 也 
X30n0602_001:0279b19	出定揚德。暢佛慧之宏略。	出 定 揚 德 暢 佛 慧 之 宏 略 
X30n0602_001:0279b20	注曰。佛從定起。明二種甚深。演暢佛慧之大略也。	注 曰 佛 從 定 起 明 二 種 甚 深 演 暢 佛 慧 之 大 略 也 
X30n0602_001:0279b21	二甚深者。一證甚深。經云。諸佛智慧甚深無量。二	二 甚 深 者 一 證 甚 深 經 云 諸 佛 智 慧 甚 深 無 量 二 
X30n0602_001:0279b22	阿含甚深。經云。其智慧門難解難入。此序意也。	阿 含 甚 深 經 云 其 智 慧 門 難解難入 此 序 意 也 
X30n0602_001:0279b23	朽宅通入大之文軌。	朽 宅 通 入 大 之 文 軌 
X30n0602_001:0279b24	注曰。此火宅喻也。火宅喻於三界。諸子喻於眾生。	注 曰 此 火 宅 喻 也 火 宅 喻 於 三 界 諸 子 喻 於 眾 生 
X30n0602_001:0279c01	火宅門外而設三車。喻昔權說三乘也。末後等賜	火 宅 門 外 而 設 三 車 喻 昔 權 說 三 乘 也 末 後 等 賜 
X30n0602_001:0279c02	大白牛車。喻今實說一乘也。破三顯一誘入大乘。	大 白 牛 車 喻 今 實 說 一 乘 也 破 三 顯 一 誘 入 大 乘 
X30n0602_001:0279c03	此如來之本致也。光宅疏主立四乘教。義准於此。	此 如 來 之 本 致 也 光 宅 疏 主 立 四 乘 教 義 准 於 此 
X30n0602_001:0279c04	化城引昔緣之不墜。	化 城 引 昔 緣 之 不 墜 
X30n0602_001:0279c05	注曰。此化城喻也。化城喻二乘。寶所喻於大乘。勸	注 曰 此 化 城 喻 也 化 城 喻 二 乘 寶 所 喻 於 大 乘 勸 
X30n0602_001:0279c06	進二乘令歸一極。勿滯權宗而為究竟。昔為王子	進 二 乘 令 歸 一 極 勿 滯 權 宗 而 為 究 竟 昔 為 王 子 
X30n0602_001:0279c07	已化汝等。今說法華再引令入。此上三句明三周	已 化 汝 等 今 說 法 華 再 引 令 入 此 上 三 句 明 三 周 
X30n0602_001:0279c08	之旨也。	之 旨 也 
X30n0602_001:0279c09	繫珠明理性之常在。	繫 珠 明 理 性 之 常 在 
X30n0602_001:0279c10	注曰。繫珠喻也。珠喻一乘佛性。醉人衣下而繫寶	注 曰 繫 珠 喻 也 珠 喻 一 乘 佛 性 醉 人 衣 下 而 繫 寶 
X30n0602_001:0279c11	珠。昏沈不知枉受辛苦。喻諸聲聞。佛於往昔大通	珠 昏 沈 不 知 枉 受 辛 苦 喻 諸 聲 聞 佛 於 往 昔 大 通 
X30n0602_001:0279c12	佛所。為王子時。以大乘法而令發心。多劫廢忘不	佛 所 為 王 子 時 以 大 乘 法 而 令 發 心 多 劫 廢 忘 不 
X30n0602_001:0279c13	知不覺。既得羅漢以少為足。今蒙佛說昔事方憶	知 不 覺 既 得 羅 漢 以 少 為 足 今 蒙 佛 說 昔 事 方 憶 
X30n0602_001:0279c14	授無上記。喻如親友指珠示之令離貧苦。	授 無 上 記 喻 如 親 友 指 珠 示 之 令 離 貧 苦 
X30n0602_001:0279c15	鑿井顯示悟之多方。	鑿 井 顯 示 悟 之 多 方 
X30n0602_001:0279c16	注曰。鑿井喻也。水喻法華一乘。穿鑿求之喻聞解	注 曰 鑿 井 喻 也 水 喻 法 華 一 乘 穿 鑿 求 之 喻 聞 解 
X30n0602_001:0279c17	思修。若見濕泥知水必近。若聞法華成佛不遠。開	思 修 若 見 濕 泥 知 水 必 近 若 聞 法 華 成 佛 不 遠 開 
X30n0602_001:0279c18	示多方令人悟入。又乾土喻如眾生。濕土喻如二	示 多 方 令 人 悟 入 又 乾 土 喻 如 眾 生 濕 土 喻 如 二 
X30n0602_001:0279c19	乘。泥喻菩薩。水喻諸佛。	乘 泥 喻 菩 薩 水 喻 諸 佛 
X30n0602_001:0279c20	詞義宛然喻陳惟遠。	詞 義 宛 然 喻 陳 惟 遠 
X30n0602_001:0279c21	注曰。佛說此經言詞義理明白宛然。譬喻鋪陳其	注 曰 佛 說 此 經 言 詞 義 理 明 白 宛 然 譬 喻 鋪 陳 其 
X30n0602_001:0279c22	致惟遠。非佛智深悲厚。孰肯如是。	致 惟 遠 非 佛 智 深 悲 厚 孰 肯 如 是 
X30n0602_001:0279c23	自非大哀曠濟拔滯溺之沈流。一極悲心拯昏迷之	自 非 大 哀 曠 濟 拔 滯 溺 之 沈 流 一 極 悲 心 拯 昏 迷 之 
X30n0602_001:0279c24	失性。	失 性 
X30n0602_001:0280a01	注曰。哀悲也。曠遠也。一極至極也。言三周七譬顯	注 曰 哀 悲 也 曠 遠 也 一 極 至 極 也 言 三 周 七 譬 顯 
X30n0602_001:0280a02	示一乘。四行六記攝諸含識。文喻巧妙勸進諄諄。	示 一 乘 四 行 六 記 攝 諸 含 識 文 喻 巧 妙 勸 進 諄 諄 
X30n0602_001:0280a03	拔出生死之流。援拯昏迷之性。自非如來大悲遠	拔 出 生 死 之 流 援 拯 昏 迷 之 性 自 非 如來大悲 遠 
X30n0602_001:0280a04	濟至極慈心。誰能如此。	濟 至 極 慈 心 誰 能 如 此 
X30n0602_001:0280a05	自漢至唐六百餘載。總歷群籍四千餘軸。受持盛者	自 漢 至 唐 六 百 餘 載 總 歷 群 籍 四 千 餘 軸 受 持 盛 者 
X30n0602_001:0280a06	無出此經。	無 出 此 經 
X30n0602_001:0280a07	注曰。大教東傳自漢至唐。中間經籍四千餘卷。受	注 曰 大 教 東 傳 自 漢 至 唐 中 間 經 籍 四 千 餘 卷 受 
X30n0602_001:0280a08	持轉誦斯經獨盛。	持 轉 誦 斯 經 獨 盛 
X30n0602_001:0280a09	將非機教相扣。竝智勝之遺塵。聞而深敬。俱威王之	將 非 機 教 相 扣 竝 智 勝 之 遺 塵 聞 而 深 敬 俱 威 王 之 
X30n0602_001:0280a10	餘勣。	餘 勣 
X30n0602_001:0280a11	注曰。勣功也。扣投也。言根教相投聞而便敬之人。	注 曰 勣 功 也 扣 投 也 言 根 教 相 投 聞 而 便 敬 之 人 
X30n0602_001:0280a12	皆大通智勝佛之遺塵。威音王佛之餘功也。	皆 大 通 智 勝 佛 之 遺 塵 威 音 王 佛 之 餘 功 也 
X30n0602_001:0280a13	輙於經首敘而綜之。庶得早淨六根。仰慈尊之嘉會。	輙 於 經 首 敘 而 綜 之 庶 得 早 淨 六 根 仰 慈 尊 之 嘉 會 
X30n0602_001:0280a14	速成四德。趣樂土之玄猷。	速 成 四 德 趣 樂 土 之 玄 猷 
X30n0602_001:0280a15	注曰。庶冀欲也。此經殊勝隨喜者獲五福。書持者	注 曰 庶 冀 欲 也 此 經 殊 勝 隨 喜 者 獲 五 福 書 持 者 
X30n0602_001:0280a16	淨六根。仰攀也。慈尊嘉會謂慈氏如來龍華之會	淨 六 根 仰 攀 也 慈 尊 嘉 會 謂 慈 氏 如 來 龍 華 之 會 
X30n0602_001:0280a17	也。四德謂涅槃具常樂我淨之四德也。樂土謂法	也 四 德 謂 涅 槃 具 常樂我淨 之 四 德 也 樂 土 謂 法 
X30n0602_001:0280a18	性常寂光土。玄妙也。猷道也。	性 常 寂 光 土 玄 妙 也 猷 道 也 
X30n0602_001:0280a19	弘贊莫窮。永貽諸後云爾。	弘 贊 莫 窮 永 貽 諸 後 云 爾 
X30n0602_001:0280a20	注曰。貽遺也。言弘贊此經永遺後代。冀流通之無	注 曰 貽 遺 也 言 弘 贊 此 經 永 遺 後 代 冀 流 通 之 無 
X30n0602_001:0280a21	盡也。	盡 也 
X30n0602_001:0280a23	妙法蓮華經弘傳序	妙法蓮華 經 弘 傳 序 
X30n0602_001:0280b06	妙法蓮華經解卷第一之一	妙法蓮華 經 解 卷 第 一 之 一 
X30n0602_001:0280b08	溫陵開元蓮寺比丘　戒環　解	溫 陵 開 元 蓮 寺 比 丘 戒 環 解 
X30n0602_001:0280b09	△開釋科五。初通釋經題。	 開 釋 科 五 初 通 釋 經 題 
X30n0602_001:0280b10	實相妙法巧喻蓮華。內則直指乎一心。外則該通	實 相 妙 法 巧 喻 蓮 華 內 則 直 指 乎 一 心 外 則 該 通 
X30n0602_001:0280b11	乎萬境。方華即果處染常淨。此蓮之實相也。生佛	乎 萬 境 方 華 即 果 處 染 常 淨 此 蓮 之 實 相 也 生 佛 
X30n0602_001:0280b12	本有淪變靡殊。此心之實相也。其狀虗假其精甚	本 有 淪 變 靡 殊 此 心 之 實 相 也 其 狀 虗 假 其 精 甚 
X30n0602_001:0280b13	真。此境之實相也。心境萬類通謂之法。精粗一致	真 此 境 之 實 相 也 心 境 萬 類 通 謂 之 法 精 粗 一 致 
X30n0602_001:0280b14	凡聖同源。即諸世諦觸事而真。言詞不可示分別	凡 聖 同 源 即 諸 世 諦 觸 事 而 真 言 詞 不 可 示 分 別 
X30n0602_001:0280b15	不能解。故以妙稱也。六趣之所迷淪。葢迷此也。諸	不 能 解 故 以 妙 稱 也 六 趣 之 所 迷 淪 葢 迷 此 也 諸 
X30n0602_001:0280b16	佛之所修證。葢證此也。洎夫廣演言教無數方便。	佛 之 所 修 證 葢 證 此 也 洎 夫 廣 演 言 教 無數方便 
X30n0602_001:0280b17	葢為此也。但以眾生垢重根器未純。先說三乘假	葢 為 此 也 但 以 眾 生 垢 重 根 器 未 純 先 說 三 乘 假 
X30n0602_001:0280b18	名引導。故權而未實麤而未妙。及乎諸糞既除心	名 引 導 故 權 而 未 實 麤 而 未 妙 及 乎 諸 糞 既 除 心 
X30n0602_001:0280b19	相體信。乃示實相會歸一乘。則妙而無麤矣。諸佛	相 體 信 乃 示 實 相 會 歸 一 乘 則 妙 而 無 麤 矣 諸 佛 
X30n0602_001:0280b20	能事終畢於是也。然所謂妙法非去麤而取妙。葢	能 事 終 畢 於 是 也 然 所 謂 妙 法 非 去 麤 而 取 妙 葢 
X30n0602_001:0280b21	即麤以顯妙也。所謂一乘非離三而說一。葢會三	即 麤 以 顯 妙 也 所 謂 一 乘 非 離 三 而 說 一 葢 會 三 
X30n0602_001:0280b22	而歸一也。即麤顯妙猶蓮之即染而淨。會三歸一	而 歸 一 也 即 麤 顯 妙 猶 蓮 之 即 染 而 淨 會 三 歸 一 
X30n0602_001:0280b23	猶蓮之自華而實。法喻雙彰名實並顯。故號妙法	猶 蓮 之 自 華 而 實 法 喻 雙 彰 名 實 並 顯 故 號 妙 法 
X30n0602_001:0280b24	蓮華。夫證是法者。必以大智為體妙行為用。智譬	蓮 華 夫 證 是 法 者 必 以 大 智 為 體 妙 行 為 用 智 譬 
X30n0602_001:0280c01	則蓮行譬則華。智行兩全乃盡其妙。故經文始於	則 蓮 行 譬 則 華 智 行 兩 全 乃 盡 其 妙 故 經 文 始 於 
X30n0602_001:0280c02	一光東照。智境全彰終於四法。成就行門悉備正	一 光 東 照 智 境 全 彰 終 於 四 法 成 就 行 門 悉 備 正 
X30n0602_001:0280c03	宗之初。三周開示皆所以明體也。囑累之後六品	宗 之 初 三 周 開 示 皆 所 以 明 體 也 囑 累 之 後 六 品 
X30n0602_001:0280c04	敷揚。皆所以明用也。中間轍迹無非智行。旁顯體	敷 揚 皆 所 以 明 用 也 中 間 轍 迹 無 非 智 行 旁 顯 體 
X30n0602_001:0280c05	用。兼明彰實相之大全。列開悟之真範。發明種智	用 兼 明 彰 實 相 之 大 全 列 開 悟 之 真 範 發 明 種 智 
X30n0602_001:0280c06	成就果德。故若有聞者無不成佛。凡能領悟即得	成 就 果 德 故 若 有 聞 者 無 不 成 佛 凡 能 領 悟 即 得 
X30n0602_001:0280c07	授記。一事一相無非妙法也。由是而往。山河大地	授 記 一 事 一 相 無 非 妙 法 也 由 是 而 往 山 河 大 地 
X30n0602_001:0280c08	明暗色空。擴而充之則物物燈明智體。推而行之	明 暗 色 空 擴 而 充 之 則 物 物 燈 明 智 體 推 而 行 之 
X30n0602_001:0280c09	則步步普賢行門。直下即法以明心。不復離物以	則 步 步 普 賢 行 門 直 下 即 法 以 明 心 不 復 離 物 以 
X30n0602_001:0280c10	觀妙。則所謂大事因緣一題盡之矣。	觀 妙 則 所 謂 大 事 因 緣 一 題 盡 之 矣 
X30n0602_001:0280c11	△二通述己意。	 二 通 述 己 意 
X30n0602_001:0280c12	欽惟斯典盛行於世。人莫不願洛誦深造。而每見	欽 惟 斯 典 盛 行 於 世 人 莫 不 願 洛 誦 深 造 而 每 見 
X30n0602_001:0280c13	其難能者。非經之難特傳記難之也。夫傳以通經	其 難 能 者 非 經 之 難 特 傳 記 難 之 也 夫 傳 以 通 經 
X30n0602_001:0280c14	為義。辭達則已。類且繁分名相虗尚。多駢煙颺細	為 義 辭 達 則 已 類 且 繁 分 名 相 虗 尚 多 駢 煙 颺 細 
X30n0602_001:0280c15	科塵飛。雜辯滔滔謾謾杳莫可究。所以難能也。竊	科 塵 飛 雜 辯 滔 滔 謾 謾 杳 莫 可 究 所 以 難 能 也 竊 
X30n0602_001:0280c16	觀近世明經之體。一於經旨不泥陳言。欲約而盡	觀 近 世 明 經 之 體 一 於 經 旨 不 泥 陳 言 欲 約 而 盡 
X30n0602_001:0280c17	深而明。釋義不出科目立言必求綸貫。煥乎有文	深 而 明 釋 義 不 出 科 目 立 言 必 求 綸 貫 煥 乎 有 文 
X30n0602_001:0280c18	釋然易解。今輙效為斯解。然有其志無其才。深媿	釋 然 易 解 今 輙 效 為 斯 解 然 有 其 志 無 其 才 深 媿 
X30n0602_001:0280c19	其不逮也。妄意之初。竊謂法華為三乘櫽括大事	其 不 逮 也 妄 意 之 初 竊 謂 法 華 為 三 乘 櫽 括 大 事 
X30n0602_001:0280c20	指南。與華嚴實相終始。於是兩載覃思華嚴經論。	指 南 與 華 嚴 實 相 終 始 於 是 兩 載 覃 思 華 嚴 經 論 
X30n0602_001:0280c21	深考吾佛降靈之本致。復咨謀宗匠探賾講肆。歷	深 考 吾 佛 降 靈 之 本 致 復 咨 謀 宗 匠 探 賾 講 肆 歷 
X30n0602_001:0280c22	窮智者慈恩廣疏古今作者注解。摭其所聞。參諸	窮 智 者 慈 恩 廣 疏 古 今 作 者 注 解 摭 其 所 聞 參 諸 
X30n0602_001:0280c23	圓覺楞嚴維摩諸經。稽覈宗趣證正事法。然後命	圓 覺 楞 嚴 維 摩 諸 經 稽 覈 宗 趣 證 正 事 法 然 後 命 
X30n0602_001:0280c24	筆。雖立科釋義有異舊說。而綜文會意稍合華嚴。	筆 雖 立 科 釋 義 有 異 舊 說 而 綜 文 會 意 稍 合 華 嚴 
X30n0602_001:0281a01	削繁錄實務在疏明。一大事佛知見而未敢自許。	削 繁 錄 實 務 在 疏 明 一 大 事 佛 知 見 而 未 敢 自 許 
X30n0602_001:0281a02	達者苟不是古非今以人廢言。試詳覽之一校其	達 者 苟 不 是 古 非 今 以 人 廢 言 試 詳 覽 之 一 校 其 
X30n0602_001:0281a03	當否。	當 否 
X30n0602_001:0281a04	△三通敘科判。	 三 通 敘 科 判 
X30n0602_001:0281a05	釋經有科。判教有宗。如禾有科以容其苞本。如水	釋 經 有 科 判 教 有 宗 如 禾 有 科 以 容 其 苞 本 如 水 
X30n0602_001:0281a06	有宗以會其支派。嘗謂華嚴法華葢一宗也。何以	有 宗 以 會 其 支 派 嘗 謂 華 嚴 法 華 葢 一 宗 也 何 以 
X30n0602_001:0281a07	明之。夫法王應運出真兆聖。唯為一事無有餘乘。	明 之 夫 法 王 應 運 出 真 兆 聖 唯 為 一 事 無 有 餘 乘 
X30n0602_001:0281a08	是以首唱華嚴特明頓法。雖知根鈍且稱本懷。及	是 以 首 唱 華 嚴 特 明 頓 法 雖 知 根 鈍 且 稱 本 懷 及 
X30n0602_001:0281a09	乎怖大昏惑。乃權設方宜。至於眾志真純則還示	乎 怖 大 昏 惑 乃 權 設 方 宜 至 於 眾 志 真 純 則 還 示 
X30n0602_001:0281a10	實法。然則二經一始一終實相資發。故今宗華嚴	實 法 然 則 二 經 一 始 一 終 實 相 資 發 故 今 宗 華 嚴 
X30n0602_001:0281a11	而科釋也。或謂華嚴純談實性。獨被大機。法華引	而 科 釋 也 或 謂 華 嚴 純 談 實 性 獨 被 大 機 法 華 引 
X30n0602_001:0281a12	權入實。三根齊被。二經旨趣逈不相及。引彼釋此	權 入 實 三 根 齊 被 二 經 旨 趣 逈 不 相 及 引 彼 釋 此 
X30n0602_001:0281a13	殆不知宗。而愚竊觀信解品。其父先來求子不得。	殆 不 知 宗 而 愚 竊 觀 信 解 品 其 父 先 來 求 子 不 得 
X30n0602_001:0281a14	中止一城。其家大富。窮子遙見恐怖疾走。正喻初	中 止 一 城 其 家 大 富 窮 子 遙 見 恐 怖 疾 走 正 喻 初 
X30n0602_001:0281a15	說華嚴也。臨終命子委付財物。窮子歡喜得大寶	說 華 嚴 也 臨 終 命 子 委 付 財 物 窮 子 歡 喜 得 大 寶 
X30n0602_001:0281a16	藏。正喻終說法華也。迹此觀之。始而驚怖終而親	藏 正 喻 終 說 法 華 也 迹 此 觀 之 始 而 驚 怖 終 而 親 
X30n0602_001:0281a17	附者無異父。窮之所棄達之所獲者無異寶。既無	附 者 無 異 父 窮 之 所 棄 達 之 所 獲 者 無 異 寶 既 無 
X30n0602_001:0281a18	以異何為而不應宗之耶。又況二經以智立體以	以 異 何 為 而 不 應 宗 之 耶 又 況 二 經 以 智 立 體 以 
X30n0602_001:0281a19	行成德。放光現瑞全法界之真機。融因會果開修	行 成 德 放 光 現 瑞 全 法 界 之 真 機 融 因 會 果 開 修 
X30n0602_001:0281a20	證之捷逕。凡所設法意緒並同。二經相宗亦足見	證 之 捷 逕 凡 所 設 法 意 緒 並 同 二 經 相 宗 亦 足 見 
X30n0602_001:0281a21	聖人說法始終一貫。果唯一事無有餘乘。旨趣稍	聖 人 說 法 始 終 一 貫 果 唯 一 事 無 有 餘 乘 旨 趣 稍 
X30n0602_001:0281a22	馴幸無深誚也。今科判此經二十八品分三。初序	馴 幸 無 深 誚 也 今 科 判 此 經 二 十 八 品 分 三 初 序 
X30n0602_001:0281a23	分一品。二正宗分十九品。三流通分八品。正宗二。初	分 一 品 二 正 宗 分 十 九 品 三 流 通 分 八 品 正 宗 二 初 
X30n0602_001:0281a24	三周開示十品。自方便至學記八品。說三周法授	三 周 開 示 十 品 自 方 便 至 學 記 八 品 說 三 周 法 授 
X30n0602_001:0281b01	三根記。自法師至寶塔二品。授廣記以圓該前記。	三 根 記 自 法 師 至 寶 塔 二 品 授 廣 記 以 圓 該 前 記 
X30n0602_001:0281b02	會諸佛以圓證前法。二顯妙勸持九品。自提婆至	會 諸 佛 以 圓 證 前 法 二 顯 妙 勸 持 九 品 自 提 婆 至 
X30n0602_001:0281b03	安樂行三品。顯功行之妙也。自涌出至壽量二品。	安 樂 行 三 品 顯 功 行 之 妙 也 自 涌 出 至 壽 量 二 品 
X30n0602_001:0281b04	顯本迹之妙也。自分別至不輕四品。顯聞持之妙	顯 本 迹 之 妙 也 自 分 別 至 不 輕 四 品 顯 聞 持 之 妙 
