X72n1441_001:0674b06	 法會錄序	 法 會 錄 序 
X72n1441_001:0683a22	養彌陀。及賢劫中諸佛。然後成佛。即名月上。以此觀	養 彌 陀 及 賢 劫 中 諸 佛 然 後 成 佛 即 名 月 上 以 此 觀 
X72n1441_001:0683a23	之。今禪者徒執理性而篾視淨土。不肯發願親覲諸	之 今 禪 者 徒 執 理 性 而 篾 視 淨 土 不 肯 發 願 親 覲 諸 
X72n1441_001:0683a24	佛者。不唯失見佛之緣。恐相似悟頭。而於理性實未	佛 者 不 唯 失 見 佛 之 緣 恐 相 似 悟 頭 而 於 理 性 實 未 
X72n1441_001:0683b01	曾大通也。更有甚者。直詆念佛求生淨土為下根。而	曾 大 通 也 更 有 甚 者 直 詆 念 佛 求 生 淨 土 為 下 根 而 
X72n1441_001:0683b02	障人進修者。是月上亦下根人。而世尊記其往生極	障 人 進 修 者 是 月 上 亦 下 根 人 而 世 尊 記 其 往 生 極 
X72n1441_001:0683b03	樂。不亦謬乎。自誤誤人。其害匪細。故特表出之。以告	樂 不 亦 謬 乎 自 誤 誤 人 其 害 匪 細 故 特 表 出 之 以 告 
X72n1441_001:0683b04	諸同志者。謝子懽忭踊躍。再拜。請即次其說以冠諸	諸 同 志 者 謝 子 懽 忭 踊 躍 再 拜 請 即 次 其 說 以 冠 諸 
X72n1441_001:0683b05	經首。余不得而辭。	經 首 余 不 得 而 辭 
X72n1441_001:0683b06	復弁山且拙和尚書	復 弁 山 且 拙 和 尚 書 
X72n1441_001:0683b07	前歲有禪者自寶山來。示以金剛般若尊註。展讀之	前 歲 有 禪 者 自 寶 山 來 示 以 金 剛 般 若 尊 註 展 讀 之 
X72n1441_001:0683b08	下。但見辯鋒凜烈。慧海汪深。不落常塗。別出手眼。始	下 但 見 辯 鋒 凜 烈 慧 海 汪 深 不 落 常 塗 別 出 手 眼 始 
X72n1441_001:0683b09	知義山古佛出現。放大光明久矣。瞻仰之私。匪一旦	知 義 山 古 佛 出 現 放大光明 久 矣 瞻 仰 之 私 匪 一 旦 
X72n1441_001:0683b10	夕。限於山川。每以不獲親炙為歉。辛亥秋杪。遊建溪。	夕 限 於 山 川 每 以 不 獲 親 炙 為 歉 辛 亥 秋 杪 遊 建 溪 
X72n1441_001:0683b11	白雲。忽令嗣巢鳴磐石二公見顧。拜領惠書。並尊錄。	白 雲 忽 令 嗣 巢 鳴 磐 石 二 公 見 顧 拜 領 惠 書 並 尊 錄 
X72n1441_001:0683b12	宛如面覩慈容。親聆謦咳。懽忭踴躍。無以云喻。竊惟	宛 如 面 覩 慈 容 親 聆 謦 咳 懽 忭 踴 躍 無 以 云 喻 竊 惟 
X72n1441_001:0683b13	我洞上一宗。盛於唐。衰於宋。故當時明教和尚。有大	我 洞 上 一 宗 盛 於 唐 衰 於 宋 故 當 時 明 教 和 尚 有 大 
X72n1441_001:0683b14	旱引孤泉之喻。然其人雖落落。一一皆法門龍象。悟	旱 引 孤 泉 之 喻 然 其 人 雖 落 落 一 一 皆 法 門 龍 象 悟 
X72n1441_001:0683b15	門既真。道德大備。投子而下。如芙蓉。大洪。真歇。宏智	門 既 真 道 德 大 備 投 子 而 下 如 芙 蓉 大 洪 真 歇 宏 智 
X72n1441_001:0683b16	諸祖。皆足肩任大法。傳化將來。至於今日。濟宗不在	諸 祖 皆 足 肩 任 大 法 傳 化 將 來 至 於 今 日 濟 宗 不 在 
X72n1441_001:0683b17	言。即本宗往往不問人之可否。唯以得之為勝。充塞	言 即 本 宗 往 往 不 問 人 之 可 否 唯 以 得 之 為 勝 充 塞 
X72n1441_001:0683b18	閭巷。退人信心。正恐絕此一綫。不在人少而在人多。	閭 巷 退 人 信 心 正 恐 絕 此 一 綫 不 在 人 少 而 在 人 多 
X72n1441_001:0683b19	為可憂也。座下所得既真。發用廣大。力荷法門。慷慨	為 可 憂 也 座 下 所 得 既 真 發 用 廣 大 力 荷 法 門 慷 慨 
X72n1441_001:0683b20	激烈。真有程嬰公孫杵臼之心。但此風大行。不知何	激 烈 真 有 程 嬰 公 孫 杵 臼 之 心 但 此 風 大 行 不 知 何 
X72n1441_001:0683b21	所抵止。某道孤力薄。目擊時獘。救之既無術。隨之又	所 抵 止 某 道 孤 力 薄 目 擊 時 獘 救 之 既 無 術 隨 之 又 
X72n1441_001:0683b22	豈肯。所以近日退院捨眾。急欲於無人處卓自了菴。	豈 肯 所 以 近 日 退 院 捨 眾 急 欲 於 無 人 處 卓 自 了 菴 
X72n1441_001:0683b23	隨緣遣日。又安用以閑名字流落人間。與時輩相頡	隨 緣 遣 日 又 安 用 以 閑 名 字 流 落 人 間 與 時 輩 相 頡 
X72n1441_001:0683b24	頏耶。往歲有人來索語錄行實。所以不敢與者。意亦	頏 耶 往 歲 有 人 來 索 語 錄 行 實 所 以 不 敢 與 者 意 亦 
X72n1441_001:0683c01	在此。其人不諒。密懷生滅。乃為座下所檢點。不免勞	在 此 其 人 不 諒 密 懷 生 滅 乃 為 座 下 所 檢 點 不 免 勞 
X72n1441_001:0683c02	動一番神用。則又某之罪過也。既不敢固執前見。謹	動 一 番 神 用 則 又 某 之 罪 過 也 既 不 敢 固 執 前 見 謹 
X72n1441_001:0683c03	略錄數則上呈。以便筆削。路遠無可將意。唯有望弁	略 錄 數 則 上 呈 以 便 筆 削 路 遠 無 可 將 意 唯 有 望 弁 
X72n1441_001:0683c04	峰而跂瞻耳。諸惟慈諒不盡。	峰 而 跂 瞻 耳 諸 惟 慈 諒 不 盡 
X72n1441_001:0683c05	答檀園大師書	答 檀 園 大 師 書 
X72n1441_001:0683c06	(附來書　竊惟愽山先老祖嵓岸太高眼目太空。非東苑與先鼓山之得人。以布葢天之網則何有於今	 附 來 書 竊 惟 愽 山 先 老 祖 嵓 岸 太 高 眼 目 太 空 非 東 苑 與 先 鼓 山 之 得 人 以 布 葢 天 之 網 則 何 有 於 今 
X72n1441_001:0683c07	日也。意者謂和尚年甚□德甚重化緣甚旺。門庭甚尊。即嚮風依依如某者。有同天隔世之懷况及其門。	日 也 意 者 謂 和 尚 年 甚 德 甚 重 化 緣 甚 旺 門 庭 甚 尊 即 嚮 風 依 依 如 某 者 有 同 天 隔 世 之 懷 况 及 其 門 
X72n1441_001:0683c08	入其室。承其法。叨其惠者乎。其毋使他日有如某者其人。而憾於愽嶠幸矣)。	入 其 室 承 其 法 叨 其 惠 者 乎 其 毋 使 他 日 有 如 某 者 其 人 而 憾 於 愽 嶠 幸 矣 
X72n1441_001:0683c09	師答曰。博山老人非不求人。只是當時無人可求耳。	師 答 曰 博 山 老 人 非 不 求 人 只 是 當 時 無 人 可 求 耳 
X72n1441_001:0683c10	故寧絕其人。存其道。以待後來。豈如今人之濫相授	故 寧 絕 其 人 存 其 道 以 待 後 來 豈 如 今 人 之 濫 相 授 
X72n1441_001:0683c11	受。便謂之得人可乎。博山嘗謂余集生居士曰。宗門	受 便 謂 之 得 人 可 乎 博 山 嘗 謂 余 集 生 居 士 曰 宗 門 
X72n1441_001:0683c12	中事。貴在心髓相符。不在門庭相紹。若實得其人。見	中 事 貴 在 心 髓 相 符 不 在 門 庭 相 紹 若 實 得 其 人 見 
X72n1441_001:0683c13	知聞知。先後一揆。絕而非絕。若不得其人。則乳添水	知 聞 知 先 後 一 揆 絕 而 非 絕 若 不 得 其 人 則 乳 添 水 
X72n1441_001:0683c14	而味薄。烏三寫而成馬。存豈真存。故我意寧不得人。	而 味 薄 烏 三 寫 而 成 馬 存 豈 真 存 故 我 意 寧 不 得 人 
X72n1441_001:0683c15	勿授非器。不得其人。嗣雖絕而道自直。自無傷于大	勿 授 非 器 不 得 其 人 嗣 雖 絕 而 道 自 直 自 無 傷 于 大 
X72n1441_001:0683c16	法。授非器者。嗣雖存而道自偽。反自破其先宗。有智	法 授 非 器 者 嗣 雖 存 而 道 自 偽 反 自 破 其 先 宗 有 智 
X72n1441_001:0683c17	之士。當知所擇。以此觀之。則博山當時非無所見。而	之 士 當 知 所 擇 以 此 觀 之 則 博 山 當 時 非 無 所 見 而 
X72n1441_001:0683c18	甘作斷佛種人。愚見亦爾。故十餘載來。欲覔一箇半	甘 作 斷 佛 種 人 愚 見 亦 爾 故 十 餘 載 來 欲 覔 一 箇 半 
X72n1441_001:0683c19	箇有真心者。不可得。又豈肯隨波逐浪。以佛祖慧命。	箇 有 真 心 者 不 可 得 又 豈 肯 隨 波 逐 浪 以 佛 祖 慧 命 
X72n1441_001:0683c20	作世諦流布乎。座下有志荷擔。切在傳持。志固可嘉。	作 世 諦 流 布 乎 座 下 有 志 荷 擔 切 在 傳 持 志 固 可 嘉 
