T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_001:0345b18	云何意及識　問意根及諸識。	云 何 意 及 識 問 意 根 及 諸 識 
T39n1789_001:0345b19	云何生與滅云何見已還　問意識起見生滅	云 何 生 與 滅 云 何 見 已 還 問 意 識 起 見 生 滅 
T39n1789_001:0345b20	已還亦滅也入楞伽云。云何起諸見云何	已 還 亦 滅 也 入 楞 伽 云 云 何 起 諸 見 云 何 
T39n1789_001:0345b21	退諸見。	退 諸 見 
T39n1789_001:0345b22	云何為種性非種及心量　問三乘差別種性	云 何 為 種 性 非 種 及 心 量 問 三 乘 差 別 種 性 
T39n1789_001:0345b23	外道非種及不定種心量。	外 道 非 種 及 不 定 種 心 量 
T39n1789_001:0345b24	云何建立相及與非我義　問有相及無我相。	云 何 建 立 相 及 與 非 我 義 問 有 相 及 無 我 相 
T39n1789_001:0345b25	云何無眾生云何世俗說　問真無俗有。	云 何 無 眾 生 云 何 世 俗 說 問 真 無 俗 有 
T39n1789_001:0345b26	云何為斷見及常見不生　問斷常二見。	云 何 為 斷 見 及 常 見 不 生 問 斷 常 二 見 
T39n1789_001:0345b27	云何佛外道其相不相違　問邪正無背。	云 何 佛 外 道 其 相 不 相 違 問 邪 正 無 背 
T39n1789_001:0345b28	云何當來世種種諸異部　問佛滅後弟子所	云 何 當 來 世 種 種 諸 異 部 問 佛 滅 後 弟 子 所 
T39n1789_001:0345b29	宗經部各異。	宗 經 部 各 異 
T39n1789_001:0345c01	云何空何因云何剎那壞　問諸法性空剎那	云 何 空 何 因 云 何 剎 那 壞 問 諸 法 性 空 剎 那 
T39n1789_001:0345c02	念滅剎那極微細念也。	念 滅 剎 那 極 微 細 念 也 
T39n1789_001:0345c03	云何胎藏生　問托胎受生。	云 何 胎 藏 生 問 托 胎 受 生 
T39n1789_001:0345c04	云何世不動　問世相遷流性何不動。	云 何 世 不 動 問 世 相 遷 流 性 何 不 動 
T39n1789_001:0345c05	何因如幻夢及揵闥婆城世間熱時焰及與水	何 因 如 幻 夢 及 揵 闥 婆 城 世 間 熱 時 焰 及 與 水 
T39n1789_001:0345c06	月光　問此五喻。喻世間生滅相皆無實義。	月 光 問 此 五 喻 喻 世 間 生 滅 相 皆 無 實 義 
T39n1789_001:0345c07	揵闥婆梵語也。此云尋香城。	揵 闥 婆 梵 語 也 此 云 尋 香 城 
T39n1789_001:0345c08	何因說覺支及與菩提分　問七覺支及八正	何 因 說 覺 支 及 與 菩 提 分 問 七 覺 支 及 八 正 
T39n1789_001:0345c09	道。	道 
T39n1789_001:0345c10	云何國土亂　問所依國土何因亂壞。	云 何 國 土 亂 問 所 依 國 土 何 因 亂 壞 
T39n1789_001:0345c11	云何作有見　問諸法無體何作有見。有即	云 何 作 有 見 問 諸 法 無 體 何 作 有 見 有 即 
T39n1789_001:0345c12	三有。入楞伽云。何故見諸有。	三 有 入 楞 伽 云 何 故 見 諸 有 
T39n1789_001:0345c13	云何不生滅世如虛空華　問世相如空華。	云 何 不 生 滅 世 如 虛 空 華 問 世 相 如 空 華 
T39n1789_001:0345c14	何故言不生不滅。入楞伽云。云何如空華	何 故 言 不生不滅 入 楞 伽 云 云 何 如 空 華 
T39n1789_001:0345c15	不生亦不滅。	不生亦不滅 
T39n1789_001:0345c16	云何覺世間云何說離字　問眾生云何覺知	云 何 覺 世 間 云 何 說 離 字 問 眾 生 云 何 覺 知 
T39n1789_001:0345c17	世法。云何離文字相。	世 法 云 何 離 文 字 相 
T39n1789_001:0345c18	離妄想者誰云何虛空譬　問誰知諸法如虛	離 妄 想 者 誰 云 何 虛 空 譬 問 誰 知 諸 法 如 虛 
T39n1789_001:0345c19	空離妄想分別。入楞伽云。云何如虛空云	空 離 妄想分別 入 楞 伽 云 云 何 如 虛 空 云 
T39n1789_001:0345c20	何離分別。	何 離 分 別 
T39n1789_001:0345c21	如實有幾種　問真如有幾。	如 實 有 幾 種 問 真 如 有 幾 
T39n1789_001:0345c22	幾波羅蜜心　諸度心有幾。	幾 波 羅 蜜 心 諸 度 心 有 幾 
T39n1789_001:0345c23	何因度諸地誰至無所受　問誰能超越十地	何 因 度 諸 地 誰 至 無 所 受 問 誰 能 超 越 十 地 
T39n1789_001:0345c24	至於佛地。無所受即佛境界。	至 於 佛 地 無 所 受 即 佛 境 界 
T39n1789_001:0345c25	何等二無我　問誰能空人法二執惑障。	何 等 二 無 我 問 誰 能 空 人 法 二 執 惑 障 
T39n1789_001:0345c26	云何爾焰淨　問誰能淨智障。	云 何 爾 焰 淨 問 誰 能 淨 智 障 
T39n1789_001:0345c27	諸智有幾種　問諸正智。	諸 智 有 幾 種 問 諸 正 智 
T39n1789_001:0345c28	幾戒眾生性　問眾生性殊禁戒有幾。	幾 戒 眾 生 性 問 眾 生 性 殊 禁 戒 有 幾 
T39n1789_001:0345c29	誰生諸寶性摩尼真珠等　問諸寶物何從而	誰 生 諸 寶 性 摩 尼 真 珠 等 問 諸 寶 物 何 從 而 
T39n1789_001:0346a01	生。	生 
T39n1789_001:0346a02	誰生諸語言眾生種種性　問眾生語言差別	誰 生 諸 語 言 眾 生 種 種 性 問 眾 生 語 言 差 別 
T39n1789_001:0346a03	種性不同何因而起。	種 性 不 同 何 因 而 起 
T39n1789_001:0346a04	明處及伎術誰之所顯示　問五明法及伎	明 處 及 伎 術 誰 之 所 顯 示 問 五 明 法 及 伎 
T39n1789_001:0346a05	術。五明者。一曰內論。謂一切佛法。二曰外	術 五 明 者 一 曰 內 論 謂 一切佛法 二 曰 外 
T39n1789_001:0346a06	論有四種。曰因曰聲曰醫方。曰工巧。此五各	論 有 四 種 曰 因 曰 聲 曰 醫 方 曰 工 巧 此 五 各 
T39n1789_001:0346a07	能生智故云明處。	能 生 智 故 云 明 處 
T39n1789_001:0346a08	伽陀有幾種長頌及短句　伽陀梵語也。此	伽 陀 有 幾 種 長 頌 及 短 句 伽 陀 梵 語 也 此 
T39n1789_001:0346a09	云孤起。亦曰諷誦。與重頌不同。問孤起頌及	云 孤 起 亦 曰 諷 誦 與 重 頌 不 同 問 孤 起 頌 及 
T39n1789_001:0346a10	長行重頌。	長 行 重 頌 
T39n1789_001:0346a11	成為有幾種　問經中理趣。入楞伽云。道	成 為 有 幾 種 問 經 中 理 趣 入 楞 伽 云 道 
T39n1789_001:0346a12	理幾不同。	理 幾 不 同 
T39n1789_001:0346a13	云何名為論　問釋經之論。入楞伽云。解	云 何 名 為 論 問 釋 經 之 論 入 楞 伽 云 解 
T39n1789_001:0346a14	釋幾差別。	釋 幾 差 別 
T39n1789_001:0346a15	云何生飲食及生諸愛欲　問飲食誰作愛欲	云 何 生 飲 食 及 生 諸 愛 欲 問 飲 食 誰 作 愛 欲 
T39n1789_001:0346a16	何起。	何 起 
T39n1789_001:0346a17	云何名為王轉輪及小王云何守護國　問大	云 何 名 為 王 轉 輪 及 小 王 云 何 守 護 國 問 大 
T39n1789_001:0346a18	小諸王及守國土之法。	小 諸 王 及 守 國 土 之 法 
T39n1789_001:0346a19	諸天有幾種。云何名為地星宿及日月　問	諸 天 有 幾 種 云 何 名 為 地 星 宿 及 日 月 問 
T39n1789_001:0346a20	欲界名相。	欲 界 名 相 
T39n1789_001:0346a21	解脫修行者是各有幾種　問學無學人解脫	解 脫 修 行 者 是 各 有 幾 種 問 學 無 學 人 解 脫 
T39n1789_001:0346a22	是無學修行是學。	是 無 學 修 行 是 學 
T39n1789_001:0346a23	弟子有幾種。云何阿闍黎　問師弟子阿闍	弟 子 有 幾 種 云 何 阿 闍 黎 問 師 弟 子 阿 闍 
T39n1789_001:0346a24	黎此云教師。	黎 此 云 教 師 
T39n1789_001:0346a25	佛復有幾種。復有幾種生　問佛三身及本	佛 復 有 幾 種 復 有 幾 種 生 問 佛 三 身 及 本 
T39n1789_001:0346a26	生事。本生謂宿世所行事。入楞伽云如來	生 事 本 生 謂 宿 世 所 行 事 入 楞 伽 云 如 來 
T39n1789_001:0346a27	有幾種。本生事亦然。	有 幾 種 本 生 事 亦 然 
T39n1789_001:0346a28	魔及諸異學彼各有幾種　問眾魔及諸外	魔 及 諸 異 學 彼 各 有 幾 種 問 眾 魔 及 諸 外 
T39n1789_001:0346a29	道。魔梵語魔羅此云能害。謂能害善法。	道 魔 梵 語 魔 羅 此 云 能 害 謂 能 害 善 法 
T39n1789_001:0346b01	自性及與心彼復各幾種　問性與心幾種差	自 性 及 與 心 彼 復 各 幾 種 問 性 與 心 幾 種 差 
T39n1789_001:0346b02	別。	別 
T39n1789_001:0346b03	云何施設量惟願最勝說　問心量妄想施設	云 何 施 設 量 惟 願 最 勝 說 問 心 量 妄 想 施 設 
T39n1789_001:0346b04	最勝者稱佛也。	最 勝 者 稱 佛 也 
T39n1789_001:0346b05	云何空風雲　問欲界無情名相。	云 何 空 風 雲 問 欲 界 無 情 名 相 
T39n1789_001:0346b06	云何念聰明　問欲界有情心念云何能生智	云 何 念 聰 明 問 欲 界 有 情 心 念 云 何 能 生 智 
T39n1789_001:0346b07	慧。	慧 
T39n1789_001:0346b08	云何為林樹。云何為蔓草。云何象馬鹿。云	云 何 為 林 樹 云 何 為 蔓 草 云 何 象 馬 鹿 云 
T39n1789_001:0346b09	何而捕取　問草木之生誰使之然。象鹿	何 而 捕 取 問 草 木 之 生 誰 使 之 然 象 鹿 
T39n1789_001:0346b10	誰使之生。又復誰能捕取。	誰 使 之 生 又 復 誰 能 捕 取 
T39n1789_001:0346b11	何因而卑陋　問卑陋賤人何業所致。	何 因 而 卑 陋 問 卑 陋 賤 人 何 業 所 致 
T39n1789_001:0346b12	云何六節攝　問一年云何分六節。西域以	云 何 六 節 攝 問 一 年 云 何 分 六 節 西 域 以 
T39n1789_001:0346b13	兩月為一節。一年分為六節。	兩 月 為 一 節 一 年 分 為 六 節 
T39n1789_001:0346b14	云何一闡提　一闡提是梵語此云極惡。又	云 何 一 闡 提 一 闡 提 是 梵 語 此 云 極 惡 又 
T39n1789_001:0346b15	云信不具。	云 信 不 具 
T39n1789_001:0346b16	男女及不男斯皆云何生　問世間若男若女	男 女 及 不 男 斯 皆 云 何 生 問 世 間 若 男 若 女 
T39n1789_001:0346b17	及五種不男之人。何因而生。	及 五 種 不 男 之 人 何 因 而 生 
T39n1789_001:0346b18	云何修行退云何修行生　問修行之人因何	云 何 修 行 退 云 何 修 行 生 問 修 行 之 人 因 何 
T39n1789_001:0346b19	退墮。因何精進而生。	退 墮 因 何 精 進 而 生 
T39n1789_001:0346b20	禪師以何法建立何等人　問修禪定者。用	禪 師 以 何 法 建 立 何 等 人 問 修 禪 定 者 用 
T39n1789_001:0346b21	何法示人入道。	何 法 示 人 入 道 
T39n1789_001:0346b22	眾生生諸趣何相何像類　問六道生趣形像。	眾 生 生 諸 趣 何 相 何 像 類 問 六 道 生 趣 形 像 
T39n1789_001:0346b23	云何為財富何因致財富　問世間財富何因	云 何 為 財 富 何 因 致 財 富 問 世 間 財 富 何 因 
T39n1789_001:0346b24	而致。	而 致 
T39n1789_001:0346b25	云何為釋種何因有釋種。云何甘蔗種無上	云 何 為 釋 種 何 因 有 釋 種 云 何 甘 蔗 種 無 上 
T39n1789_001:0346b26	尊願說　問釋迦種族及甘蔗種。本行經云。	尊 願 說 問 釋 迦 種 族 及 甘 蔗 種 本 行 經 云 
T39n1789_001:0346b27	大茅草王得成王仙。被獵師所射。滴血於地	大 茅 草 王 得 成 王 仙 被 獵 師 所 射 滴 血 於 地 
T39n1789_001:0346b28	生二甘蔗。日炙而開出一男一女。男名善生	生 二 甘 蔗 日 炙 而 開 出 一 男 一 女 男 名 善 生 
T39n1789_001:0346b29	即甘蔗王。釋種乃其裔也。	即 甘 蔗 王 釋 種 乃 其 裔 也 
T39n1789_001:0346c01	云何長苦仙彼云何教授　問苦行仙人意求	云 何 長 苦 仙 彼 云 何 教 授 問 苦 行 仙 人 意 求 
T39n1789_001:0346c02	長生受教於誰。	長 生 受 教 於 誰 
T39n1789_001:0346c03	如來云何於一切時剎。現種種名色類最勝	如 來 云 何 於一切時 剎 現 種 種 名 色 類 最 勝 
T39n1789_001:0346c04	子圍繞　問佛現身塵剎隨類不同眾所圍	子 圍 繞 問 佛 現 身 塵 剎 隨 類 不 同 眾 所 圍 
T39n1789_001:0346c05	繞。何因如是耶。	繞 何 因 如 是 耶 
T39n1789_001:0346c06	云何不食肉。云何制斷肉。食肉諸種類。何因	云 何 不 食 肉 云 何 制 斷 肉 食 肉 諸 種 類 何 因 
T39n1789_001:0346c07	故食肉　問食肉及斷食肉因緣。	故 食 肉 問 食 肉 及 斷 食 肉 因 緣 
T39n1789_001:0346c08	云何日月形須彌及蓮華師子勝相剎側住覆	云 何 日 月 形 須 彌 及 蓮 華 師 子 勝 相 剎 側 住 覆 
T39n1789_001:0346c09	世界如因陀羅網　此問世界形相。須彌者	世 界 如 因 陀 羅 網 此 問 世 界 形 相 須 彌 者 
T39n1789_001:0346c10	妙高山也。統一四天下一日月所繞。蓮華者	妙 高 山 也 統 一 四 天 下 一 日 月 所 繞 蓮 華 者 
T39n1789_001:0346c11	華藏世界也。師子世界於諸剎土最勝。世界	華藏世界 也 師 子 世 界 於 諸 剎 土 最 勝 世 界 
T39n1789_001:0346c12	如器有側有覆有仰有橫。因陀羅網即帝網。	如 器 有 側 有 覆 有 仰 有 橫 因 陀 羅 網 即 帝 網 
T39n1789_001:0346c13	網有千珠珠光交映。喻世界重重無盡。	網 有 千 珠 珠 光 交 映 喻 世 界 重 重 無 盡 
T39n1789_001:0346c14	或悉諸珍寶箜篌細腰鼓狀種種諸華。或離	或 悉 諸 珍 寶 箜 篌 細 腰 鼓 狀 種 種 諸 華 或 離 
T39n1789_001:0346c15	日月光如是等無量　此亦問世界形相不	日 月 光 如 是 等 無 量 此 亦 問 世 界 形 相 不 
T39n1789_001:0346c16	同。或諸寶所成或狀如箜篌如鼓如華。或無	同 或 諸 寶 所 成 或 狀 如 箜 篌 如 鼓 如 華 或 無 
T39n1789_001:0346c17	日月所照何因而致。	日 月 所 照 何 因 而 致 
T39n1789_001:0346c18	云何為化佛。云何報生佛。云何如如佛。云何	云 何 為 化 佛 云 何 報 生 佛 云 何 如 如 佛 云 何 
T39n1789_001:0346c19	智慧佛　問佛身名不同者何。化佛應身也。	智 慧 佛 問 佛 身 名 不 同 者 何 化 佛 應 身 也 
T39n1789_001:0346c20	謂千百億化身。報生佛他報身也。謂他機所	謂 千 百 億 化 身 報 生 佛 他 報 身 也 謂 他 機 所 
T39n1789_001:0346c21	見。如如佛法身也。謂體性如如不異。智慧佛	見 如 如 佛 法 身 也 謂 體 性 如 如 不 異 智 慧 佛 
T39n1789_001:0346c22	自報身也。謂自己修因感果。以始覺之智。	自 報 身 也 謂 自 己 修 因 感 果 以 始 覺 之 智 
T39n1789_001:0346c23	合於本覺故曰智慧。	合 於 本 覺 故 曰 智 慧 
T39n1789_001:0346c24	云何於欲界不成等正覺。何故色究竟離欲	云 何 於 欲 界 不 成等正覺 何 故 色 究 竟 離 欲 
T39n1789_001:0346c25	得菩提　問盧舍那報身佛。不於欲界得道。	得 菩 提 問 盧 舍 那 報 身 佛 不 於 欲 界 得 道 
T39n1789_001:0346c26	而於色究竟處得道者何耶。	而 於 色究竟處 得 道 者 何 耶 
T39n1789_001:0346c27	善逝般涅槃誰當持正法　問佛滅後傳持正	善 逝 般 涅 槃 誰 當 持 正 法 問 佛 滅 後 傳 持 正 
T39n1789_001:0346c28	法者誰。	法 者 誰 
T39n1789_001:0346c29	天師住久如正法幾時住　問佛住世及滅後	天 師 住 久 如 正 法 幾 時 住 問 佛 住 世 及 滅 後 
T39n1789_001:0347a01	正法所住時分長短。天師即天人師也。	正 法 所 住 時 分 長 短 天 師 即 天 人 師 也 
T39n1789_001:0347a02	悉檀及與見各復有幾種　問所化機緣及與	悉 檀 及 與 見 各 復 有 幾 種 問 所 化 機 緣 及 與 
T39n1789_001:0347a03	見解。悉檀者遍施也。有四種。一世界悉檀。世	見 解 悉 檀 者 遍 施 也 有 四 種 一 世界悉檀 世 
T39n1789_001:0347a04	界者次第也。謂聞說法次第得歡喜益。二對	界 者 次 第 也 謂 聞 說 法 次 第 得 歡 喜 益 二 對 
T39n1789_001:0347a05	治悉檀。謂聞法修行對破宿障得滅惡益。三	治 悉 檀 謂 聞 法 修 行 對 破 宿 障 得 滅 惡 益 三 
T39n1789_001:0347a06	為人悉檀。謂因聞法故得生善益。四第一義	為 人 悉 檀 謂 因 聞 法 故 得 生 善 益 四 第 一 義 
T39n1789_001:0347a07	悉檀。謂因聞法故得悟理益。	悉 檀 謂 因 聞 法 故 得 悟 理 益 
T39n1789_001:0347a08	毘尼比丘分云何何因緣　毘尼者律也。問	毘 尼 比 丘 分 云 何 何 因 緣 毘 尼 者 律 也 問 
T39n1789_001:0347a09	因事制律及持律之僧。入楞伽云。何故立	因 事 制 律 及 持 律 之 僧 入 楞 伽 云 何 故 立 
T39n1789_001:0347a10	毘尼及以諸比丘。	毘 尼 及 以 諸 比 丘 
T39n1789_001:0347a11	彼諸最勝子緣覺及聲聞何因百變易。云何	彼 諸 最 勝 子 緣 覺 及 聲 聞 何 因 百 變 易 云 何 
T39n1789_001:0347a12	百無受　問二乘生處。變易者。謂變易生死	百 無 受 問 二 乘 生 處 變 易 者 謂 變易生死 
T39n1789_001:0347a13	居方便土因移果易也。無受者。謂入無餘涅	居 方 便 土 因 移 果 易 也 無 受 者 謂 入 無 餘 涅 
T39n1789_001:0347a14	槃不受後有也。	槃 不 受 後 有 也 
T39n1789_001:0347a15	云何世俗通。云何出世間。云何為七地。惟願	云 何 世 俗 通 云 何 出 世 間 云 何 為 七 地 惟 願 
T39n1789_001:0347a16	為演說。問世間五通得出世六通及住第七	為 演 說 問 世 間 五 通 得 出 世 六 通 及 住 第 七 
T39n1789_001:0347a17	地中。第七名已辦也。	地 中 第 七 名 已 辦 也 
T39n1789_001:0347a18	僧伽有幾種云何為壞僧　問三乘僧及破戒	僧 伽 有 幾 種 云 何 為 壞 僧 問 三 乘 僧 及 破 戒 
T39n1789_001:0347a19	僧。梵語僧伽此云眾亦名和合。	僧 梵 語 僧 伽 此 云 眾 亦 名 和 合 
T39n1789_001:0347a20	云何醫方論是復何因緣　問世間及出世間	云 何 醫 方 論 是 復 何 因 緣 問 世間及出世間 
T39n1789_001:0347a21	醫方諸論為誰而說。入楞伽云。云何為眾	醫 方 諸 論 為 誰 而 說 入 楞 伽 云 云 何 為 眾 
T39n1789_001:0347a22	生廣說醫方論。	生 廣 說 醫 方 論 
T39n1789_001:0347a23	何故大牟尼唱說如是言。迦葉拘留孫拘那	何 故 大 牟 尼 唱 說 如 是 言 迦 葉 拘 留 孫 拘 那 
T39n1789_001:0347a24	含是我　問何故如來說過去佛即是我耶義	含 是 我 問 何 故 如 來 說 過 去 佛 即 是 我 耶 義 
T39n1789_001:0347a25	見第三卷經文四等中釋出。	見 第 三 卷 經 文 四 等 中 釋 出 
T39n1789_001:0347a26	何故說斷常及與我無我。何不一切時演說	何 故 說 斷 常 及 與 我 無 我 何 不 一 切 時 演 說 
T39n1789_001:0347a27	真實義。而復為眾生分別說心量　問如來	真 實 義 而 復 為 眾 生 分 別 說 心 量 問 如 來 
