T85n2771_001:0364b27	維摩經疏	維 摩 經 疏 
T85n2771_001:0373b14	二句明無大悲有常化之益。第二句已下明	二 句 明 無 大 悲 有 常 化 之 益 第 二 句 已 下 明 
T85n2771_001:0373b15	無大悲有□□之益。若能離此無有二疲	無 大 悲 有 之 益 若 能 離 此 無 有 二 疲 
T85n2771_001:0373b16	厭者。此明常化□□若能離此愛見之悲。	厭 者 此 明 常 化 若 能 離 此 愛 見 之 悲 
T85n2771_001:0373b17	得彼地無緣大悲。變化受身隨□六道教	得 彼 地 無緣大悲 變 化 受 身 隨 六 道 教 
T85n2771_001:0373b18	化眾生。雖在三塗而無苦觸。常能攝化□	化 眾 生 雖 在 三 塗 而 無 苦 觸 常 能 攝 化 
T85n2771_001:0373b19	□無疲厭。自下第二明無大悲有離縛之益。	 無 疲 厭 自 下 第 二 明 無 大 悲 有 離 縛 之 益 
T85n2771_001:0373b20	文次相□有其五段。第一明自無縛。第二	文 次 相 有 其 五 段 第 一 明 自 無 縛 第 二 
T85n2771_001:0373b21	能解他縛。第三引說證成。第四諸勸捨縛。	能 解 他 縛 第 三 引 說 證 成 第 四 諸 勸 捨 縛 
T85n2771_001:0373b22	第五明縛解之相。文相可知。不勞解釋。就	第 五 明 縛 解 之 相 文 相 可 知 不 勞 解 釋 就 
T85n2771_001:0373b23	第五縛解。於中文別有二。第一問。第二答。	第 五 縛 解 於 中 文 別 有 二 第 一 問 第 二 答 
T85n2771_001:0373b24	答中更二。初約定明縛解。次約惠明縛解。	答 中 更 二 初 約 定 明 縛 解 次 約 惠 明 縛 解 
T85n2771_001:0373b25	貪著禪味是菩薩縛者。此下約定以明縛解。	貪 著 禪 味 是 菩 薩 縛 者 此 下 約 定 以 明 縛 解 
T85n2771_001:0373b26	此即明縛。得禪樂著故名貪著禪味。隨禪	此 即 明 縛 得 禪 樂 著 故 名 貪 著 禪 味 隨 禪 
T85n2771_001:0373b27	而生不肯外化故名為縛。以方便生是菩薩	而 生 不 肯 外 化 故 名 為 縛 以 方 便 生 是 菩 薩 
T85n2771_001:0373b28	解者。此明其解。雖得禪定不隨禪生依有	解 者 此 明 其 解 雖 得 禪 定 不 隨 禪 生 依 有 
T85n2771_001:0373b29	攝化故名為解。自下第二即是約惠以明縛	攝 化 故 名 為 解 自 下 第 二 即 是 約 惠 以 明 縛 
T85n2771_001:0373c01	解。文有兩分。初立四章。次何謂以次第	解 文 有 兩 分 初 立 四 章 次 何 謂 以 次 第 
T85n2771_001:0373c02	依章解釋。又方便惠縛者。一章問。有方	依 章 解 釋 又 方 便 惠 縛 者 一 章 問 有 方 
T85n2771_001:0373c03	便惠解者兩章問。前約定已明縛解。□□	便 惠 解 者 兩 章 問 前 約 定 已 明 縛 解 
T85n2771_001:0373c04	□□□明縛解故是以無。又無方便者。未	 明 縛 解 故 是 以 無 又 無 方 便 者 未 
T85n2771_001:0373c05	得地上□□□□□也。惠者即是地前加行	得 地 上 也 惠 者 即 是 地 前 加 行 
T85n2771_001:0373c06	智惠。縛者此加行智□□□上無緣悲故。於	智 惠 縛 者 此 加 行 智 上 無 緣 悲 故 於 
T85n2771_001:0373c07	空樂著為空所縛。有方便者。得彼地上□	空 樂 著 為 空 所 縛 有 方 便 者 得 彼 地 上 
T85n2771_001:0373c08	□□惠者即是地上無分別智。解了無分別	 惠 者 即 是 地 上 無分別智 解 了 無 分 別 
T85n2771_001:0373c09	智由有無緣□□□□著常隨三有教化眾生	智 由 有 無 緣 著 常 隨 三 有 教 化 眾 生 
T85n2771_001:0373c10	不為空縛故名為解。問曰。此一對縛解者。	不 為 空 縛 故 名 為 解 問 曰 此 一 對 縛 解 者 
T85n2771_001:0373c11	誰是解縛。誰是所縛。誰是解縛人。答曰。空	誰 是 解 縛 誰 是 所 縛 誰 是 解 縛 人 答 曰 空 
T85n2771_001:0373c12	是解縛。惠是所縛。方便是解縛人也。無惠	是 解 縛 惠 是 所 縛 方 便 是 解 縛 人 也 無 惠 
T85n2771_001:0373c13	方便者。第三章門。有惠方便解者。第四章	方 便 者 第 三 章 門 有 惠 方 便 解 者 第 四 章 
T85n2771_001:0373c14	門。無惠者。未得地無上分別智。方便者。是	門 無 惠 者 未 得 地 無 上 分 別 智 方 便 者 是 
T85n2771_001:0373c15	地前愛見悲也。縛者。此愛見悲未得地上	地 前 愛 見 悲 也 縛 者 此 愛 見 悲 未 得 地 上 
T85n2771_001:0373c16	根本智。故在生死中滯著三有。為有所繫故	根 本 智 故 在 生 死 中 滯 著 三 有 為 有 所 繫 故 
T85n2771_001:0373c17	名縛也。有惠者。得彼地上無分別智。方便者。	名 縛 也 有 惠 者 得 彼 地 上 無分別智 方 便 者 
T85n2771_001:0373c18	即是地上無緣大悲。解者。無緣大悲由得地	即 是 地 上 無緣大悲 解 者 無緣大悲 由 得 地 
T85n2771_001:0373c19	上根本智故在三有中而不滯著有不能繫。	上 根 本 智 故 在 三 有 中 而 不 滯 著 有 不 能 繫 
T85n2771_001:0373c20	是故名解。問曰。此縛解一對誰是能縛誰是	是 故 名 解 問 曰 此 縛 解 一 對 誰 是 能 縛 誰 是 
T85n2771_001:0373c21	所縛誰是解縛人。答曰。有是能縛。方便是所	所 縛 誰 是 解 縛 人 答 曰 有 是 能 縛 方 便 是 所 
T85n2771_001:0373c22	縛。惠是解縛人。復次惠有兩種。一無方	縛 惠 是 解 縛 人 復 次 惠 有 兩 種 一 無 方 
T85n2771_001:0373c23	便惠。二有方便亦有□□□□便。二有	便 惠 二 有 方 便 亦 有 便 二 有 
T85n2771_001:0373c24	惠方便。若無方便縛於菩薩。若有惠方便	惠 方 便 若 無 方 便 縛 於 菩 薩 若 有 惠 方 便 
T85n2771_001:0373c25	□□上來立四章門訖。自下次第依章解釋。	 上 來 立 四 章 門 訖 自 下 次 第 依 章 解 釋 
T85n2771_001:0373c26	一一釋中皆有□□初問次答後結。就釋初	一 一 釋 中 皆 有 初 問 次 答 後 結 就 釋 初 
T85n2771_001:0373c27	章中何謂已下問也。謂菩薩以謂愛□□	章 中 何 謂 已 下 問 也 謂 菩 薩 以 謂 愛 
T85n2771_001:0373c28	□□佛土成就眾生釋無方便。於無相無作	 佛 土 成 就 眾 生 釋 無 方 便 於 無 相 無 作 
T85n2771_001:0373c29	法中而自調伏釋□□□□以而不解。是名	法 中 而 自 調 伏 釋 以 而 不 解 是 名 
T85n2771_001:0374a01	下結。第二章中何謂下問也。謂不以愛□	下 結 第 二 章 中 何 謂 下 問 也 謂 不 以 愛 
T85n2771_001:0374a02	□□□佛土成就眾生釋有方便。於空無相	 佛 土 成 就 眾 生 釋 有 方 便 於 空 無 相 
T85n2771_001:0374a03	無作法中以自調伏釋惠。而不疲厭釋解。以	無 作 法 中 以 自 調 伏 釋 惠 而 不 疲 厭 釋 解 以 
T85n2771_001:0374a04	此准前前縛中亦應釋言而有疲厭。所略故	此 准 前 前 縛 中 亦 應 釋 言 而 有 疲 厭 所 略 故 
T85n2771_001:0374a05	也。是名下結。第三章中問謂也。謂菩薩住貪	也 是 名 下 結 第 三 章 中 問 謂 也 謂 菩 薩 住 貪 
T85n2771_001:0374a06	欲嗔恚邪見等諸煩惱釋無惠。而殖眾德本	欲 嗔 恚 邪 見 等 諸 煩 惱 釋 無 惠 而 殖 眾 德 本 
T85n2771_001:0374a07	釋方便。縛者略而不解。是名下結。第四章	釋 方 便 縛 者 略 而 不 解 是 名 下 結 第 四 章 
T85n2771_001:0374a08	中何謂也。謂離諸貪欲嗔恚邪見等諸煩惱	中 何 謂 也 謂 離 諸 貪 欲 嗔 恚 邪 見 等 諸 煩 惱 
T85n2771_001:0374a09	釋有惠。而殖眾德本釋方便。迴向阿耨菩提	釋 有 惠 而 殖 眾 德 本 釋 方 便 迴 向 阿耨菩提 
T85n2771_001:0374a10	釋解。以此准前前縛中亦應言不解迴向阿	釋 解 以 此 准 前 前 縛 中 亦 應 言 不 解 迴 向 阿 
T85n2771_001:0374a11	耨菩提前略無也。是名下結。上來總名第一	耨 菩 提 前 略 無 也 是 名 下 結 上 來 總 名 第 一 
T85n2771_001:0374a12	約就甚深空理以明修智修悲。亦是為上根	約 就 甚 深 空 理 以 明 修 智 修 悲 亦 是 為 上 根 
T85n2771_001:0374a13	人說法訖。文殊師利彼有疾菩薩應如是觀	人 說 法 訖 文 殊 師 利 彼 有 疾 菩 薩 應 如 是 觀 
T85n2771_001:0374a14	諸法者。此一句總結勸修。	諸 法 者 此 一 句 總 結 勸 修 
T85n2771_001:0374a15	自下第二又復觀身。身無常苦空□□□□	自 下 第 二 又 復 觀 身 身 無 常 苦 空 
T85n2771_001:0374a16	苦無常理以明修智修悲。亦是為中根人說	苦 無 常 理 以 明 修 智 修 悲 亦 是 為 中 根 人 說 
T85n2771_001:0374a17	□□修智後明修悲。	 修 智 後 明 修 悲 
T85n2771_001:0374a18	第三云又復觀身。身不離病已下□□□□	第 三 云 又 復 觀 身 身 不 離 病 已 下 
T85n2771_001:0374a19	事等以明修智修悲。亦是為下根人說法。先	事 等 以 明 修 智 修 悲 亦 是 為 下 根 人 說 法 先 
T85n2771_001:0374a20	明修智□□□文相易見。不具解。合名三對	明 修 智 文 相 易 見 不 具 解 合 名 三 對 
T85n2771_001:0374a21	修智修悲。文義□□□□成調伏。文殊師利	修 智 修 悲 文 義 成 調 伏 文 殊 師 利 
T85n2771_001:0374a22	有疾菩薩應如是調伏其心者□□□問言。	有 疾 菩 薩 應 如 是 調 伏 其 心 者 問 言 
T85n2771_001:0374a23	有疾菩薩云云何調伏。如我向說。修智修悲	有 疾 菩 薩 云 云 何 調 伏 如 我 向 說 修 智 修 悲 
T85n2771_001:0374a24	是名菩薩調伏義。上來總名第一所修文訖。	是 名 菩 薩 調 伏 義 上 來 總 名 第 一 所 修 文 訖 
T85n2771_001:0374a25	自下明其所成。由前修智及修悲故遂得成	自 下 明 其 所 成 由 前 修 智 及 修 悲 故 遂 得 成 
T85n2771_001:0374a26	於不住道行。由修智故不住生死。由修悲故	於 不 住 道 行 由 修 智 故 不 住 生 死 由 修 悲 故 
T85n2771_001:0374a27	不住涅槃。自下文義亦皆易解。如疏中釋	不住涅槃 自 下 文 義 亦 皆 易 解 如 疏 中 釋 
T85n2771_001:0374a28	　不思議品者。經中亦名不可思議。通而言之。	 不 思 議 品 者 經 中 亦 名 不可思議 通 而 言 之 
T85n2771_001:0374a29	唯是一義。別而言之。非不差異。異相者。據	唯 是 一 義 別 而 言 之 非 不 差 異 異 相 者 據 
T85n2771_001:0374b01	真望妄。真外無妄。既不有望。亦無對之真心	真 望 妄 真 外 無 妄 既 不 有 望 亦 無 對 之 真 心 
T85n2771_001:0374b02	言寂。故名不思議。據妄望真。妄外有真。妄外	言 寂 故 名 不 思 議 據 妄 望 真 妄 外 有 真 妄 外 
T85n2771_001:0374b03	之真情緣叵及。名不可思。口言靡逮□不可	之 真 情 緣 叵 及 名 不 可 思 口 言 靡 逮 不 可 
T85n2771_001:0374b04	議。餘義如疏廣說。前問疾品離過行中明	議 餘 義 如 疏 廣 說 前 問 疾 品 離 過 行 中 明 
T85n2771_001:0374b05	其所修。不思議品離過行中顯其所成。故	其 所 修 不 思 議 品 離 過 行 中 顯 其 所 成 故 
T85n2771_001:0374b06	此品來。就此品中文有□□□□□子念	此 品 來 就 此 品 中 文 有 子 念 
T85n2771_001:0374b07	座維摩身現不思議德。第二舍利言亦□□	座 維 摩 身 現 不 思 議 德 第 二 舍 利 言 亦 
T85n2771_001:0374b08	□□下因身子讚歎維摩口宣不思議事。第	 下 因 身 子 讚 歎 維 摩 口 宣 不 思 議 事 第 
T85n2771_001:0374b09	三是時大□□迦葉傷歎維摩辯出不思議	三 是 時 大 迦 葉 傷 歎 維 摩 辯 出 不 思 議 
T85n2771_001:0374b10	人。就初段中文復有□□□明念座。第二	人 就 初 段 中 文 復 有 明 念 座 第 二 
T85n2771_001:0374b11	維摩教訶。第三為其取座。爾時舍利□□	維 摩 教 訶 第 三 為 其 取 座 爾 時 舍 利 
T85n2771_001:0374b12	□□□□有床座作是念斯諸菩薩大弟子眾	 有 床 座 作 是 念 斯 諸 菩 薩 大 弟 子 眾 
T85n2771_001:0374b13	當於何座者□第一申子念訖。念座者。由	當 於 何 座 者 第 一 申 子 念 訖 念 座 者 由 
T85n2771_001:0374b14	前室空故興。若不空室。念此□□燈王	前 室 空 故 興 若 不 空 室 念 此 燈 王 
T85n2771_001:0374b15	妙座無由得至。問曰。何故舍利弗數數	妙 座 無 由 得 至 問 曰 何 故 舍 利 弗 數 數 
T85n2771_001:0374b16	生念。答曰。此經陶練聲聞令其厭小忻大。	生 念 答 曰 此 經 陶 練 聲 聞 令 其 厭 小 忻 大 
T85n2771_001:0374b17	聲聞之中舍利弗者智惠第一。明其念即被	聲 聞 之 中 舍 利 弗 者 智 惠 第 一 明 其 念 即 被 
T85n2771_001:0374b18	訶。知彼聲聞不及。申子智惠尚被訶嘖。令	訶 知 彼 聲 聞 不 及 申 子 智 惠 尚 被 訶 嘖 令 
T85n2771_001:0374b19	其餘者自鄙狹劣忻求大乘。又復申子聰明	其 餘 者 自 鄙 狹 劣 忻 求 大 乘 又 復 申 子 聰 明 
T85n2771_001:0374b20	第一。不念即已。念必顯法。為此義故數數生	第 一 不 念 即 已 念 必 顯 法 為 此 義 故 數 數 生 
T85n2771_001:0374b21	念。自下第二明教文中有二。第一正舉教訶	念 自 下 第 二 明 教 文 中 有 二 第 一 正 舉 教 訶 
T85n2771_001:0374b22	之辭。第二說是已下明說利益□舉□訶。夫	之 辭 第 二 說 是 已 下 明 說 利 益 舉 訶 夫 
T85n2771_001:0374b23	求法者已下次明教也。訶解就教之中□□	求 法 者 已 下 次 明 教 也 訶 解 就 教 之 中 
T85n2771_001:0374b24	□□一正教是故已下總結。就正教中文復	 一 正 教 是 故 已 下 總 結 就 正 教 中 文 復 
T85n2771_001:0374b25	有二。第一□□□□□捨相。第二所以者	有 二 第 一 捨 相 第 二 所 以 者 
T85n2771_001:0374b26	何已下明有相者非真□□□□□□□	何 已 下 明 有 相 者 非 真 
T85n2771_001:0374b27	中文復有二。初明捨染相。次唯舍利□□	中 文 復 有 二 初 明 捨 染 相 次 唯 舍 利 
T85n2771_001:0374b28	□□□□□□似求已下明捨淨相。論其意	 似 求 已 下 明 捨 淨 相 論 其 意 
T85n2771_001:0374b29	者。法空理□□□□□□□可得故求法者	者 法 空 理 可 得 故 求 法 者 
T85n2771_001:0374c01	不得於彼染淨中求。是故□□□□□解不	不 得 於 彼 染 淨 中 求 是 故 解 不 
T85n2771_001:0374c02	容言路。就彼第二明有相者。非求法□□	容 言 路 就 彼 第 二 明 有 相 者 非 求 法 
T85n2771_001:0374c03	□□徵問。所以求法齊捨染淨之相者何下	 徵 問 所 以 求 法 齊 捨 染 淨 之 相 者 何 下 
T85n2771_001:0374c04	有十句□□□□釋十句經文攝為五對。	有 十 句 釋 十 句 經 文 攝 為 五 對 
T85n2771_001:0374c05	初有兩句。一對明有淨相者非真求法。後有	初 有 兩 句 一 對 明 有 淨 相 者 非 真 求 法 後 有 
T85n2771_001:0374c06	八句四對明有染相者非真求法。就前淨相	八 句 四 對 明 有 染 相 者 非 真 求 法 就 前 淨 相 
T85n2771_001:0374c07	一對之中。初句明法生情有情取者非求法。	一 對 之 中 初 句 明 法 生 情 有 情 取 者 非 求 法 
T85n2771_001:0374c08	後句明法出相有心者非真求法。前句即離	後 句 明 法 出 相 有 心 者 非 真 求 法 前 句 即 離 
T85n2771_001:0374c09	淨心。後句即離相。法無戲論者正明法出情。	淨 心 後 句 即 離 相 法 無 戲 論 者 正 明 法 出 情 
T85n2771_001:0374c10	四智非實事同戲論。真中離此。是故言無。若	四 智 非 實 事 同 戲 論 真 中 離 此 是 故 言 無 若 
T85n2771_001:0374c11	言我當見苦斷集滅證修道。是則戲論非求	言 我 當 見 苦 斷 集 滅 證 修 道 是 則 戲 論 非 求 
T85n2771_001:0374c12	法也。此明有情取者非真求法。此之□明離	法 也 此 明 有 情 取 者 非 真 求 法 此 之 明 離 
T85n2771_001:0374c13	淨心訖。自下一句明離淨相。唯舍利弗法名	淨 心 訖 自 下 一 句 明 離 淨 相 唯 舍 利 弗 法 名 
T85n2771_001:0374c14	寂滅者。此明法離相。安立諦中四諦生滅名	寂 滅 者 此 明 法 離 相 安 立 諦 中 四 諦 生 滅 名 
T85n2771_001:0374c15	為不□□□諦離此四相故稱寂滅。若行	為 不 諦 離 此 四 相 故 稱 寂 滅 若 行 
T85n2771_001:0374c16	生滅是求生滅□□□此明有相心者非真	生 滅 是 求 生 滅 此 明 有 相 心 者 非 真 
T85n2771_001:0374c17	求法。四諦之中□□□□□□□□諦無	求 法 四 諦 之 中 諦 無 
T85n2771_001:0374c18	為稱之為滅。行此生滅非求□□□□□□	為 稱 之 為 滅 行 此 生 滅 非 求 
T85n2771_001:0374c19	□明有淨相者非真求法。自下八句四對□	 明 有 淨 相 者 非 真 求 法 自 下 八 句 四 對 
T85n2771_001:0374c20	□□□□□真求法初有四句兩對。明離數	 真 求 法 初 有 四 句 兩 對 明 離 數 
T85n2771_001:0374c21	法。次□□□□□離心王。前離數法中初	法 次 離 心 王 前 離 數 法 中 初 
T85n2771_001:0374c22	兩句一對。明離貪□□□□□明離惠數。	兩 句 一 對 明 離 貪 明 離 惠 數 
T85n2771_001:0374c23	離貪之中前句無能緣心。後句□□□□法	離 貪 之 中 前 句 無 能 緣 心 後 句 法 
T85n2771_001:0374c24	名無染者。貪心愛著名之曰染。真中□□□	名 無 染 者 貪 心 愛 著 名 之 曰 染 真 中 
T85n2771_001:0374c25	□無此明法出情。若染於法乃至涅槃。是則	 無 此 明 法 出 情 若 染 於 法 乃至涅槃 是 則 
T85n2771_001:0374c26	染著非求法也。若染於法染世諦法。乃至涅	染 著 非 求 法 也 若 染 於 法 染 世 諦 法 乃 至 涅 
T85n2771_001:0374c27	槃染真諦法。此明有情取者非真求法。自下	槃 染 真 諦 法 此 明 有 情 取 者 非 真 求 法 自 下 
T85n2771_001:0374c28	一句明離貪境。法無取捨者。貪所緣境好者	一 句 明 離 貪 境 法 無 取 捨 者 貪 所 緣 境 好 者 
T85n2771_001:0374c29	取惡者須捨。真中離此。故無取捨。此明法離	取 惡 者 須 捨 真 中 離 此 故 無 取 捨 此 明 法 離 
T85n2771_001:0375a01	相名取捨法。是則取捨非求法也。此明有相	相 名 取 捨 法 是 則 取 捨 非 求 法 也 此 明 有 相 
T85n2771_001:0375a02	心者非真求法。自下兩句明離惠數。前句明	心 者 非 真 求 法 自 下 兩 句 明 離 惠 數 前 句 明 
T85n2771_001:0375a03	離惠心。後句離惠所緣境。法無行處者。惠心	離 惠 心 後 句 離 惠 所 緣 境 法 無 行 處 者 惠 心 
T85n2771_001:0375a04	取□□□□□處真中無此故無行處。此明	取 處 真 中 無 此 故 無 行 處 此 明 
T85n2771_001:0375a05	法出情。若行□□□□行處非求法也。此	法 出 情 若 行 行 處 非 求 法 也 此 
T85n2771_001:0375a06	明有情取者非□□□□□□□□□所緣境	明 有 情 取 者 非 所 緣 境 
T85n2771_001:0375a07	法無處所者。境界之□□□□□□□□	法 無 處 所 者 境 界 之 
T85n2771_001:0375a08	□法如理中離此處所。是以言□□□□□	 法 如 理 中 離 此 處 所 是 以 言 
T85n2771_001:0375a09	□□□□□所。是則著處非求法也。此明有	 所 是 則 著 處 非 求 法 也 此 明 有 
T85n2771_001:0375a10	心者□□□□□□□句兩對。明離數法	心 者 句 兩 對 明 離 數 法 
T85n2771_001:0375a11	訖。自下四句兩對。明離□□□□□□□	訖 自 下 四 句 兩 對 明 離 
T85n2771_001:0375a12	明離七識八識心王。後兩句一對明離□□	明 離 七 識 八 識 心 王 後 兩 句 一 對 明 離 
T85n2771_001:0375a13	□□□□□對中。前句離能緣心。後句離	 對 中 前 句 離 能 緣 心 後 句 離 
T85n2771_001:0375a14	所緣境。法名□□□□□□□那識。依舊	所 緣 境 法 名 那 識 依 舊 
T85n2771_001:0375a15	來解。是人我相。今時新義通法我相。阿梨耶	來 解 是 人 我 相 今 時 新 義 通 法 我 相 阿 梨 耶 
T85n2771_001:0375a16	識亦通人我法我之相。法空理中離此識相。	識 亦 通 人 我 法 我 之 相 法 空 理 中 離 此 識 相 
T85n2771_001:0375a17	故名無相。此明法出情若隨相識。是則求相	故 名 無 相 此 明 法 出 情 若 隨 相 識 是 則 求 相 
T85n2771_001:0375a18	非求法也。此明有情取者非真求法。自下一	非 求 法 也 此 明 有 情 取 者 非 真 求 法 自 下 一 
T85n2771_001:0375a19	句離所緣境。法不可住者。□□□□為識。所	句 離 所 緣 境 法 不 可 住 者 為 識 所 
T85n2771_001:0375a20	託名之為住。真中離此故云不可。此明法出	託 名 之 為 住 真 中 離 此 故 云 不 可 此 明 法 出 
T85n2771_001:0375a21	相。若住於法。是則住法非求法也。此明有相	相 若 住 於 法 是 則 住 法 非 求 法 也 此 明 有 相 
T85n2771_001:0375a22	心者非真求法。自下兩句一對明離六識心	心 者 非 真 求 法 自 下 兩 句 一 對 明 離 六 識 心 
T85n2771_001:0375a23	王。前句離能緣心。後句離所緣境。法不可	王 前 句 離 能 緣 心 後 句 離 所 緣 境 法 不 可 
T85n2771_001:0375a24	見聞覺智者。眼識隨生見。耳識隨生聞。鼻舌	見 聞 覺 智 者 眼 識 隨 生 見 耳 識 隨 生 聞 鼻 舌 
T85n2771_001:0375a25	身三識隨生覺。意識隨生知。法空理中此六	身 三 識 隨 生 覺 意 識 隨 生 知 法 空 理 中 此 六 
T85n2771_001:0375a26	識相並非所□□□□□□□出情。若行	識 相 並 非 所 出 情 若 行 
T85n2771_001:0375a27	見聞覺知。是則見聞覺□□□□□□□□	見聞覺知 是 則 見 聞 覺 
T85n2771_001:0375a28	□□者非真求法。自下一句明□□□□	 者 非 真 求 法 自 下 一 句 明 
T85n2771_001:0375a29	□□□□□□□□□識緣境四相遷變名	 識 緣 境 四 相 遷 變 名 
T85n2771_001:0375b01	曰□□□□□□□□□□□□□為此明	曰 為 此 明 
T85n2771_001:0375b02	法出相。若行有為是求有為不求法□□□	法 出 相 若 行 有 為 是 求 有 為 不 求 法 
T85n2771_001:0375b03	□□□不名求法。上來總名教訖。	 不 名 求 法 上 來 總 名 教 訖 
T85n2771_001:0375b04	自下是故舍利□□□□□□切法應無所	自 下 是 故 舍 利 切 法 應 無 所 
T85n2771_001:0375b05	求者。總結勸修。下復明說□□□□□□得	求 者 總 結 勸 修 下 復 明 說 得 
T85n2771_001:0375b06	十解。初心生空法眼淨也。	十 解 初 心 生 空 法 眼 淨 也 
T85n2771_001:0375b07	自下第三明維□□□□□□座。問曰。維	自 下 第 三 明 維 座 問 曰 維 
T85n2771_001:0375b08	摩何不直為取座先須教訶。答曰。燈王□□	摩 何 不 直 為 取 座 先 須 教 訶 答 曰 燈 王 
T85n2771_001:0375b09	□不思議諸佛境界。若不先訶有所得心令	 不 思 議 諸佛境界 若 不 先 訶 有所得心 令 
T85n2771_001:0375b10	其捨□□□□無所得觀令其行善自分因	其 捨 無 所 得 觀 令 其 行 善 自 分 因 
T85n2771_001:0375b11	立燈王座□□□□□□此義故先須教訶	立 燈 王 座 此 義 故 先 須 教 訶 
T85n2771_001:0375b12	也。就取座中文分五別。第一維摩問文殊座	也 就 取 座 中 文 分 五 別 第 一 維 摩 問 文 殊 座 
T85n2771_001:0375b13	處。第二文殊言東方已下示其座處第三於	處 第 二 文 殊 言 東 方 已 下 示 其 座 處 第 三 於 
T85n2771_001:0375b14	是長者現神力已下明取高座來入其小室。	是 長 者 現 神 力 已 下 明 取 高 座 來 入 其 小 室 
T85n2771_001:0375b15	第四諸菩薩大弟子已下明大眾驚訝。五爾	第 四 諸 菩 薩 大 弟 子 已 下 明 大 眾 驚 訝 五 爾 
T85n2771_001:0375b16	時維摩詰文殊已下命眾令坐。文相易見。不	時 維 摩 詰 文 殊 已 下 命 眾 令 坐 文 相 易 見 不 
T85n2771_001:0375b17	勞細解。問曰。十方妙座維摩足知。何不直取	勞 細 解 問 曰 十 方 妙 座 維 摩 足 知 何 不 直 取 
T85n2771_001:0375b18	□□文殊。答曰。欲明寄實不思議德□□□	 文 殊 答 曰 欲 明 寄 實 不 思 議 德 
T85n2771_001:0375b19	□□□□□□謂維摩隨近化作。今問文殊。	 謂 維 摩 隨 近 化 作 今 問 文 殊 
T85n2771_001:0375b20	文殊實□□□□□□□高座極遠能取將	文 殊 實 高 座 極 遠 能 取 將 
T85n2771_001:0375b21	來故知維□□□□□□□□□聞說獲利	來 故 知 維 聞 說 獲 利 
T85n2771_001:0375b22	益故。就第五命眾坐中□□□□□□□	益 故 就 第 五 命 眾 坐 中 
T85n2771_001:0375b23	利弗已下次命聲聞。就命聲聞中□舍利□	利 弗 已 下 次 命 聲 聞 就 命 聲 聞 中 舍 利 
T85n2771_001:0375b24	□□□□□弗不能坐。第三教其禮佛第四	 弗 不 能 坐 第 三 教 其 禮 佛 第 四 
T85n2771_001:0375b25	明其禮□□□□□□利弗大德羅漢神通	明 其 禮 利 弗 大 德 羅 漢 神 通 
T85n2771_001:0375b26	具足。何故不能坐得□□□□□是世間	具 足 何 故 不 能 坐 得 是 世 間 
T85n2771_001:0375b27	事坐。舍利弗不啻能坐。良以此座燈王如來	事 坐 舍 利 弗 不 啻 能 坐 良 以 此 座 燈 王 如 來 
T85n2771_001:0375b28	□願力之所成就。非是小乘神通境界。故不	 願 力 之 所 成 就 非 是 小 乘 神 通 境 界 故 不 
T85n2771_001:0375b29	能坐。由禮□□佛神力方始得坐。上來因	能 坐 由 禮 佛 神 力 方 始 得 坐 上 來 因 
T85n2771_001:0375c01	身子念座維摩□□□□□□訖。自下第	身 子 念 座 維 摩 訖 自 下 第 
T85n2771_001:0375c02	二因身子。讚歎維摩口宣不思議事□□□	二 因 身 子 讚 歎 維 摩 口 宣 不 思 議 事 
T85n2771_001:0375c03	□疏科釋。有人作問難言。芥子納須彌。既	 疏 科 釋 有 人 作 問 難 言 芥 子 納 須 彌 既 
T85n2771_001:0375c04	是不□□□□芥子亦是不思議。以不答	是 不 芥 子 亦 是 不 思 議 以 不 答 
T85n2771_001:0375c05	言須彌納芥子非□□□□□□言芥子納	言 須 彌 納 芥 子 非 言 芥 子 納 
T85n2771_001:0375c06	須彌。得是不思議。須彌納□□□□□□□	須 彌 得 是 不 思 議 須 彌 納 
T85n2771_001:0375c07	亦可促一劫為七日。可是不思議□□□□	亦 可 促 一 劫 為 七 日 可 是 不 思 議 
T85n2771_001:0375c08	□□□□答曰。異法辯客納。以小納大。不	 答 曰 異 法 辯 客 納 以 小 納 大 不 
T85n2771_001:0375c09	□□□□□□□□即法辯延促。是故促	 即 法 辯 延 促 是 故 促 
T85n2771_001:0375c10	長延□□□□□□□□為其簡並對者。	長 延 為 其 簡 並 對 者 
