X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0051c16	得妙。紙衣云。如何是妙。山云。不借借。紙衣禮謝曹山	得 妙 紙 衣 云 如 何 是 妙 山 云 不 借 借 紙 衣 禮 謝 曹 山 
X73n1447_001:0051c17	畢。却歸僧堂坐脫去。諸仁者。此箇人始得大用現前。	畢 却 歸 僧 堂 坐 脫 去 諸 仁 者 此 箇 人 始 得 大 用 現 前 
X73n1447_001:0051c18	只如諸人還得大用現前也無。若未得大用現前。直	只 如 諸 人 還 得 大 用 現 前 也 無 若 未 得 大 用 現 前 直 
X73n1447_001:0051c19	須是休歇去始得。無你用心處。只有休心。是名第一	須 是 休 歇 去 始 得 無 你 用 心 處 只 有 休 心 是 名 第 一 
X73n1447_001:0051c20	參學。若得一念無心。三界內覔你不得。天堂地獄。収	參 學 若 得 一 念 無 心 三 界 內 覔 你 不 得 天 堂 地 獄 収 
X73n1447_001:0051c21	攝你不得。如虗空無有處所。為甚如此。只為你忘却	攝 你 不 得 如 虗 空 無 有 處 所 為 甚 如 此 只 為 你 忘 却 
X73n1447_001:0051c22	一念心去。乃至三世諸佛。一切聖賢。亦不知你去處。	一 念 心 去 乃 至 三世諸佛 一 切 聖 賢 亦 不 知 你 去 處 
X73n1447_001:0051c23	豈況六道四生。應是覔你不著佗。有底暫時息心便	豈 況 六 道 四 生 應 是 覔 你 不 著 佗 有 底 暫 時 息 心 便 
X73n1447_001:0051c24	得相應去。有底三年五年十年二十年始得相應。看	得 相 應 去 有 底 三 年 五 年 十 年 二 十 年 始 得 相 應 看 
X73n1447_001:0052a01	今時兄弟大難得大事相應。雖則道我生死事大是	今 時 兄 弟 大 難 得 大 事 相 應 雖 則 道 我 生 死 事 大 是 
X73n1447_001:0052a02	乃行脚參學。且如你諸兄弟十二時中。在甚麼處行	乃 行 脚 參 學 且 如 你 諸 兄 弟 十 二 時 中 在 甚 麼 處 行 
X73n1447_001:0052a03	履。一片身心在那裡。要學這箇事。也須是箇不拋弃	履 一 片 身 心 在 那 裡 要 學 這 箇 事 也 須 是 箇 不 拋 弃 
X73n1447_001:0052a04	身心學始得。作麼生是身心不拋弃。十二時中無一	身 心 學 始 得 作 麼 生 是 身 心 不 拋 弃 十 二 時 中 無 一 
X73n1447_001:0052a05	念心生。喚作不拋弃道此人身心在。似這箇人。千萬	念 心 生 喚 作 不 拋 弃 道 此 人 身 心 在 似 這 箇 人 千 萬 
X73n1447_001:0052a06	人中覔一人不可得。所以道。如人常在家。不愁家中	人 中 覔 一 人 不 可 得 所 以 道 如 人 常 在 家 不 愁 家 中 
X73n1447_001:0052a07	事不辦。然雖如此。且無一人肯。如今若實有人肯恁	事 不 辦 然 雖 如 此 且 無 一 人 肯 如 今 若 實 有 人 肯 恁 
X73n1447_001:0052a08	麼去。老僧與伊遞洗脚水。所以古德云。四事供養敢	麼 去 老 僧 與 伊 遞 洗 脚 水 所 以 古 德 云 四 事 供 養 敢 
X73n1447_001:0052a09	辭勞。萬兩黃金亦銷得。諸仁者。莫道萬兩黃金。你便	辭 勞 萬 兩 黃 金 亦 銷 得 諸 仁 者 莫 道 萬 兩 黃 金 你 便 
X73n1447_001:0052a10	日將四世界成金。也即銷得你底。喚作最上之士。所	日 將 四 世 界 成 金 也 即 銷 得 你 底 喚 作 最 上 之 士 所 
X73n1447_001:0052a11	以古人道。若一人肯恁麼去。天上人間最難得。此人	以 古 人 道 若 一 人 肯 恁 麼 去 天 上 人 間 最 難 得 此 人 
X73n1447_001:0052a12	純一無雜。堪為法器。今時參學兄弟。終不肯如此。道	純 一 無 雜 堪 為 法 器 今 時 參 學 兄 弟 終 不 肯 如 此 道 
X73n1447_001:0052a13	落空去。只然向言句外馳求覔解會。且要得解問解	落 空 去 只 然 向 言 句 外 馳 求 覔 解 會 且 要 得 解 問 解 
X73n1447_001:0052a14	答。又被諸方老禿好無所識了。亂教壞人家男女。引	答 又 被 諸 方 老 禿 好 無 所 識 了 亂 教 壞 人 家 男 女 引 
X73n1447_001:0052a15	去婬坊裏口相婬道。我指示後人。要人喚作長老覔	去 婬 坊 裏 口 相 婬 道 我 指 示 後 人 要 人 喚 作 長 老 覔 
X73n1447_001:0052a16	出身處。似這般徒黨。喚作婬婦人。是甚麼出家人。當	出 身 處 似 這 般 徒 黨 喚 作 婬 婦 人 是 甚 麼 出 家 人 當 
X73n1447_001:0052a17	初祖師豈是不如你洎乎到此土。並不弄著這一副	初 祖 師 豈 是 不 如 你 洎 乎 到 此 土 並 不 弄 著 這 一 副 
X73n1447_001:0052a18	當。佗豈是無機無智無見解。口裏無可說。只為無益	當 佗 豈 是 無 機 無 智 無 見 解 口 裏 無 可 說 只 為 無 益 
X73n1447_001:0052a19	後人。所以九年只麼面壁坐。殊不措一詞。據諸人分	後 人 所 以 九 年 只 麼 面 壁 坐 殊 不 措 一 詞 據 諸 人 分 
X73n1447_001:0052a20	上更莫要別人說。說著堪做什麼。須是自家回光返	上 更 莫 要 別 人 說 說 著 堪 做 什 麼 須 是 自 家 回 光 返 
X73n1447_001:0052a21	照。看是什麼道理。老僧雖然為諸人說如此事。也須	照 看 是 什 麼 道 理 老 僧 雖 然 為 諸 人 說 如 此 事 也 須 
X73n1447_001:0052a22	是諸人心相委悉始得。若不相委悉。任運難為湊泊。	是 諸 人 心 相 委 悉 始 得 若 不 相 委 悉 任 運 難 為 湊 泊 
X73n1447_001:0052a23	兼也由你當人信得及始得。此為難信之法。為甚麼	兼 也 由 你 當 人 信 得 及 始 得 此 為 難 信 之 法 為 甚 麼 
X73n1447_001:0052a24	難信。這裡應無一言半句教諸人領解。亦無一箇消	難 信 這 裡 應 無 一 言 半 句 教 諸 人 領 解 亦 無 一 箇 消 
X73n1447_001:0052b01	息與諸人。只要諸人扣己而參。老僧這裡。若有纖毫	息 與 諸 人 只 要 諸 人 扣 己 而 參 老 僧 這 裡 若 有 纖 毫 
X73n1447_001:0052b02	佛法知見。教諸人作解會。如穿諸人鼻孔繫著露柱。	佛 法 知 見 教 諸 人 作 解 會 如 穿 諸 人 鼻 孔 繫 著 露 柱 
X73n1447_001:0052b03	須是具眼始得。若自眼明。老僧瞞汝不得。須是自家	須 是 具 眼 始 得 若 自 眼 明 老 僧 瞞 汝 不 得 須 是 自 家 
X73n1447_001:0052b04	著眼孔。莫受人謾。學佛法究竟也別無事。却須是自	著 眼 孔 莫 受 人 謾 學 佛 法 究 竟 也 別 無 事 却 須 是 自 
X73n1447_001:0052b05	信得及始得。到汝信得及也。一切萬法。惑汝不動。身	信 得 及 始 得 到 汝 信 得 及 也 一切萬法 惑 汝 不 動 身 
X73n1447_001:0052b06	心自然堅實去。喚作向去底心。三世諸佛也喚你不	心 自 然 堅 實 去 喚 作 向 去 底 心 三世諸佛 也 喚 你 不 
X73n1447_001:0052b07	回去。諸仁者事各在你當人。老僧這裡所說亦不相	回 去 諸 仁 者 事 各 在 你 當 人 老 僧 這 裡 所 說 亦 不 相 
X73n1447_001:0052b08	賺。可謂誠實之言。只恐信不及。若信得及。但自休心	賺 可 謂 誠 實 之 言 只 恐 信 不 及 若 信 得 及 但 自 休 心 
X73n1447_001:0052b09	去。三年五年。只如諸人從無始以來。六趣輪廻。動經	去 三 年 五 年 只 如 諸 人 從 無 始 以 來 六 趣 輪 廻 動 經 
X73n1447_001:0052b10	塵劫。尚自過得。如今教你息心五七年。終是不肯。有	塵 劫 尚 自 過 得 如 今 教 你 息 心 五 七 年 終 是 不 肯 有 
X73n1447_001:0052b11	甚麼救處。如今天下覔一箇無心底人直是無。莫道	甚 麼 救 處 如 今 天 下 覔 一 箇 無 心 底 人 直 是 無 莫 道 
X73n1447_001:0052b12	無心人。便休心者亦無。起心動念學佛法者如沙。無	無 心 人 便 休 心 者 亦 無 起 心 動 念 學 佛 法 者 如 沙 無 
X73n1447_001:0052b13	一人悟道見性。當知是難得。一二百年來。不聞人說	一 人 悟 道 見 性 當 知 是 難 得 一 二 百 年 來 不 聞 人 說 
X73n1447_001:0052b14	著此事。遞相引入邪路上去。千生百生只恁麼虗過	著 此 事 遞 相 引 入 邪 路 上 去 千 生 百 生 只 恁 麼 虗 過 
X73n1447_001:0052b15	去。若據諸人自己事。本來無有欠少。只是諸人起心	去 若 據 諸 人 自 己 事 本 來 無 有 欠 少 只 是 諸 人 起 心 
X73n1447_001:0052b16	動念了。自生間隔。自相違背。似這箇事不在你功行	動 念 了 自 生 間 隔 自 相 違 背 似 這 箇 事 不 在 你 功 行 
X73n1447_001:0052b17	得。亦不在你息心得。總不與麼。說箇一切成現。亦是	得 亦 不 在 你 息 心 得 總 不 與 麼 說 箇 一 切 成 現 亦 是 
X73n1447_001:0052b18	頭上安頭。豈說生心動念推求言句。不見道。擬心即	頭 上 安 頭 豈 說 生 心 動 念 推 求 言 句 不 見 道 擬 心 即 
X73n1447_001:0052b19	差。動念即乖如今諸兄弟。但學無心去。若得無心。自	差 動 念 即 乖 如 今 諸 兄 弟 但 學 無 心 去 若 得 無 心 自 
X73n1447_001:0052b20	然知有去。到你一念相應也。三世諸佛覔你蹤跡不	然 知 有 去 到 你 一 念 相 應 也 三世諸佛 覔 你 蹤 跡 不 
X73n1447_001:0052b21	得去。一切處安著你不得也。這回佛也不知你。祖亦	得 去 一 切 處 安 著 你 不 得 也 這 回 佛 也 不 知 你 祖 亦 
X73n1447_001:0052b22	不知你。有甚麼奈得你何。所以道。這箇人如似大蟲	不 知 你 有 甚 麼 奈 得 你 何 所 以 道 這 箇 人 如 似 大 蟲 
X73n1447_001:0052b23	極惡。更插翅翼。有甚麼抵當處。三世諸佛去佗前頭。	極 惡 更 插 翅 翼 有 甚 麼 抵 當 處 三世諸佛 去 佗 前 頭 
X73n1447_001:0052b24	無出身之路。作麼敢向伊面前開口。總踏祖佛頭上	無 出 身 之 路 作 麼 敢 向 伊 面 前 開 口 總 踏 祖 佛 頭 上 
X73n1447_001:0052c01	行。喚作法身出纏。如師子王金鎖不繫。為箇甚麼。為	行 喚 作 法 身 出 纏 如 師 子 王 金 鎖 不 繫 為 箇 甚 麼 為 
X73n1447_001:0052c02	達出世之道。便能證明得三世諸佛。印可天下祖師。	達 出 世 之 道 便 能 證 明 得 三世諸佛 印 可 天 下 祖 師 
X73n1447_001:0052c03	自家一身獨脫猶閑。法界之內。有情無情齊成正覺。	自 家 一 身 獨 脫 猶 閑 法 界 之 內 有 情 無 情 齊 成 正 覺 
X73n1447_001:0052c04	這回一切眾生因你一人悟道力。一切罪障悉皆消	這 回 一 切 眾 生 因 你 一 人 悟 道 力 一 切 罪 障 悉 皆 消 
X73n1447_001:0052c05	滅。劃時解脫。從此永不入三塗。長生人天受勝妙樂。	滅 劃 時 解 脫 從 此 永 不 入 三 塗 長 生 人 天 受 勝 妙 樂 
X73n1447_001:0052c06	究竟成佛。你道把你諸人作用還如此得也無。十地	究 竟 成 佛 你 道 把 你 諸 人 作 用 還 如 此 得 也 無 十 地 
X73n1447_001:0052c07	菩薩度人尚有分限。若是佗悟道底人。度人無數無	菩 薩 度 人 尚 有 分 限 若 是 佗 悟 道 底 人 度 人 無 數 無 
X73n1447_001:0052c08	有窮盡。諸仁者。出家人各各有如此不可思議解脫	有 窮 盡 諸 仁 者 出 家 人 各 各 有 如 此 不可思議 解 脫 
X73n1447_001:0052c09	力。只是諸人力所搆不及了。所以不知有。時常勸諸	力 只 是 諸 人 力 所 搆 不 及 了 所 以 不 知 有 時 常 勸 諸 
X73n1447_001:0052c10	兄弟。你若自己事未辦。有甚麼心情學佗佛法。有甚	兄 弟 你 若 自 己 事 未 辦 有 甚 麼 心 情 學 佗 佛 法 有 甚 
X73n1447_001:0052c11	麼心情廣求知解。且須體取空劫以前事。到你體得	麼 心 情 廣 求 知 解 且 須 體 取 空 劫 以 前 事 到 你 體 得 
X73n1447_001:0052c12	空劫以前事了。你自會修行去。自會保任去。不消你	空 劫 以 前 事 了 你 自 會 修 行 去 自 會 保 任 去 不 消 你 
X73n1447_001:0052c13	把捉身心你自然與麼去。所以云。但得其本。其末自	把 捉 身 心 你 自 然 與 麼 去 所 以 云 但 得 其 本 其 末 自 
X73n1447_001:0052c14	至。爭消得你勞神求覔解會。汝諸人自己分上事。覔	至 爭 消 得 你 勞 神 求 覔 解 會 汝 諸 人 自 己 分 上 事 覔 
X73n1447_001:0052c15	不得捨不得。須是無取捨底身心始得。直須是凡聖	不 得 捨 不 得 須 是 無 取 捨 底 身 心 始 得 直 須 是 凡 聖 
X73n1447_001:0052c16	情盡。己見亦忘始得。這箇喚作過量人。知有從上事。	情 盡 己 見 亦 忘 始 得 這 箇 喚 作 過 量 人 知 有 從 上 事 
X73n1447_001:0052c17	應是不與你一問一答。似這箇方有[此/且]子佛法身心。	應 是 不 與 你 一 問 一 答 似 這 箇 方 有 [此且] 子 佛 法 身 心 
X73n1447_001:0052c18	諸仁者。一等是出家。一等是參學。莫虗度光陰。時不	諸 仁 者 一 等 是 出 家 一 等 是 參 學 莫 虗 度 光 陰 時 不 
X73n1447_001:0052c19	待人。各自了取。莫待揮霍怕怖慞惶未有去處。恁時	待 人 各 自 了 取 莫 待 揮 霍 怕 怖 慞 惶 未 有 去 處 恁 時 
X73n1447_001:0052c20	難為整理脚手自家著力。作麼生著力。十二時中似	難 為 整 理 脚 手 自 家 著 力 作 麼 生 著 力 十 二 時 中 似 
X73n1447_001:0052c21	一塊頑石去。此便是諸人著力處。搆取空劫以前事。	一 塊 頑 石 去 此 便 是 諸 人 著 力 處 搆 取 空 劫 以 前 事 
X73n1447_001:0052c22	這裡無你做作處。所以老僧如此即當與諸人說話	這 裡 無 你 做 作 處 所 以 老 僧 如 此 即 當 與 諸 人 說 話 
X73n1447_001:0052c23	葢為諸人信根淺劣。所以不免東語西話。佗古人那	葢 為 諸 人 信 根 淺 劣 所 以 不 免 東 語 西 話 佗 古 人 那 
X73n1447_001:0052c24	裡如此一一要別人說。纔知如此便能休歇去。更不	裡 如 此 一 一 要 別 人 說 纔 知 如 此 便 能 休 歇 去 更 不 
X73n1447_001:0053a01	能回[(厂@((既旡)日+口))*頁]。如寒灰死火枯木石頭去。僧堂裏展開單了	能 回 [厂既旡日口頁] 如 寒 灰 死 火 枯 木 石 頭 去 僧 堂 裏 展 開 單 了 
X73n1447_001:0053a02	忘却受飯。受得飯來忘却喫。所以髮長無心剃。衣破	忘 却 受 飯 受 得 飯 來 忘 却 喫 所 以 髮 長 無 心 剃 衣 破 
X73n1447_001:0053a03	無心補。一切時中直得東西不辨。你我不分。此箇人	無 心 補 一 切 時 中 直 得 東 西 不 辨 你 我 不 分 此 箇 人 
X73n1447_001:0053a04	始得有[此/且]子出家氣息。從上古人參學。不於言句中	始 得 有 [此且] 子 出 家 氣 息 從 上 古 人 參 學 不 於 言 句 中 
X73n1447_001:0053a05	參悟。諸仁者事在當人自己。不在別人心裏。但離却	參 悟 諸 仁 者 事 在 當 人 自 己 不 在 別 人 心 裏 但 離 却 
X73n1447_001:0053a06	一切文字語言。於自己分上。撿點來看是甚麼道理。	一 切 文 字 語 言 於 自 己 分 上 撿 點 來 看 是 甚 麼 道 理 
X73n1447_001:0053a07	若向這裏撿點得出去。不被祖佛瞞。然雖如是。也須	若 向 這 裏 撿 點 得 出 去 不 被 祖 佛 瞞 然 雖 如 是 也 須 
X73n1447_001:0053a08	親證始得。切須辨取是非。第一不得取次承當。如未	親 證 始 得 切 須 辨 取 是 非 第 一 不 得 取 次 承 當 如 未 
X73n1447_001:0053a09	相應。且休歇去。每日起來衣食自在。不著用心。有一	相 應 且 休 歇 去 每 日 起 來 衣 食 自 在 不 著 用 心 有 一 
X73n1447_001:0053a10	切人供給你。正好與麼去也。但一切無心去也。不消	切 人 供 給 你 正 好 與 麼 去 也 但 一 切 無 心 去 也 不 消 
X73n1447_001:0053a11	得結緣作福。總無實義。便是日供養得恒沙諸佛亦	得 結 緣 作 福 總 無 實 義 便 是 日 供 養 得 恒 沙 諸 佛 亦 
X73n1447_001:0053a12	不消供養。日造得恒沙寶塔亦不用造。是甚麼閑事。	不 消 供 養 日 造 得 恒 沙 寶 塔 亦 不 用 造 是 甚 麼 閑 事 
X73n1447_001:0053a13	為小因緣妨於大事。直下便休。更莫思前慮後。便恁	為 小 因 緣 妨 於 大 事 直 下 便 休 更 莫 思 前 慮 後 便 恁 
X73n1447_001:0053a14	麼去。以後佛也不奈你何去。老僧雖然晨朝上堂。晚	麼 去 以 後 佛 也 不 奈 你 何 去 老 僧 雖 然 晨 朝 上 堂 晚 
X73n1447_001:0053a15	間方丈裏小參。苦口勸兄弟說話。終無一言半句與	間 方 丈 裏 小 參 苦 口 勸 兄 弟 說 話 終 無 一 言 半 句 與 
X73n1447_001:0053a16	諸人領解。任你走上走下。終無一箇消息與人。只要	諸 人 領 解 任 你 走 上 走 下 終 無 一 箇 消 息 與 人 只 要 
X73n1447_001:0053a17	得諸人休去歇去。所以佛云。息心達本。悟無為法。諸	得 諸 人 休 去 歇 去 所 以 佛 云 息 心 達 本 悟 無 為 法 諸 
X73n1447_001:0053a18	仁者。便是佛也只恁麼說也。信得及去便恁麼行持。	仁 者 便 是 佛 也 只 恁 麼 說 也 信 得 及 去 便 恁 麼 行 持 
X73n1447_001:0053a19	信不及去。非但老僧。三世諸佛亦救你不得。珍重。	信 不 及 去 非 但 老 僧 三世諸佛 亦 救 你 不 得 珍 重 
X73n1447_001:0053a20	師入室云。夜來因為諸兄弟。舉雲門和尚。廊下行次。	師 入 室 云 夜 來 因 為 諸 兄 弟 舉 雲 門 和 尚 廊 下 行 次 
X73n1447_001:0053a21	至三門下。見一頭水牯牛。時有眾僧在彼。雲門云。水	至 三 門 下 見 一 頭 水 牯 牛 時 有 眾 僧 在 彼 雲 門 云 水 
X73n1447_001:0053a22	牯牛年多少。彼時僧眾皆罔測。雲門云。汝等但問老	牯 牛 年 多 少 彼 時 僧 眾 皆 罔 測 雲 門 云 汝 等 但 問 老 
X73n1447_001:0053a23	僧。代為你道。時有僧出來問。水牯牛年多少。門云。六	僧 代 為 你 道 時 有 僧 出 來 問 水 牯 牛 年 多 少 門 云 六 
X73n1447_001:0053a24	十三。次舉陳操尚書知睦州。乃參睦州和尚。一日尚	十 三 次 舉 陳 操 尚 書 知 睦 州 乃 參 睦 州 和 尚 一 日 尚 
X73n1447_001:0053b01	書去遲。到彼乃云。今日為眾打毬。所以來晚。州云。人	書 去 遲 到 彼 乃 云 今 日 為 眾 打 毬 所 以 來 晚 州 云 人 
X73n1447_001:0053b02	打毬。馬打毬。書云。馬打毬。州云。人還困也無。書云困	打 毬 馬 打 毬 書 云 馬 打 毬 州 云 人 還 困 也 無 書 云 困 
X73n1447_001:0053b03	州云馬還困也無。書云困。州云露柱[妳女+口]。書無語。即便	州 云 馬 還 困 也 無 書 云 困 州 云 露 柱 [妳女口] 書 無 語 即 便 
X73n1447_001:0053b04	下去。一夜坐臥不安。心忙腹熱。三更忽然有箇入處。	下 去 一 夜 坐 臥 不 安 心 忙 腹 熱 三 更 忽 然 有 箇 入 處 
X73n1447_001:0053b05	即待天明便上方丈。見和尚乃曰。夜來承和尚慈悲	即 待 天 明 便 上 方 丈 見 和 尚 乃 曰 夜 來 承 和 尚 慈 悲 
X73n1447_001:0053b06	垂示一則語。某甲于時無語祗對和尚。如今有一則	垂 示 一 則 語 某 甲 于 時 無 語 祗 對 和 尚 如 今 有 一 則 
X73n1447_001:0053b07	語也。州乃云。人打毬。馬打毬。書云馬打毬。州云人還	語 也 州 乃 云 人 打 毬 馬 打 毬 書 云 馬 打 毬 州 云 人 還 
X73n1447_001:0053b08	困否。書云困。州云馬還因否。書云困。州云露柱[吃乙+小]。書	困 否 書 云 困 州 云 馬 還 因 否 書 云 困 州 云 露 柱 [吃乙小] 書 
X73n1447_001:0053b09	云困。州便休去。諸上座。你道是甚麼道理。夜來如是	云 困 州 便 休 去 諸 上 座 你 道 是 甚 麼 道 理 夜 來 如 是 
X73n1447_001:0053b10	舉此兩般因緣。教諸人體究來看。今日恰見兄弟來	舉 此 兩 般 因 緣 教 諸 人 體 究 來 看 今 日 恰 見 兄 弟 來 
X73n1447_001:0053b11	吐消息。若據如此總未是。這裏也別是箇見處。未合	吐 消 息 若 據 如 此 總 未 是 這 裏 也 別 是 箇 見 處 未 合 
X73n1447_001:0053b12	得雲門和尚問水牛意。亦未合得睦州和尚打毬意	得 雲 門 和 尚 問 水 牛 意 亦 未 合 得 睦 州 和 尚 打 毬 意 
X73n1447_001:0053b13	在。為甚麼如此。到了只是上座見不到這箇田地在。	在 為 甚 麼 如 此 到 了 只 是 上 座 見 不 到 這 箇 田 地 在 
X73n1447_001:0053b14	未識得萬法元由在。諸仁者。出家人若覰這般事不	未 識 得 萬 法 元 由 在 諸 仁 者 出 家 人 若 覰 這 般 事 不 
X73n1447_001:0053b15	透。時夕何安。即被燈籠露柱欺謾去也。被僧堂佛殿	透 時 夕 何 安 即 被 燈 籠 露 柱 欺 謾 去 也 被 僧 堂 佛 殿 
X73n1447_001:0053b16	籠罩去也。然雖如是。直饒見得一一諦當分明。在衲	籠 罩 去 也 然 雖 如 是 直 饒 見 得 一 一 諦 當 分 明 在 衲 
X73n1447_001:0053b17	僧分上。猶總喚作癡狂外邊走。總喚作影像邊事。與	僧 分 上 猶 總 喚 作 癡 狂 外 邊 走 總 喚 作 影 像 邊 事 與 
X73n1447_001:0053b18	你自己更無交涉。阿你如今認得本源。也是沒量大	你 自 己 更 無 交 涉 阿 你 如 今 認 得 本 源 也 是 沒 量 大 
X73n1447_001:0053b19	人。認得了莫以為事。且拈向一邊著。須是體取空劫	人 認 得 了 莫 以 為 事 且 拈 向 一 邊 著 須 是 體 取 空 劫 
X73n1447_001:0053b20	以前事始得。若只恁麼便休去。成得箇甚麼邊事在。	以 前 事 始 得 若 只 恁 麼 便 休 去 成 得 箇 甚 麼 邊 事 在 
X73n1447_001:0053b21	諸人若識得水牯牛。非但水牯牛。乃至山河大地。師	諸 人 若 識 得 水 牯 牛 非 但 水 牯 牛 乃 至 山 河 大 地 師 
X73n1447_001:0053b22	資父母。三世諸佛一切聖賢。一時識得。方得天地同	資 父 母 三世諸佛 一 切 聖 賢 一 時 識 得 方 得 天 地 同 
X73n1447_001:0053b23	根。萬法一體。若不識得水牯牛。乃至每日聚會師資	根 萬 法 一 體 若 不 識 得 水 牯 牛 乃 至 每 日 聚 會 師 資 
X73n1447_001:0053b24	父母一切聖賢。總不識去。為箇甚麼。為你見不到。未	父 母 一 切 聖 賢 總 不 識 去 為 箇 甚 麼 為 你 見 不 到 未 
X73n1447_001:0053c01	識得三界唯心。萬法唯識。一切有為諸法。總不識去。	識 得 三界唯心 萬 法 唯 識 一 切 有 為 諸 法 總 不 識 去 
X73n1447_001:0053c02	不識萬法元由去。所以云。亦復不知何者是火。何者	不 識 萬 法 元 由 去 所 以 云 亦 復 不 知 何 者 是 火 何 者 
X73n1447_001:0053c03	為舍。云何為失。但東西馳走。視父而已。諸仁者。直須	為 舍 云 何 為 失 但 東 西 馳 走 視 父 而 已 諸 仁 者 直 須 
X73n1447_001:0053c04	且學。了取這般事。所以諸聖云。欲證無生理當了現	且 學 了 取 這 般 事 所 以 諸 聖 云 欲 證 無 生 理 當 了 現 
X73n1447_001:0053c05	前因此事是麤淺底法門。若見不到。成甚麼出家。作	前 因 此 事 是 麤 淺 底 法 門 若 見 不 到 成 甚 麼 出 家 作 
X73n1447_001:0053c06	麼生學佛法。何以。為你不了目前諸法。被外境所惑。	麼 生 學 佛 法 何 以 為 你 不 了 目 前 諸 法 被 外 境 所 惑 
X73n1447_001:0053c07	從上古人亦多方便。垂示後來。向你道心如工畵師。	從 上 古 人 亦 多 方 便 垂 示 後 來 向 你 道 心 如 工 畵 師 
X73n1447_001:0053c08	能畵諸世間之法。諸法所生。唯心所現。無一法不從	能 畵 諸 世 間 之 法 諸 法 所 生 唯 心 所 現 無 一 法 不 從 
X73n1447_001:0053c09	你心所現。皆是汝心畵成。無有一法自然建立。諸仁	你 心 所 現 皆 是 汝 心 畵 成 無 有 一 法 自 然 建 立 諸 仁 
X73n1447_001:0053c10	者。到這裏合作麼生。等閑無事。將古人言句。飜覆體	者 到 這 裏 合 作 麼 生 等 閑 無 事 將 古 人 言 句 飜 覆 體 
X73n1447_001:0053c11	究看是什麼道理。此事甚許你用心學得。日夜推窮	究 看 是 什 麼 道 理 此 事 甚 許 你 用 心 學 得 日 夜 推 窮 
X73n1447_001:0053c12	將去。無有不會者。得了莫將為事始得且是了得一	將 去 無 有 不 會 者 得 了 莫 將 為 事 始 得 且 是 了 得 一 
X73n1447_001:0053c13	般事。若是祖師門下。猶隔一重關。往日趙州和尚侍	般 事 若 是 祖 師 門 下 猶 隔 一 重 關 往 日 趙 州 和 尚 侍 
X73n1447_001:0053c14	者報云。大王來也。州起立祗揖云。大王萬福。侍者云	者 報 云 大 王 來 也 州 起 立 祗 揖 云 大 王 萬 福 侍 者 云 
X73n1447_001:0053c15	未在三門下也。州云又道來也。諸仁者。是箇甚麼道	未 在 三 門 下 也 州 云 又 道 來 也 諸 仁 者 是 箇 甚 麼 道 
X73n1447_001:0053c16	理。且道趙州和尚彼時還識趙王也無。還見得麼。每	理 且 道 趙 州 和 尚 彼 時 還 識 趙 王 也 無 還 見 得 麼 每 
X73n1447_001:0053c17	日諸兄弟。如此浩浩地上來這裏。忽若問著佗繩床	日 諸 兄 弟 如 此 浩 浩 地 上 來 這 裏 忽 若 問 著 佗 繩 床 
X73n1447_001:0053c18	近日如何。無箇兄弟向這裏下一轉語。當知不易。諸	近 日 如 何 無 箇 兄 弟 向 這 裏 下 一 轉 語 當 知 不 易 諸 
X73n1447_001:0053c19	仁者。況此事是箇甚麼漸次在。尚乃百十人中無一	仁 者 況 此 事 是 箇 甚 麼 漸 次 在 尚 乃 百 十 人 中 無 一 
X73n1447_001:0053c20	兩人見到。雖則如此。假饒你一一見得了了分明去。	兩 人 見 到 雖 則 如 此 假 饒 你 一 一 見 得 了 了 分 明 去 
X73n1447_001:0053c21	在諸仁者自己分上。暨箇甚麼在。總喚作認影為頭。	在 諸 仁 者 自 己 分 上 暨 箇 甚 麼 在 總 喚 作 認 影 為 頭 
X73n1447_001:0053c22	與你自己了無交涉。然雖如此。若能覰得破衲僧門	與 你 自 己 了 無 交 涉 然 雖 如 此 若 能 覰 得 破 衲 僧 門 
X73n1447_001:0053c23	下。許你具一隻眼。參。珍重。	下 許 你 具 一 隻 眼 參 珍 重 
X73n1447_001:0053c24	偈頌	偈 頌 
X73n1447_001:0054a01	知見謠	知 見 謠 
X73n1447_001:0054a02	莫莫莫。大丈夫何太錯。無端咀嚼野狐涎。滿肚知見	莫 莫 莫 大 丈 夫 何 太 錯 無 端 咀 嚼 野 狐 涎 滿 肚 知 見 
X73n1447_001:0054a03	無處著。縱然成現夢還家。物外超然謾斟酌。重玄權	無 處 著 縱 然 成 現 夢 還 家 物 外 超 然 謾 斟 酌 重 玄 權 
X73n1447_001:0054a04	要騁縱橫。逆順機鋒過電爍。恰如狂鬼亂心神。又似	要 騁 縱 橫 逆 順 機 鋒 過 電 爍 恰 如 狂 鬼 亂 心 神 又 似 
X73n1447_001:0054a05	良人中毒藥。審須聽急吐却。熱病覺來方索索。不論	良 人 中 毒 藥 審 須 聽 急 吐 却 熱 病 覺 來 方 索 索 不 論 
X73n1447_001:0054a06	日本與西天。說甚須彌頭倒卓。徒將管見自欺瞞。枉	日 本 與 西 天 說 甚 須 彌 頭 倒 卓 徒 將 管 見 自 欺 瞞 枉 
X73n1447_001:0054a07	把禪流眼睛[翟*殳]。忠言逆耳為童蒙。作者聞之任貶剝。	把 禪 流 眼 睛 [翟殳] 忠 言 逆 耳 為 童 蒙 作 者 聞 之 任 貶 剝 
