X22n0432_001:0898b06	修西定課	修 西 定 課 
X22n0432_001:0909a05	見阿彌陀佛○金色之身○得歷阿彌陀佛○寶嚴	見 阿 彌 陀 佛 金 色 之 身 得 歷 阿 彌 陀 佛 寶 嚴 
X22n0432_001:0909a06	之土。得蒙阿彌陀佛○甘露灌頂○光明照身○	之 土 得 蒙 阿 彌 陀 佛 甘 露 灌 頂 光 明 照 身 
X22n0432_001:0909a07	手摩我頭○衣覆我體。使我○宿障自除○善根	手 摩 我 頭 衣 覆 我 體 使 我 宿 障 自 除 善 根 
X22n0432_001:0909a08	增長○疾空煩惱○頓破無明。圓覺妙心○廓然	增 長 疾 空 煩 惱 頓 破 無 明 圓 覺 妙 心 廓 然 
X22n0432_001:0909a09	開悟○寂光真境○常得現前。至於○臨欲命終	開 悟 寂 光 真 境 常 得 現 前 至 於 臨 欲 命 終 
X22n0432_001:0909a10	○預知時至。身無一切○病苦厄難○心無一切	 預 知 時 至 身 無 一 切 病 苦 厄 難 心 無 一 切 
X22n0432_001:0909a11	○貪戀迷惑。諸根悅豫○正念分明○捨報安詳	 貪 戀 迷 惑 諸 根 悅 豫 正 念 分 明 捨 報 安 詳 
X22n0432_001:0909a12	○如入禪定。阿彌陀佛○與觀音勢至○諸聖賢	 如 入 禪 定 阿 彌 陀 佛 與 觀 音 勢 至 諸 聖 賢 
X22n0432_001:0909a13	眾。放光接引○垂手提攜。樓閣幢旛○異香天	眾 放 光 接 引 垂 手 提 攜 樓 閣 幢 旛 異 香 天 
X22n0432_001:0909a14	樂○西方聖境○昭示目前。令諸眾生○見者聞	樂 西 方 聖 境 昭 示 目 前 令 諸 眾 生 見 者 聞 
X22n0432_001:0909a15	者○歡喜感歎○發菩提心。我於爾時○乘金剛	者 歡 喜 感 歎 發菩提心 我 於 爾 時 乘 金 剛 
X22n0432_001:0909a16	臺○隨從佛後○如彈指頃。生極樂國○七寶池	臺 隨 從 佛 後 如 彈 指 頃 生 極 樂 國 七 寶 池 
X22n0432_001:0909a17	內○勝蓮華中。華開見佛○見諸菩薩○聞妙法	內 勝 蓮 華 中 華 開 見 佛 見 諸 菩 薩 聞 妙 法 
X22n0432_001:0909a18	音○獲無生忍。於須臾間○承事諸佛○親蒙授	音 獲 無 生 忍 於 須 臾 間 承 事 諸 佛 親 蒙 授 
X22n0432_001:0909a19	記。得授記已。三身四智○五眼六通。無量百	記 得 授 記 已 三 身 四 智 五 眼 六 通 無 量 百 
X22n0432_001:0909a20	千○陀羅尼門○一切功德○皆悉成就。然後○	千 陀羅尼門 一切功德 皆 悉 成 就 然 後 
X22n0432_001:0909a21	不違安養○回入娑婆○分身無數○徧十方剎。	不 違 安 養 回 入 娑 婆 分 身 無 數 徧 十 方 剎 
X22n0432_001:0909a22	以不可思議○自在神力○種種方便○度脫眾生。	以 不可思議 自在神力 種 種 方 便 度 脫 眾 生 
X22n0432_001:0909a23	咸令離染○還得淨心○同生西方○入不退地。	咸 令 離 染 還 得 淨 心 同 生 西 方 入 不 退 地 
X22n0432_001:0909a24	如此大願。世界無盡○眾生無盡○業及煩惱	如 此 大 願 世 界 無 盡 眾 生 無 盡 業 及 煩 惱 
X22n0432_001:0909b01	○一切無盡。我願無盡。願今○禮佛發願○修	 一 切 無 盡 我 願 無 盡 願 今 禮 佛 發 願 修 
X22n0432_001:0909b02	持功德○回施有情。四恩總報○三有齊資○法	持 功 德 回 施 有 情 四 恩 總 報 三 有 齊 資 法 
X22n0432_001:0909b03	界眾生○同○圓○種○智。[○@叩]。	界 眾 生 同 圓 種 智 [叩] 
X22n0432_001:0909b04	四恩者。在家。則天地也君也親也師也。出家。則父	四 恩 者 在 家 則 天 地 也 君 也 親 也 師 也 出 家 則 父 
X22n0432_001:0909b05	母師僧國王檀越也。三有者。三界也。法界眾生者。	母 師 僧 國 王 檀 越 也 三 有 者 三 界 也 法 界 眾 生 者 
X22n0432_001:0909b06	十方無量世界一切眾生也。心能運載一切法。故	十 方 無量世界 一 切 眾 生 也 心 能 運 載 一 切 法 故 
X22n0432_001:0909b07	名乘。以佛為極。不落二三。故曰一乘也。○染心易	名 乘 以 佛 為 極 不 落 二 三 故 曰 一 乘 也 染 心 易 
X22n0432_001:0909b08	熾者。識火炎炎。時常發起也。淨德難成者。心水不	熾 者 識 火 炎 炎 時 常 發 起 也 淨 德 難 成 者 心 水 不 
X22n0432_001:0909b09	清。佛月難現也。○翹勤五體。表外儀恭也。披瀝一	清 佛 月 難 現 也 翹 勤 五 體 表 外 儀 恭 也 披 瀝 一 
X22n0432_001:0909b10	心。明內心敬也。五體者。兩肘兩膝及額也。披瀝者。	心 明 內 心 敬 也 五 體 者 兩 肘 兩 膝 及 額 也 披 瀝 者 
X22n0432_001:0909b11	開發洗蕩也。投誠者。以我之心。歸投於佛也。懺悔	開 發 洗 蕩 也 投 誠 者 以 我 之 心 歸 投 於 佛 也 懺 悔 
X22n0432_001:0909b12	者。斷相續心也。言我及眾生者。求生淨土。須廣大	者 斷 相 續 心 也 言 我 及 眾 生 者 求 生 淨 土 須 廣 大 
X22n0432_001:0909b13	心。一體同觀。方偕佛願故。一人懺。即是一切眾生	心 一 體 同 觀 方 偕 佛 願 故 一 人 懺 即 是 一 切 眾 生 
X22n0432_001:0909b14	懺也。○一切諸業。不名決定。懺之則無。任之則有。	懺 也 一 切 諸 業 不 名 決 定 懺 之 則 無 任 之 則 有 
X22n0432_001:0909b15	信以為能消滅。一懺便滅。何以故。心力最強也。○	信 以 為 能 消 滅 一 懺 便 滅 何 以 故 心 力 最 強 也 
X22n0432_001:0909b16	冤有三。有殺冤。有盜冤。有淫冤。殺盜名怒冤。淫名	冤 有 三 有 殺 冤 有 盜 冤 有 淫 冤 殺 盜 名 怒 冤 淫 名 
X22n0432_001:0909b17	喜冤。一切眾生。以冤為親。若念佛功深。看得一切	喜 冤 一 切 眾 生 以 冤 為 親 若 念 佛 功 深 看 得 一 切 
X22n0432_001:0909b18	冤親如光如影。則往生無累矣。○禪觀與持名。本	冤 親 如 光 如 影 則 往 生 無 累 矣 禪 觀 與 持 名 本 
X22n0432_001:0909b19	是兩法。若體會經文。想我之念佛音聲。直入西方	是 兩 法 若 體 會 經 文 想 我 之 念 佛 音 聲 直 入 西 方 
X22n0432_001:0909b20	靈禽風樹之中。與水流光明寶羅天樂。融成一片。	靈 禽 風 樹 之 中 與 水 流 光 明 寶 羅 天 樂 融 成 一 片 
X22n0432_001:0909b21	便是觀想持名無二也。此名西方禪定。亦名音聲	便 是 觀 想 持 名 無 二 也 此 名 西 方 禪 定 亦 名 音 聲 
X22n0432_001:0909b22	禪定。○病苦。四大不調也。厄難。水火刀兵毒藥之	禪 定 病 苦 四大不調 也 厄 難 水 火 刀 兵 毒 藥 之 
X22n0432_001:0909b23	類也。貪戀。許願求醫食肉懷恩也。迷惑。疑罪多功	類 也 貪 戀 許 願 求 醫 食 肉 懷 恩 也 迷 惑 疑 罪 多 功 
X22n0432_001:0909b24	少佛不來迎也。報。報身也。捨報。謂正斷氣時。捨此	少 佛 不 來 迎 也 報 報 身 也 捨 報 謂 正 斷 氣 時 捨 此 
X22n0432_001:0909c01	報身。精神獨往也。○無生忍者。一切諸法。本自不	報 身 精 神 獨 往 也 無 生 忍 者 一切諸法 本 自 不 
X22n0432_001:0909c02	生不滅。既為眾生。故顛倒妄見。今以智慧而了達	生 不 滅 既 為 眾 生 故 顛 倒 妄 見 今 以 智 慧 而 了 達 
X22n0432_001:0909c03	之。故曰獲也。得此忍已。大用方成。○三身。法身報	之 故 曰 獲 也 得 此 忍 已 大 用 方 成 三 身 法 身 報 
X22n0432_001:0909c04	身化身也。四智。八識之妄。還源證真。轉識成智。其	身 化 身 也 四 智 八 識 之 妄 還 源 證 真 轉 識 成 智 其 
X22n0432_001:0909c05	數有四也。八識者。眼耳鼻舌身為前五識。意為第	數 有 四 也 八 識 者 眼 耳 鼻 舌 身 為 前 五 識 意 為 第 
X22n0432_001:0909c06	六識。細意不外緣者名第七識。心之本量含藏種	六 識 細 意 不 外 緣 者 名 第 七 識 心 之 本 量 含 藏 種 
X22n0432_001:0909c07	子者名第八識。修道之人。轉前五識為成所作智。	子 者 名 第 八 識 修 道 之 人 轉 前 五 識 為 成所作智 
X22n0432_001:0909c08	轉第六識為妙觀察智。轉第七識為平等性智。轉	轉 第 六 識 為 妙觀察智 轉 第 七 識 為 平等性智 轉 
X22n0432_001:0909c09	第八識為大圓鏡智。五眼。肉眼天眼慧眼法眼佛	第 八 識 為 大圓鏡智 五 眼 肉 眼 天 眼 慧 眼 法 眼 佛 
X22n0432_001:0909c10	眼也。六通。天耳通天眼通神足通他心通宿命通	眼 也 六 通 天 耳 通 天 眼 通 神 足 通 他 心 通 宿 命 通 
X22n0432_001:0909c11	漏盡通也。○不退地者三義。一位不退。終不退為	漏 盡 通 也 不 退 地 者 三 義 一 位 不 退 終 不 退 為 
X22n0432_001:0909c12	凡夫二乘也。二行不退。終不退失所修行業也。三	凡 夫 二 乘 也 二 行 不 退 終 不 退 失 所 修 行 業 也 三 
X22n0432_001:0909c13	念不退。不暫退轉菩提心念也。又曰。雖品居下下。	念 不 退 不 暫 退 轉 菩 提 心 念 也 又 曰 雖 品 居 下 下 
X22n0432_001:0909c14	地局疑城。然永斷三塗之因。亦名不退也。○界生	地 局 疑 城 然 永 斷 三 塗 之 因 亦 名 不 退 也 界 生 
X22n0432_001:0909c15	業惱四者不盡。我之大願終亦不盡。運此不盡之	業 惱 四 者 不 盡 我 之 大 願 終 亦 不 盡 運 此 不 盡 之 
X22n0432_001:0909c16	願力。度此不盡之眾生。方顯無量心光。能與彌陀	願 力 度 此 不 盡 之 眾 生 方 顯 無 量 心 光 能 與 彌 陀 
X22n0432_001:0909c17	同調矣。○種智。佛智也謂能通達一相無量相也。	同 調 矣 種 智 佛 智 也 謂 能 通 達 一 相 無 量 相 也 
X22n0432_001:0909c18	○或問曰。此經單言持名。願文忽說禪觀。何也。答	 或 問 曰 此 經 單 言 持 名 願 文 忽 說 禪 觀 何 也 答 
X22n0432_001:0909c19	曰。若神明不入觀中。所持之名。非昏即散。以持名	曰 若 神 明 不 入 觀 中 所 持 之 名 非 昏 即 散 以 持 名 
X22n0432_001:0909c20	為觀境。非於觀外持名也。或問曰。觀境無聲。觀心	為 觀 境 非 於 觀 外 持 名 也 或 問 曰 觀 境 無 聲 觀 心 
X22n0432_001:0909c21	不動。今乃經行持誦。何謂觀乎。答曰。死法活用。名	不 動 今 乃 經 行 持 誦 何 謂 觀 乎 答 曰 死 法 活 用 名 
X22n0432_001:0909c22	曰善巧。活法死執。是謂癡人。華嚴經云。風中入定。	曰 善 巧 活 法 死 執 是 謂 癡 人 華 嚴 經 云 風 中 入 定 
X22n0432_001:0909c23	聲中入定。古德云。行亦禪。坐亦禪。即此經行持名	聲 中 入 定 古 德 云 行 亦 禪 坐 亦 禪 即 此 經 行 持 名 
X22n0432_001:0909c24	便是神明在定也。或問曰。觀西方者見佛。持名者	便 是 神 明 在 定 也 或 問 曰 觀 西 方 者 見 佛 持 名 者 
X22n0432_001:0910a01	於持名時能見佛乎。答曰。觀佛用心眼。是心中色。	於 持 名 時 能 見 佛 乎 答 曰 觀 佛 用 心 眼 是 心 中 色 
X22n0432_001:0910a02	持名用心聽。是心中聲。然心觀佛色。佛現而說法。	持 名 用 心 聽 是 心 中 聲 然 心 觀 佛 色 佛 現 而 說 法 
X22n0432_001:0910a03	則有妙聲矣。心聽佛聲。神凝而現瑞。則有妙色矣。	則 有 妙 聲 矣 心 聽 佛 聲 神 凝 而 現 瑞 則 有 妙 色 矣 
X22n0432_001:0910a04	六塵萬法。迴轉唯心。子但神聽自己念佛之聲。久	六 塵 萬 法 迴 轉 唯 心 子 但 神 聽 自 己 念 佛 之 聲 久 
X22n0432_001:0910a05	之又久之。到一時鼓寂鐘沈。便與如來相見也。	之 又 久 之 到 一 時 鼓 寂 鐘 沈 便 與 如 來 相 見 也 
X22n0432_001:0910a06	修西定課	修 西 定 課 
