T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0977a23	食[麩夫+少]。少有餅飯。國王百姓等。總不識佛法。無	食 [麩夫少] 少 有 餅 飯 國 王 百 姓 等 總 不 識 佛 法 無 
T51n2089_001:0977a24	有寺舍。國人悉皆穿地作坑而臥。無有床席。	有 寺 舍 國 人 悉 皆 穿 地 作 坑 而 臥 無 有 床 席 
T51n2089_001:0977a25	人民極黑。白者全布。言音與諸國不同。多愛	人 民 極 黑 白 者 全 布 言 音 與 諸 國 不 同 多 愛 
T51n2089_001:0977a26	喫虱。為著毛褐。甚饒蟣虱。捉得便拋口裏。終	喫 虱 為 著 毛 褐 甚 饒 蟣 虱 捉 得 便 拋 口 裏 終 
T51n2089_001:0977a27	不棄也　又迦葉彌羅國西北。隔山七日程。	不 棄 也 又 迦 葉 彌 羅 國 西 北 隔 山 七 日 程 
T51n2089_001:0977a28	至小勃律國。此屬漢國所管。衣著人風。飲食	至 小 勃 律 國 此 屬 漢 國 所 管 衣 著 人 風 飲 食 
T51n2089_001:0977a29	言音。與大勃律相似。著[疊*毛]衫及靴剪其鬚髮。	言 音 與 大 勃 律 相 似 著 [疊毛] 衫 及 靴 剪 其 鬚 髮 
T51n2089_001:0977b01	頭上纏疊布一條。女人在髮。貧多富少。山川	頭 上 纏 疊 布 一 條 女 人 在 髮 貧 多 富 少 山 川 
T51n2089_001:0977b02	狹小。田種不多。其山憔杌。元無樹木及於諸	狹 小 田 種 不 多 其 山 憔 杌 元 無 樹 木 及 於 諸 
T51n2089_001:0977b03	草。其大勃律。元是小勃律王所住之處。為吐	草 其 大 勃 律 元 是 小 勃 律 王 所 住 之 處 為 吐 
T51n2089_001:0977b04	蕃來逼。走入小勃律國坐。首領百姓。在彼大	蕃 來 逼 走 入 小 勃 律 國 坐 首 領 百 姓 在 彼 大 
T51n2089_001:0977b05	勃律不來。	勃 律 不 來 
T51n2089_001:0977b06	又從迦葉彌羅國西北隔山一月程至建馱	又 從 迦 葉 彌 羅 國 西 北 隔 山 一 月 程 至 建 馱 
T51n2089_001:0977b07	羅。此王及兵馬。總是突厥。土人是胡。兼有婆	羅 此 王 及 兵 馬 總 是 突 厥 土 人 是 胡 兼 有 婆 
T51n2089_001:0977b08	羅門。此國舊是罽賓王王化。為此突厥王阿耶	羅 門 此 國 舊 是 罽 賓 王 王 化 為 此 突 厥 王 阿 耶 
T51n2089_001:0977b09	領一部落兵馬。投彼罽賓王。於後突厥兵盛。	領 一 部 落 兵 馬 投 彼 罽 賓 王 於 後 突 厥 兵 盛 
T51n2089_001:0977b10	便殺彼罽賓王。自為國主。因茲國境突厥霸	便 殺 彼 罽 賓 王 自 為 國 主 因 茲 國 境 突 厥 霸 
T51n2089_001:0977b11	王此國已北。並住中。其山並燋無草及樹。衣	王 此 國 已 北 並 住 中 其 山 並 燋 無 草 及 樹 衣 
T51n2089_001:0977b12	著人風言音節氣並別。衣是皮[毯炎+皮][疊*毛]衫靴袴	著 人 風 言 音 節 氣 並 別 衣 是 皮 [毯炎皮][疊毛] 衫 靴 袴 
T51n2089_001:0977b13	之類土地宜大麥小麥。全無黍粟及稻。人多	之 類 土 地 宜 大 麥 小 麥 全 無 黍 粟 及 稻 人 多 
T51n2089_001:0977b14	食[麩夫+少]及餅。唯除迦葉彌羅大勃小勃揚同等	食 [麩夫少] 及 餅 唯 除 迦 葉 彌 羅 大 勃 小 勃 揚 同 等 
T51n2089_001:0977b15	國。即此建馱羅國。乃至五天崑崙等國。總無	國 即 此 建 馱 羅 國 乃 至 五 天 崑 崙 等 國 總 無 
T51n2089_001:0977b16	蒲□□□甘蔗。此突厥王象有五頭。羊馬無	蒲 甘 蔗 此 突 厥 王 象 有 五 頭 羊 馬 無 
T51n2089_001:0977b17	數。駝騾驢等甚□多。地與胡□□□□□迴	數 駝 騾 驢 等 甚 多 地 與 胡 迴 
T51n2089_001:0977b18	不過。向南為道路險惡。多足劫賊。從茲已北。	不 過 向 南 為 道 路 險 惡 多 足 劫 賊 從 茲 已 北 
T51n2089_001:0977b19	西業者多市店之間。極多屠殺。此王雖是突	西 業 者 多 市 店 之 間 極 多 屠 殺 此 王 雖 是 突 
T51n2089_001:0977b20	厥。甚敬信三寶。王王妃王子首領等。各各造	厥 甚 敬 信 三 寶 王 王 妃 王 子 首 領 等 各 各 造 
T51n2089_001:0977b21	寺。供養三寶。此王每年兩迴設無遮大齋。但	寺 供養三寶 此 王 每 年 兩 迴 設 無 遮 大 齋 但 
T51n2089_001:0977b22	是緣身所受用之物。妻及象馬等。並皆捨施。	是 緣 身 所 受 用 之 物 妻 及 象 馬 等 並 皆 捨 施 
T51n2089_001:0977b23	唯妻及象。令僧斷價。王還自贖。自餘駝馬金	唯 妻 及 象 令 僧 斷 價 王 還 自 贖 自 餘 駝 馬 金 
T51n2089_001:0977b24	銀衣物家具。聽僧貨賣。自分利養此王不同	銀 衣 物 家 具 聽 僧 貨 賣 自 分 利 養 此 王 不 同 
T51n2089_001:0977b25	餘已北突厥也。兒女亦然。各各造寺。設齋捨	餘 已 北 突 厥 也 兒 女 亦 然 各 各 造 寺 設 齋 捨 
T51n2089_001:0977b26	施。此城俯臨辛頭大河北岸而置。此城西三	施 此 城 俯 臨 辛 頭 大 河 北 岸 而 置 此 城 西 三 
T51n2089_001:0977b27	日程有一大寺。即是天親菩薩無着菩薩	日 程 有 一 大 寺 即 是 天 親 菩 薩 無 着 菩 薩 
T51n2089_001:0977b28	所住之寺。此寺名葛諾歌。有一大塔。每常放	所 住 之 寺 此 寺 名 葛 諾 歌 有 一 大 塔 每 常 放 
T51n2089_001:0977b29	光。此寺及塔。舊時葛諾歌王造。從王立寺名	光 此 寺 及 塔 舊 時 葛 諾 歌 王 造 從 王 立 寺 名 
T51n2089_001:0977c01	也。又此城東南□里。即是佛過去為尸毘王	也 又 此 城 東 南 里 即 是 佛 過 去 為 尸 毘 王 
T51n2089_001:0977c02	救鴿處。見有寺有僧。又佛過去捨頭捨眼餧	救 鴿 處 見 有 寺 有 僧 又 佛 過 去 捨 頭 捨 眼 餧 
T51n2089_001:0977c03	五夜叉等處。並在此國中。在此城東南山裏。	五 夜 叉 等 處 並 在 此 國 中 在 此 城 東 南 山 裏 
T51n2089_001:0977c04	各有寺有僧。見今供養。此國大小乘俱行。	各 有 寺 有 僧 見 今 供 養 此 國 大 小 乘 俱 行 
T51n2089_001:0977c05	又從此建馱羅國。正北入山三日程。至烏	又 從 此 建 馱 羅 國 正 北 入 山 三 日 程 至 烏 
T51n2089_001:0977c06	長國。彼自云欝地引那。此王大敬三寶。百	長 國 彼 自 云 欝 地 引 那 此 王 大 敬 三 寶 百 
T51n2089_001:0977c07	姓村莊。多分施入寺家供養。少分自留以供	姓 村 莊 多 分 施 入 寺 家 供 養 少 分 自 留 以 供 
T51n2089_001:0977c08	養衣食。設齋供養。每日是常。足寺足僧。僧稍	養 衣 食 設 齋 供 養 每 日 是 常 足 寺 足 僧 僧 稍 
T51n2089_001:0977c09	多於俗人也。專行大乘法也。衣著飲食人風。	多 於 俗 人 也 專 行 大 乘 法 也 衣 著 飲 食 人 風 
T51n2089_001:0977c10	與建馱羅國相似。言音不同。土地足駝騾羊	與 建 馱 羅 國 相 似 言 音 不 同 土 地 足 駝 騾 羊 
T51n2089_001:0977c11	馬[疊*毛]布之類。節氣甚冷　又從烏長國。東	馬 [疊毛] 布 之 類 節 氣 甚 冷 又 從 烏 長 國 東 
T51n2089_001:0977c12	北入山十五日程。至拘衛國。彼自呼云奢摩	北 入 山 十 五 日 程 至 拘 衛 國 彼 自 呼 云 奢 摩 
T51n2089_001:0977c13	褐羅闍國。此王亦敬信三寶。有寺有僧。衣著	褐 羅 闍 國 此 王 亦 敬 信 三 寶 有 寺 有 僧 衣 著 
T51n2089_001:0977c14	言音。與烏長國相似。著[疊*毛]衫袴等。亦有羊馬	言 音 與 烏 長 國 相 似 著 [疊毛] 衫 袴 等 亦 有 羊 馬 
T51n2089_001:0977c15	等也　又從此建馱羅國。西行入山七日。	等 也 又 從 此 建 馱 羅 國 西 行 入 山 七 日 
T51n2089_001:0977c16	至覽波國。此國無王。有大首領。亦屬建馱	至 覽 波 國 此 國 無 王 有 大 首 領 亦 屬 建 馱 
T51n2089_001:0977c17	羅國所管。衣著言音。與建馱羅國相似。亦有	羅 國 所 管 衣 著 言 音 與 建 馱 羅 國 相 似 亦 有 
T51n2089_001:0977c18	寺有僧。敬信三寶。行大乘法　又從此覽波	寺 有 僧 敬 信 三 寶 行 大 乘 法 又 從 此 覽 波 
T51n2089_001:0977c19	國而行入山。經於八日程。至罽賓國。此國亦	國 而 行 入 山 經 於 八 日 程 至 罽 賓 國 此 國 亦 
T51n2089_001:0977c20	是建馱羅王所管。此王夏在罽賓。逐涼而坐。	是 建 馱 羅 王 所 管 此 王 夏 在 罽 賓 逐 涼 而 坐 
T51n2089_001:0977c21	冬往建馱羅。趁暖而住。彼即無雪。暖而不寒。	冬 往 建 馱 羅 趁 暖 而 住 彼 即 無 雪 暖 而 不 寒 
T51n2089_001:0977c22	其罽賓國冬天積雪。為此冷也。此國土人是	其 罽 賓 國 冬 天 積 雪 為 此 冷 也 此 國 土 人 是 
T51n2089_001:0977c23	胡。王及兵馬突厥。衣著言音食飲。與吐火羅	胡 王 及 兵 馬 突 厥 衣 著 言 音 食 飲 與 吐 火 羅 
T51n2089_001:0977c24	國。大同少異。無問男之與女。並皆著[疊*毛]布衫	國 大 同 少 異 無 問 男 之 與 女 並 皆 著 [疊毛] 布 衫 
T51n2089_001:0977c25	袴及靴。男女衣服無有差別。男人並剪鬚髮。	袴 及 靴 男 女 衣 服 無有差別 男 人 並 剪 鬚 髮 
T51n2089_001:0977c26	女人髮在。土地出駝騾羊馬驢牛[疊*毛]布蒲桃大	女 人 髮 在 土 地 出 駝 騾 羊 馬 驢 牛 [疊毛] 布 蒲 桃 大 
T51n2089_001:0977c27	小二麥欝金香等。國人大敬信三寶。足寺足	小 二 麥 欝 金 香 等 國 人 大 敬 信 三 寶 足 寺 足 
T51n2089_001:0977c28	僧。百姓家各絲造寺。供養三寶。大城中有一	僧 百 姓 家 各 絲 造 寺 供養三寶 大 城 中 有 一 
T51n2089_001:0977c29	寺。名沙糸寺。寺中貝佛螺髻骨舍利見在王	寺 名 沙 糸 寺 寺 中 貝 佛 螺 髻 骨 舍 利 見 在 王 
T51n2089_001:0978a01	官百姓每日供養。此國行小乘。亦住山裏山	官 百 姓 每 日 供 養 此 國 行 小 乘 亦 住 山 裏 山 
T51n2089_001:0978a02	頭無有草木。恰似火燒山也　又從此罽	頭 無 有 草 木 恰 似 火 燒 山 也 又 從 此 罽 
T51n2089_001:0978a03	賓國西行至七日謝[颱台+日]國。彼自呼云社護羅	賓 國 西 行 至 七 日 謝 [颱台日] 國 彼 自 呼 云 社 護 羅 
T51n2089_001:0978a04	薩他那。土人是胡。王及兵馬。即是突厥。其王	薩 他 那 土 人 是 胡 王 及 兵 馬 即 是 突 厥 其 王 
T51n2089_001:0978a05	即是罽賓王姪兒。自把部落兵馬住此於國。	即 是 罽 賓 王 姪 兒 自 把 部 落 兵 馬 住 此 於 國 
T51n2089_001:0978a06	不屬餘國。亦不屬阿叔。此王及首領。雖是突	不 屬 餘 國 亦 不 屬 阿 叔 此 王 及 首 領 雖 是 突 
T51n2089_001:0978a07	厥。極敬三寶。足寺足僧。行大乘法。有一大突	厥 極 敬 三 寶 足 寺 足 僧 行 大 乘 法 有 一 大 突 
T51n2089_001:0978a08	厥首領。名娑鐸幹。每年一迴。設金銀無數。多	厥 首 領 名 娑 鐸 幹 每 年 一 迴 設 金 銀 無 數 多 
T51n2089_001:0978a09	於彼王。衣著人風。土地所出。與罽賓王相似。	於 彼 王 衣 著 人 風 土 地 所 出 與 罽 賓 王 相 似 
T51n2089_001:0978a10	言音各別　又從謝[颱台+日]國。北行七日。至犯	言 音 各 別 又 從 謝 [颱台日] 國 北 行 七 日 至 犯 
T51n2089_001:0978a11	引國。此王是胡。不屬餘國。兵馬強多。諸國不	引 國 此 王 是 胡 不 屬 餘 國 兵 馬 強 多 諸 國 不 
T51n2089_001:0978a12	敢來侵。衣著[疊*毛]布衫皮毬氈衫等類。土地出	敢 來 侵 衣 著 [疊毛] 布 衫 皮 毬 氈 衫 等 類 土 地 出 
T51n2089_001:0978a13	羊馬[疊*毛]布之屬。甚足蒲桃。土地有雪。極寒住	羊 馬 [疊毛] 布 之 屬 甚 足 蒲 桃 土 地 有 雪 極 寒 住 
T51n2089_001:0978a14	多依山。王及首領百姓等。大敬三寶。足寺足	多 依 山 王 及 首 領 百 姓 等 大 敬 三 寶 足 寺 足 
T51n2089_001:0978a15	僧。行大小乘法。此國及謝[颱台+日]等。亦並剪於鬚	僧 行 大 小 乘 法 此 國 及 謝 [颱台日] 等 亦 並 剪 於 鬚 
T51n2089_001:0978a16	髮。人風大分與罽賓相似。別異處多。當土言	髮 人 風 大 分 與 罽 賓 相 似 別 異 處 多 當 土 言 
T51n2089_001:0978a17	音。不同餘國　又從此犯引國。北行二十	音 不 同 餘 國 又 從 此 犯 引 國 北 行 二 十 
T51n2089_001:0978a18	日。至吐火羅國。王住城名為縛底那。見今大	日 至 吐 火 羅 國 王 住 城 名 為 縛 底 那 見 今 大 
T51n2089_001:0978a19	寔兵馬。在彼鎮押。其王被其王被逼。走向東	寔 兵 馬 在 彼 鎮 押 其 王 被 其 王 被 逼 走 向 東 
T51n2089_001:0978a20	一月程。在蒲持山。住見屬大寔所管。言音與	一 月 程 在 蒲 持 山 住 見 屬 大 寔 所 管 言 音 與 
T51n2089_001:0978a21	諸國別。共罽賓國少有相似。多分不同。衣著	諸 國 別 共 罽 賓 國 少 有 相 似 多 分 不 同 衣 著 
T51n2089_001:0978a22	皮毬[疊*毛]布等。上至國王。下及黎庶。皆以皮毬。	皮 毬 [疊毛] 布 等 上 至 國 王 下 及 黎 庶 皆 以 皮 毬 
T51n2089_001:0978a23	為上服。土地足駝騾羊馬[疊*毛]布蒲桃。食唯愛	為 上 服 土 地 足 駝 騾 羊 馬 [疊毛] 布 蒲 桃 食 唯 愛 
T51n2089_001:0978a24	餅。土地寒冷。冬天霜雪也。國王首領及百姓	餅 土 地 寒 冷 冬 天 霜 雪 也 國 王 首 領 及 百 姓 
T51n2089_001:0978a25	等。甚敬三寶。足寺足僧。行小乘法。食內及	等 甚 敬 三 寶 足 寺 足 僧 行 小 乘 法 食 內 及 
T51n2089_001:0978a26	葱蕜等。不事外道。男人並剪鬚髮。女人在髮	葱 蕜 等 不 事 外 道 男 人 並 剪 鬚 髮 女 人 在 髮 
T51n2089_001:0978a27	土地足山　又從吐火羅國。西行一月。至	土 地 足 山 又 從 吐 火 羅 國 西 行 一 月 至 
T51n2089_001:0978a28	波斯國。此王先管大寔。大寔是波斯王放	波 斯 國 此 王 先 管 大 寔 大 寔 是 波 斯 王 放 
T51n2089_001:0978a29	駝戶。於後叛。便殺彼王。自立為主。然今此	駝 戶 於 後 叛 便 殺 彼 王 自 立 為 主 然 今 此 
T51n2089_001:0978b01	國。却被大寔所吞。衣舊著寬[疊*毛]布衫剪鬚髮。	國 却 被 大 寔 所 吞 衣 舊 著 寬 [疊毛] 布 衫 剪 鬚 髮 
T51n2089_001:0978b02	食唯餅肉。縱然有米。亦磨作餅喫也。土地出	食 唯 餅 肉 縱 然 有 米 亦 磨 作 餅 喫 也 土 地 出 
T51n2089_001:0978b03	駝騾羊馬。出高大驢[疊*毛]布寶物。言音各別。不	駝 騾 羊 馬 出 高 大 驢 [疊毛] 布 寶 物 言 音 各 別 不 
T51n2089_001:0978b04	同餘國。土地人性。受與易。常於西海汎舶。	同 餘 國 土 地 人 性 受 與 易 常 於 西 海 汎 舶 
T51n2089_001:0978b05	入南海。向師子國。取諸寶物。所以彼國云	入 南 海 向 師 子 國 取 諸 寶 物 所 以 彼 國 云 
T51n2089_001:0978b06	出寶物。亦向崑崙國取金。亦汎舶漢地。直至	出 寶 物 亦 向 崑 崙 國 取 金 亦 汎 舶 漢 地 直 至 
T51n2089_001:0978b07	廣州。取綾絹絲綿之類。土地出好細疊。國人	廣 州 取 綾 絹 絲 綿 之 類 土 地 出 好 細 疊 國 人 
T51n2089_001:0978b08	愛殺生。事天不識佛法　又從波斯國。北	愛 殺 生 事 天 不 識 佛 法 又 從 波 斯 國 北 
T51n2089_001:0978b09	行十日入山至大寔國。彼王住不本國。見向	行 十 日 入 山 至 大 寔 國 彼 王 住 不 本 國 見 向 
T51n2089_001:0978b10	小拂臨國住也。為打得彼國。彼國復居山島。	小 拂 臨 國 住 也 為 打 得 彼 國 彼 國 復 居 山 島 
T51n2089_001:0978b11	處所極窂。為此就彼。土地出駝騾羊馬疊布	處 所 極 窂 為 此 就 彼 土 地 出 駝 騾 羊 馬 疊 布 
T51n2089_001:0978b12	毛[毯炎+(夗/木)]。亦有寶物。衣著細疊寬衫。衫上又披一	毛 [毯炎夗木] 亦 有 寶 物 衣 著 細 疊 寬 衫 衫 上 又 披 一 
T51n2089_001:0978b13	疊布。以為上服。王及百姓衣服。一種無別。女	疊 布 以 為 上 服 王 及 百 姓 衣 服 一 種 無 別 女 
T51n2089_001:0978b14	人亦著寬衫。男人剪髮在鬚。女人在髮。喫食	人 亦 著 寬 衫 男 人 剪 髮 在 鬚 女 人 在 髮 喫 食 
T51n2089_001:0978b15	無問貴賤。與同一盆而食。手把亦匙箸。取見	無 問 貴 賤 與 同 一 盆 而 食 手 把 亦 匙 箸 取 見 
T51n2089_001:0978b16	極惡。云自手殺而食。得福無量。國人愛殺事	極 惡 云 自 手 殺 而 食 得 福 無 量 國 人 愛 殺 事 
T51n2089_001:0978b17	天。不識佛法。國法無有跪拜法也　又小拂	天 不 識 佛 法 國 法 無 有 跪 拜 法 也 又 小 拂 
T51n2089_001:0978b18	臨國。傍海西北。即是大拂臨國。此王兵馬強	臨 國 傍 海 西 北 即 是 大 拂 臨 國 此 王 兵 馬 強 
T51n2089_001:0978b19	多。不屬餘國。大寔數迴討擊不得。突厥侵亦	多 不 屬 餘 國 大 寔 數 迴 討 擊 不 得 突 厥 侵 亦 
T51n2089_001:0978b20	不得。土地足寶物。甚足駝騾羊馬疊布等物。	不 得 土 地 足 寶 物 甚 足 駝 騾 羊 馬 疊 布 等 物 
T51n2089_001:0978b21	衣著與波斯大寔相似。言音各別不同。	衣 著 與 波 斯 大 寔 相 似 言 音 各 別 不 同 
T51n2089_001:0978b22	又從大寔國已東。並是胡國。即是安國。曹國。	又 從 大 寔 國 已 東 並 是 胡 國 即 是 安 國 曹 國 
T51n2089_001:0978b23	史國。石騾國。米國。康國等。雖各有王並屬	史 國 石 騾 國 米 國 康 國 等 雖 各 有 王 並 屬 
T51n2089_001:0978b24	大寔所管。為國狹小。兵馬不多。不能自護。土	大 寔 所 管 為 國 狹 小 兵 馬 不 多 不 能 自 護 土 
T51n2089_001:0978b25	地出駝騾羊馬疊布之類。衣著疊衫袴等及	地 出 駝 騾 羊 馬 疊 布 之 類 衣 著 疊 衫 袴 等 及 
T51n2089_001:0978b26	皮毬。言音不同諸國　又此六國總事火	皮 毬 言 音 不 同 諸 國 又 此 六 國 總 事 火 
T51n2089_001:0978b27	祆。不識佛法。唯康國有一寺。有一僧。又不解	祆 不 識 佛 法 唯 康 國 有 一 寺 有 一 僧 又 不 解 
T51n2089_001:0978b28	敬也。此等胡國。並剪鬚髮。愛著白[疊*毛]帽子。極	敬 也 此 等 胡 國 並 剪 鬚 髮 愛 著 白 [疊毛] 帽 子 極 
T51n2089_001:0978b29	惡風俗。婚姻交雜。納母及姊妹為妻。波斯國	惡 風 俗 婚 姻 交 雜 納 母 及 姊 妹 為 妻 波 斯 國 
T51n2089_001:0978c01	亦納母為妻。其吐火羅國。乃至罽賓國。犯	亦 納 母 為 妻 其 吐 火 羅 國 乃 至 罽 賓 國 犯 
T51n2089_001:0978c02	引國。謝[颱台+日]國等。兄弟十人五人三人兩人。共	引 國 謝 [颱台日] 國 等 兄 弟 十 人 五 人 三 人 兩 人 共 
T51n2089_001:0978c03	娶一妻。不許各娶一婦恐破家計。	娶 一 妻 不 許 各 娶 一 婦 恐 破 家 計 
T51n2089_001:0978c04	又從康國已東。即跋賀那國。有兩王。縛又	又 從 康 國 已 東 即 跋 賀 那 國 有 兩 王 縛 又 
