X31n0612_001:0605a04	 妙法蓮華經序	 妙法蓮華 經 序 
X31n0612_001:0607b03	照。而通乎晝夜之道。相續無窮。彼佛妙智真明。兼三	照 而 通 乎 晝 夜 之 道 相 續 無 窮 彼 佛 妙 智 真 明 兼 三 
X31n0612_001:0607b04	者之德。故以為號)。	者 之 德 故 以 為 號 
X31n0612_001:0607b05	戒環曰。佛十號。初言本。終言迹。中言德。本謂真性	戒 環 曰 佛 十 號 初 言 本 終 言 迹 中 言 德 本 謂 真 性 
X31n0612_001:0607b06	一切如也。故曰如來。迹謂化道人天尊仰。故曰世	一 切 如 也 故 曰 如 來 迹 謂 化 道 人 天 尊 仰 故 曰 世 
X31n0612_001:0607b07	尊。德即萬德種智事也。為良福田。故應供養。圓具	尊 德 即 萬 德 種 智 事 也 為 良 福 田 故 應 供 養 圓 具 
X31n0612_001:0607b08	四智。故能正遍知。萬行真明曰明行足。善入塵勞。	四 智 故 能 正 遍 知 萬 行 真 明 曰 明 行 足 善 入 塵 勞 
X31n0612_001:0607b09	窮盡萬法。曰善逝世間解證無等等。曰無上士。化	窮 盡 萬 法 曰 善 逝 世 間 解 證 無 等 等 曰 無 上 士 化 
X31n0612_001:0607b10	物不暴。挺然不屈。曰調御丈夫。三界模範。曰天人	物 不 暴 挺 然 不 屈 曰 調御丈夫 三 界 模 範 曰 天 人 
X31n0612_001:0607b11	師。自他覺滿曰佛。總而言之。從如實道來具萬德。	師 自 他 覺 滿 曰 佛 總 而 言 之 從 如 實 道 來 具 萬 德 
X31n0612_001:0607b12	應物為世所尊之號也。	應 物 為 世 所 尊 之 號 也 
X31n0612_001:0607b13	演說正法。初善中善後善。其義深遠。其語巧妙。純一	演 說 正 法 初 善 中 善 後 善 其 義 深 遠 其 語 巧 妙 純 一 
X31n0612_001:0607b14	無雜。具足清白梵行之相。為求聲聞者。說應四諦法。	無 雜 具 足 清 白 梵 行 之 相 為 求聲聞者 說 應 四 諦 法 
X31n0612_001:0607b15	度生老病死。究竟涅槃。為求辟支佛者。說應十二因	度 生老病死 究竟涅槃 為 求 辟 支 佛 者 說 應 十 二 因 
X31n0612_001:0607b16	緣法。為諸菩薩。說應六波羅蜜。令得阿耨多羅三藐	緣 法 為 諸 菩 薩 說 應 六波羅蜜 令 得 阿 耨 多 羅 三 藐 
X31n0612_001:0607b17	三菩提。成一切種智。	三 菩 提 成 一切種智 
X31n0612_001:0607b18	(祥邁曰。四諦者〔菩〕寂集道也)。(祥邁曰。十二因緣者。	 祥 邁 曰 四 諦 者 菩 寂 集 道 也 祥 邁 曰 十二因緣 者 
X31n0612_001:0607b19	無明緣。行緣。識緣。名色緣。六入緣。觸緣。受緣。愛緣。執	無 明 緣 行 緣 識 緣 名 色 緣 六 入 緣 觸 緣 受 緣 愛 緣 執 
X31n0612_001:0607b20	緣。取緣。有緣。生緣也)。(及南曰。於聲聞言涅槃。於辟	緣 取 緣 有 緣 生 緣 也 及 南 曰 於 聲 聞 言 涅 槃 於 辟 
X31n0612_001:0607b21	支菩薩言種智者。聲聞厭生死苦。取滅諦小果。故進	支 菩 薩 言 種 智 者 聲 聞 厭 生 死 苦 取 滅 諦 小 果 故 進 
X31n0612_001:0607b22	之於究竟涅槃。辟支利智。菩薩大根。故成之以一切	之 於 究竟涅槃 辟 支 利 智 菩 薩 大 根 故 成 之 以 一 切 
X31n0612_001:0607b23	種智。一切種智。唯佛能具)。	種 智 一切種智 唯 佛 能 具 
X31n0612_001:0607b24	戒環曰。此敘灯明亦於一乘隨宜說三也。初中後	戒 環 曰 此 敘 灯 明 亦 於 一 乘 隨 宜 說 三 也 初 中 後 
X31n0612_001:0607b25	者。指三乘之法。皆應機契道。無不善也。藉權顯實	者 指 三 乘 之 法 皆 應 機 契 道 無 不 善 也 藉 權 顯 實 
X31n0612_001:0607b26	故其義深遠。方便隨機故其語巧妙。本於一乘故	故 其 義 深 遠 方 便 隨 機 故 其 語 巧 妙 本 於 一 乘 故 
X31n0612_001:0607b27	純一無雜。明菩薩行故具足清白梵行之相。以一	純 一 無 雜 明 菩 薩 行 故 具 足 清 白 梵 行 之 相 以 一 
X31n0612_001:0607c01	乘應三乘而說。故云說應四諦等。於二乘言求。於	乘 應 三 乘 而 說 故 云 說 應 四 諦 等 於 二 乘 言 求 於 
X31n0612_001:0607c02	菩薩不言求者。佛為大事出興。本說教菩薩法。故	菩 薩 不 言 求 者 佛 為 大 事 出 興 本 說 教 菩 薩 法 故 
X31n0612_001:0607c03	不待求。於餘乘非所願說。特因樂小者求而後說	不 待 求 於 餘 乘 非 所 願 說 特 因 樂 小 者 求 而 後 說 
X31n0612_001:0607c04	也。	也 
X31n0612_001:0607c05	次復有佛。亦名日月燈明。次復有佛。亦名日月燈明。	次 復 有 佛 亦 名 日 月 燈 明 次 復 有 佛 亦 名 日 月 燈 明 
X31n0612_001:0607c06	如是二萬佛皆同一字。號日月燈明。又同一姓。姓頗	如 是 二 萬 佛 皆 同 一 字 號 日 月 燈 明 又 同 一 姓 姓 頗 
X31n0612_001:0607c07	羅墮。彌勒當知。初佛後佛。皆同一字。名日月燈明。十	羅 墮 彌 勒 當 知 初 佛 後 佛 皆 同 一 字 名 日 月 燈 明 十 
X31n0612_001:0607c08	號具足。所可說法。初中後善。其最後佛未出家時。有	號 具 足 所 可 說 法 初 中 後 善 其 最 後 佛 未 出 家 時 有 
X31n0612_001:0607c09	八王子。一名有意。二名善意。三名無量意。四名寶意。	八 王 子 一 名 有 意 二 名 善 意 三 名 無 量 意 四 名 寶 意 
X31n0612_001:0607c10	五名增意。六名除疑意。七名響意。八名法意。是八王	五 名 增 意 六 名 除 疑 意 七 名 響 意 八 名 法 意 是 八 王 
X31n0612_001:0607c11	子。威德自在。各領四天下。是諸王子。聞父出家得阿	子 威德自在 各 領 四 天 下 是 諸 王 子 聞 父 出 家 得 阿 
X31n0612_001:0607c12	耨多羅三藐三菩提。悉捨王位。亦隨出家。發大乘意。	耨 多 羅 三藐三菩提 悉 捨 王 位 亦 隨 出 家 發 大 乘 意 
X31n0612_001:0607c13	常修梵行。皆為法師。已於千萬佛所。植諸善本。	常修梵行 皆 為 法 師 已 於 千 萬 佛 所 植 諸 善 本 
X31n0612_001:0607c14	(此又引然灯本始以明妙法傳續之由也。自初燈明	 此 又 引 然 灯 本 始 以 明 妙 法 傳 續 之 由 也 自 初 燈 明 
X31n0612_001:0607c15	至最後燈明。有二萬佛。然灯即最後燈明之王子也	至 最 後 燈 明 有 二 萬 佛 然 灯 即 最 後 燈 明 之 王 子 也 
X31n0612_001:0607c16	名字性皆同者。明道同也。有八王子者。聖人示迹表	名 字 性 皆 同 者 明 道 同 也 有 八 王 子 者 聖 人 示 迹 表 
X31n0612_001:0607c17	法也。依燈明有八意。表從妙明真心。出妙觀察意。其	法 也 依 燈 明 有 八 意 表 從 妙 明 真 心 出 妙 觀 察 意 其 
X31n0612_001:0607c18	用有八也)。(及南曰。智勝王子。有珍玩之具。聞父得	用 有 八 也 及 南 曰 智 勝 王 子 有 珍 玩 之 具 聞 父 得 
X31n0612_001:0607c19	道。捨之而徃。其意同此。心王出三界家。則八識之子	道 捨 之 而 徃 其 意 同 此 心 王 出 三 界 家 則 八 識 之 子 
X31n0612_001:0607c20	隨出。而為諸法師。亦若是矣)。	隨 出 而 為 諸 法 師 亦 若 是 矣 
X31n0612_001:0607c21	戒環曰。妙心本空。而能有用。故名有意。此妙有也。	戒 環 曰 妙 心 本 空 而 能 有 用 故 名 有 意 此 妙 有 也 
X31n0612_001:0607c22	出乎妙心。用無不善。故名善意。此妙善也。量不可	出 乎 妙 心 用 無 不 善 故 名 善 意 此 妙 善 也 量 不 可 
X31n0612_001:0607c23	測。名無量意。此妙量也。對境利用名寶意。此妙寶	測 名 無 量 意 此 妙 量 也 對 境 利 用 名 寶 意 此 妙 寶 
X31n0612_001:0607c24	也。觸類而長名增意。此妙增也。善能覺了名除疑	也 觸 類 而 長 名 增 意 此 妙 增 也 善 能 覺 了 名 除 疑 
X31n0612_001:0607c25	意。此妙覺也。應物如響名響意。此妙響也。建立萬	意 此 妙 覺 也 應 物 如 響 名 響 意 此 妙 響 也 建 立 萬 
X31n0612_001:0607c26	法名法意。此妙法也。領四天下者。未出家時未免	法 名 法 意 此 妙 法 也 領 四 天 下 者 未 出 家 時 未 免 
X31n0612_001:0608a01	物累也。聞父得道捨位出家者。離情去累。乃趣正	物 累 也 聞 父 得 道 捨 位 出 家 者 離 情 去 累 乃 趣 正 
X31n0612_001:0608a02	覺之表也。	覺 之 表 也 
X31n0612_001:0608a03	是時日月灯明佛。說大乘經名無量義教菩薩法佛	是 時 日 月 灯 明 佛 說 大 乘 經 名 無 量 義 教 菩 薩 法 佛 
X31n0612_001:0608a04	所護念。說是經已。即於大眾中。結加趺坐。入於無量	所 護 念 說 是 經 已 即 於 大 眾 中 結加趺坐 入 於 無 量 
X31n0612_001:0608a05	義處三昧。身心不動。彌勒當知。爾時會中有二十億	義 處 三 昧 身 心 不 動 彌 勒 當 知 爾 時 會 中 有 二 十 億 
X31n0612_001:0608a06	菩薩。樂欲聽法。是諸菩薩。見此光明普照佛土。得未	菩 薩 樂 欲 聽 法 是 諸 菩 薩 見 此 光明普照 佛 土 得 未 
X31n0612_001:0608a07	曾有。欲知此光所為因緣。時有菩薩。名曰妙光。有八	曾 有 欲 知 此 光 所 為 因 緣 時 有 菩 薩 名 曰 妙 光 有 八 
X31n0612_001:0608a08	百弟子。是時日月燈明佛。從三昧起。因妙光菩薩。說	百 弟 子 是 時 日 月 燈 明 佛 從 三 昧 起 因 妙 光 菩 薩 說 
X31n0612_001:0608a09	大乘經名妙法蓮華教菩薩法佛所護念。	大 乘 經 名 妙法蓮華 教 菩 薩 法 佛 所 護 念 
X31n0612_001:0608a10	(此言昔眾見瑞。欲知其緣。亦如今眾)。(及南曰。妙光	 此 言 昔 眾 見 瑞 欲 知 其 緣 亦 如 今 眾 及 南 曰 妙 光 
X31n0612_001:0608a11	即文殊前身。昔因妙光而說者。為其為世間眼。能證	即 文 殊 前 身 昔 因 妙 光 而 說 者 為 其 為 世 間 眼 能 證 
X31n0612_001:0608a12	此法故。今亦因其助發)。	此 法 故 今 亦 因 其 助 發 
X31n0612_001:0608a13	六十小劫。不起于座。時會聽者。亦坐一處六十小劫。	六 十 小 劫 不 起 于 座 時 會 聽 者 亦 坐 一 處 六 十 小 劫 
X31n0612_001:0608a14	身心不動。聽佛所說。謂如食頃。是時眾中。無有一人	身 心 不 動 聽 佛 所 說 謂 如 食 頃 是 時 眾 中 無 有 一 人 
X31n0612_001:0608a15	若身若心。而生懈倦。	若 身 若 心 而 生 懈 倦 
X31n0612_001:0608a16	(及南曰。此言法華三昧真知見力。不為頃久推移。不	 及 南 曰 此 言 法華三昧 真 知 見 力 不 為 頃 久 推 移 不 
X31n0612_001:0608a17	為時劫加損故也)。	為 時 劫 加 損 故 也 
X31n0612_001:0608a18	戒環曰。昔眾六十小劫謂如食頃。今眾五十小劫	戒 環 曰 昔 眾 六 十 小 劫 謂 如 食 頃 今 眾 五 十 小 劫 
X31n0612_001:0608a19	謂如半日。皆由得法華三昧。於道不倦如此。	謂 如 半 日 皆 由 得 法華三昧 於 道 不 倦 如 此 
X31n0612_001:0608a20	日月燈明佛。於六十小劫。說是經已。即於梵魔沙門	日 月 燈 明 佛 於 六 十 小 劫 說 是 經 已 即 於 梵 魔 沙 門 
X31n0612_001:0608a21	婆羅門。及天人阿修羅眾中。而宣此言。如來於今日	婆 羅 門 及 天 人 阿 修 羅 眾 中 而 宣 此 言 如 來 於 今 日 
X31n0612_001:0608a22	中夜。當入無餘涅槃。	中 夜 當 入無餘涅槃 
X31n0612_001:0608a23	(祥邁曰。涅槃此云滅度。謂滅盡諸苦。度生死海。真常	 祥 邁 曰 涅 槃 此 云 滅 度 謂 滅 盡 諸 苦 度生死海 真 常 
X31n0612_001:0608a24	道果之號。非喪亡之號也。真常者。生靈性名之大本	道 果 之 號 非 喪 亡 之 號 也 真 常 者 生 靈 性 名 之 大 本 
X31n0612_001:0608a25	也。聖人復還元覺。不沉諸妄。不受諸變。故曰真常。與	也 聖 人 復 還 元 覺 不 沉 諸 妄 不 受 諸 變 故 曰 真 常 與 
X31n0612_001:0608a26	儒所謂復則不妄。老所謂復命曰常。同意)。	儒 所 謂 復 則 不 妄 老 所 謂 復 命 曰 常 同 意 
X31n0612_001:0608a27	經已唱滅。欲付大事。故今佛經已。亦云不久涅槃。	經 已 唱 滅 欲 付 大 事 故 今 佛 經 已 亦 云 不 久 涅 槃 
X31n0612_001:0608b01	欲以妙法付囑有在也。有餘無餘者。小乘厭生死	欲 以 妙 法 付 囑 有 在 也 有 餘 無 餘 者 小 乘 厭 生 死 
X31n0612_001:0608b02	苦。欲速出三界。滯於偏真。證性未圓。故名有餘。大	苦 欲 速 出 三 界 滯 於 偏 真 證 性 未 圓 故 名 有 餘 大 
X31n0612_001:0608b03	乘離生死。見無退無出。凝然常寂。證性已圓。故名	乘 離 生 死 見 無 退 無 出 凝 然 常 寂 證 性 已 圓 故 名 
X31n0612_001:0608b04	無餘。今云入涅槃者。示脫幻妄塵擾。而反乎本真	無 餘 今 云 入 涅 槃 者 示 脫 幻 妄 塵 擾 而 反 乎 本 真 
X31n0612_001:0608b05	凝寂也。	凝 寂 也 
X31n0612_001:0608b06	時有菩薩。名曰德藏。日月燈明佛。即授其記。告諸比	時 有 菩 薩 名 曰 德 藏 日 月 燈 明 佛 即 授 其 記 告 諸 比 
X31n0612_001:0608b07	丘。是德藏菩薩。次當作佛。號曰淨身。多陀阿伽度。阿	丘 是 德 藏 菩 薩 次 當 作 佛 號 曰 淨 身 多 陀 阿 伽 度 阿 
X31n0612_001:0608b08	羅訶。三藐三佛陀。佛授記已。便於中夜。入無餘涅槃。	羅 訶 三藐三佛陀 佛 授 記 已 便 於 中 夜 入無餘涅槃 
X31n0612_001:0608b09	(祥邁曰。多陀阿伽度。云如來。阿羅訶云應供。三藐三	 祥 邁 曰 多 陀 阿 伽 度 云 如 來 阿 羅 訶 云 應 供 三 藐 三 
X31n0612_001:0608b10	佛云正遍正覺。略稱十號之三也)。	佛 云 正 遍 正 覺 略 稱 十 號 之 三 也 
X31n0612_001:0608b11	戒環曰。亦如今說經後。記諸弟子也。	戒 環 曰 亦 如 今 說 經 後 記 諸 弟 子 也 
X31n0612_001:0608b12	佛滅度後。妙光菩薩。持妙法蓮華經。滿八十小劫。為	佛 滅 度 後 妙 光 菩 薩 持 妙法蓮華 經 滿 八 十 小 劫 為 
X31n0612_001:0608b13	人演說。日月燈明佛八子。皆師妙光。妙光教化。令其	人 演 說 日 月 燈 明 佛 八 子 皆 師 妙 光 妙 光 教 化 令 其 
X31n0612_001:0608b14	堅固阿耨多羅三藐三菩提。是諸王子。供養無量百	堅 固 阿耨多羅三藐三菩提 是 諸 王 子 供 養 無 量 百 
X31n0612_001:0608b15	千萬億佛。已皆成佛道。其最後成佛者。名曰然燈。	千 萬 億 佛 已 皆 成 佛 道 其 最 後 成 佛 者 名 曰 然 燈 
X31n0612_001:0608b16	(及南曰。是道出於本覺明心。而常資妙光。智體傳續	 及 南 曰 是 道 出 於 本 覺 明 心 而 常 資 妙 光 智 體 傳 續 
X31n0612_001:0608b17	不窮。如一燈明然百千灯。其明不窮。其光不二。此妙	不 窮 如 一 燈 明 然 百 千 灯 其 明 不 窮 其 光 不 二 此 妙 
X31n0612_001:0608b18	法大本也。故援引止此)。(祥邁曰。大覺滅度譬薪火	法 大 本 也 故 援 引 止 此 祥 邁 曰 大 覺 滅 度 譬 薪 火 
X31n0612_001:0608b19	者。以薪雖窮。而火傳不知其盡。所謂不滅也)。	者 以 薪 雖 窮 而 火 傳 不 知 其 盡 所 謂 不 滅 也 
X31n0612_001:0608b20	戒環曰。妙光。昔助燈明為然燈之師。今助釋迦續	戒 環 曰 妙 光 昔 助 燈 明 為 然 燈 之 師 今 助 釋 迦 續 
X31n0612_001:0608b21	燈明之道。八子生於燈明師於妙光。至其成佛。又	燈 明 之 道 八 子 生 於 燈 明 師 於 妙 光 至 其 成 佛 又 
X31n0612_001:0608b22	號然燈。而然燈又為釋迦之師。	號 然 燈 而 然 燈 又 為 釋 迦 之 師 
X31n0612_001:0608b23	八百弟子中。有一人。號曰求名。貪著利養。雖復讀誦	八 百 弟 子 中 有 一 人 號 曰 求 名 貪 著 利 養 雖 復 讀 誦 
X31n0612_001:0608b24	眾經。而不通利。多所忘失。故號求名。是人亦以種諸	眾 經 而 不 通 利 多 所 忘 失 故 號 求 名 是 人 亦 以 種 諸 
X31n0612_001:0608b25	善根因緣故。得值無量百千萬億諸佛。供養恭敬。尊	善 根 因 緣 故 得 值 無量百千萬億 諸 佛 供養恭敬 尊 
X31n0612_001:0608b26	重讚歎。	重 讚 歎 
X31n0612_001:0608c01	(及南曰。彌勒初心。貪着小乘利養。故於眾經。唯求名	 及 南 曰 彌 勒 初 心 貪 着 小 乘 利 養 故 於 眾 經 唯 求 名 
X31n0612_001:0608c02	言。無所通達。忘失正見。蒙灯明教故。得值多佛趨補	言 無 所 通 達 忘 失 正 見 蒙 灯 明 教 故 得 值 多 佛 趨 補 
X31n0612_001:0608c03	處)。	處 
X31n0612_001:0608c04	彌勒當知。爾時妙光菩薩。豈異人乎。我身是也。求名	彌 勒 當 知 爾 時 妙 光 菩 薩 豈 異 人 乎 我 身 是 也 求 名 
X31n0612_001:0608c05	菩薩。汝身是也。今見此瑞。與本無異。是故惟忖。今日	菩 薩 汝 身 是 也 今 見 此 瑞 與 本 無 異 是 故 惟 忖 今 日 
X31n0612_001:0608c06	如來。當說大乘經。名妙法蓮華。教菩薩法。佛所護念。	如 來 當 說 大 乘 經 名 妙法蓮華 教 菩 薩 法 佛 所 護 念 
X31n0612_001:0608c07	(祥邁曰。引瑞事同。今所忖唯此。且又廣引三昧唱滅	 祥 邁 曰 引 瑞 事 同 今 所 忖 唯 此 且 又 廣 引 三 昧 唱 滅 
X31n0612_001:0608c08	等者。意在冥敘一經本末。故廣引之。事皆契後文)。	等 者 意 在 冥 敘 一 經 本 末 故 廣 引 之 事 皆 契 後 文 
X31n0612_001:0608c09	戒環曰。今昔之事。宛然相契。則將說法華。斷可忖矣。	戒 環 曰 今 昔 之 事 宛 然 相 契 則 將 說 法 華 斷 可 忖 矣 
X31n0612_001:0608c10	○方便品第二	 方 便 品 第 二 
X31n0612_001:0608c11	方便者。謂諸法寂滅相。不可言說。惟方便開示。使	方 便 者 謂 諸 法 寂 滅 相 不可言說 惟 方 便 開 示 使 
X31n0612_001:0608c12	自得之。	自 得 之 
X31n0612_001:0608c13	爾時世尊。從三昧安詳而起。告舍利弗。諸佛智慧。甚	爾 時 世 尊 從 三 昧 安 詳 而 起 告 舍 利 弗 諸 佛 智 慧 甚 
X31n0612_001:0608c14	深無量。其智慧門。難解難入。一切聲聞辟支佛。所不	深 無 量 其 智 慧 門 難解難入 一 切 聲 聞 辟 支 佛 所 不 
X31n0612_001:0608c15	能知。	能 知 
X31n0612_001:0608c16	(□□□□無量義三昧起也□□二智一乘之深也。	 無 量 義 三 昧 起 也 二 智 一 乘 之 深 也 
X31n0612_001:0608c17	諸佛智慧。指權實二智也。權智說法。實智證法。其智	諸 佛 智 慧 指 權 實 二 智 也 權 智 說 法 實 智 證 法 其 智 
X31n0612_001:0608c18	慧門。指一乘妙法也)。	慧 門 指 一 乘 妙 法 也 
