T85n2768_001:0329a03	維摩義記	維 摩 義 記 
T85n2768_001:0337c11	乘性地心乃消。昇降可知。第三從或有佛土	乘 性 地 心 乃 消 昇 降 可 知 第 三 從 或 有 佛 土 
T85n2768_001:0337c12	訖入諸法門。廣明萬法皆為修道之緣。就緣	訖 入 諸 法 門 廣 明 萬 法 皆 為 修 道 之 緣 就 緣 
T85n2768_001:0337c13	而辨故以光明等是佛事。第四從入此門者訖	而 辨 故 以 光 明 等 是 佛 事 第 四 從 入 此 門 者 訖 
T85n2768_001:0337c14	所不能作譏切他方處淨不欣涉穢不威不恃	所 不 能 作 譏 切 他 方 處 淨 不 欣 涉 穢 不 威 不 恃 
T85n2768_001:0337c15	己德謙下接哉知大覺等均其土不異方便不	己 德 謙 下 接 哉 知 大 覺 等 均 其 土 不 異 方 便 不 
T85n2768_001:0337c16	同菩薩之道成。第五從眾香訖現佛國異。上	同 菩薩之道 成 第 五 從 眾 香 訖 現 佛 國 異 上 
T85n2768_001:0337c17	明戒勅諸人應無彼此。此明自責悔過懺悔	明 戒 勅 諸 人 應 無 彼 此 此 明 自 責 悔 過 懺 悔 
T85n2768_001:0337c18	除罪。大士內實無累。為引未來不退之流。第	除 罪 大 士 內 實 無 累 為 引 未 來 不 退 之 流 第 
T85n2768_001:0337c19	六從願賜少法訖品。請法還國憶念如來此	六 從 願 賜 少 法 訖 品 請 法 還 國 憶 念 如 來 此 
T85n2768_001:0337c20	言稱揚皆是益物之道。佛答有盡不盡法門。	言 稱 揚 皆 是 益 物 之 道 佛 答 有 盡 不 盡 法 門 
T85n2768_001:0337c21	上言以收萬行名為少法。有為之法虛偽生	上 言 以 收 萬 行 名 為 少 法 有 為 之 法 虛 偽 生 
T85n2768_001:0337c22	滅假名為盡。無為之法寂滅無性假名為不	滅 假 名 為 盡 無 為 之 法 寂 滅 無 性 假 名 為 不 
T85n2768_001:0337c23	盡。著之則縛於二不著名解脫。與二解之心	盡 著 之 則 縛 於 二 不 著 名 解 脫 與 二 解 之 心 
T85n2768_001:0337c24	為軌名法。能通妙智故名為門。汝等當學此	為 軌 名 法 能 通 妙 智 故 名 為 門 汝 等 當 學 此 
T85n2768_001:0337c25	理何謂。盡名有為。不盡名無為。開章門如菩	理 何 謂 盡 名 有 為 不 盡 名 無 為 開 章 門 如 菩 
T85n2768_001:0337c26	薩所行者。不應盡有為。所以爾者。若盡有為	薩 所 行 者 不 應 盡 有 為 所 以 爾 者 若 盡 有 為 
T85n2768_001:0337c27	則萬行不成不能資空不著。若住無為不能	則 萬 行 不 成 不 能 資 空 不 著 若 住 無 為 不 能 
T85n2768_001:0337c28	資成萬行。故不得住二邊。就不盡有為中大	資 成 萬 行 故 不 得 住 二 邊 就 不 盡 有 為 中 大 
T85n2768_001:0337c29	泮有三段。第一從不離大悲以下至無有疲	泮 有 三 段 第 一 從 不 離 大 悲 以 下 至 無 有 疲 
T85n2768_001:0338a01	厭。就惡國明。菩薩不盡有為所以名惡國。猶	厭 就 惡 國 明 菩 薩 不 盡 有 為 所 以 名 惡 國 猶 
T85n2768_001:0338a02	有三界因果之患故言惡國。志常安住以下	有 三 界 因 果 之 患 故 言 惡 國 志 常 安 住 以 下 
T85n2768_001:0338a03	至無有齊限。明雜惡國。菩薩不盡有為所以	至 無 有 齊 限 明 雜 惡 國 菩 薩 不 盡 有 為 所 以 
T85n2768_001:0338a04	名雜惡者。第七地明非有煩惱。非有者無三	名 雜 惡 者 第 七 地 明 非 有 煩 惱 非 有 者 無 三 
T85n2768_001:0338a05	界之麁。非無者有三種愛心。故言雜也。以諸	界 之 麁 非 無 者 有 三 種 愛 心 故 言 雜 也 以 諸 
T85n2768_001:0338a06	淨國以下明淨國。菩薩不盡有為義。不得捨	淨 國 以 下 明 淨 國 菩 薩 不 盡 有 為 義 不 得 捨 
T85n2768_001:0338a07	有為身。守靜不化仰以然。若離大悲。則功德	有 為 身 守 靜 不 化 仰 以 然 若 離 大 悲 則 功 德 
T85n2768_001:0338a08	不滿。無資成義。智若不成。於法相有滯。何能	不 滿 無 資 成 義 智 若 不 成 於 法 相 有 滯 何 能 
T85n2768_001:0338a09	導成萬行功德。智惠不備。大果理隔。故不捨	導 成 萬 行 功 德 智 惠 不 備 大 果 理 隔 故 不 捨 
T85n2768_001:0338a10	大悲等行。自下解不盡有為義。慈悲行備。自	大 悲 等 行 自 下 解 不 盡 有 為 義 慈 悲 行 備 自 
T85n2768_001:0338a11	能發菩提之心畢竟不忘。化眾生時心無厭	能 發 菩提之心 畢 竟 不 忘 化 眾 生 時 心 無 厭 
T85n2768_001:0338a12	倦。若欲接無私。要以四攝方盡。修護法行不	倦 若 欲 接 無 私 要 以 四 攝 方 盡 修 護 法 行 不 
T85n2768_001:0338a13	惜身命。懃種善根。應死疲厭。此二句似己自	惜 身 命 懃 種 善 根 應 死 疲 厭 此 二 句 似 己 自 
T85n2768_001:0338a14	修行。安住方便以下似雜惡國外化。就外化	修 行 安 住 方 便 以 下 似 雜 惡 國 外 化 就 外 化 
T85n2768_001:0338a15	少有內行。曾發大心忘而起或名墮。還教大	少 有 內 行 曾 發 大 心 忘 而 起 或 名 墮 還 教 大 
T85n2768_001:0338a16	乘小乘貴於遠離。大士處亂化物不欣為義。	乘 小 乘 貴 於 遠 離 大 士 處 亂 化 物 不 欣 為 義 
T85n2768_001:0338a17	不染諸禪為樂。如遊地獄。不生著心。樂處地	不 染 諸 禪 為 樂 如 遊 地 獄 不 生 著 心 樂 處 地 
T85n2768_001:0338a18	獄教化。如遊薗苑之無礙。見有求法生我福	獄 教 化 如 遊 薗 苑 之 無 礙 見 有 求 法 生 我 福 
T85n2768_001:0338a19	處即是我善師。行施時願未來成一切智。發	處 即 是 我 善 師 行 施 時 願 未 來 成 一 切 智 發 
T85n2768_001:0338a20	八萬善無其時限。至果方捨。見一切淨國。願	八 萬 善 無 其 時 限 至 果 方 捨 見 一 切 淨 國 願 
T85n2768_001:0338a21	未來成己佛土亦然。憶生死無量劫來苦而懃	未 來 成 己 佛 土 亦 然 憶 生 死 無 量 劫 來 苦 而 懃 
T85n2768_001:0338a22	化眾生。故名勇。聞說無量德行。志修不惓。用	化 眾 生 故 名 勇 聞 說 無 量 德 行 志 修 不 惓 用 
T85n2768_001:0338a23	智斷生死若劍。已無患累。能濟有心。拔苦盡	智 斷 生 死 若 劍 已 無 患 累 能 濟 有 心 拔 苦 盡 
T85n2768_001:0338a24	原故言永使解脫。精進有中摧魔。亦求解無	原 故 言 永 使 解 脫 精 進 有 中 摧 魔 亦 求 解 無 
T85n2768_001:0338a25	之智。是名不盡有為。何謂不住無為者。雖修	之 智 是 名 不 盡 有 為 何 謂 不 住 無 為 者 雖 修 
T85n2768_001:0338a26	三空之解。有中之心不證空。而不化小乘修	三 空 之 解 有 中 之 心 不 證 空 而 不 化 小 乘 修 
T85n2768_001:0338a27	空。謂萬法空故無其一實。勝如優劣。進修之	空 謂 萬 法 空 故 無 其 一 實 勝 如 優 劣 進 修 之 
T85n2768_001:0338a28	者何所化也。菩薩雖知無實解。緣假不無。懃	者 何 所 化 也 菩 薩 雖 知 無 實 解 緣 假 不 無 懃 
T85n2768_001:0338a29	化不息。觀無起無常空而順有中修善。故言	化 不 息 觀 無 起 無 常 空 而 順 有 中 修 善 故 言 
T85n2768_001:0338b01	不厭善本。常觀苦而不惡生死。在中施化。雖	不 厭 善 本 常 觀 苦 而 不 惡 生 死 在 中 施 化 雖 
T85n2768_001:0338b02	觀無我空。而誨假名行人不惓。觀空寂理。	觀 無 我 空 而 誨 假 名 行 人 不 惓 觀 空 寂 理 
T85n2768_001:0338b03	不聞小乘永寂。涅槃諸句類爾。本願欲作佛	不 聞 小 乘 永 寂 涅 槃 諸 句 類 爾 本 願 欲 作 佛 
T85n2768_001:0338b04	未成終不虛。發誓而不為福。反空化有。豈著	未 成 終 不 虛 發 誓 而 不 為 福 反 空 化 有 豈 著 
T85n2768_001:0338b05	向者空。故言不住無為。互舉欲具為福德。不	向 者 空 故 言 不 住 無 為 互 舉 欲 具 為 福 德 不 
T85n2768_001:0338b06	住無為空要須涉有。總舉上不住無為具智	住 無 為 空 要 須 涉 有 總 舉 上 不 住 無 為 具 智 
T85n2768_001:0338b07	惠要。善修於空無著故不得盡有為。別明為	惠 要 善 修 於 空 無 著 故 不 得 盡 有 為 別 明 為 
T85n2768_001:0338b08	成大慈悲行故不住無為空。為滿本願令不	成 大 慈 悲 行 故 不 住 無 為 空 為 滿 本 願 令 不 
T85n2768_001:0338b09	虛故。有中修福不得盡有為。欲集萬善法藥	虛 故 有 中 修 福 不 得 盡 有 為 欲 集 萬 善 法 藥 
T85n2768_001:0338b10	故。豈住空不化。欲知根授藥故不得盡有為。	故 豈 住 空 不 化 欲 知 根 授 藥 故 不 得 盡 有 為 
T85n2768_001:0338b11	下問可知也。	下 問 可 知 也 
T85n2768_001:0338b12	見阿閦佛品	見 阿 閦 佛 品 
T85n2768_001:0338b13	就胡本故言見阿閦品。向二大士與眾俱到	就 胡 本 故 言 見 阿 閦 品 向 二 大 士 與 眾 俱 到 
T85n2768_001:0338b14	佛所見於如來。存見有實如來可見。是以遣	佛 所 見 於 如 來 存 見 有 實 如 來 可 見 是 以 遣 
T85n2768_001:0338b15	之。問。汝作何等觀。不敢直指。大聖。先觀己	之 問 汝 作 何 等 觀 不 敢 直 指 大 聖 先 觀 己 
T85n2768_001:0338b16	身以類佛身。乃至萬法前際不來者。外道計	身 以 類 佛 身 乃 至 萬 法 前 際 不 來 者 外 道 計 
T85n2768_001:0338b17	有神我。道場成大覺之我。今明眾生中無神	有 神 我 道 場 成 大 覺 之 我 今 明 眾 生 中 無 神 
T85n2768_001:0338b18	我成佛。故言前際不來。計成佛已未來壽命	我 成 佛 故 言 前 際 不 來 計 成 佛 已 未 來 壽 命 
T85n2768_001:0338b19	逕無量劫。今明無實如來壽命逕無量劫。故	逕 無 量 劫 今 明 無 實 如 來 壽 命 逕 無 量 劫 故 
T85n2768_001:0338b20	言後際不去。現在無實如來住。現在世不觀	言 後 際 不 去 現 在 無 實 如 來 住 現 在 世 不 觀 
T85n2768_001:0338b21	色有實不觀色如性。不觀有定性類於心餘句	色 有 實 不 觀 色 如 性 不 觀 有 定 性 類 於 心 餘 句 
T85n2768_001:0338b22	可知。次明法身妙有非緣假故無。非四大起	可 知 次 明 法 身 妙 有 非 緣 假 故 無 非 四 大 起 
T85n2768_001:0338b23	者。法身妙出不為四大所成。無四大義。同虛	者 法 身 妙 出 不 為 四 大 所 成 無 四 大 義 同 虛 
T85n2768_001:0338b24	空亦不積。六入成妙過諸根。亦非三界垢因	空 亦 不 積 六 入 成 妙 過 諸 根 亦 非 三 界 垢 因 
T85n2768_001:0338b25	所成。故不在三界。向明如來法身不為色所	所 成 故 不 在 三 界 向 明 如來法身 不 為 色 所 
T85n2768_001:0338b26	成。次明如來妙解順於三空解。明無明等空。	成 次 明 如 來 妙 解 順 於 三 空 解 明 無 明 等 空 
T85n2768_001:0338b27	不一不異以下明法身妙有。百非之表。像不	不 一 不 異 以 下 明 法 身 妙 有 百 非 之 表 像 不 
T85n2768_001:0338b28	可尋。無相可說。故寄妙應以辨之。有本則垂	可 尋 無 相 可 說 故 寄 妙 應 以 辨 之 有 本 則 垂 
T85n2768_001:0338b29	迹。萬差無定一也。迹不殊本。言不異。無心	迹 萬 差 無 定 一 也 迹 不 殊 本 言 不 異 無 心 
T85n2768_001:0338c01	於感物見利生。言非自。法身物無不濟。故非	於 感 物 見 利 生 言 非 自 法 身 物 無 不 濟 故 非 
T85n2768_001:0338c02	他。妙有不同太虛。非無相。法身絕於有心。	他 妙 有 不 同 太 虛 非 無 相 法 身 絕 於 有 心 
T85n2768_001:0338c03	故不取相。法身不在此生死中不在彼無為	故 不 取 相 法 身 不 在 此 生 死 中 不 在 彼 無 為 
T85n2768_001:0338c04	涅槃中也。不中流者。不同眾聖賢。雖絕於三	涅 槃 中 也 不 中 流 者 不 同 眾 聖 賢 雖 絕 於 三 
T85n2768_001:0338c05	非。如妙應不絕。向是妙有湛然常靜。而影現	非 如 妙 應 不 絕 向 是 妙 有 湛 然 常 靜 而 影 現 
T85n2768_001:0338c06	萬方。今明觀於寂滅而垂迹於邦。此語妙應	萬 方 今 明 觀 於 寂 滅 而 垂 迹 於 邦 此 語 妙 應 
T85n2768_001:0338c07	之體。又明妙身心不在此方不在彼方。小異	之 體 又 明 妙 身 心 不 在 此 方 不 在 彼 方 小 異 
T85n2768_001:0338c08	上也。而未始不此彼。若作此彼定心而緣。永	上 也 而 未 始 不 此 彼 若 作 此 彼 定 心 而 緣 永 
T85n2768_001:0338c09	乖其旨。智所不能知。豈是識之所及也。妙智	乖 其 旨 智 所 不 能 知 豈 是 識 之 所 及 也 妙 智 
T85n2768_001:0338c10	幽鑒故無晦。現為不達故無明。名所不加體	幽 鑒 故 無 晦 現 為 不 達 故 無 明 名 所 不 加 體 
T85n2768_001:0338c11	相亦夷齊。現嬰弱故無強。生老不組故非弱。	相 亦 夷 齊 現 嬰 弱 故 無 強 生 老 不 組 故 非 弱 
T85n2768_001:0338c12	現有恚礙非淨。永拂塵累曰非穢。高栖環中	現 有 恚 礙 非 淨 永 拂 塵 累 曰 非 穢 高 栖 環 中 
T85n2768_001:0338c13	不在方。像無不則不離方。真體淡泊故非有	不 在 方 像 無 不 則 不 離 方 真 體 淡 泊 故 非 有 
T85n2768_001:0338c14	為。飛馳六道故非無為。從天示以下明絕眾	為 飛 馳 六 道 故 非 無 為 從 天 示 以 下 明 絕 眾 
T85n2768_001:0338c15	相盡言語道斷也。冥於名相豈言所能名。定	相 盡 言語道斷 也 冥 於 名 相 豈 言 所 能 名 定 
T85n2768_001:0338c16	求則乖其妙體。非福田契福。非不福田既無	求 則 乖 其 妙 體 非 福 田 契 福 非 不 福 田 既 無 
T85n2768_001:0338c17	定。作福田之者何有實。應供生敬則福生。焉	定 作 福 田 之 者 何 有 實 應 供 生 敬 則 福 生 焉 
T85n2768_001:0338c18	得言應供。無應供者可取。不應供可捨。相無	得 言 應 供 無 應 供 者 可 取 不 應 供 可 捨 相 無 
T85n2768_001:0338c19	兩冥。所以同真際等法性。非曰空同不為金	兩 冥 所 以 同 真 際 等 法 性 非 曰 空 同 不 為 金 
T85n2768_001:0338c20	剛以還心所稱量。過稱量境。細入故非大。彌	剛 以 還 心 所 稱 量 過 稱 量 境 細 入 故 非 大 彌 
T85n2768_001:0338c21	淪故非小。體絕諸塵之數。所以有而不同塵	淪 故 非 小 體 絕 諸 塵 之 數 所 以 有 而 不 同 塵 
T85n2768_001:0338c22	者。永斷結縛故能然也。等三乘法現同一切	者 永 斷 結 縛 故 能 然 也 等 三 乘 法 現 同 一 切 
T85n2768_001:0338c23	眾生人間也。法無分別者。現同萬法。雖等三	眾 生 人 間 也 法 無 分 別 者 現 同 萬 法 雖 等 三 
T85n2768_001:0338c24	乘同眾生均萬法。而不實同。一切無失以下	乘 同 眾 生 均 萬 法 而 不 實 同 一 切 無 失 以 下 
T85n2768_001:0338c25	至顯示。復明絕於眾相。如來應身妙絕。即法	至 顯 示 復 明 絕 於 眾 相 如 來 應 身 妙 絕 即 法 
T85n2768_001:0338c26	身之相應作如是觀。若異此觀即是邪觀也。	身 之 相 應 作 如 是 觀 若 異 此 觀 即 是 邪 觀 也 
T85n2768_001:0338c27	法供養品	法 供 養 品 
T85n2768_001:0338c28	此品由是前品四依流通。但流通三時稱於	此 品 由 是 前 品 四 依 流 通 但 流 通 三 時 稱 於 
T85n2768_001:0338c29	佛心。言法供養也。此品大泮凡有二段。第	佛 心 言 法 供 養 也 此 品 大 泮 凡 有 二 段 第 
T85n2768_001:0339a01	一明現在法供養。二明引住證。今第一從	一 明 現 在 法 供 養 二 明 引 住 證 今 第 一 從 
T85n2768_001:0339a02	初始至福不可量。明今日也。故言不可思	初 始 至 福 不 可 量 明 今 日 也 故 言 不 可 思 
T85n2768_001:0339a03	議。自在神通者明二諦之理。亡於思量。卑	議 自 在 神 通 者 明 二 諦 之 理 亡 於 思 量 卑 
T85n2768_001:0339a04	事無滯。言自在神通也。決定實相經典者。	事 無 滯 言 自 在 神 通 也 決 定 實 相 經 典 者 
T85n2768_001:0339a05	明第一義諦。此理分明故言決定實相典也。	明 第一義諦 此 理 分 明 故 言 決 定 實 相 典 也 
T85n2768_001:0339a06	我解佛以下至必得不疑。明四依弟子信解。	我 解 佛 以 下 至 必 得 不 疑 明 四 依 弟 子 信 解 
T85n2768_001:0339a07	受持不疑明弟子法供養。何況如說修行以	受 持 不 疑 明 弟 子 法 供 養 何 況 如說修行 以 
T85n2768_001:0339a08	下。明四依法養。第二從引藥王以下盡品。證	下 明 四 依 法 養 第 二 從 引 藥 王 以 下 盡 品 證 
T85n2768_001:0339a09	明法供養。諸佛所說深經者。明第一義諦。幽	明 法 供 養 諸佛所說 深 經 者 明 第一義諦 幽 
T85n2768_001:0339a10	而難測故言深經。難信難受者。此理既深。明	而 難 測 故 言 深 經 難 信 難 受 者 此 理 既 深 明 
T85n2768_001:0339a11	信受者難也。理既幽深言微妙。契之者希言	信 受 者 難 也 理 既 幽 深 言 微 妙 契 之 者 希 言 
T85n2768_001:0339a12	難見。其體激然言清淨無染。此理絕想故言	難 見 其 體 激 然 言 清 淨 無 染 此 理 絕 想 故 言 
T85n2768_001:0339a13	非思量分別所得也。二諦之理出生萬善言	非 思 量 分 別 所 得 也 二 諦 之 理 出 生 萬 善 言 
T85n2768_001:0339a14	法藏。陀羅尼者。萬法無非是總。萬法皆空。	法 藏 陀 羅 尼 者 萬 法 無 非 是 總 萬 法 皆 空 
T85n2768_001:0339a15	是為無法不攝。言陀羅尼也。印之者。世印印	是 為 無 法 不 攝 言 陀 羅 尼 也 印 之 者 世 印 印 
T85n2768_001:0339a16	物以文生。此空理印物則萬物空理文生。至	物 以 文 生 此 空 理 印 物 則 萬 物 空 理 文 生 至 
T85n2768_001:0339a17	不退轉者。此理能使人得不退之解。成就六	不 退 轉 者 此 理 能 使 人 得 不 退 之 解 成 就 六 
T85n2768_001:0339a18	度者。明以空義故成就六度也。善分別義者。	度 者 明 以 空 義 故 成 就 六 度 也 善 分 別 義 者 
T85n2768_001:0339a19	明由有空故萬善各分而生。順菩提法順無	明 由 有 空 故 萬 善 各 分 而 生 順 菩 提 法 順 無 
T85n2768_001:0339a20	相之解。第一義諦於俗為上以言眾經之上	相 之 解 第一義諦 於 俗 為 上 以 言 眾 經 之 上 
T85n2768_001:0339a21	也。由空故慈悲成。廣離諸惡見也。順因緣	也 由 空 故 慈 悲 成 廣 離 諸 惡 見 也 順 因 緣 
T85n2768_001:0339a22	法者。明緣假故有無性故言順因緣。無我無	法 者 明 緣 假 故 有 無 性 故 言 順 因 緣 無 我 無 
T85n2768_001:0339a23	眾生無壽命者。明眾生空。空無相等者。明法	眾 生 無 壽 命 者 明 眾 生 空 空 無 相 等 者 明 法 
T85n2768_001:0339a24	空。能令眾生坐於道場以下還明空有相成。	空 能 令 眾 生 坐 於 道 場 以 下 還 明 空 有 相 成 
T85n2768_001:0339a25	又於諸法以下。由是法供養但自轉明利。依	又 於 諸 法 以 下 由 是 法 供 養 但 自 轉 明 利 依 
T85n2768_001:0339a26	於義者。明四依不次。依義在前。何以而然。義	於 義 者 明 四 依 不 次 依 義 在 前 何 以 而 然 義 
T85n2768_001:0339a27	便故爾。前明無生忍。是第一義。此便故先明	便 故 爾 前 明 無 生 忍 是 第 一 義 此 便 故 先 明 
T85n2768_001:0339a28	依義也。下皆爾。	依 義 也 下 皆 爾 
T85n2768_001:0339a29	囑累品	囑 累 品 
T85n2768_001:0339b01	上依未來以弘通故言囑累。初至而為廣說。	上 依 未 來 以 弘 通 故 言 囑 累 初 至 而 為 廣 說 
T85n2768_001:0339b02	委上依以弘通。從彌勒當知以下。示上依之	委 上 依 以 弘 通 從 彌 勒 當 知 以 下 示 上 依 之 
T85n2768_001:0339b03	人未來弘通經時識其惡也。如汝所說吾助	人 未 來 弘 通 經 時 識 其 惡 也 如 汝 所 說 吾 助 
T85n2768_001:0339b04	爾喜者。一明上依能離其惡。二明未來能弘	爾 喜 者 一 明 上 依 能 離 其 惡 二 明 未 來 能 弘 
T85n2768_001:0339b05	通經。有二義稱聖心。所以喜。於是一切菩	通 經 有 二 義 稱 聖 心 所 以 喜 於 是 一 切 菩 
T85n2768_001:0339b06	薩以下。明下依以流通。爾時四天王以下。明	薩 以 下 明 下 依 以 流 通 爾 時 四 天 王 以 下 明 
T85n2768_001:0339b07	四天王擁護持經人。有二義。如前佛喜也。告	四 天 王 擁 護 持 經 人 有 二 義 如 前 佛 喜 也 告 
T85n2768_001:0339b08	阿難以下。勸上四依未來弘通其經。佛告阿	阿 難 以 下 勸 上 四 依 未 來 弘 通 其 經 佛 告 阿 
T85n2768_001:0339b09	難通其文。已受持要者。受持二諦之要者。當	難 通 其 文 已 受 持 要 者 受 持 二 諦 之 要 者 當 
T85n2768_001:0339b10	何名斯經者。問其名目以受持也。	何 名 斯 經 者 問 其 名 目 以 受 持 也 
T85n2768_001:0339b11	景明原年二月二十二日比丘曇興於定州	景 明 原 年 二 月 二 十 二 日 比 丘 曇 興 於 定 州 
T85n2768_001:0339b12	豐樂寺寫訖	豐 樂 寺 寫 訖 
T85n2768_001:0339b13	維摩義記	維 摩 義 記 
