X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_001:0716b01	輩猶如穀之有稗粟之有粃惟在分別孰稗孰粃豈	輩 猶 如 穀 之 有 稗 粟 之 有 粃 惟 在 分 別 孰 稗 孰 粃 豈 
X62n1205_001:0716b02	可併穀粟而概棄之乎朕向來三教並重一體尊崇	可 併 穀 粟 而 概 棄 之 乎 朕 向 來 三 教 並 重 一 體 尊 崇 
X62n1205_001:0716b03	於奉佛敬仙之禮不稍輕忽每見章句之士鄙薄二	於 奉 佛 敬 仙 之 禮 不 稍 輕 忽 每 見 章 句 之 士 鄙 薄 二 
X62n1205_001:0716b04	氏動輒輕蔑擯斥而託名理學者尤甚及考其操履	氏 動 輒 輕 蔑 擯 斥 而 託 名 理 學 者 尤 甚 及 考 其 操 履 
X62n1205_001:0716b05	與理學真詮又大相徑庭此不過井蛙籬鷃之徒耳	與 理 學 真 詮 又 大 相 徑 庭 此 不 過 井 蛙 籬 鷃 之 徒 耳 
X62n1205_001:0716b06	何足與較浙江俗稱僧海乃衲子卓錫勝地近十年	何 足 與 較 浙 江 俗 稱 僧 海 乃 衲 子 卓 錫 勝 地 近 十 年 
X62n1205_001:0716b07	來不特指月清機宗風透徹者罕見即精通教律者	來 不 特 指 月 清 機 宗 風 透 徹 者 罕 見 即 精 通 教 律 者 
X62n1205_001:0716b08	亦未聞其人叢林凋謝可勝太息汝仰體朕意於公	亦 未 聞 其 人 叢 林 凋 謝 可 勝 太 息 汝 仰 體 朕 意 於 公 
X62n1205_001:0716b09	務之餘留心護持使不至過於寥落傾頺不必著相	務 之 餘 留 心 護 持 使 不 至 過 於 寥 落 傾 頺 不 必 著 相 
X62n1205_001:0716b10	莊嚴也此諭汝自領會毋令眾知何也士子聞之徒	莊 嚴 也 此 諭 汝 自 領 會 毋 令 眾 知 何 也 士 子 聞 之 徒 
X62n1205_001:0716b11	為好佛之譏釋子聞之致增我慢之相其中庸流或	為 好 佛 之 譏 釋 子 聞 之 致 增 我 慢 之 相 其 中 庸 流 或 
X62n1205_001:0716b12	因而縱肇甚至紊亂清規有千法紀是朕憐之而反	因 而 縱 肇 甚 至 紊 亂 清 規 有 千 法 紀 是 朕 憐 之 而 反 
X62n1205_001:0716b13	害之也密之。	害 之 也 密 之 
X62n1205_001:0716b14	又雍正二年四月十九日	又 雍 正 二 年 四 月 十 九 日 
X62n1205_001:0716b15	上諭內閣前有條奏婦女入廟進香成羣聚會混雜	上 諭 內 閣 前 有 條 奏 婦 女 入 廟 進 香 成 羣 聚 會 混 雜 
X62n1205_001:0716b16	行走妄費無益及入于別教妖言惑眾理宜禁止者	行 走 妄 費 無 益 及 入 于 別 教 妖 言 惑 眾 理 宜 禁 止 者 
X62n1205_001:0716b17	曾降旨准行但並非禁止民人于名山寺廟中禮拜	曾 降 旨 准 行 但 並 非 禁 止 民 人 于 名 山 寺 廟 中 禮 拜 
X62n1205_001:0716b18	也今聞凡係寺廟概行禁止不許民人叩拜又往[髟/了]	也 今 聞 凡 係 寺 廟 概 行 禁 止 不 許 民 人 叩 拜 又 往 [髟了] 
X62n1205_001:0716b19	髻山進香人等于金盞河地方掛號取稅皆與朕旨	髻 山 進 香 人 等 于 金 盞 河 地 方 掛 號 取 稅 皆 與 朕 旨 
X62n1205_001:0716b20	不合其禁止太過之處在京著禮部查明具奏金盞	不 合 其 禁 止 太 過 之 處 在 京 著 禮 部 查 明 具 奏 金 盞 
X62n1205_001:0716b21	河地方交與直隸巡撫令其查明具奏。	河 地 方 交 與 直 隸 巡 撫 令 其 查 明 具 奏 
X62n1205_001:0716b22	又雍正八年二月初三日	又 雍 正 八 年 二 月 初 三 日 
X62n1205_001:0716b23	　硃批福建巡撫(臣)劉世明奏	 硃 批 福 建 巡 撫 臣 劉 世 明 奏 
X62n1205_001:0716b24	但應禁止邪教惑眾從未有禁人喫齋之理此奏甚	但 應 禁 止 邪 教 惑 眾 從 未 有 禁 人 喫 齋 之 理 此 奏 甚 
X62n1205_001:0716c01	屬乘謬之至朕不解汝具何意見而云然若將此等	屬 乘 謬 之 至 朕 不 解 汝 具 何 意 見 而 云 然 若 將 此 等 
X62n1205_001:0716c02	無理妄舉以為盡心任事實力奉行則大誤矣既云	無 理 妄 舉 以 為 盡 心 任 事 實 力 奉 行 則 大 誤 矣 既 云 
X62n1205_001:0716c03	年老願齋者聽而闔家大小喫齋者又欲坐罪更屬	年 老 願 齋 者 聽 而 闔 家 大 小 喫 齋 者 又 欲 坐 罪 更 屬 
X62n1205_001:0716c04	可笑之談如於一家老者小者飲食之際稽查某齋	可 笑 之 談 如 於 一 家 老 者 小 者 飲 食 之 際 稽 查 某 齋 
X62n1205_001:0716c05	某不齋其紛擾為何如耶觀一切辦理覆奏不但浮	某 不 齋 其 紛 擾 為 何 如 耶 觀 一 切 辦 理 覆 奏 不 但 浮 
X62n1205_001:0716c06	泛不實且每多乖張失指大有心志惶惑光景嗣後	泛 不 實 且 每 多 乖 張 失 指 大 有 心 志 惶 惑 光 景 嗣 後 
X62n1205_001:0716c07	仍不痛自儆省加勉誠敬則朕恩殊為可惜也。	仍 不 痛 自 儆 省 加 勉 誠 敬 則 朕 恩 殊 為 可 惜 也 
X62n1205_001:0716c08	又雍正十一年二月十五日	又 雍 正 十 一 年 二 月十五日 
X62n1205_001:0716c09	上諭內閣朕惟三教之覺民於海內也理同出於一	上 諭 內 閣 朕 惟 三 教 之 覺 民 於 海 內 也 理 同 出 於 一 
X62n1205_001:0716c10	原道並行而不悖人惟不能豁然貫通於是人各異	原 道 並 行 而 不 悖 人 惟 不 能 豁 然 貫 通 於 是 人 各 異 
X62n1205_001:0716c11	心心各異見慕道者謂佛不如道之尊向佛者謂道	心 心 各 異 見 慕 道 者 謂 佛 不 如 道 之 尊 向 佛 者 謂 道 
X62n1205_001:0716c12	不如佛之大而儒者又兼闢二氏以為異端懷挾私	不 如 佛 之 大 而 儒 者 又 兼 闢 二 氏 以 為 異 端 懷 挾 私 
X62n1205_001:0716c13	心紛爭角勝而不相下朕以持三教之論亦惟得其	心 紛 爭 角 勝 而 不 相 下 朕 以 持 三 教 之 論 亦 惟 得 其 
X62n1205_001:0716c14	平而已矣能得其平則外略形迹之異內證性理之	平 而 已 矣 能 得 其 平 則 外 略 形 迹 之 異 內 證 性 理 之 
X62n1205_001:0716c15	同而知三教初無異旨無非欲人同歸於善夫佛氏	同 而 知 三 教 初 無 異 旨 無 非 欲 人 同 歸 於 善 夫 佛 氏 
X62n1205_001:0716c16	之五戒十善導人於善也吾儒之五常百行誘掖獎	之 五 戒 十 善 導 人 於 善 也 吾 儒 之 五 常 百 行 誘 掖 獎 
X62n1205_001:0716c17	勸有一不引人為善者哉昔宋文帝問侍中何尚之	勸 有 一 不 引 人 為 善 者 哉 昔 宋 文 帝 問 侍 中 何 尚 之 
X62n1205_001:0716c18	曰六經本是濟俗若性靈真要則以佛經為指南如	曰 六 經 本 是 濟 俗 若 性 靈 真 要 則 以 佛 經 為 指 南 如 
X62n1205_001:0716c19	率土之民皆湻此化則吾坐致太平矣何尚之對曰	率 土 之 民 皆 湻 此 化 則 吾 坐 致 太 平 矣 何 尚 之 對 曰 
X62n1205_001:0716c20	百家之鄉十人持五戒則十人湻謹千室之邑百人	百 家 之 鄉 十 人 持 五 戒 則 十 人 湻 謹 千 室 之 邑 百 人 
X62n1205_001:0716c21	持十善則百人和睦持此風教以周寰區則編戶億	持 十 善 則 百 人 和 睦 持 此 風 教 以 周 寰 區 則 編 戶 億 
X62n1205_001:0716c22	千仁人百萬而能行一善則去一惡去一惡則息一	千 仁 人 百 萬 而 能 行 一 善 則 去 一 惡 去 一 惡 則 息 一 
X62n1205_001:0716c23	刑一刑息於家萬刑息於國洵乎可以垂拱坐致太	刑 一 刑 息 於 家 萬 刑 息 於 國 洵 乎 可 以 垂 拱 坐 致 太 
X62n1205_001:0716c24	平矣斯言也蓋以勸善者治天下之要道也而佛教	平 矣 斯 言 也 蓋 以 勸 善 者 治 天 下 之 要 道 也 而 佛 教 
X62n1205_001:0717a01	之化貪吝誘賢良其旨亦本於此苟信而從之洵可	之 化 貪 吝 誘 賢 良 其 旨 亦 本 於 此 苟 信 而 從 之 洵 可 
X62n1205_001:0717a02	以型方訓俗而為致君澤民之大助其任意詆毀妄	以 型 方 訓 俗 而 為 致 君 澤 民 之 大 助 其 任 意 詆 毀 妄 
X62n1205_001:0717a03	揑為楊墨之道之論者皆未見顏色失乎瞽之說也	揑 為 楊 墨 之 道 之 論 者 皆 未 見 顏 色 失 乎 瞽 之 說 也 
X62n1205_001:0717a04	朕居藩邸留心內典於性宗之學實深領悟御極以	朕 居 藩 邸 留 心 內 典 於 性 宗 之 學 實 深 領 悟 御 極 以 
X62n1205_001:0717a05	後宵旰靡遑且恐啟天下以崇尚釋教之疑是以未	後 宵 旰 靡 遑 且 恐 啟 天 下 以 崇 尚 釋 教 之 疑 是 以 未 
X62n1205_001:0717a06	嘗形之談論欲俟庶政漸理始舉三教合一之旨提	嘗 形 之 談 論 欲 俟 庶 政 漸 理 始 舉 三 教 合 一 之 旨 提 
X62n1205_001:0717a07	撕警覺以明互相詆毀者之非今逾十年矣聽政餘	撕 警 覺 以 明 互 相 詆 毀 者 之 非 今 逾 十 年 矣 聽 政 餘 
X62n1205_001:0717a08	暇偶將朕之所見並昔人論說數條舉以示天下之	暇 偶 將 朕 之 所 見 並 昔 人 論 說 數 條 舉 以 示 天 下 之 
X62n1205_001:0717a09	學道者古人有曰周孔六經之訓忠孝履其端李老	學 道 者 古 人 有 曰 周 孔 六 經 之 訓 忠 孝 履 其 端 李 老 
X62n1205_001:0717a10	二篇之言道德創其首瞿曇三藏之文慈悲為其本	二 篇 之 言 道 德 創 其 首 瞿 曇 三 藏 之 文 慈 悲 為 其 本 
X62n1205_001:0717a11	事跡雖異理數不殊皆可崇可慕者又有曰儒以正	事 跡 雖 異 理 數 不 殊 皆 可 崇 可 慕 者 又 有 曰 儒 以 正 
X62n1205_001:0717a12	設教道以尊設教佛以大設教觀其好生惡殺則同	設 教 道 以 尊 設 教 佛 以 大 設 教 觀 其 好 生 惡 殺 則 同 
X62n1205_001:0717a13	一仁也視人猶己則同一公也懲忿塞欲禁過防非	一 仁 也 視 人 猶 己 則 同 一 公 也 懲 忿 塞 欲 禁 過 防 非 
X62n1205_001:0717a14	則同一操修也又有曰以佛治心以道治身以儒治	則 同 一 操 修 也 又 有 曰 以 佛 治 心 以 道 治 身 以 儒 治 
X62n1205_001:0717a15	世又有曰佛之言性與諸書同聖人同其性則廣為	世 又 有 曰 佛 之 言 性 與 諸 書 同 聖 人 同 其 性 則 廣 為 
X62n1205_001:0717a16	道德人能同誠其心同齋戒其身同推德於人則可	道 德 人 能 同 誠 其 心 同 齋 戒 其 身 同 推 德 於 人 則 可 
X62n1205_001:0717a17	以福吾親可以資吾君之安天下又有曰佛之道與	以 福 吾 親 可 以 資 吾 君 之 安 天 下 又 有 曰 佛 之 道 與 
X62n1205_001:0717a18	王道合王道者皇極也皇極者中道之謂也佛之道	王 道 合 王 道 者 皇 極 也 皇 極 者 中 道 之 謂 也 佛 之 道 
X62n1205_001:0717a19	亦曰中道不偏不邪其旨相同又有曰佛教之設使	亦 曰 中 道 不 偏 不 邪 其 旨 相 同 又 有 曰 佛 教 之 設 使 
X62n1205_001:0717a20	人棄華而就實背偏而歸善由力行而造於安行由	人 棄 華 而 就 實 背 偏 而 歸 善 由 力 行 而 造 於 安 行 由 
X62n1205_001:0717a21	自利而至於利彼其為生民之所依歸者無以加矣	自 利 而 至 於 利 彼 其 為 生 民 之 所 依 歸 者 無 以 加 矣 
X62n1205_001:0717a22	又有曰人謂釋氏惟務上達而無下學不思釋氏之	又 有 曰 人 謂 釋 氏 惟 務 上 達 而 無 下 學 不 思 釋 氏 之 
X62n1205_001:0717a23	六波羅密由禪定而到彼岸豈非下學上達之旨乎	六 波 羅 密 由 禪 定 而 到 彼 岸 豈 非 下 學 上 達 之 旨 乎 
X62n1205_001:0717a24	又有曰天下無二道聖人無兩心蓋道者先天地而	又 有 曰 天 下 無 二 道 聖 人 無 兩 心 蓋 道 者 先 天 地 而 
X62n1205_001:0717b01	生亘古今而常存聖人得道之真以治身以其緒餘	生 亘 古 今 而 常 存 聖 人 得 道 之 真 以 治 身 以 其 緒 餘 
X62n1205_001:0717b02	土苴治天下國家豈不大哉故聖人或生於中國或	土 苴 治 天 下 國 家 豈 不 大 哉 故 聖 人 或 生 於 中 國 或 
X62n1205_001:0717b03	生於西方或生於東夷西夷生雖殊方而其得道之	生 於 西 方 或 生 於 東 夷 西 夷 生 雖 殊 方 而 其 得 道 之 
X62n1205_001:0717b04	真若合符契未始殊也以上數條皆於聖賢之理同	真 若 合 符 契 未 始 殊 也 以 上 數 條 皆 於 聖 賢 之 理 同 
X62n1205_001:0717b05	流共貫未見其為謬異也三教雖各具治心治身治	流 共 貫 未 見 其 為 謬 異 也 三 教 雖 各 具 治 心 治 身 治 
X62n1205_001:0717b06	世之道然各有所專其各有所長各有不及處亦顯	世 之 道 然 各 有 所 專 其 各 有 所 長 各 有 不 及 處 亦 顯 
X62n1205_001:0717b07	而易見實缺一不可者夫習釋道之學雖有偏有正	而 易 見 實 缺 一 不 可 者 夫 習 釋 道 之 學 雖 有 偏 有 正 
X62n1205_001:0717b08	而習儒者之學亦有真有偽即如釋中以狂空欺世	而 習 儒 者 之 學 亦 有 真 有 偽 即 如 釋 中 以 狂 空 欺 世 
X62n1205_001:0717b09	道中以邪術愚人是固釋道之罪人也亦如儒中博	道 中 以 邪 術 愚 人 是 固 釋 道 之 罪 人 也 亦 如 儒 中 博 
X62n1205_001:0717b10	覧詩書高談仁義而躬蹈亂臣賊子行之者謂非名	覧 詩 書 高 談 仁 義 而 躬 蹈 亂 臣 賊 子 行 之 者 謂 非 名 
X62n1205_001:0717b11	教之罪人乎若掩人之長而斥其短隱己之短而誇	教 之 罪 人 乎 若 掩 人 之 長 而 斥 其 短 隱 己 之 短 而 誇 
X62n1205_001:0717b12	其長互相肆口詆排者皆私詐小人形態非仁人君	其 長 互 相 肆 口 詆 排 者 皆 私 詐 小 人 形 態 非 仁 人 君 
X62n1205_001:0717b13	子懷德抱道之所為亦徒見其不自量耳數年來有	子 懷 德 抱 道 之 所 為 亦 徒 見 其 不 自 量 耳 數 年 來 有 
X62n1205_001:0717b14	請嚴禁私自剃度者有請將寺觀改為書院者有縣	請 嚴 禁 私 自 剃 度 者 有 請 將 寺 觀 改 為 書 院 者 有 縣 
X62n1205_001:0717b15	令無故毀廟逐僧者甚至有請僧尼悉行配合夫婦	令 無 故 毀 廟 逐 僧 者 甚 至 有 請 僧 尼 悉 行 配 合 夫 婦 
X62n1205_001:0717b16	可廣增人丁者悖理妄言惑亂國是不思鰥寡孤獨	可 廣 增 人 丁 者 悖 理 妄 言 惑 亂 國 是 不 思 鰥 寡 孤 獨 
X62n1205_001:0717b17	為國家之所矜恤彼既立願出家其意亦為國家蒼	為 國 家 之 所 矜 恤 彼 既 立 願 出 家 其 意 亦 為 國 家 蒼 
X62n1205_001:0717b18	生修福田耳乃無故強令配合以拂其性豈仁君治	生 修 福 田 耳 乃 無 故 強 令 配 合 以 拂 其 性 豈 仁 君 治 
X62n1205_001:0717b19	天下者之所忍為乎因皆下愚小輩朕亦未窮治其	天 下 者 之 所 忍 為 乎 因 皆 下 愚 小 輩 朕 亦 未 窮 治 其 
X62n1205_001:0717b20	妄誕之罪至於品類不齊其中違理犯科者朝廷原	妄 誕 之 罪 至 於 品 類 不 齊 其 中 違 理 犯 科 者 朝 廷 原 
X62n1205_001:0717b21	有懲創之條而其清修苦行精戒明宗者則為之護	有 懲 創 之 條 而 其 清 修 苦 行 精 戒 明 宗 者 則 為 之 護 
X62n1205_001:0717b22	持其邪說外道則嚴加懲治如道忞行峰之紀載謬	持 其 邪 說 外 道 則 嚴 加 懲 治 如 道 忞 行 峰 之 紀 載 謬 
X62n1205_001:0717b23	妄法藏弘忍之魔說猖狂朕悉降旨指摘決不令混	妄 法 藏 弘 忍 之 魔 說 猖 狂 朕 悉 降 旨 指 摘 決 不 令 混 
X62n1205_001:0717b24	冒正法以致真偽罔辨也朕於三教同原之理探溯	冒 正 法 以 致 真 偽 罔 辨 也 朕 於 三 教 同 原 之 理 探 溯 
X62n1205_001:0717c01	淵源公其心而平其論令天下臣庶佛仙弟子有各	淵 源 公 其 心 而 平 其 論 令 天 下 臣 庶 佛 仙 弟 子 有 各 
X62n1205_001:0717c02	挾私心各執己見意存偏向理失平衡者夢覺醉醒	挾 私 心 各 執 己 見 意 存 偏 向 理 失 平 衡 者 夢 覺 醉 醒 
X62n1205_001:0717c03	焉故委曲宣示以開愚昧凡有地方責任之文武大	焉 故 委 曲 宣 示 以 開 愚 昧 凡 有 地 方 責 任 之 文 武 大 
X62n1205_001:0717c04	臣官員當承事朕旨加意護持出家修行人以成大	臣 官 員 當 承 事 朕 旨 加 意 護 持 出 家 修 行 人 以 成 大 
X62n1205_001:0717c05	公好善之治特諭。	公 好 善 之 治 特 諭 
X62n1205_001:0717c06	又	又 
X62n1205_001:0717c07	御選圓明居士語錄	御 選 圓 明 居 士 語 錄 
X62n1205_001:0717c08	有儒士問三教之同異王云若論○以內三教實同	有 儒 士 問 三 教 之 同 異 王 云 若 論 以 內 三 教 實 同 
X62n1205_001:0717c09	一道不可泥於迹象涉於事為而妄生分別也儒以	一 道 不 可 泥 於 迹 象 涉 於 事 為 而 妄 生 分 別 也 儒 以 
X62n1205_001:0717c10	修齊治平設教道以虗無清淨設教究其所以示人	修 齊 治 平 設 教 道 以 虗 無 清 淨 設 教 究 其 所 以 示 人 
X62n1205_001:0717c11	者不能外○者箇而釋教亦不捨離○者箇既不捨	者 不 能 外 者 箇 而 釋 教 亦 不 捨 離 者 箇 既 不 捨 
X62n1205_001:0717c12	離即此○內而言則不謂之一貫不可也若以○之	離 即 此 內 而 言 則 不 謂 之 一 貫 不 可 也 若 以 之 
X62n1205_001:0717c13	外周孔黃老之書未言及此能明此者惟有釋典耳	外 周 孔 黃 老 之 書 未 言 及 此 能 明 此 者 惟 有 釋 典 耳 
X62n1205_001:0717c14	下士愚盲小智見淺謂○以內尚不明了何暇究○	下 士 愚 盲 小 智 見 淺 謂 以 內 尚 不 明 了 何 暇 究 
X62n1205_001:0717c15	以外不知○以內者倚○以外者而立若不明○以	以 外 不 知 以 內 者 倚 以 外 者 而 立 若 不 明 以 
X62n1205_001:0717c16	外則○以內無論不能頓地透脫即使到得盡處猶	外 則 以 內 無 論 不 能 頓 地 透 脫 即 使 到 得 盡 處 猶 
X62n1205_001:0717c17	有者箇○在人但知拘滯生死不知窮其無生不死	有 者 箇 在 人 但 知 拘 滯 生 死 不 知 窮 其 無 生 不 死 
X62n1205_001:0717c18	此一大關惟此一路方透即以佛教而論如講演戒	此 一 大 關 惟 此 一 路 方 透 即 以 佛 教 而 論 如 講 演 戒 
X62n1205_001:0717c19	律何嘗不與宗為一貫必須宗為之統攝離宗則盡	律 何 嘗 不 與 宗 為 一 貫 必 須 宗 為 之 統 攝 離 宗 則 盡 
X62n1205_001:0717c20	屬幻作宗乃第一義也然一亦不立方是佛旨即此	屬 幻 作 宗 乃 第 一 義 也 然 一 亦 不 立 方 是 佛 旨 即 此 
X62n1205_001:0717c21	觀彼自明三教分合之定論圓明寧甘汝等迂儒之	觀 彼 自 明 三 教 分 合 之 定 論 圓 明 寧 甘 汝 等 迂 儒 之 
X62n1205_001:0717c22	謗斷不忍令眾生長溺苦海而不拯救指迷也士聞	謗 斷 不 忍 令 眾 生 長 溺 苦 海 而 不 拯 救 指 迷 也 士 聞 
X62n1205_001:0717c23	愕然諾諾而退。	愕 然 諾 諾 而 退 
X62n1205_001:0717c24	乾隆元年	乾 隆 元 年 
X62n1205_001:0718a01	　高宗純皇帝諭	 高 宗 純 皇 帝 諭 
X62n1205_001:0718a02	朕前以應付僧火居道士竊二氏之名而無修持之	朕 前 以 應 付 僧 火 居 道 士 竊 二 氏 之 名 而 無 修 持 之 
X62n1205_001:0718a03	實甚且作姦犯科難於稽察約束是以酌復度牒之	實 甚 且 作 姦 犯 科 難 於 稽 察 約 束 是 以 酌 復 度 牒 之 
X62n1205_001:0718a04	法使有志修行者永守清規而無賴之徒不得竄入	法 使 有 志 修 行 者 永 守 清 規 而 無 賴 之 徒 不 得 竄 入 
X62n1205_001:0718a05	其中以為佛老之玷其情願還俗者量給資產其餘	其 中 以 為 佛 老 之 玷 其 情 願 還 俗 者 量 給 資 產 其 餘 
X62n1205_001:0718a06	歸公留為養濟窮民之用此亦專為應付僧火居道	歸 公 留 為 養 濟 窮 民 之 用 此 亦 專 為 應 付 僧 火 居 道 
X62n1205_001:0718a07	士而言也名山古剎閉戶清修者在所不問前降諭	士 而 言 也 名 山 古 剎 閉 戶 清 修 者 在 所 不 問 前 降 諭 
X62n1205_001:0718a08	旨甚明現交與王大臣九卿會議乃聞外省傳述錯	旨 甚 明 現 交 與 王 大 臣 九 卿 會 議 乃 聞 外 省 傳 述 錯 
X62n1205_001:0718a09	誤一切僧道皆有惶惑不安之意恐將資產歸公遂	誤 一 切 僧 道 皆 有 惶 惑 不 安 之 意 恐 將 資 產 歸 公 遂 
X62n1205_001:0718a10	爾弊端百出有將己身田宅詭寄他人戶下希圖藏	爾 弊 端 百 出 有 將 己 身 田 宅 詭 寄 他 人 戶 下 希 圖 藏 
