T42n1824_001:0001a03	中論序疏	中 論 序 疏 
T42n1824_001:0003a13	正觀。如涅槃說。但見於空不見不空。故不行	正 觀 如 涅 槃 說 但 見 於 空 不 見 不 空 故 不 行 
T42n1824_001:0003a14	中道不見佛性。名為偏悟也。起於厭智者。第	中 道 不 見 佛 性 名 為 偏 悟 也 起 於 厭 智 者 第 
T42n1824_001:0003a15	二句尋悟之根也。二乘所以偏悟者。由厭生	二 句 尋 悟 之 根 也 二 乘 所 以 偏 悟 者 由 厭 生 
T42n1824_001:0003a16	死而欣涅槃。如法華云。先取其價然後除糞。	死 而 欣 涅 槃 如 法 華 云 先 取 其 價 然 後 除 糞 
T42n1824_001:0003a17	二乘之人畏老病死。故斷貪瞋癡以求涅槃	二 乘 之 人 畏 老 病 死 故 斷 貪 瞋 癡 以 求 涅 槃 
T42n1824_001:0003a18	永滅。故云厭智。耿介以之而致乖者。第二	永 滅 故 云 厭 智 耿 介 以 之 而 致 乖 者 第 二 
T42n1824_001:0003a19	次明得果。亦兩句。初敘其迷執。次明得果。	次 明 得 果 亦 兩 句 初 敘 其 迷 執 次 明 得 果 
T42n1824_001:0003a20	耿介者。外典文言不同。眾師釋亦異。然多	耿 介 者 外 典 文 言 不 同 眾 師 釋 亦 異 然 多 
T42n1824_001:0003a21	不體其意旨。今明耿介者猶志節也。以封執	不 體 其 意 旨 今 明 耿 介 者 猶 志 節 也 以 封 執 
T42n1824_001:0003a22	小乘自謂究竟。永不迴小心進求大道。故名	小 乘 自 謂 究 竟 永 不 迴 小 心 進 求 大 道 故 名 
T42n1824_001:0003a23	耿介。以之致乖者。此第二明得果也。既封	耿 介 以 之 致 乖 者 此 第 二 明 得 果 也 既 封 
T42n1824_001:0003a24	執小乘則與大道相乖。所以然者。道實無二。	執 小 乘 則 與 大 道 相 乖 所 以 然 者 道 實 無 二 
T42n1824_001:0003a25	而妄謂言二。故乖無二之道。智度論云。阿	而 妄 謂 言 二 故 乖 無 二 之 道 智 度 論 云 阿 
T42n1824_001:0003a26	羅漢人於佛道迂迴稽留。又復虛言得道。皆	羅 漢 人 於 佛 道 迂 迴 稽 留 又 復 虛 言 得 道 皆 
T42n1824_001:0003a27	是乖道之義。又道實無生滅。二乘之人謂有	是 乖 道 之 義 又 道 實 無 生 滅 二 乘 之 人 謂 有 
T42n1824_001:0003a28	煩惱生而滅之得有餘。謂有身智生滅之得	煩 惱 生 而 滅 之 得 有 餘 謂 有 身 智 生 滅 之 得 
T42n1824_001:0003a29	無餘。故法華云。分別說諸法五眾生滅。則	無 餘 故 法 華 云 分 別 說 諸 法 五 眾 生 滅 則 
T42n1824_001:0003b01	乖無生大道之義。然二乘既爾。有所得大乘	乖 無 生 大 道 之 義 然 二 乘 既 爾 有 所 得 大 乘 
T42n1824_001:0003b02	亦然。終言有惑滅解生。猶是小也。故知大覺	亦 然 終 言 有 惑 滅 解 生 猶 是 小 也 故 知 大 覺 
T42n1824_001:0003b03	在乎曠照下。此第二得失互相釋也。前舉大	在 乎 曠 照 下 此 第 二 得 失 互 相 釋 也 前 舉 大 
T42n1824_001:0003b04	得以顯小失。大覺曠照者。此舉大得也。對	得 以 顯 小 失 大 覺 曠 照 者 此 舉 大 得 也 對 
T42n1824_001:0003b05	二乘生滅之小了一切無生畢竟空秤為曠	二 乘 生 滅 之 小 了 一 切 無 生 畢 竟 空 秤 為 曠 
T42n1824_001:0003b06	照。又二乘但得人空不得法空名為小智。大	照 又 二 乘 但 得 人 空 不 得 法 空 名 為 小 智 大 
T42n1824_001:0003b07	乘具得二空秤為曠照。又二乘亦得二空。但	乘 具 得 二 空 秤 為 曠 照 又 二 乘 亦 得 二 空 但 
T42n1824_001:0003b08	是折法明空故秤小智。大乘得自性空自相	是 折 法 明 空 故 秤 小 智 大 乘 得 自 性 空 自 相 
T42n1824_001:0003b09	空秤為曠照。又二乘但得三界內人法空名	空 秤 為 曠 照 又 二 乘 但 得 三 界 內 人 法 空 名 
T42n1824_001:0003b10	為小智。大乘得三界內外空名為曠照。又二	為 小 智 大 乘 得 三 界 內 外 空 名 為 曠 照 又 二 
T42n1824_001:0003b11	乘但見於空不見不空名為小智。大乘見空	乘 但 見 於 空 不 見 不 空 名 為 小 智 大 乘 見 空 
T42n1824_001:0003b12	及以不空故秤曠照。所言隘心者。書云。一人	及 以 不 空 故 秤 曠 照 所 言 隘 心 者 書 云 一 人 
T42n1824_001:0003b13	守隘萬夫莫進。蓋是迮小之名也。照之不曠	守 隘 萬 夫 莫 進 蓋 是 迮 小 之 名 也 照 之 不 曠 
T42n1824_001:0003b14	下。此廣敘小乘之失也。夷有無者。夷之訓平。	下 此 廣 敘 小 乘 之 失 也 夷 有 無 者 夷 之 訓 平 
T42n1824_001:0003b15	不能平除有無二見義也。一道俗者。智度論	不 能 平 除 有無二見 義 也 一 道 俗 者 智 度 論 
T42n1824_001:0003b16	云。聲聞法中未說生死即是涅槃眾生則是	云 聲 聞 法 中 未 說 生 死 即 是 涅 槃 眾 生 則 是 
T42n1824_001:0003b17	佛。故二乘不能一道俗也。道則涅槃俗則生	佛 故 二 乘 不 能 一 道 俗 也 道 則 涅 槃 俗 則 生 
T42n1824_001:0003b18	死。知之不盡未可以涉中途泯二際者。行山	死 知 之 不 盡 未 可 以 涉 中 途 泯 二 際 者 行 山 
T42n1824_001:0003b19	為踐。履水為涉。蓋是別論耳。今通取行義	為 踐 履 水 為 涉 蓋 是 別 論 耳 今 通 取 行 義 
T42n1824_001:0003b20	為涉。二乘之人照理不窮。故不能行於中道	為 涉 二 乘 之 人 照 理 不 窮 故 不 能 行 於 中 道 
T42n1824_001:0003b21	也。泯二際者。泯之言滅。謂不能滅於二際也。	也 泯 二 際 者 泯 之 言 滅 謂 不 能 滅 於 二 際 也 
T42n1824_001:0003b22	問前云一道俗夷有無。則是泯二際。何故重	問 前 云 一 道 俗 夷 有 無 則 是 泯 二 際 何 故 重 
T42n1824_001:0003b23	說。答睿師深見文意。涅槃品有二偈。初云。	說 答 睿 師 深 見 文 意 涅 槃 品 有 二 偈 初 云 
T42n1824_001:0003b24	世間與涅槃無有少分別。涅槃與世間無有	世 間 與 涅 槃 無 有 少 分 別 涅 槃 與 世 間 無 有 
T42n1824_001:0003b25	少分別。此是一道俗之義。次偈云。生死之	少 分 別 此 是 一 道 俗 之 義 次 偈 云 生 死 之 
T42n1824_001:0003b26	實際及與涅槃實際。如是二際者無豪釐差	實 際 及 與 涅 槃 實 際 如 是 二 際 者 無 豪 釐 差 
T42n1824_001:0003b27	別。論既兩文。今還敘此二意也。道俗之不夷	別 論 既 兩 文 今 還 敘 此 二 意 也 道 俗 之 不 夷 
T42n1824_001:0003b28	二際之不泯菩薩之憂也。第二破迷作論又	二 際 之 不 泯 菩 薩 之 憂 也 第 二 破 迷 作 論 又 
T42n1824_001:0003b29	開二別。初明大悲內充。次別明破迷作論。初	開 二 別 初 明 大 悲 內 充 次 別 明 破 迷 作 論 初 
T42n1824_001:0003c01	是慈悲。後明智慧。即菩薩福慧二業。又初	是 慈 悲 後 明 智 慧 即 菩 薩 福 慧 二 業 又 初 
T42n1824_001:0003c02	是知病識藥。後是應病授藥。又初是悲心。後	是 知 病 識 藥 後 是 應 病 授 藥 又 初 是 悲 心 後 
T42n1824_001:0003c03	明悲事。問何故云有無不夷二際不泯。但明	明 悲 事 問 何 故 云 有 無 不 夷 二 際 不 泯 但 明 
T42n1824_001:0003c04	此兩句也。答有無是眾見之根。障中道之本。	此 兩 句 也 答 有 無 是 眾 見 之 根 障 中 道 之 本 
T42n1824_001:0003c05	故偏說也。二際不泯。謂破一道清淨也。又	故 偏 說 也 二 際 不 泯 謂 破 一 道 清 淨 也 又 
T42n1824_001:0003c06	前敘能障。後明所障。又前是凡迷。後為聖惑。	前 敘 能 障 後 明 所 障 又 前 是 凡 迷 後 為 聖 惑 
T42n1824_001:0003c07	又前是外迷。後為內惑。言約事終也。菩薩之	又 前 是 外 迷 後 為 內 惑 言 約 事 終 也 菩 薩 之 
T42n1824_001:0003c08	憂者。既見凡迷六道紛然。聖惑三乘異逕。為	憂 者 既 見 凡 迷 六 道 紛 然 聖 惑 三 乘 異 逕 為 
T42n1824_001:0003c09	此而興無緣大悲。故秤憂也。是以龍樹下第	此 而 興 無緣大悲 故 秤 憂 也 是 以 龍 樹 下 第 
T42n1824_001:0003c10	二破迷作論又開兩別。前破內迷。後破外迷。	二 破 迷 作 論 又 開 兩 別 前 破 內 迷 後 破 外 迷 
T42n1824_001:0003c11	亦前破聖惑。後破凡迷。問初段中何故前敘	亦 前 破 聖 惑 後 破 凡 迷 問 初 段 中 何 故 前 敘 
T42n1824_001:0003c12	凡迷後明聖惑。今前破聖惑後破凡迷。答有	凡 迷 後 明 聖 惑 今 前 破 聖 惑 後 破 凡 迷 答 有 
T42n1824_001:0003c13	文有義。言其義者。前就起惑次第。故前凡	文 有 義 言 其 義 者 前 就 起 惑 次 第 故 前 凡 
T42n1824_001:0003c14	後聖前重後輕。後約傍正次第。斯論正破於	後 聖 前 重 後 輕 後 約 傍 正 次 第 斯 論 正 破 於 
T42n1824_001:0003c15	內傍破於外。亦前正破封執二乘之失。後傍	內 傍 破 於 外 亦 前 正 破 封 執 二 乘 之 失 後 傍 
T42n1824_001:0003c16	洗九十六術。約文者。在初文後敘聖迷。接	洗 九 十 六 術 約 文 者 在 初 文 後 敘 聖 迷 接 
T42n1824_001:0003c17	聖破聖故便除聖迷。折之以中道者。折之言	聖 破 聖 故 便 除 聖 迷 折 之 以 中 道 者 折 之 言 
T42n1824_001:0003c18	齊。齊者生死涅槃不二眾生與佛平等。則是	齊 齊 者 生死涅槃 不 二 眾 生 與 佛 平 等 則 是 
T42n1824_001:0003c19	中道。又將中道之理折二際令齊。故言折之	中 道 又 將 中 道 之 理 折 二 際 令 齊 故 言 折 之 
T42n1824_001:0003c20	以中道。使惑趣之徒望玄指而一變者。惑者	以 中 道 使 惑 趣 之 徒 望 玄 指 而 一 變 者 惑 者 
T42n1824_001:0003c21	迷也。趣者理也。謂迷理之人。即是封執二乘	迷 也 趣 者 理 也 謂 迷 理 之 人 即 是 封 執 二 乘 
T42n1824_001:0003c22	有所得大乘菩薩。玄指者即是斯論。藉斯論	有 所 得 大 乘 菩 薩 玄 指 者 即 是 斯 論 藉 斯 論 
T42n1824_001:0003c23	重玄之言。因改二乘之執迴有所得菩薩同	重 玄 之 言 因 改 二 乘 之 執 迴 有 所 得 菩 薩 同 
T42n1824_001:0003c24	歸不二。故名為一變。若守二乘不歸一道。封	歸 不 二 故 名 為 一 變 若 守 二 乘 不 歸 一 道 封 
T42n1824_001:0003c25	執偏大未悟平等。並是守指忘月。不名一變。	執 偏 大 未 悟 平 等 並 是 守 指 忘 月 不 名 一 變 
T42n1824_001:0003c26	今改小入大。迴有得而悟無得。如因指得月。	今 改 小 入 大 迴 有 得 而 悟 無 得 如 因 指 得 月 
T42n1824_001:0003c27	故秤為變。括之以即化。第二破於外惑。括者	故 秤 為 變 括 之 以 即 化 第 二 破 於 外 惑 括 者 
T42n1824_001:0003c28	撿括。即化者如肇公云。道遠乎哉。觸事即	撿 括 即 化 者 如 肇 公 云 道 遠 乎 哉 觸 事 即 
T42n1824_001:0003c29	真。聖遠乎哉。體之即神。十二門序亦有斯意。	真 聖 遠 乎 哉 體 之 即 神 十 二 門 序 亦 有 斯 意 
T42n1824_001:0004a01	故云悟大覺於夢境即百化以安歸。猶是論	故 云 悟 大 覺 於 夢 境 即 百 化 以 安 歸 猶 是 論 
T42n1824_001:0004a02	文明一切諸法即是無生。故云即化。令玄悟	文 明 一切諸法 即 是 無 生 故 云 即 化 令 玄 悟 
T42n1824_001:0004a03	之賓喪諮詢於朝徹。此寄斥震旦莊周。以呵	之 賓 喪 諮 詢 於 朝 徹 此 寄 斥 震 旦 莊 周 以 呵 
T42n1824_001:0004a04	天竺外道。良以此土無別外道。而用老莊以	天 竺 外 道 良 以 此 土 無 別 外 道 而 用 老 莊 以 
T42n1824_001:0004a05	為至極。是以斥之。諮詢者問善道之辭也。喪	為 至 極 是 以 斥 之 諮 詢 者 問 善 道 之 辭 也 喪 
T42n1824_001:0004a06	之言亡也。朝徹者。郭象云。遺死生亡內外。	之 言 亡 也 朝 徹 者 郭 象 云 遺 死 生 亡 內 外 
T42n1824_001:0004a07	豁然無滯見機而作。故云朝徹也。又云。朝者	豁 然 無 滯 見 機 而 作 故 云 朝 徹 也 又 云 朝 者 
T42n1824_001:0004a08	旦也。徹者達也。又云。一旦能達於理故云	旦 也 徹 者 達 也 又 云 一 旦 能 達 於 理 故 云 
T42n1824_001:0004a09	朝徹。又云。不崇朝而徹理。崇者言重。猶是一	朝 徹 又 云 不 崇 朝 而 徹 理 崇 者 言 重 猶 是 一 
T42n1824_001:0004a10	朝而達耳。故云朝徹也。今明既悟斯論知一	朝 而 達 耳 故 云 朝 徹 也 今 明 既 悟 斯 論 知 一 
T42n1824_001:0004a11	切法即是實相無生。須忘問答朝徹之事。故	切 法 即 是 實 相 無 生 須 忘 問 答 朝 徹 之 事 故 
T42n1824_001:0004a12	云喪諮詢於朝徹也。既不諮詢於老莊。豈復	云 喪 諮 詢 於 朝 徹 也 既 不 諮 詢 於 老 莊 豈 復 
T42n1824_001:0004a13	稟承六師及十八一切智人并九十六術耶。	稟 承 六 師 及 十 八 一切智人 并 九 十 六 術 耶 
T42n1824_001:0004a14	蕩蕩焉下第四讚論功能又開三別。初顯道	蕩 蕩 焉 下 第 四 讚 論 功 能 又 開 三 別 初 顯 道 
T42n1824_001:0004a15	益物嘆。次舉大對小嘆。亦名抑小揚大嘆。三	益 物 嘆 次 舉 大 對 小 嘆 亦 名 抑 小 揚 大 嘆 三 
T42n1824_001:0004a16	感幸欣遇嘆。蕩蕩者。書云。王道蕩蕩無偏無	感 幸 欣 遇 嘆 蕩 蕩 者 書 云 王 道 蕩 蕩 無 偏 無 
T42n1824_001:0004a17	儻。蓋是泯內外兩迷息凡聖二見。同歸乎大	儻 蓋 是 泯 內 外 兩 迷 息 凡 聖 二 見 同 歸 乎 大 
T42n1824_001:0004a18	道。故秤蕩蕩。蕩蕩是曠遠之貌也。坦夷路	道 故 秤 蕩 蕩 蕩 蕩 是 曠 遠 之 貌 也 坦 夷 路 
T42n1824_001:0004a19	於沖階者。龍樹未出之前。虛言將實教並興。	於 沖 階 者 龍 樹 未 出 之 前 虛 言 將 實 教 並 興 
T42n1824_001:0004a20	險逕與夷路爭徹。是以論主出世更整坦夷	險 逕 與 夷 路 爭 徹 是 以 論 主 出 世 更 整 坦 夷 
T42n1824_001:0004a21	路。故言坦也。夷路既整。則菩薩之因道場	路 故 言 坦 也 夷 路 既 整 則 菩 薩 之 因 道 場 
T42n1824_001:0004a22	之果階位可登。故言於沖階也。敝玄門於宇	之 果 階 位 可 登 故 言 於 沖 階 也 敝 玄 門 於 宇 
T42n1824_001:0004a23	內者。前化及一方。此明遐宣六合。玄門者。老	內 者 前 化 及 一 方 此 明 遐 宣 六 合 玄 門 者 老 
T42n1824_001:0004a24	子云。玄之又玄。眾妙之門。借斯言以目今論	子 云 玄 之 又 玄 眾 妙 之 門 借 斯 言 以 目 今 論 
T42n1824_001:0004a25	也。天地上下曰宇。往古來今秤宙。故云敝	也 天 地 上 下 曰 宇 往 古 來 今 秤 宙 故 云 敝 
T42n1824_001:0004a26	玄門於宇內也。扇惠風於陳枚者。前二句明	玄 門 於 宇 內 也 扇 惠 風 於 陳 枚 者 前 二 句 明 
T42n1824_001:0004a27	顯道。今兩句明益物。陳枚者。陳者朽故之名	顯 道 今 兩 句 明 益 物 陳 枚 者 陳 者 朽 故 之 名 
T42n1824_001:0004a28	也。毛詩云。伐其條枚。枚者小枝也。惠風者謂	也 毛 詩 云 伐 其 條 枚 枚 者 小 枝 也 惠 風 者 謂 
T42n1824_001:0004a29	春風也。以扇斯論智慧之風。使凡夫之流以	春 風 也 以 扇 斯 論 智 慧 之 風 使 凡 夫 之 流 以 
T42n1824_001:0004b01	得益也。流甘露於枯椊者。前句辨益凡。此章	得 益 也 流 甘 露 於 枯 椊 者 前 句 辨 益 凡 此 章 
T42n1824_001:0004b02	明利聖。前句益外道。後句利小乘。又前句利	明 利 聖 前 句 益 外 道 後 句 利 小 乘 又 前 句 利 
T42n1824_001:0004b03	小乘。後句益菩薩。具此諸意也。夫柏梁之構	小 乘 後 句 益 菩 薩 具 此 諸 意 也 夫 柏 梁 之 構 
T42n1824_001:0004b04	興者。第二舉大對小嘆又開二別。前譬後合。	興 者 第 二 舉 大 對 小 嘆 又 開 二 別 前 譬 後 合 
T42n1824_001:0004b05	柏梁者漢武帝臺名也。外書釋此自有二家。	柏 梁 者 漢 武 帝 臺 名 也 外 書 釋 此 自 有 二 家 
T42n1824_001:0004b06	一云。以柏木為梁故云柏梁。此臺初成。柏木	一 云 以 柏 木 為 梁 故 云 柏 梁 此 臺 初 成 柏 木 
T42n1824_001:0004b07	香氣流數十里。元帝以柏梁對柘舘。以此詳	香 氣 流 數 十 里 元 帝 以 柏 梁 對 柘 舘 以 此 詳 
T42n1824_001:0004b08	之。應是柏木之梁。又云。梁有百數故云百梁。	之 應 是 柏 木 之 梁 又 云 梁 有 百 數 故 云 百 梁 
T42n1824_001:0004b09	茅庂茨陋者。茨之言次。撰次於茅故秤為茨。	茅 庂 茨 陋 者 茨 之 言 次 撰 次 於 茅 故 秤 為 茨 
T42n1824_001:0004b10	庂者長安偏鵲舍但有一邊。故秤為庂。陋猶	庂 者 長 安 偏 鵲 舍 但 有 一 邊 故 秤 為 庂 陋 猶 
T42n1824_001:0004b11	隘義也。又柏梁大臺即法華長者大宅。茅茨	隘 義 也 又 柏 梁 大 臺 即 法 華 長 者 大 宅 茅 茨 
T42n1824_001:0004b12	庂陋其猶門外草菴。睿師一言含內外兩事	庂 陋 其 猶 門 外 草 菴 睿 師 一 言 含 內 外 兩 事 
T42n1824_001:0004b13	也。覩斯論下第二合譬。鄙倍者出論語。鄙猶	也 覩 斯 論 下 第 二 合 譬 鄙 倍 者 出 論 語 鄙 猶 
T42n1824_001:0004b14	鄙惡。倍是倍戾。幸哉此區之赤縣者。第三感	鄙 惡 倍 是 倍 戾 幸 哉 此 區 之 赤 縣 者 第 三 感 
T42n1824_001:0004b15	幸欣遇嘆亦二句。幸者幸遇。此區者。區秤區	幸 欣 遇 嘆 亦 二 句 幸 者 幸 遇 此 區 者 區 秤 區 
T42n1824_001:0004b16	域。而言此以對彼也。彼總名天竺。天竺別開	域 而 言 此 以 對 彼 也 彼 總 名 天 竺 天 竺 別 開 
T42n1824_001:0004b17	則五。次有十六大國五百中國十千小國。此	則 五 次 有 十六大國 五 百 中 國 十 千 小 國 此 
T42n1824_001:0004b18	區總名赤縣。河圖云。崑崙山東地方五千里。	區 總 名 赤 縣 河 圖 云 崑 崙 山 東 地 方 五 千 里 
T42n1824_001:0004b19	一曰神洲亦名赤縣。禹於赤縣之內畫地分	一 曰 神 洲 亦 名 赤 縣 禹 於 赤 縣 之 內 畫 地 分 
