T85n2749_001:0180a03	法華經疏	法 華 經 疏 
T85n2749_001:0189a02	序說三重。一張速本。二序速事。三會速人。	序 說 三 重 一 張 速 本 二 序 速 事 三 會 速 人 
T85n2749_001:0189a03	經曰。爾時佛告至如向所說者。第一張速本	經 曰 爾 時 佛 告 至 如 向 所 說 者 第 一 張 速 本 
T85n2749_001:0189a04	兩意。一戒惡即張增上慢本。二獎善即張常	兩 意 一 戒 惡 即 張 增 上 慢 本 二 獎 善 即 張 常 
T85n2749_001:0189a05	不輕本。言持法華經者罵詈誹謗獲大罪報	不 輕 本 言 持 法 華 經 者 罵 詈 誹 謗 獲 大 罪 報 
T85n2749_001:0189a06	如前所說者。如譬喻品末所說。言其所得功	如前所說 者 如 譬 喻 品 末 所 說 言 其 所 得 功 
T85n2749_001:0189a07	德如向所說者。如向法師功德品所說。	德 如 向 所 說 者 如 向 法 師 功 德 品 所 說 
T85n2749_001:0189a08	經曰。得大勢至阿僧祇劫者。第二序速事四	經 曰 得 大 勢 至 阿僧祇劫 者 第 二 序 速 事 四 
T85n2749_001:0189a09	重。一值速緣緣。二逢速障。三違速名。四修速	重 一 值 速 緣 緣 二 逢 速 障 三 違 速 名 四 修 速 
T85n2749_001:0189a10	行。值緣兩重。一值一佛緣。二值多佛緣。一	行 值 緣 兩 重 一 值 一 佛 緣 二 值 多 佛 緣 一 
T85n2749_001:0189a11	佛八重。一時節。二化主。三劫名。四國號。五	佛 八 重 一 時 節 二 化 主 三 劫 名 四 國 號 五 
T85n2749_001:0189a12	立教。六壽限。七住持。八歸寂。	立 教 六 壽 限 七 住 持 八 歸 寂 
T85n2749_001:0189a13	經曰。有佛名威音王至佛世尊者。此化主也。	經 曰 有 佛 名 威 音 王 至 佛 世 尊 者 此 化 主 也 
T85n2749_001:0189a14	經曰。劫名離垢者。此劫名也。	經 曰 劫 名 離 垢 者 此 劫 名 也 
T85n2749_001:0189a15	經曰。國名大城者。此國號也。	經 曰 國 名 大 城 者 此 國 號 也 
T85n2749_001:0189a16	經曰。其威音王佛至究竟清淨者。此立教也。	經 曰 其 威 音 王 佛 至 究 竟 清 淨 者 此 立 教 也 
T85n2749_001:0189a17	經曰。得大勢至恒河沙□□□限也。	經 曰 得 大 勢 至 恒 河 沙 限 也 
T85n2749_001:0189a18	經曰。正法住世至四天下微塵者。此住持也。	經 曰 正法住世 至 四 天 下 微 塵 者 此 住 持 也 
T85n2749_001:0189a19	經曰。其佛饒益至然後滅度者。此歸寂也。	經 曰 其 佛 饒 益 至 然 後 滅 度 者 此 歸 寂 也 
T85n2749_001:0189a20	經曰。正法像法至皆同一號者。次明敘多佛	經 曰 正 法 像 法 至 皆 同 一 號 者 次 明 敘 多 佛 
T85n2749_001:0189a21	緣。	緣 
T85n2749_001:0189a22	經曰。最初威音王至有大勢力者。此第二逢	經 曰 最 初 威 音 王 至 有大勢力 者 此 第 二 逢 
T85n2749_001:0189a23	速障也。	速 障 也 
T85n2749_001:0189a24	經曰。爾時有一至名常不輕者。此第三違速	經 曰 爾 時 有 一 至 名 常 不 輕 者 此 第 三 違 速 
T85n2749_001:0189a25	名。即名常不輕文六重。一舉名。二徵義。三	名 即 名 常 不 輕 文 六 重 一 舉 名 二 徵 義 三 
T85n2749_001:0189a26	曉意。四專修。五受難。六得名。此舉名也。	曉 意 四 專 修 五 受 難 六 得 名 此 舉 名 也 
T85n2749_001:0189a27	經曰。得大勢以何因緣名常不輕者。此徵義	經 曰 得 大 勢 以何因緣 名 常 不 輕 者 此 徵 義 
T85n2749_001:0189a28	也。	也 
T85n2749_001:0189a29	經曰。是比丘至當得作佛者。此曉意。由行不	經 曰 是 比 丘 至 當 得 作 佛 者 此 曉 意 由 行 不 
T85n2749_001:0189b01	輕行故得不輕名。言我深教汝等不敢輕慢	輕 行 故 得 不 輕 名 言 我 深 教 汝 等 不 敢 輕 慢 
T85n2749_001:0189b02	者。為汝本有自性住佛性。言所以者何汝等	者 為 汝 本 有 自 性 住 佛 性 言 所以者何 汝 等 
T85n2749_001:0189b03	皆行菩薩道者。為汝即有引出性。言當得作	皆 行菩薩道 者 為 汝 即 有 引 出 性 言 當 得 作 
T85n2749_001:0189b04	佛者。為汝當有至得果佛性。	佛 者 為 汝 當 有 至 得 果 佛 性 
T85n2749_001:0189b05	經曰。而是比丘皆當作佛者。此專修故。往禮	經 曰 而 是 比 丘 皆 當 作 佛 者 此 專 修 故 往 禮 
T85n2749_001:0189b06	拜者專修身不輕。讚歎者專修口不輕。汝當	拜 者 專 修 身 不 輕 讚 歎 者 專 修 口 不 輕 汝 當 
T85n2749_001:0189b07	作佛者。專修意不輕。	作 佛 者 專 修 意 不 輕 
T85n2749_001:0189b08	經曰。四眾之中至汝當作佛者。此受難。先	經 曰 四 眾 之 中 至 汝 當 作 佛 者 此 受 難 先 
T85n2749_001:0189b09	□□詈難。後受打擲難。此受罵詈難。	 詈 難 後 受 打 擲 難 此 受 罵 詈 難 
T85n2749_001:0189b10	經曰。說是語時至皆當作佛者。此受打擲難。	經 曰 說 是 語 時 至 皆 當 作 佛 者 此 受 打 擲 難 
T85n2749_001:0189b11	杖木以打之。瓦石以擲之。恐其得重罪所以。	杖 木 以 打 之 瓦 石 以 擲 之 恐 其 得 重 罪 所 以 
T85n2749_001:0189b12	避走而遠住。恐其不聞記所以高聲唱是言。	避 走 而 遠 住 恐 其 不 聞 記 所 以 高 聲 唱 是 言 
T85n2749_001:0189b13	經曰。以其常作至號之為不輕者。此得名。	經 曰 以 其 常 作 至 號 之 為 不 輕 者 此 得 名 
T85n2749_001:0189b14	經曰。是比丘臨欲終時至悉能受持者。次第	經 曰 是 比 丘 臨 欲 終 時 至 悉 能 受 持 者 次 第 
T85n2749_001:0189b15	四修速行四重。一威王佛所行速行。二燈明	四 修 速 行 四 重 一 威 王 佛 所 行 速 行 二 燈 明 
T85n2749_001:0189b16	佛所行速行。三雲自在佛所行速行四□□	佛 所 行 速 行 三 雲 自 在 佛 所 行 速 行 四 
T85n2749_001:0189b17	□□□□□□□□佛所六重。一稟速道。二	 佛 所 六 重 一 稟 速 道 二 
T85n2749_001:0189b18	淨速根。三增速壽。四□□□□□□□□□	淨 速 根 三 增 速 壽 四 
T85n2749_001:0189b19	□□□□□善此稟□道也。	 善 此 稟 道 也 
