T52n2118_001:0794b19	折疑論敘	折 疑 論 敘 
T52n2118_001:0796b05	直。指間一密。指清淨潔。手足肥膩。手足裏赤。手足平等。手足內滿。掌文深現。掌文端直。掌文纖長。手足潤	直 指 間 一 密 指 清 淨 潔 手 足 肥 膩 手 足 裏 赤 手 足 平 等 手 足 內 滿 掌 文 深 現 掌 文 端 直 掌 文 纖 長 手 足 潤 
T52n2118_001:0796b06	澤。掌文不亂。踝足少現。膝頭圓滿。膝次第滿。行步齊整師子王行。鵝王步。龍王行相。牛王行相。行不顧視。行步	澤 掌 文 不 亂 踝 足 少 現 膝 頭 圓 滿 膝 次 第 滿 行 步 齊 整 師 子 王 行 鵝 王 步 龍 王 行 相 牛 王 行 相 行 不 顧 視 行 步 
T52n2118_001:0796b07	不亂。半身正直。佛身過人。一切滿足。佛身皆好。身體平正。身體遍足。身體正直。身體滑澤。身體淨潔。身體端	不 亂 半 身 正 直 佛 身 過 人 一 切 滿 足 佛 身 皆 好 身 體 平 正 身 體 遍 足 身 體 正 直 身 體 滑 澤 身 體 淨 潔 身 體 端 
T52n2118_001:0796b08	嚴。身次第大小。諸根方正。身色不黑。身體無黶。身毛淨潔。腹相團圓腹無橫文。身體明淨。臍正圓深。臍孔團圓。	嚴 身 次 第 大 小 諸 根 方 正 身 色 不 黑 身 體 無 黶 身 毛 淨 潔 腹 相 團 圓 腹 無 橫 文 身 體 明 淨 臍 正 圓 深 臍 孔 團 圓 
T52n2118_001:0796b09	臍文右旋。臍孔不凹。臍孔不長。臍孔不短。臍孔不連。得龍牙相。牙不過脣。四牙團圓四牙鋒利。四牙齊密。舌長	臍 文 右 旋 臍 孔 不 凹 臍 孔 不 長 臍 孔 不 短 臍 孔 不 連 得 龍 牙 相 牙 不 過 脣 四 牙 團 圓 四 牙 鋒 利 四 牙 齊 密 舌 長 
T52n2118_001:0796b10	柔軟。舌色赤好。梵聲深好。象王聲相。迦陵頻伽聲。齒根圓滿。鼻孔淨潔。鼻不下垂。鼻高脩長。鼻高方廣。目廣清	柔 軟 舌 色 赤 好 梵 聲 深 好 象 王 聲 相 迦陵頻伽 聲 齒 根 圓 滿 鼻 孔 淨 潔 鼻 不 下 垂 鼻 高 脩 長 鼻 高 方 廣 目 廣 清 
T52n2118_001:0796b11	淨。眼睛黑光。目睫次第眉如半月。眉毛黑澤。眉毛光明。耳皆垂埵頭髮細軟)。	淨 眼 睛 黑 光 目 睫 次 第 眉 如 半 月 眉 毛 黑 澤 眉 毛 光 明 耳 皆 垂 埵 頭 髮 細 軟 
T52n2118_001:0796b12	王請僊人阿私陀瞻之(西方能相吉凶貴賤仙人也)。	王 請 僊 人 阿 私 陀 瞻 之 西 方 能 相 吉 凶 貴 賤 仙 人 也 
T52n2118_001:0796b13	曰。太子隨身相好粲若芬華(太子身相。如初開芬陀梨華。嬌態香潔也)。	曰 太 子 隨 身 相 好 粲 若 芬 華 太 子 身 相 如 初 開 芬 陀 梨 華 嬌 態 香 潔 也 
T52n2118_001:0796b14	在家作轉輪王。出家成無上道(在家定作金轉輪王出家必成無上	在 家 作 轉 輪 王 出 家 成 無 上 道 在 家 定 作 金 轉 輪 王 出 家 必 成 無 上 
T52n2118_001:0796b15	道果)。	道 果 
T52n2118_001:0796b16	以臣觀之。必不得在家矣(仙人所言。太子定離國位)。	以 臣 觀 之 必 不 得 在 家 矣 仙 人 所 言 太 子 定 離 國 位 
T52n2118_001:0796b17	遂泣曰。太子成佛必施大法。臣今老矣。失。	遂 泣 曰 太 子 成 佛 必 施 大 法 臣 今 老 矣 失 
T52n2118_001:0796b18	此大利。良可悲哉(有淚無聲曰泣。仙人知太子成佛演說大法老不得聞。故乃泣之)。	此 大 利 良 可 悲 哉 有 淚 無 聲 曰 泣 仙 人 知 太 子 成 佛 演 說 大 法 老 不 得 聞 故 乃 泣 之 
T52n2118_001:0796b19	年十有九。壬申二月八日(周時正月建子。二月八日即今十二月八日是也)。	年 十 有 九 壬 申 二 月 八 日 周 時 正 月 建 子 二 月 八 日 即 今 十 二 月 八 日 是 也 
T52n2118_001:0796b20	呼車匿鞁朱騣(車匿者。佛之家所生之子。朱騣者馬也)。	呼 車 匿 鞁 朱 騣 車 匿 者 佛 之 家 所 生 之 子 朱 騣 者 馬 也 
T52n2118_001:0796b21	遊看四門。逢僧了法。不樂王宮。亟欲修心(因遊	遊 看 四 門 逢 僧 了 法 不 樂 王 宮 亟 欲 修 心 因 遊 
T52n2118_001:0796b22	觀四門。東門見老人衰朽。南門見其病者。西門見送葬者。北門見一比丘。乃是作瓶天子所化。太子問言汝何等	觀 四 門 東 門 見 老 人 衰 朽 南 門 見 其 病 者 西 門 見 送 葬 者 北 門 見 一 比 丘 乃 是 作 瓶 天 子 所 化 太 子 問 言 汝 何 等 
T52n2118_001:0796b23	人。比丘答曰。世間無常。我由修其聖道超於彼岸。若能如是修者。亦皆如之。言訖騰空而去。太子因見老病死苦	人 比 丘 答 曰 世 間 無 常 我 由 修 其 聖 道 超 於 彼 岸 若 能 如 是 修 者 亦 皆 如 之 言 訖 騰 空 而 去 太 子 因 見 老 病 死 苦 
T52n2118_001:0796b24	甚為恐怖。遇此比丘愈起善心。厭棄王宮。亟急欲要出家修行)。	甚 為 恐 怖 遇 此 比 丘 愈 起 善 心 厭 棄 王 宮 亟 急 欲 要 出 家 修 行 
T52n2118_001:0796b25	王生憂懼恐斷國嗣。遂增以侍御音樂娛之。	王 生 憂 懼 恐 斷 國 嗣 遂 增 以 侍 御 音 樂 娛 之 
T52n2118_001:0796c01	太子不悅(王知太子心欲出家。恐懼斷絕國之後嗣。遂增添侍奉婇女。加以管絃音樂取其歡樂太	太 子 不 悅 王 知 太 子 心 欲 出 家 恐 懼 斷 絕 國 之 後 嗣 遂 增 添 侍 奉 婇 女 加 以 管 絃 音 樂 取 其 歡 樂 太 
T52n2118_001:0796c02	子不以為悅樂也)。	子 不 以 為 悅 樂 也 
T52n2118_001:0796c03	迨夜之央(迨至也。央半也。至其半夜)。	迨 夜 之 央 迨 至 也 央 半 也 至 其 半 夜 
T52n2118_001:0796c04	淨居天人(浮居天人。乃是輔太子出家者也)。	淨 居 天 人 浮 居 天 人 乃 是 輔 太 子 出 家 者 也 
T52n2118_001:0796c05	以天福力。彰侍御之魗容。九孔流溢不淨。蛆	以 天 福 力 彰 侍 御 之 魗 容 九 孔 流 溢 不 淨 蛆 
T52n2118_001:0796c06	蟲可厭(魗音醜。淨居天人用天福神力彰顯侍御。綏女俱各昏睡。現死屍相。各兩兩耳兩鼻口并大小	蟲 可 厭 魗 音 醜 淨 居 天 人 用 天 福 神 力 彰 顯 侍 御 綏 女 俱 各 昏 睡 現 死 屍 相 各 兩 兩 耳 兩 鼻 口 并 大 小 
T52n2118_001:0796c07	便等。九孔流出不淨蛆蟲。太子轉生厭離之心也)。	便 等 九 孔 流 出 不 淨 蛆 蟲 太 子 轉 生 厭 離 之 心 也 
T52n2118_001:0796c08	夜半子時。淨居天人報曰。太子可出宮。今正	夜 半 子 時 淨 居 天 人 報 曰 太 子 可 出 宮 今 正 
T52n2118_001:0796c09	是時(天人告太子曰。既降兜率欲滿宿願。要出王宮今正是時)。	是 時 天 人 告 太 子 曰 既 降 兜 率 欲 滿 宿 願 要 出 王 宮 今正是時 
T52n2118_001:0796c10	於是[馬*夸]犍陟(犍陟者馬名也)。	於 是 [馬夸] 犍 陟 犍 陟 者 馬 名 也 
T52n2118_001:0796c11	僕車匿(車匿從人)。	僕 車 匿 車 匿 從 人 
T52n2118_001:0796c12	天人捧駕(天人捧其馬足)。	天 人 捧 駕 天 人 捧 其 馬 足 
T52n2118_001:0796c13	飛空而去(飛空逾城而去)。	飛 空 而 去 飛 空 逾 城 而 去 
T52n2118_001:0796c14	投身雪嶺。趺坐盤石(既至雪嶺。坐於盤陀石上)。	投 身 雪 嶺 趺 坐 盤 石 既 至 雪 嶺 坐 於 盤 陀 石 上 
T52n2118_001:0796c15	淨思六年。遂成佛果(正宗記云。先於彌樓山。習不用處定。次於欝頭弗處。習非	淨 思 六 年 遂 成 佛 果 正 宗 記 云 先 於 彌 樓 山 習 不 用 處 定 次 於 欝 頭 弗 處 習 非 
T52n2118_001:0796c16	非想處定。又於象鼻山。覩明星面悟道。六年淨思方成佛果矣)。	非 想 處 定 又 於 象 鼻 山 覩 明 星 面 悟 道 六 年 淨 思 方 成 佛 果 矣 
T52n2118_001:0796c17	無惡不去。無善不圓(去上聲。除也。諸惡盡去。萬善周圓)。	無 惡 不 去 無 善 不 圓 去 上 聲 除 也 諸 惡 盡 去 萬 善 周 圓 
T52n2118_001:0796c18	首詣鹿林三轉四諦。而摩訶男等五人得道(五人	首 詣 鹿 林 三 轉 四 諦 而 摩 訶 男 等 五 人 得 道 五 人 
T52n2118_001:0796c19	者。佛初入山。父族三人一阿濕婆。二婆提三摩訶男拘利。母族二人。一憍陳如。二十力迦葉。侍佛佛不用。五人	者 佛 初 入 山 父 族 三 人 一 阿 濕 婆 二 婆 提 三 摩 訶 男 拘 利 母 族 二 人 一 憍 陳 如 二 十力迦葉 侍 佛 佛 不 用 五 人 
T52n2118_001:0796c20	各修梵行。佛既成道。首於鹿苑。與憍陳如等說三轉四諦法輪。三轉者。一示相轉。二勸修轉。三作證轉。一示相轉	各 修 梵 行 佛 既 成 道 首 於 鹿 苑 與 憍 陳 如 等 說 三 轉 四 諦 法 輪 三 轉 者 一 示 相 轉 二 勸 修 轉 三 作 證 轉 一 示 相 轉 
T52n2118_001:0796c21	者。此是苦。此是集。此是滅。此是道。二勸修轉者。此是苦汝須知。此是集汝須斷。此是滅汝須證。此是道汝須	者 此 是 苦 此 是 集 此 是 滅 此 是 道 二 勸 修 轉 者 此 是 苦 汝 須 知 此 是 集 汝 須 斷 此 是 滅 汝 須 證 此 是 道 汝 須 
T52n2118_001:0796c22	修。知世間苦因苦果。出世間樂因樂果也。三作證轉者。此是苦我已知。此是集我已斷。此是滅我已證。此是道我	修 知 世 間 苦 因 苦 果 出 世 間 樂 因 樂 果 也 三 作 證 轉 者 此 是 苦 我 已 知 此 是 集 我 已 斷 此 是 滅 我 已 證 此 是 道 我 
T52n2118_001:0796c23	已修。陳如等疑問。如來還出世間苦因苦果樂因樂果否。如來答云。我已知我已斷。我已修。我已證。五人聞說此	已 修 陳 如 等 疑 問 如 來 還 出 世 間 苦 因 苦 果 樂 因 樂 果 否 如 來 答 云 我 已 知 我 已 斷 我 已 修 我 已 證 五 人 聞 說 此 
T52n2118_001:0796c24	法各證道果)。	法 各 證 道 果 
T52n2118_001:0796c25	初宣小教(三轉四諦)。	初 宣 小 教 三 轉 四 諦 
T52n2118_001:0796c26	次演空宗。由是向室羅筏城祇園等處。八部	次 演 空 宗 由 是 向 室 羅 筏 城 祇 園 等 處 八 部 
T52n2118_001:0797a01	般若次第興焉(室羅筏城。即舍衛國城也。祗園者。即祗樹給孤獨也。八部般若者。大品般	般 若 次 第 興 焉 室 羅 筏 城 即 舍 衛 國 城 也 祗 園 者 即 祗 樹 給 孤 獨 也 八 部 般 若 者 大 品 般 
T52n2118_001:0797a02	若。中品般若放光般若。光贊般若。道行般若金剛般若。勝天王般若。文殊般若也。八部般若多以破有歸空。故曰	若 中 品 般 若 放 光 般 若 光 贊 般 若 道 行 般 若 金 剛 般 若 勝 天 王 般 若 文 殊 般 若 也 八 部 般 若 多 以 破 有 歸 空 故 曰 
T52n2118_001:0797a03	空宗)。	空 宗 
T52n2118_001:0797a04	後居鷲嶺演妙法華。會三歸一捨權從實(鷲嶺名。	後 居 鷲 嶺 演 妙 法 華 會 三 歸 一 捨 權 從 實 鷲 嶺 名 
T52n2118_001:0797a05	其山形似鷲鳥。故曰鷲嶺。嵓玲瓏可容萬人。佛於此中多說妙法。先因鹿苑說有。而盡皆執有次演八部般若。以說	其 山 形 似 鷲 鳥 故 曰 鷲 嶺 嵓 玲 瓏 可 容 萬 人 佛 於 此 中 多 說 妙 法 先 因 鹿 苑 說 有 而 盡 皆 執 有 次 演 八 部 般 若 以 說 
T52n2118_001:0797a06	空而咸皆執空。後於鷲嶺演妙法華。會三歸一者。會三乘歸於一乘。捨權從實者。乃從淺至深。捨小而歸大也)。	空 而 咸 皆 執 空 後 於 鷲 嶺 演 妙 法 華 會 三 歸 一 者 會 三 乘 歸 於 一 乘 捨 權 從 實 者 乃 從 淺 至 深 捨 小 而 歸 大 也 
T52n2118_001:0797a07	及於普光明殿。菩提道場。欲色諸天。逝林	及 於 普 光 明 殿 菩提道場 欲 色 諸 天 逝 林 
T52n2118_001:0797a08	等處。圓音極唱演大華嚴(此經有三部。上部十三千大千微塵數偈。一四	等 處 圓 音 極 唱 演 大 華 嚴 此 經 有 三 部 上 部 十 三千大千 微 塵 數 偈 一 四 
T52n2118_001:0797a09	天下微塵品。中部四十九萬八千八百偈。一千二百品。下部十萬偈頌。四十八品。今所傳者。三十九品。共四萬五	天 下 微 塵 品 中 部 四 十 九 萬 八 千 八 百 偈 一 千 二 百 品 下 部 十 萬 偈 頌 四 十 八 品 今 所 傳 者 三 十 九 品 共 四 萬 五 
T52n2118_001:0797a10	千頌。在唐外有九品。未就此下部經也。此經七處談九會演。具偏圓頓漸空有權實。總貫三乘五教之玄理。故曰大	千 頌 在 唐 外 有 九 品 未 就 此 下 部 經 也 此 經 七 處 談 九 會 演 具 偏 圓 頓 漸 空 有 權 實 總 貫 三 乘 五 教 之 玄 理 故 曰 大 
T52n2118_001:0797a11	方廣佛華嚴經是也)。	方 廣 佛 華 嚴 經 是 也 
T52n2118_001:0797a12	事無不窮。理無不盡(此經大小事窮淺深理盡)。	事 無 不 窮 理 無 不 盡 此 經 大 小 事 窮 淺 深 理 盡 
T52n2118_001:0797a13	聖凡交徹。主伴互參(圓五教貫三乘。含十方攝一切。會凡聖歸一體。通真俗以	聖 凡 交 徹 主 伴 互 參 圓 五 教 貫 三 乘 含 十 方 攝 一 切 會 凡 聖 歸 一 體 通 真 俗 以 
T52n2118_001:0797a14	混融故也)。	混 融 故 也 
T52n2118_001:0797a15	空有齊彰(如空中而現影)。	空 有 齊 彰 如 空 中 而 現 影 
T52n2118_001:0797a16	色心俱入(照境皆寂)。	色 心 俱 入 照 境 皆 寂 
T52n2118_001:0797a17	如燈遞照似鏡胥融。大小相含一多無礙(胥相也。	如 燈 遞 照 似 鏡 胥 融 大 小 相 含 一 多 無 礙 胥 相 也 
T52n2118_001:0797a18	總結上文意。佛之妙用。或大或小而含容。或一或多而無礙。此正顯凡聖交徹主伴互參無礙者。如燈燈互照。鏡鏡	總 結 上 文 意 佛 之 妙 用 或 大 或 小 而 含 容 或 一 或 多 而 無 礙 此 正 顯 凡 聖 交 徹 主 伴 互 參 無 礙 者 如 燈 燈 互 照 鏡 鏡 
T52n2118_001:0797a19	相融者也)。	相 融 者 也 
T52n2118_001:0797a20	十世同於一念(故華嚴偈云。一念普觀無量劫。無去無來亦無住。如斯了知三世事。超諸	十 世 同 於 一 念 故 華 嚴 偈 云 一 念 普 觀 無 量 劫 無 去 無 來 亦 無 住 如 斯 了 知 三 世 事 超 諸 
T52n2118_001:0797a21	方便成十力)。	方 便 成 十 力 
T52n2118_001:0797a22	剎那現於一毫(如來妙用。攝大千國土藏於一毫毛端。以一毫頭而現大千沙界。此華嚴	剎 那 現 於 一 毫 如 來 妙 用 攝 大 千 國 土 藏 於 一 毫 毛 端 以 一 毫 頭 而 現 大 千 沙 界 此 華 嚴 
T52n2118_001:0797a23	諸佛菩薩圓融一切境界故)。	諸佛菩薩 圓 融 一切境界 故 
T52n2118_001:0797a24	以不有(實無)之有(幻有)而成於有(能有)有(所有)之宗(妙有)以不	以 不 有 實 無 之 有 幻 有 而 成 於 有 能 有 有 所 有 之 宗 妙 有 以 不 
T52n2118_001:0797a25	空(頑空)之空(真空)而現於空(能空)空(所現)之境(一真法界)。	空 頑 空 之 空 真 空 而 現 於 空 能 空 空 所 現 之 境 一 真 法 界 
T52n2118_001:0797a26	直以空有不立。二諦常存(真無所立。妄本是空。不離不即。二諦常存)。	直 以 空 有 不 立 二 諦 常 存 真 無 所 立 妄 本 是 空 不 離 不 即 二 諦 常 存 
T52n2118_001:0797b01	寂照兩忘。真俗竝顯(於是體用俱忘。二諦雙顯)。	寂 照 兩 忘 真 俗 竝 顯 於 是 體 用 俱 忘 二 諦 雙 顯 
T52n2118_001:0797b02	即有而現於空有(就有而觀空有)。	即 有 而 現 於 空 有 就 有 而 觀 空 有 
T52n2118_001:0797b03	即空而現於有空(就空而觀有空)。	即 空 而 現 於 有 空 就 空 而 觀 有 空 
T52n2118_001:0797b04	包法界共異之名(如海納於異流)。	包 法 界 共 異 之 名 如 海 納 於 異 流 
T52n2118_001:0797b05	同名方廣(似百川而同廣)。	同 名 方 廣 似 百 川 而 同 廣 
T52n2118_001:0797b06	統諸教差別之號(總攝三乘五教之名)。	統 諸 教 差 別 之 號 總 攝 三 乘 五 教 之 名 
T52n2118_001:0797b07	總號華嚴(小始終頓之四。皆不出此圓教。故曰總號華嚴)。	總 號 華 嚴 小 始 終 頓 之 四 皆 不 出 此 圓 教 故 曰 總 號 華 嚴 
T52n2118_001:0797b08	實圓滿之洪規(實為圓滿具足之大規模故也)。	實 圓 滿 之 洪 規 實 為 圓 滿 具 足 之 大 規 模 故 也 
T52n2118_001:0797b09	乃真常之妙說(無假為真。不變為常。既談真常之理。故曰妙說)。	乃 真 常 之 妙 說 無 假 為 真 不 變 為 常 既 談 真 常 之 理 故 曰 妙 說 
T52n2118_001:0797b10	大矣哉(讚此圓教廣大)。	大 矣 哉 讚 此 圓 教 廣 大 
T52n2118_001:0797b11	不可思議之極致也(法無大小前後。約機而說之故也。逈脫言慮心想。不能及。情	不可思議 之 極 致 也 法 無 大 小 前 後 約 機 而 說 之 故 也 逈 脫 言 慮 心 想 不 能 及 情 
T52n2118_001:0797b12	識名言不能至故無不可思議之極。至盡之教也)。	識 名 言 不 能 至 故 無 不可思議 之 極 至 盡 之 教 也 
T52n2118_001:0797b13	故佛乃利生廣大(故者。指義之辭。餘例此。普度一切眾生。成證一乘妙果故曰廣大也)。	故 佛 乃 利 生 廣 大 故 者 指 義 之 辭 餘 例 此 普 度 一 切 眾 生 成 證 一 乘 妙 果 故 曰 廣 大 也 
T52n2118_001:0797b14	潤物洪深(利齊之心。若天降甘澤萬物皆蒙滋潤故曰潤物洪深是也)。	潤 物 洪 深 利 齊 之 心 若 天 降 甘 澤 萬 物 皆 蒙 滋 潤 故 曰 潤 物 洪 深 是 也 
T52n2118_001:0797b15	牢籠億劫之生(華嚴經云。張大教網。摝人天魚置涅槃岸)。	牢 籠 億 劫 之 生 華 嚴 經 云 張 大 教 網 摝 人 天 魚 置 涅 槃 岸 
T52n2118_001:0797b16	濟拔無邊之苦(隨類化導濟拔沈淪。皆得離苦獲樂)。	濟 拔 無 邊 之 苦 隨 類 化 導 濟 拔 沈 淪 皆 得 離 苦 獲 樂 
T52n2118_001:0797b17	然以不生之生。而現於有生之生(如來真淨妙體本來無生。因	然 以 不 生 之 生 而 現 於 有 生 之 生 如 來 真 淨 妙 體 本來無生 因 
T52n2118_001:0797b18	見一切眾生往來六道無有了期。故以示無生之體。化現於有生之類故也)。	見 一 切 眾 生 往 來 六 道 無 有 了 期 故 以 示 無 生 之 體 化 現 於 有 生 之 類 故 也 
T52n2118_001:0797b19	以無相之相。而現於有相之相矣(真實之相。名之無相。以無	以 無 相 之 相 而 現 於 有 相 之 相 矣 真 實 之 相 名 之 無 相 以 無 
T52n2118_001:0797b20	相之理現於有相之中。乃化度眾生之相矣)。	相 之 理 現 於 有 相 之 中 乃 化 度 眾 生 之 相 矣 
T52n2118_001:0797b21	客澄思淨默。移時不語(客聞言佛圓融要妙法門。清淨其心念。靜默過時不語)。	客 澄 思 淨 默 移 時 不 語 客 聞 言 佛 圓 融 要 妙 法 門 清 淨 其 心 念 靜 默 過 時 不 語 
T52n2118_001:0797b22	妙明曰。子於吾說不自決乎(子今聞我所言法要。不能自決擇於理	妙 明 曰 子 於 吾 說 不 自 決 乎 子 今 聞 我 所 言 法 要 不 能 自 決 擇 於 理 
