X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0320a29	三更變八方世界(釋迦)	三 更 變 八 方 世 界 釋 迦 
X32n0618_001:0320a30	七與欲開此寶塔(五)	七 與 欲 開 此 寶 塔 五 
X32n0618_001:0320a31	初諸佛問訊說欲(是時)	初 諸 佛 問 訊 說 欲 是 時 
X32n0618_001:0320a32	二釋迦右指開塔(爾時)	二 釋 迦 右 指 開 塔 爾 時 
X32n0618_001:0320a33	三四眾一同見聞(即時)	三 四 眾 一 同 見 聞 即 時 
X32n0618_001:0320a34	四二佛分座並坐(爾時)	四 二 佛 分 座 並 坐 爾 時 
X32n0618_001:0320a35	五四眾默念請加(爾時)	五 四 眾 默 念 請 加 爾 時 
X32n0618_001:0320a36	三釋迦唱募(以大)	三 釋 迦 唱 募 以 大 
X32n0618_001:0320a37	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0320a38	初三行半頌寶塔涌現(爾時)	初 三 行 半 頌 寶 塔 涌 現 爾 時 
X32n0618_001:0320a39	二八行半頌分身遠集(又我)	二 八 行 半 頌 分 身 遠 集 又 我 
X32n0618_001:0320a40	三三十六行頌釋迦唱募(二)	三 三 十 六 行 頌 釋 迦 唱 募 二 
X32n0618_001:0320a41	初八行半舉三佛以勸持經(三)	初 八 行 半 舉 三 佛 以 勸 持 經 三 
X32n0618_001:0320a42	初一行半頌募覔其人(告諸)	初 一 行 半 頌 募 覔 其 人 告 諸 
X32n0618_001:0320a43	二三行舉三佛以勸(其多)	二 三 行 舉 三 佛 以 勸 其 多 
X32n0618_001:0320a44	三四行釋上勸意(其有)	三 四 行 釋 上 勸 意 其 有 
X32n0618_001:0320a45	二廿七行半舉難持以堅誓願(二)	二 廿 七 行 半 舉 難 持 以 堅 誓 願 二 
X32n0618_001:0320a46	初二十行正舉勸持(三)	初 二 十 行 正 舉 勸 持 三 
X32n0618_001:0320a47	初一行頌誡勸(諸善)	初 一 行 頌 誡 勸 諸 善 
X32n0618_001:0320a48	二十七行頌正勸(六)	二 十 七 行 頌 正 勸 六 
X32n0618_001:0320a49	初五行頌無願說難(諸餘)	初 五 行 頌 無 願 說 難 諸 餘 
X32n0618_001:0320a50	二二行頌無願書難(假使)	二 二 行 頌 無 願 書 難 假 使 
X32n0618_001:0320a51	三二行頌無願讀難(若以)	三 二 行 頌 無 願 讀 難 若 以 
X32n0618_001:0320a52	四二行頌無願持難(假使)	四 二 行 頌 無 願 持 難 假 使 
X32n0618_001:0320a53	五三行頌無願聽難(若持)	五 三 行 頌 無 願 聽 難 若 持 
X32n0618_001:0320a54	六三行頌無願奉難(若人)	六 三 行 頌 無 願 奉 難 若 人 
X32n0618_001:0320a55	三二行頌結勸(我為)	三 二 行 頌 結 勸 我 為 
X32n0618_001:0320a56	二七行半總釋勸意(諸善)	二 七 行 半 總 釋 勸 意 諸 善 
X32n0618_001:0320a57	二難易得果證法平等(二)　提婆達多品	二 難 易 得 果 證 法 平 等 二 提 婆 達 多 品 
X32n0618_001:0320a58	初明達多通經釋迦資之成道(三)	初 明 達 多 通 經 釋 迦 資 之 成 道 三 
X32n0618_001:0320a59	初師弟原委(二)	初 師 弟 原 委 二 
X32n0618_001:0321a01	初長行(四)	初 長 行 四 
X32n0618_001:0321a02	初明求法時節(爾時)	初 明 求 法 時 節 爾 時 
X32n0618_001:0321a03	二正明求法(二)	二 正 明 求 法 二 
X32n0618_001:0321a04	初明發願(於多)	初 明 發 願 於 多 
X32n0618_001:0321a05	二明脩行(二)	二 明 脩 行 二 
X32n0618_001:0321a06	初明六度行滿(為欲)	初 明 六 度 行 滿 為 欲 
X32n0618_001:0321a07	二明推求妙法(時世)	二 明 推 求 妙 法 時 世 
X32n0618_001:0321a08	三求得法師(時有)	三 求 得 法 師 時 有 
X32n0618_001:0321a09	四受法奉行(王聞)	四 受 法 奉 行 王 聞 
X32n0618_001:0321a10	二偈頌(五)	二 偈 頌 五 
X32n0618_001:0321a11	初二句頌求法時節(爾時)	初 二 句 頌 求 法 時 節 爾 時 
X32n0618_001:0321a12	二一行半頌正明求法(雖作)	二 一 行 半 頌 正 明 求 法 雖 作 
X32n0618_001:0321a13	三一行半頌求得法師(時有)	三 一 行 半 頌 求 得 法 師 時 有 
X32n0618_001:0321a14	四二行頌受法奉行(時王)	四 二 行 頌 受 法 奉 行 時 王 
X32n0618_001:0321a15	五二行結證勸信(普為)	五 二 行 結 證 勸 信 普 為 
X32n0618_001:0321a16	二結會古今(二)	二 結 會 古 今 二 
X32n0618_001:0321a17	初正結會古今(佛告)	初 正 結 會 古 今 佛 告 
X32n0618_001:0321a18	二明師弟功滿(二)	二 明 師 弟 功 滿 二 
X32n0618_001:0321a19	初明弟子功報圓滿(由提)	初 明 弟 子 功 報 圓 滿 由 提 
X32n0618_001:0321a20	二明法師妙果當成(三)	二 明 法 師 妙 果 當 成 三 
X32n0618_001:0321a21	初正明得果(告諸)	初 正 明 得 果 告 諸 
X32n0618_001:0321a22	二明果後化度(時天)	二 明 果 後 化 度 時 天 
X32n0618_001:0321a23	三明滅後利益(時天)	三 明 滅 後 利 益 時 天 
X32n0618_001:0321a24	三勸信生善(佛告)	三 勸 信 生 善 佛 告 
X32n0618_001:0321a25	二文殊弘經龍女因之成佛(二)	二 文 殊 弘 經 龍 女 因 之 成 佛 二 
X32n0618_001:0321a26	初明文殊通經(五)	初 明 文 殊 通 經 五 
X32n0618_001:0321a27	初智積請退(於時)	初 智 積 請 退 於 時 
X32n0618_001:0321a28	二釋迦止之(釋迦)	二 釋 迦 止 之 釋 迦 
X32n0618_001:0321a29	三文殊尋來(爾時)	三 文 殊 尋 來 爾 時 
X32n0618_001:0321a30	四智積請問(智積)	四 智 積 請 問 智 積 
X32n0618_001:0321a31	五文殊垂答(文殊)	五 文 殊 垂 答 文 殊 
X32n0618_001:0321a32	二明通經利益(十)	二 明 通 經 利 益 十 
X32n0618_001:0321a33	初智積偈問(爾時)	初 智 積 偈 問 爾 時 
X32n0618_001:0321a34	二文殊略答(文殊)	二 文 殊 略 答 文 殊 
X32n0618_001:0321a35	三問有得果(智積)	三 問 有 得 果 智 積 
X32n0618_001:0321a36	四答有其人(文殊)	四 答 有 其 人 文 殊 
X32n0618_001:0321a37	五智積疑問(智積)	五 智 積 疑 問 智 積 
X32n0618_001:0321a38	六龍女釋疑(言論)	六 龍 女 釋 疑 言 論 
X32n0618_001:0321a39	七挾權難問(時舍)	七 挾 權 難 問 時 舍 
X32n0618_001:0321a40	八献珠除疑(二)	八 献 珠 除 疑 二 
X32n0618_001:0321a41	初献珠以表圓解(爾時)	初 献 珠 以 表 圓 解 爾 時 
X32n0618_001:0321a42	二果滿正除眾疑(當時)	二 果 滿 正 除 眾 疑 當 時 
X32n0618_001:0321a43	九時眾得益(爾時)	九 時 眾 得 益 爾 時 
X32n0618_001:0321a44	十會眾默然(智積)	十 會 眾 默 然 智 積 
X32n0618_001:0321a45	二示佛知見已竟。	二 示 佛 知 見 已 竟 
X32n0618_001:0321a47	持品	持 品 
X32n0618_001:0321a49	○三悟佛知見(二)	 三 悟 佛 知 見 二 
X32n0618_001:0321a50	初因迹門弟子通經(二)	初 因 迹 門 弟 子 通 經 二 
X32n0618_001:0321a51	初明持經(二)	初 明 持 經 二 
X32n0618_001:0321a52	初明受持(三)	初 明 受 持 三 
X32n0618_001:0321a53	初菩薩奉命此土弘經(爾時)	初 菩 薩 奉 命 此 土 弘 經 爾 時 
X32n0618_001:0321a54	二聲聞發願他土弘經(爾時)	二 聲 聞 發 願 他 土 弘 經 爾 時 
X32n0618_001:0321a55	三六千比丘尼眾請記(三)	三 六 千 比 丘 尼 眾 請 記 三 
X32n0618_001:0321a56	初波闍波提請記(二)	初 波 闍 波 提 請 記 二 
X32n0618_001:0321a57	初請記(爾時)	初 請 記 爾 時 
X32n0618_001:0321a58	二與記(於時)	二 與 記 於 時 
X32n0618_001:0321a59	二耶輸陀羅請記(二)	二 耶 輸 陀 羅 請 記 二 
X32n0618_001:0321a60	初請記(爾時)	初 請 記 爾 時 
X32n0618_001:0321a61	二與記(佛告)	二 與 記 佛 告 
X32n0618_001:0321a62	三尼眾領解發願(爾時)	三 尼 眾 領 解 發 願 爾 時 
X32n0618_001:0322a01	二明勸持(二)	二 明 勸 持 二 
X32n0618_001:0322a02	初長行(二)	初 長 行 二 
X32n0618_001:0322a03	初如來目視(爾時)	初 如 來 目 視 爾 時 
X32n0618_001:0322a04	二菩薩發願(是諸)	二 菩 薩 發 願 是 諸 
X32n0618_001:0322a05	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0322a06	初十七行廣明忍難(二)	初 十 七 行 廣 明 忍 難 二 
X32n0618_001:0322a07	初一行總明惡世弘經(即時)	初 一 行 總 明 惡 世 弘 經 即 時 
X32n0618_001:0322a08	二十六行廣明所忍之境(四)	二 十 六 行 廣 明 所 忍 之 境 四 
X32n0618_001:0322a09	初一行總明忍惡(有諸)	初 一 行 總 明 忍 惡 有 諸 
X32n0618_001:0322a10	二三行三句邪慢行事(惡世)	二 三 行 三 句 邪 慢 行 事 惡 世 
X32n0618_001:0322a11	三五行三句出過謗毀(好出)	三 五 行 三 句 出 過 謗 毀 好 出 
X32n0618_001:0322a12	四五行半敬佛忍難(濁劫)	四 五 行 半 敬 佛 忍 難 濁 劫 
X32n0618_001:0322a13	二二行略明通經(諸聚)	二 二 行 略 明 通 經 諸 聚 
X32n0618_001:0322a14	三一行總結誓願(我於)　初明持經已竟	三 一 行 總 結 誓 願 我 於 初 明 持 經 已 竟 
X32n0618_001:0322a15	二示方執○	二 示 方 執 
X32n0618_001:0322a16	二發本門弟子通經○	二 發 本 門 弟 子 通 經 
X32n0618_001:0322a18	法華大成卷七科文	法 華 大 成 卷 七 科 文 
X32n0618_001:0322a20	安樂行品	安樂行品 
X32n0618_001:0322a22	○二示方軌(二)	 二 示 方 軌 二 
X32n0618_001:0322a23	初文殊請問(二)	初 文 殊 請 問 二 
X32n0618_001:0322a24	初歎深位如是弘經(爾時)	初 歎 深 位 如 是 弘 經 爾 時 
X32n0618_001:0322a25	二問淺行云何宣說(世尊)	二 問 淺 行 云 何 宣 說 世 尊 
X32n0618_001:0322a26	二如來垂答(二)	二 如 來 垂 答 二 
X32n0618_001:0322a27	初總標章門(佛告)	初 總 標 章 門 佛 告 
X32n0618_001:0322a28	二詳釋四行(四)	二 詳 釋 四 行 四 
X32n0618_001:0322a29	初身安樂(二)	初 身 安 樂 二 
X32n0618_001:0322a30	初長行(二)	初 長 行 二 
X32n0618_001:0322a31	初總標行近(一者)	初 總 標 行 近 一 者 
X32n0618_001:0322a32	二別釋行近(二)	二 別 釋 行 近 二 
X32n0618_001:0322a33	初釋行處(二)	初 釋 行 處 二 
X32n0618_001:0322a34	初明事行(文殊)	初 明 事 行 文 殊 
X32n0618_001:0322a35	二明理行(又復)	二 明 理 行 又 復 
X32n0618_001:0322a36	二釋近處(二)	二 釋 近 處 二 
X32n0618_001:0322a37	初明事行(二)	初 明 事 行 二 
X32n0618_001:0322a38	初明遠(十)	初 明 遠 十 
X32n0618_001:0322a39	初遠豪勢(云何)	初 遠 豪 勢 云 何 
X32n0618_001:0322a40	二遠邪人(不親)	二 遠 邪 人 不 親 
X32n0618_001:0322a41	三遠險戲(亦不)	三 遠 險 戲 亦 不 
X32n0618_001:0322a42	四遠惡人(又不)	四 遠 惡 人 又 不 
X32n0618_001:0322a43	五遠二乘(又不)	五 遠 二 乘 又 不 
X32n0618_001:0322a44	六遠欲想(文殊)	六 遠 欲 想 文 殊 
X32n0618_001:0322a45	七遠不男(亦復)	七 遠 不 男 亦 復 
X32n0618_001:0322a46	八遠危害(不獨)	八 遠 危 害 不 獨 
X32n0618_001:0322a47	九遠譏嫌(若為)	九 遠 譏 嫌 若 為 
X32n0618_001:0322a48	十遠畜養(不樂)	十 遠 畜 養 不 樂 
X32n0618_001:0322a49	二明近(常好)	二 明 近 常 好 
X32n0618_001:0322a50	二明理行(復次)	二 明 理 行 復 次 
X32n0618_001:0322a51	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0322a52	初二十三行頌上長行(二)	初 二 十 三 行 頌 上 長 行 二 
X32n0618_001:0322a53	初十五行頌二處事行(爾時)	初 十 五 行 頌 二 處 事 行 爾 時 
X32n0618_001:0322a54	二八行頌二處理行(二)	二 八 行 頌 二 處 理 行 二 
X32n0618_001:0322a55	初二行半頌行處理行(又復)	初 二 行 半 頌 行 處 理 行 又 復 
X32n0618_001:0322a56	二五行半頌近處理行(一切)	二 五 行 半 頌 近 處 理 行 一 切 
X32n0618_001:0322a57	二五行三句結明行成(若有)	二 五 行 三 句 結 明 行 成 若 有 
X32n0618_001:0322a58	二口安樂(二)	二 口 安 樂 二 
X32n0618_001:0323a01	初長行(二)	初 長 行 二 
X32n0618_001:0323a02	初標章(又文)	初 標 章 又 文 
X32n0618_001:0323a03	二釋行法(二)	二 釋 行 法 二 
X32n0618_001:0323a04	初明止行(若口)	初 明 止 行 若 口 
X32n0618_001:0323a05	二明說行(善修)	二 明 說 行 善 修 
X32n0618_001:0323a06	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0323a07	初十一行半頌上長行(二)	初 十 一 行 半 頌 上 長 行 二 
X32n0618_001:0323a08	初七行半頌止行(爾時)	初 七 行 半 頌 止 行 爾 時 
X32n0618_001:0323a09	二四行頌觀行(晝夜)	二 四 行 頌 觀 行 晝 夜 
X32n0618_001:0323a10	二五行頌結明行成(我滅)	二 五 行 頌 結 明 行 成 我 滅 
X32n0618_001:0323a11	三意安樂(二)	三 意 安 樂 二 
X32n0618_001:0323a12	初長行(二)	初 長 行 二 
X32n0618_001:0323a13	初標章(又文)	初 標 章 又 文 
X32n0618_001:0323a14	二釋行法(三)	二 釋 行 法 三 
X32n0618_001:0323a15	初釋止行(無懷)	初 釋 止 行 無 懷 
X32n0618_001:0323a16	二明觀行(當於)	二 明 觀 行 當 於 
X32n0618_001:0323a17	三結行成(文殊)	三 結 行 成 文 殊 
X32n0618_001:0323a18	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0323a19	初二行頌止行(爾時)	初 二 行 頌 止 行 爾 時 
X32n0618_001:0323a20	二三行頌觀行(是佛)	二 三 行 頌 觀 行 是 佛 
X32n0618_001:0323a21	三一行頌行成(第三)	三 一 行 頌 行 成 第 三 
X32n0618_001:0323a22	四誓願安樂(二)	四 誓 願 安 樂 二 
X32n0618_001:0323a23	初長行(二)	初 長 行 二 
X32n0618_001:0323a24	初明行法(三)	初 明 行 法 三 
X32n0618_001:0323a25	初標章(又文)	初 標 章 又 文 
X32n0618_001:0323a26	二釋行法(於在)	二 釋 行 法 於 在 
X32n0618_001:0323a27	三結行成(二)	三 結 行 成 二 
X32n0618_001:0323a28	初明行成無過(文殊)	初 明 行 成 無 過 文 殊 
X32n0618_001:0323a29	二明行成利益(常為)	二 明 行 成 利 益 常 為 
X32n0618_001:0323a30	初歎經法(二)	初 歎 經 法 二 
X32n0618_001:0323a31	初法說(文殊)	初 法 說 文 殊 
X32n0618_001:0323a32	二喻說(二)	二 喻 說 二 
X32n0618_001:0323a33	初不與珠喻(二)	初 不 與 珠 喻 二 
X32n0618_001:0323a34	初喻說(文殊)	初 喻 說 文 殊 
X32n0618_001:0323a35	二法合(文殊)	二 法 合 文 殊 
X32n0618_001:0323a36	二與珠喻(二)	二 與 珠 喻 二 
X32n0618_001:0323a37	初喻說(文殊)	初 喻 說 文 殊 
X32n0618_001:0323a38	二法合(如來)	二 法 合 如 來 
X32n0618_001:0323a39	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0323a40	初十四行半頌上長行(二)	初 十 四 行 半 頌 上 長 行 二 
X32n0618_001:0323a41	初四行頌釋行法(爾時)	初 四 行 頌 釋 行 法 爾 時 
X32n0618_001:0323a42	二十行半歎經法(二)	二 十 行 半 歎 經 法 二 
X32n0618_001:0323a43	初四行頌喻說(二)	初 四 行 頌 喻 說 二 
X32n0618_001:0323a44	初三行頌不與珠喻(譬如)	初 三 行 頌 不 與 珠 喻 譬 如 
X32n0618_001:0323a45	二一行頌與珠喻(如有)	二 一 行 頌 與 珠 喻 如 有 
X32n0618_001:0323a46	二六行半頌法合(二)	二 六 行 半 頌 法 合 二 
X32n0618_001:0323a47	初三行半頌合不與珠喻(如來)	初 三 行 半 頌 合 不 與 珠 喻 如 來 
X32n0618_001:0323a48	二三行頌合與珠喻(既知)	二 三 行 頌 合 與 珠 喻 既 知 
X32n0618_001:0323a49	二二十三行總結行成(三)	二 二 十 三 行 總 結 行 成 三 
X32n0618_001:0323a50	初一行半結勸四行(我滅)	初 一 行 半 結 勸 四 行 我 滅 
X32n0618_001:0323a51	二二十行半頌行成感徵(二)	二 二 十 行 半 頌 行 成 感 徵 二 
X32n0618_001:0323a52	初四行半明三障感報(三)	初 四 行 半 明 三 障 感 報 三 
X32n0618_001:0323a53	初一行報障清淨(讀是)	初 一 行 報 障 清 淨 讀 是 
X32n0618_001:0323a54	二二句業障清淨(不生)	二 二 句 業 障 清 淨 不 生 
X32n0618_001:0323a55	三三行煩惱清淨(眾生)	三 三 行 煩 惱 清 淨 眾 生 
X32n0618_001:0323a56	二十六行明夢境徵相(六)	二 十 六 行 明 夢 境 徵 相 六 
X32n0618_001:0323a57	初一行半夢諸佛說法(若於)	初 一 行 半 夢 諸 佛 說 法 若 於 
X32n0618_001:0323a58	二一行夢八部圍繞(又見)	二 一 行 夢 八 部 圍 繞 又 見 
X32n0618_001:0323a59	三二句夢自身說法(自見)	三 二 句 夢 自 身 說 法 自 見 
X32n0618_001:0323a60	四六行半夢聞法得記(又見)	四 六 行 半 夢 聞 法 得 記 又 見 
X32n0618_001:0323a61	五一行半夢脩禪見佛(又見)	五 一 行 半 夢 脩 禪 見 佛 又 見 
X32n0618_001:0323a62	六五行夢八相成道(諸佛)	六 五 行 夢 八相成道 諸 佛 
X32n0618_001:0323a63	三一行總結利益(若後)	三 一 行 總 結 利 益 若 後 
X32n0618_001:0323a64	初因迹門弟子通經已竟。	初 因 迹 門 弟 子 通 經 已 竟 
X32n0618_001:0324a01	從地湧出品	從 地 湧 出 品 
X32n0618_001:0324a03	○二發本門弟子通經(三)	 二 發 本 門 弟 子 通 經 三 
X32n0618_001:0324a04	初從地湧出(三)	初 從 地 湧 出 三 
X32n0618_001:0324a05	初他土菩薩請命(爾時)	初 他 土 菩 薩 請 命 爾 時 
X32n0618_001:0324a06	二如來止他召此(爾時)	二 如 來 止 他 召 此 爾 時 
X32n0618_001:0324a07	三下方菩薩湧出(二)	三 下 方 菩 薩 湧 出 二 
X32n0618_001:0324a08	初經家敘相(五)	初 經 家 敘 相 五 
X32n0618_001:0324a09	初地裂湧出(佛說)	初 地 裂 湧 出 佛 說 
X32n0618_001:0324a10	二菩薩身相(是諸)	二 菩 薩 身 相 是 諸 
X32n0618_001:0324a11	三菩薩住處(先盡)	三 菩 薩 住 處 先 盡 
X32n0618_001:0324a12	四聞召故來(是諸)	四 聞 召 故 來 是 諸 
X32n0618_001:0324a13	五眷屬眾多(一一)	五 眷 屬 眾 多 一 一 
X32n0618_001:0324a14	二讚歎問訊(五)	二 讚 歎 問 訊 五 
X32n0618_001:0324a15	初海眾讚歎(是諸)	初 海 眾 讚 歎 是 諸 
X32n0618_001:0324a16	二上首問訊(是菩)	二 上 首 問 訊 是 菩 
X32n0618_001:0324a17	三佛答安樂(爾時)	三 佛 答 安 樂 爾 時 
X32n0618_001:0324a18	四偈頌隨喜(爾時)	四 偈 頌 隨 喜 爾 時 
X32n0618_001:0324a19	五如來述歎(爾時)	五 如 來 述 歎 爾 時 
X32n0618_001:0324a20	二彌勒疑問(二)	二 彌 勒 疑 問 二 
X32n0618_001:0324a21	初此土菩薩疑(二)	初 此 土 菩 薩 疑 二 
X32n0618_001:0324a22	初長行疑念(爾時)	初 長 行 疑 念 爾 時 
X32n0618_001:0324a23	二偈頌正問(五)	二 偈 頌 正 問 五 
X32n0618_001:0324a24	初一行一句問從所來(無量)	初 一 行 一 句 問 從 所 來 無 量 
X32n0618_001:0324a25	二一行三句問何緣來(以何)	二 一 行 三 句 問 何 緣 來 以 何 
X32n0618_001:0324a26	三九行敘數無量(一一)	三 九 行 敘 數 無 量 一 一 
X32n0618_001:0324a27	四二行問師是誰(是諸)	四 二 行 問 師 是 誰 是 諸 
X32n0618_001:0324a28	五五行半請答原委(如是)	五 五 行 半 請 答 原 委 如 是 
X32n0618_001:0324a29	二他土菩薩疑(爾時)	二 他 土 菩 薩 疑 爾 時 
X32n0618_001:0324a30	三如來詳答(二)	三 如 來 詳 答 二 
X32n0618_001:0324a31	初誡聽(二)	初 誡 聽 二 
X32n0618_001:0324a32	初長行(爾時)	初 長 行 爾 時 
X32n0618_001:0324a33	二偈頌(爾時)	二 偈 頌 爾 時 
X32n0618_001:0324a34	二正答(二)	二 正 答 二 
X32n0618_001:0324a35	初略開近顯遠(二)	初 略 開近顯遠 二 
X32n0618_001:0324a36	初開近顯遠(二)	初 開近顯遠 二 
X32n0618_001:0324a37	初長行(二)	初 長 行 二 
X32n0618_001:0324a38	初答師弟(爾時)	初 答 師 弟 爾 時 
X32n0618_001:0324a39	二答處所(此諸)	二 答 處 所 此 諸 
X32n0618_001:0324a40	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0324a41	初五行半頌長行(爾時)	初 五 行 半 頌 長 行 爾 時 
X32n0618_001:0324a42	二三行動執生疑(我於)	二 三 行 動 執 生 疑 我 於 
X32n0618_001:0324a43	二因疑更請(二)	二 因 疑 更 請 二 
X32n0618_001:0324a44	初長行(二)	初 長 行 二 
X32n0618_001:0324a45	初疑念(爾時)	初 疑 念 爾 時 
X32n0618_001:0324a46	二陳請(二)	二 陳 請 二 
X32n0618_001:0324a47	初法說(三)	初 法 說 三 
X32n0618_001:0324a48	初執近疑遠(即白)	初 執 近 疑 遠 即 白 
X32n0618_001:0324a49	二執遠疑近(世尊)	二 執 遠 疑 近 世 尊 
X32n0618_001:0324a50	三結其難信(世尊)	三 結 其 難 信 世 尊 
X32n0618_001:0324a51	二喻說(二)	二 喻 說 二 
X32n0618_001:0324a52	初喻說(譬如)	初 喻 說 譬 如 
X32n0618_001:0324a53	二法合(三)	二 法 合 三 
X32n0618_001:0324a54	初合成道近喻(佛亦)	初 合 成 道 近 喻 佛 亦 
X32n0618_001:0324a55	二合所化多喻(而此)	二 合 所 化 多 喻 而 此 
X32n0618_001:0324a56	三合難信請答(三)	三 合 難 信 請 答 三 
X32n0618_001:0324a57	初舉佛語(今日)	初 舉 佛 語 今 日 
X32n0618_001:0324a58	二明請意(我等)	二 明 請 意 我 等 
X32n0618_001:0325a01	三正請答(唯然)	三 正 請 答 唯 然 
X32n0618_001:0325a02	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0325a03	初五行頌法說(爾時)	初 五 行 頌 法 說 爾 時 
X32n0618_001:0325a04	二九行頌喻說(二)	二 九 行 頌 喻 說 二 
X32n0618_001:0325a05	初二行頌喻說(譬如)	初 二 行 頌 喻 說 譬 如 
X32n0618_001:0325a06	二七行頌法合(三)	二 七 行 頌 法 合 三 
X32n0618_001:0325a07	初二句頌合成道近喻(世尊)	初 二 句 頌 合 成 道 近 喻 世 尊 
X32n0618_001:0325a08	二三行半頌合所化多喻(是諸)	二 三 行 半 頌 合 所 化 多 喻 是 諸 
X32n0618_001:0325a09	三三行頌合難信請答(我等)	三 三 行 頌 合 難 信 請 答 我 等 
X32n0618_001:0325a10	二廣開近顯遠(二)　壽量品	二 廣 開近顯遠 二 壽 量 品 
X32n0618_001:0325a11	初誡信(三)	初 誡 信 三 
X32n0618_001:0325a12	初三誡(爾時)	初 三 誡 爾 時 
X32n0618_001:0325a13	二三請(是時)	二 三 請 是 時 
X32n0618_001:0325a14	三重請重誡(復言)	三 重 請 重 誡 復 言 
X32n0618_001:0325a15	二正答(二)	二 正 答 二 
X32n0618_001:0325a16	初長行(二)	初 長 行 二 
X32n0618_001:0325a17	初法說(二)	初 法 說 二 
X32n0618_001:0325a18	初三世益物(二)	初 三 世 益 物 二 
X32n0618_001:0325a19	初明過去益物(二)	初 明 過 去 益 物 二 
X32n0618_001:0325a20	初出執近之情(如來)	初 出 執 近 之 情 如 來 
X32n0618_001:0325a21	二明破近顯遠(二)	二 明 破 近 顯 遠 二 
X32n0618_001:0325a22	初顯遠舉喻(二)	初 顯 遠 舉 喻 二 
X32n0618_001:0325a23	初正明顯遠(然善)	初 正 明 顯 遠 然 善 
X32n0618_001:0325a24	二舉喻格量(三)	二 舉 喻 格 量 三 
X32n0618_001:0325a25	初舉喻難問(譬如)	初 舉 喻 難 問 譬 如 
X32n0618_001:0325a26	二答其難知(彌勒)	二 答 其 難 知 彌 勒 
X32n0618_001:0325a27	三合顯長遠(爾時)	三 合 顯 長 遠 爾 時 
X32n0618_001:0325a28	二過去益物(三)	二 過 去 益 物 三 
X32n0618_001:0325a29	初益物之處(自從)	初 益 物 之 處 自 從 
X32n0618_001:0325a30	二拂迹中疑(諸菩)	二 拂 迹 中 疑 諸 菩 
X32n0618_001:0325a31	三正明益物(二)	三 正 明 益 物 二 
X32n0618_001:0325a32	初明感應(諸善)	初 明 感 應 諸 善 
X32n0618_001:0325a33	二明施化(處處)	二 明 施 化 處 處 
X32n0618_001:0325a34	二明現在益物(二)	二 明 現 在 益 物 二 
X32n0618_001:0325a35	初明機感(諸善)	初 明 機 感 諸 善 
X32n0618_001:0325a36	二明應化(二)	二 明 應 化 二 
X32n0618_001:0325a37	初非生現生(二)	初 非 生 現 生 二 
X32n0618_001:0325a38	初明非生現生(為是)	初 明 非 生 現 生 為 是 
X32n0618_001:0325a39	二明現生利益(二)	二 明 現 生 利 益 二 
X32n0618_001:0325a40	初明益物不虗(諸善)	初 明 益 物 不 虗 諸 善 
X32n0618_001:0325a41	二徵釋不虗(二)	二 徵 釋 不 虗 二 
X32n0618_001:0325a42	初照理不虗(所以)	初 照 理 不 虗 所 以 
X32n0618_001:0325a43	二稱機不虗(以諸)	二 稱 機 不 虗 以 諸 
X32n0618_001:0325a44	二非滅現滅(二)	二 非 滅 現 滅 二 
X32n0618_001:0325a45	初明非滅現滅(二)	初 明 非 滅 現 滅 二 
X32n0618_001:0325a46	初本實不滅(如是)	初 本 實 不 滅 如 是 
X32n0618_001:0325a47	二迹中唱滅(然今)	二 迹 中 唱 滅 然 今 
X32n0618_001:0325a48	二明現滅利益(二)	二 明 現 滅 利 益 二 
X32n0618_001:0325a49	初不滅眾生有損(二)	初 不 滅 眾 生 有 損 二 
X32n0618_001:0325a50	初不滅有損(所以)	初 不 滅 有 損 所 以 
X32n0618_001:0325a51	二釋有損意(若見)	二 釋 有 損 意 若 見 
X32n0618_001:0325a52	二唱滅於物有益(二)	二 唱 滅 於 物 有 益 二 
X32n0618_001:0325a53	初歎佛難值(是故)	初 歎 佛 難 值 是 故 
X32n0618_001:0325a54	二徵釋難值(所以)	二 徵 釋 難 值 所 以 
X32n0618_001:0325a55	二總結不虗(又善)	二 總 結 不 虗 又 善 
X32n0618_001:0325a56	二喻說(二)	二 喻 說 二 
X32n0618_001:0326a01	初喻說(二)	初 喻 說 二 
X32n0618_001:0326a02	初良醫治子喻(三)	初 良 醫 治 子 喻 三 
X32n0618_001:0326a03	初醫師遠行喻(二)	初 醫 師 遠 行 喻 二 
X32n0618_001:0326a04	初喻應化(二)	初 喻 應 化 二 
X32n0618_001:0326a05	初喻應化(譬如)	初 喻 應 化 譬 如 
X32n0618_001:0326a06	二喻機感(其人)	二 喻 機 感 其 人 
X32n0618_001:0326a07	二喻現滅(以有)	二 喻 現 滅 以 有 
X32n0618_001:0326a08	二還已復去喻(二)	二 還 已 復 去 喻 二 
