X26n0575_001:0965c04	略移	略 移 
X26n0575_001:0968b10	合而為一。故曰蜜多。道云。識得一萬事畢。釋曰。萬法	合 而 為 一 故 曰 蜜 多 道 云 識 得 一 萬 事 畢 釋 曰 萬 法 
X26n0575_001:0968b11	歸一。儒云。吾道一以貫之。且道如何是一。還識這箇	歸 一 儒 云 吾 道 一 以 貫 之 且 道 如 何 是 一 還 識 這 箇 
X26n0575_001:0968b12	○麼。五行不到處。父母未生前。雖然說破。不行難到。	 麼 五 行 不 到 處 父 母 未 生 前 雖 然 說 破 不 行 難 到 
X26n0575_001:0968b13	直須去盡塵垢。方見省麼。	直 須 去 盡 塵 垢 方 見 省 麼 
X26n0575_001:0968b14	　蜜多喻於虗空談　　天地有盡空無邊	 蜜 多 喻 於 虗 空 談 天 地 有 盡 空 無 邊 
X26n0575_001:0968b15	　空包相法空裏現　　空包日月空裏玄	 空 包 相 法 空 裏 現 空 包 日 月 空 裏 玄 
X26n0575_001:0968b16	　空包星辰空裏轉　　空包天河空裏安	 空 包 星 辰 空 裏 轉 空 包 天 河 空 裏 安 
X26n0575_001:0968b17	　空包天地空不動　　空包萬物空最寬	 空 包 天 地 空 不 動 空 包 萬 物 空 最 寬 
X26n0575_001:0968b18	　外包乾坤森羅相　　內中灌滿無空閑	 外 包 乾 坤 森 羅 相 內 中 灌 滿 無 空 閑 
X26n0575_001:0968b19	　通身都是無極道　　十方週遍盡相連	 通 身 都 是 無 極 道 十 方 週 遍 盡 相 連 
X26n0575_001:0968b20	　諸佛菩薩真空現　　羅漢祖師空現前	 諸佛菩薩 真 空 現 羅 漢 祖 師 空 現 前 
X26n0575_001:0968b21	　老君夫子真空現　　閻王神鬼空現前	 老 君 夫 子 真 空 現 閻 王 神 鬼 空 現 前 
X26n0575_001:0968b22	　信心還得空常現　　真空無相體皆全	 信 心 還 得 空 常 現 真 空 無 相 體 皆 全 
X26n0575_001:0968b23	　明心見性離凡世　　性是真空還本源	 明 心 見 性 離 凡 世 性 是 真 空 還 本 源 
X26n0575_001:0968b24	心。者一字。人之本源也。一切萬法。盡在一心之內。有	心 者 一 字 人 之 本 源 也 一切萬法 盡 在 一 心 之 內 有 
X26n0575_001:0968c01	八萬四千等。動則無窮無盡。定則不變不移。釋云。心	八萬四千 等 動 則 無 窮 無 盡 定 則 不 變 不 移 釋 云 心 
X26n0575_001:0968c02	生種種法生。心滅種種法滅。道云。心死則性月朗明。	生 種 種 法 生 心 滅 種 種 法 滅 道 云 心 死 則 性 月 朗 明 
X26n0575_001:0968c03	心生則慾塵遮蔽。儒云。制之一心則止。謀於多事則	心 生 則 慾 塵 遮 蔽 儒 云 制 之 一 心 則 止 謀 於 多 事 則 
X26n0575_001:0968c04	亂。是以古聖教學人。收攝其心歸於一處。喚作萬法	亂 是 以 古 聖 教 學 人 收 攝 其 心 歸 於 一 處 喚 作 萬 法 
X26n0575_001:0968c05	歸一。又名一字法門。因人不信是心是佛。是心作佛。	歸 一 又 名 一 字 法 門 因 人 不 信 是 心 是 佛 是 心 作 佛 
X26n0575_001:0968c06	所以多種方便。指示世人。見自本性。豈不見古云。三	所 以 多 種 方 便 指 示 世 人 見 自 本 性 豈 不 見 古 云 三 
X26n0575_001:0968c07	點如星象。橫鈎似月斜。披毛從此得。作佛也由他。上	點 如 星 象 橫 鈎 似 月 斜 披 毛 從 此 得 作 佛 也 由 他 上 
X26n0575_001:0968c08	天入地。皆在自心所為。非他處所得。因識心者少。亂	天 入 地 皆 在 自 心 所 為 非 他 處 所 得 因 識 心 者 少 亂 
X26n0575_001:0968c09	性者多。故失真道矣。為甚不識其心。只因多惑其性。	性 者 多 故 失 真 道 矣 為 甚 不 識 其 心 只 因 多 惑 其 性 
X26n0575_001:0968c10	皆緣識神昏昧。逐境迷心。六根內盲。著物亂性。不生	皆 緣 識 神 昏 昧 逐 境 迷 心 六 根 內 盲 著 物 亂 性 不 生 
X26n0575_001:0968c11	智慧。愚暗之故也。若肯修心。窮性命究生死。親近明	智 慧 愚 暗 之 故 也 若 肯 修 心 窮 性 命 究 生 死 親 近 明 
X26n0575_001:0968c12	師。參求法藥。療治心病。念茲在茲。步步行行。坐臥不	師 參 求 法 藥 療 治 心 病 念 茲 在 茲 步 步 行 行 坐 臥 不 
X26n0575_001:0968c13	忘。語默動靜。不離這箇○。忽然眉毛竪起。眼睛露出。	忘 語 默 動 靜 不 離 這 箇 忽 然 眉 毛 竪 起 眼 睛 露 出 
X26n0575_001:0968c14	便見本來面目。且道本來面目。如何形狀。川老有云。	便 見 本 來 面 目 且 道 本 來 面 目 如 何 形 狀 川 老 有 云 
X26n0575_001:0968c15	火不能燒。水不能溺。風不能飄。刀不能割。軟似似兜	火 不 能 燒 水 不 能 溺 風 不 能 飄 刀 不 能 割 軟 似 似 兜 
X26n0575_001:0968c16	羅。硬似鉄壁。天上人間。古今不識。知道麼。終朝常對	羅 硬 似 鉄 壁 天 上 人 間 古 今 不 識 知 道 麼 終 朝 常 對 
X26n0575_001:0968c17	面。不識是何人。	面 不 識 是 何 人 
X26n0575_001:0968c18	這箇心&;是人人&;無為大義&;	這 箇 心 是 人 人 無 為 大 義 
X26n0575_001:0968c19	是人人&;無為神通&;	是 人 人 無 為 神 通 
X26n0575_001:0968c20	是人人&;無為大理&;	是 人 人 無 為 大 理 
X26n0575_001:0968c21	是人人&;無為光明&;	是 人 人 無 為 光 明 
X26n0575_001:0968c22	要學好&;行門廣大&;	要 學 好 行 門 廣 大 
X26n0575_001:0968c23	要學反&;是不成人&;	要 學 反 是 不 成 人 
X26n0575_001:0968c24	要行善&;龍天保祐&;	要 行 善 龍 天 保 祐 
X26n0575_001:0969a01	這箇心&;要行惡&;禍害隨身&;	這 箇 心 要 行 惡 禍 害 隨 身 
X26n0575_001:0969a02	習道理&;天堂大路&;	習 道 理 天 堂 大 路 
X26n0575_001:0969a03	不行善&;地獄之根&;	不 行 善 地 獄 之 根 
X26n0575_001:0969a04	行公道&;祥光出現&;	行 公 道 祥 光 出 現 
X26n0575_001:0969a05	不公道&;求吉成凶&;	不 公 道 求 吉 成 凶 
X26n0575_001:0969a06	提起來&;千言萬語&;	提 起 來 千 言 萬 語 
X26n0575_001:0969a07	放下時&;神鬼難明&;	放 下 時 神 鬼 難 明 
X26n0575_001:0969a08	　性歸心　　變化多　　改頭換面	 性 歸 心 變 化 多 改 頭 換 面 
X26n0575_001:0969a09	　心歸性　　不動搖　　立命安身	 心 歸 性 不 動 搖 立 命 安 身 
X26n0575_001:0969a10	經。者一字直也。是世人修行之徑路也。學人得此不	經 者 一 字 直 也 是 世 人 修 行 之 徑 路 也 學 人 得 此 不 
X26n0575_001:0969a11	疑。休要悞了工程。驀直便行。須有到家時節。只怕	疑 休 要 悞 了 工 程 驀 直 便 行 須 有 到 家 時 節 只 怕 
X26n0575_001:0969a12	頭路不真。差行錯認。且道向甚麼處去是。予今明說。	頭 路 不 真 差 行 錯 認 且 道 向 甚 麼 處 去 是 予 今 明 說 
X26n0575_001:0969a13	向寸草不生處。纖塵不立處。無泥水。無坑坎。淨躶躶。	向 寸 草 不 生 處 纖 塵 不 立 處 無 泥 水 無 坑 坎 淨 躶 躶 
X26n0575_001:0969a14	赤洒洒。平平穩穩處去。猛然逢著一顆○圓陀陀。光	赤 洒 洒 平 平 穩 穩 處 去 猛 然 逢 著 一 顆 圓 陀 陀 光 
X26n0575_001:0969a15	爍爍。亘古不壞如意光明寶珠。親手拈來得大利用。	爍 爍 亘 古 不 壞 如 意 光 明 寶 珠 親 手 拈 來 得 大 利 用 
X26n0575_001:0969a16	不受困苦。釋云。摩尼寶珠。道云。黍米玄珠。儒云。九曲	不 受 困 苦 釋 云 摩 尼 寶 珠 道 云 黍 米 玄 珠 儒 云 九 曲 
X26n0575_001:0969a17	明珠。要見此珠麼。一心象外覔。休向世間求。	明 珠 要 見 此 珠 麼 一 心 象 外 覔 休 向 世 間 求 
X26n0575_001:0969a18	　真經大意現心華　　言言句句談妙法	 真 經 大 意 現 心 華 言 言 句 句 談 妙 法 
X26n0575_001:0969a19	　有緣千里來相會　　信心之人守根芽	 有 緣 千 里 來 相 會 信 心 之 人 守 根 芽 
X26n0575_001:0969a20	　有字還得無字念　　三藏教典內中發	 有 字 還 得 無 字 念 三 藏 教 典 內 中 發 
X26n0575_001:0969a21	　入裏甚深還得本　　守真志滿得歸家	 入 裏 甚 深 還 得 本 守 真 志 滿 得 歸 家 
X26n0575_001:0969a22	　納心平正無極道　　一條大路定不差	 納 心 平 正 無 極 道 一 條 大 路 定 不 差 
X26n0575_001:0969a23	　巡行數墨不解意　　每日空念摩訶薩	 巡 行 數 墨 不 解 意 每 日 空 念 摩 訶 薩 
X26n0575_001:0969a24	　真經有意細細參　　字字研開過玄關	 真 經 有 意 細 細 參 字 字 研 開 過 玄 關 
X26n0575_001:0969b01	　在世了達超生死　　過在亡靈得生天	 在 世 了 達 超 生 死 過 在 亡 靈 得 生 天 
X26n0575_001:0969b02	　佛說真言勸迷留　　僧尼道俗急早修	 佛 說 真 言 勸 迷 留 僧 尼 道 俗 急 早 修 
X26n0575_001:0969b03	　但明一句離地獄　　免得兒孫作遠憂	 但 明 一 句 離 地 獄 免 得 兒 孫 作 遠 憂 
X26n0575_001:0969b04	觀自在菩薩。一句真直言。自在菩薩。人人皆有。只因	觀 自 在 菩 薩 一 句 真 直 言 自 在 菩 薩 人 人 皆 有 只 因 
X26n0575_001:0969b05	六根諸境遮障。不能觀看。情欲萬緣所牽。不得自在。	六 根 諸 境 遮 障 不 能 觀 看 情 欲 萬 緣 所 牽 不得自在 
X26n0575_001:0969b06	若有智慧之人。信得及。放得下。但於幽靜閑處。打併	若 有 智 慧 之 人 信 得 及 放 得 下 但 於 幽 靜 閑 處 打 併 
X26n0575_001:0969b07	身心坐令極靜。靜中更靜。無纖毫異念。一心清淨。守	身 心 坐 令 極 靜 靜 中 更 靜 無 纖 毫 異 念 一 心 清 淨 守 
X26n0575_001:0969b08	至靜極。猛然一動。有一真人。在自己靈宮。往往來來。	至 靜 極 猛 然 一 動 有 一 真 人 在 自 己 靈 宮 往 往 來 來 
X26n0575_001:0969b09	縱橫無得。這裏方見自己菩薩。優游自在。一剎那間。	縱 橫 無 得 這 裏 方 見 自 己 菩 薩 優 游 自 在 一 剎 那 間 
X26n0575_001:0969b10	遍周沙界。盡是活菩薩。光明普照。諸人若要見此菩	遍 周 沙 界 盡 是 活 菩 薩 光明普照 諸 人 若 要 見 此 菩 
X26n0575_001:0969b11	薩。觀之不用其目。聽之不用其耳。去耳目之用。纔識	薩 觀 之 不 用 其 目 聽 之 不 用 其 耳 去 耳 目 之 用 纔 識 
X26n0575_001:0969b12	自在菩薩。道云。視之而不見。聽之而不聞。離種種邊。	自 在 菩 薩 道 云 視 之 而 不 見 聽 之 而 不 聞 離 種 種 邊 
X26n0575_001:0969b13	名為妙道。金剛經云。若以色見我。以音聲求我。是人	名 為 妙 道 金 剛 經 云 若 以 色 見 我 以 音 聲 求 我 是 人 
X26n0575_001:0969b14	行邪道。不能見如來。儒云。視不用目。聽不用耳。去耳	行 邪 道 不 能 見 如 來 儒 云 視 不 用 目 聽 不 用 耳 去 耳 
X26n0575_001:0969b15	目之用。自然得性。如是之者。方知一切處。此真仙菩	目 之 用 自 然 得 性 如 是 之 者 方 知 一 切 處 此 真 仙 菩 
X26n0575_001:0969b16	薩。未嘗不在。同坐同行。同歡同笑。寸步不曾相離只	薩 未 嘗 不 在 同 坐 同 行 同 歡 同 笑 寸 步 不 曾 相 離 只 
X26n0575_001:0969b17	是自家昧了。要見此菩薩麼。雖然出入無踪跡。爍爍	是 自 家 昧 了 要 見 此 菩 薩 麼 雖 然 出 入 無 踪 跡 爍 爍 
X26n0575_001:0969b18	光明見也麼。	光 明 見 也 麼 
X26n0575_001:0969b19	觀自在&;見菩薩&;常現妙用&;	觀 自 在 見 菩 薩 常 現 妙 用 
X26n0575_001:0969b20	發出神通&;	發 出 神 通 
X26n0575_001:0969b21	不離左右&;	不 離 左 右 
X26n0575_001:0969b22	晝夜慇懃&;	晝 夜 慇 懃 
X26n0575_001:0969b23	行住坐臥&;	行住坐臥 
X26n0575_001:0969b24	處處現身&;	處 處 現 身 
X26n0575_001:0969c01	參禪打坐&;	參 禪 打 坐 
X26n0575_001:0969c02	數佛念經&;	數 佛 念 經 
X26n0575_001:0969c03	不怕生死&;	不 怕 生 死 
X26n0575_001:0969c04	貪利圖名&;	貪 利 圖 名 
X26n0575_001:0969c05	人人皆有&;	人 人 皆 有 
X26n0575_001:0969c06	捨父投親&;	捨 父 投 親 
X26n0575_001:0969c07	觀自在&;活菩薩&;難描難畫&;	觀 自 在 活 菩 薩 難 描 難 畫 
X26n0575_001:0969c08	非相非空&;	非 相 非 空 
X26n0575_001:0969c09	無遮無擋&;	無 遮 無 擋 
X26n0575_001:0969c10	不壞金身&;	不 壞 金 身 
X26n0575_001:0969c11	　觀自在　　活菩薩　　千變萬化	 觀 自 在 活 菩 薩 千 變 萬 化 
X26n0575_001:0969c12	　但回光　　肯返照　　箇箇圓成	 但 回 光 肯 返 照 箇 箇 圓 成 
X26n0575_001:0969c13	行。者一字。修行也。路徑崎嶇。不修難行。且修是修心	行 者 一 字 修 行 也 路 徑 崎 嶇 不 修 難 行 且 修 是 修 心 
X26n0575_001:0969c14	向道。行是行善歸真。如人修路相似去礙路荊棘。除	向 道 行 是 行 善 歸 真 如 人 修 路 相 似 去 礙 路 荊 棘 除 
X26n0575_001:0969c15	當道頑石。高者斷之。低者填之。打掃潔淨。便坦然平	當 道 頑 石 高 者 斷 之 低 者 填 之 打 掃 潔 淨 便 坦 然 平 
X26n0575_001:0969c16	穩。人之心地。亦要如是下功。去一切損人利己之心。	穩 人 之 心 地 亦 要 如 是 下 功 去 一 切 損 人 利 己 之 心 
X26n0575_001:0969c17	如去礙路荊棘相似。得登途路穩步。除一切雜念障	如 去 礙 路 荊 棘 相 似 得 登 途 路 穩 步 除 一 切 雜 念 障 
X26n0575_001:0969c18	道因緣。如除當道頑石一同。得進也。屏垢心。絕染污。	道 因 緣 如 除 當 道 頑 石 一 同 得 進 也 屏 垢 心 絕 染 污 
X26n0575_001:0969c19	打併清淨。此乃修行初入門戶之方便也。非在口說。	打 併 清 淨 此 乃 修 行 初 入 門 戶 之 方 便 也 非 在 口 說 
X26n0575_001:0969c20	亦非足行。全憑心地下功。仙真云。心地下功全拋世	亦 非 足 行 全 憑 心 地 下 功 仙 真 云 心 地 下 功 全 拋 世 
X26n0575_001:0969c21	事。釋云。心地法門非在舌辯。儒云。說不如行。行不如	事 釋 云 心 地 法 門 非 在 舌 辯 儒 云 說 不 如 行 行 不 如 
X26n0575_001:0969c22	到。又要看這一步從何而起。若知起處便知根源。昔	到 又 要 看 這 一 步 從 何 而 起 若 知 起 處 便 知 根 源 昔 
X26n0575_001:0969c23	日劉海月參白雲師父。拜而問曰。弟子念慮降伏不	日 劉 海 月 參 白 雲 師 父 拜 而 問 曰 弟 子 念 慮 降 伏 不 
X26n0575_001:0969c24	住如何。師問云。是誰念慮。云是弟子。師又云。是誰降	住 如 何 師 問 云 是 誰 念 慮 云 是 弟 子 師 又 云 是 誰 降 
X26n0575_001:0970a01	伏。海月似省不省。沉吟微笑。師云。來去都由你們好	伏 海 月 似 省 不 省 沉 吟 微 笑 師 云 來 去 都 由 你 們 好 
X26n0575_001:0970a02	沒主宰。若是敵他不過即便放下。更要知他放下的	沒 主 宰 若 是 敵 他 不 過 即 便 放 下 更 要 知 他 放 下 的 
X26n0575_001:0970a03	是誰。若識得自有主宰。便不被他瞞過。海月遂省。禮	是 誰 若 識 得 自 有 主 宰 便 不 被 他 瞞 過 海 月 遂 省 禮 
X26n0575_001:0970a04	謝而已。又石霜和尚問石頭和尚。舉念不停時如何。	謝 而 已 又 石 霜 和 尚 問 石 頭 和 尚 舉 念 不 停 時 如 何 
X26n0575_001:0970a05	石頭云。是誰舉念。石霜於此大悟。但只如此體究。念	石 頭 云 是 誰 舉 念 石 霜 於 此 大 悟 但 只 如 此 體 究 念 
X26n0575_001:0970a06	念不離。於當處舉意思慮。語言知覺細細審觀。從何	念 不 離 於 當 處 舉 意 思 慮 語 言 知 覺 細 細 審 觀 從 何 
X26n0575_001:0970a07	而出。古云。欲知佛去處。只這語言是。道云。要知本性	而 出 古 云 欲 知 佛 去 處 只 這 語 言 是 道 云 要 知 本 性 
X26n0575_001:0970a08	根由。不離言語動靜。寶公云。未了之人聽一言。秪這	根 由 不 離 言 語 動 靜 寶 公 云 未 了 之 人 聽 一 言 秪 這 
X26n0575_001:0970a09	如今誰動口。然雖如是說開。向上更有妙處。不修不	如 今 誰 動 口 然 雖 如 是 說 開 向 上 更 有 妙 處 不 修 不 
X26n0575_001:0970a10	行不能自到。若果到家鄉。則罷問程矣。且家鄉遠近。	行 不 能 自 到 若 果 到 家 鄉 則 罷 問 程 矣 且 家 鄉 遠 近 
X26n0575_001:0970a11	迷則千山萬水隔。悟則回頭便是家。理會得麼。	迷 則 千 山 萬 水 隔 悟 則 回 頭 便 是 家 理 會 得 麼 
X26n0575_001:0970a12	　行善之人心地寬　　無煩無惱晝夜安	 行 善 之 人 心 地 寬 無 煩 無 惱 晝 夜 安 
X26n0575_001:0970a13	　從他世事紛紛亂　　名利盡處樂自然	 從 他 世 事 紛 紛 亂 名 利 盡 處 樂 自 然 
X26n0575_001:0970a14	　行好之人心地良　　看前顧後意望常	 行 好 之 人 心 地 良 看 前 顧 後 意 望 常 
X26n0575_001:0970a15	　到處逢居隨緣分　　處處知足處處安	 到 處 逢 居 隨 緣 分 處 處 知 足 處 處 安 
X26n0575_001:0970a16	　行正之人似水平　　寸心不昧萬法明	 行 正 之 人 似 水 平 寸 心 不 昧 萬 法 明 
X26n0575_001:0970a17	　打破機關閑事少　　參透無為真對真	 打 破 機 關 閑 事 少 參 透 無 為 真 對 真 
X26n0575_001:0970a18	　行正之人道理齊　　三教精通盡歸依	 行 正 之 人 道 理 齊 三 教 精 通 盡 歸 依 
X26n0575_001:0970a19	　道是無極真空體　　理是大用道中出	 道 是 無 極 真 空 體 理 是 大 用 道 中 出 
X26n0575_001:0970a20	　行正之人甚開懷　　忽然有省見如來	 行 正 之 人 甚 開 懷 忽 然 有 省 見 如 來 
X26n0575_001:0970a21	　真佛常現無形相　　可憐無智自故[彳*青]	 真 佛 常 現 無 形 相 可 憐 無 智 自 故 [彳青] 
X26n0575_001:0970a22	深。者一字。幽微玄妙。徹骨徹髓處也。若要到此田地。	深 者 一 字 幽 微 玄 妙 徹 骨 徹 髓 處 也 若 要 到 此 田 地 
X26n0575_001:0970a23	須是打併輕快方可。道云。損之又損之。以至於無為。	須 是 打 併 輕 快 方 可 道 云 損 之 又 損 之 以 至 於 無 為 
X26n0575_001:0970a24	釋云。放下又放下。自然身心輕快。儒云。苟日新日日	釋 云 放 下 又 放 下 自 然 身 心 輕 快 儒 云 苟 日 新 日 日 
X26n0575_001:0970b01	新。又日新。要如此者。須去靜坐。日夜打掃。直至掃無	新 又 日 新 要 如 此 者 須 去 靜 坐 日 夜 打 掃 直 至 掃 無 
