T85n2902_001:1435c08	法句經疏	法 句 經 疏 
T85n2902_001:1444a26	若皆是一則無數也。故言云何一法中如生	若 皆 是 一 則 無 數 也 故 言 云 何 一 法 中 如 生 
T85n2902_001:1444a27	種種見。後偈明一能成千則一不為一一。若	種 種 見 後 偈 明 一 能 成 千 則 一 不 為 一 一 若 
T85n2902_001:1444a28	一應離之成二。以此而言百千萬等。若千此	一 應 離 之 成 二 以 此 而 言 百 千 萬 等 若 千 此 
T85n2902_001:1444a29	一則千萬不成。故知此一入千成千。入萬成	一 則 千 萬 不 成 故 知 此 一 入 千 成 千 入 萬 成 
T85n2902_001:1444b01	萬。何得定一。破異故言一。不欲是其一。故言	萬 何 得 定 一 破 異 故 言 一 不 欲 是 其 一 故 言 
T85n2902_001:1444b02	一亦不為一。為欲破諸數也。愚者尋言妄生	一 亦 不 為 一 為 欲 破 諸 數 也 愚 者 尋 言 妄 生 
T85n2902_001:1444b03	定執。故言淺智之所聞見一以為一也。自下	定 執 故 言 淺 智 之 所 聞 見 一 以 為 一 也 自 下 
T85n2902_001:1444b04	第三偈結勸修行。然我心學法但招漏報。菩	第 三 偈 結 勸 修 行 然 我 心 學 法 但 招 漏 報 菩 
T85n2902_001:1444b05	提妙果。要唯無著。故今結勸修行。依理造	提 妙 果 要 唯 無 著 故 今 結 勸 修 行 依 理 造 
T85n2902_001:1444b06	修。上半正勸依理起行。下明行同理寂。但行	修 上 半 正 勸 依 理 起 行 下 明 行 同 理 寂 但 行 
T85n2902_001:1444b07	託理成。理依行顯。能所相依二俱空寂。故言	託 理 成 理 依 行 顯 能 所 相 依 二 俱 空 寂 故 言 
T85n2902_001:1444b08	知行亦寂滅是即菩提道也。自下大文第二	知 行 亦 寂 滅 是 即 菩 提 道 也 自 下 大 文 第 二 
T85n2902_001:1444b09	勸近善友。上來正勸。下明近之獲益。但理妙	勸 近 善 友 上 來 正 勸 下 明 近 之 獲 益 但 理 妙 
T85n2902_001:1444b10	行深難為進習。自非杖託勝緣。無以修證自	行 深 難 為 進 習 自 非 杖 託 勝 緣 無 以 修 證 自 
T85n2902_001:1444b11	利益人。聖道方圓。故言善學諸方便度脫於	利 益 人 聖 道 方 圓 故 言 善 學 諸 方 便 度 脫 於 
T85n2902_001:1444b12	群生也。下大文第三說所為中。初偈正明教	群 生 也 下 大 文 第 三 說 所 為 中 初 偈 正 明 教 
T85n2902_001:1444b13	起所由。本為群生倒或。若能達捨妄情亡言	起 所 由 本 為 群 生 倒 或 若 能 達 捨 妄 情 亡 言 
T85n2902_001:1444b14	契理。則究竟無說。上半正明說意。下明眾生	契 理 則 究 竟 無 說 上 半 正 明 說 意 下 明 眾 生 
T85n2902_001:1444b15	無累不復須說。故言若無我見者究竟無有	無 累 不 復 須 說 故 言 若 無 我 見 者 究 竟 無 有 
T85n2902_001:1444b16	說也。下四偈嘆教功能。初偈明契現之說。譬	說 也 下 四 偈 嘆 教 功 能 初 偈 明 契 現 之 說 譬 
T85n2902_001:1444b17	如金剛自固降伏群邪莫爼也。上半破邪。下	如 金 剛 自 固 降 伏 群 邪 莫 爼 也 上 半 破 邪 下 
T85n2902_001:1444b18	明外不能壞也。第二偈明聞教悟理便能。拔	明 外 不 能 壞 也 第 二 偈 明 聞 教 悟 理 便 能 拔 
T85n2902_001:1444b19	苦施安。上半正明悟理。下明處溺生逢苦不	苦 施 安 上 半 正 明 悟 理 下 明 處 溺 生 逢 苦 不 
T85n2902_001:1444b20	倦。何者菩薩思念。我及眾生並是因緣幻起。	倦 何 者 菩 薩 思 念 我 及 眾 生 並 是 因 緣 幻 起 
T85n2902_001:1444b21	本來寂滅。將我平等同歸莫二。無始顛倒違	本 來 寂 滅 將 我 平 等 同 歸 莫 二 無 始 顛 倒 違 
T85n2902_001:1444b22	背此理。自愛增他。造集諸業。流轉生死。于今	背 此 理 自 愛 增 他 造 集 諸 業 流轉生死 于 今 
T85n2902_001:1444b23	不息。自身既爾。一切眾生亦然。由悟此理發	不 息 自 身 既 爾 一 切 眾 生 亦 然 由 悟 此 理 發 
T85n2902_001:1444b24	大慈悲。以已之疾愍於彼疾。一切眾生既與	大 慈 悲 以 已 之 疾 愍 於 彼 疾 一 切 眾 生 既 與 
T85n2902_001:1444b25	我同體。眾生受苦即是我受。何得自安。無	我 同 體 眾 生 受 苦 即 是 我 受 何 得 自 安 無 
T85n2902_001:1444b26	心濟拔。由有此心久處生死在苦。利人不以	心 濟 拔 由 有 此 心 久 處 生 死 在 苦 利 人 不 以 
T85n2902_001:1444b27	為盡。雖在三途中究竟清涼樂也。下一偈明	為 盡 雖 在 三 途 中 究 竟 清 涼 樂 也 下 一 偈 明 
T85n2902_001:1444b28	纔聞經名。聊解一句便生淨土。何況久蘊心	纔 聞 經 名 聊 解 一 句 便 生 淨 土 何 況 久 蘊 心 
T85n2902_001:1444b29	口如說修行也。第四一偈次明解行。既圓自	口 如說修行 也 第 四 一 偈 次 明 解 行 既 圓 自 
T85n2902_001:1444c01	然感德。大聖應機在所護持也。故言我恒在	然 感 德 大 聖 應 機 在 所 護 持 也 故 言 我 恒 在 
T85n2902_001:1444c02	其中為護如是人令得無上道也。上廣明深	其 中 為 護 如 是 人 令 得 無 上 道 也 上 廣 明 深 
T85n2902_001:1444c03	法澤被有緣。二眾機熟聞皆飲悟。	法 澤 被 有 緣 二 眾 機 熟 聞 皆 飲 悟 
T85n2902_001:1444c04	自下大文第三。次明聞法獲益也。於中有二。	自 下 大 文 第 三 次 明 聞 法 獲 益 也 於 中 有 二 
T85n2902_001:1444c05	初明普光大眾聞法悟忍。智論言。於無上法	初 明 普 光 大 眾 聞 法 悟 忍 智 論 言 於 無 上 法 
T85n2902_001:1444c06	中信受通達。無礙不退名無生忍也。第二寶	中 信 受 通 達 無 礙 不 退 名 無 生 忍 也 第 二 寶 
T85n2902_001:1444c07	明蒙記。於中有二。初正明受記十號圓滿。始	明 蒙 記 於 中 有 二 初 正 明 受 記 十 號 圓 滿 始 
T85n2902_001:1444c08	從如來終至於佛是其名也。二明因成所感	從 如 來 終 至 於 佛 是 其 名 也 二 明 因 成 所 感 
T85n2902_001:1444c09	眾純無雜。但寶明久值諸佛。每聞深法。恒修	眾 純 無 雜 但 寶 明 久 值 諸 佛 每 聞 深 法 恒 修 
T85n2902_001:1444c10	正觀。無念為德。故使成佛之時所有眷屬唯	正 觀 無 念 為 德 故 使 成 佛 之 時 所 有 眷 屬 唯 
T85n2902_001:1444c11	是清淨大菩薩眾。如淨名經言。大乘心是菩	是 清 淨 大 菩 薩 眾 如 淨 名 經 言 大 乘 心 是 菩 
T85n2902_001:1444c12	薩淨土。菩薩成佛時大乘眾生來生其國也。	薩 淨 土 菩 薩 成 佛 時 大 乘 眾 生 來 生 其 國 也 
T85n2902_001:1444c13	三明國界嚴淨過無量壽。但諸佛功高德滿	三 明 國 界 嚴 淨 過 無 量 壽 但 諸 佛 功 高 德 滿 
T85n2902_001:1444c14	既無上下。依隨正感理無優劣。但以所度眾	既 無 上 下 依 隨 正 感 理 無 優 劣 但 以 所 度 眾 
T85n2902_001:1444c15	生宜聞不同故爾。所君之土階差若此也。自	生 宜 聞 不 同 故 爾 所 君 之 土 階 差 若 此 也 自 
T85n2902_001:1444c16	下第三流通分也。於中初明勸學。二明付囑。	下 第 三 流 通 分 也 於 中 初 明 勸 學 二 明 付 囑 
T85n2902_001:1444c17	前中有三。初明文殊請問持經之人并問聞	前 中 有 三 初 明 文 殊 請 問 持 經 之 人 并 問 聞 
T85n2902_001:1444c18	法因緣。第二如來正答。於中有二。初嘆理教	法 因 緣 第 二 如 來 正 答 於 中 有 二 初 嘆 理 教 
T85n2902_001:1444c19	甚深難為值過聞之。獲益福不可量。於中初	甚 深 難 為 值 過 聞 之 獲 益 福 不 可 量 於 中 初 
T85n2902_001:1444c20	明理教既深見聞不問聲聞緣覺判非其分。	明 理 教 既 深 見 聞 不 問 聲 聞 緣 覺 判 非 其 分 
T85n2902_001:1444c21	第二假文有人。已下喻說校量。聞獲勝益。良	第 二 假 文 有 人 已 下 喻 說 校 量 聞 獲 勝 益 良 
T85n2902_001:1444c22	由此經。文勢起盡唯明深法。法性功德究竟	由 此 經 文 勢 起 盡 唯 明 深 法 法 性 功 德 究 竟 
T85n2902_001:1444c23	無盡。聞之修習福亦無窮也。下第二答聞法	無 盡 聞 之 修 習 福 亦 無 窮 也 下 第 二 答 聞 法 
T85n2902_001:1444c24	因緣持經功德。於中初明親侍多佛文值善	因 緣 持 經 功 德 於 中 初 明 親 侍 多 佛 文 值 善 
T85n2902_001:1444c25	根方得聞經。隨分修習而未能證。會佛即答	根 方 得 聞 經 隨 分 修 習 而 未 能 證 會 佛 即 答 
T85n2902_001:1444c26	聞因緣。二明七地已還猶為空有相間。有功	聞 因 緣 二 明 七 地 已 還 猶 為 空 有 相 間 有 功 
T85n2902_001:1444c27	用。修八地已上證會無生。不假功用。雙行	用 修 八 地 已 上 證 會 無 生 不假功用 雙 行 
T85n2902_001:1444c28	無間。方為究竟持經之人。故言至八地菩薩	無 間 方 為 究 竟 持 經 之 人 故 言 至 八 地 菩 薩 
T85n2902_001:1444c29	之手。此明舉終括始。勸學受持。二明大眾奉	之 手 此 明 舉 終 括 始 勸 學 受 持 二 明 大 眾 奉 
T85n2902_001:1445a01	行。初言寧喪身命莫於此經而懈怠者。無始	行 初 言 寧 喪 身 命 莫 於 此 經 而 懈 怠 者 無 始 
T85n2902_001:1445a02	已來虛歷生死路。而復始未能不受一劫身	已 來 虛 歷 生 死 路 而 復 始 未 能 不 受 一 劫 身 
T85n2902_001:1445a03	心大苦。竟無一豪法利。今得聞經隨分修習	心 大 苦 竟 無 一 豪 法 利 今 得 聞 經 隨 分 修 習 
T85n2902_001:1445a04	及為無上菩提見佛之因。豈惜身命而不護	及 為 無上菩提 見 佛 之 因 豈 惜 身 命 而 不 護 
T85n2902_001:1445a05	持也。	持 也 
T85n2902_001:1445a06	法句經疏一卷	法 句 經 疏 一 卷 
