X88n1658_001:0421a03	 諸天傳序	 諸 天 傳 序 
X88n1658_002:0430c01	　爰自乾封崇至化　　逮今名位列諸天	 爰 自 乾 封 崇 至 化 逮 今 名 位 列 諸 天 
X88n1658_002:0430c02	　每在伽藍或蘭若　　熏修之所現威權	 每 在 伽 藍 或 蘭 若 熏 修 之 所 現 威 權 
X88n1658_002:0430c03	　頭頂金兜橫寶杵　　合十指掌兒童年	 頭 頂 金 兜 橫 寶 杵 合 十 指 掌 兒 童 年 
X88n1658_002:0430c04	　或警行人令進行　　或隨方所護其邊	 或 警 行 人 令 進 行 或 隨 方 所 護 其 邊 
X88n1658_002:0430c05	　却除外障令無惱　　庶幾佛日照三千	 却 除 外 障 令 無 惱 庶 幾 佛 日 照 三 千 
X88n1658_002:0430c06	堅牢地神傳	堅 牢 地 神 傳 
X88n1658_002:0430c07	地神乃總號。安住不動皆地神。故堅牢乃別名。揀非	地 神 乃 總 號 安 住 不 動 皆 地 神 故 堅 牢 乃 別 名 揀 非 
X88n1658_002:0430c08	他故。光明中品名與標人。左右其語。今依品名也。集	他 故 光 明 中 品 名 與 標 人 左 右 其 語 今 依 品 名 也 集 
X88n1658_002:0430c09	要引嘉祥云。堅牢者。理體不可壞也。如金剛王無能	要 引 嘉 祥 云 堅 牢 者 理 體 不 可 壞 也 如 金 剛 王 無 能 
X88n1658_002:0430c10	破者。地者。依持出生。乃智用也。造化不測。故稱為神。	破 者 地 者 依 持 出 生 乃 智 用 也 造 化 不 測 故 稱 為 神 
X88n1658_002:0430c11	智者亦云。已上諸天或住善權方便道。為眾生法父。	智 者 亦 云 已 上 諸 天 或 住 善權方便 道 為 眾 生 法 父 
X88n1658_002:0430c12	住善實智度母。為眾生母。譬如陰陽覆載萬物。智度	住 善 實 智 度 母 為 眾 生 母 譬 如 陰 陽 覆 載 萬 物 智 度 
X88n1658_002:0430c13	養育出生眾善無改變。曰堅牢。常也。能荷樂也。能生	養 育 出 生 眾 善 無 改 變 曰 堅 牢 常 也 能 荷 樂 也 能 生 
X88n1658_002:0430c14	淨也。名之為他德自在。戒也。稱之為神。此舊傳引四	淨 也 名 之 為 他 德 自 在 戒 也 稱 之 為 神 此 舊 傳 引 四 
X88n1658_002:0430c15	德以釋其名也。觀佛三昧經有王問佛。汝之功德誰	德 以 釋 其 名 也 觀 佛 三 昧 經 有 王 問 佛 汝 之 功 德 誰 
X88n1658_002:0430c16	為證明。佛即垂無畏手指地。一切大地六種震動。堅	為 證 明 佛 即 垂 無 畏 手 指 地 一 切 大 地 六種震動 堅 
X88n1658_002:0430c17	牢地神涌出唱言。我是證明。金光明中。隨是經典所	牢 地 神 涌 出 唱 言 我 是 證 明 金 光 明 中 隨 是 經 典 所 
X88n1658_002:0430c18	流布處。是地分中。敷師子座。令說法者。廣演宣說。我	流 布 處 是 地 分 中 敷 師 子 座 令 說 法 者 廣 演 宣 說 我 
X88n1658_002:0430c19	當在中常作宿衛。隱蔽其身。於法座下。頂戴其足。此	當 在 中 常 作 宿 衛 隱 蔽 其 身 於 法 座 下 頂 戴 其 足 此 
X88n1658_002:0430c20	其護法敬人也。我聞法已。服甘露味。增益身力等。此	其 護 法 敬 人 也 我 聞 法 已 服 甘 露 味 增 益 身 力 等 此 
X88n1658_002:0430c21	其聞法得益也。而此大地深十六萬八千由旬。悉得	其 聞 法 得 益 也 而 此 大 地 深 十 六 萬 八 千 由 旬 悉 得 
X88n1658_002:0430c22	眾味增長具足。豐壤肥濃過於今日。此其舉體依持	眾 味 增 長 具 足 豐 壤 肥 濃 過 於 今 日 此 其 舉 體 依 持 
X88n1658_002:0430c23	也。藥草華果美色香味皆悉具足。眾生食已增長壽	也 藥 草 華 果 美 色 香 味 皆 悉 具 足 眾 生 食 已 增 長 壽 
X88n1658_002:0430c24	命色力辯安。乃至隨其所樂。此其出生利物也。得是	命 色 力 辯 安 乃 至 隨其所樂 此 其 出 生 利 物 也 得 是 
X88n1658_002:0431a01	威德。乃至聽受是經。此其令他獲益也。各應相慶。乃	威 德 乃 至 聽 受 是 經 此 其 令 他 獲 益 也 各 應 相 慶 乃 
X88n1658_002:0431a02	至常生天上人中受樂。此其遇佛遠惡也。若說一喻	至 常 生 天 上 人 中 受 樂 此 其 遇 佛 遠 惡 也 若 說 一 喻 
X88n1658_002:0431a03	一句及稱首題。令其受樂。深信三寶。疾至菩提。此其	一 句 及 稱 首 題 令 其 受 樂 深 信 三 寶 疾 至 菩 提 此 其 
X88n1658_002:0431a04	不退正信也。此土並略所述之文。以題其行其像也。	不 退 正 信 也 此 土 並 略 所 述 之 文 以 題 其 行 其 像 也 
X88n1658_002:0431a05	集要令作天女之相。花卉林木一時競秀。地天合掌。	集 要 令 作 天 女 之 相 花 卉 林 木 一 時 競 秀 地 天 合 掌 
X88n1658_002:0431a06	無量諸仙採時花果。前後圍遶。轉法輪經云。有諸地	無 量 諸 仙 採 時 花 果 前 後 圍 遶 轉 法 輪 經 云 有 諸 地 
X88n1658_002:0431a07	天知波羅柰欲轉法輪。為佛置大圓轉殿。種種莊嚴。	天 知 波 羅 柰 欲 轉 法 輪 為 佛 置 大 圓 轉 殿 種 種 莊 嚴 
X88n1658_002:0431a08	縱橫七千由旬。虗空諸天以寶盖嚴飾。地藏經。佛告	縱 橫 七 千 由 旬 虗 空 諸 天 以 寶 盖 嚴 飾 地 藏 經 佛 告 
X88n1658_002:0431a09	堅牢地神。汝大神力。諸神少及。何以故。閻浮土地悉	堅 牢 地 神 汝 大 神 力 諸 神 少 及 何 以 故 閻 浮 土 地 悉 
X88n1658_002:0431a10	蒙汝護。乃至草木沙石稻麻竹葦穀米寶具從地而	蒙 汝 護 乃 至 草 木 沙 石 稻 麻 竹 葦 穀 米 寶 具 從 地 而 
X88n1658_002:0431a11	有。皆因汝力然。流布經處。於說法人。以頂其足。於其	有 皆 因 汝 力 然 流 布 經 處 於 說 法 人 以 頂 其 足 於 其 
X88n1658_002:0431a12	花果出生滋益。世出世法皆受其賜。而功亦大矣。讚	花 果 出 生 滋 益 世 出 世 法 皆 受 其 賜 而 功 亦 大 矣 讚 
X88n1658_002:0431a13	曰。	曰 
X88n1658_002:0431a14	　住善實智以為母　　荷負萬物使依持	 住 善 實 智 以 為 母 荷 負 萬 物 使 依 持 
X88n1658_002:0431a15	　體性堅牢不可壞　　備彰神用以名之	 體 性 堅 牢 不 可 壞 備 彰 神 用 以 名 之 
X88n1658_002:0431a16	　果實花卉因其力　　出生地味倍豐肥	 果 實 花 卉 因 其 力 出 生 地 味 倍 豐 肥 
X88n1658_002:0431a17	　始自如來成道處　　便為作證現希奇	 始 自 如 來 成 道 處 便 為 作 證 現 希 奇 
X88n1658_002:0431a18	　初轉法輪置宮殿　　莊嚴異寶及琉璃	 初轉法輪 置 宮 殿 莊 嚴 異 寶 及 琉 璃 
X88n1658_002:0431a19	　洎向光明宣妙旨　　欲言宿衛每相隨	 洎 向 光 明 宣 妙 旨 欲 言 宿 衛 每 相 隨 
X88n1658_002:0431a20	　於說法人頂双足　　由服甘露色充滋	 於 說 法 人 頂 双 足 由 服 甘 露 色 充 滋 
X88n1658_002:0431a21	　一切事業令成辦　　身心適悅每安怡	 一 切 事 業 令 成 辦 身 心 適 悅 每 安 怡 
X88n1658_002:0431a22	　聽是經者長深信　　值遇諸佛成菩提	 聽 是 經 者 長 深 信 值 遇 諸 佛 成 菩 提 
X88n1658_002:0431a23	　天像莊嚴天女相　　執華果從盡周圍	 天 像 莊 嚴 天 女 相 執 華 果 從 盡 周 圍 
X88n1658_002:0431a24	　百卉芬芳於大地　　群木森秀茂繁枝	 百 卉 芬 芳 於 大 地 群 木 森 秀 茂 繁 枝 
X88n1658_002:0431b01	　萬物出生皆地力　　況於成實總其司	 萬 物 出 生 皆 地 力 況 於 成 實 總 其 司 
X88n1658_002:0431b02	　又向法門垂勝力　　敢忘孚祐致虔祈	 又 向 法 門 垂 勝 力 敢 忘 孚 祐 致 虔 祈 
X88n1658_002:0431b03	菩提樹神傳	菩提樹神 傳 
X88n1658_002:0431b04	梵語菩提。此云道。由此神守護如來成道之處菩提	梵 語 菩 提 此 云 道 由 此 神 守 護 如 來 成 道 之 處 菩 提 
X88n1658_002:0431b05	樹。故以立其名。光明中乃連別名云道場菩提樹神。	樹 故 以 立 其 名 光 明 中 乃 連 別 名 云 道 場 菩提樹神 
X88n1658_002:0431b06	名等增益。西域記曰。其樹在摩竭國尼連河西南十	名 等 增 益 西 域 記 曰 其 樹 在 摩 竭 國 尼 連 河 西 南 十 
X88n1658_002:0431b07	里。本行集經云。菩薩將至道樹。色界諸天先以天繒	里 本 行 集 經 云 菩 薩 將 至 道 樹 色界諸天 先 以 天 繒 
X88n1658_002:0431b08	幡盖懸於樹上。用為幖幟。又慈恩傳。玄弉至彼。見其	幡 盖 懸 於 樹 上 用 為 幖 幟 又 慈 恩 傳 玄 弉 至 彼 見 其 
X88n1658_002:0431b09	樹枯顇。唯向東茂發一枝。色甚青翠。以表大教東流	樹 枯 顇 唯 向 東 茂 發 一 枝 色 甚 青 翠 以 表 大 教 東 流 
X88n1658_002:0431b10	之像也。西域記云。樹本名畢鉢羅。佛昔在世。高數百	之 像 也 西 域 記 云 樹 本 名 畢 鉢 羅 佛 昔 在 世 高 數 百 
X88n1658_002:0431b11	尺。累經殘伐。猶高四五丈。華嚴經中言菩提樹王。即	尺 累 經 殘 伐 猶 高 四 五 丈 華 嚴 經 中 言 菩 提 樹 王 即 
X88n1658_002:0431b12	此處也。其樹莖幹黃白。枝葉青翠。冬夏不凋。每涅槃	此 處 也 其 樹 莖 幹 黃 白 枝 葉 青 翠 冬 夏 不 凋 每 涅 槃 
X88n1658_002:0431b13	日葉皆凋落。頃之復故。此天女不唯守護此樹。而乃	日 葉 皆 凋 落 頃 之 復 故 此 天 女 不 唯 守 護 此 樹 而 乃 
X88n1658_002:0431b14	彰益。亦在佛因中為流水長者子。時現半身。讚隨名	彰 益 亦 在 佛 因 中 為 流 水 長 者 子 時 現 半 身 讚 隨 名 
X88n1658_002:0431b15	定。實救十千魚。故光明會中凡四品經。佛獨與此天	定 實 救 十 千 魚 故 光 明 會 中 凡 四 品 經 佛 獨 與 此 天 
X88n1658_002:0431b16	說。于昔因而兼讚歎。而讚佛中女天自云。我常念佛。	說 于 昔 因 而 兼 讚 歎 而 讚 佛 中 女 天 自 云 我 常 念 佛 
X88n1658_002:0431b17	樂見世尊。常作誓願。不離佛日。乃至亦常修行最上	樂 見 世 尊 常 作 誓 願 不 離 佛 日 乃 至 亦 常 修 行 最 上 
X88n1658_002:0431b18	大悲。至乎世尊讚云。善哉善哉。快說是言。是知大權	大 悲 至 乎 世 尊 讚 云 善哉善哉 快 說 是 言 是 知 大 權 
X88n1658_002:0431b19	示迹微妙難思。舊傳約表云。依實相理地。一切種智	示 迹 微 妙 難 思 舊 傳 約 表 云 依 實 相 理 地 一切種智 
X88n1658_002:0431b20	而為根莖。三十七品以為枝葉。開萬行因花。結四十	而 為 根 莖 三十七品 以 為 枝 葉 開 萬 行 因 花 結 四 十 
X88n1658_002:0431b21	二位之果。四接覆陰於群生。現神身而佐嘉會。華嚴	二 位 之 果 四 接 覆 陰 於 群 生 現 神 身 而 佐 嘉 會 華 嚴 
X88n1658_002:0431b22	表法廣有其文。諸經讚護亦非一二。讚曰。	表 法 廣 有 其 文 諸 經 讚 護 亦 非 一 二 讚 曰 
X88n1658_002:0431b23	　摩竭提國西南隅　　去尼連河十里餘	 摩 竭 提 國 西 南 隅 去 尼 連 河 十 里 餘 
X88n1658_002:0431b24	　有菩提樹甚高聳　　上有天神於此居	 有 菩 提 樹 甚 高 聳 上 有 天 神 於 此 居 
X88n1658_002:0431c01	　既乃守護令堅固　　立名因此著經書	 既 乃 守 護 令 堅 固 立 名 因 此 著 經 書 
X88n1658_002:0431c02	　此即如來成道處　　至今垂陰尚扶疎	 此 即 如 來 成 道 處 至 今 垂 陰 尚 扶 疎 
X88n1658_002:0431c03	　佛始將往於其下　　諸天繒盖預高舒	 佛 始 將 往 於 其 下 諸 天 繒 盖 預 高 舒 
X88n1658_002:0431c04	　樹神別名等增益　　曾告流水乃其初	 樹 神 別 名 等 增 益 曾 告 流 水 乃 其 初 
X88n1658_002:0431c05	　應當隨名以定實　　枯池速救十千魚	 應 當 隨 名 以 定 實 枯 池 速 救 十 千 魚 
X88n1658_002:0431c06	　故今天子蒙授記　　信知因行果應如	 故 今 天 子 蒙 授 記 信 知 因 行 果 應 如 
X88n1658_002:0431c07	　金光明會對揚處　　經文四品委談諸	 金 光 明 會 對 揚 處 經 文 四 品 委 談 諸 
X88n1658_002:0431c08	　常發誓願樂見佛　　觀一切性皆空虗	 常 發 誓 願 樂 見 佛 觀 一 切 性 皆 空 虗 
X88n1658_002:0431c09	　我佛即從三昧起　　善哉快說以稱譽	 我 佛 即 從 三 昧 起 善 哉 快 說 以 稱 譽 
X88n1658_002:0431c10	　因果互嚴於佛化　　端知真是大權歟	 因 果 互 嚴 於 佛 化 端 知 真 是 大 權 歟 
X88n1658_002:0431c11	鬼子母天傳	鬼 子 母 天 傳 
X88n1658_002:0431c12	顯正論云。鬼子母。父名歡喜。夫名圓滿具足藥叉。姉	顯 正 論 云 鬼 子 母 父 名 歡 喜 夫 名 圓 滿 具 足 藥 叉 姉 
X88n1658_002:0431c13	名炙匿。妹名摩尼鉢。鬼子母生一千子。在閻浮提最	名 炙 匿 妹 名 摩 尼 鉢 鬼 子 母 生 一 千 子 在 閻 浮 提 最 
X88n1658_002:0431c14	小者名愛奴。偏所憐惜。常食人子。佛為化彼。將愛奴	小 者 名 愛 奴 偏 所 憐 惜 常 食 人 子 佛 為 化 彼 將 愛 奴 
X88n1658_002:0431c15	鉢下藏之。母於天上人間覓之不得。佛遂化之。令僧	鉢 下 藏 之 母 於 天 上 人 間 覓 之 不 得 佛 遂 化 之 令 僧 
X88n1658_002:0431c16	施食與之。鬼子母經云。有一千子。皆為鬼王。一王統	施 食 與 之 鬼 子 母 經 云 有 一 千 子 皆 為 鬼 王 一 王 統 
X88n1658_002:0431c17	數萬鬼眾。五百在天上嬈諸天。五百在世上嬈帝王	數 萬 鬼 眾 五 百 在 天 上 嬈 諸 天 五 百 在 世 上 嬈 帝 王 
X88n1658_002:0431c18	人民。或自稱林木神水神地神船車宅舍。晝夜夢寐。	人 民 或 自 稱 林 木 神 水 神 地 神 船 車 宅 舍 晝 夜 夢 寐 
X88n1658_002:0431c19	恐怖作恠。佛為受五戒。得須陀洹。白佛言。我欲止佛	恐 怖 作 恠 佛 為 受 五 戒 得 須 陀 洹 白 佛 言 我 欲 止 佛 
X88n1658_002:0431c20	精舍旁。呼千子。凡天上人間無子息者。我當與之。姊	精 舍 旁 呼 千 子 凡 天 上 人 間 無 子 息 者 我 當 與 之 姊 
X88n1658_002:0431c21	名炙匿主人產。妹名浮陀羅尼鉢。主天上人間鬼。四	名 炙 匿 主 人 產 妹 名 浮 陀 羅 尼 鉢 主 天 上 人 間 鬼 四 
X88n1658_002:0431c22	海船車治生財產。陀羅尼集云。鬼子母。夫名德叉迦。	海 船 車 治 生 財 產 陀 羅 尼 集 云 鬼 子 母 夫 名 德 叉 迦 
X88n1658_002:0431c23	大兒名唯奢叉。次兒名散脂大將。小兒名摩尼跋陀。	大 兒 名 唯 奢 叉 次 兒 名 散 脂 大 將 小 兒 名 摩 尼 跋 陀 
X88n1658_002:0431c24	女名功德天。寄歸傳云。西方諸寺畫天母抱一兒於	女 名 功 德 天 寄 歸 傳 云 西 方 諸 寺 畫 天 母 抱 一 兒 於 
X88n1658_002:0432a01	膝。乃四天王之眾有疾病無兒膝者饗食薦之。咸皆	膝 乃 四 天 王 之 眾 有 疾 病 無 兒 膝 者 饗 食 薦 之 咸 皆 
X88n1658_002:0432a02	遂願。其名號也。或云訶利帝母。光明中連稱訶利帝	遂 願 其 名 號 也 或 云 訶 利 帝 母 光 明 中 連 稱 訶 利 帝 
X88n1658_002:0432a03	南鬼子母等。及五百神。百錄云。訶利帝南鬼子母等	南 鬼 子 母 等 及 五 百 神 百 錄 云 訶 利 帝 南 鬼 子 母 等 
X88n1658_002:0432a04	五百眷屬。今古多疑為二神。故多不同。今準孔雀經	五 百 眷 屬 今 古 多 疑 為 二 神 故 多 不 同 今 準 孔 雀 經 
X88n1658_002:0432a05	云。散脂迦大將。訶利帝母。及五百子。則知只一神也。	云 散 脂 迦 大 將 訶 利 帝 母 及 五 百 子 則 知 只 一 神 也 
X88n1658_002:0432a06	又訶利帝母真言法云。畫作天女像。金色身。著天衣。	又 訶 利 帝 母 真 言 法 云 畫 作 天 女 像 金 色 身 著 天 衣 
X88n1658_002:0432a07	頭冠纓絡。坐寶臺上。垂下兩足。於足兩邊畫二孩子。	頭 冠 纓 絡 坐 寶 臺 上 垂 下 兩 足 於 足 兩 邊 畫 二 孩 子 
X88n1658_002:0432a08	傍其臺立。於一膝上各坐一孩子。又在懷中抱一孩	傍 其 臺 立 於 一 膝 上 各 坐 一 孩 子 又 在 懷 中 抱 一 孩 
X88n1658_002:0432a09	子。於右手中持吉祥果。又其中自云。我本藥叉女。如	子 於 右 手 中 持 吉 祥 果 又 其 中 自 云 我 本 藥 叉 女 如 
X88n1658_002:0432a10	來授我三歸依。其畫像法與前寄歸傳文亦大同。是	來 授 我 三 歸 依 其 畫 像 法 與 前 寄 歸 傳 文 亦 大 同 是 
X88n1658_002:0432a11	知止是一天。主人間男女。而鬼主母由授歸戒。故旁	知 止 是 一 天 主 人 間 男 女 而 鬼 主 母 由 授 歸 戒 故 旁 
X88n1658_002:0432a12	為呼千子。同依佛宇。不惱天人。讚曰(有呪曰。唵弩弩莾哩迦呬帝娑	為 呼 千 子 同 依 佛 宇 不 惱 天 人 讚 曰 有 呪 曰 唵 弩 弩 莾 哩 迦 呬 帝 娑 
X88n1658_002:0432a13	婆訶)。	婆 訶 
X88n1658_002:0432a14	　訶利帝南鬼子母　　四王所統為藥叉	 訶 利 帝 南 鬼 子 母 四 王 所 統 為 藥 叉 
X88n1658_002:0432a15	　父名歡喜居凡地　　夫乃圓滿德叉迦	 父 名 歡 喜 居 凡 地 夫 乃 圓 滿 德 叉 迦 
X88n1658_002:0432a16	　親生千子閻浮果　　半居人世半天魔	 親 生 千 子 閻 浮 果 半 居 人 世 半 天 魔 
X88n1658_002:0432a17	　女功德天吉祥者　　長男立字號唯奢	 女 功 德 天 吉 祥 者 長 男 立 字 號 唯 奢 
X88n1658_002:0432a18	　妹名浮陀摩尼鉢　　主領財產及舡車	 妹 名 浮 陀 摩 尼 鉢 主 領 財 產 及 舡 車 
X88n1658_002:0432a19	　小兒愛奴偏護惜　　或號之為尼跋陀	 小 兒 愛 奴 偏 護 惜 或 號 之 為 尼 跋 陀 
X88n1658_002:0432a20	　由茲鬼眾數無量　　食人男女日偏多	 由 茲 鬼 眾 數 無 量 食 人 男 女 日 偏 多 
X88n1658_002:0432a21	　我佛化之以方便　　取子琉璃鉢覆遮	 我 佛 化 之 以 方 便 取 子 琉 璃 鉢 覆 遮 
X88n1658_002:0432a22	　徧往四天無覔處　　却來佛所願回邪	 徧 往 四 天 無 覔 處 却 來 佛 所 願 回 邪 
X88n1658_002:0432a23	　既授三歸持不殺　　令僧施食飽河沙	 既 授 三 歸 持 不 殺 令 僧 施 食 飽 河 沙 
X88n1658_002:0432a24	　旁招千子咸興善　　却依佛宇護禪那	 旁 招 千 子 咸 興 善 却 依 佛 宇 護 禪 那 
X88n1658_002:0432b01	　人有新產令無害　　求男女者裔其家	 人 有 新 產 令 無 害 求 男 女 者 裔 其 家 
X88n1658_002:0432b02	　此實一切鬼之母　　敢因法會薦香花	 此 實 一 切 鬼 之 母 敢 因 法 會 薦 香 花 
X88n1658_002:0432b03	摩利支天傳	摩 利 支 天 傳 
X88n1658_002:0432b04	梵語摩利支。或云大摩利支。此翻陽炎。由此天不可	梵 語 摩 利 支 或 云 大 摩 利 支 此 翻 陽 炎 由 此 天 不 可 
X88n1658_002:0432b05	見。不可捉。火不能燒。水不能漂。如陽炎故也。舊譯有	見 不 可 捉 火 不 能 燒 水 不 能 漂 如 陽 炎 故 也 舊 譯 有 
X88n1658_002:0432b06	摩利支天經一卷。大宋新譯有大摩里支菩薩經七	摩 利 支 天 經 一 卷 大 宋 新 譯 有 大 摩 里 支 菩 薩 經 七 
X88n1658_002:0432b07	卷。廣略雖不同。而言此天神用不異。新譯文云。佛言	卷 廣 略 雖 不 同 而 言 此 天 神 用 不 異 新 譯 文 云 佛 言 
X88n1658_002:0432b08	有菩薩名摩里支。恒行日月。不能得見。亦不能捉。不	有 菩 薩 名 摩 里 支 恒 行 日 月 不 能 得 見 亦 不 能 捉 不 
X88n1658_002:0432b09	能禁縛。火不能燒。水不能漂。離諸怖畏。無敢輕慢。諸	能 禁 縛 火 不 能 燒 水 不 能 漂 離 諸 怖 畏 無 敢 輕 慢 諸 
X88n1658_002:0432b10	惡怨家皆不得便。我昔知彼名號。亦不能見其菩薩	惡 怨 家 皆 不 得 便 我 昔 知 彼 名 號 亦 不 能 見 其 菩 薩 
X88n1658_002:0432b11	身相。乃黃金色。作童女相。掛青天衣。手執蓮華。頂戴	身 相 乃 黃 金 色 作 童 女 相 掛 青 天 衣 手 執 蓮 華 頂 戴 
X88n1658_002:0432b12	寶塔。坐無憂樹下。孔雀經云。摩利支藥叉。羅摩脚磋	寶 塔 坐 無 憂 樹 下 孔 雀 經 云 摩 利 支 藥 叉 羅 摩 脚 磋 
X88n1658_002:0432b13	住。金光明鬼神品云。睒摩利子。皆梵音楚夏也。其經	住 金 光 明 鬼 神 品 云 睒 摩 利 子 皆 梵 音 楚 夏 也 其 經 
X88n1658_002:0432b14	中新譯七卷之者。廣出諸呪。能令有情隱身於路。或	中 新 譯 七 卷 之 者 廣 出 諸 呪 能 令 有 情 隱 身 於 路 或 
X88n1658_002:0432b15	水火王難盜賊軍陣皆可隱身。令不得便。諸呪之中	水 火 王 難 盜 賊 軍 陣 皆 可 隱 身 令 不 得 便 諸 呪 之 中 
X88n1658_002:0432b16	有六字最上心真言。曰。唵(引)摩(引)里支(引)娑縛(二合)賀。	有 六 字 最 上 心 真 言 曰 唵 引 摩 引 里 支 引 娑 縛 二 合 賀 
X88n1658_002:0432b17	此真言印。二字合掌。十指微曲。如華開敷。却二大指。	此 真 言 印 二 字 合 掌 十 指 微 曲 如 華 開 敷 却 二 大 指 
X88n1658_002:0432b18	屈捻二中指。如拳相。結跏趺坐。安印相於臍輪上下。	屈 捻 二 中 指 如 拳 相 結跏趺坐 安 印 相 於 臍 輪 上 下 
X88n1658_002:0432b19	若求最勝上法而得用之。若中下事。不許用之。速能	若 求 最 勝 上 法 而 得 用 之 若 中 下 事 不 許 用 之 速 能 
X88n1658_002:0432b20	成就。別明成就法。令行人想彼菩薩。坐金色豬身上。	成 就 別 明 成 就 法 令 行 人 想 彼 菩 薩 坐 金 色 豬 身 上 
X88n1658_002:0432b21	著白衣。頂戴寶塔。左手執無憂樹枝。復有群猪圍繞。	著 白 衣 頂 戴 寶 塔 左 手 執 無 憂 樹 枝 復 有 群 猪 圍 繞 
X88n1658_002:0432b22	作此觀已。若速出道路。如有賊等大難。以手執自身	作 此 觀 已 若 速 出 道 路 如 有 賊 等 大 難 以 手 執 自 身 
X88n1658_002:0432b23	衣服。念心真言七徧加持衣角。復結彼衣角。冤賊等	衣 服 念 心 真 言 七 徧 加 持 衣 角 復 結 彼 衣 角 冤 賊 等 
X88n1658_002:0432b24	難不能侵害。又有大摩里支降伏冤兵之法。文廣不	難 不 能 侵 害 又 有 大 摩 里 支 降 伏 冤 兵 之 法 文 廣 不 
X88n1658_002:0432c01	錄。復有觀想法。想菩薩身作忿怒。有三面。面有三目。	錄 復 有 觀 想 法 想 菩 薩 身 作 忿 怒 有 三 面 面 有 三 目 
X88n1658_002:0432c02	一作猪面。利牙外出。舌如閃電。為大惡相。身出炎燄。	一 作 猪 面 利 牙 外 出 舌 如 閃 電 為 大 惡 相 身 出 炎 燄 
X88n1658_002:0432c03	偏袒青衣。身黃金色。種種莊嚴。臂有其八。右手持金	偏 袒 青 衣 身 黃 金 色 種 種 莊 嚴 臂 有 其 八 右 手 持 金 
X88n1658_002:0432c04	剛杵。金剛鈎。左手持弓。右無憂樹枝羂索。頂戴寶塔。	剛 杵 金 剛 鈎 左 手 持 弓 右 無 憂 樹 枝 羂 索 頂 戴 寶 塔 
X88n1658_002:0432c05	立月輪內。右足如舞蹈勢。左足蹈冤家。經中八臂執	立 月 輪 內 右 足 如 舞 蹈 勢 左 足 蹈 冤 家 經 中 八 臂 執 
X88n1658_002:0432c06	捉不同。或云左手持弓索無憂樹枝及線。右手執金	捉 不 同 或 云 左 手 持 弓 索 無 憂 樹 枝 及 線 右 手 執 金 
X88n1658_002:0432c07	剛杵箭。其三面者。正面作黃金色微笑。左面黑色出	剛 杵 箭 其 三 面 者 正 面 作 黃 金 色 微 笑 左 面 黑 色 出 
X88n1658_002:0432c08	舌顰眉。作大醜惡相令人怕怖。右面如同秋月圓滿	舌 顰 眉 作 大 醜 惡 相 令 人 怕 怖 右 面 如 同 秋 月 圓 滿 
X88n1658_002:0432c09	清淨。然此等皆有所謂而對治之耳。此經七卷之文	清 淨 然 此 等 皆 有 所 謂 而 對 治 之 耳 此 經 七 卷 之 文 
X88n1658_002:0432c10	乃　宋朝大宗皇帝時西天譯經三藏大息灾所譯。	乃 宋 朝 大 宗 皇 帝 時 西 天 譯 經 三 藏 大 息 灾 所 譯 
X88n1658_002:0432c11	印呪壇場。文其周備。　大宗皇帝御製聖教序以冠	印 呪 壇 場 文 其 周 備 大 宗 皇 帝 御 製 聖 教 序 以 冠 
X88n1658_002:0432c12	其首。故祈福之處參入天位。然印本舊譯。經後附入	其 首 故 祈 福 之 處 參 入 天 位 然 印 本 舊 譯 經 後 附 入 
X88n1658_002:0432c13	感應。乃相州有人夜夢群猪繞一車。車中盡是文字。	感 應 乃 相 州 有 人 夜 夢 群 猪 繞 一 車 車 中 盡 是 文 字 
X88n1658_002:0432c14	一鬼牽其車。因問其鬼。鬼曰。此乃合殺戮兵戈之籍。	一 鬼 牽 其 車 因 問 其 鬼 鬼 曰 此 乃 合 殺 戮 兵 戈 之 籍 
X88n1658_002:0432c15	其人看之。盡錄人之姓名。遂問曰。有名字如何得免。	其 人 看 之 盡 錄 人 之 姓 名 遂 問 曰 有 名 字 如 何 得 免 
X88n1658_002:0432c16	鬼曰。有大摩利支天經。若能誦之。并稱天名。可得免	鬼 曰 有 大 摩 利 支 天 經 若 能 誦 之 并 稱 天 名 可 得 免 
X88n1658_002:0432c17	也。及覺遂請其經。及日持聖號。不數月果有兵危。而	也 及 覺 遂 請 其 經 及 日 持 聖 號 不 數 月 果 有 兵 危 而 
X88n1658_002:0432c18	得免之。若爾則不思議力誠可依憑。得不崇心以祈	得 免 之 若 爾 則 不 思 議 力 誠 可 依 憑 得 不 崇 心 以 祈 
X88n1658_002:0432c19	求安兵革者乎。讚曰。	求 安 兵 革 者 乎 讚 曰 
X88n1658_002:0432c20	　有天號曰摩利支　　行日月前誰見之	 有 天 號 曰 摩 利 支 行 日 月 前 誰 見 之 
X88n1658_002:0432c21	　水火兵難及恐怖　　一切冤魔難執持	 水 火 兵 難 及 恐 怖 一 切 冤 魔 難 執 持 
X88n1658_002:0432c22	　身相乃作黃金色　　顏如童子掛青衣	 身 相 乃 作 黃 金 色 顏 如 童 子 掛 青 衣 
X88n1658_002:0432c23	　頂戴寶塔或端坐　　手執無憂花樹枝	 頂 戴 寶 塔 或 端 坐 手 執 無 憂 花 樹 枝 
X88n1658_002:0432c24	　或執蓮華或八臂　　前後圍繞乃群豬	 或 執 蓮 華 或 八 臂 前 後 圍 繞 乃 群 豬 
