X53n0837_001:0106a06	法宗原	法 宗 原 
X53n0837_001:0115b17	如梵眾天謂劫初起彼諸梵眾起如是想我等皆是	如 梵 眾 天 謂 劫 初 起 彼 諸 梵 眾 起 如 是 想 我 等 皆 是 
X53n0837_001:0115b18	大梵所生大梵爾時亦起此想是諸梵眾皆我所生	大 梵 所 生 大 梵 爾 時 亦 起 此 想 是 諸 梵 眾 皆 我 所 生 
X53n0837_001:0115b19	同想一因故名想一大梵王身其量高廣容貌威德	同 想 一 因 故 名 想 一 大 梵 王 身 其 量 高 廣 容 貌 威 德 
X53n0837_001:0115b20	言語光明衣冠等事一一皆與梵眾不同故名身異	言 語 光 明 衣 冠 等 事 一 一 皆 與 梵 眾 不 同 故 名 身 異 
X53n0837_001:0115b21	三身一想異謂二定三天彼顯形狀貌不異故名身	三 身 一 想 異 謂 二 定 三 天 彼 顯 形 狀 貌 不 異 故 名 身 
X53n0837_001:0115b22	一樂非苦樂二想交參故名想異四身一想一謂三	一 樂 非 苦 樂 二 想 交 參 故 名 想 異 四 身 一 想 一 謂 三 
X53n0837_001:0115b23	定三天彼顯形狀貌不異故名身一唯有樂想故名	定 三 天 彼 顯 形 狀 貌 不 異 故 名 身 一 唯 有 樂 想 故 名 
X53n0837_001:0115b24	想一初靜慮中由染污想故言想一第二靜慮由二	想 一 初 靜 慮 中 由 染 污 想 故 言 想 一 第二靜慮 由 二 
X53n0837_001:0115c01	善想故言想異第三靜慮由異熟想故言想一五空	善 想 故 言 想 異 第三靜慮 由 異 熟 想 故 言 想 一 五 空 
X53n0837_001:0115c02	無邊處六識無邊處七無所有處餘三惡起第四靜	無 邊 處 六 識無邊處 七 無所有處 餘 三 惡 起 第 四 靜 
X53n0837_001:0115c03	慮及與有頂皆有損壞識法故非識住此七識住唯	慮 及 與 有 頂 皆 有 損 壞 識 法 故 非 識 住 此 七 識 住 唯 
X53n0837_001:0115c04	有漏欲色五蘊性無色四蘊性七十五法中除三無	有 漏 欲 色 五 蘊 性 無 色 四 蘊 性 七十五法 中 除 三 無 
X53n0837_001:0115c05	為無想異熟二定餘六十九法隨應為性。七種聖	為 無 想 異 熟 二 定 餘 六 十 九 法 隨 應 為 性 七 種 聖 
X53n0837_001:0115c06	人者一隨信行二隨法行三信解四見至五身證六	人 者 一 隨 信 行 二 隨 法 行 三 信 解 四 見 至 五 身 證 六 
X53n0837_001:0115c07	慧解脫七俱解脫隨信行者先加行位隨信行故隨	慧 解 脫 七 俱 解 脫 隨 信 行 者 先 加 行 位 隨 信 行 故 隨 
X53n0837_001:0115c08	法行者先加行位隨法行故信解者由信根增故見	法 行 者 先 加 行 位 隨 法 行 故 信 解 者 由 信 根 增 故 見 
X53n0837_001:0115c09	至者由慧根增故身證者由身證得滅盡定故慧解	至 者 由 慧 根 增 故 身 證 者 由 身 證 得 滅 盡 定 故 慧 解 
X53n0837_001:0115c10	脫者唯由慧力離煩惱障故俱解脫者兼得滅盡定	脫 者 唯 由 慧 力 離 煩 惱 障 故 俱 解 脫 者 兼 得 滅 盡 定 
X53n0837_001:0115c11	離解脫障故初二見道次三修道後二無學此七聖	離 解 脫 障 故 初 二 見 道 次 三 修 道 後 二 無 學 此 七 聖 
X53n0837_001:0115c12	者皆以無漏五蘊為性若約七十五法中以無表色	者 皆 以 無 漏 五 蘊 為 性 若 約 七十五法 中 以 無 表 色 
X53n0837_001:0115c13	心王大地法十大善地法十尋伺得四相為體。七	心 王 大 地 法 十 大善地法 十 尋 伺 得 四 相 為 體 七 
X53n0837_001:0115c14	支戒者一不殺生二不偷盜三不婬四不虗誑語五	支 戒 者 一 不 殺 生 二 不 偷 盜 三 不 婬 四 不 虗 誑 語 五 
X53n0837_001:0115c15	不麤惡語六不離間語七不離穢語前三身業表無	不 麤 惡 語 六 不 離 間 語 七 不 離 穢 語 前 三 身 業 表 無 
X53n0837_001:0115c16	表性後四語業表無表性身表者以色十一中色為	表 性 後 四 語 業 表 無 表 性 身 表 者 以 色 十 一 中 色 為 
X53n0837_001:0115c17	性語表以聲為性無表以無表為性。七覺支者一	性 語 表 以 聲 為 性 無 表 以 無 表 為 性 七 覺 支 者 一 
X53n0837_001:0115c18	念二定三擇法四喜五輕安六捨七精進前四即以	念 二 定 三 擇 法 四 喜 五 輕 安 六 捨 七 精 進 前 四 即 以 
X53n0837_001:0115c19	大地法中念定慧受為體後三即以大善地中輕安	大 地 法 中 念 定 慧 受 為 體 後 三 即 以 大 善 地 中 輕 安 
X53n0837_001:0115c20	捨勤為性覺謂覺慧支是分義。	捨 勤 為 性 覺 謂 覺 慧 支 是 分 義 
X53n0837_001:0115c21	八門分別略有五種八戒八正道八解脫八勝處八	八 門 分 別 略 有 五 種 八 戒 八 正 道 八 解 脫 八 勝 處 八 
X53n0837_001:0115c22	難。八戒者一不殺生二不偷盜三不婬欲四不虗	難 八 戒 者 一 不 殺 生 二 不 偷 盜 三 不 婬 欲 四 不 虗 
X53n0837_001:0115c23	誑語五不飲洒六不塗飾香鬘歌舞視聽七不眠坐	誑 語 五 不 飲 洒 六 不 塗飾香鬘 歌 舞 視 聽 七 不 眠 坐 
X53n0837_001:0115c24	高廣嚴麗牀座八不非時食前三後四是身業攝不	高 廣 嚴 麗 牀 座 八 不非時食 前 三 後 四 是 身 業 攝 不 
X53n0837_001:0116a01	歌舞倡伎故往視聽所以是身業攝或可不歌倡等	歌舞倡伎 故 往 視 聽 所 以 是 身 業 攝 或 可 不 歌 倡 等 
X53n0837_001:0116a02	是語業攝第四語業攝身語二業俱表無表性身表	是 語 業 攝 第 四 語 業 攝 身 語 二 業 俱 表 無 表 性 身 表 
X53n0837_001:0116a03	以色十一中色為性語表以聲為性身語無表以無	以 色 十 一 中 色 為 性 語 表 以 聲 為 性 身 語 無 表 以 無 
X53n0837_001:0116a04	表為性於十戒中第六開二更加不捉金銀寶等以	表 為 性 於 十 戒 中 第 六 開 二 更 加 不 捉 金 銀 寶 等 以 
X53n0837_001:0116a05	為第十身業表無表性。八正道者一正見二正念	為 第 十 身 業 表 無 表 性 八 正 道 者 一 正 見 二 正 念 
X53n0837_001:0116a06	三正定四正精進五正思惟六正語七正業八正命	三 正 定 四 正 精 進 五 正 思 惟 六 正 語 七 正 業 八 正 命 
X53n0837_001:0116a07	初三以大地法中慧念定為性正精進以大善地法	初 三 以 大 地 法 中 慧 念 定 為 性 正 精 進 以 大善地法 
X53n0837_001:0116a08	中勤為性正思惟以不定中尋伺為性語業命三以	中 勤 為 性 正 思 惟 以 不 定 中 尋 伺 為 性 語 業 命 三 以 
X53n0837_001:0116a09	色中無表為性皆無漏。八解脫者一內有色想觀	色 中 無 表 為 性 皆 無 漏 八 解 脫 者 一 內 有 色 想 觀 
X53n0837_001:0116a10	外色二內無色想觀外色三淨解脫四空無邊處五	外 色 二 內 無 色 想 觀 外 色 三 淨 解 脫 四 空 無 邊 處 五 
X53n0837_001:0116a11	識無邊處六無所有處七非想非非想處八滅受想	識無邊處 六 無所有處 七 非想非非想處 八 滅 受 想 
X53n0837_001:0116a12	定於內色身有色想貪為除想貪觀外不淨青瘀等	定 於 內 色 身 有 色 想 貪 為 除 想 貪 觀 外 不 淨 青 瘀 等 
X53n0837_001:0116a13	色而方內身令貪不起名初解脫於內色身無色想	色 而 方 內 身 令 貪 不 起 名 初 解 脫 於 內 色 身 無 色 想 
X53n0837_001:0116a14	貪雖已除貪為堅牢故觀外不淨青瘀等色令貪不	貪 雖 已 除 貪 為 堅 牢 故 觀 外 不 淨 青 瘀 等 色 令 貪 不 
X53n0837_001:0116a15	起名第二解脫觀清淨色令貪不起名淨解脫顯觀	起 名 第 二 解 脫 觀 清 淨 色 令 貪 不 起 名 淨 解 脫 顯 觀 
X53n0837_001:0116a16	轉勝空無邊等四無色定各能解脫下地貪故為次	轉 勝 空 無 邊 等 四無色定 各 能 解 脫 下 地 貪 故 為 次 
X53n0837_001:0116a17	四解脫滅受想定棄背受等名第八解脫棄背義是	四 解 脫 滅受想定 棄 背 受 等 名 第 八 解 脫 棄 背 義 是 
X53n0837_001:0116a18	解脫義也初三以無貪為性近治貪故若并助伴皆	解 脫 義 也 初 三 以 無 貪 為 性 近 治 貪 故 若 并 助 伴 皆 
X53n0837_001:0116a19	五蘊性次四解脫以四無色定善為性後一解脫以	五 蘊 性 次 四 解 脫 以 四無色定 善 為 性 後 一 解 脫 以 
X53n0837_001:0116a20	滅定為性若約七十五法出體初二以無表色心王	滅 定 為 性 若 約 七十五法 出 體 初 二 以 無 表 色 心 王 
X53n0837_001:0116a21	大地法十大善地法十尋伺得四相為體第三除尋	大 地 法 十 大善地法 十 尋 伺 得 四 相 為 體 第 三 除 尋 
X53n0837_001:0116a22	伺餘如初二說四無色解脫以心王大地法十為體	伺 餘 如 初 二 說 四 無色解脫 以 心 王 大 地 法 十 為 體 
X53n0837_001:0116a23	後一解脫以滅定為體初二依初二定第三依第四	後 一 解 脫 以 滅 定 為 體 初 二 依 初 二 定 第 三 依 第 四 
X53n0837_001:0116a24	定次四各依自地後一依有頂。八勝處者一內有	定 次 四 各 依 自 地 後 一 依 有 頂 八 勝 處 者 一 內 有 
X53n0837_001:0116b01	色想觀外色少二內有色想觀外色多三內無色想	色 想 觀 外 色 少 二 內有色想觀外色多 三 內 無 色 想 
X53n0837_001:0116b02	觀外色少四內無色想觀外色多後四內無色想觀	觀 外 色 少 四 內無色想觀外色多 後 四 內 無 色 想 觀 
X53n0837_001:0116b03	外青黃赤白為四足前成八於內色身有色想貪為	外 青 黃 赤 白 為 四 足 前 成 八 於 內 色 身 有 色 想 貪 為 
X53n0837_001:0116b04	對治故觀外少色作青瘀等名初勝處於內色身有	對 治 故 觀 外 少 色 作 青 瘀 等 名 初 勝 處 於 內 色 身 有 
X53n0837_001:0116b05	色想貪為對治彼觀外多色作青瘀等名第二勝處	色 想 貪 為 對 治 彼 觀 外 多 色 作 青 瘀 等 名 第 二 勝 處 
X53n0837_001:0116b06	於內色身無色想貪但為堅牢觀外少色作青瘀等	於 內 色 身 無 色 想 貪 但 為 堅 牢 觀 外 少 色 作 青 瘀 等 
X53n0837_001:0116b07	令貪不起名第三勝處於內色身無色想貪但為堅	令 貪 不 起 名 第 三 勝 處 於 內 色 身 無 色 想 貪 但 為 堅 
X53n0837_001:0116b08	牢觀外多色作青瘀等令貪不起名第四勝處又於	牢 觀 外 多 色 作 青 瘀 等 令 貪 不 起 名 第 四 勝 處 又 於 
X53n0837_001:0116b09	內身無色想貪但為策心或試煩惱觀外青黃赤白	內 身 無 色 想 貪 但 為 策 心 或 試 煩 惱 觀 外 青 黃 赤 白 
X53n0837_001:0116b10	四色令貪不起名後四勝處初二勝處自性地等如	四 色 令 貪 不 起 名 後 四 勝 處 初 二 勝 處 自 性 地 等 如 
X53n0837_001:0116b11	初解脫是初解脫果故次二勝處自性地等如第二	初 解 脫 是 初 解 脫 果 故 次 二 勝 處 自 性 地 等 如 第 二 
X53n0837_001:0116b12	解脫是第二解脫果故後四勝處自性地等如第三	解 脫 是 第 二 解 脫 果 故 後 四 勝 處 自 性 地 等 如 第 三 
X53n0837_001:0116b13	解脫是第三解脫果故前修解脫唯棄背後修勝處	解 脫 是 第 三 解 脫 果 故 前 修 解 脫 唯 棄 背 後 修 勝 處 
X53n0837_001:0116b14	能制所緣隨欲樂觀或終不起心勝境處故名勝處。	能 制 所 緣 隨 欲 樂 觀 或 終 不 起 心 勝 境 處 故 名 勝 處 
X53n0837_001:0116b15	八難者一地獄二傍生三餓鬼四北俱盧五無想	八 難 者 一 地 獄 二 傍 生 三 餓 鬼 四 北 俱 盧 五 無 想 
X53n0837_001:0116b16	天六世智辨聰七佛前佛後八盲聾瘖瘂不能入聖	天 六 世 智 辨 聰 七 佛前佛後 八 盲 聾 瘖 瘂 不 能 入 聖 
X53n0837_001:0116b17	及離染故故名為難世智辨聰以大地法中邪慧為	及 離 染 故 故 名 為 難 世 智 辨 聰 以 大 地 法 中 邪 慧 為 
X53n0837_001:0116b18	性餘七皆以異熟無記五蘊為性七十五法中眼等	性 餘 七 皆 以 異 熟 無 記 五 蘊 為 性 七十五法 中 眼 等 
X53n0837_001:0116b19	五根色香味觸心王大地法十尋伺睡眠得同分無	五 根 色香味觸 心 王 大 地 法 十 尋 伺 睡 眠 得 同 分 無 
X53n0837_001:0116b20	想異熟命根四相隨其所應為彼體性。	想 異 熟 命 根 四 相 隨其所應 為 彼 體 性 
X53n0837_001:0116b21	九門分別略有五種九結九有情居九地九次第定	九 門 分 別 略 有 五 種 九 結 九有情居 九 地 九次第定 
X53n0837_001:0116b22	九遍知。九結者一愛結二恚結三慢結四無明結	九 遍 知 九 結 者 一 愛 結 二 恚 結 三 慢 結 四 無 明 結 
X53n0837_001:0116b23	五見結六取結七疑結八嫉結九慳結此九結依婆	五 見 結 六 取 結 七 疑 結 八 嫉 結 九 慳 結 此 九 結 依 婆 
X53n0837_001:0116b24	沙總以百事為性愛慢無明結各三界五部為四十	沙 總 以 百 事 為 性 愛 慢 無 明 結 各 三 界 五 部 為 四 十 
X53n0837_001:0116c01	五事恚結唯欲界五部為五事見結有十八事謂有	五 事 恚 結 唯 欲 界 五 部 為 五 事 見 結 有 十 八 事 謂 有 
X53n0837_001:0116c02	身見邊執見各三界見苦所斷為六邪見三界各四	身 見 邊 執 見 各 三 界 見苦所斷 為 六 邪 見 三 界 各 四 
X53n0837_001:0116c03	部為十二事取結有十八事謂見取三界各四部為	部 為 十 二 事 取 結 有 十 八 事 謂 見 取 三 界 各 四 部 為 
X53n0837_001:0116c04	十二事戒禁取三界各見苦道所斷為六事疑結三	十 二 事 戒 禁 取 三 界 各 見 苦 道 所 斷 為 六 事 疑 結 三 
X53n0837_001:0116c05	界各四部為十二事嫉結慳結各欲界修所斷為二	界 各 四 部 為 十 二 事 嫉 結 慳 結 各 欲 界 修 所 斷 為 二 
X53n0837_001:0116c06	事若約七十五法中初三及第七以不定地中貪嗔	事 若 約 七十五法 中 初 三 及 第 七 以 不 定 地 中 貪 嗔 
X53n0837_001:0116c07	慢疑為性第四以大惑中無明為性第五第六以大	慢 疑 為 性 第 四 以 大 惑 中 無 明 為 性 第 五 第 六 以 大 
X53n0837_001:0116c08	地法中慧為性後二以小惑中嫉慳為性結縛有情	地 法 中 慧 為 性 後 二 以 小 惑 中 嫉 慳 為 性 結 縛 有 情 
X53n0837_001:0116c09	不出三界故名為結也。九有情居者於七識住加	不 出 三 界 故 名 為 結 也 九有情居 者 於 七 識 住 加 
X53n0837_001:0116c10	無想有情非想非非想足前為九諸有情類唯於此	無想有情 非想非非想 足 前 為 九 諸 有 情 類 唯 於 此 
X53n0837_001:0116c11	九欣樂住故立有情居餘處皆非不樂住故如識住	九 欣 樂 住 故 立 有 情 居 餘 處 皆 非 不 樂 住 故 如 識 住 
X53n0837_001:0116c12	說應知體性准七識住說唯加無想有頂為異。九	說 應 知 體 性 准 七 識 住 說 唯 加 無 想 有 頂 為 異 九 
X53n0837_001:0116c13	地者謂欲界四靜慮四無色所依名地欲色五蘊性	地 者 謂 欲 界 四 靜 慮 四 無 色 所 依 名 地 欲 色 五 蘊 性 
X53n0837_001:0116c14	無色四蘊性欲界有頂唯有漏四定三無色通有漏	無 色 四 蘊 性 欲 界 有 頂 唯 有 漏 四 定 三 無 色 通 有 漏 
X53n0837_001:0116c15	無漏七十五法中除三無為餘七十二法內色十一	無 漏 七十五法 中 除 三 無 為 餘 七 十 二 法 內 色 十 一 
X53n0837_001:0116c16	中香味不善地法二小惑中忿覆慳嫉惱害恨不定	中 香 味 不 善 地 法 二 小 惑 中 忿 覆 慳 嫉 惱 害 恨 不 定 
X53n0837_001:0116c17	中睡眠惡作嗔唯欲界不相應中無想異熟無想定	中 睡 眠 惡 作 嗔 唯 欲 界 不 相 應 中 無 想 異 熟 無 想 定 
X53n0837_001:0116c18	唯第四靜慮滅盡定唯有頂小惑中諂誑不定中尋	唯 第四靜慮 滅 盡 定 唯 有 頂 小 惑 中 諂 誑 不 定 中 尋 
X53n0837_001:0116c19	伺唯欲界初定不相應中名句文若說隨語欲界初	伺 唯 欲 界 初 定 不 相 應 中 名 句 文 若 說 隨 語 欲 界 初 
X53n0837_001:0116c20	定若說隨身通欲界四定色十一中眼等五根色聲	定 若 說 隨 身 通 欲 界 四 定 色 十 一 中 眼 等 五 根 色 聲 
X53n0837_001:0116c21	觸無表通欲界四定心王大地法十大善地法十大	觸 無 表 通 欲 界 四 定 心 王 大 地 法 十 大善地法 十 大 
X53n0837_001:0116c22	煩惱地法六小惑中憍不定中貪慢疑不相應中得	煩 惱 地 法 六 小 惑 中 憍 不 定 中 貪 慢 疑 不 相 應 中 得 
X53n0837_001:0116c23	非得同分命根四相通九地。九次第定者謂四靜	非 得 同 分 命 根 四 相 通 九 地 九次第定 者 謂 四 靜 
X53n0837_001:0116c24	慮四無色及滅受想次第而起名次第定由是聖人	慮 四 無 色 及 滅 受 想 次 第 而 起 名 次 第 定 由 是 聖 人 
X53n0837_001:0117a01	功德法故唯取善性四靜慮五蘊為性四無色四蘊	功 德 法 故 唯 取 善 性 四 靜 慮 五 蘊 為 性 四 無 色 四 蘊 
X53n0837_001:0117a02	為性滅受想定唯行蘊為性若約七十五法中無表	為 性 滅受想定 唯 行 蘊 為 性 若 約 七十五法 中 無 表 
X53n0837_001:0117a03	色心王大地法十大善地法十尋伺得四相為初靜	色 心 王 大 地 法 十 大善地法 十 尋 伺 得 四 相 為 初 靜 
X53n0837_001:0117a04	慮體後三靜慮除尋伺餘如初定說四無色定又除	慮 體 後 三 靜 慮 除 尋 伺 餘 如 初 定 說 四無色定 又 除 
X53n0837_001:0117a05	無表餘如初定說滅受想定以不相應中滅定為體。	無 表 餘 如 初 定 說 滅受想定 以 不 相 應 中 滅 定 為 體 
X53n0837_001:0117a06	九遍知者一欲界苦集所斷二欲界見滅所斷三	九 遍 知 者 一 欲 界 苦 集 所 斷 二 欲 界 見 滅 所 斷 三 
X53n0837_001:0117a07	欲界見道所斷四色無色苦集所斷五色無色見滅	欲 界 見道所斷 四 色 無 色 苦 集 所 斷 五 色 無 色 見 滅 
X53n0837_001:0117a08	所斷六色無色見道所斷七欲界修道所斷立一遍	所 斷 六 色 無 色 見道所斷 七 欲 界 修道所斷 立 一 遍 
X53n0837_001:0117a09	知應知即是五順下分結盡遍知并前立故八色界	知 應 知 即 是 五 順 下 分 結 盡 遍 知 并 前 立 故 八 色 界 
X53n0837_001:0117a10	修道所斷立一遍知此即是色愛盡遍知九無色界	修道所斷 立 一 遍 知 此 即 是 色 愛 盡 遍 知 九 無 色 界 
X53n0837_001:0117a11	修道所斷立一遍知即一切結永盡遍知此亦并前	修道所斷 立 一 遍 知 即 一 切 結 永 盡 遍 知 此 亦 并 前 
X53n0837_001:0117a12	合立一故此九遍知擇滅為性言遍知者此於果上	合 立 一 故 此 九 遍 知 擇 滅 為 性 言 遍 知 者 此 於 果 上 
X53n0837_001:0117a13	立因名故。	立 因 名 故 
X53n0837_001:0117a14	十門分別略有六種十纏十隨眠十善業道十遍處	十 門 分 別 略 有 六 種 十 纏 十 隨 眠 十善業道 十 遍 處 
X53n0837_001:0117a15	十智十力。十纏者一無慚二無愧三嫉四慳五悔	十 智 十 力 十 纏 者 一 無 慚 二 無 愧 三 嫉 四 慳 五 悔 
X53n0837_001:0117a16	六眠七掉舉八惛沉九忿十覆纏縛有情故名為纏	六 眠 七 掉 舉 八 惛 沉 九 忿 十 覆 纏 縛 有 情 故 名 為 纏 
X53n0837_001:0117a17	初二是大不善地法嫉慳忿覆是小惑中四惡作睡	初 二 是 大不善地法 嫉 慳 忿 覆 是 小 惑 中 四 惡 作 睡 
X53n0837_001:0117a18	眠是不定中二掉舉惛沉是大煩惱地中二。十隨	眠 是 不 定 中 二 掉 舉 惛 沉 是 大 煩 惱 地 中 二 十 隨 
X53n0837_001:0117a19	眠者一貪二嗔三慢四疑五無明六有身見七邊執	眠 者 一 貪 二 嗔 三 慢 四 疑 五 無 明 六 有 身 見 七 邊 執 
X53n0837_001:0117a20	見八邪見九見取十戒禁取隨謂隨逐眠謂隨縛行	見 八 邪 見 九 見 取 十 戒 禁 取 隨 謂 隨 逐 眠 謂 隨 縛 行 
X53n0837_001:0117a21	相微細說名為眠若約三界五部此十總以九十八	相 微 細 說 名 為 眠 若 約 三 界 五 部 此 十 總 以 九 十 八 
X53n0837_001:0117a22	物為體如九結中前七結說但無慳嫉為異若約七	物 為 體 如 九 結 中 前 七 結 說 但 無 慳 嫉 為 異 若 約 七 
X53n0837_001:0117a23	十五法中前四以不定中貪嗔慢疑為體無明以大	十 五 法 中 前 四 以 不 定 中 貪 嗔 慢 疑 為 體 無 明 以 大 
X53n0837_001:0117a24	煩惱地法中無明為性後五見以大地法中慧為性。	煩 惱 地 法 中 無 明 為 性 後 五 見 以 大 地 法 中 慧 為 性 
X53n0837_001:0117b01	十善業道者一不殺生二不偷盜三不邪行四不	十善業道 者 一 不 殺 生 二 不 偷 盜 三 不 邪 行 四 不 
X53n0837_001:0117b02	虗誑語五不麤惡語六不離間語七不雜穢語八無	虗 誑 語 五 不 麤 惡 語 六 不 離 間 語 七 不 雜 穢 語 八 無 
X53n0837_001:0117b03	貪九無嗔十正見前三身業表無表性中四語業表	貪 九 無 嗔 十 正 見 前 三 身 業 表 無 表 性 中 四 語 業 表 
X53n0837_001:0117b04	無表性後三意業道身表以色十一中色為性語表	無 表 性 後 三 意 業 道 身 表 以 色 十 一 中 色 為 性 語 表 
X53n0837_001:0117b05	以聲為性身語無表以無表為性無貪無嗔以大善	以 聲 為 性 身 語 無 表 以 無 表 為 性 無 貪 無 嗔 以 大 善 
X53n0837_001:0117b06	地法中無貪無嗔為性正見以大地法中慧為性。	地 法 中 無 貪 無 嗔 為 性 正 見 以 大 地 法 中 慧 為 性 
X53n0837_001:0117b07	十遍處者謂一地二水三火四風五青六黃七赤八	十 遍 處 者 謂 一 地 二 水 三 火 四 風 五 青 六 黃 七 赤 八 
X53n0837_001:0117b08	白九空無邊處十識無邊處周遍觀察地水火風等	白 九 空 無 邊 處 十 識無邊處 周遍觀察 地水火風 等 
X53n0837_001:0117b09	故名遍處十中前八如淨解脫無貪為性若并助伴	故 名 遍 處 十 中 前 八 如 淨 解 脫 無 貪 為 性 若 并 助 伴 
X53n0837_001:0117b10	五蘊為性依第四靜慮緣欲中見色後二邊處如彼	五 蘊 為 性 依 第四靜慮 緣 欲 中 見 色 後 二 邊 處 如 彼 
X53n0837_001:0117b11	空識二淨無識四蘊為性各緣自他四蘊為境七十	空 識 二 淨 無 識 四 蘊 為 性 各 緣 自 他 四 蘊 為 境 七 十 
X53n0837_001:0117b12	五法中前八以無表心王大地法十大善地法十為	五 法 中 前 八 以 無 表 心 王 大 地 法 十 大善地法 十 為 
X53n0837_001:0117b13	性後二除無表餘如前說八皆唯有漏。十智者一	性 後 二 除 無 表 餘 如 前 說 八 皆 唯 有 漏 十 智 者 一 
X53n0837_001:0117b14	世俗智二法智三類智四苦智五集智六滅智七道	世 俗 智 二 法 智 三 類 智 四 苦 智 五 集 智 六 滅 智 七 道 
X53n0837_001:0117b15	智八他心智九盡智十無生智多取瓶等世俗境故	智 八 他 心 智 九 盡 智 十 無 生 智 多 取 瓶 等 世 俗 境 故 
X53n0837_001:0117b16	名世俗智緣欲界四諦名法智緣色無色界四諦名	名 世 俗 智 緣 欲 界 四 諦 名 法 智 緣 色無色界 四 諦 名 
X53n0837_001:0117b17	類智最初證知諸法真理故名法智此後境智與前	類 智 最 初 證 知 諸 法 真 理 故 名 法 智 此 後 境 智 與 前 
X53n0837_001:0117b18	相似故得類名以後隨前而證得故即前法類由緣	相 似 故 得 類 名 以 後 隨 前 而 證 得 故 即 前 法 類 由 緣 
X53n0837_001:0117b19	苦集滅道境別故名苦集滅道四智知他心故名為	苦集滅道 境 別 故 名 苦集滅道 四 智 知 他 心 故 名 為 
X53n0837_001:0117b20	他心智法智類智苦集滅道如是六智若無學攝非	他 心 智 法 智 類 智 苦集滅道 如 是 六 智 若 無 學 攝 非 
X53n0837_001:0117b21	見性者名為盡智及無生智與漏盡得最初俱生故	見 性 者 名 為 盡 智 及 無 生 智 與 漏 盡 得 最 初 俱 生 故 
X53n0837_001:0117b22	名盡智不復生故名曰無生十智皆以大地法中慧	名 盡 智 不 復 生 故 名 曰 無 生 十 智 皆 以 大 地 法 中 慧 
X53n0837_001:0117b23	為體性。十力者一處非處智力十智為性如善因	為 體 性 十 力 者 一 處 非 處 智 力 十 智 為 性 如 善 因 
X53n0837_001:0117b24	感愛果等名處如善因感非愛果等名非處智能知	感 愛 果 等 名 處 如 善 因 感 非 愛 果 等 名 非 處 智 能 知 
X53n0837_001:0117c01	處非處名處非處智力二業異熟智力八智為性除	處 非 處 名 處 非 處 智 力 二 業異熟智力 八 智 為 性 除 
X53n0837_001:0117c02	滅道智知此類業感此類異熟名業異熟智力三靜	滅 道 智 知 此 類 業 感 此 類 異 熟 名 業異熟智力 三 靜 
X53n0837_001:0117c03	慮解脫等持等至智力此四靜慮八解脫三等持八	慮 解 脫 等持等至 智 力 此 四 靜 慮 八 解 脫 三 等 持 八 
X53n0837_001:0117c04	等至並是定之異名智能知彼四靜慮等名靜慮等	等 至 並 是 定 之 異 名 智 能 知 彼 四 靜 慮 等 名 靜 慮 等 
X53n0837_001:0117c05	智力四根上下智力知信根等上下差別名根上下	智 力 四 根上下智力 知 信 根 等 上 下 差 別 名 根 上 下 
X53n0837_001:0117c06	智力五種種勝解智力知有情類種種勝解意樂差	智 力 五 種種勝解智力 知 有 情 類 種種勝解 意 樂 差 
X53n0837_001:0117c07	別名種種勝解智力六種種界智力知有情類種種	別 名 種種勝解智力 六 種種界智力 知 有 情 類 種 種 
X53n0837_001:0117c08	界性名種種界智力此上四力皆九智性除滅智以	界 性 名 種種界智力 此 上 四 力 皆 九 智 性 除 滅 智 以 
X53n0837_001:0117c09	定根解界皆通苦集道三故此四力皆九智性不緣	定 根 解 界 皆 通 苦 集 道 三 故 此 四 力 皆 九 智 性 不 緣 
X53n0837_001:0117c10	無為故除滅智七遍趣行智力一切諸行皆能趣果	無 為 故 除 滅 智 七 遍趣行智力 一切諸行 皆 能 趣 果 
X53n0837_001:0117c11	名遍趣行智知遍趣行名遍趣行智力若緣能趣為	名 遍 趣 行 智 知 遍 趣 行 名 遍趣行智力 若 緣 能 趣 為 
X53n0837_001:0117c12	境九智除滅若亦緣所趣為境十智為性八宿住隨	境 九 智 除 滅 若 亦 緣 所 趣 為 境 十 智 為 性 八 宿 住 隨 
X53n0837_001:0117c13	念智力知昔過去宿曾作事為宿住隨念智力以念	念 智 力 知 昔 過 去 宿 曾 作 事 為 宿住隨念智力 以 念 
X53n0837_001:0117c14	強故此中別標隨更事念故名隨念九死生智力知	強 故 此 中 別 標 隨 更 事 念 故 名 隨 念 九 死生智力 知 
X53n0837_001:0117c15	未來世死此生彼名死生智力此上二力皆是事觀	未 來 世 死此生彼 名 死生智力 此 上 二 力 皆 是 事 觀 
X53n0837_001:0117c16	並世俗智性十漏盡智力若謂但緣漏盡為境六智	並 世 俗 智 性 十 漏盡智力 若 謂 但 緣 漏 盡 為 境 六 智 
X53n0837_001:0117c17	除道苦集他心若謂漏盡身中所得十智為性十力	除 道 苦 集 他 心 若 謂 漏 盡 身 中 所 得 十 智 為 性 十 力 
X53n0837_001:0117c18	皆以大地法中慧為體性且為初學略示方隅委細	皆 以 大 地 法 中 慧 為 體 性 且 為 初 學 略 示 方 隅 委 細 
X53n0837_001:0117c19	分別廣如別錄。	分 別 廣 如 別 錄 
X53n0837_001:0117c21	法宗源(終)	法 宗 源 終 
