T48n2003_001:0139a03	碧巖錄序	碧 巖 錄 序 
T48n2003_001:0141a07	(道什麼。向鬼窟裏作活計)清風匝地有何極(果然。大小雪竇向草裏輥)	 道 什 麼 向 鬼 窟 裏 作 活 計 清 風 匝 地 有 何 極 果 然 大 小 雪 竇 向 草 裏 輥 
T48n2003_001:0141a08	師顧視左右云。這裏還有祖師麼(爾待番欵那。猶作	師 顧 視 左 右 云 這 裏 還 有 祖 師 麼 爾 待 番 欵 那 猶 作 
T48n2003_001:0141a09	這去就)。自云有(塌薩阿勞)喚來與老僧洗脚(更與三十棒趕出。也未	這 去 就 自 云 有 塌 薩 阿 勞 喚 來 與 老 僧 洗 脚 更 與 三 十 棒 趕 出 也 未 
T48n2003_001:0141a10	為分外。作這去就。猶較些子)。	為 分 外 作 這 去 就 猶 較 些 子 
T48n2003_001:0141a11	且據雪竇頌此公案。一似善舞太阿劍相似。	且 據 雪 竇 頌 此 公 案 一 似 善 舞 太 阿 劍 相 似 
T48n2003_001:0141a12	向虛空中盤礴。自然不犯鋒鋩。若是無這般	向 虛 空 中 盤 礴 自 然 不 犯 鋒 鋩 若 是 無 這 般 
T48n2003_001:0141a13	手段。纔拈著便見傷鋒犯手。若是具眼者。看	手 段 纔 拈 著 便 見 傷 鋒 犯 手 若 是 具 眼 者 看 
T48n2003_001:0141a14	他一拈一掇。一褒一貶。只用四句。揩定一則	他 一 拈 一 掇 一 褒 一 貶 只 用 四 句 揩 定 一 則 
T48n2003_001:0141a15	公案。大凡頌古只是繞路說禪。拈古大綱據	公 案 大 凡 頌 古 只 是 繞 路 說 禪 拈 古 大 綱 據 
T48n2003_001:0141a16	欵結案而已。雪竇與他一拶。劈頭便道。聖	欵 結 案 而 已 雪 竇 與 他 一 拶 劈 頭 便 道 聖 
T48n2003_001:0141a17	諦廓然。何當辨的。雪竇於他初句下。著這一	諦 廓 然 何 當 辨 的 雪 竇 於 他 初 句 下 著 這 一 
T48n2003_001:0141a18	句。不妨奇特。且道。畢竟作麼生辨的。直饒鐵	句 不 妨 奇 特 且 道 畢 竟 作 麼 生 辨 的 直 饒 鐵 
T48n2003_001:0141a19	眼銅睛。也摸索不著。到這裏。以情識卜度得	眼 銅 睛 也 摸 索 不 著 到 這 裏 以 情 識 卜 度 得 
T48n2003_001:0141a20	麼。所以雲門道。如擊石火。似閃電光。這箇些	麼 所 以 雲 門 道 如 擊 石 火 似 閃 電 光 這 箇 些 
T48n2003_001:0141a21	子。不落心機意識情想。等爾開口。堪作什麼。	子 不 落 心 機 意 識 情 想 等 爾 開 口 堪 作 什 麼 
T48n2003_001:0141a22	計較生時。鷂子過新羅。雪竇道。爾天下衲僧。	計 較 生 時 鷂 子 過 新 羅 雪 竇 道 爾 天 下 衲 僧 
T48n2003_001:0141a23	何當辨的。對朕者誰。著箇還云不識。此是雪	何 當 辨 的 對 朕 者 誰 著 箇 還 云 不 識 此 是 雪 
T48n2003_001:0141a24	竇忒殺老婆。重重為人處。且道。廓然與不識。	竇 忒 殺 老 婆 重 重 為 人 處 且 道 廓 然 與 不 識 
T48n2003_001:0141a25	是一般兩般。若是了底人分上。不言而諭。若	是 一 般 兩 般 若 是 了 底 人 分 上 不 言 而 諭 若 
T48n2003_001:0141a26	是未了底人。決定打作兩橛。諸方尋常皆道。	是 未 了 底 人 決 定 打 作 兩 橛 諸 方 尋 常 皆 道 
T48n2003_001:0141a27	雪竇重拈一遍。殊不知。四句頌盡公案了。後	雪 竇 重 拈 一 遍 殊 不 知 四 句 頌 盡 公 案 了 後 
T48n2003_001:0141a28	為慈悲之故。頌出事跡。因茲暗渡江。豈免生	為 慈 悲 之 故 頌 出 事 跡 因 茲 暗 渡 江 豈 免 生 
T48n2003_001:0141b01	荊棘。達磨本來茲土。與人解粘去縛。抽釘拔	荊 棘 達 磨 本 來 茲 土 與 人 解 粘 去 縛 抽 釘 拔 
T48n2003_001:0141b02	楔。剗除荊棘。因何却道生荊棘。非止當時。諸	楔 剗 除 荊 棘 因 何 却 道 生 荊 棘 非 止 當 時 諸 
T48n2003_001:0141b03	人即今脚跟下。已深數丈。闔國人追不再來。	人 即 今 脚 跟 下 已 深 數 丈 闔 國 人 追 不 再 來 
T48n2003_001:0141b04	千古萬古空相憶。可殺不丈夫。且道。達磨在	千 古 萬 古 空 相 憶 可 殺 不 丈 夫 且 道 達 磨 在 
T48n2003_001:0141b05	什麼處。若見達磨。便見雪竇末後為人處。雪	什 麼 處 若 見 達 磨 便 見 雪 竇 末 後 為 人 處 雪 
T48n2003_001:0141b06	竇恐怕人逐情見。所以撥轉關捩子。出自己	竇 恐 怕 人 逐 情 見 所 以 撥 轉 關 捩 子 出 自 己 
T48n2003_001:0141b07	見解云。休相憶。清風匝地有何極。既休相憶。	見 解 云 休 相 憶 清 風 匝 地 有 何 極 既 休 相 憶 
T48n2003_001:0141b08	爾脚跟下事。又作麼生。雪竇道。即今箇裏匝	爾 脚 跟 下 事 又 作 麼 生 雪 竇 道 即 今 箇 裏 匝 
T48n2003_001:0141b09	地清風。天上天下有何所極。雪竇拈千古萬	地 清 風 天 上 天 下 有 何 所 極 雪 竇 拈 千 古 萬 
T48n2003_001:0141b10	古之事。拋向面前。非止雪竇當時有何極。爾	古 之 事 拋 向 面 前 非 止 雪 竇 當 時 有 何 極 爾 
T48n2003_001:0141b11	諸人分上亦有何極。他又怕人執在這裏。再	諸 人 分 上 亦 有 何 極 他 又 怕 人 執 在 這 裏 再 
T48n2003_001:0141b12	著方便高聲云。這裏還有祖師麼。自云有。雪	著 方 便 高 聲 云 這 裏 還 有 祖 師 麼 自 云 有 雪 
T48n2003_001:0141b13	竇到這裏。不妨為人。赤心片片。又自云。喚來	竇 到 這 裏 不 妨 為 人 赤 心 片 片 又 自 云 喚 來 
T48n2003_001:0141b14	與老僧洗脚。太殺減人威光。當時也好。與	與 老 僧 洗 脚 太 殺 減 人 威 光 當 時 也 好 與 
T48n2003_001:0141b15	本分手脚。且道。雪竇意在什麼處。到這裏。喚	本 分 手 脚 且 道 雪 竇 意 在 什 麼 處 到 這 裏 喚 
T48n2003_001:0141b16	作驢則是。喚作馬則是。喚作祖師則是。如何	作 驢 則 是 喚 作 馬 則 是 喚 作 祖 師 則 是 如 何 
T48n2003_001:0141b17	名邈。往往喚作雪竇使祖師去也。且喜沒交	名 邈 往 往 喚 作 雪 竇 使 祖 師 去 也 且 喜 沒 交 
T48n2003_001:0141b18	涉。且道。畢竟作麼生。只許老胡知。不許老胡	涉 且 道 畢 竟 作 麼 生 只 許 老 胡 知 不 許 老 胡 
T48n2003_001:0141b19	會。	會 
T48n2003_001:0141b20	垂示云。乾坤窄。日月星辰一時黑。直饒棒如	垂 示 云 乾 坤 窄 日 月 星 辰 一 時 黑 直 饒 棒 如 
T48n2003_001:0141b21	雨點。喝似雷奔。也未當得向上宗乘中事。設	雨 點 喝 似 雷 奔 也 未 當 得 向 上 宗 乘 中 事 設 
T48n2003_001:0141b22	使三世諸佛。只可自知。歷代祖師全提不起。	使 三世諸佛 只 可 自 知 歷 代 祖 師 全 提 不 起 
T48n2003_001:0141b23	一大藏教詮注不及。明眼衲僧自救不了。到	一 大 藏 教 詮 注 不 及 明 眼 衲 僧 自 救 不 了 到 
T48n2003_001:0141b24	這裏。作麼生請益。道箇佛字。拖泥帶水。道箇	這 裏 作 麼 生 請 益 道 箇 佛 字 拖 泥 帶 水 道 箇 
T48n2003_001:0141b25	禪字。滿面慚惶。久參上士不待言之。後學初	禪 字 滿 面 慚 惶 久 參 上 士 不 待 言 之 後 學 初 
T48n2003_001:0141b26	機直須究取。	機 直 須 究 取 
T48n2003_001:0141b27	【二】舉趙州示眾云(這老漢作什麼。莫打這葛藤)至道無難(非難非易)	 二 舉 趙 州 示 眾 云 這 老 漢 作 什 麼 莫 打 這 葛 藤 至 道 無 難 非 難 非 易 
T48n2003_001:0141b28	唯嫌揀擇(眼前是什麼。三祖猶在)纔有語言。是揀擇是	唯 嫌 揀 擇 眼 前 是 什 麼 三 祖 猶 在 纔 有 語 言 是 揀 擇 是 
T48n2003_001:0141b29	明白(兩頭三面。少賣弄。魚行水濁。鳥飛落毛)老僧不在明白裏(賊身	明 白 兩 頭 三 面 少 賣 弄 魚 行 水 濁 鳥 飛 落 毛 老 僧 不 在 明 白 裏 賊 身 
T48n2003_001:0141c01	已露。這老漢向什麼處去)是汝還護惜也無(敗也。也有一箇半箇)時	已 露 這 老 漢 向 什 麼 處 去 是 汝 還 護 惜 也 無 敗 也 也 有 一 箇 半 箇 時 
T48n2003_001:0141c02	有僧問。既不在明白裏。護惜箇什麼(也好與一	有 僧 問 既 不 在 明 白 裏 護 惜 箇 什 麼 也 好 與 一 
T48n2003_001:0141c03	拶。舌拄上齶)州云。我亦不知(拶殺這老漢。倒退三千)僧云。和尚	拶 舌 拄 上 齶 州 云 我 亦 不 知 拶 殺 這 老 漢 倒 退 三 千 僧 云 和 尚 
T48n2003_001:0141c04	既不知。為什麼却道不在明白裏(看走向什麼處去。逐教	既 不 知 為 什 麼 却 道 不 在 明 白 裏 看 走 向 什 麼 處 去 逐 教 
T48n2003_001:0141c05	上樹去)州云。問事即得。禮拜了退(賴有這一着。這老賊)。	上 樹 去 州 云 問 事 即 得 禮 拜 了 退 賴 有 這 一 着 這 老 賊 
T48n2003_001:0141c06	趙州和尚。尋常舉此話頭。只是唯嫌揀擇。此	趙 州 和 尚 尋 常 舉 此 話 頭 只 是 唯 嫌 揀 擇 此 
T48n2003_001:0141c07	是三祖信心銘云。至道無難。唯嫌揀擇。但莫	是 三 祖 信 心 銘 云 至 道 無 難 唯 嫌 揀 擇 但 莫 
T48n2003_001:0141c08	憎愛。洞然明白。纔有是非。是揀擇。是明白。	憎 愛 洞 然 明 白 纔 有 是 非 是 揀 擇 是 明 白 
T48n2003_001:0141c09	纔恁麼會。蹉過了也。鉸釘膠粘。堪作何用。州	纔 恁 麼 會 蹉 過 了 也 鉸 釘 膠 粘 堪 作 何 用 州 
T48n2003_001:0141c10	云。是揀擇。是明白。如今參禪問道。不在揀擇	云 是 揀 擇 是 明 白 如 今 參 禪 問 道 不 在 揀 擇 
T48n2003_001:0141c11	中。便坐在明白裏。老僧不在明白裏。汝等還	中 便 坐 在 明 白 裏 老 僧 不 在 明 白 裏 汝 等 還 
T48n2003_001:0141c12	護惜也無。汝諸人既不在明白裏。且道。趙	護 惜 也 無 汝 諸 人 既 不 在 明 白 裏 且 道 趙 
T48n2003_001:0141c13	州在什麼處。為什麼却教人護惜。五祖先師	州 在 什 麼 處 為 什 麼 却 教 人 護 惜 五 祖 先 師 
T48n2003_001:0141c14	當說道。垂手來似過爾。爾作麼生會。且道。作	當 說 道 垂 手 來 似 過 爾 爾 作 麼 生 會 且 道 作 
T48n2003_001:0141c15	麼生是垂手處。識取鉤頭意。莫認定盤星。這	麼 生 是 垂 手 處 識 取 鉤 頭 意 莫 認 定 盤 星 這 
T48n2003_001:0141c16	僧出來。也不妨奇特。捉趙州空處。便去拶他。	僧 出 來 也 不 妨 奇 特 捉 趙 州 空 處 便 去 拶 他 
T48n2003_001:0141c17	既不在明白裏。護惜箇什麼。趙州更不行棒	既 不 在 明 白 裏 護 惜 箇 什 麼 趙 州 更 不 行 棒 
T48n2003_001:0141c18	行喝。只道。我亦不知。若不是這老漢。被他拶	行 喝 只 道 我 亦 不 知 若 不 是 這 老 漢 被 他 拶 
T48n2003_001:0141c19	著。往往忘前失後。賴是這老漢。有轉身自在	著 往 往 忘 前 失 後 賴 是 這 老 漢 有 轉 身 自 在 
T48n2003_001:0141c20	處。所以如此答他。如今禪和子。問著也道。我	處 所 以 如 此 答 他 如 今 禪 和 子 問 著 也 道 我 
T48n2003_001:0141c21	亦不知不會。爭奈同途不同轍。這僧有奇特	亦 不 知 不 會 爭 奈 同 途 不 同 轍 這 僧 有 奇 特 
T48n2003_001:0141c22	處。方始會問。和尚既不知。為什麼却道不在	處 方 始 會 問 和 尚 既 不 知 為 什 麼 却 道 不 在 
T48n2003_001:0141c23	明白裏。更好一拶。若是別人。往往分疏不下。	明 白 裏 更 好 一 拶 若 是 別 人 往 往 分 疏 不 下 
T48n2003_001:0141c24	趙州是作家。只向他道。問事即得。禮拜了退。	趙 州 是 作 家 只 向 他 道 問 事 即 得 禮 拜 了 退 
T48n2003_001:0141c25	這僧依舊無奈這老漢何。只得飲氣吞聲。此	這 僧 依 舊 無 奈 這 老 漢 何 只 得 飲 氣 吞 聲 此 
T48n2003_001:0141c26	是大手宗師。不與爾論玄論妙。論機論境。一	是 大 手 宗 師 不 與 爾 論 玄 論 妙 論 機 論 境 一 
T48n2003_001:0141c27	向以本分事接人。所以道。相罵饒爾接嘴。相	向 以 本 分 事 接 人 所 以 道 相 罵 饒 爾 接 嘴 相 
T48n2003_001:0141c28	唾饒爾潑水。殊不知。這老漢。平生不以棒喝	唾 饒 爾 潑 水 殊 不 知 這 老 漢 平 生 不 以 棒 喝 
T48n2003_001:0142a01	接人。只以平常言語。只是天下人不奈何。蓋	接 人 只 以 平 常 言 語 只 是 天 下 人 不 奈 何 蓋 
T48n2003_001:0142a02	為他平生無許多計較。所以橫拈倒用。逆行	為 他 平 生 無 許 多 計 較 所 以 橫 拈 倒 用 逆 行 
T48n2003_001:0142a03	順行。得大自在。如今人不理會得。只管道。趙	順 行 得 大 自 在 如 今 人 不 理 會 得 只 管 道 趙 
T48n2003_001:0142a04	州不答話。不為人說。殊不知。當面蹉過。	州 不 答 話 不 為 人 說 殊 不 知 當 面 蹉 過 
T48n2003_001:0142a05	至道無難(三重公案。滿口含霜。道什麼)言端語端(魚行水濁。七花八裂。	至 道 無 難 三 重 公 案 滿 口 含 霜 道 什 麼 言 端 語 端 魚 行 水 濁 七 花 八 裂 
T48n2003_001:0142a06	搽胡也)一有多種(分開好。只一般。有什麼了期)二無兩般(何堪。	搽 胡 也 一 有 多 種 分 開 好 只 一 般 有 什 麼 了 期 二 無 兩 般 何 堪 
T48n2003_001:0142a07	四五六七。打葛藤作什麼)天際日上月下(覿面相呈。頭上漫漫。脚下漫漫。切	四 五 六 七 打 葛 藤 作 什 麼 天 際 日 上 月 下 覿 面 相 呈 頭 上 漫 漫 脚 下 漫 漫 切 
T48n2003_001:0142a08	忌昂頭低頭)檻前山深水寒(一死更不再活。還覺寒毛卓竪麼)髑髏識	忌 昂 頭 低 頭 檻 前 山 深 水 寒 一 死 更 不 再 活 還 覺 寒 毛 卓 竪 麼 髑 髏 識 
T48n2003_001:0142a09	盡喜何立(棺木裏瞠眼。盧行者是它同參)枯木龍吟銷未乾	盡 喜 何 立 棺 木 裏 瞠 眼 盧 行 者 是 它 同 參 枯 木 龍 吟 銷 未 乾 
T48n2003_001:0142a10	(咄。枯木再生花。達磨遊東土)難難(邪法難扶。倒一說。這裏是什麼所在。說難說易)揀	 咄 枯 木 再 生 花 達 磨 遊 東 土 難 難 邪 法 難 扶 倒 一 說 這 裏 是 什 麼 所 在 說 難 說 易 揀 
T48n2003_001:0142a11	擇明白君自看(瞎。將謂由別人。賴值自看。不干山僧事)。	擇 明 白 君 自 看 瞎 將 謂 由 別 人 賴 值 自 看 不 干 山 僧 事 
T48n2003_001:0142a12	雪竇知他落處。所以如此頌。至道無難。便隨	雪 竇 知 他 落 處 所 以 如 此 頌 至 道 無 難 便 隨 
T48n2003_001:0142a13	後道。言端語端。舉一隅不以三隅反。雪竇道。	後 道 言 端 語 端 舉 一 隅 不 以 三 隅 反 雪 竇 道 
T48n2003_001:0142a14	一有多種。二無兩般。似三隅反一。爾且道。什	一 有 多 種 二 無 兩 般 似 三 隅 反 一 爾 且 道 什 
T48n2003_001:0142a15	麼處是言端語端處。為什麼一却有多種。二	麼 處 是 言 端 語 端 處 為 什 麼 一 却 有 多 種 二 
T48n2003_001:0142a16	却無兩般。若不具眼。向什麼處摸索。若透	却 無 兩 般 若 不 具 眼 向 什 麼 處 摸 索 若 透 
T48n2003_001:0142a17	得這兩句。所以古人道。打成一片。依舊見。山	得 這 兩 句 所 以 古 人 道 打 成 一 片 依 舊 見 山 
T48n2003_001:0142a18	是山。水是水。長是長。短是短。天是天。地是	是 山 水 是 水 長 是 長 短 是 短 天 是 天 地 是 
T48n2003_001:0142a19	地。有時喚天作地。有時喚地作天。有時喚山	地 有 時 喚 天 作 地 有 時 喚 地 作 天 有 時 喚 山 
T48n2003_001:0142a20	不是山。喚水不是水。畢竟怎生得平穩去。風	不 是 山 喚 水 不 是 水 畢 竟 怎 生 得 平 穩 去 風 
T48n2003_001:0142a21	來樹動。浪起船高。春生夏長。秋收冬藏。一種	來 樹 動 浪 起 船 高 春 生 夏 長 秋 收 冬 藏 一 種 
T48n2003_001:0142a22	平懷。泯然自盡。則此四句頌頓絕了也。雪	平 懷 泯 然 自 盡 則 此 四 句 頌 頓 絕 了 也 雪 
T48n2003_001:0142a23	竇有餘才。所以分開結裹算來也。只是頭上	竇 有 餘 才 所 以 分 開 結 裹 算 來 也 只 是 頭 上 
T48n2003_001:0142a24	安頭道。至道無難。言端語端。一有多種。二無	安 頭 道 至 道 無 難 言 端 語 端 一 有 多 種 二 無 
T48n2003_001:0142a25	兩般。雖無許多事。天際日上時月便下。檻前	兩 般 雖 無 許 多 事 天 際 日 上 時 月 便 下 檻 前 
T48n2003_001:0142a26	山深時水便寒。到這裏。言也端。語也端。頭頭	山 深 時 水 便 寒 到 這 裏 言 也 端 語 也 端 頭 頭 
T48n2003_001:0142a27	是道。物物全真。豈不是心境俱忘。打成一片	是 道 物 物 全 真 豈 不 是 心 境 俱 忘 打 成 一 片 
T48n2003_001:0142a28	處。雪竇頭上太孤峻生。末後也漏逗不少。若	處 雪 竇 頭 上 太 孤 峻 生 末 後 也 漏 逗 不 少 若 
T48n2003_001:0142b01	參得透見得徹。自然如醍醐上味相似。若是	參 得 透 見 得 徹 自 然 如 醍 醐 上 味 相 似 若 是 
T48n2003_001:0142b02	情解未忘。便見七花八裂。決定不能會如此	情 解 未 忘 便 見 七 花 八 裂 決 定 不 能 會 如 此 
T48n2003_001:0142b03	說話。髑髏識盡喜何立。枯木龍吟銷未乾。只	說 話 髑 髏 識 盡 喜 何 立 枯 木 龍 吟 銷 未 乾 只 
T48n2003_001:0142b04	這便是交加處。這僧恁麼問。趙州恁麼答。州	這 便 是 交 加 處 這 僧 恁 麼 問 趙 州 恁 麼 答 州 
T48n2003_001:0142b05	云。至道無難。唯嫌揀擇。纔有語言。是揀擇是	云 至 道 無 難 唯 嫌 揀 擇 纔 有 語 言 是 揀 擇 是 
T48n2003_001:0142b06	明白。老僧不在明白裏。是汝還護惜也無。時	明 白 老 僧 不 在 明 白 裏 是 汝 還 護 惜 也 無 時 
T48n2003_001:0142b07	有僧便問。既不在明白裏。又護惜箇什麼。州	有 僧 便 問 既 不 在 明 白 裏 又 護 惜 箇 什 麼 州 
T48n2003_001:0142b08	云。我亦不知。僧云。和尚既不知。為什麼却道	云 我 亦 不 知 僧 云 和 尚 既 不 知 為 什 麼 却 道 
T48n2003_001:0142b09	不在明白裏。州云。問事即得。禮拜了退。此是	不 在 明 白 裏 州 云 問 事 即 得 禮 拜 了 退 此 是 
T48n2003_001:0142b10	古人問道底公案。雪竇拽來一串穿却。用頌	古 人 問 道 底 公 案 雪 竇 拽 來 一 串 穿 却 用 頌 
T48n2003_001:0142b11	至道無難。唯嫌揀擇。如今人不會古人意。只	至 道 無 難 唯 嫌 揀 擇 如 今 人 不 會 古 人 意 只 
T48n2003_001:0142b12	管咬言嚼句。有甚了期。若是通方作者。始能	管 咬 言 嚼 句 有 甚 了 期 若 是 通 方 作 者 始 能 
T48n2003_001:0142b13	辨得這般說話。不見僧問香嚴。如何是道。嚴	辨 得 這 般 說 話 不 見 僧 問 香 嚴 如 何 是 道 嚴 
T48n2003_001:0142b14	云。枯木裏龍吟。僧云。如何是道中人。嚴云。	云 枯 木 裏 龍 吟 僧 云 如 何 是 道 中 人 嚴 云 
