T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0635b19	佛所說今昔相違，昔說有三今不應明一，今	佛 所 說 今 昔 相 違 昔 說 有 三 今 不 應 明 一 今 
T34n1722_001:0635b20	辨有一昔不應說三。大小二人聞說此經兩	辨 有 一 昔 不 應 說 三 大 小 二 人 聞 說 此 經 兩 
T34n1722_001:0635b21	疑皆息，故〈方便品〉云「菩薩聞是法疑網皆已	疑 皆 息 故 方 便 品 云 菩 薩 聞 是 法 疑 網 皆 已 
T34n1722_001:0635b22	除，千二百羅漢悉亦當作佛」。問。聲聞新舊二	除 千 二 百 羅 漢 悉 亦 當 作 佛 問 聲 聞 新 舊 二 
T34n1722_001:0635b23	疑所有文證，菩薩新舊疑出何文耶。答。身子	疑 所 有 文 證 菩 薩 新 舊 疑 出 何 文 耶 答 身 子 
T34n1722_001:0635b24	三請中云，求佛諸菩薩大數有八萬，欲聞具	三 請 中 云 求 佛 諸 菩 薩 大 數 有 八 萬 欲 聞 具 
T34n1722_001:0635b25	足道，當知菩薩亦有疑也。問：八萬大士皆法	足 道 當 知 菩 薩 亦 有 疑 也 問 八 萬 大 士 皆 法 
T34n1722_001:0635b26	身菩薩，何容有此疑也？答：身子權行接引	身 菩 薩 何 容 有 此 疑 也 答 身 子 權 行 接 引 
T34n1722_001:0635b27	實人，法身菩薩府同新學，故無過也。問：菩	實 人 法身菩薩 府 同 新 學 故 無 過 也 問 菩 
T34n1722_001:0635b28	薩聲聞疑有何異也？答：聲聞自謂究竟，聞非	薩 聲 聞 疑 有 何 異 也 答 聲 聞 自 謂 究 竟 聞 非 
T34n1722_001:0635b29	究竟，是故生疑。菩薩無此疑也，而但有上二	究 竟 是 故 生 疑 菩 薩 無 此 疑 也 而 但 有 上 二 
T34n1722_001:0635c01	種之疑，所以為異。問：釋疑有何益耶？答：若	種 之 疑 所 以 為 異 問 釋 疑 有 何 益 耶 答 若 
T34n1722_001:0635c02	不釋疑，則聲聞無進道、菩薩有退路。今開方	不 釋 疑 則 聲 聞 無 進 道 菩 薩 有 退 路 今 開 方 
T34n1722_001:0635c03	便門示真實相，釋大小之疑，則菩薩無退路、	便 門 示 真 實 相 釋 大 小 之 疑 則 菩 薩 無 退 路 
T34n1722_001:0635c04	聲聞有進道，是故此經為益之深也。八	聲 聞 有 進 道 是 故 此 經 為 益 之 深 也 八 
T34n1722_001:0635c05	者、欲說中道法故說此經。問：何以知欲說	者 欲 說 中 道 法 故 說 此 經 問 何 以 知 欲 說 
T34n1722_001:0635c06	中道耶？答：二周說初皆放眉間白豪光明，	中 道 耶 答 二 周 說 初 皆 放 眉 間 白 豪 光 明 
T34n1722_001:0635c07	上不以頂、下不以足。放眉間光明者，表二周	上 不 以 頂 下 不 以 足 放 眉 間 光 明 者 表 二 周 
T34n1722_001:0635c08	之說皆明中道法也。初周明一道清淨，一道	之 說 皆 明 中 道 法 也 初 周 明 一 道 清 淨 一 道 
T34n1722_001:0635c09	清淨即是中道；第二周明一法身，一法身亦	清 淨 即 是 中 道 第 二 周 明 一 法 身 一 法 身 亦 
T34n1722_001:0635c10	是中道。然法身更無有二，隨義立名，故知二	是 中 道 然 法 身 更 無 有 二 隨 義 立 名 故 知 二 
T34n1722_001:0635c11	周皆明中道也。問：何故明中道耶？答：道未曾	周 皆 明 中 道 也 問 何 故 明 中 道 耶 答 道 未 曾 
T34n1722_001:0635c12	偏中，但為對昔偏病是故說中。所以然者，如	偏 中 但 為 對 昔 偏 病 是 故 說 中 所 以 然 者 如 
T34n1722_001:0635c13	來昔說五乘為顯不五，既無有五亦無不五，	來 昔 說 五 乘 為 顯 不 五 既 無 有 五 亦 無 不 五 
T34n1722_001:0635c14	本性寂然無所依倚名為中道，中道即是妙	本 性 寂 然 無 所 依 倚 名 為 中 道 中 道 即 是 妙 
T34n1722_001:0635c15	法。但稟教之徒聞昔說五乘，遂作五乘異解，	法 但 稟 教 之 徒 聞 昔 說 五 乘 遂 作 五 乘 異 解 
T34n1722_001:0635c16	故墮在諸邊。稟人天乘者墮在生死邊，求聲	故 墮 在 諸 邊 稟 人 天 乘 者 墮 在 生 死 邊 求 聲 
T34n1722_001:0635c17	聞緣覺乘者墮涅槃邊，學三藏教者墮在小	聞 緣 覺 乘 者 墮 涅 槃 邊 學 三 藏 教 者 墮 在 小 
T34n1722_001:0635c18	邊，學摩訶衍者墮在大邊；乃至昔稟五乘異	邊 學 摩 訶 衍 者 墮 在 大 邊 乃 至 昔 稟 五 乘 異 
T34n1722_001:0635c19	墮在異邊，今聞一乘作一乘解者墮在一邊。	墮 在 異 邊 今 聞 一 乘 作 一 乘 解 者 墮 在 一 邊 
T34n1722_001:0635c20	今破此諸邊令心無所著，即是《妙法蓮花經》，	今 破 此 諸 邊 令 心無所著 即 是 妙 法 蓮 花 經 
T34n1722_001:0635c21	故名中道也。九者、欲顯諸菩薩念佛三	故 名 中 道 也 九 者 欲 顯 諸 菩 薩 念 佛 三 
T34n1722_001:0635c22	昧故說是經。自昔已來未具足顯身真實	昧 故 說 是 經 自 昔 已 來 未 具 足 顯 身 真 實 
T34n1722_001:0635c23	真方便故，凡夫二乘及始行菩薩猶未識佛，	真 方 便 故 凡 夫 二 乘 及 始 行 菩 薩 猶 未 識 佛 
T34n1722_001:0635c24	故不解念佛亦不解禮佛，但以有所得心念	故 不 解 念 佛 亦 不 解 禮 佛 但 以 有所得心 念 
T34n1722_001:0635c25	佛者，便是念有所得竟不念佛，有所得心禮	佛 者 便 是 念 有 所 得 竟 不 念 佛 有所得心 禮 
T34n1722_001:0635c26	佛，乃是禮有所得亦不禮佛。不禮不念，則佛	佛 乃 是 禮 有 所 得 亦 不 禮 佛 不 禮 不 念 則 佛 
T34n1722_001:0635c27	非彼師、彼非弟子。今既開身方便身真實，	非 彼 師 彼 非 弟 子 今 既 開 身 方 便 身 真 實 
T34n1722_001:0635c28	方解禮念、始名師弟子。問：昔緣云何未識佛	方 解 禮 念 始 名 師 弟 子 問 昔 緣 云 何 未 識 佛 
T34n1722_001:0635c29	耶？答。昔執雖多不出三種：一者、不識本一迹	耶 答 昔 執 雖 多 不 出 三 種 一 者 不 識 本 一 迹 
T34n1722_001:0636a01	多，二者、不識本無生滅應用有生滅，三者、不	多 二 者 不 識 本 無 生 滅 應 用 有 生 滅 三 者 不 
T34n1722_001:0636a02	識釋迦久證法身非伽耶成佛。為對此三病，	識 釋 迦 久 證 法 身 非 伽 耶 成 佛 為 對 此 三 病 
T34n1722_001:0636a03	故示三種教門：一者、普集分身示本一迹多，	故 示 三 種 教 門 一 者 普 集 分 身 示 本 一 迹 多 
T34n1722_001:0636a04	明釋迦之與淨土之佛皆是應迹，非此淨	明 釋 迦 之 與 淨 土 之 佛 皆 是 應 迹 非 此 淨 
T34n1722_001:0636a05	穢乃為法身，故法身不二、迹身不一。又若執	穢 乃 為 法 身 故 法 身 不 二 迹 身 不 一 又 若 執 
T34n1722_001:0636a06	應身不一、法身不二者，亦未免二見、有所	應 身 不 一 法 身 不 二 者 亦 未 免 二 見 有 所 
T34n1722_001:0636a07	得心，即是不動而應十方現前，既不動而	得 心 即 是 不 動 而 應 十 方 現 前 既 不 動 而 
T34n1722_001:0636a08	應、雖應常寂，故此應身則是法身。如《涅槃》云	應 雖 應 常 寂 故 此 應 身 則 是 法 身 如 涅 槃 云 
T34n1722_001:0636a09	「吾今此身則是法身常寂而應」，不失應身故	 吾 今 此 身 則 是 法 身 常 寂 而 應 不 失 應 身 故 
T34n1722_001:0636a10	不二而二，開於本迹二而不二，未始二身。二	不 二 而 二 開 於 本 迹 二 而 不 二 未 始 二 身 二 
T34n1722_001:0636a11	者、開塔並坐生滅互顯。多寶滅既不滅，則顯	者 開 塔 並 坐 生 滅 互 顯 多 寶 滅 既 不 滅 則 顯 
T34n1722_001:0636a12	釋迦雖生不生，不生不滅名為法身，方便唱	釋 迦 雖 生 不 生 不生不滅 名 為 法 身 方 便 唱 
T34n1722_001:0636a13	滅稱為應用。若復言法身自不生不滅、應身	滅 稱 為 應 用 若 復 言 法 身 自 不生不滅 應 身 
T34n1722_001:0636a14	自生滅，還成生滅無生滅二見。今明王宮生，	自 生 滅 還 成 生 滅 無 生 滅 二 見 今 明 王 宮 生 
T34n1722_001:0636a15	生而不起；雙樹唱滅，滅而不失。故生滅宛	生 而 不 起 雙 樹 唱 滅 滅 而 不 失 故 生 滅 宛 
T34n1722_001:0636a16	然未曾起謝，生滅宛然故是應用，未曾起謝	然 未 曾 起 謝 生 滅 宛 然 故 是 應 用 未 曾 起 謝 
T34n1722_001:0636a17	稱為法身。三者、過去久成佛、未來不滅，稱	稱 為 法 身 三 者 過 去 久 成 佛 未 來 不 滅 稱 
T34n1722_001:0636a18	為法身。燃燈授記、伽耶成道，自為方便身。	為 法 身 燃 燈 授 記 伽 耶 成 道 自 為 方 便 身 
T34n1722_001:0636a19	問：釋迦久證法身，法身有久近不？答：法身無	問 釋 迦 久 證 法 身 法 身 有 久 近 不 答 法 身 無 
T34n1722_001:0636a20	久近，以法身無久近故則知悟亦無久近。所	久 近 以 法 身 無 久 近 故 則 知 悟 亦 無 久 近 所 
T34n1722_001:0636a21	以然者，悟本悟於法身，法身既無久近故，則	以 然 者 悟 本 悟 於 法 身 法 身 既 無 久 近 故 則 
T34n1722_001:0636a22	知悟亦無久近。若爾，釋迦久悟而實無久，當	知 悟 亦 無 久 近 若 爾 釋 迦 久 悟 而 實 無 久 當 
T34n1722_001:0636a23	知今近悟亦無有近，故知遠悟亦無有遠，故	知 今 近 悟 亦 無 有 近 故 知 遠 悟 亦 無 有 遠 故 
T34n1722_001:0636a24	知近遠無二，不二而二，不失古今也。問：何以	知 近 遠 無 二 不 二 而 二 不 失 古 今 也 問 何 以 
T34n1722_001:0636a25	故但明此三義耶？答：就釋迦應身，必備此三，	故 但 明 此 三 義 耶 答 就 釋 迦 應 身 必 備 此 三 
T34n1722_001:0636a26	初則法身不二、迹身不一，未知不二之身為	初 則 法 身 不 二 迹 身 不 一 未 知 不 二 之 身 為 
T34n1722_001:0636a27	有生滅為無生滅？故次明法身無生滅、應身	有 生 滅 為 無 生 滅 故 次 明 法 身 無 生 滅 應 身 
T34n1722_001:0636a28	有生滅。雖明法身無生滅、應身有生滅，未知	有 生 滅 雖 明 法 身 無 生 滅 應 身 有 生 滅 未 知 
T34n1722_001:0636a29	釋迦為始證法身、為久證法身？故第三次明	釋 迦 為 始 證 法 身 為 久 證 法 身 故 第 三 次 明 
T34n1722_001:0636b01	久近。一切諸佛多具前二義，釋迦則具足有	久 近 一切諸佛 多 具 前 二 義 釋 迦 則 具 足 有 
T34n1722_001:0636b02	三句。問：三身云何辨於權實？答：法身但實而	三 句 問 三 身 云 何 辨 於 權 實 答 法 身 但 實 而 
T34n1722_001:0636b03	非權，化身但權而非實，應身有二句：一者內	非 權 化 身 但 權 而 非 實 應 身 有 二 句 一 者 內 
T34n1722_001:0636b04	與法身相應名為應身，法身既常故應身亦	與 法 身 相 應 名 為 應 身 法 身 既 常 故 應 身 亦 
T34n1722_001:0636b05	常，此即應身是實而非權，故《涅槃經》云「諸	常 此 即 應 身 是 實 而 非 權 故 涅 槃 經 云 諸 
T34n1722_001:0636b06	佛所師所謂法也，以法常故諸佛亦常」；二者	佛 所 師 所 謂 法 也 以 法 常 故 諸 佛 亦 常 二 者 
T34n1722_001:0636b07	外與大機相應淨土成佛故名應身，此之應	外 與 大 機 相 應 淨 土 成 佛 故 名 應 身 此 之 應 
T34n1722_001:0636b08	身是權而非實，故七卷《金光明》云「應化兩	身 是 權 而 非 實 故 七 卷 金 光 明 云 應 化 兩 
T34n1722_001:0636b09	身是假名有，非是真實，念念生滅故名曰無	身 是 假 名 有 非 是 真 實 念念生滅 故 名 曰 無 
T34n1722_001:0636b10	常」，則其證也。既識三義即便識佛，故今念佛	常 則 其 證 也 既 識 三 義 即 便 識 佛 故 今 念 佛 
T34n1722_001:0636b11	三昧倍復增益。又合此三種以為二義：前之	三 昧 倍 復 增 益 又 合 此 三 種 以 為 二 義 前 之 
T34n1722_001:0636b12	二義以明身之權實，後之一義以明壽之權	二 義 以 明 身 之 權 實 後 之 一 義 以 明 壽 之 權 
T34n1722_001:0636b13	實。《涅槃經》亦明長壽與金剛身，所以但明此	實 涅 槃 經 亦 明 長 壽 與 金 剛 身 所 以 但 明 此 
T34n1722_001:0636b14	二者，眾生唯有形與壽命，隨順之亦明斯	二 者 眾 生 唯 有 形 與 壽 命 隨 順 之 亦 明 斯 
T34n1722_001:0636b15	二也。問：《大品》云「云何念佛？以無憶故」，既其	二 也 問 大 品 云 云 何 念 佛 以 無 憶 故 既 其 
T34n1722_001:0636b16	無憶，云何念也？答：了眾生與佛本來不二，	無 憶 云 何 念 也 答 了 眾 生 與 佛 本 來 不 二 
T34n1722_001:0636b17	即不見佛為所念、眾生為能念，故內外並忘	即 不 見 佛 為 所 念 眾 生 為 能 念 故 內 外 並 忘 
T34n1722_001:0636b18	緣觀俱寂，故名無憶也。問：《大品》可有斯文，	緣 觀 俱 寂 故 名 無 憶 也 問 大 品 可 有 斯 文 
T34n1722_001:0636b19	今經何處明斯念佛也？答：〈壽量品〉云「如來如	今 經 何 處 明 斯 念 佛 也 答 壽 量 品 云 如 來 如 
T34n1722_001:0636b20	實知見三界之相，無有生死若退若出，亦無	實 知 見 三 界 之 相 無 有 生 死 若 退 若 出 亦 無 
T34n1722_001:0636b21	在世及滅度者，非實非虛非如非異，不如三	在 世 及 滅 度 者 非 實 非 虛 非 如 非 異 不 如 三 
T34n1722_001:0636b22	界見於三界」。三界即是眾生，故知眾生與佛	界 見 於 三 界 三 界 即 是 眾 生 故 知 眾 生 與 佛 
T34n1722_001:0636b23	無二，寧有能念所念義耶？故《中論》云「生死、	無 二 寧 有 能 念 所 念 義 耶 故 中 論 云 生 死 
T34n1722_001:0636b24	涅槃無有二際」。眾生、法身義亦如是。斯即經	涅 槃 無 有 二 際 眾 生 法 身 義 亦 如 是 斯 即 經 
T34n1722_001:0636b25	論大宗，必須依斯禮念也。十者、欲為現	論 大 宗 必 須 依 斯 禮 念 也 十 者 欲 為 現 
T34n1722_001:0636b26	在未來十方眾生如實分別罪福果報，故說	在 未 來 十 方 眾 生 如 實 分 別 罪 福 果 報 故 說 
T34n1722_001:0636b27	是經。如一言毀法及謗持經人，則獲廣大罪	是 經 如 一 言 毀 法 及 謗 持 經 人 則 獲 廣 大 罪 
T34n1722_001:0636b28	報；一念隨喜則招無邊之福。所以然者，夫論	報 一 念 隨 喜 則 招 無 邊 之 福 所 以 然 者 夫 論 
T34n1722_001:0636b29	罪福從乖符理生，此經既說實理，故信之福	罪 福 從 乖 符 理 生 此 經 既 說 實 理 故 信 之 福 
T34n1722_001:0636c01	多、毀呰之罪重。一舊疏本明說經因緣甚	多 毀 呰 之 罪 重 一 舊 疏 本 明 說 經 因 緣 甚 
T34n1722_001:0636c02	廣，今略明十門也。	廣 今 略 明 十 門 也 
T34n1722_001:0636c03	第二、明宗旨門者，自古至今明宗旨與體，或	第 二 明 宗 旨 門 者 自 古 至 今 明 宗 旨 與 體 或 
T34n1722_001:0636c04	言是一、或言是有異。言其異者，以教為體、以	言 是 一 或 言 是 有 異 言 其 異 者 以 教 為 體 以 
T34n1722_001:0636c05	理為宗，故《涅槃》釋七善文云「知法知義」，知法	理 為 宗 故 涅 槃 釋 七 善 文 云 知 法 知 義 知 法 
T34n1722_001:0636c06	者謂十二部經，知義者謂教所表理，故以能	者 謂 十二部經 知 義 者 謂 教 所 表 理 故 以 能 
T34n1722_001:0636c07	表之教以為經體，所表之理用以為經宗。言	表 之 教 以 為 經 體 所 表 之 理 用 以 為 經 宗 言 
T34n1722_001:0636c08	宗體一者，所表之理既是理宗旨，能詮之文	宗 體 一 者 所 表 之 理 既 是 理 宗 旨 能 詮 之 文 
T34n1722_001:0636c09	還詮宗旨，故宗體不二。今明一之與異隨時	還 詮 宗 旨 故 宗 體 不 二 今 明 一 之 與 異 隨 時 
T34n1722_001:0636c10	用之，貴在得悟，義無定也。昔在會稽，撰釋法	用 之 貴 在 得 悟 義 無 定 也 昔 在 會 稽 撰 釋 法 
T34n1722_001:0636c11	華宗旨凡有十三家，今略明即世盛行，有其	華 宗 旨 凡 有 十 三 家 今 略 明 即 世 盛 行 有 其 
T34n1722_001:0636c12	三說：一云以萬善之因為此經宗。所以然者，	三 說 一 云 以 萬 善 之 因 為 此 經 宗 所 以 然 者 
T34n1722_001:0636c13	斯經文雖有七軸而宗歸一乘，是者即因	斯 經 文 雖 有 七 軸 而 宗 歸 一 乘 是 者 即 因 
T34n1722_001:0636c14	也，故乘以運出為義，運載行人從因至果，	也 故 乘 以 運 出 為 義 運 載 行 人 從 因 至 果 
T34n1722_001:0636c15	至果則更無進趣，是故非乘。如《大品》云「是	至 果 則 更 無 進 趣 是 故 非 乘 如 大 品 云 是 
T34n1722_001:0636c16	乘從三界出，到薩波若中住」，《智度論》釋此語	乘 從 三 界 出 到 薩 波 若 中 住 智 度 論 釋 此 語 
T34n1722_001:0636c17	云「乘到菩提變名種智」，故知以因為乘。《勝鬘	云 乘 到 菩 提 變 名 種 智 故 知 以 因 為 乘 勝 鬘 
T34n1722_001:0636c18	經》云「於佛果上更無說一乘法事」，故則知果	經 云 於 佛 果 上 更 無 說 一 乘 法 事 故 則 知 果 
T34n1722_001:0636c19	非乘矣。問：此經初分明因門、後分辯果門，云	非 乘 矣 問 此 經 初 分 明 因 門 後 分 辯 果 門 云 
T34n1722_001:0636c20	何偏以因乘為宗？答：後章辯果為成前因，以	何 偏 以 因 乘 為 宗 答 後 章 辯 果 為 成 前 因 以 
T34n1722_001:0636c21	行一乘之因得壽量之果，故舉果成因、以因為	行 一 乘 之 因 得 壽 量 之 果 故 舉 果 成 因 以 因 為 
T34n1722_001:0636c22	宗。二者有人言，此經以果為宗。所以然者，	宗 二 者 有 人 言 此 經 以 果 為 宗 所 以 然 者 
T34n1722_001:0636c23	夫欲識經宗宜觀經題，題云妙法者謂如來	夫 欲 識 經 宗 宜 觀 經 題 題 云 妙 法 者 謂 如 來 
T34n1722_001:0636c24	靈智為體也，陶冶塵滓眾塵斯盡故名為妙，	靈 智 為 體 也 陶 冶 塵 滓 眾 塵 斯 盡 故 名 為 妙 
T34n1722_001:0636c25	動為物作軌即所以稱法，自因位以來麁法	動 為 物 作 軌 即 所 以 稱 法 自 因 位 以 來 麁 法 
