T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_001:0539a07	　以大慈悲力，　　教化令解脫。	 以 大 慈 悲 力 教 化 令 解 脫 
T13n0402_001:0539a08	　上中下眾生，　　令世間解脫，	 上 中 下 眾 生 令 世 間 解 脫 
T13n0402_001:0539a09	　眾生解脫已，　　然後乃涅槃。	 眾 生 解 脫 已 然 後 乃 涅 槃 
T13n0402_001:0539a10	　何故以惡惠，　　詐諂請於我？」	 何 故 以 惡 惠 詐 諂 請 於 我 
T13n0402_001:0539a11	爾時，惡魔心生憂悔，於佛前沒，還自天宮，入	爾 時 惡 魔 心 生 憂 悔 於 佛 前 沒 還 自 天 宮 入 
T13n0402_001:0539a12	憂惱室默然而坐。當於爾時，一剎那頃，魔諸	憂 惱 室 默 然 而 坐 當 於 爾 時 一 剎 那 頃 魔 諸 
T13n0402_001:0539a13	眷屬互相推問：「今我大王以何因緣，入憂惱	眷 屬 互 相 推 問 今 我 大 王 以何因緣 入 憂 惱 
T13n0402_001:0539a14	室無人知者？」爾時，魔王五百妓女種種莊嚴，	室 無 人 知 者 爾 時 魔 王 五 百 妓 女 種 種 莊 嚴 
T13n0402_001:0539a15	各持華鬘末香塗香，鼓天伎樂五百音聲，第	各 持 華 鬘 末 香 塗 香 鼓 天 伎 樂 五 百 音 聲 第 
T13n0402_001:0539a16	一微妙歌舞戲樂，甚可愛樂集魔王前。	一 微 妙 歌 舞 戲 樂 甚 可 愛 樂 集 魔 王 前 
T13n0402_001:0539a17	爾時，魔王悲啼握手抑止悲聲，如是作已，暫	爾 時 魔 王 悲 啼 握 手 抑 止 悲 聲 如 是 作 已 暫 
T13n0402_001:0539a18	時默住。諸妓女等復更歌舞，作欣悅狀令魔	時 默 住 諸 妓 女 等 復 更 歌 舞 作 欣 悅 狀 令 魔 
T13n0402_001:0539a19	歡喜。爾時，魔王舉手大叫，作如是語：「莫聲！莫	歡 喜 爾 時 魔 王 舉 手 大 叫 作如是語 莫 聲 莫 
T13n0402_001:0539a20	聲！」乃至七返。諸伎女等默然而住。爾時，魔宮	聲 乃 至 七 返 諸 伎 女 等 默然而住 爾 時 魔 宮 
T13n0402_001:0539a21	有一妓女名電可意聲，至魔王所曲躬合掌，	有 一 妓 女 名 電 可 意 聲 至 魔 王 所 曲 躬 合 掌 
T13n0402_001:0539a22	說如是偈：	說 如 是 偈 
T13n0402_001:0539a23	「汝今居自在，　　如見死相憂，	 汝 今 居 自 在 如 見 死 相 憂 
T13n0402_001:0539a24	　為是擔重擔，　　今乃生怖懅。	 為 是 擔 重 擔 今 乃 生 怖 懅 
T13n0402_001:0539a25	　誰有勝力怨，　　而憂不歡悅？」	 誰 有 勝 力 怨 而 憂 不 歡 悅 
T13n0402_001:0539a26	是時，魔王說偈報曰：	是 時 魔 王 說 偈 報 曰 
T13n0402_001:0539a27	「我有大怨調伏心，　　善學幻術釋迦子，	 我 有 大 怨 調 伏 心 善 學 幻 術 釋 迦 子 
T13n0402_001:0539a28	　我無方便能壞彼，　　如是不久欲界空。」	 我 無 方 便 能 壞 彼 如 是 不 久 欲 界 空 
T13n0402_001:0539a29	時，彼妓女便說偈曰：	時 彼 妓 女 便 說 偈 曰 
T13n0402_001:0539b01	「大家方便甚無量，　　勤力壞彼必無餘；	 大 家 方 便 甚 無 量 勤 力 壞 彼 必 無 餘 
T13n0402_001:0539b02	　三有長縛誰能解，　　貪海沈沒誰能竭？」	 三 有 長 縛 誰 能 解 貪 海 沈 沒 誰 能 竭 
T13n0402_001:0539b03	是時，魔王說偈報曰：	是 時 魔 王 說 偈 報 曰 
T13n0402_001:0539b04	「檀那及苦行，　　悲願為羂索，	 檀 那 及 苦 行 悲 願 為 羂 索 
T13n0402_001:0539b05	　持空無相弓，　　器仗中第一，	 持 空 無 相 弓 器 仗 中 第 一 
T13n0402_001:0539b06	　能斷於生死，　　諸有盡無餘。	 能 斷 於 生 死 諸 有 盡 無 餘 
T13n0402_001:0539b07	　以空為城林，　　弟子居山谷，	 以 空 為 城 林 弟 子 居 山 谷 
T13n0402_001:0539b08	　精懃常修定，　　盡諸有過患，	 精 懃 常 修 定 盡 諸 有 過 患 
T13n0402_001:0539b09	　方便神通力，　　慈悲為伴助。	 方 便 神 通 力 慈 悲 為 伴 助 
T13n0402_001:0539b10	　優波俱利等，　　牟尼悉降伏，	 優 波 俱 利 等 牟 尼 悉 降 伏 
T13n0402_001:0539b11	　於彼三界中，　　方便善調攝，	 於 彼 三 界 中 方 便 善 調 攝 
T13n0402_001:0539b12	　欲空我境界，　　一切悉無餘。」	 欲 空 我 境 界 一 切 悉 無 餘 
T13n0402_001:0539b13	爾時，五百妓女於魔王邊，聞歎如來所有功	爾 時 五 百 妓 女 於 魔 王 邊 聞 歎 如 來 所 有 功 
T13n0402_001:0539b14	德，即得菩薩三昧，名離一切相電光三昧。時	德 即 得 菩 薩 三 昧 名 離一切相 電 光 三 昧 時 
T13n0402_001:0539b15	彼五百妓女，即以天上諸莊嚴具，雨天香華	彼 五 百 妓 女 即 以 天 上 諸 莊 嚴 具 雨 天 香 華 
T13n0402_001:0539b16	及天伎樂，遙向佛所，供養世尊。於竹林上猶	及 天 伎 樂 遙 向 佛 所 供 養 世 尊 於 竹 林 上 猶 
T13n0402_001:0539b17	如雨下，以得如來神力加故，令彼天女遙見	如 雨 下 以 得 如來神力 加 故 令 彼 天 女 遙 見 
T13n0402_001:0539b18	世尊及諸徒眾，見已歡喜，生清淨信第一愛	世 尊 及 諸 徒 眾 見 已 歡 喜 生 清 淨 信 第 一 愛 
T13n0402_001:0539b19	敬。	敬 
T13n0402_001:0539b20	爾時，眾中諸比丘等，見竹林間有如是相，便	爾 時 眾 中 諸 比 丘 等 見 竹 林 間 有 如 是 相 便 
T13n0402_001:0539b21	生疑怪，白佛言：「世尊！我等昔來未曾見聞	生 疑 怪 白 佛 言 世 尊 我 等 昔 來 未 曾 見 聞 
T13n0402_001:0539b22	於竹林間如此瑞應香華等雨，將非舍利弗、	於 竹 林 間 如 此 瑞 應 香 華 等 雨 將 非 舍 利 弗 
T13n0402_001:0539b23	目揵連等現此相耶！何因緣故覩斯希有？」爾	目 揵 連 等 現 此 相 耶 何 因 緣 故 覩 斯 希 有 爾 
T13n0402_001:0539b24	時，世尊告諸比丘：「非此二人現神通相，此乃	時 世 尊 告 諸 比 丘 非 此 二 人 現 神 通 相 此 乃 
T13n0402_001:0539b25	天魔五百妓女，於彼魔宮雨此香華及莊嚴	天 魔 五 百 妓 女 於 彼 魔 宮 雨 此 香 華 及 莊 嚴 
T13n0402_001:0539b26	具，持供養我。不久來此，皆於我邊得受阿	具 持 供 養 我 不 久 來 此 皆 於 我 邊 得 受 阿 
T13n0402_001:0539b27	耨多羅三藐三菩提記。」時，彼魔王五百妓女	耨 多 羅 三藐三菩提 記 時 彼 魔 王 五 百 妓 女 
T13n0402_001:0539b28	遙聞佛記，轉復歡喜生清淨信，以淨信故即	遙 聞 佛 記 轉 復 歡 喜 生 清 淨 信 以 淨 信 故 即 
T13n0402_001:0539b29	得不忘菩提心三昧。爾時，魔王五百妓女，著	得 不 忘 菩 提 心 三 昧 爾 時 魔 王 五 百 妓 女 著 
T13n0402_001:0539c01	一肩衣，右膝著地，於魔宮中向佛方面，合掌	一 肩 衣 右膝著地 於 魔 宮 中 向 佛 方 面 合 掌 
T13n0402_001:0539c02	恭敬，說如是偈：	恭 敬 說 如 是 偈 
T13n0402_001:0539c03	「一切世間盲無眼，　　唯佛一人名見者，	 一切世間 盲 無 眼 唯 佛 一 人 名 見 者 
T13n0402_001:0539c04	　能竭人天渴愛河，　　如來自度及一切。	 能 竭 人 天 渴 愛 河 如 來 自 度 及 一 切 
T13n0402_001:0539c05	　我等云何速成佛，　　人天恭敬能說者，	 我 等 云 何 速 成 佛 人 天 恭 敬 能 說 者 
T13n0402_001:0539c06	　女身可厭宜應捨，　　速近牟尼聞正法，	 女 身 可 厭 宜 應 捨 速 近 牟 尼 聞 正 法 
T13n0402_001:0539c07	　如來最上神通智，　　開示我等為勝導。	 如 來 最 上 神 通 智 開 示 我 等 為 勝 導 
T13n0402_001:0539c08	　持彼無上覺支寶，　　無垢妙說如淨燈，	 持 彼 無 上 覺 支 寶 無 垢 妙 說 如 淨 燈 
T13n0402_001:0539c09	　勝力降魔無等倫，　　覺悟我等當受記。」	 勝 力 降 魔 無 等 倫 覺 悟 我 等 當 受 記 
T13n0402_001:0539c10	爾時，魔宮五百妓女，從坐而起至魔王所，異	爾 時 魔 宮 五 百 妓 女 從 坐 而 起 至 魔 王 所 異 
T13n0402_001:0539c11	口同音，而說是偈：	口 同 音 而 說 是 偈 
T13n0402_001:0539c12	「如來勝德終不動，　　云何於佛而生瞋？	 如 來 勝 德 終 不 動 云 何 於 佛 而 生 瞋 
T13n0402_001:0539c13	　此身眾苦之所逼，　　更起醉慢而自塗，	 此 身 眾 苦 之 所 逼 更 起 醉 慢 而 自 塗 
T13n0402_001:0539c14	　應捨此瞋決定信，　　拔彼生死憍慢泥，	 應 捨 此 瞋 決 定 信 拔 彼 生 死 憍 慢 泥 
T13n0402_001:0539c15	　眾生體性佛所知，　　我等應往慈悲所。」	 眾 生 體 性 佛 所 知 我 等 應 往 慈 悲 所 
T13n0402_001:0539c16	爾時，魔王念彼諸女，生於如是增上惡意：「我	爾 時 魔 王 念 彼 諸 女 生 於 如 是 增 上 惡 意 我 
T13n0402_001:0539c17	今應以五種之縛，縛此五百諸妓女等，令住	今 應 以 五 種 之 縛 縛 此 五 百 諸 妓 女 等 令 住 
T13n0402_001:0539c18	於此，不往佛邊。」此五百女以得如來念力加	於 此 不 往 佛 邊 此 五 百 女 以 得 如 來 念 力 加 
T13n0402_001:0539c19	故，而彼魔王所不能制。	故 而 彼 魔 王 所 不 能 制 
T13n0402_001:0539c20	爾時，五百諸妓女等，於彼魔宮欲往佛所。當	爾 時 五 百 諸 妓 女 等 於 彼 魔 宮 欲 往 佛 所 當 
T13n0402_001:0539c21	發足時，魔甚瞋恨，便作是念：「我今自以境界	發 足 時 魔 甚 瞋 恨 便 作 是 念 我 今 自 以 境 界 
T13n0402_001:0539c22	之力制此諸女。」即起非時毘嵐大風遍滿虛	之 力 制 此 諸 女 即 起 非 時 毘 嵐 大 風 遍 滿 虛 
T13n0402_001:0539c23	空，欲令諸女迷失諸方，還住我宮不見瞿曇。	空 欲 令 諸 女 迷 失 諸 方 還 住 我 宮 不 見 瞿 曇 
T13n0402_001:0539c24	以佛力故，尚不能起微細之風，乃至不能動	以 佛 力 故 尚 不 能 起 微 細 之 風 乃 至 不 能 動 
T13n0402_001:0539c25	一毛端，何況無量？	一 毛 端 何 況 無 量 
T13n0402_001:0539c26	爾時，魔王轉增憂苦，心生悔惱悲泣高聲，喚	爾 時 魔 王 轉 增 憂 苦 心 生 悔 惱 悲 泣 高 聲 喚 
T13n0402_001:0539c27	其諸子及其眷屬。一切魔宮大聲遍滿，而說	其 諸 子 及 其 眷 屬 一 切 魔 宮 大 聲 遍 滿 而 說 
T13n0402_001:0539c28	偈言：	偈 言 
T13n0402_001:0539c29	「愛子眷屬悉皆集，　　我心熱惱如毒樹，	 愛 子 眷 屬 悉 皆 集 我 心 熱 惱 如 毒 樹 
T13n0402_001:0540a01	　壞我神通境界力，　　美言諂幻釋師子。」	 壞 我 神 通 境 界 力 美 言 諂 幻 釋 師 子 
T13n0402_001:0540a02	爾時，魔王所有男女并諸眷屬，聞此音聲悉	爾 時 魔 王 所 有 男 女 并 諸 眷 屬 聞 此 音 聲 悉 
T13n0402_001:0540a03	皆馳赴住魔王前。彼眷屬中有一魔子，名曰	皆 馳 赴 住 魔 王 前 彼 眷 屬 中 有 一 魔 子 名 曰 
T13n0402_001:0540a04	勝智，合掌住立說如是偈：	勝 智 合 掌 住 立 說 如 是 偈 
T13n0402_001:0540a05	「此非劫燒非死相，　　何故種種憂惱生？	 此 非 劫 燒 非 死 相 何 故 種 種 憂 惱 生 
T13n0402_001:0540a06	　此無大力能勝怨，　　何故異智似愚癡？」	 此 無 大 力 能 勝 怨 何 故 異 智 似 愚 癡 
T13n0402_001:0540a07	爾時，魔王說偈報曰：	爾 時 魔 王 說 偈 報 曰 
T13n0402_001:0540a08	「今此釋迦子，　　坐彼林樹下，	 今 此 釋 迦 子 坐 彼 林 樹 下 
T13n0402_001:0540a09	　現前有大怨，　　云何汝說無？	 現 前 有 大 怨 云 何 汝 說 無 
T13n0402_001:0540a10	　彼諂有勝力，　　令我心荒怖，	 彼 諂 有 勝 力 令 我 心 荒 怖 
T13n0402_001:0540a11	　我軍並我子，　　如炭入熾火。	 我 軍 並 我 子 如 炭 入 熾 火 
T13n0402_001:0540a12	　名稱勝丈夫，　　聰叡多才藝，	 名 稱 勝 丈 夫 聰 叡 多 才 藝 
T13n0402_001:0540a13	　現集及未集，　　今悉歸依彼。	 現 集 及 未 集 今 悉 歸 依 彼 
T13n0402_001:0540a14	　我怨以詐親，　　諂智力甚諍，	 我 怨 以 詐 親 諂 智 力 甚 諍 
T13n0402_001:0540a15	　高名勝智人，　　悉為法鉤牽。	 高 名 勝 智 人 悉 為 法 鉤 牽 
T13n0402_001:0540a16	　今此諸侍女，　　於我無悲心，	 今 此 諸 侍 女 於 我 無 悲 心 
T13n0402_001:0540a17	　見捨昔所愛，　　盡往沙門所。	 見 捨 昔 所 愛 盡 往 沙 門 所 
T13n0402_001:0540a18	　指我以為證，　　今日歸依彼，	 指 我 以 為 證 今 日 歸 依 彼 
T13n0402_001:0540a19	　一切三有地，　　諂幻悉令空。	 一 切 三 有 地 諂 幻 悉 令 空 
T13n0402_001:0540a20	　彼雖有大力，　　我破令作灰，	 彼 雖 有 大 力 我 破 令 作 灰 
T13n0402_001:0540a21	　我輩一切眾，　　應當勤所作。」	 我 輩 一 切 眾 應 當 勤 所 作 
T13n0402_001:0540a22	爾時，魔王一切諸子，並其內外所有眷屬，悉	爾 時 魔 王 一 切 諸 子 並 其 內 外 所 有 眷 屬 悉 
T13n0402_001:0540a23	皆合掌，咸作是言：「我等一切悉皆嚴駕，以神	皆 合 掌 咸 作 是 言 我 等 一 切 悉 皆 嚴 駕 以 神 
T13n0402_001:0540a24	通力而自加被，以此境界示彼令知，退彼釋	通 力 而 自 加 被 以 此 境 界 示 彼 令 知 退 彼 釋 
T13n0402_001:0540a25	子令碎如灰。若當勝者我等善好，若不勝者	子 令 碎 如 灰 若 當 勝 者 我 等 善 好 若 不 勝 者 
T13n0402_001:0540a26	當歸依彼。我等往昔大軍圍遶詣菩提樹，面	當 歸 依 彼 我 等 往 昔 大 軍 圍 遶 詣 菩 提 樹 面 
T13n0402_001:0540a27	覩釋子獨一無侶，以神通力，我等軍眾盡皆	覩 釋 子 獨 一 無 侶 以 神 通 力 我 等 軍 眾 盡 皆 
T13n0402_001:0540a28	退壞，況復今時無量徒眾悉皆成就？」時，魔報	退 壞 況 復 今 時 無 量 徒 眾 悉 皆 成 就 時 魔 報 
T13n0402_001:0540a29	言：「且去子輩！若能殺彼沙門瞿曇，當須迴	言 且 去 子 輩 若 能 殺 彼 沙 門 瞿 曇 當 須 迴 
T13n0402_001:0540b01	還。若不能者，亦須還宮而自守護。」是時，魔王	還 若 不 能 者 亦 須 還 宮 而 自 守 護 是 時 魔 王 
T13n0402_001:0540b02	即以左右十二萬眾，復過此數乃至八萬四	即 以 左 右 十 二 萬 眾 復 過 此 數 乃 至 八 萬 四 
T13n0402_001:0540b03	千由旬，所有兵眾悉皆遍滿，復以迅疾神通	千 由 旬 所 有 兵 眾 悉 皆 遍 滿 復 以 迅 疾 神 通 
T13n0402_001:0540b04	之力，現大黑風，吹大黑雲，雨大炬火，悉皆	之 力 現 大 黑 風 吹 大 黑 雲 雨 大 炬 火 悉 皆 
T13n0402_001:0540b05	遍滿一切四洲。復以手擊須彌山王，一切四	遍 滿 一 切 四 洲 復 以 手 擊 須 彌 山 王 一 切 四 
T13n0402_001:0540b06	洲悉皆震動。復出最惡可畏之聲，須彌山	洲 悉 皆 震 動 復 出 最 惡 可 畏 之 聲 須 彌 山 
T13n0402_001:0540b07	王及諸山王，大地峯石一切驚動。由此震擊	王 及 諸 山 王 大 地 峯 石 一 切 驚 動 由 此 震 擊 
T13n0402_001:0540b08	小大池河，及大海水悉皆波浪，一切諸龍、大	小 大 池 河 及 大 海 水 悉 皆 波 浪 一 切 諸 龍 大 
T13n0402_001:0540b09	龍、夜叉、大夜叉，見是事已，踊上虛空。此諸魔	龍 夜 叉 大 夜 叉 見 是 事 已 踊 上 虛 空 此 諸 魔 
T13n0402_001:0540b10	眾住須彌頂，復擲大石等由旬量，於中摩伽	眾 住 須 彌 頂 復 擲 大 石 等 由 旬 量 於 中 摩 伽 
T13n0402_001:0540b11	陀國如大暴雨振擊驚動。復雨刀杵撾鑱大	陀 國 如 大 暴 雨 振 擊 驚 動 復 雨 刀 杵 撾 鑱 大 
T13n0402_001:0540b12	石、月釤曲撩短槊鐵把虎牙大棒及大月箭，猶	石 月 釤 曲 撩 短 槊 鐵 把 虎 牙 大 棒 及 大 月 箭 猶 
T13n0402_001:0540b13	如雨下。	如 雨 下 
T13n0402_001:0540b14	爾時，世尊即入碎魔軍場三昧，於虛空中所	爾 時 世 尊 即 入 碎 魔 軍 場 三 昧 於 虛 空 中 所 
T13n0402_001:0540b15	有兵仗及大炬火變成華雨，所謂優鉢羅華	有 兵 仗 及 大 炬 火 變 成 華 雨 所 謂 優 鉢 羅 華 
T13n0402_001:0540b16	雨、波頭摩華雨、俱物頭華雨、分陀利華雨、	雨 波 頭 摩 華 雨 俱 物 頭 華 雨 分 陀 利 華 雨 
T13n0402_001:0540b17	曼陀羅華雨、摩訶曼陀羅華雨。雨中摩伽陀	曼陀羅華 雨 摩訶曼陀羅 華 雨 雨 中 摩 伽 陀 
T13n0402_001:0540b18	國，復變可畏驚動之聲，為彼種種微妙音聲，	國 復 變 可 畏 驚 動 之 聲 為 彼 種 種 微 妙 音 聲 
T13n0402_001:0540b19	所謂佛聲、法聲、僧聲、波羅蜜聲、神通聲、阿毘	所 謂 佛 聲 法 聲 僧 聲 波 羅 蜜 聲 神 通 聲 阿 毘 
T13n0402_001:0540b20	跋致聲、受職聲、四魔退聲、往菩提道場聲，	跋 致 聲 受 職 聲 四 魔 退 聲 往 菩提道場 聲 
T13n0402_001:0540b21	乃至取俱聲、不取俱聲。復變此四洲一切大	乃 至 取 俱 聲 不 取 俱 聲 復 變 此 四 洲 一 切 大 
T13n0402_001:0540b22	地，所有藥草、叢林、山石、土地皆成七寶。是時，	地 所 有 藥 草 叢 林 山 石 土 地 皆 成 七 寶 是 時 
T13n0402_001:0540b23	世界無有風塵一切恬靜。	世 界 無 有 風 塵 一 切 恬 靜 
T13n0402_001:0540b24	爾時，世尊現其身相，過於梵世自在而轉，從	爾 時 世 尊 現 其 身 相 過 於 梵 世 自在而轉 從 
T13n0402_001:0540b25	其身分一一諸相，乃至無見頂相，出大光明，	其 身 分 一 一 諸 相 乃 至 無見頂相 出 大 光 明 
T13n0402_001:0540b26	遍照三千大千世界，普皆大明。是時，三千大	遍 照 三千大千世界 普 皆 大 明 是 時 三 千 大 
T13n0402_001:0540b27	千世界，所有天、龍、夜叉、乾闥婆、阿修羅、伽	千 世 界 所 有 天 龍 夜 叉 乾 闥 婆 阿 修 羅 伽 
T13n0402_001:0540b28	樓羅、緊那羅、摩睺羅伽、薜荔多、毘舍闍、鳩	樓 羅 緊 那 羅 摩睺羅伽 薜 荔 多 毘 舍 闍 鳩 
T13n0402_001:0540b29	槃茶、人、非人等，地獄、畜生、閻羅世界，如是	槃 茶 人 非 人 等 地 獄 畜 生 閻 羅 世 界 如 是 
T13n0402_001:0540c01	一切，悉見世尊及大光明。是時，天、龍、夜叉、人	一 切 悉 見 世 尊 及 大 光 明 是 時 天 龍 夜 叉 人 
T13n0402_001:0540c02	非人等，各與若干百千眷屬，地及虛空來詣	非 人 等 各 與 若 干 百 千 眷 屬 地 及 虛 空 來 詣 
T13n0402_001:0540c03	佛所散華供養，到已，右繞讚嘆禮拜。是時，地	佛 所 散 華 供 養 到 已 右 繞 讚 嘆 禮 拜 是 時 地 
