X88n1645_001:0107a03	 六道集敘	 六 道 集 敘 
X88n1645_001:0110a09	開為夜。青蓮華合。紅蓮華開為晝)從此忉利天上升十六萬由旬。有	開 為 夜 青 蓮 華 合 紅 蓮 華 開 為 晝 從 此 忉 利 天 上 升 十 六 萬 由 旬 有 
X88n1645_001:0110a10	處如雲。七寶所成。猶如大地。縱廣八萬由旬。是第三	處 如 雲 七 寶 所 成 猶 如 大 地 縱 廣 八 萬 由 旬 是 第 三 
X88n1645_001:0110a11	夜摩天住處。(夜摩。此云時分)人間二百歲。此天為一晝夜。壽	夜 摩 天 住 處 夜 摩 此 云 時 分 人 間 二 百 歲 此 天 為 一 晝 夜 壽 
X88n1645_001:0110a12	二千歲。(計人間歲。一萬四千四百萬年)從此夜摩天上升三十二萬	二 千 歲 計 人 間 歲 一 萬 四 千 四 百 萬 年 從 此 夜 摩 天 上 升 三 十 二 萬 
X88n1645_001:0110a13	由旬。有地如雲。縱廣十六萬由旬。是第四兜率天住	由 旬 有 地 如 雲 縱 廣 十 六 萬 由 旬 是 第 四 兜 率 天 住 
X88n1645_001:0110a14	處。(兜率此云喜足)人間四百歲。此天為一晝夜。壽四千歲。(計人	處 兜 率 此 云 喜 足 人 間 四 百 歲 此 天 為 一 晝 夜 壽 四 千 歲 計 人 
X88n1645_001:0110a15	間歲。五萬七千六百萬年)從此兜率天上升六十四萬由旬。有地	間 歲 五 萬 七 千 六 百 萬 年 從 此 兜 率 天 上 升 六 十 四 萬 由 旬 有 地 
X88n1645_001:0110a16	如雲。縱廣三十二萬由旬。是第五化樂天住處。(化作五塵	如 雲 縱 廣 三 十 二 萬 由 旬 是 第 五 化 樂 天 住 處 化 作 五 塵 
X88n1645_001:0110a17	而自娛樂)人間八百歲。此天為一晝夜。壽八千歲。(計人間歲。二億	而 自 娛 樂 人 間 八 百 歲 此 天 為 一 晝 夜 壽 八 千 歲 計 人 間 歲 二 億 
X88n1645_001:0110a18	三萬零四百萬年)從此化樂天上升十二億八萬由旬。有地	三 萬 零 四 百 萬 年 從 此 化 樂 天 上 升 十 二 億 八 萬 由 旬 有 地 
X88n1645_001:0110a19	如雲。縱廣六十四萬由旬。是第六他化自在天住處。	如 雲 縱 廣 六 十 四 萬 由 旬 是 第 六 他化自在天 住 處 
X88n1645_001:0110a20	(他化作宮殿園林。一切樂具。於中自在受用)此是欲界頂天。人間一千六	 他 化 作 宮殿園林 一 切 樂 具 於 中 自 在 受 用 此 是 欲 界 頂 天 人 間 一 千 六 
X88n1645_001:0110a21	百歲。此天為一晝夜。壽一萬六千歲。(計人間歲。九億二萬一千六百	百 歲 此 天 為 一 晝 夜 壽 一 萬 六 千 歲 計 人 間 歲 九 億 二 萬 一 千 六 百 
X88n1645_001:0110a22	萬年)從此上升一倍。二十五億六萬由旬。有地如雲。縱	萬 年 從 此 上 升 一 倍 二 十 五 億 六 萬 由 旬 有 地 如 雲 縱 
X88n1645_001:0110a23	廣十二億八萬由旬。是色界諸天住處。共有一十八	廣 十 二 億 八 萬 由 旬 是 色界諸天 住 處 共 有 一 十 八 
X88n1645_001:0110a24	天。通號四禪。以其離散動故。亦名梵世。謂其離欲染	天 通 號 四 禪 以 其 離 散 動 故 亦 名 梵 世 謂 其 離 欲 染 
X88n1645_001:0110b01	也。皆以劫數為壽。身白銀色。無男女相。形惟一種。初	也 皆 以 劫 數 為 壽 身 白 銀 色 無 男 女 相 形 惟 一 種 初 
X88n1645_001:0110b02	禪三天。(一梵眾天。壽半劫。是民。二梵輔天。壽一劫。是臣。三大梵王天。壽一劫半。是君。從此倍倍上	禪 三 天 一 梵 眾 天 壽 半 劫 是 民 二 梵 輔 天 壽 一 劫 是 臣 三 大 梵 王 天 壽 一 劫 半 是 君 從 此 倍 倍 上 
X88n1645_001:0110b03	升。例此可知)二禪三天。(一少光天。壽二劫。二無量光天。壽四劫。三光音天。壽八劫)三禪	升 例 此 可 知 二禪三天 一 少 光 天 壽 二 劫 二 無量光天 壽 四 劫 三 光 音 天 壽 八 劫 三 禪 
X88n1645_001:0110b04	三天。(一少淨天。壽十六劫。二無量淨天。壽三十二劫。三徧淨天。壽六十四劫)四禪九天。	三 天 一 少 淨 天 壽 十 六 劫 二 無量淨天 壽 三 十 二 劫 三 徧 淨 天 壽 六 十 四 劫 四 禪 九 天 
X88n1645_001:0110b05	(一無雲天。壽一百二十五劫。二福生天。壽二百五十劫。三廣果天。壽五百劫。四無想天。壽同上。五無煩天。壽千	 一 無 雲 天 壽 一 百 二 十 五 劫 二 福 生 天 壽 二百五十 劫 三 廣 果 天 壽 五 百 劫 四 無 想 天 壽 同 上 五 無 煩 天 壽 千 
X88n1645_001:0110b06	劫。七善見天。壽四千劫。八善現天。壽八十劫。九色究竟天。壽一萬六千劫。此是色界頂天。後之五天。名淨居天。	劫 七 善 見 天 壽 四 千 劫 八 善 現 天 壽 八 十 劫 九 色 究 竟 天 壽 一 萬 六 千 劫 此 是 色 界 頂 天 後 之 五 天 名 淨 居 天 
X88n1645_001:0110b07	是三果聖人居處)從此上升一倍。是無色界。共有四天。亦名	是 三 果 聖 人 居 處 從 此 上 升 一 倍 是 無 色 界 共 有 四 天 亦 名 
X88n1645_001:0110b08	四空天。人同碧落。界若虗空。惟有受。想。行。識。四陰。無	四 空 天 人 同 碧 落 界 若 虗 空 惟 有 受 想 行 識 四 陰 無 
X88n1645_001:0110b09	色陰故。故名無色界。一空處天(壽二萬大劫)。二識處天(壽四	色 陰 故 故 名 無 色 界 一 空 處 天 壽 二 萬 大 劫 二 識 處 天 壽 四 
X88n1645_001:0110b10	萬大劫)。三無所有處天(壽六萬大劫)。四非非想處天(壽八萬大劫)。	萬 大 劫 三 無所有處 天 壽 六 萬 大 劫 四 非非想處 天 壽 八 萬 大 劫 
X88n1645_001:0110b11	然此三界諸天壽數雖定。而亦有中夭者。惟兜率天。	然 此 三 界 諸 天 壽 數 雖 定 而 亦 有 中 夭 者 惟 兜 率 天 
X88n1645_001:0110b12	及無想天。壽命皆定。不說中夭也。正法念處經云。若	及 無 想 天 壽 命 皆 定 不 說 中 夭 也 正 法 念 處 經 云 若 
X88n1645_001:0110b13	持不殺戒。得生四天王處。若持不殺不盜。得生三十	持 不 殺 戒 得 生 四 天 王 處 若 持 不 殺 不 盜 得 生 三 十 
X88n1645_001:0110b14	三天。若持不殺盜邪婬。得生夜摩天。若持不殺盜邪	三 天 若 持 不 殺 盜 邪 婬 得 生 夜 摩 天 若 持 不 殺 盜 邪 
X88n1645_001:0110b15	婬。妄語。兩舌。惡口。綺語。得生兜率天。奉行佛戒。兼身	婬 妄 語 兩 舌 惡 口 綺 語 得 生 兜 率 天 奉 行 佛 戒 兼 身 
X88n1645_001:0110b16	口七善業。得生化樂。他化自在天。業報差別經云。若	口 七 善 業 得 生 化 樂 他化自在天 業 報 差 別 經 云 若 
X88n1645_001:0110b17	眾生具修增上十善。得欲界天報。修有漏十善。與定	眾 生 具 修 增 上 十 善 得 欲 界 天 報 修 有 漏 十 善 與 定 
X88n1645_001:0110b18	相應。得色界天報。修四空定。得無色界天報。順正理	相 應 得 色 界 天 報 修 四 空 定 得 無 色 界 天 報 順 正 理 
X88n1645_001:0110b19	論云。六欲諸天初生。如次。如五六七八九十歲人。生	論 云 六 欲 諸 天 初 生 如 次 如 五 六 七 八 九 十 歲 人 生 
X88n1645_001:0110b20	已。身形速得圓滿。男生在天父右膝。女生在天母左	已 身 形 速 得 圓 滿 男 生 在 天 父 右 膝 女 生 在 天 母 左 
X88n1645_001:0110b21	膝。皆悉化生。或有於天母手華。忽然化生。阿含經云。	膝 皆 悉 化 生 或 有 於 天 母 手 華 忽 然 化 生 阿 含 經 云 
X88n1645_001:0110b22	兒來未久。便知饑渴。自然寶器。盛百味飲食。若福多	兒 來 未 久 便 知 饑 渴 自 然 寶 器 盛 百 味 飲 食 若 福 多 
X88n1645_001:0110b23	者。飯色自白。中者黃色。下者赤色。若渴則飲。寶器中	者 飯 色 自 白 中 者 黃 色 下 者 赤 色 若 渴 則 飲 寶 器 中 
X88n1645_001:0110b24	甘露漿。入腹漸消。如酥投火。無復形影。亦無大小便	甘 露 漿 入 腹 漸 消 如 酥 投 火 無 復 形 影 亦 無 大 小 便 
X88n1645_001:0110c01	利。死如燈燄滅。無有屍骸。以化生故也。色界天眾。於	利 死 如 燈 燄 滅 無 有 屍 骸 以 化 生 故 也 色 界 天 眾 於 
X88n1645_001:0110c02	初生時。身量周圓。具妙衣服。一切天眾。皆作聖言。不	初 生 時 身 量 周 圓 具 妙 衣 服 一 切 天 眾 皆 作 聖 言 不 
X88n1645_001:0110c03	由學習。自解典語。起世經云。欲界諸天。皆食段食。色	由 學 習 自 解 典 語 起 世 經 云 欲 界 諸 天 皆 食 段 食 色 
X88n1645_001:0110c04	界諸天。從初禪乃至遍淨天。以喜為食。無色界諸天。	界 諸 天 從 初 禪 乃 至 遍 淨 天 以 喜 為 食 無 色界諸天 
X88n1645_001:0110c05	以意業為食。有云。色界無色天。並以禪悅法喜為食。	以 意 業 為 食 有 云 色 界 無 色 天 並 以 禪 悅 法 喜 為 食 
X88n1645_001:0110c06	涅槃經云。雖得四天王。他化自在天身。乃至梵天。非	涅 槃 經 云 雖 得 四 天 王 他化自在天 身 乃 至 梵 天 非 
X88n1645_001:0110c07	非想處天身。命終還墮三惡道中。天報盡時。五衰相	非 想 處 天 身 命 終 還 墮三惡道中 天 報 盡 時 五 衰 相 
X88n1645_001:0110c08	現。身受大苦。如地獄苦。等無差別。成實論問曰。生天	現 身 受 大 苦 如 地 獄 苦 等 無 差 別 成 實 論 問 曰 生 天 
X88n1645_001:0110c09	離惡積善。何故報盡。即入三途。答曰。凡夫無始已來。	離 惡 積 善 何 故 報 盡 即 入 三 途 答 曰 凡 夫 無始已來 
X88n1645_001:0110c10	惡業無窮。一日貪瞋。尚受千形。況惡既多。暫伏結生。	惡 業 無 窮 一 日 貪 瞋 尚 受 千 形 況 惡 既 多 暫 伏 結 生 
X88n1645_001:0110c11	報福既盡。昔業時熟。還墮三途。何所致惑。為有識心	報 福 既 盡 昔 業 時 熟 還 墮 三 途 何 所 致 惑 為 有 識 心 
X88n1645_001:0110c12	達本者。能破三界二十五有。故云。若人識得心。大地	達 本 者 能 破 三 界 二十五有 故 云 若 人 識 得 心 大 地 
X88n1645_001:0110c13	無寸土。經云。一人發真歸源。十方世界。盡成消殞。如	無 寸 土 經 云 一 人 發 真 歸 源 十方世界 盡 成 消 殞 如 
X88n1645_001:0110c14	未能達本歸源。則一心念佛。發願往生淨土。聞佛說	未 能 達 本 歸 源 則 一 心 念 佛 發 願 往 生 淨 土 聞 佛 說 
X88n1645_001:0110c15	法。悟無生忍。則頓超三界。迴絕輪迴矣(梵世。梵者淨也)。	法 悟 無 生 忍 則 頓 超 三 界 迴 絕 輪 迴 矣 梵 世 梵 者 淨 也 
X88n1645_001:0112a01	法句喻經云。昔者天帝釋。五德離身。自知命盡。當下	法 句 喻 經 云 昔 者 天 帝 釋 五 德 離 身 自 知 命 盡 當 下 
X88n1645_001:0112a02	生世間。在陶作家。受驢胎身。既知福盡。甚大愁憂。自	生 世 間 在 陶 作 家 受 驢 胎 身 既 知 福 盡 甚 大 愁 憂 自 
X88n1645_001:0112a03	念三界之中。濟人苦厄。惟有佛耳。於是馳往佛所。稽	念 三 界 之 中 濟 人 苦 厄 惟 有 佛 耳 於 是 馳 往 佛 所 稽 
X88n1645_001:0112a04	首作禮。伏地至心。三自歸命佛。法。聖眾。未起之間。其	首 作 禮 伏 地 至 心 三 自 歸 命 佛 法 聖 眾 未 起 之 間 其 
X88n1645_001:0112a05	命忽出。便至陶家驢母腹中作子。時驢自解走瓦坏	命 忽 出 便 至 陶 家 驢 母 腹 中 作 子 時 驢 自 解 走 瓦 坏 
X88n1645_001:0112a06	間。破壞坏器。其主打之。尋時傷胎。其神即還入故身	間 破 壞 坏 器 其 主 打 之 尋 時 傷 胎 其 神 即 還 入 故 身 
X88n1645_001:0112a07	中。五德還福。復為天帝。佛從定起。讚言。善哉天帝。能	中 五 德 還 福 復 為 天 帝 佛 從 定 起 讚 言 善 哉 天 帝 能 
X88n1645_001:0112a08	於殞命之際。歸命三尊。罪對已畢。不更勤苦。爾時世	於 殞 命 之 際 歸 命 三 尊 罪 對 已 畢 不 更 勤 苦 爾 時 世 
X88n1645_001:0112a09	尊。以偈頌曰。所行非常。謂興衰法。夫生輒死。寂滅為	尊 以 偈 頌 曰 所 行 非 常 謂 興 衰 法 夫 生 輒 死 寂 滅 為 
X88n1645_001:0112a10	樂。譬如陶家。埏埴作器。一切要壞。人命亦然。帝釋聞	樂 譬 如 陶 家 埏 埴 作 器 一 切 要 壞 人 命 亦 然 帝 釋 聞 
X88n1645_001:0112a11	偈。知無常之要。達罪福之變。解興衰之本。尊寂滅之	偈 知 無 常 之 要 達 罪 福 之 變 解 興 衰 之 本 尊 寂 滅 之 
X88n1645_001:0112a12	行歡喜奉受。得須陀洹道(五德離身。即五衰相現。一衣服垢穢。二頭上華萎。三	行 歡 喜 奉 受 得 須陀洹道 五 德 離 身 即 五 衰 相 現 一 衣 服 垢 穢 二 頭 上 華 萎 三 
X88n1645_001:0112a13	腋下汗流。四身體臭穢。五不樂本座。反上即五德也。凡言經云。律云。是釋迦如來親說。若言論云。乃菩薩羅漢	腋 下 汗 流 四 身體臭穢 五 不 樂 本 座 反 上 即 五 德 也 凡 言 經 云 律 云 是 釋 迦 如 來 親 說 若 言 論 云 乃 菩 薩 羅 漢 
X88n1645_001:0112a14	註釋經律。之語)。	註 釋 經 律 之 語 
X88n1645_001:0112a15	天竺	天 竺 
X88n1645_001:0112a16	無著菩薩健馱邏國人也。佛去世後一千年中。誕靈	無 著 菩 薩 健 馱 邏 國 人 也 佛 去 世 後 一 千 年 中 誕 靈 
X88n1645_001:0112a17	利見。承風悟道。出家修學。其弟世親菩薩。出家受業。	利 見 承 風 悟 道 出 家 修 學 其 弟 世 親 菩 薩 出 家 受 業 
X88n1645_001:0112a18	博聞強識。達學研機。無著弟子師子覺。密行莫測。高	博 聞 強 識 達 學 研 機 無 著 弟 子 師 子 覺 密 行 莫 測 高 
X88n1645_001:0112a19	才有聞。二三賢哲。每相謂曰。凡修行業。願覩慈氏。若	才 有 聞 二 三 賢 哲 每 相 謂 曰 凡 修 行 業 願 覩 慈 氏 若 
X88n1645_001:0112a20	先捨壽。得遂宿心。當相報語。以知所至。其後師子覺	先 捨 壽 得 遂 宿 心 當 相 報 語 以 知 所 至 其 後 師 子 覺 
X88n1645_001:0112a21	先捨壽命。三年不報。世親菩薩。尋亦捨命。時經六月。	先 捨 壽 命 三 年 不 報 世 親 菩 薩 尋 亦 捨 命 時 經 六 月 
X88n1645_001:0112a22	亦無報命。時諸外道。咸皆譏誚。謂世親及師子覺。流	亦 無 報 命 時 諸 外 道 咸 皆 譏 誚 謂 世 親 及 師 子 覺 流 
X88n1645_001:0112a23	轉惡趣。遂無靈鑒。其後無著菩薩。於夜初分。方為門	轉 惡 趣 遂 無 靈 鑒 其 後 無 著 菩 薩 於 夜 初 分 方 為 門 
X88n1645_001:0112a24	人。教授定法。燈光忽翳。空中大明。有一天人。乘虗下	人 教 授 定 法 燈 光 忽 翳 空 中 大 明 有 一 天 人 乘 虗 下 
X88n1645_001:0112b01	降。即進階庭。敬禮無著。無著曰。爾來何暮。今名何謂。	降 即 進 階 庭 敬 禮 無 著 無 著 曰 爾 來 何 暮 今 名 何 謂 
X88n1645_001:0112b02	對曰。從此捨壽。往覩史多天。慈氏內眾。蓮華中生。蓮	對 曰 從 此 捨 壽 往 覩史多天 慈 氏 內 眾 蓮 華 中 生 蓮 
X88n1645_001:0112b03	華纔開。慈氏讚曰。善來廣慧。善來廣慧。旋繞纔周。即	華 纔 開 慈 氏 讚 曰 善 來 廣 慧 善 來 廣 慧 旋 繞 纔 周 即 
X88n1645_001:0112b04	來報命。無著菩薩曰。師子覺者。今何所在。答曰。我旋	來 報 命 無 著 菩 薩 曰 師 子 覺 者 今 何 所 在 答 曰 我 旋 
X88n1645_001:0112b05	繞時。見師子覺。在外眾中。耽著天樂。無暇相顧。詎能	繞 時 見 師 子 覺 在 外 眾 中 耽 著 天 樂 無 暇 相 顧 詎 能 
X88n1645_001:0112b06	來報。無著菩薩曰。斯事已矣。慈氏何相。演說何法。答	來 報 無 著 菩 薩 曰 斯 事 已 矣 慈 氏 何 相 演 說 何 法 答 
X88n1645_001:0112b07	曰。慈氏相好。言莫能宣。演說妙法。義不異此。然菩薩	曰 慈 氏 相 好 言 莫 能 宣 演 說 妙 法 義 不 異 此 然 菩 薩 
X88n1645_001:0112b08	妙音。清暢和雅。聞者忘倦。受者無厭。云云(出西域記。覩史多。舊	妙 音 清 暢 和 雅 聞 者 忘 倦 受 者 無 厭 云 云 出 西 域 記 覩 史 多 舊 
X88n1645_001:0112b09	曰兜率。慈氏。即彌勒也。佛經律論三藏。所載人生六道中。或從六道中來者甚多。茲僅錄一二。以彰其餘。即如	曰 兜 率 慈 氏 即 彌 勒 也 佛 經 律 論 三 藏 所 載 人 生 六 道 中 或 從 六 道 中 來 者 甚 多 茲 僅 錄 一 二 以 彰 其 餘 即 如 
X88n1645_001:0112b10	此土所共見聞者。亦不能盡錄惟錄其要。俱見如下)。	此 土 所 共 見 聞 者 亦 不 能 盡 錄 惟 錄 其 要 俱 見 如 下 
X88n1645_001:0112b11	晉	晉 
X88n1645_001:0112b12	孫稚○字法暉。齊國般陽縣人也。父祚。晉太中大夫。	孫 稚 字 法 暉 齊 國 般 陽 縣 人 也 父 祚 晉 太 中 大 夫 
X88n1645_001:0112b13	稚幼而奉法。年十八。以咸康元年八月病亡。父後移	稚 幼 而 奉 法 年 十 八 以 咸 康 元 年 八 月 病 亡 父 後 移 
X88n1645_001:0112b14	居武昌。至三年四月八日。沙門于法。街行尊像。經過	居 武 昌 至 三 年 四 月 八 日 沙 門 于 法 街 行 尊 像 經 過 
X88n1645_001:0112b15	家門。夫妻大小出觀。見稚亦在人眾之中。隨侍像行。	家 門 夫 妻 大 小 出 觀 見 稚 亦 在 人 眾 之 中 隨 侍 像 行 
X88n1645_001:0112b16	見父母拜跪問訊。隨共還家。祚先病。稚云。無他禍崇。	見 父 母 拜 跪 問 訊 隨 共 還 家 祚 先 病 稚 云 無 他 禍 崇 
X88n1645_001:0112b17	不自將護所致耳。五月當差。言畢辭去。其年七月十	不 自 將 護 所 致 耳 五 月 當 差 言 畢 辭 去 其 年 七 月 十 
X88n1645_001:0112b18	五日。復歸問訊。悉如生時。說其外祖父。為太山府君。	五 日 復 歸 問 訊 悉 如 生 時 說 其 外 祖 父 為 太 山 府 君 
X88n1645_001:0112b19	見稚曰。汝未應來。那得至此。稚答。伯父將來。欲以代	見 稚 曰 汝 未 應 來 那 得 至 此 稚 答 伯 父 將 來 欲 以 代 
X88n1645_001:0112b20	譴。有教推問。欲鞭罰之。稚救解得原。稚兄容。字思淵。	譴 有 教 推 問 欲 鞭 罰 之 稚 救 解 得 原 稚 兄 容 字 思 淵 
X88n1645_001:0112b21	時在其側。稚謂曰。雖離故形。在優樂。處但讀書。無他	時 在 其 側 稚 謂 曰 雖 離 故 形 在 優 樂 處 但 讀 書 無 他 
X88n1645_001:0112b22	作。願兄勿復憂也。但勤精進。繫念修善。福自隨人矣。	作 願 兄 勿 復 憂 也 但 勤 精 進 繫 念 修 善 福 自 隨 人 矣 
X88n1645_001:0112b23	我二年學成。當生國王家。同輩有五百人。今在福堂。	我 二 年 學 成 當 生 國 王 家 同 輩 有 五 百 人 今 在 福 堂 
X88n1645_001:0112b24	學成皆當上生。第六天上。我本亦應上生。但以解救	學 成 皆 當 上 生 第 六 天 上 我 本 亦 應 上 生 但 以 解 救 
X88n1645_001:0112c01	先人。因緣纏縛。故獨生王家耳。到五年七月七日復	先 人 因 緣 纏 縛 故 獨 生 王 家 耳 到 五 年 七 月 七 日 復 
X88n1645_001:0112c02	歸。說邾城當有宼。難事例甚多。悉皆如言。家人祕之。	歸 說 邾 城 當 有 宼 難 事 例 甚 多 悉 皆 如 言 家 人 祕 之 
X88n1645_001:0112c03	故無傳者。又云。先人多有罪讁。宜。為作福。我今受身	故 無 傳 者 又 云 先 人 多 有 罪 讁 宜 為 作 福 我 今 受 身 
X88n1645_001:0112c04	人中。不須復營。但救先人也。願父兄勤為功德。作福	人 中 不 須 復 營 但 救 先 人 也 願 父 兄 勤 為 功 德 作 福 
X88n1645_001:0112c05	供僧。食時務使鮮潔。一一如法者。受上福。次者次福。	供 僧 食 時 務 使 鮮 潔 一一如法 者 受 上 福 次 者 次 福 
