X26n0574_001:0950c03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0574_001:0961a06	亦無佛可做　理會得麼　水流異派　到海同	亦 無 佛 可 做 理 會 得 麼 水 流 異 派 到 海 同 
X26n0574_001:0961a07	源　呵呵　只怕漫散了收拾不來　破鏡不重	源 呵 呵 只 怕 漫 散 了 收 拾 不 來 破 鏡 不 重 
X26n0574_001:0961a08	照落華難上枝。	照 落 華 難 上 枝 
X26n0574_001:0961a09	　了得般若波羅蜜　　調和種性皆歸一	 了 得 般 若 波 羅 蜜 調 和 種 性 皆 歸 一 
X26n0574_001:0961a10	　默然參透一何歸　　半夜虗空如白日	 默 然 參 透 一 何 歸 半 夜 虗 空 如 白 日 
X26n0574_001:0961a11	心無罣礙。	心 無 罣 礙 
X26n0574_001:0961a12	依此般若波羅蜜多脩行即得心無罣礙即悟真	依 此 般 若 波羅蜜多 脩 行 即 得 心 無 罣 礙 即 悟 真 
X26n0574_001:0961a13	如妙理廓徹太虗清淨本然常得自在　仙師云	如 妙 理 廓 徹 太 虗 清 淨 本 然 常 得 自 在 仙 師 云 
X26n0574_001:0961a14	心若太虗不染一物　釋云心同虗空法示等虗	心 若 太 虗 不 染 一 物 釋 云 心 同 虗 空 法 示 等 虗 
X26n0574_001:0961a15	空法證得虗空時無是無非法　既然與虗空混	空 法 證 得 虗 空 時 無 是 無 非 法 既 然 與 虗 空 混 
X26n0574_001:0961a16	為一體有何差別是與不是外清淨內清淨內外	為 一 體 有何差別 是 與 不 是 外 清 淨 內 清 淨 內 外 
X26n0574_001:0961a17	清淨外空內空當體即空未有天地先有此空。	清 淨 外 空 內 空 當 體 即 空 未 有 天 地 先 有 此 空 
X26n0574_001:0961a18	太上云有物混成先天地生　又云無名天地之	太 上 云 有 物 混 成 先 天 地 生 又 云 無 名 天 地 之 
X26n0574_001:0961a19	始有名萬物之母　視之不見聽之不聞摶之不	始 有 名 萬 物 之 母 視 之 不 見 聽 之 不 聞 摶 之 不 
X26n0574_001:0961a20	得迎之不見其首隨之不見其後五目不覩其蹤	得 迎 之 不 見 其 首 隨 之 不 見 其 後 五 目 不 覩 其 蹤 
X26n0574_001:0961a21	二聽絕聞其響　川老云堂堂大道赫赫分明人	二 聽 絕 聞 其 響 川 老 云 堂 堂 大 道 赫 赫 分 明 人 
X26n0574_001:0961a22	人本具箇箇圓成只因差一念現出萬般形　六	人 本 具 箇 箇 圓 成 只 因 差 一 念 現 出 萬 般 形 六 
X26n0574_001:0961a23	祖云我有一物上拄天下拄地無人識得若親見	祖 云 我 有 一 物 上 拄 天 下 拄 地 無 人 識 得 若 親 見 
X26n0574_001:0961a24	一面超過佛祖出三界不墮輪迴為人自肯自信	一 面 超 過 佛 祖 出 三 界 不 墮 輪 迴 為 人 自 肯 自 信 
X26n0574_001:0961b01	自能保養得無碍法決定無礙　理會麼　扯破	自 能 保 養 得 無 碍 法 決 定 無 礙 理 會 麼 扯 破 
X26n0574_001:0961b02	幔天網　去了當頭召。	幔 天 網 去 了 當 頭 召 
X26n0574_001:0961b03	　虗空難著物　　有甚罣與礙	 虗 空 難 著 物 有 甚 罣 與 礙 
X26n0574_001:0961b04	　打破沐桶底　　便見觀自在	 打 破 沐 桶 底 便 見 觀 自 在 
X26n0574_001:0961b05	無罣礙。	無 罣 礙 
X26n0574_001:0961b06	想念不斷謂之罣著境不回謂之礙重說無罣礙	想 念 不 斷 謂 之 罣 著 境 不 回 謂 之 礙 重 說 無 罣 礙 
X26n0574_001:0961b07	者內外清淨諸緣脫洒也如麗天杲日光滿大千	者 內 外 清 淨 諸 緣 脫 洒 也 如 麗 天 杲 日 光 滿 大 千 
X26n0574_001:0961b08	無所不照一切虗妄境界總無罣礙東去無窮西	無 所 不 照 一 切 虗 妄 境 界 總 無 罣 礙 東 去 無 窮 西 
X26n0574_001:0961b09	去無極縱橫自在幻境不能所拘本源自性天真	去 無 極 縱 橫 自 在 幻 境 不 能 所 拘 本 源 自 性 天 真 
X26n0574_001:0961b10	長劫不壞之體無去無來無變無異　要見長劫	長 劫 不 壞 之 體 無 去 無 來 無 變 無 異 要 見 長 劫 
X26n0574_001:0961b11	不壞之體麼　霧散晹初見　塵盡鏡自明。	不 壞 之 體 麼 霧 散 晹 初 見 塵 盡 鏡 自 明 
X26n0574_001:0961b12	　本來空沒礙　　著相自家迷	 本 來 空 沒 礙 著 相 自 家 迷 
X26n0574_001:0961b13	　若人回得轉　　僊佛一般齊	 若 人 回 得 轉 僊 佛 一 般 齊 
X26n0574_001:0961b14	故。	故 
X26n0574_001:0961b15	故之一字圓滿極則亦是真常之理不可言說因	故 之 一 字 圓 滿 極 則 亦 是 真 常 之 理 不可言說 因 
X26n0574_001:0961b16	說不得故曰故　金剛經云無法可說是名說法	說 不 得 故 曰 故 金 剛 經 云 無 法 可 說 是 名 說 法 
X26n0574_001:0961b17	　儒云道本無言言生理喪　仙師云道難說須	 儒 云 道 本 無 言 言 生 理 喪 仙 師 云 道 難 說 須 
X26n0574_001:0961b18	當自悟　且道如何得悟　咦　一撞金鐘響	當 自 悟 且 道 如 何 得 悟 咦 一 撞 金 鐘 響 
X26n0574_001:0961b19	　驚醒夢中人。	 驚 醒 夢 中 人 
X26n0574_001:0961b20	　真常圓滿極則故　　到處周圓難染活	 真 常 圓 滿 極 則 故 到 處 周 圓 難 染 活 
X26n0574_001:0961b21	　應變隨機有萬千　　坦蕩逍遙常獨步	 應 變 隨 機 有 萬 千 坦 蕩 逍 遙 常 獨 步 
X26n0574_001:0961b22	無有恐怖。	無 有 恐 怖 
X26n0574_001:0961b23	既心無罣礙真常自然圓滿更有甚麼恐怖之心	既 心 無 罣 礙 真 常 自 然 圓 滿 更 有 甚 麼 恐 怖 之 心 
X26n0574_001:0961b24	若到此地悟得性空東西不辨南北不分不被明	若 到 此 地 悟 得 性 空 東 西 不 辨 南 北 不 分 不 被 明 
X26n0574_001:0961c01	暗所瞞不被坊隅所當不被陰陽所拘不被造化	暗 所 瞞 不 被 坊 隅 所 當 不 被 陰 陽 所 拘 不 被 造 化 
X26n0574_001:0961c02	所役似此有甚憂苦可怕有甚生死可怖不與萬	所 役 似 此 有 甚 憂 苦 可 怕 有 甚 生 死 可 怖 不 與 萬 
X26n0574_001:0961c03	法為伴當自獨行獨步上天仰之無窮入地去之	法 為 伴 當 自 獨 行 獨 步 上 天 仰 之 無 窮 入 地 去 之 
X26n0574_001:0961c04	無極山河石壁地水火風於此往來總無罣礙側	無 極 山 河 石 壁 地水火風 於 此 往 來 總 無 罣 礙 側 
X26n0574_001:0961c05	掌行千里回程轉似飛天地莫能拘鬼神莫能測	掌 行 千 里 回 程 轉 似 飛 天 地 莫 能 拘 鬼 神 莫 能 測 
X26n0574_001:0961c06	喚作自在大覺金仙　要見自在金仙麼　不須	喚 作 自 在 大 覺 金 仙 要 見 自 在 金 仙 麼 不 須 
X26n0574_001:0961c07	覓火把燈尋　渴飲饑飡常對面。	覓 火 把 燈 尋 渴 飲 饑 飡 常 對 面 
X26n0574_001:0961c08	　去來自在任優游　　也無恐怖也無愁	 去 來 自 在 任 優 游 也 無 恐 怖 也 無 愁 
X26n0574_001:0961c09	　幻化境中留不住　　獨行獨步是瀛洲	 幻 化 境 中 留 不 住 獨 行 獨 步 是 瀛 洲 
X26n0574_001:0961c10	遠離顛倒夢想。	遠 離 顛 倒 夢 想 
X26n0574_001:0961c11	若罣礙無恐怖絕自然遠離顛倒夢想　仙師云	若 罣 礙 無 恐 怖 絕 自 然 遠 離 顛 倒 夢 想 仙 師 云 
X26n0574_001:0961c12	日間無想念夜後少夢寐　釋云夢因想生想因	日 間 無 想 念 夜 後 少 夢 寐 釋 云 夢 因 想 生 想 因 
X26n0574_001:0961c13	念起世人只知合眼有夢不識開眼也有夢如何	念 起 世 人 只 知 合 眼 有 夢 不 識 開 眼 也 有 夢 如 何 
X26n0574_001:0961c14	是開眼有夢先師有云假饒金銀過北斗大限來	是 開 眼 有 夢 先 師 有 云 假 饒 金 銀 過 北 斗 大 限 來 
X26n0574_001:0961c15	時一夢中豈不是開眼也做夢若要夢覺直待無	時 一 夢 中 豈 不 是 開 眼 也 做 夢 若 要 夢 覺 直 待 無 
X26n0574_001:0961c16	常方省生前所作所為所愛所貪一切萬緣盡是	常 方 省 生 前 所 作 所 為 所 愛 所 貪 一 切 萬 緣 盡 是 
X26n0574_001:0961c17	一場春夢只是自己一身也顧官不得到此省時	一 場 春 夢 只 是 自 己 一 身 也 顧 官 不 得 到 此 省 時 
X26n0574_001:0961c18	晚矣若是有智之人忽然自省自覺無常到來此	晚 矣 若 是 有 智 之 人 忽 然 自 省 自 覺 無 常 到 來 此 
X26n0574_001:0961c19	貪欲愛樂盡是輪迴之種地獄之因遠離顛倒悟	貪 欲 愛 樂 盡 是 輪 迴 之 種 地 獄 之 因 遠 離 顛 倒 悟 
X26n0574_001:0961c20	本性空即知此自必無　古云聖人無已無固無	本 性 空 即 知 此 自 必 無 古 云 聖 人 無 已 無 固 無 
X26n0574_001:0961c21	必無我無依無倚無晦無明無名無相無強無弱	必 無 我 無 依 無 倚 無 晦 無 明 無 名 無 相 無 強 無 弱 
X26n0574_001:0961c22	無穢無淨無止無作無任無滅無默無言絕思絕	無 穢 無 淨 無 止 無 作 無 任 無 滅 無 默 無 言 絕 思 絕 
X26n0574_001:0961c23	慮一切語言道斷心行處滅　太上曰實無所得	慮 一 切 語 言 道 斷 心行處滅 太 上 曰 實 無 所 得 
X26n0574_001:0961c24	為化眾生　釋云道妙幽微不可得見　大顛云	為 化 眾 生 釋 云 道 妙 幽 微 不 可 得 見 大 顛 云 
X26n0574_001:0962a01	死了燒了無饑無渴無寒無熱無起無倒無坐無	死 了 燒 了 無 饑 無 渴 無 寒 無 熱 無 起 無 倒 無 坐 無 
X26n0574_001:0962a02	眠無六根無九竅無四百四病無八萬四千蟲永	眠 無 六 根 無 九 竅 無 四 百 四 病 無 八萬四千 蟲 永 
X26n0574_001:0962a03	無顛倒夢想若不如是悟去清淨界中纔一念閻	無 顛 倒 夢 想 若 不 如 是 悟 去 清 淨 界 中 纔 一 念 閻 
X26n0574_001:0962a04	浮早通八千年會得剎那間不會塵沙劫死死生	浮 早 通 八 千 年 會 得 剎 那 間 不 會 塵 沙 劫 死 死 生 
X26n0574_001:0962a05	生展轉不覺睡長夢而不醒萬劫顛倒而無止顛	生 展 轉 不 覺 睡 長 夢 而 不 醒 萬 劫 顛 倒 而 無 止 顛 
X26n0574_001:0962a06	顛倒倒死了又生生了又死夢醒又夢睡覺又睡	顛 倒 倒 死 了 又 生 生 了 又 死 夢 醒 又 夢 睡 覺 又 睡 
X26n0574_001:0962a07	迷中更迷終無了期若有人打得徹透得過永免	迷 中 更 迷 終 無 了 期 若 有 人 打 得 徹 透 得 過 永 免 
X26n0574_001:0962a08	顛倒夢幻頓脫　且道頓脫了向甚處去　脫籠	顛 倒 夢 幻 頓 脫 且 道 頓 脫 了 向 甚 處 去 脫 籠 
X26n0574_001:0962a09	俊鷂撲天飛　一任諸人近不得。	俊 鷂 撲 天 飛 一 任 諸 人 近 不 得 
X26n0574_001:0962a10	　日間無想夜無夢　　不被顛倒境物弄	 日 間 無 想 夜 無 夢 不 被 顛 倒 境 物 弄 
X26n0574_001:0962a11	　一拳打破上頭關　　飜身直上朝元洞	 一 拳 打 破 上 頭 關 飜 身 直 上 朝 元 洞 
X26n0574_001:0962a12	究竟涅槃。	究竟涅槃 
X26n0574_001:0962a13	究者反自窮究己身盡是虗假一日無常盡皆敗	究 者 反 自 窮 究 己 身 盡 是 虗 假 一 日 無 常 盡 皆 敗 
X26n0574_001:0962a14	壞難以留戀如是究竟則何矣本來無此四大因	壞 難 以 留 戀 如 是 究 竟 則 何 矣 本 來 無 此 四 大 因 
X26n0574_001:0962a15	世人皆執有身迷己逐物棄親向疎認賊為子妄	世 人 皆 執 有 身 迷 己 逐 物 棄 親 向 疎 認 賊 為 子 妄 
X26n0574_001:0962a16	將四大六根為實作種種業受種種苦輪迴萬劫	將 四 大 六 根 為 實 作 種 種 業 受 種 種 苦 輪 迴 萬 劫 
X26n0574_001:0962a17	不覺不知不能解脫默然自省於此日夜不離當	不 覺 不 知 不能解脫 默 然 自 省 於 此 日 夜 不 離 當 
X26n0574_001:0962a18	念自覺自照細細參究此六根五蘊從塵劫已來	念 自 覺 自 照 細 細 參 究 此 六 根 五 蘊 從 塵 劫 已 來 
X26n0574_001:0962a19	本自無有名相皆不可得亦無成僊成佛亦無六	本 自 無 有 名 相 皆 不 可 得 亦 無 成 僊 成 佛 亦 無 六 
X26n0574_001:0962a20	道四生種種皆不可得老者盡也到這裡一槩平	道 四 生 種 種 皆 不 可 得 老 者 盡 也 到 這 裡 一 槩 平 
X26n0574_001:0962a21	等盡底掀翻萬緣頓息餘外無餘　川老云如斬	等 盡 底 掀 翻 萬 緣 頓 息 餘 外 無 餘 川 老 云 如 斬 
X26n0574_001:0962a22	一握絲一斬一齊斷　又云一拳打破化城關一	一 握 絲 一 斬 一 齊 斷 又 云 一 拳 打 破 化 城 關 一 
X26n0574_001:0962a23	脚趯翻玄妙塞南北東西任往來休覓大悲觀自	脚 趯 翻 玄 妙 塞 南 北 東 西 任 往 來 休 覓 大 悲 觀 自 
X26n0574_001:0962a24	在　大顛云離四句絕百非知見無見斯到涅槃	在 大 顛 云 離 四 句 絕 百 非 知 見 無 見 斯 到 涅 槃 
X26n0574_001:0962b01	　且涅槃無生非死也乃是寂滅無生無死之謂	 且 涅 槃 無 生 非 死 也 乃 是 寂 滅 無 生 無 死 之 謂 
X26n0574_001:0962b02	也　太上云湛然常寂　佛經云生滅滅已寂滅	也 太 上 云 湛 然 常 寂 佛 經 云 生 滅 滅 已 寂 滅 
X26n0574_001:0962b03	為樂寂者寂然不動滅者諸法不生實無生死也	為 樂 寂 者 寂 然 不 動 滅 者 諸 法 不 生 實 無 生 死 也 
X26n0574_001:0962b04	且道無生無死底怎生模樣　咄　莫聽聲不是	且 道 無 生 無 死 底 怎 生 模 樣 咄 莫 聽 聲 不 是 
X26n0574_001:0962b05	相　識得虗空還一樣。	相 識 得 虗 空 還 一 樣 
X26n0574_001:0962b06	　究竟自身元不有　　便須放下莫愚痴	 究 竟 自 身 元 不 有 便 須 放 下 莫 愚 痴 
X26n0574_001:0962b07	　涅槃路上無朋伴　　大道無人我是誰	 涅 槃 路 上 無 朋 伴 大 道 無 人 我 是 誰 
X26n0574_001:0962b08	三世諸佛。	三世諸佛 
X26n0574_001:0962b09	大顛云過去莊嚴劫一千佛未來星宿刼一千佛	大 顛 云 過 去 莊 嚴 劫 一 千 佛 未 來 星 宿 刼 一 千 佛 
X26n0574_001:0962b10	現在賢劫一千佛三世三千佛更有窮劫佛不可	現 在 賢 劫 一 千 佛 三 世 三 千 佛 更 有 窮 劫 佛 不 可 
X26n0574_001:0962b11	說不可說數量不可盡此諸佛皆從脩證所得。	說 不 可 說 數 量 不 可 盡 此 諸 佛 皆 從 脩 證 所 得 
X26n0574_001:0962b12	川老云種瓜得瓜種菓得菓　又云一佛二佛千	川 老 云 種 瓜 得 瓜 種 菓 得 菓 又 云 一 佛 二 佛 千 
X26n0574_001:0962b13	萬佛各各眼橫兼鼻直昔年曾種善根來今日依	萬 佛 各 各 眼 橫 兼 鼻 直 昔 年 曾 種 善 根 來 今 日 依 
X26n0574_001:0962b14	前得渠力　道經云種蘭得香種粟得粮為善降	前 得 渠 力 道 經 云 種 蘭 得 香 種 粟 得 粮 為 善 降 
X26n0574_001:0962b15	祥作惡降殃　且三世諸佛不脩不得成人身中	祥 作 惡 降 殃 且 三世諸佛 不 脩 不 得 成 人 身 中 
X26n0574_001:0962b16	亦有如此諸佛變化不一因習氣所昧境物所障	亦 有 如 此 諸 佛 變 化 不 一 因 習 氣 所 昧 境 物 所 障 
X26n0574_001:0962b17	自家迷了却不認得若於心無心便是過去佛寂	自 家 迷 了 却 不 認 得 若 於 心 無 心 便 是 過 去 佛 寂 
X26n0574_001:0962b18	然不動便是未來佛應物不昧隨機又便是現在	然 不 動 便 是 未 來 佛 應 物 不 昧 隨 機 又 便 是 現 在 
X26n0574_001:0962b19	佛清淨無染便是離垢佛出入無礙便是神通佛	佛 清 淨 無 染 便 是 離 垢 佛 出 入 無 礙 便 是 神 通 佛 
X26n0574_001:0962b20	到處優游便是自在佛一心不昧便是光明佛道	到 處 優 游 便 是 自 在 佛 一 心 不 昧 便 是 光 明 佛 道 
X26n0574_001:0962b21	念堅固便是不壞佛各各諸佛自身俱有說亦不	念 堅 固 便 是 不 壞 佛 各 各 諸 佛 自 身 俱 有 說 亦 不 
X26n0574_001:0962b22	能盡變化多般惟一真耳但去靜坐觀過去現在	能 盡 變 化 多 般 惟 一 真 耳 但 去 靜 坐 觀 過去現在 
X26n0574_001:0962b23	未來皆同一體如虗空不異相不自相不他相非	未 來 皆 同 一 體 如 虗 空 不 異 相 不 自 相 不 他 相 非 
X26n0574_001:0962b24	無相非取相不此岸不彼岸不中流觀其寂滅永	無 相 非 取 相 不 此 岸 不 彼 岸 不 中 流 觀 其 寂 滅 永 
X26n0574_001:0962c01	不斷滅若人於此頓悟直下承當迢迢空劫盡在	不 斷 滅 若 人 於 此 頓 悟 直 下 承 當 迢 迢 空 劫 盡 在 
X26n0574_001:0962c02	如今放光動地人法俱忘不見有過去未來現在	如 今 放 光 動 地 人 法 俱 忘 不 見 有 過去未來現在 
X26n0574_001:0962c03	究竟到盡無盡地即是空空我無我我我尚不可	究 竟 到 盡 無 盡 地 即 是 空 空 我 無 我 我 我 尚 不 可 
X26n0574_001:0962c04	得空色亦無三世自空非識不滅識性自空前際	得 空 色 亦 無 三 世 自 空 非 識 不 滅 識 性 自 空 前 際 
X26n0574_001:0962c05	後際中際亦空不落空見　要見三世諸佛麼	後 際 中 際 亦 空 不 落 空 見 要 見 三世諸佛 麼 
X26n0574_001:0962c06	　咄　沿河休害渴　把餅莫言饑。	 咄 沿 河 休 害 渴 把 餅 莫 言 饑 
X26n0574_001:0962c07	　過去未來并現在　　近在人身人自昧	 過去未來 并 現 在 近 在 人 身 人 自 昧 
X26n0574_001:0962c08	　千變萬化少人知　　混合虗空成一塊	 千 變 萬 化 少 人 知 混 合 虗 空 成 一 塊 
X26n0574_001:0962c09	依般若波羅蜜多故。	依 般 若 波羅蜜多 故 
X26n0574_001:0962c10	脩行人須要智慧百種方便去無始劫來習性調	脩 行 人 須 要 智 慧 百 種 方 便 去 無 始 劫 來 習 性 調 
X26n0574_001:0962c11	和成一真之性而登彼岸若不見性卒難成就此	和 成 一 真 之 性 而 登 彼 岸 若 不 見 性 卒 難 成 就 此 
X26n0574_001:0962c12	句是三世諸佛之母十方諸佛依此脩行果行圓	句 是 三世諸佛 之 母 十方諸佛 依 此 脩 行 果 行 圓 
X26n0574_001:0962c13	滿成等正覺若離此句修行雖經多劫久守勤苦	滿 成等正覺 若 離 此 句 修 行 雖 經 多 劫 久 守 勤 苦 
X26n0574_001:0962c14	望成大道者鮮矣屬小乘法墮在聲聞緣覺辟支	望 成 大 道 者 鮮 矣 屬 小 乘 法 墮 在 聲 聞 緣 覺 辟 支 
X26n0574_001:0962c15	佛鬼仙人僊地仙有為之法終不成就一切聖果	佛 鬼 仙 人 僊 地 仙 有 為 之 法 終 不 成 就 一 切 聖 果 
X26n0574_001:0962c16	須當精進存有能所依般若波羅蜜多法得無上	須 當 精 進 存 有 能 所 依 般 若 波羅蜜多 法 得 無 上 
X26n0574_001:0962c17	正真之道唯此一事若別脩行過此法者無有是	正 真 之 道 唯 此 一 事 若 別 脩 行 過 此 法 者 無 有 是 
X26n0574_001:0962c18	處此是教外別傳此法親見自性方乃傳授千聖	處 此 是 教 外 別 傳 此 法 親 見 自 性 方 乃 傳 授 千 聖 
X26n0574_001:0962c19	不傳自悟自信不容授記圓頓之位獨孤標法參	不 傳 自 悟 自 信 不 容 授 記 圓 頓 之 位 獨 孤 標 法 參 
X26n0574_001:0962c20	善知識求問至人憑師指示有緣契悟圓頓教沒	善 知 識 求 問 至 人 憑 師 指 示 有 緣 契 悟 圓 頓 教 沒 
X26n0574_001:0962c21	人情若有私心傳授是外道法有分咐有傳授有	人 情 若 有 私 心 傳 授 是 外 道 法 有 分 咐 有 傳 授 有 
X26n0574_001:0962c22	得即有失有教有授盡是外道邪見生死根本。	得 即 有 失 有 教 有 授 盡 是 外道邪見 生 死 根 本 
X26n0574_001:0962c23	仙師云法有三千六百門修行路徑此為真須知	仙 師 云 法 有 三 千 六 百 門 修 行 路 徑 此 為 真 須 知 
X26n0574_001:0962c24	有箇玄微處不在三千六百門　仙佛祖師自修	有 箇 玄 微 處 不 在 三 千 六 百 門 仙 佛 祖 師 自 修 
X26n0574_001:0963a01	自證本無語句亦無一法與人若有一法授記不	自 證 本 無 語 句 亦 無 一 法 與 人 若 有 一 法 授 記 不 
X26n0574_001:0963a02	名釋迦不喚道人道本無言只是教人自脩自悟	名 釋 迦 不 喚 道 人 道 本 無 言 只 是 教 人 自 脩 自 悟 
X26n0574_001:0963a03	說著不真除非自見見無可見若被人教壞急須	說 著 不 真 除 非 自 見 見 無 可 見 若 被 人 教 壞 急 須 
X26n0574_001:0963a04	吐去大凡為人須從自己流出無價寶珠用之無	吐 去 大 凡 為 人 須 從 自 己 流 出 無 價 寶 珠 用 之 無 
X26n0574_001:0963a05	盡上根之人一聞千悟具大總持中下之機多聞	盡 上 根 之 人 一 聞 千 悟 具 大 總 持 中 下 之 機 多 聞 
X26n0574_001:0963a06	多不信　太上云上士聞道勤而行之中士聞道	多 不 信 太 上 云 上 士 聞 道 勤 而 行 之 中 士 聞 道 
X26n0574_001:0963a07	若存若亡下士聞道大笑之此乃難信之法希有	若 存 若 亡 下 士 聞 道 大 笑 之 此 乃 難 信 之 法 希 有 
X26n0574_001:0963a08	之事　理會麼　世人只知隨影轉不知離影到	之 事 理 會 麼 世 人 只 知 隨 影 轉 不 知 離 影 到 
X26n0574_001:0963a09	家鄉　嗄。	家 鄉 嗄 
X26n0574_001:0963a10	　脫落衣裳見本形　　寸絲不掛得安寧	 脫 落 衣 裳 見 本 形 寸 絲 不 掛 得 安 寧 
X26n0574_001:0963a11	　若人要趓渾身影　　便向無陰樹下行	 若 人 要 趓 渾 身 影 便 向 無 陰 樹 下 行 
X26n0574_001:0963a12	得阿耨多羅三藐三菩提。	得阿耨多羅三藐三菩提 
X26n0574_001:0963a13	此是西天梵語也阿言無耨多羅言上三藐言正	此 是 西 天 梵 語 也 阿 言 無 耨 多 羅 言 上 三 藐 言 正 
X26n0574_001:0963a14	三菩提言真東土翻為正真　又云成等正覺此	三 菩 提 言 真 東 土 翻 為 正 真 又 云 成等正覺 此 
X26n0574_001:0963a15	四箇字須是親見　古云見道方脩道不見復何	四 箇 字 須 是 親 見 古 云 見 道 方 脩 道 不 見 復 何 
X26n0574_001:0963a16	脩　一大藏經說此四字不能盡諸佛亦說不盡	脩 一 大 藏 經 說 此 四 字 不 能 盡 諸 佛 亦 說 不 盡 
X26n0574_001:0963a17	三教聖賢皆脩此四箇字盡歸聖道成等正覺今	三 教 聖 賢 皆 脩 此 四 箇 字 盡 歸 聖 道 成等正覺 今 
X26n0574_001:0963a18	人若能依此般若波羅蜜多三藐三菩提法脩行	人 若 能 依 此 般 若 波羅蜜多 三藐三菩提 法 脩 行 
X26n0574_001:0963a19	廓然頓悟親見無上正真自知當來仙佛直超聖	廓 然 頓 悟 親 見 無 上 正 真 自 知 當 來 仙 佛 直 超 聖 
X26n0574_001:0963a20	果　要見無上正真麼　頭頭顯露　物物周圓。	果 要 見 無 上 正 真 麼 頭 頭 顯 露 物 物 周 圓 
X26n0574_001:0963a21	　妙道虗空是祖宗　　分明應化不相同	 妙 道 虗 空 是 祖 宗 分 明 應 化 不 相 同 
X26n0574_001:0963a22	　若人悟得真常道　　便識從前舊主公	 若 人 悟 得 真 常 道 便 識 從 前 舊 主 公 
X26n0574_001:0963a23	故知般若波羅蜜多。	故 知 般 若 波羅蜜多 
X26n0574_001:0963a24	因脩行得見無上正真之道知般若波羅蜜多之	因 脩 行 得 見 無 上 正 真 之 道 知 般 若 波羅蜜多 之 
X26n0574_001:0963b01	神力也且過去諸佛慈悲憐憫眾生百種智慧方	神 力 也 且 過去諸佛 慈 悲 憐 憫 眾 生 百 種 智 慧 方 
X26n0574_001:0963b02	便之力隨之利物接引後來設像化人使泥塑木	便 之 力 隨 之 利 物 接 引 後 來 設 像 化 人 使 泥 塑 木 
X26n0574_001:0963b03	雕黃卷赤軸說因說果但以假名引導有情將善	雕 黃 卷 赤 軸 說 因 說 果 但 以 假 名 引 導 有 情 將 善 
X26n0574_001:0963b04	惡報應之事天堂地獄之說使人改惡向善離假	惡 報 應 之 事 天 堂 地 獄 之 說 使 人 改 惡 向 善 離 假 
X26n0574_001:0963b05	歸真聲聞緣覺十聖三賢諸佛地位次第接引。	歸 真 聲 聞 緣 覺 十 聖 三 賢 諸 佛 地 位 次 第 接 引 
X26n0574_001:0963b06	僊師云千里程途逐步而進　釋云千仞寶臺非	僊 師 云 千 里 程 途 逐 步 而 進 釋 云 千 仞 寶 臺 非 
X26n0574_001:0963b07	一圾而上　忽然自悟自見本性超過諸佛位次	一 圾 而 上 忽 然 自 悟 自 見 本 性 超 過 諸 佛 位 次 
X26n0574_001:0963b08	一超直入如來地若不見性向外馳求終不成就	一 超 直 入如來地 若 不 見 性 向 外 馳 求 終 不 成 就 
X26n0574_001:0963b09	悟有年月有日有時　古云學道先須有悟由	悟 有 年 月 有 日 有 時 古 云 學 道 先 須 有 悟 由 
X26n0574_001:0963b10	　若無悟離文字外行住坐臥火急自救一同頓悟	 若 無 悟 離 文 字 外 行住坐臥 火 急 自 救 一 同 頓 悟 
X26n0574_001:0963b11	　道云千日學道悟在一時只這一時便得輕快	 道 云 千 日 學 道 悟 在 一 時 只 這 一 時 便 得 輕 快 
X26n0574_001:0963b12	諸上善人同歸一處若是學解就古人唾津盡是	諸 上 善 人 同 歸 一 處 若 是 學 解 就 古 人 唾 津 盡 是 
X26n0574_001:0963b13	外道邪見生死各路隨業受報不可共語豈不聞	外道邪見 生 死 各 路 隨 業 受 報 不 可 共 語 豈 不 聞 
X26n0574_001:0963b14	須菩提塵點劫前脩行直至釋迦會下解空第一	須 菩 提 塵 點 劫 前 脩 行 直 至 釋 迦 會 下 解 空 第 一 
X26n0574_001:0963b15	方等會中金剛請問四句偈廓然頓悟涕泪哭泣	方 等 會 中 金 剛 請 問 四 句 偈 廓 然 頓 悟 涕 泪 哭 泣 
X26n0574_001:0963b16	自歎云前所得慧眼未聞此經三世諸佛皆從此	自 歎 云 前 所 得 慧 眼 未 聞 此 經 三世諸佛 皆 從 此 
X26n0574_001:0963b17	經流出　如何是此經　看時無一字　當處放	經 流 出 如 何 是 此 經 看 時 無 一 字 當 處 放 
X26n0574_001:0963b18	光明。	光 明 
X26n0574_001:0963b19	　不憑智慧渡深河　　萬劫沉淪溺浪波	 不 憑 智 慧 渡 深 河 萬 劫 沉 淪 溺 浪 波 
X26n0574_001:0963b20	　既登彼岸歸真道　　何須更念薩婆訶	 既 登 彼 岸 歸 真 道 何 須 更 念 薩 婆 訶 
X26n0574_001:0963b21	是大神呪。	是 大 神 呪 
X26n0574_001:0963b22	若會波羅蜜多便見是大神呪此神咒人人俱有	若 會 波羅蜜多 便 見 是 大 神 呪 此 神 咒 人 人 俱 有 
X26n0574_001:0963b23	不脩不見亦是眾生心地法門有大神通　道云	不 脩 不 見 亦 是 眾 生 心 地 法 門 有大神通 道 云 
X26n0574_001:0963b24	心有主宰萬邪難侵　儒云心正可以辟邪　度	心 有 主 宰 萬 邪 難 侵 儒 云 心 正 可 以 辟 邪 度 
