T85n2767_001:0310c17	藥師經疏	藥 師 經 疏 
T85n2767_001:0313a04	善法行道之根本。種種歡樂之林藪。富貴安	善 法 行 道 之 根 本 種 種 歡 樂 之 林 藪 富 貴 安 
T85n2767_001:0313a05	隱之福田。得道涅槃之津梁。聖人大士智者	隱 之 福 田 得 道 涅 槃 之 津 梁 聖 人 大 士 智 者 
T85n2767_001:0313a06	之所行。餘人儉德宣識之所効。	之 所 行 餘 人 儉 德 宣 識 之 所 効 
T85n2767_001:0313a07	經。復次至破於正見　二治破戒文分為八。	經 復 次 至 破 於 正 見 二 治 破 戒 文 分 為 八 
T85n2767_001:0313a08	一常虧清禁。二不願多聞。三恃己陵他。四緣	一 常 虧 清 禁 二 不 願 多 聞 三 恃 己 陵 他 四 緣 
T85n2767_001:0313a09	茲遇難。五殃神長劫。六由昔聞名。七願遂應	茲 遇 難 五 殃 神 長 劫 六 由 昔 聞 名 七 願 遂 應 
T85n2767_001:0313a10	時。八勤修勝業。此到初也。謂先於如來法中	時 八 勤 修 勝 業 此 到 初 也 謂 先 於 如 來 法 中 
T85n2767_001:0313a11	白四羯磨受別解脫戒名受持學問。破戒者	白四羯磨 受 別解脫戒 名 受 持 學 問 破 戒 者 
T85n2767_001:0313a12	新翻名尸羅。舊譯為清涼。謂身語業有缺有	新 翻 名 尸 羅 舊 譯 為 清 涼 謂 身 語 業 有 缺 有 
T85n2767_001:0313a13	穿名為破戒。破行者依瑜伽論二十二說。謂	穿 名 為 破 戒 破 行 者 依 瑜 伽 論 二 十 二 說 謂 
T85n2767_001:0313a14	威儀路戒所作事。或善品加行處所不成就	威 儀 路 戒 所 作 事 或 善 品 加 行 處 所 不 成 就 
T85n2767_001:0313a15	軌則。不隨順世間。違越世間。不隨順毘奈	軌 則 不 隨順世間 違 越 世 間 不 隨 順 毘 奈 
T85n2767_001:0313a16	耶。違越毘奈耶。云何名為於威儀路不成就	耶 違 越 毘 奈 耶 云 何 名 為 於 威 儀 路 不 成 就 
T85n2767_001:0313a17	軌則。乃至違越毘奈耶。謂所不應行。即如是	軌 則 乃 至 違 越 毘 奈 耶 謂 所 不 應 行 即 如 是 
T85n2767_001:0313a18	行為諸世間之所譏毀。亦為貞良善士。謂持	行 為 諸 世 間 之 所 譏 毀 亦 為 貞 良 善 士 謂 持 
T85n2767_001:0313a19	律者之所訶責。如行既然。於行住坐臥亦爾。	律 者 之 所 訶 責 如 行 既 然 於 行住坐臥 亦 爾 
T85n2767_001:0313a20	云何名為於所作事不成就軌則。乃至違越	云 何 名 為 於 所 作 事 不 成 就 軌 則 乃 至 違 越 
T85n2767_001:0313a21	毘奈耶。謂於所作若衣服事或盪鉢事等諸	毘 奈 耶 謂 於 所 作 若 衣 服 事 或 盪 鉢 事 等 諸 
T85n2767_001:0313a22	所不應作。即如是作為諸世間之所譏毀。亦	所 不 應 作 即 如 是 作 為 諸 世 間 之 所 譏 毀 亦 
T85n2767_001:0313a23	為貞良善士。謂持律者之所訶責。云何名為	為 貞 良 善 士 謂 持 律 者 之 所 訶 責 云 何 名 為 
T85n2767_001:0313a24	於諸善品加行處所不成就軌則。乃至違越	於 諸 善 品 加 行 處 所 不 成 就 軌 則 乃 至 違 越 
T85n2767_001:0313a25	毘奈耶。謂受持讀誦修敬師長宣白請問。繫	毘 奈 耶 謂 受持讀誦 修 敬 師 長 宣 白 請 問 繫 
T85n2767_001:0313a26	念思惟種種善品。非加行中所不應作。即如	念 思 惟 種 種 善 品 非 加 行 中 所 不 應 作 即 如 
T85n2767_001:0313a27	是作為諸世間之所譏毀亦為貞良善士。謂	是 作 為 諸 世 間 之 所 譏 毀 亦 為 貞 良 善 士 謂 
T85n2767_001:0313a28	持律者之所訶責。如是名為而破於行破於	持 律 者 之 所 訶 責 如 是 名 為 而 破 於 行 破 於 
T85n2767_001:0313a29	正見者。謂聞大乘空相應經不善其義而惡	正 見 者 謂 聞 大 乘 空 相 應 經 不 善 其 義 而 惡 
T85n2767_001:0313b01	趣空。依瑜伽論七十五說。於大乘中或有一	趣 空 依 瑜 伽 論 七 十 五 說 於 大 乘 中 或 有 一 
T85n2767_001:0313b02	類。惡趣空故作如是言。由世俗故一切皆有。	類 惡 趣 空 故 作如是言 由 世 俗 故 一 切 皆 有 
T85n2767_001:0313b03	由勝義故一切皆有無應告。彼言長老何者	由 勝 義 故 一 切 皆 有 無 應 告 彼 言 長 老 何 者 
T85n2767_001:0313b04	世俗何者勝義。如是問已彼若答言。若一切	世 俗 何 者 勝 義 如 是 問 已 彼 若 答 言 若 一 切 
T85n2767_001:0313b05	法皆無自性是名勝義。若於諸法無自性中。	法 皆 無 自 性 是 名 勝 義 若 於 諸 法無自性 中 
T85n2767_001:0313b06	自性可得。是名世俗。何以故。無所有中建立	自 性 可 得 是 名 世 俗 何 以 故 無 所 有 中 建 立 
T85n2767_001:0313b07	世俗假設名言而起說故應告。彼曰汝何所	世 俗 假 設 名 言 而 起 說 故 應 告 彼 曰 汝 何 所 
T85n2767_001:0313b08	欲名言世俗為從因有自性可得為唯名言世	欲 名 言 世 俗 為 從 因 有 自 性 可 得 為 唯 名 言 世 
T85n2767_001:0313b09	俗說有。若名言世俗從因有者。名言世俗從	俗 說 有 若 名 言 世 俗 從 因 有 者 名 言 世 俗 從 
T85n2767_001:0313b10	因而生而非是有不應道理。若唯名言世俗	因 而 生 而 非 是 有 不應道理 若 唯 名 言 世 俗 
T85n2767_001:0313b11	說有名言世俗無事而有不應道理。又應告	說 有 名 言 世 俗 無 事 而 有 不應道理 又 應 告 
T85n2767_001:0313b12	言長老何緣諸可得者。此無自性。如是問已	言 長 老 何 緣 諸 可 得 者 此 無 自 性 如 是 問 已 
T85n2767_001:0313b13	彼若答言顛倒事故。復應告言。汝何所欲此	彼 若 答 言 顛 倒 事 故 復 應 告 言 汝 何 所 欲 此 
T85n2767_001:0313b14	顛倒事為有為無。若言有者。說一切法由勝	顛 倒 事 為 有 為 無 若 言 有 者 說 一 切 法 由 勝 
T85n2767_001:0313b15	義故皆無自性不應道理。若言無者。顛倒事	義 故 皆 無 自 性 不應道理 若 言 無 者 顛 倒 事 
T85n2767_001:0313b16	故諸可得者此無自性不應道理。寶積經說。	故 諸 可 得 者 此 無 自 性 不應道理 寶 積 經 說 
T85n2767_001:0313b17	若說諸法皆無性者。我說彼為不可治者。如	若 說 諸 法 皆 無 性 者 我 說 彼 為 不 可 治 者 如 
T85n2767_001:0313b18	是名為而破正見。	是 名 為 而 破 正 見 
T85n2767_001:0313b19	經。或受學句至甚深之義　二不願多聞護	經 或 受 學 句 至 甚 深 之 義 二 不 願 多 聞 護 
T85n2767_001:0313b20	持禁戒者。謂身口意業無缺漏故如如大莊	持 禁 戒 者 謂 身口意業 無 缺 漏 故 如 如 大 莊 
T85n2767_001:0313b21	嚴論第十卷說。有一比丘次第乞食至穿珠	嚴 論 第 十 卷 說 有 一 比 丘 次第乞食 至 穿 珠 
T85n2767_001:0313b22	家立於門外。時彼珠師為於國王穿摩尼珠。	家 立 於 門 外 時 彼 珠 師 為 於 國 王 穿 摩 尼 珠 
T85n2767_001:0313b23	比丘衣色珠註映彼珠其色紅赤。彼穿珠師	比 丘 衣 色 珠 註 映 彼 珠 其 色 紅 赤 彼 穿 珠 師 
T85n2767_001:0313b24	即入其舍。為比丘取食時有一鵝見珠。赤色	即 入 其 舍 為 比 丘 取 食 時 有 一 鵝 見 珠 赤 色 
T85n2767_001:0313b25	其狀似肉。即便吞之。珠師持食以施。比丘	其 狀 似 肉 即 便 吞 之 珠 師 持 食 以 施 比 丘 
T85n2767_001:0313b26	尋即覓珠不知所在。此珠價貴王之所有。時	尋 即 覓 珠 不 知 所 在 此 珠 價 貴 王 之 所 有 時 
T85n2767_001:0313b27	彼珠師家既貧窮失王貴珠以心急故。語比	彼 珠 師 家 既 貧 窮 失 王 貴 珠 以 心 急 故 語 比 
T85n2767_001:0313b28	丘言。歸我珠來。爾時比丘作是思惟。令此珠	丘 言 歸 我 珠 來 爾 時 比 丘 作是思惟 令 此 珠 
T85n2767_001:0313b29	者鵝所吞食。若語彼人將必殺鵝以取其珠。	者 鵝 所 吞 食 若 語 彼 人 將 必 殺 鵝 以 取 其 珠 
T85n2767_001:0313c01	如我今者苦惱時至當設何計得免斯患。即	如 我 今 者 苦 惱 時 至 當 設 何 計 得 免 斯 患 即 
T85n2767_001:0313c02	說偈言。我今護他命身分受苦惱。更無餘方	說 偈 言 我 今 護 他 命 身 分 受 苦 惱 更 無 餘 方 
T85n2767_001:0313c03	便。唯以命代彼。我今捨身命。為此鵝命故緣	便 唯 以 命 代 彼 我 今 捨 身 命 為 此 鵝 命 故 緣 
T85n2767_001:0313c04	我護戒因用成解脫道。時穿珠師聞斯偈故	我 護 戒 因 用 成 解 脫 道 時 穿 珠 師 聞 斯 偈 故 
T85n2767_001:0313c05	語比丘言。還我珠來。若不見還汝徒受苦終	語 比 丘 言 還 我 珠 來 若 不 見 還 汝 徒 受 苦 終 
T85n2767_001:0313c06	不相置。比丘答言。誰得汝珠默然而立。珠	不 相 置 比 丘 答 言 誰 得 汝 珠 默 然 而 立 珠 
T85n2767_001:0313c07	師語言。更無餘人。誰偷此珠。恃彼珠師即	師 語 言 更 無 餘 人 誰 偷 此 珠 恃 彼 珠 師 即 
T85n2767_001:0313c08	閉門戶語比丘言。汝於今日好自堅持比丘	閉 門 戶 語 比 丘 言 汝 於 今 日 好 自 堅 持 比 丘 
T85n2767_001:0313c09	尋即四向顧望無可恃怙。如鹿入圍莫知所	尋 即 四 向 顧 望 無 可 恃 怙 如 鹿 入 圍 莫 知 所 
T85n2767_001:0313c10	趣比丘無救亦復如是。爾時比丘即自歛身	趣 比 丘 無 救 亦復如是 爾 時 比 丘 即 自 歛 身 
T85n2767_001:0313c11	端正衣服。彼人又復語比丘言。汝今將欲與	端 正 衣 服 彼 人 又 復 語 比 丘 言 汝 今 將 欲 與 
T85n2767_001:0313c12	我鬪耶。比丘答言。不共汝鬪。我自共彼結使。	我 鬪 耶 比 丘 答 言 不 共 汝 鬪 我 自 共 彼 結 使 
T85n2767_001:0313c13	賊鬪。所以爾者。恐於朾時身形現故。我等比	賊 鬪 所 以 爾 者 恐 於 朾 時 身 形 現 故 我 等 比 
T85n2767_001:0313c14	丘設使困苦臨終之時。猶尚以衣用自覆護	丘 設 使 困 苦 臨 終 之 時 猶 尚 以 衣 用 自 覆 護 
T85n2767_001:0313c15	不露形體。爾時珠師執縛。比丘而加朾棒。問	不 露 形 體 爾 時 珠 師 執 縛 比 丘 而 加 朾 棒 問 
T85n2767_001:0313c16	比丘言。珠在何處。還我珠來。比丘答言。我	比 丘 言 珠 在 何 處 還 我 珠 來 比 丘 答 言 我 
T85n2767_001:0313c17	不得珠。時穿珠師即便涕泣頂禮比丘而白	不 得 珠 時 穿 珠 師 即 便 涕 泣 頂 禮 比 丘 而 白 
T85n2767_001:0313c18	之言。賜我歡喜還與我珠。比丘答言。我實不	之 言 賜 我 歡 喜 還 與 我 珠 比 丘 答 言 我 實 不 
T85n2767_001:0313c19	取。時彼珠師復更瞋打比丘念言。生死受苦。	取 時 彼 珠 師 復 更 瞋 打 比 丘 念 言 生 死 受 苦 
T85n2767_001:0313c20	皆應如是。應當堅辭無犯戒律。若當毀戒受	皆 應 如 是 應 當 堅 辭 無 犯 戒 律 若 當 毀 戒 受 
T85n2767_001:0313c21	地獄罪。有過今苦即說偈言。我於過去世婬	地 獄 罪 有 過 今 苦 即 說 偈 言 我 於 過 去 世 婬 
T85n2767_001:0313c22	盜捨身命。羊鹿及六畜捨身不可計。為戒捨	盜 捨 身 命 羊 鹿 及 六 畜 捨 身 不 可 計 為 戒 捨 
T85n2767_001:0313c23	身命勝於毀禁生假欲自摧護會歸終當滅。	身 命 勝 於 毀 禁 生 假 欲 自 摧 護 會 歸 終 當 滅 
T85n2767_001:0313c24	不如為持戒。為他護身命捨此危脆身以求	不 如 為 持 戒 為 他 護 身 命 捨 此 危 脆 身 以 求 
T85n2767_001:0313c25	解脫命。時穿珠師涕泣懊惱而說偈言。我雖	解 脫 命 時 穿 珠 師 涕 泣 懊 惱 而 說 偈 言 我 雖 
T85n2767_001:0313c26	打撲汝極大生苦惱畏王青我珠復欲苦治汝	打 撲 汝 極 大 生 苦 惱 畏 王 青 我 珠 復 欲 苦 治 汝 
T85n2767_001:0313c27	今汝捨是苦亦使我離惡。汝是出家人應斷於	今 汝 捨 是 苦 亦 使 我 離 惡 汝 是 出 家 人 應 斷 於 
T85n2767_001:0313c28	貪欲宜捨貪愛心。還當與我珠。比丘微笑說	貪 欲 宜 捨 貪 愛 心 還 當 與 我 珠 比 丘 微 笑 說 
T85n2767_001:0313c29	偈答云。我著糞掃衣乞食以為業。住止於樹	偈 答 云 我 著 糞 掃 衣 乞 食 以 為 業 住 止 於 樹 
T85n2767_001:0314a01	下。以此我為足。於汝摩尼珠實無貪利心。以	下 以 此 我 為 足 於 汝 摩 尼 珠 實 無 貪 利 心 以 
T85n2767_001:0314a02	何因緣故乃當作偷賊。時穿珠師語比丘言。	何 因 緣 故 乃 當 作 偷 賊 時 穿 珠 師 語 比 丘 言 
T85n2767_001:0314a03	何用多語。遂加繫縛倍更撾打。以繩急絞耳	何 用 多 語 遂 加 繫 縛 倍 更 撾 打 以 繩 急 絞 耳 
T85n2767_001:0314a04	眼口鼻盡皆血出。時彼鵝者即來飲血。珠師	眼 口 鼻 盡 皆 血 出 時 彼 鵝 者 即 來 飲 血 珠 師 
T85n2767_001:0314a05	瞋忿打鵝即死。比丘問言。此鵝死活珠師答	瞋 忿 打 鵝 即 死 比 丘 問 言 此 鵝 死 活 珠 師 答 
T85n2767_001:0314a06	言。鵝今死活何足故問。時彼比丘即向鵝所	言 鵝 今 死 活 何 足 故 問 時 彼 比 丘 即 向 鵝 所 
T85n2767_001:0314a07	見鵝既死涕泣不樂。即說偈言。我受諸苦惱	見 鵝 既 死 涕 泣 不 樂 即 說 偈 言 我 受諸苦惱 
T85n2767_001:0314a08	望便此鵝活。今我命未絕。鵝在我前死。我望	望 便 此 鵝 活 今 我 命 未 絕 鵝 在 我 前 死 我 望 
T85n2767_001:0314a09	護汝命受是極奇苦何意。汝先死我果報不	護 汝 命 受 是 極 奇 苦 何 意 汝 先 死 我 果 報 不 
T85n2767_001:0314a10	成。時穿珠問比丘言。鵝今於汝竟有何親愁	成 時 穿 珠 問 比 丘 言 鵝 今 於 汝 竟 有 何 親 愁 
T85n2767_001:0314a11	惱乃爾。比丘答言。不滿我即說偈言。菩薩往	惱 乃 爾 比 丘 答 言 不 滿 我 即 說 偈 言 菩 薩 往 
T85n2767_001:0314a12	昔時。願所以不樂。捨身以貿鴿。我亦作是。	昔 時 願 所 以 不 樂 捨 身 以 貿 鴿 我 亦 作 是 
T85n2767_001:0314a13	意捨命欲代鴿。我得最勝心。欲令此鵝命由	意 捨 命 欲 代 鴿 我 得 最 勝 心 欲 令 此 鵝 命 由 
T85n2767_001:0314a14	汝殺鵝故心願不滿足。珠師問言。汝作是語	汝 殺 鵝 故 心 願 不 滿 足 珠 師 問 言 汝 作 是 語 
T85n2767_001:0314a15	我猶不解。汝當為我廣說所由。爾時比丘說	我 猶 不 解 汝 當 為 我 廣 說 所 由 爾 時 比 丘 說 
T85n2767_001:0314a16	偈答言。我著赤色衣映珠似肉色。此鵝謂是	偈 答 言 我 著 赤 色 衣 映 珠 似 肉 色 此 鵝 謂 是 
T85n2767_001:0314a17	肉。即便吞食之。我受是苦惱。為護彼鵝故。逼	肉 即 便 吞 食 之 我 受 是 苦 惱 為 護 彼 鵝 故 逼 
T85n2767_001:0314a18	切甚苦惱。望彼得令命。時彼珠師聞是偈已	切 甚 苦 惱 望 彼 得 令 命 時 彼 珠 師 聞 是 偈 已 
T85n2767_001:0314a19	即開鵝腹而還得珠。即舉聲哭語比丘言。汝	即 開 鵝 腹 而 還 得 珠 即 舉 聲 哭 語 比 丘 言 汝 
T85n2767_001:0314a20	護鵝命不惜於身。使武造此非法之事。時彼	護 鵝 命 不 惜 於 身 使 武 造 此 非 法 之 事 時 彼 
T85n2767_001:0314a21	珠師叉手合掌求乞歡喜以偈讚言。南無清	珠 師 叉 手 合 掌 求 乞 歡 喜 以 偈 讚 言 南 無 清 
T85n2767_001:0314a22	淨行。南無堅持戒。遭是極苦難不作毀缺行	淨 行 南 無 堅 持 戒 遭 是 極 苦 難 不 作 毀 缺 行 
T85n2767_001:0314a23	不遇。如是惡持戒非希有。要當值此苦能持	不 遇 如 是 惡 持 戒 非 希 有 要 當 值 此 苦 能 持 
T85n2767_001:0314a24	戒者難。時穿珠師既懺悔已即送比丘還歸。	戒 者 難 時 穿 珠 師 既 懺 悔 已 即 送 比 丘 還 歸 
T85n2767_001:0314a25	所止不求多聞者。謂於佛所說契經深義不	所 止 不 求 多 聞 者 謂 於 佛 所 說 契 經 深 義 不 
T85n2767_001:0314a26	能解了棄而不學。	能 解 了 棄 而 不 學 
T85n2767_001:0314a27	經。或復多聞至為魔伴黨　三恃己陵他增	經 或 復 多 聞 至 為 魔 伴 黨 三 恃 己 陵 他 增 
T85n2767_001:0314a28	上慢者。謂未得謂得未證謂證。依雜集論第	上 慢 者 謂 未 得 謂 得 未證謂證 依 雜 集 論 第 
T85n2767_001:0314a29	一卷說。慢者依止薩迦邪見心高舉為體。不	一 卷 說 慢 者 依 止 薩 迦 邪 見 心 高 舉 為 體 不 
T85n2767_001:0314b01	敬苦生所依為業。不敬者謂於師長及有德	敬 苦 生 所 依 為 業 不 敬 者 謂 於 師 長 及 有 德 
T85n2767_001:0314b02	所而生憍傲。苦生者謂生後有故。自是非他	所 而 生 憍 傲 苦 生 者 謂 生 後 有 故 自 是 非 他 
T85n2767_001:0314b03	者。智度論第一云。自法愛染故。毀訾他人	者 智 度 論 第 一 云 自 法 愛 染 故 毀 訾 他 人 
T85n2767_001:0314b04	法。雖持戒行人不脫地獄苦。又阿含云。雖復	法 雖 持 戒 行 人 不 脫 地 獄 苦 又 阿 含 云 雖 復 
T85n2767_001:0314b05	誦禪經口中刀劍出好揚他過惡死地獄疾闡	誦 禪 經 口 中 刀 劍 出 好 揚 他 過 惡 死 地 獄 疾 闡 
T85n2767_001:0314b06	提得成佛。斯人由未出嫌謗正法者。如法華	提 得 成 佛 斯 人 由 未 出 嫌 謗 正 法 者 如 法 華 
T85n2767_001:0314b07	經第二卷說。若人不信毀謗此經則斷一切	經 第 二 卷 說 若 人 不 信 毀 謗 此 經 則 斷 一 切 
T85n2767_001:0314b08	世間佛種。乃至下文告舍利弗謗斯經者。若	世 間 佛 種 乃 至 下 文 告 舍 利 弗 謗 斯 經 者 若 
T85n2767_001:0314b09	說其罪窮劫不盡廣說如彼大般若經說。佛	說 其 罪 窮 劫 不 盡 廣 說 如 彼 大 般 若 經 說 佛 
T85n2767_001:0314b10	告須菩提。若破般若波羅蜜多者。則破十方。	告 須 菩 提 若 破 般 若 波羅蜜多 者 則 破 十 方 
T85n2767_001:0314b11	諸佛一切智智。一切智智破故佛寶破。佛寶	諸 佛 一切智智 一切智智 破 故 佛 寶 破 佛 寶 
