T14n0451_001:0409a03	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0451_002:0417c10	「世尊！惟願慈悲，護念於我，我今為欲饒益	 世 尊 惟 願 慈 悲 護 念 於 我 我 今 為 欲 饒 益 
T14n0451_002:0417c11	未來男子、女人，持是經者，我更為說陀羅	未 來 男 子 女 人 持 是 經 者 我 更 為 說 陀 羅 
T14n0451_002:0417c12	尼呪。」時，彼七佛讚執金剛言：「善哉！善哉！執	尼 呪 時 彼 七 佛 讚 執 金 剛 言 善 哉 善 哉 執 
T14n0451_002:0417c13	金剛！我加護汝，可說神呪，為護未來持經	金 剛 我 加 護 汝 可 說 神 呪 為 護 未 來 持 經 
T14n0451_002:0417c14	之人，令無眾惱，所求滿足。」時，執金剛菩薩	之 人 令 無 眾 惱 所 求 滿 足 時 執 金 剛 菩 薩 
T14n0451_002:0417c15	即說呪曰：	即 說 呪 曰 
T14n0451_002:0417c16	「南麼馺多喃　三藐三佛陀喃　南麼薩婆跋	 南 麼 馺 多 喃 三藐三佛陀 喃 南 麼 薩 婆 跋 
T14n0451_002:0417c17	折囉達囉喃呾姪他　唵跋折曬　跋折曬	折 囉 達 囉 喃 呾 姪 他 唵 跋 折 曬 跋 折 曬 
T14n0451_002:0417c18	　莫訶跋折曬　跋折囉波捨　陀[口*賴]儞三	 莫 訶 跋 折 曬 跋 折 囉 波 捨 陀 [口賴] 儞 三 
T14n0451_002:0417c19	麼三麼　三曼[多*頁]　阿鉢[口*賴]底喝多　跋折曬	麼 三 麼 三 曼 [多頁] 阿鉢[口賴] 底 喝 多 跋 折 曬 
T14n0451_002:0417c20	　苫麼苫麼　鉢囉苫曼覩謎　薩婆毘阿	 苫 麼 苫 麼 鉢 囉 苫 曼 覩 謎 薩 婆 毘 阿 
T14n0451_002:0417c21	大也　矩嚕矩嚕　薩婆羯麼　阿伐[口*賴]拏	大 也 矩 嚕 矩 嚕 薩 婆 羯 麼 阿 伐 [口賴] 拏 
T14n0451_002:0417c22	儞叉也　三麼也末奴三末囉薄伽畔跋折囉	儞 叉 也 三 麼 也 末 奴 三 末 囉 薄 伽 畔 跋 折 囉 
T14n0451_002:0417c23	波儞薩婆舍謎鉢哩　脯[口*賴]也　莎訶	波 儞 薩 婆 舍 謎 鉢 哩 脯 [口賴] 也 莎 訶 
T14n0451_002:0417c24	「世尊！若復有人，持七佛名，憶念彼佛本願	 世 尊 若 復 有 人 持 七 佛 名 憶 念 彼 佛 本 願 
T14n0451_002:0417c25	功德，并持此呪，讀誦演說，我令彼人所願	功 德 并 持 此 呪 讀 誦 演 說 我 令 彼 人 所 願 
T14n0451_002:0417c26	滿足，無所乏少。若欲見我，問善惡者，應	滿 足 無 所 乏 少 若 欲 見 我 問 善 惡 者 應 
T14n0451_002:0417c27	當書寫此經，造七佛像，并執金剛菩薩像，	當 書 寫 此 經 造 七 佛 像 并 執 金 剛 菩 薩 像 
T14n0451_002:0417c28	皆於像身，安佛舍利，於此像前，如上所說，	皆 於 像 身 安 佛 舍 利 於 此 像 前 如上所說 
T14n0451_002:0417c29	種種供養，禮拜旋繞。於眾生處起慈悲心，	種種供養 禮 拜 旋 繞 於 眾 生 處 起 慈 悲 心 
T14n0451_002:0418a01	受八戒齋，日別三時，澡浴清淨，三時衣別，	受 八 戒 齋 日 別 三 時 澡 浴 清 淨 三 時 衣 別 
T14n0451_002:0418a02	從白月八日至十五日，每日誦呪一百八	從 白 月 八 日 至 十 五 日 每 日 誦 呪 一 百 八 
T14n0451_002:0418a03	遍，心無散亂。我於夢中即自現身，共為言	遍 心 無 散 亂 我 於 夢 中 即 自 現 身 共 為 言 
T14n0451_002:0418a04	說，隨所求者，皆令滿足。」時，大會中有諸菩	說 隨 所 求 者 皆 令 滿 足 時 大 會 中 有 諸 菩 
T14n0451_002:0418a05	薩，皆悉唱言：「善哉！善哉！執金剛！陀羅尼不	薩 皆 悉 唱 言 善 哉 善 哉 執 金 剛 陀 羅 尼 不 
T14n0451_002:0418a06	可思議，實為善說。」時，七如來作如是語：「我	可 思 議 實 為 善 說 時 七 如 來 作如是語 我 
T14n0451_002:0418a07	等護汝所說神呪，為欲饒益一切眾生，皆	等 護 汝 所 說 神 呪 為 欲 饒益一切 眾 生 皆 
T14n0451_002:0418a08	得安樂，所求願滿，不令此呪隱沒於世。」爾	得 安 樂 所 求 願 滿 不 令 此 呪 隱 沒 於 世 爾 
T14n0451_002:0418a09	時，七佛告諸菩薩、釋梵四天王曰：「我今以	時 七 佛 告 諸 菩 薩 釋 梵 四 天 王 曰 我 今 以 
T14n0451_002:0418a10	此神呪，付屬汝等，并此經卷，於未來世，後	此 神 呪 付 屬 汝 等 并 此 經 卷 於未來世 後 
T14n0451_002:0418a11	五百歲，法欲滅時，汝等皆應護持是經，此	五 百 歲 法 欲 滅 時 汝 等 皆 應 護 持 是 經 此 
T14n0451_002:0418a12	經威力、利益甚多，能除眾罪，善願皆遂。勿	經 威 力 利 益 甚 多 能 除 眾 罪 善 願 皆 遂 勿 
T14n0451_002:0418a13	於薄福眾生，誹謗正法、毀賢聖者，授與斯	於 薄 福 眾 生 誹謗正法 毀 賢 聖 者 授 與 斯 
T14n0451_002:0418a14	經，令法速滅。」爾時，東方七佛世尊，見此大	經 令 法 速 滅 爾 時 東 方 七 佛 世 尊 見 此 大 
T14n0451_002:0418a15	眾，所作已辦，機緣滿足，無復疑心，各還本土，	眾 所 作 已 辦 機 緣 滿 足 無 復 疑 心 各 還 本 土 
T14n0451_002:0418a16	於其座上，忽然不現。	於 其 座 上 忽 然 不 現 
T14n0451_002:0418a17	爾時，具壽阿難陀即從座起，禮佛雙足，右膝	爾 時 具 壽 阿 難 陀 即 從 座 起 禮 佛 雙 足 右 膝 
T14n0451_002:0418a18	著地，合掌恭敬，而白佛言：「世尊！當何名此	著 地 合掌恭敬 而 白 佛 言 世 尊 當 何 名 此 
T14n0451_002:0418a19	經？我等云何受持？」佛告阿難陀：「此經名為	經 我 等 云 何 受 持 佛 告 阿 難 陀 此 經 名 為 
T14n0451_002:0418a20	『七佛如來應正等覺本願功德殊勝莊嚴』，亦	 七 佛 如來應正等覺 本 願 功 德 殊 勝 莊 嚴 亦 
T14n0451_002:0418a21	名『曼殊室利所問』，亦名『藥師瑠璃光如來本	名 曼 殊 室 利 所 問 亦 名 藥 師 瑠 璃 光 如 來 本 
T14n0451_002:0418a22	願功德』，亦名『執金剛菩薩發願要期』，亦名『淨	願 功 德 亦 名 執 金 剛 菩 薩 發 願 要 期 亦 名 淨 
T14n0451_002:0418a23	除一切業障』，亦名『所有願求皆得圓滿』，亦名	除 一 切 業 障 亦 名 所 有 願 求 皆 得 圓 滿 亦 名 
T14n0451_002:0418a24	『十二大將發願護持』，如是名字，汝當奉持。」時，	 十 二 大 將 發 願 護 持 如 是 名 字 汝 當 奉 持 時 
T14n0451_002:0418a25	薄伽梵說是經已，諸大菩薩及聲聞眾，天、龍、	薄 伽 梵 說 是 經 已 諸 大 菩 薩 及 聲 聞 眾 天 龍 
T14n0451_002:0418a26	藥叉、健闥婆、阿蘇羅、揭路茶、緊那羅、莫呼洛伽，	藥 叉 健 闥 婆 阿 蘇 羅 揭 路 茶 緊 那 羅 莫呼洛伽 
T14n0451_002:0418a27	人、非人等，一切大眾，聞佛所說，皆大歡喜，信	人 非 人 等 一 切 大 眾 聞 佛 所 說 皆大歡喜 信 
T14n0451_002:0418a28	受奉行。	受 奉 行 
T14n0451_002:0418a29	藥師瑠璃光七佛本願經卷下	藥 師 瑠 璃 光 七 佛 本 願 經 卷 下 
