X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_001:0014b22	悟前段。如來密因義也。了無餘義者。謂耳根圓通。	悟 前 段 如 來 密 因 義 也 了 無 餘 義 者 謂 耳 根 圓 通 
X16n0308_001:0014b23	超二十四聖而獨妙。依此修證。則因該果海。果徹	超 二 十 四 聖 而 獨 妙 依 此 修 證 則 因 該 果 海 果 徹 
X16n0308_001:0014b24	因源。一修一切修。一證一切證。了無餘義可修可	因 源 一 修 一 切 修 一 證 一 切 證 了 無 餘 義 可 修 可 
X16n0308_001:0014c01	證。至下菩薩萬行。亦不過圓融中略示行布之義。	證 至 下 菩 薩 萬 行 亦 不 過 圓 融 中 略 示 行 布 之 義 
X16n0308_001:0014c02	經文義分兩段。首從四卷後半。請華屋之門。至六	經 文 義 分 兩 段 首 從 四 卷 後 半 請 華 屋 之 門 至 六 
X16n0308_001:0014c03	卷中十恒沙眾。皆得本心。遠塵離垢。獲法眼淨等。	卷 中 十 恒 沙 眾 皆 得 本 心 遠塵離垢 獲 法 眼 淨 等 
X16n0308_001:0014c04	為開示理觀。次從六卷後半請安立道場。至七卷	為 開 示 理 觀 次 從 六 卷 後 半 請 安 立 道 場 至 七 卷 
X16n0308_001:0014c05	中頂光說呪。顯示利益。兩眾願護等。為開示事儀。	中 頂 光 說 呪 顯 示 利 益 兩 眾 願 護 等 為 開 示 事 儀 
X16n0308_001:0014c06	總為令修三摩。四分中開示三摩成解分。義齊於	總 為 令 修 三 摩 四 分 中 開 示 三 摩 成 解 分 義 齊 於 
X16n0308_001:0014c07	此。三緣因助修。即諸菩薩萬行句也。菩薩略梵	此 三 緣 因 助 修 即 諸 菩 薩 萬 行 句 也 菩 薩 略 梵 
X16n0308_001:0014c08	語。具云菩提薩埵。此云覺有情。釋有三義。一約自	語 具 云 菩 提 薩 埵 此 云 覺 有 情 釋 有 三 義 一 約 自 
X16n0308_001:0014c09	利。謂覺雖分證。尚有情識故。二約利他。謂覺彼有	利 謂 覺 雖 分 證 尚 有 情 識 故 二 約 利 他 謂 覺 彼 有 
X16n0308_001:0014c10	情。令他同己故。三約兩利。謂上求大覺。下化有情	情 令 他 同 己 故 三 約 兩 利 謂 上 求 大 覺 下 化 有 情 
X16n0308_001:0014c11	故。對上如來。即是因人。乃如來道前之號。而言諸	故 對 上 如 來 即 是 因 人 乃 如 來 道 前 之 號 而 言 諸 
X16n0308_001:0014c12	者。通指禪那中分證諸聖。五十五位之數。歷位所	者 通 指 禪 那 中 分 證 諸 聖 五 十 五 位 之 數 歷 位 所 
X16n0308_001:0014c13	修。行應無量。如十信全根力而植佛種。十住生佛	修 行 應 無 量 如 十 信 全 根 力 而 植 佛 種 十 住 生 佛 
X16n0308_001:0014c14	家而成佛子。十行廣六度而行佛事。十迴向迴佛	家 而 成 佛 子 十 行 廣 六 度 而 行 佛 事 十 迴 向 迴 佛 
X16n0308_001:0014c15	事而向佛心。四加行泯心佛而滅數量。十地契真	事 而 向 佛 心 四 加 行 泯 心 佛 而 滅 數 量 十 地 契 真 
X16n0308_001:0014c16	如而覆涅槃。等覺齊佛際而破生相。一具一切。主	如 而 覆 涅 槃 等 覺 齊 佛 際 而 破 生 相 一 具 一 切 主 
X16n0308_001:0014c17	伴重重。緣起無礙。猶如帝網。今言萬明多。非局定	伴 重 重 緣 起 無 礙 猶 如 帝 網 今 言 萬 明 多 非 局 定 
X16n0308_001:0014c18	數也。準前釋了義云。一修一切修。一證一切證。了	數 也 準 前 釋 了 義 云 一 修 一 切 修 一 證 一 切 證 了 
X16n0308_001:0014c19	無餘義。可修可證。今又言萬行者。良以行布既不	無 餘 義 可 修 可 證 今 又 言 萬 行 者 良 以 行 布 既 不 
X16n0308_001:0014c20	礙於圓融。圓融又何嫌於行布。前為推重初心。解	礙 於 圓 融 圓 融 又 何 嫌 於 行 布 前 為 推 重 初 心 解 
X16n0308_001:0014c21	時即言證入。令知理由頓悟。此為對治狂慧。悟後	時 即 言 證 入 令 知 理 由 頓 悟 此 為 對 治 狂 慧 悟 後 
X16n0308_001:0014c22	仍分階差。令知事必漸修。但悟後之修。無勞肯綮。	仍 分 階 差 令 知 事 必 漸 修 但 悟 後 之 修 無 勞 肯 綮 
X16n0308_001:0014c23	如彼鵬飛萬里。培風於未徙之先。龍驟千江。奮力	如 彼 鵬 飛 萬 里 培 風 於 未 徙 之 先 龍 驟 千 江 奮 力 
X16n0308_001:0014c24	在將行之際。是知圓頓行人。功業惟在初心。乾慧	在 將 行 之 際 是 知 圓 頓 行 人 功 業 惟 在 初 心 乾 慧 
X16n0308_001:0015a01	以後。即屬任運流入。故後識陰文云。從互用中能	以 後 即 屬 任 運 流 入 故 後 識 陰 文 云 從 互 用 中 能 
X16n0308_001:0015a02	入菩薩金剛乾慧。於是乃超十信十住十行十迴	入 菩 薩 金 剛 乾 慧 於 是 乃 超 十 信 十 住 十 行 十 迴 
X16n0308_001:0015a03	向四加行十地等覺圓明入於如來妙莊嚴海。然	向 四 加 行 十 地 等 覺 圓 明 入 於 如 來 妙 莊 嚴 海 然 
X16n0308_001:0015a04	既曰超入。自非蟻山蠖樹可比。(蟻子登山。尺蠖上樹。皆用力難到者)	既 曰 超 入 自 非 蟻 山 蠖 樹 可 比 蟻 子 登 山 尺 蠖 上 樹 皆 用 力 難 到 者 
X16n0308_001:0015a05	經文自七卷後半。阿難請位。至八卷結示五名。中	經 文 自 七 卷 後 半 阿 難 請 位 至 八 卷 結 示 五 名 中 
X16n0308_001:0015a06	間歷談位行。皆為令修禪那。四分中開示禪那成	間 歷 談 位 行 皆 為 令 修 禪 那 四 分 中 開 示 禪 那 成 
X16n0308_001:0015a07	行分。義齊於此。四妙果究證。即首楞嚴三字也。	行 分 義 齊 於 此 四 妙 果 究 證 即 首 楞 嚴 三 字 也 
X16n0308_001:0015a08	梵語首楞嚴。涅槃經佛自釋云。首楞者。名一切事	梵 語 首 楞 嚴 涅 槃 經 佛 自 釋 云 首 楞 者 名 一 切 事 
X16n0308_001:0015a09	畢竟。嚴者名堅。一切畢竟而得堅固。名首楞嚴。古	畢 竟 嚴 者 名 堅 一 切 畢 竟 而 得 堅 固 名 首 楞 嚴 古 
X16n0308_001:0015a10	德依此。遂明其為徹法底源。不動不壞。據古德意。	德 依 此 遂 明 其 為 徹 法 底 源 不 動 不 壞 據 古 德 意 
X16n0308_001:0015a11	言一切事畢竟者。即是窮徹諸法根底本源。如法	言 一 切 事 畢 竟 者 即 是 窮 徹 諸 法 根 底 本 源 如 法 
X16n0308_001:0015a12	華究竟諸法實相之義。或有翻為健相三昧者。亦	華 究 竟 諸法實相 之 義 或 有 翻 為 健 相 三 昧 者 亦 
X16n0308_001:0015a13	以能究竟諸法實相故也。而得堅固者。謂事到畢	以 能 究 竟 諸法實相 故 也 而 得 堅 固 者 謂 事 到 畢 
X16n0308_001:0015a14	竟。即性常住。故即明其為不動不壞。以既能窮徹	竟 即 性 常 住 故 即 明 其 為 不 動 不 壞 以 既 能 窮 徹 
X16n0308_001:0015a15	諸法根底本源。法法無非實相。求於去來生滅了	諸 法 根 底 本 源 法 法 無 非 實 相 求 於 去 來 生 滅 了 
X16n0308_001:0015a16	不可得。有何動壞。如法華所謂世間相常住是也。	不 可 得 有 何 動 壞 如 法 華 所 謂 世 間 相 常 住 是 也 
X16n0308_001:0015a17	承上即是歷前諸位。修練治習。至斯乃窮徹諸法。	承 上 即 是 歷 前 諸 位 修 練 治 習 至 斯 乃 窮 徹 諸 法 
X16n0308_001:0015a18	根底本源。不動不壞。證一切智。而成常住果矣。若	根 底 本 源 不 動 不 壞 證 一 切 智 而 成 常 住 果 矣 若 
X16n0308_001:0015a19	以本經現文釋之。與上稍異。謂凡一切事畢竟堅	以 本 經 現 文 釋 之 與 上 稍 異 謂 凡 一 切 事 畢 竟 堅 
X16n0308_001:0015a20	固。即名首楞嚴。故古德亦有直翻為究竟堅固者。	固 即 名 首 楞 嚴 故 古 德 亦 有 直 翻 為 究 竟 堅 固 者 
X16n0308_001:0015a21	良以如來密因。久淪七趣。修證了義。動招五魔。菩	良 以 如 來 密 因 久 淪 七 趣 修 證 了 義 動 招 五 魔 菩 
X16n0308_001:0015a22	薩萬行。多緣理障。由是如來精研七趣。而明其原	薩 萬 行 多 緣 理 障 由 是 如 來 精 研 七 趣 而 明 其 原 
X16n0308_001:0015a23	無。詳辨五魔。而教以預識。重明五陰。而示以漸修。	無 詳 辨 五 魔 而 教 以 預 識 重 明 五 陰 而 示 以 漸 修 
X16n0308_001:0015a24	知此則七趣不淪。五魔不擾。理障不蔽。奢摩三摩	知 此 則 七 趣 不 淪 五 魔 不 擾 理 障 不 蔽 奢 摩 三 摩 
X16n0308_001:0015b01	禪那始終不壞。故直目之曰究竟堅固。所謂首楞	禪 那 始 終 不 壞 故 直 目 之 曰 究 竟 堅 固 所 謂 首 楞 
X16n0308_001:0015b02	嚴是也。是知首楞嚴義。通乎前之三分。以從前三	嚴 是 也 是 知 首 楞 嚴 義 通 乎 前 之 三 分 以 從 前 三 
X16n0308_001:0015b03	離障得名。故初卷中阿難所請者。乃妙奢摩他。三	離 障 得 名 故 初 卷 中 阿 難 所 請 者 乃 妙 奢 摩 他 三 
X16n0308_001:0015b04	摩禪那。而如來所許者。乃首楞嚴王。經文自八卷	摩 禪 那 而 如 來 所 許 者 乃 首 楞 嚴 王 經 文 自 八 卷 
X16n0308_001:0015b05	半請談七趣。至正宗分盡。無非令其成就乎此。四	半 請 談 七 趣 至 正 宗 分 盡 無 非 令 其 成 就 乎 此 四 
X16n0308_001:0015b06	分中當開示楞嚴成證分也。已上別出義相竟。	分 中 當 開 示 楞 嚴 成 證 分 也 已 上 別 出 義 相 竟 
X16n0308_001:0015b07	四結示詮體。即經之一字也。華梵名義。略見於藏	四 結 示 詮 體 即 經 之 一 字 也 華 梵 名 義 略 見 於 藏 
X16n0308_001:0015b08	乘分攝門中。雜心論出五義。一涌泉。義味無盡故。	乘 分 攝 門 中 雜 心 論 出 五 義 一 涌 泉 義 味 無 盡 故 
X16n0308_001:0015b09	二出生。出生諸法故。三顯示。顯示教理故。四繩墨。	二 出 生 出 生 諸 法 故 三 顯 示 顯 示 教 理 故 四 繩 墨 
X16n0308_001:0015b10	辨析邪正故。五結鬘。結成文相故。佛地論有二義。	辨 析 邪 正 故 五 結 鬘 結 成 文 相 故 佛 地 論 有 二 義 
X16n0308_001:0015b11	一貫穿。謂貫穿所說法義。二攝持。謂攝持所化眾	一 貫 穿 謂 貫 穿 所 說 法 義 二 攝 持 謂 攝 持 所 化 眾 
X16n0308_001:0015b12	生。此方訓釋有四義。一常。三世不易故。二法。十方	生 此 方 訓 釋 有 四 義 一 常 三 世 不 易 故 二 法 十 方 
X16n0308_001:0015b13	同遵故。昭明太子意也。三徑。修行徑路故。四典。攝	同 遵 故 昭 明 太 子 意 也 三 徑 修 行 徑 路 故 四 典 攝 
X16n0308_001:0015b14	生定典故。隱士劉虬意也。此屬能詮。以大佛頂等	生 定 典 故 隱 士 劉 虬 意 也 此 屬 能 詮 以 大 佛 頂 等 
X16n0308_001:0015b15	是所詮故。通收聲名句文。故為體也。已上正釋現	是 所 詮 故 通 收 聲 名 句 文 故 為 體 也 已 上 正 釋 現 
X16n0308_001:0015b16	題竟。三略備古法二。	題 竟 三 略 備 古 法 二 
X16n0308_001:0015b17	一立題法。謂諸經立題。人法喻單複具足。例有七	一 立 題 法 謂 諸 經 立 題 人 法 喻 單 複 具 足 例 有 七 
X16n0308_001:0015b18	種。一單人。如淨名。二單法。如涅槃。三單喻。如寶積。	種 一 單 人 如 淨 名 二 單 法 如 涅 槃 三 單 喻 如 寶 積 
X16n0308_001:0015b19	四法喻複。如妙法蓮華。五人法複。如勝天王般若。	四 法 喻 複 如 妙法蓮華 五 人 法 複 如 勝 天 王 般 若 
X16n0308_001:0015b20	六人喻複。如佛說梵網。七具足三。如大方廣佛華	六 人 喻 複 如 佛 說 梵 網 七 具 足 三 如 大 方 廣 佛 華 
X16n0308_001:0015b21	嚴。今例華嚴。謂佛頂亦可作喻。如來菩薩為人。餘	嚴 今 例 華 嚴 謂 佛 頂 亦 可 作 喻 如 來 菩 薩 為 人 餘 
X16n0308_001:0015b22	皆是法。然既法喻合明。足顯幽深。況是如來菩薩	皆 是 法 然 既 法 喻 合 明 足 顯 幽 深 況 是 如 來 菩 薩 
X16n0308_001:0015b23	境界。自非權小諸經可比。	境 界 自 非 權 小 諸 經 可 比 
X16n0308_001:0015b24	二釋題法。正脈云。古式有二。一作對釋。二離合釋。	二 釋 題 法 正 脈 云 古 式 有 二 一 作 對 釋 二 離 合 釋 
X16n0308_001:0015c01	今作對有五。一法喻對。謂大字是法。佛頂是喻。二	今 作 對 有 五 一 法 喻 對 謂 大 字 是 法 佛 頂 是 喻 二 
X16n0308_001:0015c02	體用對。謂大佛頂是體。如來密因等是用。以有生	體 用 對 謂 大 佛 頂 是 體 如 來 密 因 等 是 用 以 有 生 
X16n0308_001:0015c03	信發解成行致果等用故。三性修對。謂如來密因	信 發 解 成 行 致 果 等 用 故 三 性 修 對 謂 如 來 密 因 
X16n0308_001:0015c04	屬性。修證了義屬修。四因果對。謂萬行是因。楞嚴	屬 性 修 證 了 義 屬 修 四 因 果 對 謂 萬 行 是 因 楞 嚴 
X16n0308_001:0015c05	為果。亦動靜對。可知。五通別對。謂經是通題。以修	為 果 亦 動 靜 對 可 知 五 通 別 對 謂 經 是 通 題 以 修 
X16n0308_001:0015c06	多羅藏。皆名經故。上屬別題。以大佛頂等。非餘經	多 羅 藏 皆 名 經 故 上 屬 別 題 以 大 佛 頂 等 非 餘 經 
X16n0308_001:0015c07	故。又諸經通五人說。故名為通。大佛頂等。局在佛	故 又 諸 經 通 五 人 說 故 名 為 通 大 佛 頂 等 局 在 佛 
X16n0308_001:0015c08	說。故名為別。離合亦五。一大字是法。約理故勝。	說 故 名 為 別 離 合 亦 五 一 大 字 是 法 約 理 故 勝 
X16n0308_001:0015c09	佛頂是喻。約相故劣。佛頂上加之字。依主釋也。二	佛 頂 是 喻 約 相 故 劣 佛 頂 上 加 之 字 依 主 釋 也 二 
X16n0308_001:0015c10	如來密因屬性。修證了義屬修。兩別雙舉相違釋	如 來 密 因 屬 性 修 證 了 義 屬 修 兩 別 雙 舉 相 違 釋 
X16n0308_001:0015c11	也。下二句因果相違可知。三萬字是數。行字是體。	也 下 二 句 因 果 相 違 可 知 三 萬 字 是 數 行 字 是 體 
X16n0308_001:0015c12	萬下加即字。體挾數量帶數釋也。四經字是體。如	萬 下 加 即 字 體 挾 數 量 帶 數 釋 也 四 經 字 是 體 如 
X16n0308_001:0015c13	來密因等是用。經上加即字。體持業用持業釋也。	來 密 因 等 是 用 經 上 加 即 字 體 持 業 用 持 業 釋 也 
X16n0308_001:0015c14	五大佛頂等是經之所有。經上加非字。分取他名	五 大 佛 頂 等 是 經 之 所 有 經 上 加 非 字 分 取 他 名 
X16n0308_001:0015c15	有財釋也。隣近一釋。文不明顯。必欲作者。應云。大	有 財 釋 也 隣 近 一 釋 文 不 明 顯 必 欲 作 者 應 云 大 
X16n0308_001:0015c16	佛頂等是修多羅藏。故稱為經。即居近隣強隣近	佛 頂 等 是 修 多 羅 藏 故 稱 為 經 即 居 近 隣 強 隣 近 
X16n0308_001:0015c17	釋也。正脈云。此不廢古釋。略備參考。餘不悉。	釋 也 正 脈 云 此 不 廢 古 釋 略 備 參 考 餘 不 悉 
X16n0308_001:0015c18	四重申西名。謂此經。亦名中印土那爛陀大道場	四 重 申 西 名 謂 此 經 亦 名 中 印 土 那 爛 陀 大 道 場 
X16n0308_001:0015c19	經。於灌頂部錄出別行。釋曰此別行題目也。印土	經 於 灌 頂 部 錄 出 別 行 釋 曰 此 別 行 題 目 也 印 土 
X16n0308_001:0015c20	即是天竺。於下譯人中釋。那爛陀。此云施無厭。西	即 是 天 竺 於 下 譯 人 中 釋 那 爛 陀 此 云 施 無 厭 西 
X16n0308_001:0015c21	域記云。此伽藍南。菴沒羅林有池。其龍名那爛陀。	域 記 云 此 伽 藍 南 菴 沒 羅 林 有 池 其 龍 名 那 爛 陀 
X16n0308_001:0015c22	據此乃是以龍名池。依池名伽藍。以其近彼池故。	據 此 乃 是 以 龍 名 池 依 池 名 伽 藍 以 其 近 彼 池 故 
X16n0308_001:0015c23	佛滅度後。六帝緝興。園林紺宇。都建一門。主客萬	佛 滅 度 後 六 帝 緝 興 園 林 紺 宇 都 建 一 門 主 客 萬 
X16n0308_001:0015c24	僧。住持高俊。印土名藍。無過此者。故以大道場稱	僧 住 持 高 俊 印 土 名 藍 無 過 此 者 故 以 大 道 場 稱 
X16n0308_001:0016a01	之。經依道場。故即以道場名經。灌頂部者。彼經五	之 經 依 道 場 故 即 以 道 場 名 經 灌 頂 部 者 彼 經 五 
X16n0308_001:0016a02	部之一。此一部中。仍該多經。今此經者。乃於中錄	部 之 一 此 一 部 中 仍 該 多 經 今 此 經 者 乃 於 中 錄 
X16n0308_001:0016a03	出。各別行持。尤見其為至精至要法也。	出 各 別 行 持 尤 見 其 為 至 精 至 要 法 也 
X16n0308_001:0016a04	五附釋卷次。卷者。對舒而言。謂舒之以便誦持。卷	五 附 釋 卷 次 卷 者 對 舒 而 言 謂 舒 之 以 便 誦 持 卷 
X16n0308_001:0016a05	之以便供奉也。又古經書。多以軸為卷。今易制未	之 以 便 供 奉 也 又 古 經 書 多 以 軸 為 卷 今 易 制 未 
X16n0308_001:0016a06	易其名耳。第謂次第。一者數之始也。此經文有十	易 其 名 耳 第 謂 次 第 一 者 數 之 始 也 此 經 文 有 十 
X16n0308_001:0016a07	卷。以次第論。此卷為始。故云第一。(後卷次例知)經題竟。	卷 以 次 第 論 此 卷 為 始 故 云 第 一 後 卷 次 例 知 經 題 竟 
X16n0308_001:0016a08	二譯人四。一主譯人。二譯語人。三證譯人。四筆	二 譯 人 四 一 主 譯 人 二 譯 語 人 三 證 譯 人 四 筆 
X16n0308_001:0016a09	受人。初。	受 人 初 
X16n0308_001:0016a10	唐中天竺沙門般剌密諦譯	唐 中 天 竺 沙 門 般 剌 密 諦 譯 
X16n0308_001:0016a11	首言唐者。紀譯經時也。按譯經圖記。此經翻譯在	首 言 唐 者 紀 譯 經 時 也 按 譯 經 圖 記 此 經 翻 譯 在 
X16n0308_001:0016a12	則天罷政。中宗嗣位。神龍元年時故。中天竺。標譯	則 天 罷 政 中 宗 嗣 位 神 龍 元 年 時 故 中 天 竺 標 譯 
X16n0308_001:0016a13	人處也。灌頂云。天竺。或云乾竺乾豆身毒印度等。	人 處 也 灌 頂 云 天 竺 或 云 乾 竺 乾 豆 身 毒 印 度 等 
X16n0308_001:0016a14	皆梵音輕重耳。此云月邦。以其有聖賢繼軌。導凡	皆 梵 音 輕 重 耳 此 云 月 邦 以 其 有 聖 賢 繼 軌 導 凡 
