X57n0975_001:0509a06	 隨緣集敘	 隨 緣 集 敘 
X57n0975_001:0511c04	處。即大章不舉。宗旨深隱處。雖一字必詳。正欲雅俗	處 即 大 章 不 舉 宗 旨 深 隱 處 雖 一 字 必 詳 正 欲 雅 俗 
X57n0975_001:0511c05	共解。經義易明耳。冠之以科者。務在文言皆有位置	共 解 經 義 易 明 耳 冠 之 以 科 者 務 在 文 言 皆 有 位 置 
X57n0975_001:0511c06	血脉。前後貫通。不使貫花仍散漫無歸。佛語滯煩重	血 脉 前 後 貫 通 不 使 貫 花 仍 散 漫 無 歸 佛 語 滯 煩 重 
X57n0975_001:0511c07	之累而已。敢言斯解之異於先賢哉。	之 累 而 已 敢 言 斯 解 之 異 於 先 賢 哉 
X57n0975_001:0511c08	摘微總序	摘 微 總 序 
X57n0975_001:0511c09	大玉山人。自志學之年。遂與古人心迹語言。酬酢晤	大 玉 山 人 自 志 學 之 年 遂 與 古 人 心 迹 語 言 酬 酢 晤 
X57n0975_001:0511c10	對於爽然會心。處則挹其精。鉤深索隱處。則竊其妙。	對 於 爽 然 會 心 處 則 挹 其 精 鉤 深 索 隱 處 則 竊 其 妙 
X57n0975_001:0511c11	浩澣磅礡處。僅記其細。廣大難思處。姑掇其小。日積	浩 澣 磅 礡 處 僅 記 其 細 廣 大 難 思 處 姑 掇 其 小 日 積 
X57n0975_001:0511c12	月累。紙帙遂繁。群分類聚。得十冊。總目之曰摘微。行	月 累 紙 帙 遂 繁 群 分 類 聚 得 十 冊 總 目 之 曰 摘 微 行 
X57n0975_001:0511c13	住必俱。稽檢是賴。為良師友。與之終老而已。夫初中	住 必 俱 稽 檢 是 賴 為 良 師 友 與 之 終 老 而 已 夫 初 中 
X57n0975_001:0511c14	後善。純一無雜。青蓮出水。喻法微妙也。恢弘汲引。陶	後 善 純 一 無 雜 青 蓮 出 水 喻 法 微 妙 也 恢 弘 汲 引 陶 
X57n0975_001:0511c15	誘多方。剖判有致。則繡淡精微。法源道統。列聖攸傳。	誘 多 方 剖 判 有 致 則 繡 淡 精 微 法 源 道 統 列 聖 攸 傳 
X57n0975_001:0511c16	一綫不絕。則道心惟微。道格天人。則極廣大精微之	一 綫 不 絕 則 道 心 惟 微 道 格 天 人 則 極 廣 大 精 微 之 
X57n0975_001:0511c17	致。幽贊陰陽。則垂潔淨精微之書。微文小節。每見於	致 幽 贊 陰 陽 則 垂 潔 淨 精 微 之 書 微 文 小 節 每 見 於 
X57n0975_001:0511c18	童蒙曲禮。端本澄源。復存乎夫子微辭。洎乎子史百	童 蒙 曲 禮 端 本 澄 源 復 存 乎 夫 子 微 辭 洎 乎 子 史 百 
X57n0975_001:0511c19	家。心之妙會。發之于言。言之精微。錄之為文。故四種	家 心 之 妙 會 發 之 于 言 言 之 精 微 錄 之 為 文 故 四 種 
X57n0975_001:0511c20	心識。率以積聚精要者。謂之文心。凡是族也。何莫非	心 識 率 以 積 聚 精 要 者 謂 之 文 心 凡 是 族 也 何 莫 非 
X57n0975_001:0511c21	古人心迹所存。山人從而摘其精微焉。是摘也。又豈	古 人 心 迹 所 存 山 人 從 而 摘 其 精 微 焉 是 摘 也 又 豈 
X57n0975_001:0511c22	一時一處。所能遽集哉。或晤對于明窓淨几。或披覽	一 時 一 處 所 能 遽 集 哉 或 晤 對 于 明 窓 淨 几 或 披 覽 
X57n0975_001:0511c23	於鄴架揚牀。或揖讓於講壇論肆。或招邀於午夜寒	於 鄴 架 揚 牀 或 揖 讓 於 講 壇 論 肆 或 招 邀 於 午 夜 寒 
X57n0975_001:0511c24	燈。或適會於晨熹夕月。或邂逅於雪案螢光。風兩晦	燈 或 適 會 於 晨 熹 夕 月 或 邂 逅 於 雪 案 螢 光 風 兩 晦 
X57n0975_001:0512a01	冥。喜逢君子。樓高月白。快覩庾公。匡牀宛轉。識陶潛	冥 喜 逢 君 子 樓 高 月 白 快 覩 庾 公 匡 牀 宛 轉 識 陶 潛 
X57n0975_001:0512a02	之挽歌切己。高山遠矚。憶謝眺之句子驚人。雪滿山	之 挽 歌 切 己 高 山 遠 矚 憶 謝 眺 之 句 子 驚 人 雪 滿 山 
X57n0975_001:0512a03	中。偶閱士高之傳。月明林下。忽翻百美之圖。紆袈黎	中 偶 閱 士 高 之 傳 月 明 林 下 忽 翻 百 美 之 圖 紆 袈 黎 
X57n0975_001:0512a04	而臨堂殿。槃譚佛祖。潔爐茗以引縹緗。頓首聖賢。或	而 臨 堂 殿 槃 譚 佛 祖 潔 爐 茗 以 引 縹 緗 頓 首 聖 賢 或 
X57n0975_001:0512a05	傾葢而為知己。中心莫逆。或三接而始同臭味。寤寐	傾 葢 而 為 知 己 中 心 莫 逆 或 三 接 而 始 同 臭 味 寤 寐 
X57n0975_001:0512a06	勿諼。遇詰曲聱牙。而不屑世故者。命楮先生。略為慰	勿 諼 遇 詰 曲 聱 牙 而 不 屑 世 故 者 命 楮 先 生 略 為 慰 
X57n0975_001:0512a07	藉。值艱深苦刻。而不近人情者。囑中書軍。宛為淹留。	藉 值 艱 深 苦 刻 而 不 近 人 情 者 囑 中 書 軍 宛 為 淹 留 
X57n0975_001:0512a08	驟爾而逆。日賦萬言之彥。殊覺應接不暇。悠爾而伴。	驟 爾 而 逆 日 賦 萬 言 之 彥 殊 覺 應 接 不 暇 悠 爾 而 伴 
X57n0975_001:0512a09	三年十字之賓。不妨緩頰寒溫。來寒瘦輕俗之子。遇	三 年 十 字 之 賓 不 妨 緩 頰 寒 溫 來 寒 瘦 輕 俗 之 子 遇 
X57n0975_001:0512a10	之謹厚。交粗弱遲速之夫。贈以韋弦。大抵與古聖先	之 謹 厚 交 粗 弱 遲 速 之 夫 贈 以 韋 弦 大 抵 與 古 聖 先 
X57n0975_001:0512a11	王。溫文晉接。而遘爽然會心者。則挹其精微。迎鈎深	王 溫 文 晉 接 而 遘 爽 然 會 心 者 則 挹 其 精 微 迎 鈎 深 
X57n0975_001:0512a12	索隱者。則竊其微妙。比猶擇木者。必取豫章。採寶者	索 隱 者 則 竊 其 微 妙 比 猶 擇 木 者 必 取 豫 章 採 寶 者 
X57n0975_001:0512a13	必摭如意。若是者幾三十年所。而始摘成吾十冊之	必 摭 如 意 若 是 者 幾 三 十 年 所 而 始 摘 成 吾 十 冊 之 
X57n0975_001:0512a14	微也。書不云乎。心之精微。口不能言。言之微妙。書不	微 也 書 不 云 乎 心 之 精 微 口 不 能 言 言 之 微 妙 書 不 
X57n0975_001:0512a15	能文。昔人心迹。發於語言文字。已失本真矣。茲又從	能 文 昔 人 心 迹 發 於 語 言 文 字 已 失 本 真 矣 茲 又 從 
X57n0975_001:0512a16	而摘其緒餘。何能微哉。是大不然。法王內證。下地難	而 摘 其 緒 餘 何 能 微 哉 是 大 不 然 法 王 內 證 下 地 難 
X57n0975_001:0512a17	窺。而五十年中。因言悟入。妙契聖心者。已連家記莂	窺 而 五 十 年 中 因 言 悟 入 妙 契 聖 心 者 已 連 家 記 莂 
X57n0975_001:0512a18	矣。大法東漸。從書妙悟。如北齊讀三智一心中得。曹	矣 大 法 東 漸 從 書 妙 悟 如 北 齊 讀 三 智 一 心 中 得 曹 
X57n0975_001:0512a19	溪聞應無所住而生其心。嗣後代不乏。人傳燈不絕。	溪 聞 應 無 所 住 而 生 其 心 嗣 後 代 不 乏 人 傳 燈 不 絕 
X57n0975_001:0512a20	靡不因語言文字。冥契精微奧妙。世人又何多疑焉。	靡 不 因 語 言 文 字 冥 契 精 微 奧 妙 世 人 又 何 多 疑 焉 
X57n0975_001:0512a21	第余之所取。不敢當精微之目逝。將語其下者。曰摘	第 余 之 所 取 不 敢 當 精 微 之 目 逝 將 語 其 下 者 曰 摘 
X57n0975_001:0512a22	其微小微細之一端而已也。童蒙時。習讀經書章句。	其 微 小 微 細 之 一 端 而 已 也 童 蒙 時 習 讀 經 書 章 句 
X57n0975_001:0512a23	但記其篇目梗槩。便于一時背誦。所謂遺其大者遠	但 記 其 篇 目 梗 槩 便 于 一 時 背 誦 所 謂 遺 其 大 者 遠 
X57n0975_001:0512a24	者焉。及弁髦。六藉而甘心內典。以向之句讀。小心而	者 焉 及 弁 髦 六 藉 而 甘 心 內 典 以 向 之 句 讀 小 心 而 
X57n0975_001:0512b01	臨於佛法大海。汪洋浩澣。廣大無涯。如太末蟲之緣	臨 於 佛 法 大 海 汪 洋 浩 澣 廣 大 無 涯 如 太 末 蟲 之 緣 
X57n0975_001:0512b02	火燄。渺難湊泊。秋水神之覩海。若罔測端倪。而無可	火 燄 渺 難 湊 泊 秋 水 神 之 覩 海 若 罔 測 端 倪 而 無 可 
X57n0975_001:0512b03	如何也。第於浩博處。記其細節。廣大處掇其微小。意	如 何 也 第 於 浩 博 處 記 其 細 節 廣 大 處 掇 其 微 小 意 
X57n0975_001:0512b04	在即微小以稽廣大。就細節以檢浩繁。不外寸紙。而	在 即 微 小 以 稽 廣 大 就 細 節 以 檢 浩 繁 不 外 寸 紙 而 
X57n0975_001:0512b05	能尋無邊法海。究萬象森羅。是又摘微小補之一端	能 尋 無 邊 法 海 究 萬 象 森 羅 是 又 摘 微 小 補 之 一 端 
X57n0975_001:0512b06	也。間多暗記默識。秪堪自怡衰老。為良師益友。不可	也 間 多 暗 記 默 識 秪 堪 自 怡 衰 老 為 良 師 益 友 不 可 
X57n0975_001:0512b07	持贈他人也。葢移之他。目罕不眩。然不瞚鄙其無謂。	持 贈 他 人 也 葢 移 之 他 目 罕 不 眩 然 不 瞚 鄙 其 無 謂 
X57n0975_001:0512b08	而大笑之矣。且吾儕處世。端在完前生債。讀來世書。	而 大 笑 之 矣 且 吾 儕 處 世 端 在 完 前 生 債 讀 來 世 書 
X57n0975_001:0512b09	後倘有覽斯文。而冥然神會。如暗識金環者。或是山	後 倘 有 覽 斯 文 而 冥 然 神 會 如 暗 識 金 環 者 或 是 山 
X57n0975_001:0512b10	人之後身不可知也。	人 之 後 身 不 可 知 也 
X57n0975_001:0512b11	摘記五經章意序	摘 記 五 經 章 意 序 
X57n0975_001:0512b12	繹教之餘。繙閱六經。唯毛詩幼時習熟。餘經不能盡	繹 教 之 餘 繙 閱 六 經 唯 毛 詩 幼 時 習 熟 餘 經 不 能 盡 
X57n0975_001:0512b13	讀。且不欲盡讀。間有所會。輒記其大章關節。摘其微	讀 且 不 欲 盡 讀 間 有 所 會 輒 記 其 大 章 關 節 摘 其 微 
X57n0975_001:0512b14	辭要意而出之。葢自便於尋討。冀有裨夫教觀云爾。	辭 要 意 而 出 之 葢 自 便 於 尋 討 冀 有 裨 夫 教 觀 云 爾 
X57n0975_001:0512b15	或謂六經為聖學之宗。學者皆當熟誦全文。方閑宗	或 謂 六 經 為 聖 學 之 宗 學 者 皆 當 熟 誦 全 文 方 閑 宗 
X57n0975_001:0512b16	旨。則不可摘而記。出世雖以教助觀。要須一空文字。	旨 則 不 可 摘 而 記 出 世 雖 以 教 助 觀 要 須 一 空 文 字 
X57n0975_001:0512b17	方露真心。則不必摘而記。然則此記何以哉。余曰。誠	方 露 真 心 則 不 必 摘 而 記 然 則 此 記 何 以 哉 余 曰 誠 
X57n0975_001:0512b18	然哉。然更有所以也。竊觀六經之御世。一一皆具正	然 哉 然 更 有 所 以 也 竊 觀 六 經 之 御 世 一 一 皆 具 正 
X57n0975_001:0512b19	心養性齊家治國之道。皆能究竟學者身心。直躋聖	心 養 性 齊 家 治 國 之 道 皆 能 究 竟 學 者 身 心 直 躋 聖 
X57n0975_001:0512b20	賢之域。非此經。性理未全。更俟他經。方得了義也。以	賢 之 域 非 此 經 性 理 未 全 更 俟 他 經 方 得 了 義 也 以 
X57n0975_001:0512b21	故學人於一經得意。餘第旁通。似亦可已。且秦火後。	故 學 人 於 一 經 得 意 餘 第 旁 通 似 亦 可 已 且 秦 火 後 
X57n0975_001:0512b22	魯壁古文出。六經之興。莫盛於西漢。然當時六經博	魯 壁 古 文 出 六 經 之 興 莫 盛 於 西 漢 然 當 時 六 經 博 
X57n0975_001:0512b23	士。各以一竇。自多學士不能獨擅一經。國朝取士。亦	士 各 以 一 竇 自 多 學 士 不 能 獨 擅 一 經 國 朝 取 士 亦 
X57n0975_001:0512b24	未甞求備六藝。葢以一經之旨易工。而眾妙之門難	未 甞 求 備 六 藝 葢 以 一 經 之 旨 易 工 而 眾 妙 之 門 難 
X57n0975_001:0512c01	兼也。我何人斯又能閑熟六藝。以求全儒林之宗旨	兼 也 我 何 人 斯 又 能 閑 熟 六 藝 以 求 全 儒 林 之 宗 旨 
X57n0975_001:0512c02	哉。第古人讀書。有會必書。示有所得。而志不忘也。此	哉 第 古 人 讀 書 有 會 必 書 示 有 所 得 而 志 不 忘 也 此 
X57n0975_001:0512c03	予五經章意之所以摘而記。且將有以助明吾之教	予 五 經 章 意 之 所 以 摘 而 記 且 將 有 以 助 明 吾 之 教 
X57n0975_001:0512c04	觀焉。何者。如云無不敬。儼若思。安定辭。無體之禮。無	觀 焉 何 者 如 云 無 不 敬 儼 若 思 安 定 辭 無 體 之 禮 無 
X57n0975_001:0512c05	聲之樂。撥亂反正。端本澄源。誅覇意。正人心。建中建	聲 之 樂 撥 亂 反 正 端 本 澄 源 誅 覇 意 正 人 心 建 中 建 
X57n0975_001:0512c06	極。咸有一德。思無邪。無然畔援。無然歆羨。誕先登于	極 咸 有 一 德 思 無 邪 無 然 畔 援 無 然 歆 羨 誕 先 登 于 
X57n0975_001:0512c07	岸。何思也。何慮也。寂然不動。感而遂通天下之故。凡	岸 何 思 也 何 慮 也 寂 然 不 動 感 而 遂 通 天 下 之 故 凡 
X57n0975_001:0512c08	是族也。引而伸之。何非誠三業。排邪立正。杜妄緣以	是 族 也 引 而 伸 之 何 非 誠 三 業 排 邪 立 正 杜 妄 緣 以 
X57n0975_001:0512c09	標宗歸極。從深禪以豁露唯心之妙慧乎。葢世教雖	標 宗 歸 極 從 深 禪 以 豁 露 唯 心 之 妙 慧 乎 葢 世 教 雖 
X57n0975_001:0512c10	淺。會以圓心。即淺而深。法華云。治世語言。皆順正法。	淺 會 以 圓 心 即 淺 而 深 法 華 云 治 世 語 言 皆 順 正 法 
X57n0975_001:0512c11	淨名云。文門即解脫。故知六藝亦有以助明夫教觀	淨 名 云 文 門 即 解 脫 故 知 六 藝 亦 有 以 助 明 夫 教 觀 
X57n0975_001:0512c12	也。疇謂世教之必礙至道乎哉。必謂二教相悖者。梁	也 疇 謂 世 教 之 必 礙 至 道 乎 哉 必 謂 二 教 相 悖 者 梁 
X57n0975_001:0512c13	肅陳瓘馬圩楊傑輩。皆歸向佛乘。游心禪觀矣。何不	肅 陳 瓘 馬 圩 楊 傑 輩 皆 歸 向 佛 乘 游 心 禪 觀 矣 何 不 
X57n0975_001:0512c14	礙其為匡君輔世之忠臣偉儒耶。必謂二教相悖者。	礙 其 為 匡 君 輔 世 之 忠 臣 偉 儒 耶 必 謂 二 教 相 悖 者 
X57n0975_001:0512c15	遠公以詩義。授周續之雷次宗矣。有朋法師。開胸中	遠 公 以 詩 義 授 周 續 之 雷 次 宗 矣 有 朋 法 師 開 胸 中 
X57n0975_001:0512c16	六經堂。以接士大夫矣。何不礙其往生。及為教觀之	六 經 堂 以 接 士 大 夫 矣 何 不 礙 其 往 生 及 為 教 觀 之 
X57n0975_001:0512c17	宗匠□耶。張無盡曰。唯吾學佛。然後知儒。四明謂弟	宗 匠 耶 張 無 盡 曰 唯 吾 學 佛 然 後 知 儒 四 明 謂 弟 
X57n0975_001:0512c18	子曰。教觀之暇。當閑習六經。以接士大夫。庶於世無	子 曰 教 觀 之 暇 當 閑 習 六 經 以 接 士 大 夫 庶 於 世 無 
X57n0975_001:0512c19	壅礙耳。曾謂六經之反有悖哉。然則六經之摘記有	壅 礙 耳 曾 謂 六 經 之 反 有 悖 哉 然 則 六 經 之 摘 記 有 
X57n0975_001:0512c20	以夫。或曰。六藝既不悖於至道矣。寧復礙夫習熟哉。	以 夫 或 曰 六 藝 既 不 悖 於 至 道 矣 寧 復 礙 夫 習 熟 哉 
X57n0975_001:0512c21	何乃沾沾以章節是記不己隘乎。葢律文既許比丘	何 乃 沾 沾 以 章 節 是 記 不 己 隘 乎 葢 律 文 既 許 比 丘 
X57n0975_001:0512c22	日以二時習學世典。所以綏外人而內閑正法。復禁	日 以 二 時 習 學 世 典 所 以 綏 外 人 而 內 閑 正 法 復 禁 
X57n0975_001:0512c23	夫著意求工者。故余於六藝不能盡讀。且不欲盡讀。	夫 著 意 求 工 者 故 余 於 六 藝 不 能 盡 讀 且 不 欲 盡 讀 
X57n0975_001:0512c24	而姑摘記其章意者。庶幾閑衛正法。以有裨夫教觀	而 姑 摘 記 其 章 意 者 庶 幾 閑 衛 正 法 以 有 裨 夫 教 觀 
X57n0975_001:0513a01	之微意也。甲辰蜡月乙巳立春日序。	之 微 意 也 甲 辰 蜡 月 乙 巳 立 春 日 序 
X57n0975_001:0513a02	藥師直解敘	藥 師 直 解 敘 
X57n0975_001:0513a03	東漸聖教。每多註疏。如金剛楞嚴。動輒百十。而藥師	東 漸 聖 教 每 多 註 疏 如 金 剛 楞 嚴 動 輒 百 十 而 藥 師 
X57n0975_001:0513a04	無解。何哉。古人意謂。秦燔經而經存。漢窮經而經亡。	無 解 何 哉 古 人 意 謂 秦 燔 經 而 經 存 漢 窮 經 而 經 亡 
X57n0975_001:0513a05	牽於曲士蔓說耳。此經起盡。只一三法。如日月在天。	牽 於 曲 士 蔓 說 耳 此 經 起 盡 只 一 三 法 如 日 月 在 天 
X57n0975_001:0513a06	有目皆見。直捷顯了。無事解釋也。余既解矣。而云直	有 目 皆 見 直 捷 顯 了 無 事 解 釋 也 余 既 解 矣 而 云 直 
X57n0975_001:0513a07	者。不曲之謂也。曲引勉證。句貼字訓。而正義反晦不	者 不 曲 之 謂 也 曲 引 勉 證 句 貼 字 訓 而 正 義 反 晦 不 
X57n0975_001:0513a08	直矣。汎扯成文。播弄講口。而三德全庋不直矣。茲惟	直 矣 汎 扯 成 文 播 弄 講 口 而 三 德 全 庋 不 直 矣 茲 惟 
X57n0975_001:0513a09	隨經直示。體宗用法。為眾生之三因。即果人之三德。	隨 經 直 示 體 宗 用 法 為 眾 生 之 三 因 即 果 人 之 三 德 
X57n0975_001:0513a10	俾造修者可依之開解。可憑之起行。如日光明。照見	俾 造 修 者 可 依 之 開 解 可 憑 之 起 行 如 日 光 明 照 見 
X57n0975_001:0513a11	種種色而已。不敢曲注蔓解。以粖聖經者。亦解即無	種 種 色 而 已 不 敢 曲 注 蔓 解 以 粖 聖 經 者 亦 解 即 無 
X57n0975_001:0513a12	解。仰體古人無事解釋之意也。	解 仰 體 古 人 無 事 解 釋 之 意 也 
X57n0975_001:0513a13	梧桐月記	梧 桐 月 記 
X57n0975_001:0513a14	梧桐月記。記梧桐月也。所以志夫心之攸適。而無諼	梧 桐 月 記 記 梧 桐 月 也 所 以 志 夫 心 之 攸 適 而 無 諼 
X57n0975_001:0513a15	也。夫梧桐之生幹修挺。而葉婆娑。幽致實繁。陰穠秀	也 夫 梧 桐 之 生 幹 修 挺 而 葉 婆 娑 幽 致 實 繁 陰 穠 秀 
X57n0975_001:0513a16	美。菶菶蔞蔞。不謝陶弘景。松柏滿山。凉颸映砌。送綠	美 菶 菶 蔞 蔞 不 謝 陶 弘 景 松 柏 滿 山 凉 颸 映 砌 送 綠 
X57n0975_001:0513a17	分青。象元亮北窓。悠然羲皇上人矣。逮皎月回顛。微	分 青 象 元 亮 北 窓 悠 然 羲 皇 上 人 矣 逮 皎 月 回 顛 微 
X57n0975_001:0513a18	風仳影。參差錯落。委曲玲瓏。肖百千片。碎玉精金。流	風 仳 影 參 差 錯 落 委 曲 玲 瓏 肖 百 千 片 碎 玉 精 金 流 
X57n0975_001:0513a19	光逗城。又如走盤照乘。亂擲衣裾。而光怪活潑。令人	光 逗 城 又 如 走 盤 照 乘 亂 擲 衣 裾 而 光 怪 活 潑 令 人 
X57n0975_001:0513a20	把捉不定。佳趣聯翩。殆莫可以言語殫述也。逮夫席	把 捉 不 定 佳 趣 聯 翩 殆 莫 可 以 言 語 殫 述 也 逮 夫 席 
X57n0975_001:0513a21	草就影。不憚屢遷。晤對久如。而身世欲空。習習兩腋。	草 就 影 不 憚 屢 遷 晤 對 久 如 而 身 世 欲 空 習 習 兩 腋 
X57n0975_001:0513a22	宛在清涼涘也。既而天風聿駛。樹抄驚濤。若碎鴻門	宛 在 清 涼 涘 也 既 而 天 風 聿 駛 樹 抄 驚 濤 若 碎 鴻 門 
X57n0975_001:0513a23	之玉斗。撒石季倫。買姬十斛。復肖春潮帶雨。晚雷轟。	之 玉 斗 撒 石 季 倫 買 姬 十 斛 復 肖 春 潮 帶 雨 晚 雷 轟 
X57n0975_001:0513a24	被襟當之。不覺長笑失聲。如金色頭陀瞰須彌大地。	被 襟 當 之 不 覺 長 笑 失 聲 如 金 色 頭 陀 瞰 須 彌 大 地 
