X67n1304_001:0322c06	 虗堂錄序	 虗 堂 錄 序 
X67n1304_001:0325a18	實未明了。伏望和尚慈悲指示。頭曰。恁麼也不得。不	實 未 明 了 伏 望 和 尚 慈 悲 指 示 頭 曰 恁 麼 也 不 得 不 
X67n1304_001:0325a19	恁麼也不得。恁麼不恁麼總不得。子作麼生。師罔措。	恁 麼 也 不 得 恁 麼 不 恁 麼 總 不 得 子 作 麼 生 師 罔 措 
X67n1304_001:0325a20	頭曰。子因緣不在此。且往馬大師處去。師稟命恭禮	頭 曰 子 因 緣 不 在 此 且 往 馬 大 師 處 去 師 稟 命 恭 禮 
X67n1304_001:0325a21	馬祖仍伸前問。祖曰。我有時教伊揚眉瞬目。有時不	馬 祖 仍 伸 前 問 祖 曰 我 有 時 教 伊 揚 眉 瞬 目 有 時 不 
X67n1304_001:0325a22	教伊揚眉瞬目。有時揚眉瞬目者是。有時揚眉瞬目	教 伊 揚 眉 瞬 目 有 時 揚 眉 瞬 目 者 是 有 時 揚 眉 瞬 目 
X67n1304_001:0325a23	者不是。子作麼生。師於言下契悟。便禮拜。祖曰你見	者 不 是 子 作 麼 生 師 於 言 下 契 悟 便 禮 拜 祖 曰 你 見 
X67n1304_001:0325a24	甚麼道理便禮拜。師曰某在石頭處如蚊子上鐵牛。	甚 麼 道 理 便 禮 拜 師 曰 某 在 石 頭 處 如 蚊 子 上 鐵 牛 
X67n1304_001:0325b01	祖曰。汝既如是。善自護持。侍奉三年。一日祖問。子近	祖 曰 汝 既 如 是 善 自 護 持 侍 奉 三 年 一 日 祖 問 子 近 
X67n1304_001:0325b02	日見處作麼生。師曰皮膚脫落盡破有一真實。祖曰。	日 見 處 作 麼 生 師 曰 皮 膚 脫 落 盡 破 有 一 真 實 祖 曰 
X67n1304_001:0325b03	子之所得。可謂恊於心體。布於四肢。既然如是。將三	子 之 所 得 可 謂 恊 於 心 體 布 於 四 肢 既 然 如 是 將 三 
X67n1304_001:0325b04	條篾束取肚皮住山去。師曰某甲又是何人敢言住	條 篾 束 取 肚 皮 住 山 去 師 曰 某 甲 又 是 何 人 敢 言 住 
X67n1304_001:0325b05	山。祖曰。不然。未有常行而不住。常住而不行。欲益無	山 祖 曰 不 然 未 有 常 行 而 不 住 常 住 而 不 行 欲 益 無 
X67n1304_001:0325b06	所益。欲為無所為。宜作舟航。無住於此。師乃辭祖却	所 益 欲 為 無 所 為 宜 作 舟 航 無 住 於 此 師 乃 辭 祖 却 
X67n1304_001:0325b07	返石頭。一日在石上坐次。石頭問曰在這裏作甚麼。	返 石 頭 一 日 在 石 上 坐 次 石 頭 問 曰 在 這 裏 作 甚 麼 
X67n1304_001:0325b08	林泉道。有甚不知。有甚不見。何必重重曲垂方便。山	林 泉 道 有 甚 不 知 有 甚 不 見 何 必 重 重 曲 垂 方 便 山 
X67n1304_001:0325b09	云。一物不為。已是堆山積嶽。塞壑填溝。頭曰恁麼閑	云 一 物 不 為 已 是 堆 山 積 嶽 塞 壑 填 溝 頭 曰 恁 麼 閑 
X67n1304_001:0325b10	坐也。再三撈摝盡力提携。山云若閑坐即為也。靈利	坐 也 再 三 撈 摝 盡 力 提 携 山 云 若 閑 坐 即 為 也 靈 利 
X67n1304_001:0325b11	衲僧一撥便轉。頭曰。汝道不為。不為箇甚麼。端的為	衲 僧 一 撥 便 轉 頭 曰 汝 道 不 為 不 為 箇 甚 麼 端 的 為 
X67n1304_001:0325b12	人為徹。殺人見血。山云千聖亦不識。到此之際任誰	人 為 徹 殺 人 見 血 山 云 千 聖 亦 不 識 到 此 之 際 任 誰 
X67n1304_001:0325b13	索。許具金剛眼。怎不教石頭滿口贊伊道。從來共住	索 許 具 金 剛 眼 怎 不 教 石 頭 滿 口 贊 伊 道 從 來 共 住 
X67n1304_001:0325b14	不知名。任運相將只麼行。想這沒面孔漢不近人情。	不 知 名 任 運 相 將 只 麼 行 想 這 沒 面 孔 漢 不 近 人 情 
X67n1304_001:0325b15	自古上賢猶不識。造次凡流豈可明。據此父子緣熟	自 古 上 賢 猶 不 識 造 次 凡 流 豈 可 明 據 此 父 子 緣 熟 
X67n1304_001:0325b16	師資道契。折麼是誰看他不破。還知丹霞冷眼傍觀	師 資 道 契 折 麼 是 誰 看 他 不 破 還 知 丹 霞 冷 眼 傍 觀 
X67n1304_001:0325b17	處麼。頌曰。	處 麼 頌 曰 
X67n1304_001:0325b18	玄微及盡本翛然(果有這箇在)。若為渠閑萬八千(當機不讓)。	玄 微 及 盡 本 翛 然 果 有 這 箇 在 若 為 渠 閑 萬 八 千 當 機 不 讓 
X67n1304_001:0325b19	月印澄江魚不見(可惜蹉過)。釣人何必更拋筌(枉勞心力)。	月 印 澄 江 魚 不 見 可 惜 蹉 過 釣 人 何 必 更 拋 筌 枉 勞 心 力 
X67n1304_001:0325b20	師云。了了了時無可了。玄玄玄處亦須呵。秦跋陀禪	師 云 了 了 了 時 無 可 了 玄 玄 玄 處 亦 須 呵 秦 跋 陀 禪 
X67n1304_001:0325b21	師問生法師講何經論。云大般若經。師曰作麼生說	師 問 生 法 師 講 何 經 論 云 大 般 若 經 師 曰 作 麼 生 說 
X67n1304_001:0325b22	色空義。云眾微聚。曰色眾微無自性曰空。師曰眾微	色 空 義 云 眾 微 聚 曰 色 眾 微 無 自 性 曰 空 師 曰 眾 微 
X67n1304_001:0325b23	未聚時作甚麼。生罔措。師又問別講何經論。云大涅	未 聚 時 作 甚 麼 生 罔 措 師 又 問 別 講 何 經 論 云 大 涅 
X67n1304_001:0325b24	盤經。師曰如何說涅盤之義。云。涅而不生。盤而不滅。	盤 經 師 曰 如 何 說 涅 盤 之 義 云 涅 而 不 生 盤 而 不 滅 
X67n1304_001:0325c01	不生不滅故曰涅盤。師曰這箇是如來涅盤。那箇是	不生不滅 故 曰 涅 盤 師 曰 這 箇 是 如 來 涅 盤 那 箇 是 
X67n1304_001:0325c02	法師涅盤。云。涅盤之義豈有二耶。某甲只如此。未審	法 師 涅 盤 云 涅 盤 之 義 豈 有 二 耶 某 甲 只 如 此 未 審 
X67n1304_001:0325c03	禪師如何說涅盤。師拈起如意曰還見麼。云見。師曰	禪 師 如 何 說 涅 盤 師 拈 起 如 意 曰 還 見 麼 云 見 師 曰 
X67n1304_001:0325c04	見箇甚麼。云見禪師手中如意。師將如意擲于地曰	見 箇 甚 麼 云 見 禪 師 手 中 如 意 師 將 如 意 擲 于 地 曰 
X67n1304_001:0325c05	見麼。云見。曰見箇甚麼。云見禪師手中如意墮地。師	見 麼 云 見 曰 見 箇 甚 麼 云 見 禪 師 手 中 如 意 墮 地 師 
X67n1304_001:0325c06	斥曰。觀公見解。未出常流。何得名喧宇宙。拂袖而去。	斥 曰 觀 公 見 解 未 出 常 流 何 得 名 喧 宇 宙 拂 袖 而 去 
X67n1304_001:0325c07	其徒懷疑不已。乃追師扣問。我師說色空涅盤不契。	其 徒 懷 疑 不 已 乃 追 師 扣 問 我 師 說 色 空 涅 盤 不 契 
X67n1304_001:0325c08	未審禪師如何說色空義。曰不道汝師說得不是。汝	未 審 禪 師 如 何 說 色 空 義 曰 不 道 汝 師 說 得 不 是 汝 
X67n1304_001:0325c09	師只說得果上色空。不會說得因中色空。其徒云。如	師 只 說 得 果 上 色 空 不 會 說 得 因 中 色 空 其 徒 云 如 
X67n1304_001:0325c10	何是因中色空。曰。一微空故眾微空。眾微空故一微	何 是 因 中 色 空 曰 一 微 空 故 眾 微 空 眾 微 空 故 一 微 
X67n1304_001:0325c11	空。一微空中無眾微。眾微空中無一微。林泉道。直饒	空 一 微 空 中 無 眾 微 眾 微 空 中 無 一 微 林 泉 道 直 饒 
X67n1304_001:0325c12	及盡今時。未免狼藉徧地。雖本倐然。坐著即不可。此	及 盡 今 時 未 免 狼 藉 徧 地 雖 本 倐 然 坐 著 即 不 可 此 
X67n1304_001:0325c13	豈非相隔萬八千也。月印澄江魚全不見。釣人何必	豈 非 相 隔 萬 八 千 也 月 印 澄 江 魚 全 不 見 釣 人 何 必 
X67n1304_001:0325c14	更欲拋筌。還知此意麼。非智可知難可測。龍睛天眼	更 欲 拋 筌 還 知 此 意 麼 非 智 可 知 難 可 測 龍 睛 天 眼 
X67n1304_001:0325c15	覷無門。	覷 無 門 
X67n1304_001:0325c16	第四則　船子夾山(舟楫)	第 四 則 船 子 夾 山 舟 楫 
X67n1304_001:0325c17	示眾云。有時恁麼。羚羊挂角月沉西。有時不恁麼。木	示 眾 云 有 時 恁 麼 羚 羊 挂 角 月 沉 西 有 時 不 恁 麼 木 
X67n1304_001:0325c18	馬遊春駿不覉。用行舍藏自由自在。知是何人。	馬 遊 春 駿 不 覉 用 行 舍 藏 自 由 自 在 知 是 何 人 
X67n1304_001:0325c19	舉舡子誠禪師囑夾山云。直須藏身處沒蹤跡(唆猫	舉 舡 子 誠 禪 師 囑 夾 山 云 直 須 藏 身 處 沒 蹤 跡 唆 猫 
X67n1304_001:0325c20	入枯井)。沒蹤跡處莫藏身(切忌瓮生根)。吾三十年在藥山	入 枯 井 沒 蹤 跡 處 莫 藏 身 切 忌 瓮 生 根 吾 三 十 年 在 藥 山 
X67n1304_001:0325c21	只明斯事(將謂忘却)。	只 明 斯 事 將 謂 忘 却 
X67n1304_001:0325c22	師云。秀州華亭舡子德誠禪師。自傳藥山之道。唯好	師 云 秀 州 華 亭 舡 子 德 誠 禪 師 自 傳 藥 山 之 道 唯 好 
X67n1304_001:0325c23	山水自適其意。故泛舟於華亭江上。因得此名。一日	山 水 自 適 其 意 故 泛 舟 於 華 亭 江 上 因 得 此 名 一 日 
X67n1304_001:0325c24	泊舡岸邊閑坐。有官人問。如何是和尚日用事。師竪	泊 舡 岸 邊 閑 坐 有 官 人 問 如 何 是 和 尚 日 用 事 師 竪 
X67n1304_001:0326a01	起橈子曰會麼。云不會。曰棹撥清波金鱗罕遇。復有	起 橈 子 曰 會 麼 云 不 會 曰 棹 撥 清 波 金 鱗 罕 遇 復 有 
X67n1304_001:0326a02	頌曰。有一魚兮偉莫裁。混融包納信奇哉。能變化。吐	頌 曰 有 一 魚 兮 偉 莫 裁 混 融 包 納 信 奇 哉 能 變 化 吐 
X67n1304_001:0326a03	風雷。下線何曾釣得來。別人只看採芙。蓉香氣長黏	風 雷 下 線 何 曾 釣 得 來 別 人 只 看 採 芙 蓉 香 氣 長 黏 
X67n1304_001:0326a04	遶指風。兩岸暎。一舡紅。何曾解染得虗空。問我生涯	遶 指 風 兩 岸 暎 一 舡 紅 何 曾 解 染 得 虗 空 問 我 生 涯 
X67n1304_001:0326a05	只是舡。子孫各自賭機緣。不由地。不由天。除却蓑衣	只 是 舡 子 孫 各 自 賭 機 緣 不 由 地 不 由 天 除 却 蓑 衣 
X67n1304_001:0326a06	無可傳。與夾山相見機語。投子頌古中已載。茲不復	無 可 傳 與 夾 山 相 見 機 語 投 子 頌 古 中 已 載 茲 不 復 
X67n1304_001:0326a07	云。相別之際遂囑曰。汝向去直須藏身處沒蹤跡。沒	云 相 別 之 際 遂 囑 曰 汝 向 去 直 須 藏 身 處 沒 蹤 跡 沒 
X67n1304_001:0326a08	蹤跡處莫藏身。可謂是未到無心須要到。既到無心	蹤 跡 處 莫 藏 身 可 謂 是 未 到 無 心 須 要 到 既 到 無 心 
X67n1304_001:0326a09	無也休。端的若是脫洒衲僧。出住自知時節。孔子謂	無 也 休 端 的 若 是 脫 洒 衲 僧 出 住 自 知 時 節 孔 子 謂 
X67n1304_001:0326a10	顏淵曰。用之則行舍之則藏。唯我與爾有是夫。此之	顏 淵 曰 用 之 則 行 舍 之 則 藏 唯 我 與 爾 有 是 夫 此 之 
X67n1304_001:0326a11	用舍行藏與吾衲僧何啻天淵。本欲要伊於一切時	用 舍 行 藏 與 吾 衲 僧 何 啻 天 淵 本 欲 要 伊 於一切時 
X67n1304_001:0326a12	中外不隨應內不居空。這邊那畔無可不可。故云吾	中 外 不 隨 應 內 不 居 空 這 邊 那 畔 無 可 不 可 故 云 吾 
X67n1304_001:0326a13	三十年在藥山只明斯事。是知依法作法要常念茲	三 十 年 在 藥 山 只 明 斯 事 是 知 依 法 作 法 要 常 念 茲 
X67n1304_001:0326a14	在茲。一片老婆心。千古為龜鑑。且道兼帶一句。合作	在 茲 一 片 老 婆 心 千 古 為 龜 鑑 且 道 兼 帶 一 句 合 作 
X67n1304_001:0326a15	麼生道。試看丹霞為伊頌出。頌曰。	麼 生 道 試 看 丹 霞 為 伊 頌 出 頌 曰 
X67n1304_001:0326a16	白雲檻外思悠哉(無心能出岫。有意伴孤鶴)。密密金刀剪不開	白 雲 檻 外 思 悠 哉 無 心 能 出 岫 有 意 伴 孤 鶴 密 密 金 刀 剪 不 開 
X67n1304_001:0326a17	(渾侖無縫罅)。幽洞不拘關鎻意(去住自由)。縱橫無繫去還來	 渾 侖 無 縫 罅 幽 洞 不 拘 關 鎻 意 去 住 自 由 縱 橫 無 繫 去 還 來 
X67n1304_001:0326a18	(跋涉不易)。	 跋 涉 不 易 
X67n1304_001:0326a19	師云。體空成事。任妄念而漂沉。不變隨緣。守真心而	師 云 體 空 成 事 任 妄 念 而 漂 沉 不 變 隨 緣 守 真 心 而 
X67n1304_001:0326a20	寂滅。不有妙覺其孰能達斯理乎。況此白雲搖曳碧	寂 滅 不 有 妙 覺 其 孰 能 達 斯 理 乎 況 此 白 雲 搖 曳 碧 
X67n1304_001:0326a21	落清明。檻外嵓前天涯海角。無心而出。應緣舒卷而	落 清 明 檻 外 嵓 前 天 涯 海 角 無 心 而 出 應 緣 舒 卷 而 
X67n1304_001:0326a22	濟物無私。有感必通知時休沐而潤澤有淮。隨風浩	濟 物 無 私 有 感 必 通 知 時 休 沐 而 潤 澤 有 淮 隨 風 浩 
X67n1304_001:0326a23	蕩映日飄颻。若垂天之翼悠悠漾漾者哉。猶事理之	蕩 映 日 飄 颻 若 垂 天 之 翼 悠 悠 漾 漾 者 哉 猶 事 理 之 
X67n1304_001:0326a24	相兼。真俗之通貫。體用之雙彰。境智之相半。綿綿密	相 兼 真 俗 之 通 貫 體 用 之 雙 彰 境 智 之 相 半 綿 綿 密 
X67n1304_001:0326b01	密雄雄堂堂。所以金刀剪不開也。既幽洞不拘關鎻。	密 雄 雄 堂 堂 所 以 金 刀 剪 不 開 也 既 幽 洞 不 拘 關 鎻 
X67n1304_001:0326b02	想縱橫必使優遊。此寔近取諸身遠取諸物。以喻本	想 縱 橫 必 使 優 遊 此 寔 近 取 諸 身 遠 取 諸 物 以 喻 本 
X67n1304_001:0326b03	分事之不本分也。其或於此未明。獨鶴有時常伴水。	分 事 之 不 本 分 也 其 或 於 此 未 明 獨 鶴 有 時 常 伴 水 
X67n1304_001:0326b04	好雲無事不離山。	好 雲 無 事 不 離 山 
X67n1304_001:0326b05	第五則　椑樹洞山(參學)	第 五 則 椑 樹 洞 山 參 學 
X67n1304_001:0326b06	示眾云。正按傍提。一句了然超百億。左敲右擊。片言	示 眾 云 正 按 傍 提 一 句 了 然 超 百 億 左 敲 右 擊 片 言 
X67n1304_001:0326b07	可以越三千。不涉唇皮。誰能舉似。	可 以 越 三 千 不 涉 唇 皮 誰 能 舉 似 
X67n1304_001:0326b08	舉椑樹省禪師問洞山甚麼處來(不勞勘)。山云親近	舉 椑 樹 省 禪 師 問 洞 山 甚 麼 處 來 不 勞 勘 山 云 親 近 
X67n1304_001:0326b09	來(實頭人難得)。樹云。若是親近。用動這兩片皮作甚麼	來 實 頭 人 難 得 樹 云 若 是 親 近 用 動 這 兩 片 皮 作 甚 麼 
X67n1304_001:0326b10	(入草求人)。後曹山聞舉乃云一子親得(便宜不出當家)。	 入 草 求 人 後 曹 山 聞 舉 乃 云 一 子 親 得 便 宜 不 出 當 家 
X67n1304_001:0326b11	師舉祖燈錄云。宣州椑樹慧省禪師。因洞山來參。樹	師 舉 祖 燈 錄 云 宣 州 椑 樹 慧 省 禪 師 因 洞 山 來 參 樹 
X67n1304_001:0326b12	問來作甚麼。山云來親近和尚。樹曰。若是親近。用動	問 來 作 甚 麼 山 云 來 親 近 和 尚 樹 曰 若 是 親 近 用 動 
X67n1304_001:0326b13	這兩片皮作麼。山無對。林泉道。悞入桃園。後曹山云	這 兩 片 皮 作 麼 山 無 對 林 泉 道 悞 入 桃 園 後 曹 山 云 
X67n1304_001:0326b14	一子親得。此乃父為子隱子為父隱。直在其中。丹霞	一 子 親 得 此 乃 父 為 子 隱 子 為 父 隱 直 在 其 中 丹 霞 
X67n1304_001:0326b15	舉處謂。問甚麼處來。本是問作甚麼來。答云親近來。	舉 處 謂 問 甚 麼 處 來 本 是 問 作 甚 麼 來 答 云 親 近 來 
X67n1304_001:0326b16	此豈非問答相應也。後又遺漏。山無對。此乃不見曹	此 豈 非 問 答 相 應 也 後 又 遺 漏 山 無 對 此 乃 不 見 曹 
X67n1304_001:0326b17	山道一子親得之意。蓋編錄之不審也。況洞上宗風	山 道 一 子 親 得 之 意 蓋 編 錄 之 不 審 也 況 洞 上 宗 風 
X67n1304_001:0326b18	語忌十成。機貴回互。洞山無對。豈非向空劫以前承	語 忌 十 成 機 貴 回 互 洞 山 無 對 豈 非 向 空 劫 以 前 承 
X67n1304_001:0326b19	當。佛未出世時會得。曹山爭肯證父攘羊。受責於仲	當 佛 未 出 世 時 會 得 曹 山 爭 肯 證 父 攘 羊 受 責 於 仲 
X67n1304_001:0326b20	尼。故云一子親得。空王寶印豈假親傳。無縫伽黎何	尼 故 云 一 子 親 得 空 王 寶 印 豈 假 親 傳 無 縫 伽 黎 何 
X67n1304_001:0326b21	消密付。此師資道合猶參乎一。唯亦當以一貫之而	消 密 付 此 師 資 道 合 猶 參 乎 一 唯 亦 當 以 一 貫 之 而 
X67n1304_001:0326b22	稱許者哉。還知麼。肐膞到頭難外屈。休云孫子不如	稱 許 者 哉 還 知 麼 肐 膞 到 頭 難 外 屈 休 云 孫 子 不 如 
X67n1304_001:0326b23	兒。更看丹霞別般誇羨。頌曰。	兒 更 看 丹 霞 別 般 誇 羨 頌 曰 
X67n1304_001:0326b24	從來父子不相離(天使其然)。石女何勞更問伊(多羅閑管)。昨	從 來 父 子 不 相 離 天 使 其 然 石 女 何 勞 更 問 伊 多 羅 閑 管 昨 
X67n1304_001:0326c01	夜寒巖無影木(根非生下土)。白雲深處露橫枝(葉不墜秋風)。	夜 寒 巖 無 影 木 根 非 生 下 土 白 雲 深 處 露 橫 枝 葉 不 墜 秋 風 
X67n1304_001:0326c02	師云。非同世之君君臣臣父父子子。假以忠孝親情	師 云 非 同 世 之 君 君 臣 臣 父 父 子 子 假 以 忠 孝 親 情 
X67n1304_001:0326c03	以喻至道。曩劫以來與汝本來真如佛性妙覺明心	以 喻 至 道 曩 劫 以 來 與 汝 本 來 真 如 佛 性 妙 覺 明 心 
X67n1304_001:0326c04	無斯須而曾捨離。故云從來父子不相離。豈止椑樹	無 斯 須 而 曾 捨 離 故 云 從 來 父 子 不 相 離 豈 止 椑 樹 
X67n1304_001:0326c05	洞山同聲相應同氣相求者歟。故石女以無情無口	洞 山 同 聲 相 應 同 氣 相 求 者 歟 故 石 女 以 無 情 無 口 
X67n1304_001:0326c06	之口虗心冷氣倦審問伊。而復竊聽。昨夜寒嵓無影	之 口 虗 心 冷 氣 倦 審 問 伊 而 復 竊 聽 昨 夜 寒 嵓 無 影 
X67n1304_001:0326c07	古木向白雲深處偶露橫枝。若不解無中出有。爭能	古 木 向 白 雲 深 處 偶 露 橫 枝 若 不 解 無 中 出 有 爭 能 
X67n1304_001:0326c08	達意外之玄。儻肯於劫外承當。更何必而今相見。還	達 意 外 之 玄 儻 肯 於 劫 外 承 當 更 何 必 而 今 相 見 還 
X67n1304_001:0326c09	知不動唇皮道得處麼。萬籟把吾休失笑。我笑虗空	知 不 動 唇 皮 道 得 處 麼 萬 籟 把 吾 休 失 笑 我 笑 虗 空 
X67n1304_001:0326c10	舌更長。	舌 更 長 
X67n1304_001:0326c11	第六則　沙彌住庵(雨雪)	第 六 則 沙 彌 住 庵 雨 雪 
X67n1304_001:0326c12	示眾云。告往知來不妨俏俊。心明意顯沒可思量。忽	示 眾 云 告 往 知 來 不 妨 俏 俊 心 明 意 顯 沒 可 思 量 忽 
X67n1304_001:0326c13	遇同風。莫有遞相證據者麼。	遇 同 風 莫 有 遞 相 證 據 者 麼 
X67n1304_001:0326c14	舉高沙彌住菴。一日歸來值雨(教休不肯休)。藥山云甚	舉 高 沙 彌 住 菴 一 日 歸 來 值 雨 教 休 不 肯 休 藥 山 云 甚 
X67n1304_001:0326c15	麼處來(不消詐問)。彌云窊裏來(我豈不知)。山云可殺濕(便恁麼來)。	麼 處 來 不 消 詐 問 彌 云 窊 裏 來 我 豈 不 知 山 云 可 殺 濕 便 恁 麼 來 
X67n1304_001:0326c16	彌云不打這皷笛(似有魂靈)。雲嵓云。皮也無。打甚麼皷	彌 云 不 打 這 皷 笛 似 有 魂 靈 雲 嵓 云 皮 也 無 打 甚 麼 皷 
